,address,check_in_date,check_out_date,has_laundry_service,number_of_adults,phone_number,rating,total_price,where_to
32,"7, Jalan Munshi Abdullah, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan",2019-03-03,2019-03-13,True,4,+60 3-2692 9298,4.00,2760,Kuala Lumpur
33,87 Walton Street Northwest,2019-03-06,2019-03-11,True,5,+1 404-965-7992,4.20,1950,Atlanta
34,"149, Jalan Masjid India, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan",2019-03-04,2019-03-11,True,2,+60 3-2698 1866,3.70,1512,Kuala Lumpur
35,818 North Hill Street,2019-03-01,2019-03-08,False,1,+1 213-617-3077,4.10,2240,Los Angeles
36,9 Aldgate High Street,2019-03-08,2019-03-10,True,2,+44 20 3805 1000,4.50,864,London
37,"27 Avenue des Ternes, 75017",2019-03-03,2019-03-12,True,5,+33 825 80 19 19,4.20,4680,Paris
38,950 Hotel Circle North,2019-03-11,2019-03-14,False,1,+1 619-298-0511,4.00,936,San Diego
39,209 West 87th Street,2019-03-02,2019-03-13,False,2,+1 212-873-5222,4.00,2904,New York
40,440 Post Street,2019-03-02,2019-03-14,True,3,+1 415-397-3510,4.60,3312,San Francisco
41,John Bradshaw Road,2019-03-02,2019-03-08,False,4,+44 871 097 1083,4.30,1512,London
42,411 Hotel Circle South,2019-03-07,2019-03-14,True,1,+1 619-291-1300,3.70,1260,San Diego
43,106-110 Belgrave Road,2019-03-01,2019-03-14,True,3,+44 20 7630 8888,3.60,5304,London
44,618 John Street,2019-03-07,2019-03-08,True,1,+1 206-728-7666,3.30,340,Seattle
45,"Plot no 9, National Highway - 8, Samalka, New Delhi",2019-03-01,2019-03-14,True,5,+91 11 6604 0000,4.30,5460,Delhi
46,"17 Rue Duhesme, 75018",2019-03-03,2019-03-06,True,5,+33 1 46 06 17 66,3.80,1200,Paris
47,9 Montfichet Road,2019-03-02,2019-03-14,False,1,+44 871 527 9286,4.10,1152,London
48,209 West 87th Street,2019-03-02,2019-03-13,False,4,+1 212-873-5222,4.00,2904,New York
49,260 West 40th Street,2019-03-04,2019-03-07,True,1,+1 212-398-2700,4.50,912,New York
50,833 Ash Street,2019-03-05,2019-03-14,False,4,+1 800-615-3107,3.60,1710,San Diego
51,"13A, District Centre, Mayur Vihar, New Delhi",2019-03-09,2019-03-13,True,4,+91 11 4110 5555,4.30,2000,Delhi
52,1018 Dockside Road,2019-03-06,2019-03-14,False,3,+44 20 3096 5888,4.20,2520,London
53,15 Charles Street East,2019-03-02,2019-03-14,True,2,+1 416-924-1222,4.60,3672,Toronto
54,1000 Northeast Multnomah Street,2019-03-02,2019-03-14,True,3,+1 503-281-6111,4.20,6120,Portland
55,308 West 58th Street,2019-03-02,2019-03-09,True,2,+1 212-204-3000,4.00,1848,New York
56,231 East 43rd Street,2019-03-05,2019-03-11,True,1,+1 212-897-3385,4.20,3060,New York
57,373 5th Avenue,2019-03-01,2019-03-12,True,1,+1 212-213-3388,4.10,2112,New York
58,127 West Huron Street,2019-03-08,2019-03-10,True,3,+1 312-649-2000,4.30,960,Chicago
59,"160, Jalan Ampang, Kampung Baru, 50450 Kuala Lumpur, Wilayah Persekutuan",2019-03-02,2019-03-08,True,1,+60 3-2179 3777,4.00,1728,Kuala Lumpur
60,1A Romford Road,2019-03-01,2019-03-06,True,4,+44 20 8536 3700,3.90,1440,London
61,"178 Princes Highway, Saint Peters New South Wales 2044, Australia",2019-03-03,2019-03-14,False,1,+61 2 9519 0685,3.40,4950,Sydney
62,9750 Airport Boulevard,2019-03-03,2019-03-13,True,1,+1 310-645-4600,3.70,3840,Los Angeles
63,2688 Broadway,2019-03-04,2019-03-13,False,3,+1 212-222-2954,3.30,1944,New York
64,"31-35 Quai de l'Oise, 75019",2019-03-03,2019-03-14,True,3,+33 1 40 38 04 04,3.50,5445,Paris
65,4802 Mission Boulevard,2019-03-03,2019-03-13,False,4,+1 858-483-6300,4.10,2400,San Diego
66,1445 Sixth Avenue,2019-03-02,2019-03-11,True,1,+1 619-782-6400,4.40,2808,San Diego
67,"1 Rue Daunou, 75002",2019-03-01,2019-03-13,True,4,+33 1 42 61 70 41,4.20,4500,Paris
68,Langata Road,2019-03-08,2019-03-13,True,5,+254 709 995000,4.10,3125,Nairobi
69,"30, Jalan Beremi, Off, Jalan Sultan Ismail, Bukit Bintang, 50200",2019-03-08,2019-03-12,True,2,+60 3-2110 2211,4.30,832,Kuala Lumpur
70,77 Yesler Way,2019-03-02,2019-03-14,True,2,+1 206-340-1234,4.20,3744,Seattle
71,324 West 44th Street,2019-03-10,2019-03-14,True,2,+1 800-257-3000,4.50,1088,New York
72,90 Bloor Street East,2019-03-07,2019-03-14,True,1,+1 416-961-8000,4.10,2688,Toronto
73,7950 Melrose Avenue,2019-03-01,2019-03-10,True,5,+1 323-327-9702,4.10,3645,Los Angeles
74,631 Camino del Rio South,2019-03-10,2019-03-13,True,1,+1 619-881-4000,3.60,567,San Diego
75,3805 Murphy Canyon Road,2019-03-01,2019-03-05,True,5,+1 858-278-9300,4.20,1440,San Diego
76,8800 Bartram Avenue,2019-03-02,2019-03-08,True,4,+1 800-228-2800,3.90,1860,Philadelphia
77,4802 Mission Boulevard,2019-03-03,2019-03-13,False,2,+1 858-483-6300,4.10,2400,San Diego
78,22 West Monroe Street,2019-03-02,2019-03-13,True,1,+1 312-332-5052,4.40,1716,Chicago
79,773 Beatty Street,2019-03-06,2019-03-13,True,5,+1 800-663-1155,4.40,3360,Vancouver
80,"3070-72 Webster Avenue, The Bronx",2019-03-03,2019-03-12,False,2,+1 718-654-5500,3.60,1080,New York
81,191 Queen's Gate,2019-03-07,2019-03-14,True,1,+44 20 7581 0103,4.20,728,London
82,6399 Wilshire Boulevard,2019-03-01,2019-03-13,True,5,+1 323-852-7000,4.40,3480,Los Angeles
83,28-36 Glenthorne Road,2019-03-02,2019-03-13,True,1,+44 20 3141 1480,4.20,2728,London
84,310 Cambie Street,2019-03-03,2019-03-08,True,2,+1 604-684-6466,3.60,960,Vancouver
85,"145, Jalan Ampang, 50450",2019-03-08,2019-03-10,True,3,+60 3-2382 8888,4.60,1550,Kuala Lumpur
86,815 6th Avenue,2019-03-04,2019-03-11,True,1,+1 212-513-0001,4.40,2184,New York
87,"1 Place de la Sorbonne, 75005",,,True,3,+33 1 46 34 14 80,4.50,4200,Paris
88,"1 Rue Daunou, 75002",,,True,4,+33 1 42 61 70 41,4.20,252,Paris
89,"1 Rue de Libourne, 75012",,,True,1,+33 1 44 67 34 00,4.40,80,Paris
90,"1 Rue de Lourmel, 75015",,,False,2,+33 1 45 78 17 12,3.70,1302,Paris
91,"1-5 Passage Ruelle, 75018",,,True,2,+33 1 42 05 20 00,4.10,576,Paris
92,"1-7 Rue Jean Richepin, 75016",,,False,2,+33 1 44 30 10 00,4.10,3410,Paris
93,"10 Place Charles Dullin, 75018",,,True,3,+33 1 42 57 14 55,4.10,1224,Paris
94,"10 Place de Mexico, 75116",,,True,4,+33 1 56 90 40 04,4.30,2560,Paris
95,"10 Rue Bernard Buffet, 75017",,,True,5,+33 1 40 25 20 20,3.60,1425,Paris
96,"10 Rue Gager-Gabillot, 75015",,,False,4,+33 1 44 19 29 29,3.40,2464,Paris
97,"1 Place de la Sorbonne, 75005",2019-03-01,2019-03-11,True,1,+33 1 46 34 14 80,4.50,4200,Paris
98,1095 Market Street,,,True,2,+1 415-829-0000,3.70,1218,San Francisco
99,"1100 Market Street Hotel Entrance is at, 45 McAllister Street",,,True,4,+1 415-735-7777,4.40,3348,San Francisco
100,111 Mason Street,,,True,1,+1 415-771-1200,3.60,576,San Francisco
101,12 4th Street,,,True,3,+1 415-348-1111,4.30,4896,San Francisco
102,"1206, 155 Steuart Street",,,True,4,+1 415-495-2100,4.20,1200,San Francisco
103,138 King Street,,,True,4,+1 415-200-4977,4.50,3712,San Francisco
104,1800 Sutter Street,,,True,2,+1 888-822-8666,4.30,1344,San Francisco
105,2222 Market Street,,,True,3,+1 415-621-8212,4.40,408,San Francisco
106,2237 Mason Street,,,True,3,+1 800-352-7366,4.40,186,San Francisco
107,2620 Jones Street,,,True,3,+1 800-228-8408,4.30,1440,San Francisco
108,1095 Market Street,2019-03-02,2019-03-09,True,2,+1 415-829-0000,3.70,1218,San Francisco
109,1000 1st Avenue,,,True,2,+1 206-957-1000,4.50,928,Seattle
110,1006 Spring Street,,,False,3,+1 206-583-6453,3.90,840,Seattle
111,1011 Pike Street,,,True,4,+1 206-682-8282,4.20,2280,Seattle
112,1016 Republican Street,,,False,5,+1 206-708-8200,4.10,2610,Seattle
113,1046 1st Avenue South,,,True,5,+1 206-204-9800,4.30,4400,Seattle
114,105 Pike Street,,,True,5,+1 206-340-1222,4.40,3300,Seattle
115,110 Stewart Street,,,True,5,+1 206-623-4600,4.40,920,Seattle
116,1100 5th Avenue,,,True,5,+1 800-853-3914,4.40,2760,Seattle
117,1101 4th Avenue,,,True,5,+1 206-621-1770,4.50,6300,Seattle
118,1112 4th Avenue,,,True,2,+1 206-264-6000,4.40,2640,Seattle
119,1635 8th Avenue,,,False,1,+1 206-695-1234,4.50,936,Seattle
120,1815 Terry Avenue,,,True,2,+1 206-388-1000,4.50,828,Seattle
121,2000 4th Avenue,,,True,1,+1 206-448-8600,4.50,288,Seattle
122,2423 1st Avenue,,,False,1,+1 206-448-4721,4.50,50,Seattle
123,255 South King Street,,,True,3,+1 206-859-4400,4.50,198,Seattle
124,3926 Aurora Avenue North,,,True,2,+1 206-632-1015,4.50,2448,Seattle
125,4501 12th Avenue Northeast,,,True,4,+1 206-322-8887,4.50,3168,Seattle
126,700 3rd Avenue,,,True,4,+1 206-340-0340,4.50,4096,Seattle
127,1000 1st Avenue,,,True,1,+1 206-957-1000,4.50,928,Seattle
128,1101 4th Avenue,,,True,1,+1 206-621-1770,4.50,6300,Seattle
129,1815 Terry Avenue,,,True,1,+1 206-388-1000,4.50,828,Seattle
130,255 South King Street,,,True,1,+1 206-859-4400,4.50,198,Seattle
131,3926 Aurora Avenue North,,,True,1,+1 206-632-1015,4.50,2448,Seattle
132,1635 8th Avenue,2019-03-02,2019-03-14,False,1,+1 206-695-1234,4.50,5520,Seattle
133,100 Greenwich Street,,,True,4,+1 917-409-0800,4.40,312,New York
134,102 West 57th Street,,,True,3,+1 212-379-0103,4.50,252,New York
135,"102-05 Ditmars Boulevard, East Elmhurst",,,True,5,+1 718-565-8900,3.90,3645,New York
136,"102-40 Ditmars Boulevard, East Elmhurst",,,True,4,+1 718-672-6600,4.10,1344,New York
137,103 Waverly Place,,,False,2,+1 800-222-0418,4.40,600,New York
138,1033 6th Avenue,,,True,1,+1 212-768-0007,4.20,837,New York
139,"104-04 Ditmars Boulevard, East Elmhurst",,,True,2,+1 877-270-1412,4.00,1350,New York
140,108 West 24th Street,,,True,2,+1 212-414-1000,4.20,138,New York
141,"1080 Broadway, Brooklyn",,,False,5,+1 718-715-4850,4.00,2250,New York
142,109 West 45th Street,,,False,5,+1 212-730-9444,4.00,3060,New York
143,100 Greenwich Street,,,True,5,+1 917-409-0800,4.40,1125,New York
144,102 West 57th Street,,,True,5,+1 212-379-0103,4.50,1860,New York
145,"102-40 Ditmars Boulevard, East Elmhurst",,,True,5,+1 718-672-6600,4.10,3720,New York
146,1033 6th Avenue,,,True,5,+1 212-768-0007,4.20,1380,New York
147,"104-04 Ditmars Boulevard, East Elmhurst",,,True,5,+1 877-270-1412,4.00,3705,New York
148,108 West 24th Street,,,True,5,+1 212-414-1000,4.20,1020,New York
149,11 East 31st Street,,,True,5,+1 212-806-7000,4.40,1740,New York
150,11 Howard Street,,,True,5,+1 212-235-1111,4.30,2400,New York
151,"11-01 43rd Avenue, Long Island City",,,True,5,+1 212-319-7000,4.00,5580,New York
152,"1100 Market Street Hotel Entrance is at, 45 McAllister Street",,,True,5,+1 415-735-7777,4.30,855,San Francisco
153,138 King Street,,,True,5,+1 415-200-4977,4.30,1280,San Francisco
154,2222 Market Street,,,True,5,+1 415-621-8212,4.30,3740,San Francisco
155,2237 Mason Street,,,True,5,+1 800-352-7366,4.30,2275,San Francisco
156,312 Mason Street,,,True,5,+1 415-788-5604,4.30,4860,San Francisco
157,440 Post Street,,,True,5,+1 415-397-3510,4.30,4680,San Francisco
158,494 Broadway,,,True,5,+1 415-834-1000,4.30,285,San Francisco
159,495 Jefferson Street,,,True,5,+1 415-563-0800,4.30,2160,San Francisco
160,750 Sutter Street,,,True,5,+1 415-345-3200,4.30,4140,San Francisco
161,"1100 Market Street Hotel Entrance is at, 45 McAllister Street",2019-03-02,2019-03-14,True,5,+1 415-735-7777,4.30,5040,San Francisco
162,100 Greenwich Street,,,True,1,+1 917-409-0800,4.40,93,New York
163,"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,True,1,+1 718-512-0248,4.20,396,New York
164,102 West 57th Street,,,True,3,+1 212-379-0103,4.50,3888,New York
165,"102-05 Ditmars Boulevard, East Elmhurst",,,True,3,+1 718-565-8900,3.90,1863,New York
166,"102-40 Ditmars Boulevard, East Elmhurst",,,True,2,+1 718-672-6600,4.10,1296,New York
167,103 Waverly Place,,,False,1,+1 800-222-0418,4.40,816,New York
168,1033 6th Avenue,,,True,3,+1 212-768-0007,4.20,1386,New York
169,"104-04 Ditmars Boulevard, East Elmhurst",,,True,5,+1 877-270-1412,4.00,5280,New York
170,108 West 24th Street,,,True,4,+1 212-414-1000,4.20,3600,New York
171,"1080 Broadway, Brooklyn",,,False,4,+1 718-715-4850,4.00,2100,New York
172,100 Greenwich Street,2019-03-10,2019-03-12,True,1,+1 917-409-0800,4.40,648,New York
173,100 Greenwich Street,,,True,1,+1 917-409-0800,4.30,93,New York
174,102 West 57th Street,,,True,3,+1 212-379-0103,4.30,3888,New York
175,103 Waverly Place,,,False,1,+1 800-222-0418,4.30,816,New York
176,11 East 31st Street,,,True,1,+1 212-806-7000,4.30,744,New York
177,"111 North 12th Street, Brooklyn",,,True,2,+1 718-631-8400,4.30,840,New York
178,114 East 32nd Street,,,True,4,+1 212-603-9000,4.30,4080,New York
179,120 East 39th Street,,,True,1,+1 212-686-1600,4.30,480,New York
180,120 West 41st Street,,,True,4,+1 888-559-5862,4.30,2496,New York
181,123 West 28th Street,,,False,4,+1 212-244-4477,4.30,3168,New York
182,123 West 44th Street,,,True,2,+1 212-764-5700,4.30,2160,New York
183,"1 Place de la Sorbonne, 75005",,,True,3,+33 1 46 34 14 80,4.30,4200,Paris
184,"1 Rue de Libourne, 75012",,,True,1,+33 1 44 67 34 00,4.30,80,Paris
185,"10 Rue de Passy, 75016",,,True,5,+33 1 45 25 55 66,4.30,4095,Paris
186,"11 Rue des Gravilliers, 75003",,,True,5,+33 1 44 54 13 13,4.30,4620,Paris
187,"12 Rue de Marignan, 75008",,,True,5,+33 1 40 76 34 56,4.30,725,Paris
188,"14 Rue Beaujon, 75008",,,True,5,+33 1 53 89 50 50,4.30,475,Paris
189,"15 Rue Boissy d'Anglas, 75008",,,True,4,+33 1 44 94 14 14,4.30,2080,Paris
190,"15 Rue Edouard Manet, 75013",,,True,1,+33 1 45 86 35 99,4.30,1040,Paris
191,"166 Boulevard Berthier, 75017",,,True,1,+33 1 42 67 70 16,4.30,504,Paris
192,"18 Rue du Cirque, 75008",,,True,4,+33 1 43 87 10 10,4.30,5760,Paris
193,"1 Place de la Sorbonne, 75005",,,True,1,+33 1 46 34 14 80,4.30,4200,Paris
194,"10 Rue de Passy, 75016",,,True,1,+33 1 45 25 55 66,4.30,4095,Paris
195,"11 Rue des Gravilliers, 75003",,,True,1,+33 1 44 54 13 13,4.30,4620,Paris
196,"12 Rue de Marignan, 75008",,,True,1,+33 1 40 76 34 56,4.30,725,Paris
197,"14 Rue Beaujon, 75008",,,True,1,+33 1 53 89 50 50,4.30,475,Paris
198,"15 Rue Boissy d'Anglas, 75008",,,True,1,+33 1 44 94 14 14,4.30,2080,Paris
199,"18 Rue du Cirque, 75008",,,True,1,+33 1 43 87 10 10,4.30,5760,Paris
200,"1 Rue de Libourne, 75012",2019-03-01,2019-03-14,True,1,+33 1 44 67 34 00,4.30,5200,Paris
201,10044 Pacific Mesa Boulevard,,,True,5,+1 858-597-0500,4.50,3360,San Diego
202,1047 Fifth Avenue,,,True,5,+1 619-515-3000,4.40,1680,San Diego
203,11025 Vista Sorrento Parkway,,,True,1,+1 858-523-0500,4.30,432,San Diego
204,11520 West Bernardo Court,,,True,2,+1 858-451-6600,4.10,966,San Diego
205,11915 El Camino Real,,,True,3,+1 858-481-5900,4.20,3393,San Diego
206,11920 El Camino Real,,,True,4,+1 858-792-5557,4.20,324,San Diego
207,1333 Hotel Circle South,,,True,5,+1 619-297-2231,4.40,1700,San Diego
208,1355 North Harbor Drive,,,True,4,+1 619-232-3861,4.00,1764,San Diego
209,1370 Sunset Cliffs Boulevard,,,False,1,+1 619-224-0443,4.40,741,San Diego
210,1404 Vacation Road,,,True,3,+1 858-240-4913,4.30,1056,San Diego
211,10044 Pacific Mesa Boulevard,,,True,1,+1 858-597-0500,4.10,3360,San Diego
212,1047 Fifth Avenue,,,True,1,+1 619-515-3000,4.10,1680,San Diego
213,11025 Vista Sorrento Parkway,,,True,1,+1 858-523-0500,4.10,432,San Diego
214,11520 West Bernardo Court,,,True,1,+1 858-451-6600,4.10,966,San Diego
215,11915 El Camino Real,,,True,1,+1 858-481-5900,4.10,3393,San Diego
216,11920 El Camino Real,,,True,1,+1 858-792-5557,4.10,324,San Diego
217,1333 Hotel Circle South,,,True,1,+1 619-297-2231,4.10,1700,San Diego
218,1370 Sunset Cliffs Boulevard,,,False,1,+1 619-224-0443,4.10,741,San Diego
219,1404 Vacation Road,,,True,1,+1 858-240-4913,4.10,1056,San Diego
220,1410 Rosecrans Street,,,False,1,+1 619-226-6100,4.10,5760,San Diego
221,10 East Thomas Road,,,True,1,+1 602-222-1111,4.10,2325,Phoenix
222,10838 North 25th Avenue,,,True,1,+1 602-997-8800,4.10,1224,Phoenix
223,1101 North 44th Street,,,True,1,+1 800-228-9290,4.10,2100,Phoenix
224,132 South Central Avenue,,,True,1,+1 602-603-2000,4.10,1740,Phoenix
225,15 East Monroe Street,,,True,1,+1 602-343-0006,4.10,1200,Phoenix
226,2 East Jefferson Street,,,True,1,+1 877-488-1908,4.10,5040,Phoenix
227,2335 West Pinnacle Peak Road,,,True,1,+1 623-879-8800,4.10,2940,Phoenix
228,2435 South 47th Street,,,True,1,+1 480-894-1600,4.10,1500,Phoenix
229,2520 North Central Avenue,,,True,1,+1 602-716-9900,4.10,2040,Phoenix
230,2532 West Peoria Avenue,,,True,1,+1 602-943-2341,4.10,1824,Phoenix
231,10 East Thomas Road,2019-03-04,2019-03-13,True,1,+1 602-222-1111,4.10,2835,Phoenix
232,"1 Columbia Court, Baulkham Hills New South Wales 2153, Australia",,,True,3,+61 2 9634 9634,4.10,624,Sydney
233,1 Hosking Place,,,True,3,+61 1300 633 462,3.60,4032,Sydney
234,"1 Kensington Street, Chippendale New South Wales 2008, Australia",,,True,3,+61 2 8277 8277,4.20,7425,Sydney
235,"1 Kingsway, Cronulla New South Wales 2230, Australia",,,True,3,+61 2 8536 3600,3.90,2376,Sydney
236,"1 Salisbury Road, Castle Hill New South Wales 2154, Australia",,,True,3,+61 2 9680 3800,4.40,468,Sydney
237,"10 Atchison Street, St Leonards New South Wales 2065, Australia",,,True,3,+61 2 8425 0400,4.40,4992,Sydney
238,"10 Brown Street, Chatswood New South Wales 2067, Australia",,,False,3,+61 131517,3.80,6300,Sydney
239,10 Byfield St Macquarie Park,,,True,3,+61 2 9428 9500,4.30,2400,Sydney
240,"100 Bayswater Road, Rushcutters Bay New South Wales 2011, Australia",,,True,3,+61 2 8353 8988,4.10,4320,Sydney
241,"100 Marsden Street, Parramatta New South Wales 2150, Australia",,,False,3,+61 2 9633 9898,4.40,1224,Sydney
242,"1 Columbia Court, Baulkham Hills New South Wales 2153, Australia",2019-03-01,2019-03-03,True,3,+61 2 9634 9634,4.10,624,Sydney
243,"1, Jalan 2/142a, Taman Len Seng, 56000 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-9100 1133,3.80,132,Kuala Lumpur
244,"1, Jalan Pantai Baharu, Jaya Tower 3, 59200 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-2298 1888,4.20,290,Kuala Lumpur
245,"10, Jalan Binjai, Kuala Lumpur, 50450",,,True,2,+60 3-7490 3333,4.30,5824,Kuala Lumpur
246,"10, Jalan Tun Sambanthan, Brickfields, 50470",,,True,2,+60 3-2273 1222,3.80,4290,Kuala Lumpur
247,"10, Lorong P Ramlee, Kuala Lumpur, 50250",,,True,2,+60 3-2726 6788,4.30,2916,Kuala Lumpur
248,"1020, Jalan Sultan Ismail, 50250",,,True,2,+60 3-2168 1688,4.60,1920,Kuala Lumpur
249,"12, Jalan Raja Laut, Chow Kit, 50350",,,True,2,+60 3-2614 8000,3.60,1860,Kuala Lumpur
250,"120, Jalan Pudu, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-2143 5000,3.70,990,Kuala Lumpur
251,"120, Jalan Raja Abdullah, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-2603 1999,4.30,3456,Kuala Lumpur
252,"121, Jalan Ampang, Kuala Lumpur, 50450",,,True,2,+60 3-2786 8888,4.60,1000,Kuala Lumpur
253,"10, Jalan Binjai, Kuala Lumpur, 50450",2019-03-02,2019-03-08,True,2,+60 3-7490 3333,4.30,3120,Kuala Lumpur
254,1 Addington Street,,,True,3,+44 333 400 6116,4.30,2976,London
255,1 Baffin Way,,,True,5,+44 20 7517 1100,4.10,1080,London
256,1 Connaught Road,,,False,3,+44 871 984 6290,3.70,1044,London
257,1 Duke's Road,,,False,3,+44 871 527 8656,4.10,2349,London
258,1 Ham Yard,,,True,2,+44 20 3642 2000,4.50,1120,London
259,1 Harrow Place,,,False,4,+44 871 984 6190,3.60,2720,London
260,1 King's Cross Road,,,True,1,+44 20 7833 3900,4.10,864,London
261,1 Lancaster Gate,,,True,3,+44 20 7262 5022,3.80,1512,London
262,1 Leicester Square,,,False,1,+44 20 3953 4200,4.40,1360,London
263,1 Seething Lane,,,True,5,+44 20 7702 2020,4.50,3720,London
264,10 East Thomas Road,,,True,3,+1 602-222-1111,4.60,2325,Phoenix
265,10210 North 26th Drive,,,False,3,+1 602-861-3900,3.80,480,Phoenix
266,10838 North 25th Avenue,,,True,3,+1 602-997-8800,4.30,1008,Phoenix
267,1101 North 44th Street,,,True,3,+1 800-228-9290,4.30,2100,Phoenix
268,12027 North 28th Drive,,,True,3,+1 602-548-6000,3.80,936,Phoenix
269,132 South Central Avenue,,,True,3,+1 602-603-2000,4.60,1740,Phoenix
270,15 East Monroe Street,,,True,3,+1 602-343-0006,4.40,2160,Phoenix
271,2 East Jefferson Street,,,True,3,+1 877-488-1908,4.50,5040,Phoenix
272,212 West Osborn Road,,,True,3,+1 800-922-5548,3.30,540,Phoenix
273,2333 East Thomas Road,,,True,3,+1 602-957-1910,3.90,198,Phoenix
274,10 East Thomas Road,2019-03-02,2019-03-07,True,3,+1 602-222-1111,4.60,2325,Phoenix
275,1 Addington Street,,,True,1,+44 333 400 6116,4.30,2772,London
276,1 Baffin Way,,,True,1,+44 20 7517 1100,4.10,2640,London
277,1 Connaught Road,,,False,1,+44 871 984 6290,3.70,2625,London
278,1 Duke's Road,,,False,1,+44 871 527 8656,4.10,2772,London
279,1 Ham Yard,,,True,1,+44 20 3642 2000,4.50,115,London
280,1 Harrow Place,,,False,1,+44 871 984 6190,3.60,560,London
281,1 King's Cross Road,,,True,1,+44 20 7833 3900,4.10,232,London
282,1 Lancaster Gate,,,True,1,+44 20 7262 5022,3.80,264,London
283,1 Leicester Square,,,False,1,+44 20 3953 4200,4.40,560,London
284,1 Seething Lane,,,True,1,+44 20 7702 2020,4.50,4928,London
285,1 Baffin Way,2019-03-02,2019-03-12,True,1,+44 20 7517 1100,4.10,720,London
286,1 Addington Street,,,True,3,+44 333 400 6116,4.20,2772,London
