,car_name,car_type,dropoff_date,pickup_city,pickup_date,pickup_location,pickup_time,total_price
138,Chevrolet Cruze,Standard,2019-03-07,Toronto,2019-03-04,Toronto Pearson International Airport,16:30,132
139,Toyota Camry,Standard,2019-03-07,Toronto,2019-03-04,Toronto Pearson International Airport,16:30,87
140,Toyota Camry,Standard,2019-03-07,,2019-03-04,Toronto Pearson International Airport,16:30,87
141,Ford Fusion,Standard,2019-03-07,Delhi,2019-03-06,Indira Gandhi International Airport,17:00,36
142,Honda Accord,Standard,2019-03-07,Delhi,2019-03-06,Indira Gandhi International Airport,17:00,33
143,Hyundai Elantra,Standard,2019-03-07,Delhi,2019-03-06,Indira Gandhi International Airport,17:00,31
144,Ford Fusion,Standard,2019-03-07,Delhi,2019-03-04,Indira Gandhi International Airport,15:30,93
145,Honda Accord,Standard,2019-03-07,Delhi,2019-03-04,Indira Gandhi International Airport,15:30,75
146,Chevrolet Bolt,Compact,2019-03-07,Delhi,2019-03-04,Indira Gandhi International Airport,15:30,90
147,Honda Fit,Compact,2019-03-07,Delhi,2019-03-04,Indira Gandhi International Airport,15:30,84
148,Volkswagen Golf,Compact,2019-03-07,Delhi,2019-03-04,Indira Gandhi International Airport,15:30,75
149,Chevrolet Bolt,Compact,2019-03-07,,2019-03-04,Indira Gandhi International Airport,15:30,90
150,Chevrolet Cruze,Standard,2019-03-09,San Francisco,2019-03-06,SFO International Airport,19:30,114
151,Ford Fusion,Standard,2019-03-09,San Francisco,2019-03-06,SFO International Airport,19:30,102
152,Nissan Altima,Standard,2019-03-09,San Francisco,2019-03-06,SFO International Airport,19:30,102
153,Toyota Prius,Standard,2019-03-09,San Francisco,2019-03-06,SFO International Airport,19:30,111
154,Toyota Prius,Standard,2019-03-08,Phoenix,2019-03-01,Sky Harbor International Airport,13:30,210
155,Chevrolet Cruze,Standard,2019-03-06,London,2019-03-02,Heathrow International Airport,17:00,148
156,Honda Accord,Standard,2019-03-06,London,2019-03-02,Gatwick International Airport,17:00,132
157,Hyundai Elantra,Standard,2019-03-06,London,2019-03-02,Heathrow International Airport,17:00,116
158,Nissan Altima,Standard,2019-03-06,London,2019-03-02,Heathrow International Airport,17:00,140
159,Toyota Prius,Standard,2019-03-06,London,2019-03-02,Heathrow International Airport,17:00,120
160,Chevrolet Cruze,Standard,2019-03-06,Sydney,2019-03-02,Kingsford Smith International Airport,17:00,128
161,Ford Fusion,Standard,2019-03-06,Sydney,2019-03-02,Kingsford Smith International Airport,17:00,132
162,Hyundai Elantra,Standard,2019-03-06,Sydney,2019-03-02,Kingsford Smith International Airport,17:00,124
163,Toyota Corolla,Standard,2019-03-06,Sydney,2019-03-02,Kingsford Smith International Airport,17:00,128
164,Ford Fusion,Standard,2019-03-06,,2019-03-02,Kingsford Smith International Airport,17:00,132
165,Chevrolet Cruze,Standard,2019-03-06,Philadelphia,2019-03-04,PHL International Airport,18:30,56
166,Ford Fusion,Standard,2019-03-06,Philadelphia,2019-03-04,PHL International Airport,18:30,62
167,Honda Civic,Standard,2019-03-06,Philadelphia,2019-03-04,PHL International Airport,18:30,68
168,Hyundai Elantra,Standard,2019-03-06,Philadelphia,2019-03-04,Intercity Terminal,18:30,58
169,Nissan Altima,Standard,2019-03-06,Philadelphia,2019-03-04,Intercity Terminal,18:30,66
170,Toyota Corolla,Standard,2019-03-06,Philadelphia,2019-03-04,Intercity Terminal,18:30,64
171,Toyota Prius,Standard,2019-03-06,Philadelphia,2019-03-04,Intercity Terminal,18:30,66
172,Honda Fit,Compact,2019-03-06,Philadelphia,2019-03-02,Intercity Terminal,18:30,100
173,Kia Forte,Compact,2019-03-06,Philadelphia,2019-03-02,PHL International Airport,18:30,116
174,Mini Cooper,Compact,2019-03-06,Philadelphia,2019-03-02,Intercity Terminal,18:30,116
175,Volkswagen GTI,Compact,2019-03-06,Philadelphia,2019-03-02,PHL International Airport,18:30,128
176,Honda Fit,Compact,2019-03-06,,2019-03-02,Intercity Terminal,18:30,100
177,Chevrolet Cruze,Standard,2019-03-10,Anaheim,2019-03-09,John Wayne Airport,15:00,33
178,Ford Fusion,Standard,2019-03-10,Anaheim,2019-03-09,John Wayne Airport,15:00,41
179,Honda Accord,Standard,2019-03-10,Anaheim,2019-03-09,John Wayne Airport,15:00,31
180,Hyundai Elantra,Standard,2019-03-10,Anaheim,2019-03-09,Anaheim Intermodal Center,15:00,29
181,Nissan Altima,Standard,2019-03-10,Anaheim,2019-03-09,John Wayne Airport,15:00,37
182,Toyota Camry,Standard,2019-03-10,Anaheim,2019-03-09,Anaheim Intermodal Center,15:00,27
183,Chevrolet Cruze,Standard,2019-03-09,London,2019-03-06,Heathrow International Airport,17:00,93
184,Honda Accord,Standard,2019-03-09,London,2019-03-06,Gatwick International Airport,17:00,102
185,Hyundai Elantra,Standard,2019-03-09,London,2019-03-06,Heathrow International Airport,17:00,87
186,Nissan Altima,Standard,2019-03-09,London,2019-03-06,Heathrow International Airport,17:00,96
187,Toyota Prius,Standard,2019-03-09,London,2019-03-06,Heathrow International Airport,17:00,90
188,Honda Accord,Standard,2019-03-09,,2019-03-06,Gatwick International Airport,17:00,102
189,Nissan Rogue,Full-size,2019-03-09,Washington,2019-03-07,Union Station,15:30,82
190,Subaru Forester,Full-size,2019-03-09,Washington,2019-03-07,Dulles International Airport,15:30,80
191,Nissan Rogue,Full-size,2019-03-09,,2019-03-07,Union Station,15:30,82
192,Chevrolet Cruze,Standard,2019-03-12,Philadelphia,2019-03-08,30th Street Station,11:00,140
193,Ford Fusion,Standard,2019-03-12,Philadelphia,2019-03-08,30th Street Station,11:00,132
194,Hyundai Elantra,Standard,2019-03-12,Philadelphia,2019-03-08,Intercity Terminal,11:00,116
195,Nissan Altima,Standard,2019-03-12,Philadelphia,2019-03-08,30th Street Station,11:00,120
196,Nissan Sentra,Standard,2019-03-12,Philadelphia,2019-03-08,30th Street Station,11:00,116
197,Toyota Corolla,Standard,2019-03-12,Philadelphia,2019-03-08,Intercity Terminal,11:00,124
198,Toyota Prius,Standard,2019-03-12,Philadelphia,2019-03-08,Intercity Terminal,11:00,132
199,Chevrolet Cruze,Standard,2019-03-12,,2019-03-08,30th Street Station,11:00,140
200,Honda Civic,Standard,2019-03-07,New York,2019-03-06,JFK International Airport,10:30,35
201,Hyundai Elantra,Standard,2019-03-07,New York,2019-03-06,Port Authority Station,10:30,33
202,Nissan Altima,Standard,2019-03-07,New York,2019-03-06,Port Authority Station,10:30,26
203,Toyota Camry,Standard,2019-03-07,New York,2019-03-06,JFK International Airport,10:30,32
204,Toyota Corolla,Standard,2019-03-07,New York,2019-03-06,JFK International Airport,10:30,33
205,Toyota Prius,Standard,2019-03-07,New York,2019-03-06,Port Authority Station,10:30,33
206,Honda Civic,Standard,2019-03-07,,2019-03-06,JFK International Airport,10:30,35
207,Chevrolet Cruze,Standard,2019-03-07,Paris,2019-03-05,Charles de Gaulle International Airport,15:00,62
208,Honda Accord,Standard,2019-03-07,Paris,2019-03-05,Charles de Gaulle International Airport,15:00,68
209,Nissan Sentra,Standard,2019-03-07,Paris,2019-03-05,Charles de Gaulle International Airport,15:00,70
210,Toyota Prius,Standard,2019-03-07,Paris,2019-03-05,Charles de Gaulle International Airport,15:00,58
211,Chevrolet Cruze,Standard,2019-03-07,Paris,2019-03-03,Charles de Gaulle International Airport,15:00,104
212,Honda Accord,Standard,2019-03-07,Paris,2019-03-03,Charles de Gaulle International Airport,15:00,128
213,Nissan Sentra,Standard,2019-03-07,Paris,2019-03-03,Charles de Gaulle International Airport,15:00,160
214,Honda Accord,Standard,2019-03-07,,2019-03-03,Charles de Gaulle International Airport,15:00,128
215,Chevrolet Cruze,Standard,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,155
216,Ford Fusion,Standard,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,165
217,Honda Accord,Standard,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,180
218,Hyundai Elantra,Standard,2019-03-13,Anaheim,2019-03-08,Anaheim Intermodal Center,14:00,140
219,Nissan Altima,Standard,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,160
220,Chevrolet Bolt,Compact,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,125
221,Honda Fit,Compact,2019-03-13,Anaheim,2019-03-08,Anaheim Intermodal Center,14:00,130
222,Kia Forte,Compact,2019-03-13,Anaheim,2019-03-08,Anaheim Intermodal Center,14:00,110
223,Nissan Leaf,Compact,2019-03-13,Anaheim,2019-03-08,Anaheim Intermodal Center,14:00,135
224,Volkswagen GTI,Compact,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,120
225,Volkswagen Golf,Compact,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,140
226,Ford Escape,Full-size,2019-03-13,Anaheim,2019-03-08,John Wayne Airport,14:00,220
227,Hyundai Tucson,Full-size,2019-03-13,Anaheim,2019-03-08,Anaheim Intermodal Center,14:00,165
228,Chevrolet Cruze,Standard,2019-03-06,Paris,2019-03-04,Charles de Gaulle International Airport,16:30,68
229,Honda Accord,Standard,2019-03-06,Paris,2019-03-04,Charles de Gaulle International Airport,16:30,76
230,Nissan Sentra,Standard,2019-03-06,Paris,2019-03-04,Charles de Gaulle International Airport,16:30,66
231,Toyota Prius,Standard,2019-03-06,Paris,2019-03-04,Charles de Gaulle International Airport,16:30,58
232,Honda Accord,Standard,2019-03-06,,2019-03-04,Charles de Gaulle International Airport,16:30,76
233,Hyundai Elantra,Standard,2019-03-11,Vancouver,2019-03-06,YVR International Airport,12:30,175
234,Nissan Altima,Standard,2019-03-11,Vancouver,2019-03-06,YVR International Airport,12:30,135
235,Toyota Corolla,Standard,2019-03-11,Vancouver,2019-03-06,YVR International Airport,12:30,145
236,Chevrolet Cruze,Standard,2019-03-11,Vancouver,2019-03-06,Pacific Central Station,13:00,150
237,Toyota Prius,Standard,2019-03-11,Vancouver,2019-03-06,Pacific Central Station,13:00,150
238,Toyota Corolla,Standard,2019-03-11,,2019-03-06,YVR International Airport,12:30,145
239,Chevrolet Equinox,Full-size,2019-03-14,Vancouver,2019-03-11,Pacific Central Station,13:00,135
240,Hyundai Tucson,Full-size,2019-03-14,Vancouver,2019-03-11,Pacific Central Station,13:00,138
241,Subaru Forester,Full-size,2019-03-14,Vancouver,2019-03-11,YVR International Airport,12:30,132
242,Chevrolet Equinox,Full-size,2019-03-14,,2019-03-11,Pacific Central Station,13:00,135
243,Kia Forte,Compact,2019-03-09,Toronto,2019-03-02,Toronto Pearson International Airport,16:30,140
244,Mini Cooper,Compact,2019-03-09,Toronto,2019-03-02,Toronto Pearson International Airport,16:30,203
245,Honda Accord,Standard,2019-03-14,Washington,2019-03-11,Union Station,16:30,87
246,Honda Civic,Standard,2019-03-14,Washington,2019-03-11,Union Station,16:30,93
247,Toyota Camry,Standard,2019-03-14,Washington,2019-03-11,Dulles International Airport,16:30,93
248,Toyota Prius,Standard,2019-03-14,Washington,2019-03-11,Dulles International Airport,16:30,102
249,Toyota Camry,Standard,2019-03-14,,2019-03-11,Dulles International Airport,16:30,93
250,Chevrolet Cruze,Standard,2019-03-12,Atlanta,2019-03-11,Hartsfield-Jackson International Airport,15:00,29
251,Nissan Sentra,Standard,2019-03-12,Atlanta,2019-03-11,Hartsfield-Jackson International Airport,15:00,35
252,Toyota Camry,Standard,2019-03-12,Atlanta,2019-03-11,Hartsfield-Jackson International Airport,15:00,33
253,Toyota Prius,Standard,2019-03-12,Atlanta,2019-03-11,Peachtree Station,15:00,33
254,Ford Fusion,Standard,2019-03-11,Seattle,2019-03-08,King Street Station,13:30,93
255,Honda Civic,Standard,2019-03-11,Seattle,2019-03-08,Seattle-Tacoma International Airport,13:30,111
256,Hyundai Elantra,Standard,2019-03-11,Seattle,2019-03-08,King Street Station,13:30,78
257,Nissan Sentra,Standard,2019-03-11,Seattle,2019-03-08,Seattle-Tacoma International Airport,13:30,90
258,Toyota Prius,Standard,2019-03-11,Seattle,2019-03-08,Seattle-Tacoma International Airport,13:30,90
259,Honda Civic,Standard,2019-03-11,,2019-03-08,Seattle-Tacoma International Airport,13:30,111
260,Honda Civic,Standard,2019-03-12,New York,2019-03-06,JFK International Airport,10:30,210
261,Toyota Corolla,Standard,2019-03-12,New York,2019-03-06,JFK International Airport,10:30,216
262,Chevrolet Cruze,Standard,2019-03-05,Portland,2019-03-04,PDX International Airport,13:00,33
263,Ford Fusion,Standard,2019-03-05,Portland,2019-03-04,Union Station,13:00,29
264,Honda Accord,Standard,2019-03-05,Portland,2019-03-04,PDX International Airport,13:00,37
265,Honda Civic,Standard,2019-03-05,Portland,2019-03-04,PDX International Airport,13:00,34
266,Nissan Sentra,Standard,2019-03-05,Portland,2019-03-04,Portland Bus Station,13:00,26
267,Toyota Camry,Standard,2019-03-05,Portland,2019-03-04,Portland Bus Station,13:00,31
268,Toyota Corolla,Standard,2019-03-05,Portland,2019-03-04,Union Station,13:00,32
269,Toyota Prius,Standard,2019-03-05,Portland,2019-03-04,PDX International Airport,13:00,40
270,Honda Accord,Standard,2019-03-05,Portland,2019-03-04,Portland Bus Station,20:00,35
271,Nissan Sentra,Standard,2019-03-05,Portland,2019-03-04,Portland Bus Station,20:00,26
272,Toyota Camry,Standard,2019-03-05,Portland,2019-03-04,Portland Bus Station,20:00,31
273,Toyota Prius,Standard,2019-03-05,Portland,2019-03-04,Portland Bus Station,20:00,31
274,Honda Accord,Standard,2019-03-05,,2019-03-04,Portland Bus Station,20:00,35
275,Chevrolet Cruze,Standard,2019-03-03,Anaheim,2019-03-01,John Wayne Airport,14:00,72
276,Ford Fusion,Standard,2019-03-03,Anaheim,2019-03-01,John Wayne Airport,14:00,68
277,Honda Accord,Standard,2019-03-03,Anaheim,2019-03-01,John Wayne Airport,14:00,62
278,Hyundai Elantra,Standard,2019-03-03,Anaheim,2019-03-01,Anaheim Intermodal Center,14:00,60
279,Nissan Altima,Standard,2019-03-03,Anaheim,2019-03-01,John Wayne Airport,14:00,64
280,Toyota Camry,Standard,2019-03-03,Anaheim,2019-03-01,Anaheim Intermodal Center,14:00,56
281,Honda Accord,Standard,2019-03-03,,2019-03-01,John Wayne Airport,14:00,62
282,Ford Fusion,Standard,2019-03-08,Delhi,2019-03-06,Indira Gandhi International Airport,17:00,62
283,Honda Accord,Standard,2019-03-08,Delhi,2019-03-06,Indira Gandhi International Airport,17:00,74
284,Hyundai Elantra,Standard,2019-03-08,Delhi,2019-03-06,Indira Gandhi International Airport,17:00,66
