,car_name,dropoff_date,pickup_city,pickup_date,pickup_location,pickup_time,total_price,type
31,Fit,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,26,Compact
32,Forester,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,41,Full-size
33,Forte,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,29,Compact
34,GTI,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,30,Compact
35,Tucson,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,50,Full-size
36,Camry,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,76,Standard
37,Cooper,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,54,Compact
38,Cruze,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,66,Standard
39,Equinox,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,90,Full-size
40,Fit,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,54,Compact
41,Forester,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,76,Full-size
42,Forte,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,60,Compact
43,GTI,2019-03-06,Toronto,2019-03-04,Toronto Pearson International Airport,11:00,54,Compact
44,Accord,2019-03-07,Phoenix,2019-03-06,Sky Harbor International Airport,18:00,38,Standard
45,Camry,2019-03-07,Phoenix,2019-03-06,Sky Harbor International Airport,18:00,31,Standard
46,Prius,2019-03-07,Phoenix,2019-03-06,Sky Harbor International Airport,18:00,30,Standard
47,CR-V,2019-03-10,Portland,2019-03-06,PDX International Airport,14:00,216,Full-size
48,Cherokee,2019-03-10,Portland,2019-03-06,Union Station,14:00,168,Full-size
49,RAV4,2019-03-10,Portland,2019-03-06,PDX International Airport,14:00,156,Full-size
50,CR-V,2019-03-10,,2019-03-06,PDX International Airport,14:00,216,Full-size
51,Accord,2019-03-10,San Diego,2019-03-07,Santa Fe Depot,13:30,87,Standard
52,Camry,2019-03-10,San Diego,2019-03-07,SAN International Airport,13:30,96,Standard
53,Civic,2019-03-10,San Diego,2019-03-07,Santa Fe Depot,13:30,81,Standard
54,Elantra,2019-03-10,San Diego,2019-03-07,SAN International Airport,13:30,78,Standard
55,Fusion,2019-03-10,San Diego,2019-03-07,SAN International Airport,13:30,114,Standard
56,Sentra,2019-03-10,San Diego,2019-03-07,Santa Fe Depot,13:30,87,Standard
57,Accord,2019-03-08,Paris,2019-03-04,Charles de Gaulle International Airport,18:00,132,Standard
58,Cruze,2019-03-08,Paris,2019-03-04,Charles de Gaulle International Airport,18:00,132,Standard
59,Prius,2019-03-08,Paris,2019-03-04,Charles de Gaulle International Airport,18:00,120,Standard
60,Sentra,2019-03-08,Paris,2019-03-04,Charles de Gaulle International Airport,18:00,144,Standard
61,Accord,2019-03-08,Paris,2019-03-07,Charles de Gaulle International Airport,18:00,29,Standard
62,Cruze,2019-03-08,Paris,2019-03-07,Charles de Gaulle International Airport,18:00,33,Standard
63,Prius,2019-03-08,,2019-03-07,Charles de Gaulle International Airport,18:00,28,Standard
64,Altima,2019-03-09,Philadelphia,2019-03-06,30th Street Station,15:00,90,Standard
65,Civic,2019-03-09,Philadelphia,2019-03-06,PHL International Airport,15:00,129,Standard
66,Corolla,2019-03-09,Philadelphia,2019-03-06,Intercity Terminal,15:00,90,Standard
67,Cruze,2019-03-09,Philadelphia,2019-03-06,PHL International Airport,15:00,108,Standard
68,Elantra,2019-03-09,Philadelphia,2019-03-06,Intercity Terminal,15:00,99,Standard
69,Fusion,2019-03-09,Philadelphia,2019-03-06,PHL International Airport,15:00,114,Standard
70,Prius,2019-03-09,Philadelphia,2019-03-06,Intercity Terminal,15:00,87,Standard
71,Sentra,2019-03-09,Philadelphia,2019-03-06,30th Street Station,15:00,75,Standard
72,Altima,2019-03-09,,2019-03-06,30th Street Station,15:00,90,Standard
73,Accord,2019-03-14,Long Beach,2019-03-11,LGB Airport,18:00,90,Standard
74,Corolla,2019-03-14,Long Beach,2019-03-11,LGB Airport,18:00,102,Standard
75,Cruze,2019-03-14,Long Beach,2019-03-11,LGB Airport,18:00,108,Standard
76,Fusion,2019-03-14,Long Beach,2019-03-11,Downtown Station,18:00,84,Standard
77,Prius,2019-03-14,Long Beach,2019-03-11,Downtown Station,18:00,84,Standard
78,Accord,2019-03-14,,2019-03-11,LGB Airport,18:00,90,Standard
79,Accord,2019-03-11,New York,2019-03-05,Grand Central Station,12:00,204,Standard
80,Altima,2019-03-11,New York,2019-03-05,Port Authority Station,12:00,210,Standard
81,Camry,2019-03-11,New York,2019-03-05,JFK International Airport,12:00,180,Standard
82,Elantra,2019-03-11,New York,2019-03-05,Port Authority Station,12:00,156,Standard
83,Accord,2019-03-11,,2019-03-05,Grand Central Station,12:00,204,Standard
84,Accord,2019-03-08,Fresno,2019-03-05,Fresno Station,17:00,99,Standard
85,Altima,2019-03-08,Fresno,2019-03-05,Fresno Yosemite International Airport,17:00,90,Standard
86,Camry,2019-03-08,Fresno,2019-03-05,Fresno Yosemite International Airport,17:00,93,Standard
87,Corolla,2019-03-08,Fresno,2019-03-05,Fresno Yosemite International Airport,17:00,99,Standard
88,Cruze,2019-03-08,Fresno,2019-03-05,Fresno Station,17:00,93,Standard
89,Sentra,2019-03-08,Fresno,2019-03-05,Fresno Yosemite International Airport,17:00,90,Standard
90,Camry,2019-03-05,Mexico City,2019-03-03,Estacion Buenavista,13:30,38,Standard
91,Civic,2019-03-05,Mexico City,2019-03-03,Estacion Buenavista,13:30,36,Standard
92,Corolla,2019-03-05,Mexico City,2019-03-03,Benito Juarez International Airport,13:30,56,Standard
93,Cruze,2019-03-05,Mexico City,2019-03-03,Estacion Buenavista,13:30,42,Standard
94,Prius,2019-03-05,Mexico City,2019-03-03,Benito Juarez International Airport,13:30,48,Standard
95,Sentra,2019-03-05,Mexico City,2019-03-03,Benito Juarez International Airport,13:30,48,Standard
96,Corolla,2019-03-05,,2019-03-03,Benito Juarez International Airport,13:30,56,Standard
97,Accord,2019-03-12,Sacramento,2019-03-09,SMF International Airport,15:30,84,Standard
98,Camry,2019-03-12,Sacramento,2019-03-09,SMF International Airport,15:30,99,Standard
99,Civic,2019-03-12,Sacramento,2019-03-09,SMF International Airport,15:30,102,Standard
100,Corolla,2019-03-12,Sacramento,2019-03-09,Sacramento Valley Station,15:30,90,Standard
101,Fusion,2019-03-12,Sacramento,2019-03-09,SMF International Airport,15:30,99,Standard
102,Accord,2019-03-12,,2019-03-09,SMF International Airport,15:30,84,Standard
103,Camry,2019-03-14,Portland,2019-03-11,Portland Bus Station,10:00,105,Standard
104,Sentra,2019-03-14,Portland,2019-03-11,Portland Bus Station,10:00,93,Standard
105,Accord,2019-03-14,Portland,2019-03-11,PDX International Airport,09:30,117,Standard
106,Civic,2019-03-14,Portland,2019-03-11,PDX International Airport,09:30,84,Standard
107,Cruze,2019-03-14,Portland,2019-03-11,PDX International Airport,09:30,90,Standard
108,Prius,2019-03-14,Portland,2019-03-11,PDX International Airport,09:30,114,Standard
109,Forte,2019-03-14,Portland,2019-03-11,Portland Bus Station,10:00,66,Compact
110,Leaf,2019-03-14,Portland,2019-03-11,Portland Bus Station,10:00,63,Compact
111,Cooper,2019-03-14,Portland,2019-03-11,PDX International Airport,09:30,75,Compact
112,Golf,2019-03-14,Portland,2019-03-11,PDX International Airport,09:30,87,Compact
113,Accord,2019-03-04,Sacramento,2019-03-03,SMF International Airport,18:30,29,Standard
114,Camry,2019-03-04,Sacramento,2019-03-03,SMF International Airport,18:30,32,Standard
115,Civic,2019-03-04,Sacramento,2019-03-03,SMF International Airport,18:30,30,Standard
116,Fusion,2019-03-04,Sacramento,2019-03-03,SMF International Airport,18:30,35,Standard
117,Accord,2019-03-04,,2019-03-03,SMF International Airport,18:30,29,Standard
118,Accord,2019-03-14,Sacramento,2019-03-10,SMF International Airport,19:30,100,Standard
119,Camry,2019-03-14,Sacramento,2019-03-10,SMF International Airport,19:30,136,Standard
120,Civic,2019-03-14,Sacramento,2019-03-10,SMF International Airport,19:30,120,Standard
121,Fusion,2019-03-14,Sacramento,2019-03-10,SMF International Airport,19:30,144,Standard
122,Bolt,2019-03-14,Sacramento,2019-03-10,SMF International Airport,19:30,108,Compact
123,Forte,2019-03-14,Sacramento,2019-03-10,SMF International Airport,19:30,112,Compact
124,Altima,2019-03-11,London,2019-03-05,Heathrow International Airport,15:00,216,Standard
125,Cruze,2019-03-11,London,2019-03-05,Heathrow International Airport,15:00,204,Standard
126,Elantra,2019-03-11,London,2019-03-05,Heathrow International Airport,15:00,210,Standard
127,Prius,2019-03-11,London,2019-03-05,Heathrow International Airport,15:00,186,Standard
128,Corolla,2019-03-04,Portland,2019-03-02,Union Station,12:00,58,Standard
129,Fusion,2019-03-04,Portland,2019-03-02,Union Station,12:00,62,Standard
130,Accord,2019-03-04,Portland,2019-03-02,PDX International Airport,11:30,70,Standard
131,Camry,2019-03-04,Portland,2019-03-02,Portland Bus Station,11:30,50,Standard
132,Civic,2019-03-04,Portland,2019-03-02,PDX International Airport,11:30,68,Standard
133,Cruze,2019-03-04,Portland,2019-03-02,PDX International Airport,11:30,64,Standard
134,Prius,2019-03-04,Portland,2019-03-02,PDX International Airport,11:30,64,Standard
135,Sentra,2019-03-04,Portland,2019-03-02,Portland Bus Station,11:30,46,Standard
136,Accord,2019-03-04,Portland,2019-03-02,PDX International Airport,12:00,70,Standard
137,Camry,2019-03-04,Portland,2019-03-02,Portland Bus Station,12:00,50,Standard
138,Civic,2019-03-04,Portland,2019-03-02,PDX International Airport,12:00,68,Standard
139,Cruze,2019-03-04,Portland,2019-03-02,PDX International Airport,12:00,64,Standard
140,Prius,2019-03-04,Portland,2019-03-02,PDX International Airport,12:00,64,Standard
141,Accord,2019-03-13,Phoenix,2019-03-11,Sky Harbor International Airport,15:30,62,Standard
142,Camry,2019-03-13,Phoenix,2019-03-11,Sky Harbor International Airport,15:30,62,Standard
143,Prius,2019-03-13,Phoenix,2019-03-11,Sky Harbor International Airport,15:30,72,Standard
144,Prius,2019-03-13,,2019-03-11,Sky Harbor International Airport,15:30,72,Standard
145,Cherokee,2019-03-14,San Diego,2019-03-13,Santa Fe Depot,13:00,43,Full-size
146,Equinox,2019-03-14,San Diego,2019-03-13,Santa Fe Depot,13:00,44,Full-size
147,Escape,2019-03-14,San Diego,2019-03-13,Santa Fe Depot,13:00,44,Full-size
148,Highlander,2019-03-14,San Diego,2019-03-13,SAN International Airport,12:30,41,Full-size
149,RAV4,2019-03-14,San Diego,2019-03-13,SAN International Airport,12:30,49,Full-size
150,Tucson,2019-03-14,San Diego,2019-03-13,SAN International Airport,12:30,42,Full-size
151,Cherokee,2019-03-14,,2019-03-13,Santa Fe Depot,13:00,43,Full-size
152,Accord,2019-03-09,San Diego,2019-03-05,Santa Fe Depot,13:30,132,Standard
153,Camry,2019-03-09,San Diego,2019-03-05,SAN International Airport,13:30,124,Standard
154,Civic,2019-03-09,San Diego,2019-03-05,Santa Fe Depot,13:30,116,Standard
155,Elantra,2019-03-09,San Diego,2019-03-05,SAN International Airport,13:30,116,Standard
156,Fusion,2019-03-09,San Diego,2019-03-05,SAN International Airport,13:30,132,Standard
157,Sentra,2019-03-09,San Diego,2019-03-05,Santa Fe Depot,13:30,120,Standard
158,Accord,2019-03-09,,2019-03-05,Santa Fe Depot,13:30,132,Standard
159,Altima,2019-03-11,Philadelphia,2019-03-09,30th Street Station,15:00,60,Standard
160,Civic,2019-03-11,Philadelphia,2019-03-09,PHL International Airport,15:00,76,Standard
161,Corolla,2019-03-11,Philadelphia,2019-03-09,Intercity Terminal,15:00,50,Standard
162,Cruze,2019-03-11,Philadelphia,2019-03-09,PHL International Airport,15:00,70,Standard
163,Elantra,2019-03-11,Philadelphia,2019-03-09,Intercity Terminal,15:00,64,Standard
164,Fusion,2019-03-11,Philadelphia,2019-03-09,PHL International Airport,15:00,68,Standard
165,Prius,2019-03-11,Philadelphia,2019-03-09,Intercity Terminal,15:00,60,Standard
166,Sentra,2019-03-11,Philadelphia,2019-03-09,30th Street Station,15:00,58,Standard
167,Corolla,2019-03-11,,2019-03-09,Intercity Terminal,15:00,50,Standard
168,Camry,2019-03-05,Mexico City,2019-03-04,Estacion Buenavista,12:30,18,Standard
169,Civic,2019-03-05,Mexico City,2019-03-04,Estacion Buenavista,12:30,17,Standard
170,Corolla,2019-03-05,Mexico City,2019-03-04,Benito Juarez International Airport,12:30,22,Standard
171,Cruze,2019-03-05,Mexico City,2019-03-04,Estacion Buenavista,12:30,17,Standard
172,Prius,2019-03-05,Mexico City,2019-03-04,Benito Juarez International Airport,12:30,24,Standard
173,Sentra,2019-03-05,Mexico City,2019-03-04,Benito Juarez International Airport,12:30,21,Standard
174,Cooper,2019-03-05,Mexico City,2019-03-04,Benito Juarez International Airport,12:30,17,Compact
175,Fit,2019-03-05,Mexico City,2019-03-04,Benito Juarez International Airport,12:30,16,Compact
176,Forte,2019-03-05,Mexico City,2019-03-04,Benito Juarez International Airport,12:30,14,Compact
177,Golf,2019-03-05,Mexico City,2019-03-04,Benito Juarez International Airport,12:30,17,Compact
178,Cooper,2019-03-05,,2019-03-04,Benito Juarez International Airport,12:30,17,Compact
179,Accord,2019-03-02,London,2019-03-01,Gatwick International Airport,12:00,35,Standard
180,Altima,2019-03-02,London,2019-03-01,Heathrow International Airport,12:00,35,Standard
181,Cruze,2019-03-02,London,2019-03-01,Heathrow International Airport,12:00,34,Standard
182,Elantra,2019-03-02,London,2019-03-01,Heathrow International Airport,12:00,36,Standard
183,Prius,2019-03-02,London,2019-03-01,Heathrow International Airport,12:00,29,Standard
184,Altima,2019-03-02,,2019-03-01,Heathrow International Airport,12:00,35,Standard
185,Camry,2019-03-06,Mexico City,2019-03-05,Estacion Buenavista,15:30,23,Standard
186,Civic,2019-03-06,Mexico City,2019-03-05,Estacion Buenavista,15:30,21,Standard
187,Corolla,2019-03-06,Mexico City,2019-03-05,Benito Juarez International Airport,15:30,24,Standard
188,Cruze,2019-03-06,Mexico City,2019-03-05,Estacion Buenavista,15:30,20,Standard
189,Prius,2019-03-06,Mexico City,2019-03-05,Benito Juarez International Airport,15:30,23,Standard
190,Sentra,2019-03-06,Mexico City,2019-03-05,Benito Juarez International Airport,15:30,22,Standard
191,Camry,2019-03-06,,2019-03-05,Estacion Buenavista,15:30,23,Standard
192,Camry,2019-03-10,Toronto,2019-03-07,Toronto Pearson International Airport,14:00,96,Standard
193,Cruze,2019-03-10,Toronto,2019-03-07,Toronto Pearson International Airport,14:00,84,Standard
194,Camry,2019-03-10,,2019-03-07,Toronto Pearson International Airport,14:00,96,Standard
195,Accord,2019-03-13,Vancouver,2019-03-09,YVR International Airport,15:00,144,Standard
196,Altima,2019-03-13,Vancouver,2019-03-09,YVR International Airport,15:00,132,Standard
197,Corolla,2019-03-13,Vancouver,2019-03-09,YVR International Airport,15:00,148,Standard
198,Cruze,2019-03-13,Vancouver,2019-03-09,Pacific Central Station,15:00,124,Standard
199,Elantra,2019-03-13,Vancouver,2019-03-09,YVR International Airport,15:00,120,Standard
200,Prius,2019-03-13,Vancouver,2019-03-09,Pacific Central Station,15:00,112,Standard
201,Sentra,2019-03-13,Vancouver,2019-03-09,Pacific Central Station,15:00,140,Standard
202,Accord,2019-03-13,,2019-03-09,YVR International Airport,15:00,144,Standard
203,Camry,2019-03-08,Atlanta,2019-03-05,Hartsfield-Jackson International Airport,16:30,78,Standard
204,Cruze,2019-03-08,Atlanta,2019-03-05,Hartsfield-Jackson International Airport,16:30,96,Standard
205,Prius,2019-03-08,Atlanta,2019-03-05,Peachtree Station,16:30,96,Standard
206,Sentra,2019-03-08,Atlanta,2019-03-05,Hartsfield-Jackson International Airport,16:30,111,Standard
207,Cruze,2019-03-08,,2019-03-05,Hartsfield-Jackson International Airport,16:30,96,Standard
208,Bolt,2019-03-05,Washington,2019-03-03,Dulles International Airport,18:00,48,Compact
209,Fit,2019-03-05,Washington,2019-03-03,Dulles International Airport,18:00,60,Compact
210,Golf,2019-03-05,Washington,2019-03-03,Dulles International Airport,18:00,56,Compact
211,Leaf,2019-03-05,Washington,2019-03-03,Dulles International Airport,18:00,50,Compact
212,Bolt,2019-03-05,,2019-03-03,Dulles International Airport,18:00,48,Compact
213,Accord,2019-03-09,Vancouver,2019-03-06,YVR International Airport,15:00,90,Standard
214,Altima,2019-03-09,Vancouver,2019-03-06,YVR International Airport,15:00,102,Standard
215,Corolla,2019-03-09,Vancouver,2019-03-06,YVR International Airport,15:00,99,Standard
216,Cruze,2019-03-09,Vancouver,2019-03-06,Pacific Central Station,15:00,72,Standard
217,Elantra,2019-03-09,Vancouver,2019-03-06,YVR International Airport,15:00,93,Standard
218,Prius,2019-03-09,Vancouver,2019-03-06,Pacific Central Station,15:00,111,Standard
219,Sentra,2019-03-09,Vancouver,2019-03-06,Pacific Central Station,15:00,81,Standard
220,Sentra,2019-03-09,Vancouver,2019-03-03,Pacific Central Station,13:00,180,Standard
221,Accord,2019-03-09,Vancouver,2019-03-03,YVR International Airport,12:30,210,Standard
222,Altima,2019-03-09,Vancouver,2019-03-03,YVR International Airport,12:30,186,Standard
223,Corolla,2019-03-09,Vancouver,2019-03-03,YVR International Airport,12:30,228,Standard
224,Elantra,2019-03-09,Vancouver,2019-03-03,YVR International Airport,12:30,216,Standard
225,Sentra,2019-03-09,,2019-03-03,Pacific Central Station,13:00,180,Standard
226,Altima,2019-03-04,San Francisco,2019-03-01,SFO International Airport,15:30,111,Standard
227,Civic,2019-03-04,San Francisco,2019-03-01,Salesforce Transit Center,15:30,87,Standard
228,Cruze,2019-03-04,San Francisco,2019-03-01,SFO International Airport,15:30,96,Standard
229,Fusion,2019-03-04,San Francisco,2019-03-01,SFO International Airport,15:30,105,Standard
230,Prius,2019-03-04,San Francisco,2019-03-01,SFO International Airport,15:30,93,Standard
231,Sentra,2019-03-04,San Francisco,2019-03-01,Salesforce Transit Center,15:30,81,Standard
232,Altima,2019-03-04,,2019-03-01,SFO International Airport,15:30,111,Standard
233,Bolt,2019-03-12,Paris,2019-03-10,Charles de Gaulle International Airport,17:00,46,Compact
234,Cooper,2019-03-12,Paris,2019-03-10,Charles de Gaulle International Airport,17:00,52,Compact
235,Fit,2019-03-12,Paris,2019-03-10,Charles de Gaulle International Airport,17:00,52,Compact
236,Leaf,2019-03-12,Paris,2019-03-10,Charles de Gaulle International Airport,17:00,54,Compact
237,Fit,2019-03-12,,2019-03-10,Charles de Gaulle International Airport,17:00,52,Compact
238,Bolt,2019-03-13,Paris,2019-03-07,Charles de Gaulle International Airport,15:00,162,Compact
239,Fit,2019-03-13,Paris,2019-03-07,Charles de Gaulle International Airport,15:00,162,Compact
240,Bolt,2019-03-13,,2019-03-07,Charles de Gaulle International Airport,15:00,162,Compact
241,Elantra,2019-03-11,Nairobi,2019-03-08,Jomo Kenyatta International Airport,12:30,72,Standard
242,Prius,2019-03-11,Nairobi,2019-03-08,Jomo Kenyatta International Airport,12:30,78,Standard
243,Cooper,2019-03-11,Nairobi,2019-03-08,Jomo Kenyatta International Airport,12:30,51,Compact
244,Fit,2019-03-11,Nairobi,2019-03-08,Jomo Kenyatta International Airport,12:30,39,Compact
245,Leaf,2019-03-11,Nairobi,2019-03-08,Jomo Kenyatta International Airport,12:30,51,Compact
246,Cooper,2019-03-11,,2019-03-08,Jomo Kenyatta International Airport,12:30,51,Compact
247,Bolt,2019-03-14,Washington,2019-03-08,Dulles International Airport,18:30,180,Compact
248,Fit,2019-03-14,Washington,2019-03-08,Union Station,18:30,168,Compact
249,Golf,2019-03-14,Washington,2019-03-08,Dulles International Airport,18:30,168,Compact
250,Leaf,2019-03-14,Washington,2019-03-08,Union Station,18:30,174,Compact
251,Bolt,2019-03-14,,2019-03-08,Dulles International Airport,18:30,180,Compact
252,Accord,2019-03-12,Portland,2019-03-09,PDX International Airport,18:00,99,Standard
253,Camry,2019-03-12,Portland,2019-03-09,Portland Bus Station,18:00,93,Standard
254,Civic,2019-03-12,Portland,2019-03-09,PDX International Airport,18:00,105,Standard
255,Cruze,2019-03-12,Portland,2019-03-09,PDX International Airport,18:00,99,Standard
256,Prius,2019-03-12,Portland,2019-03-09,PDX International Airport,18:00,99,Standard
257,Sentra,2019-03-12,Portland,2019-03-09,Portland Bus Station,18:00,84,Standard
258,Camry,2019-03-12,,2019-03-09,Portland Bus Station,18:00,93,Standard
259,Bolt,2019-03-09,Delhi,2019-03-06,Indira Gandhi International Airport,15:00,84,Compact
260,Fit,2019-03-09,Delhi,2019-03-06,Indira Gandhi International Airport,15:00,87,Compact
261,Golf,2019-03-09,Delhi,2019-03-06,Indira Gandhi International Airport,15:00,87,Compact
262,Bolt,2019-03-09,Vancouver,2019-03-06,YVR International Airport,15:00,90,Compact
263,Cooper,2019-03-09,Vancouver,2019-03-06,YVR International Airport,15:00,81,Compact
264,Fit,2019-03-09,Vancouver,2019-03-06,YVR International Airport,15:00,81,Compact
265,Forte,2019-03-09,Vancouver,2019-03-06,Pacific Central Station,15:00,72,Compact
266,Golf,2019-03-09,Vancouver,2019-03-06,Pacific Central Station,15:00,81,Compact
267,Bolt,2019-03-10,Chicago,2019-03-07,Chicago Union Station,14:00,69,Compact
268,Cooper,2019-03-10,Chicago,2019-03-07,O'Hare International Airport,14:00,84,Compact
269,Forte,2019-03-10,Chicago,2019-03-07,O'Hare International Airport,14:00,90,Compact
270,Golf,2019-03-10,Chicago,2019-03-07,Chicago Union Station,14:00,78,Compact
271,Leaf,2019-03-10,Chicago,2019-03-07,Chicago Union Station,14:00,78,Compact
272,Cooper,2019-03-08,Chicago,2019-03-07,O'Hare International Airport,12:30,27,Compact
273,Forte,2019-03-08,Chicago,2019-03-07,O'Hare International Airport,12:30,25,Compact
274,Bolt,2019-03-08,Chicago,2019-03-07,Chicago Union Station,13:00,20,Compact
275,Golf,2019-03-08,Chicago,2019-03-07,Chicago Union Station,13:00,23,Compact
276,Leaf,2019-03-08,Chicago,2019-03-07,Chicago Union Station,13:00,26,Compact
277,Forte,2019-03-08,,2019-03-07,O'Hare International Airport,12:30,25,Compact
278,Accord,2019-03-11,Paris,2019-03-06,Charles de Gaulle International Airport,12:30,175,Standard
279,Cruze,2019-03-11,Paris,2019-03-06,Charles de Gaulle International Airport,12:30,180,Standard
280,Prius,2019-03-11,Paris,2019-03-06,Charles de Gaulle International Airport,12:30,140,Standard
281,Sentra,2019-03-11,Paris,2019-03-06,Charles de Gaulle International Airport,12:30,155,Standard
282,Accord,2019-03-11,Paris,2019-03-08,Charles de Gaulle International Airport,13:30,108,Standard
283,Cruze,2019-03-11,Paris,2019-03-08,Charles de Gaulle International Airport,13:30,96,Standard
284,Prius,2019-03-11,Paris,2019-03-08,Charles de Gaulle International Airport,13:30,108,Standard
285,Sentra,2019-03-11,Paris,2019-03-08,Charles de Gaulle International Airport,13:30,96,Standard
286,Prius,2019-03-11,,2019-03-08,Charles de Gaulle International Airport,13:30,108,Standard
287,Accord,2019-03-08,Vancouver,2019-03-05,YVR International Airport,16:30,114,Standard
288,Altima,2019-03-08,Vancouver,2019-03-05,YVR International Airport,16:30,93,Standard
289,Corolla,2019-03-08,Vancouver,2019-03-05,YVR International Airport,16:30,108,Standard
290,Cruze,2019-03-08,Vancouver,2019-03-05,Pacific Central Station,16:30,96,Standard
291,Elantra,2019-03-08,Vancouver,2019-03-05,YVR International Airport,16:30,93,Standard
292,Prius,2019-03-08,Vancouver,2019-03-05,Pacific Central Station,16:30,111,Standard
293,Sentra,2019-03-08,Vancouver,2019-03-05,Pacific Central Station,16:30,90,Standard
294,Escape,2019-03-08,Anaheim,2019-03-05,John Wayne Airport,16:30,150,Full-size
295,Forester,2019-03-08,Anaheim,2019-03-05,John Wayne Airport,16:30,132,Full-size
296,Highlander,2019-03-08,Anaheim,2019-03-05,Anaheim Intermodal Center,16:30,111,Full-size
297,Rogue,2019-03-08,Anaheim,2019-03-05,Anaheim Intermodal Center,16:30,111,Full-size
298,Tucson,2019-03-08,Anaheim,2019-03-05,Anaheim Intermodal Center,16:30,123,Full-size
299,Escape,2019-03-05,Anaheim,2019-03-04,John Wayne Airport,16:30,45,Full-size
300,Forester,2019-03-05,Anaheim,2019-03-04,John Wayne Airport,16:30,40,Full-size
301,Highlander,2019-03-05,Anaheim,2019-03-04,Anaheim Intermodal Center,16:30,43,Full-size
302,Rogue,2019-03-05,Anaheim,2019-03-04,Anaheim Intermodal Center,16:30,45,Full-size
303,Tucson,2019-03-05,Anaheim,2019-03-04,Anaheim Intermodal Center,16:30,45,Full-size
304,Forester,2019-03-05,,2019-03-04,John Wayne Airport,16:30,40,Full-size
305,Accord,2019-03-11,Phoenix,2019-03-08,Sky Harbor International Airport,15:30,99,Standard
306,Camry,2019-03-11,Phoenix,2019-03-08,Sky Harbor International Airport,15:30,90,Standard
307,Prius,2019-03-11,Phoenix,2019-03-08,Sky Harbor International Airport,15:30,87,Standard
