,genre,location,movie_name,price,show_type,street_address,theater_name,show_date,show_time,number_of_tickets
47,Biographical,San Francisco,JT LeRoy,16,regular,3117 16th St,Roxie Theater,2019-03-03,19:00,
48,Biographical,Oakland,Breakthrough,16,regular,100 Washington Street,Regal Cinemas Jack London 9,,,
49,Comedy,Oakland,Dr. Strangelove,23,regular,474 24th Street,The New Parkway Theater,,,
50,Sports,Oakland,Fighting with My Family,16,3d,474 24th Street,The New Parkway Theater,,,
51,Comedy,Oakland,Gloria Bell,11,imax,474 24th Street,The New Parkway Theater,,,
52,Animation,Oakland,How to Train Your Dragon: The Hidden World,8,regular,474 24th Street,The New Parkway Theater,,,
53,Comedy,Oakland,Little,16,regular,100 Washington Street,Regal Cinemas Jack London 9,,,
54,Drama,Oakland,Red Joan,10,imax,5133,Landmark's Piedmont Theatre,,,
55,Adventure,Oakland,Shazam!,13,3d,3200 Grand Avenue,Grand Lake Theatre,,,
56,Comedy,Oakland,Stockholm,21,regular,474 24th Street,The New Parkway Theater,,,
57,Drama,Oakland,The Best of Enemies,5,3d,100 Washington Street,Regal Cinemas Jack London 9,,,
58,Drama,Oakland,Red Joan,10,imax,5133,Landmark's Piedmont Theatre,2019-03-07,21:30,
59,Crime,San Francisco,Ash Is Purest White,14,imax,1 Embarcadero Center,Landmark's Embarcadero Center Cinema,,,
60,Comedy,San Francisco,Gloria Bell,9,imax,1 Embarcadero Center,Landmark's Embarcadero Center Cinema,,,
61,Documentary,San Francisco,Knock Down The House,15,imax,1 Embarcadero Center,Landmark's Embarcadero Center Cinema,,,
62,Documentary,San Francisco,Knock Down The House,15,imax,1 Embarcadero Center,Landmark's Embarcadero Center Cinema,2019-03-08,21:30,
63,Fantasy,San Francisco,Penguin Highway,15,3d,3117 16th St,Roxie Theater,,,
64,Drama,San Francisco,Suburban Birds,8,regular,3117 16th St,Roxie Theater,,,
65,Drama,San Francisco,Supa Modo,20,imax,3117 16th St,Roxie Theater,,,
66,Drama,San Francisco,The Innocent,18,regular,3117 16th St,Roxie Theater,,,
67,Fantasy,San Francisco,Penguin Highway,15,3d,3117 16th St,Roxie Theater,2019-03-09,21:30,
68,Romance,Livermore,After,8,3d,2490 First Street,Livermore 13 Cinema,2019-03-02,15:30,
69,Romance,Union City,After,18,3d,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
70,Biographical,Union City,Breakthrough,17,3d,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
71,Adventure,Union City,Captain Marvel,12,imax,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
72,Fantasy,Union City,Dumbo,9,regular,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
73,Fantasy,Union City,Hellboy,23,3d,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
74,Thriller,Union City,Hotel Mumbai,8,regular,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
75,Comedy,Union City,Little,10,regular,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
76,Comedy,Union City,Missing Link,13,3d,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
77,Thriller,Union City,Pet Sematary,10,3d,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
78,Adventure,Union City,Shazam!,15,imax,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
79,Horror,Union City,The Curse of La Llorona,16,imax,32100 Union Landing Boulevard,Century 25 Union Landing & XD,,,
80,Horror,Union City,The Curse of La Llorona,16,imax,32100 Union Landing Boulevard,Century 25 Union Landing & XD,2019-03-07,21:30,
81,Mystery,San Francisco,Body Double,14,regular,2550 Mission Street,Alamo Drafthouse Cinema,,,
82,Adventure,San Francisco,Captain Marvel,21,regular,835 Market Street,Century San Francisco Centre 9 & XD,,,
83,Mystery,San Francisco,Citizen Kane,20,3d,3290 Sacramento Street,Vogue Theatre,,,
84,Drama,San Francisco,Dogman,18,3d,601 Van Ness Avenue,Landmark's Opera Plaza Cinema,,,
85,Fantasy,San Francisco,Dumbo,15,imax,135 4th Street Suite 3000,AMC Metreon 16,,,
86,Comedy,San Francisco,Family,12,regular,501 Buckingham Way,United Artists Stonestown Twin,,,
87,Comedy,San Francisco,Gloria Bell,16,imax,601 Van Ness Avenue,Landmark's Opera Plaza Cinema,,,
88,Fantasy,San Francisco,Hellboy,22,imax,835 Market Street,Century San Francisco Centre 9 & XD,,,
89,Thriller,San Francisco,Hotel Mumbai,10,imax,2340 Chestnut Street,Presidio Theatre,,,
90,Crime,San Francisco,Ash Is Purest White,15,regular,3290 Sacramento Street,Vogue Theatre,,,
91,Fantasy,San Francisco,Hellboy,24,regular,2149 Chestnut Street,Marina Theatre,,,
92,Mafia,San Francisco,Mikey and Nicky,15,regular,2550 Mission Street,Alamo Drafthouse Cinema,,,
93,Romance,San Francisco,Say Anything,23,regular,2550 Mission Street,Alamo Drafthouse Cinema,2019-03-01,19:00,
94,Biographical,Brentwood,Breakthrough,18,regular,2525 Sand Creek Road,AMC Brentwood 14,,,
95,Adventure,Brentwood,Captain Marvel,12,3d,2525 Sand Creek Road,AMC Brentwood 14,,,
96,Fantasy,Brentwood,Dumbo,17,3d,641 1st Street,CineLux Delta Cinema Saver,,,
97,Fantasy,Brentwood,Hellboy,14,3d,2525 Sand Creek Road,AMC Brentwood 14,,,
98,Comedy,Brentwood,Little,25,regular,2525 Sand Creek Road,AMC Brentwood 14,,,
99,Comedy,Brentwood,Long Shot,6,3d,2525 Sand Creek Road,AMC Brentwood 14,,,
100,Comedy,Brentwood,Missing Link,6,3d,2525 Sand Creek Road,AMC Brentwood 14,,,
101,Thriller,Brentwood,Pet Sematary,13,3d,2525 Sand Creek Road,AMC Brentwood 14,,,
102,Adventure,Brentwood,Shazam!,18,imax,641 1st Street,CineLux Delta Cinema Saver,,,
103,Horror,Brentwood,The Curse of La Llorona,19,3d,2525 Sand Creek Road,AMC Brentwood 14,,,
104,Fantasy,Brentwood,Dumbo,8,imax,2525 Sand Creek Road,AMC Brentwood 14,,,
105,Adventure,Brentwood,Shazam!,18,imax,641 1st Street,CineLux Delta Cinema Saver,2019-03-02,16:00,
106,Adventure,Brentwood,Shazam!,13,imax,2525 Sand Creek Road,AMC Brentwood 14,2019-03-02,18:00,
107,Comedy,Petaluma,Missing Link,12,3d,200 C Street,Boulevard 14 Cinema,,,
108,Adventure,Petaluma,Shazam!,25,3d,200 C Street,Boulevard 14 Cinema,,,
109,Horror,Petaluma,The Curse of La Llorona,21,3d,200 C Street,Boulevard 14 Cinema,,,
110,Adventure,Petaluma,Shazam!,25,3d,200 C Street,Boulevard 14 Cinema,2019-03-04,20:30,
111,Romance,Livermore,Viva Las Vegas,10,regular,1722 First Street,Vine Cinema & Alehouse,2019-03-02,19:00,
112,Biographical,San Bruno,Breakthrough,19,imax,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
113,Adventure,San Bruno,Captain Marvel,7,regular,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
114,Fantasy,San Bruno,Dumbo,19,3d,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
115,Animation,San Bruno,How to Train Your Dragon: The Hidden World,9,3d,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
116,Comedy,San Bruno,Little,19,regular,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
117,Comedy,San Bruno,Missing Link,8,imax,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
118,Adventure,San Bruno,Shazam!,25,regular,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
119,Musical,San Bruno,Teen Spirit,18,imax,1188 El Camino Real 4th Floor,Century at Tanforan & XD,,,
120,Adventure,San Bruno,Captain Marvel,7,regular,1188 El Camino Real 4th Floor,Century at Tanforan & XD,2019-03-02,22:30,
121,Adventure,Walnut Creek,Captain Marvel,7,regular,1201 Locust Street,Century Walnut Creek 14 & XD,,,
122,Comedy,Walnut Creek,Little,23,regular,1201 Locust Street,Century Walnut Creek 14 & XD,,,
123,Comedy,Walnut Creek,Missing Link,17,imax,1201 Locust Street,Century Walnut Creek 14 & XD,,,
124,Adventure,Walnut Creek,Shazam!,16,imax,1201 Locust Street,Century Walnut Creek 14 & XD,,,
125,Horror,Walnut Creek,The Curse of La Llorona,24,3d,1201 Locust Street,Century Walnut Creek 14 & XD,,,
126,Adventure,Walnut Creek,Captain Marvel,7,regular,1201 Locust Street,Century Walnut Creek 14 & XD,2019-03-02,22:30,
127,Comedy,San Jose,Little,23,3d,925 Blossom Hill Road Suite 2000,Century 20 Oakridge & XD,,,
128,Comedy,San Jose,Little,23,3d,925 Blossom Hill Road Suite 2000,Century 20 Oakridge & XD,2019-03-05,21:30,
129,Comedy,San Jose,A Madea Family Funeral,10,regular,3630 Hillcap Avenue,West Wind Capitol Drive-In,,,
130,Romance,San Jose,After,22,imax,925 Blossom Hill Road Suite 2000,Century 20 Oakridge & XD,,,
131,Drama,San Jose,Dogman,15,regular,288 South 2nd Street,3 Below Theaters And Lounge,,,
132,Fantasy,San Jose,Dumbo,13,imax,3088 Olsen Drive,Cinemark USA,,,
133,Fantasy,San Jose,Hellboy,17,imax,2306 Almaden Road,CineLux Almaden Cinema,,,
134,Comedy,San Jose,Long Shot,22,imax,2190 Eastridge Loop,AMC Eastridge 15,,,
135,Adventure,San Jose,Captain Marvel,11,imax,700 El Paseo de Saratoga,AMC Saratoga 14,,,
136,Comedy,San Jose,Long Shot,22,imax,2190 Eastridge Loop,AMC Eastridge 15,2019-03-09,22:00,
137,Comedy,Union City,Little,10,regular,32100 Union Landing Boulevard,Century 25 Union Landing & XD,2019-03-05,22:30,
138,Biographical,Morgan Hill,Breakthrough,23,regular,750 Tennant Station,CineLux Tennant Station Stadium 11,,,
139,Adventure,Morgan Hill,Captain Marvel,9,regular,750 Tennant Station,CineLux Tennant Station Stadium 11,,,
140,Fantasy,Morgan Hill,Dumbo,13,regular,750 Tennant Station,CineLux Tennant Station Stadium 11,,,
141,Thriller,Morgan Hill,Pet Sematary,15,imax,750 Tennant Station,CineLux Tennant Station Stadium 11,,,
142,Adventure,Morgan Hill,Shazam!,6,regular,750 Tennant Station,CineLux Tennant Station Stadium 11,,,
143,Biographical,Morgan Hill,Breakthrough,23,regular,750 Tennant Station,CineLux Tennant Station Stadium 11,2019-03-03,22:00,
144,Fantasy,Campbell,Dumbo,14,imax,1875 South Bascom Avenue,Pruneyard Dine-In Cinemas,,,
145,Fantasy,Campbell,Hellboy,13,imax,1875 South Bascom Avenue,Pruneyard Dine-In Cinemas,2019-03-02,15:30,
146,Comedy,Petaluma,Missing Link,12,3d,200 C Street,Boulevard 14 Cinema,2019-03-04,11:30,
147,Romance,Santa Rosa,After,9,regular,85 Santa Rosa Avenue,Roxy Stadium 14,,,
148,Fantasy,Santa Rosa,Dumbo,9,3d,409 Aviation Boulevard,Airport Stadium 12,,,
149,Fantasy,Santa Rosa,Hellboy,17,regular,620 3rd Street,3rd Street Cinema,,,
150,Drama,Santa Rosa,High Life,15,imax,551 Summerfield Road,Summerfield Cinemas,,,
151,Animation,Santa Rosa,How to Train Your Dragon: The Hidden World,18,3d,620 3rd Street,3rd Street Cinema,,,
152,Comedy,Santa Rosa,Little,6,3d,409 Aviation Boulevard,Airport Stadium 12,,,
153,Thriller,Santa Rosa,Pet Sematary,9,3d,85 Santa Rosa Avenue,Roxy Stadium 14,,,
154,Horror,Santa Rosa,The Curse of La Llorona,9,regular,409 Aviation Boulevard,Airport Stadium 12,,,
155,Comedy,Santa Rosa,The Upside,9,3d,620 3rd Street,3rd Street Cinema,,,
156,Drama,Santa Rosa,Wild Nights with Emily,11,imax,551 Summerfield Road,Summerfield Cinemas,,,
157,Comedy,Santa Rosa,The Upside,9,3d,620 3rd Street,3rd Street Cinema,2019-03-01,20:30,
158,Adventure,Brentwood,Shazam!,13,imax,2525 Sand Creek Road,AMC Brentwood 14,,,
159,Comedy,San Bruno,Little,19,regular,1188 El Camino Real 4th Floor,Century at Tanforan & XD,2019-03-05,23:00,
160,Thriller,Santa Clara,Pet Sematary,11,3d,3111 Mission College Boulevard,AMC Mercado 20,2019-03-01,20:30,
161,Comedy,Sonoma,Little,22,regular,4451,Sonoma Cinema,,,
162,Comedy,Sonoma,Long Shot,8,regular,4451,Sonoma Cinema,,,
163,Thriller,Sonoma,Pet Sematary,6,3d,4451,Sonoma Cinema,,,
164,Adventure,Sonoma,Shazam!,12,3d,4451,Sonoma Cinema,,,
165,Adventure,Sonoma,Shazam!,12,3d,4451,Sonoma Cinema,2019-03-05,19:00,
166,Horror,Berkeley,The Curse of La Llorona,15,regular,2274 Shattuck Avenue,United Artists Berkeley 7,,,
167,Horror,Berkeley,The Curse of La Llorona,15,regular,2274 Shattuck Avenue,United Artists Berkeley 7,2019-03-01,22:00,
168,Comedy,Brentwood,Missing Link,6,3d,2525 Sand Creek Road,AMC Brentwood 14,2019-03-01,16:30,
169,Comedy,Brentwood,Missing Link,6,3d,2525 Sand Creek Road,AMC Brentwood 14,2019-03-02,15:30,
170,Comedy,Larkspur,Auntie Mame,7,regular,549 Magnolia Avenue,Lark Theater,,,
171,Adventure,Larkspur,Captain Marvel,8,imax,500 Larkspur Landing Circle,Century Larkspur,,,
172,Biographical,Larkspur,Shine a Light,16,regular,549 Magnolia Avenue,Lark Theater,,,
173,Horror,Larkspur,The Curse of La Llorona,20,imax,500 Larkspur Landing Circle,Century Larkspur,,,
174,Documentary,Larkspur,The Invisibles,15,3d,549 Magnolia Avenue,Lark Theater,,,
175,Drama,Larkspur,Transit,10,3d,549 Magnolia Avenue,Lark Theater,,,
176,Biographical,Larkspur,Shine a Light,16,regular,549 Magnolia Avenue,Lark Theater,2019-03-01,19:30,
177,Thriller,Union City,Pet Sematary,10,3d,32100 Union Landing Boulevard,Century 25 Union Landing & XD,2019-03-02,17:00,
178,Fantasy,Campbell,Hellboy,13,imax,1875 South Bascom Avenue,Pruneyard Dine-In Cinemas,,,
179,Horror,Campbell,The Curse of La Llorona,10,imax,1875 South Bascom Avenue,Pruneyard Dine-In Cinemas,,,
180,Comedy,Oakland,Stockholm,21,regular,474 24th Street,The New Parkway Theater,2019-03-07,21:00,
181,Drama,Sebastopol,Hackers,11,regular,6868 McKinley Street,Rialto Cinemas,2019-03-07,19:30,
182,Biographical,Newark,Breakthrough,24,regular,400 Newpark Mall,AMC NewPark 12,,,
183,Adventure,Newark,Captain Marvel,13,3d,400 Newpark Mall,AMC NewPark 12,,,
184,Fantasy,Newark,Dumbo,10,imax,400 Newpark Mall,AMC NewPark 12,,,
185,Fantasy,Newark,Hellboy,19,imax,400 Newpark Mall,AMC NewPark 12,,,
186,Comedy,Newark,Little,14,imax,400 Newpark Mall,AMC NewPark 12,,,
187,Comedy,Newark,Missing Link,17,3d,400 Newpark Mall,AMC NewPark 12,,,
188,Thriller,Newark,Pet Sematary,23,regular,400 Newpark Mall,AMC NewPark 12,,,
189,Adventure,Newark,Shazam!,18,regular,400 Newpark Mall,AMC NewPark 12,,,
190,Horror,Newark,The Curse of La Llorona,16,imax,400 Newpark Mall,AMC NewPark 12,,,
191,Thriller,Newark,Pet Sematary,23,regular,400 Newpark Mall,AMC NewPark 12,2019-03-02,16:00,
192,Adventure,Daly City,Shazam!,22,regular,1901 Junipero Serra Boulevard,Century 20 Daly City & XD,,,
193,Adventure,Daly City,Shazam!,22,regular,1901 Junipero Serra Boulevard,Century 20 Daly City & XD,2019-03-04,22:30,
194,Romance,Vallejo,After,13,regular,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,,,
195,Biographical,Vallejo,Breakthrough,19,3d,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,,,
196,Adventure,Vallejo,Captain Marvel,23,3d,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,,,
197,Fantasy,Vallejo,Dumbo,19,imax,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,,,
198,Fantasy,Vallejo,Hellboy,25,imax,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,,,
199,Adventure,Vallejo,Shazam!,7,regular,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,,,
200,Adventure,Vallejo,Captain Marvel,23,3d,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,2019-03-02,22:30,
201,Comedy,Oakland,Little,16,regular,100 Washington Street,Regal Cinemas Jack London 9,2019-03-01,22:00,
202,Fantasy,Emeryville,Dumbo,25,regular,5614 Bay Street Suite 220,AMC Bay Street 16,,,
203,Comedy,Emeryville,Family,21,regular,5614 Bay Street Suite 220,AMC Bay Street 16,,,
204,Comedy,Emeryville,Little,22,imax,5614 Bay Street Suite 220,AMC Bay Street 16,,,
205,Comedy,Emeryville,Missing Link,15,imax,5614 Bay Street Suite 220,AMC Bay Street 16,,,
206,Thriller,Emeryville,Pet Sematary,22,3d,5614 Bay Street Suite 220,AMC Bay Street 16,,,
207,Adventure,Emeryville,Shazam!,7,imax,5614 Bay Street Suite 220,AMC Bay Street 16,,,
208,Musical,Emeryville,Teen Spirit,12,imax,5614 Bay Street Suite 220,AMC Bay Street 16,,,
209,Musical,Emeryville,Teen Spirit,12,imax,5614 Bay Street Suite 220,AMC Bay Street 16,2019-03-01,22:00,
210,Mystery,San Francisco,Body Double,14,regular,2550 Mission Street,Alamo Drafthouse Cinema,2019-03-15,21:30,
211,Comedy,Walnut Creek,Little,23,regular,1201 Locust Street,Century Walnut Creek 14 & XD,2019-03-05,22:00,
212,Comedy,Oakland,Gloria Bell,11,imax,474 24th Street,The New Parkway Theater,2019-03-09,16:00,
213,Romance,Pleasant Hill,After,19,regular,125 Crescent Drive,Century 16 Downtown,,,
214,Thriller,Pleasant Hill,Hotel Mumbai,7,3d,125 Crescent Drive,Century 16 Downtown,,,
215,Comedy,Pleasant Hill,Little,8,3d,125 Crescent Drive,Century 16 Downtown,,,
216,Thriller,Pleasant Hill,Pet Sematary,25,regular,125 Crescent Drive,Century 16 Downtown,,,
217,Horror,Pleasant Hill,The Curse of La Llorona,15,regular,125 Crescent Drive,Century 16 Downtown,,,
218,Comedy,Pleasant Hill,Little,8,3d,125 Crescent Drive,Century 16 Downtown,2019-03-02,21:30,
219,Comedy,Brentwood,Long Shot,6,3d,2525 Sand Creek Road,AMC Brentwood 14,2019-03-01,19:00,
220,Fantasy,Union City,Hellboy,23,3d,32100 Union Landing Boulevard,Century 25 Union Landing & XD,2019-03-09,21:00,
221,Adventure,Berkeley,Captain Marvel,12,imax,2274 Shattuck Avenue,United Artists Berkeley 7,,,
222,Fantasy,Berkeley,Dumbo,20,imax,2230 Shattuck Avenue,Landmark's Shattuck Cinemas,,,
223,Fantasy,Berkeley,Hellboy,17,3d,2274 Shattuck Avenue,United Artists Berkeley 7,,,
224,Thriller,Berkeley,Hotel Mumbai,6,3d,Shattuck Avenue,Landmark's California Theatre,,,
225,Drama,Berkeley,Little Woods,21,3d,2230 Shattuck Avenue,Landmark's Shattuck Cinemas,,,
226,Drama,Berkeley,Transit,23,3d,2230 Shattuck Avenue,Landmark's Shattuck Cinemas,,,
227,Adventure,Berkeley,Captain Marvel,12,imax,2274 Shattuck Avenue,United Artists Berkeley 7,2019-03-01,22:00,
228,Adventure,Novato,Captain Marvel,9,imax,44 Rowland Way,Century Rowland Plaza,,,
229,Adventure,Novato,Captain Marvel,9,imax,44 Rowland Way,Century Rowland Plaza,2019-03-01,22:00,
230,Biographical,San Ramon,Breakthrough,21,imax,1603,Regal Cinemas Crow Canyon 6,,,
231,Adventure,San Ramon,Captain Marvel,22,imax,1603,Regal Cinemas Crow Canyon 6,,,
232,Fantasy,San Ramon,Dumbo,15,3d,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,,,
233,Fantasy,San Ramon,Hellboy,24,regular,1603,Regal Cinemas Crow Canyon 6,,,
234,Comedy,San Ramon,Little,19,imax,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,,,
235,Comedy,San Ramon,Missing Link,22,3d,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,,,
236,Adventure,San Ramon,Shazam!,22,3d,1603,Regal Cinemas Crow Canyon 6,,,
237,Musical,San Ramon,Teen Spirit,18,3d,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,,,
238,Horror,San Ramon,The Curse of La Llorona,21,3d,1603,Regal Cinemas Crow Canyon 6,,,
239,Fantasy,San Ramon,Hellboy,24,3d,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,,,
240,Musical,San Ramon,Teen Spirit,18,3d,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,2019-03-02,17:00,
241,Adventure,Morgan Hill,Captain Marvel,9,regular,750 Tennant Station,CineLux Tennant Station Stadium 11,2019-03-07,20:30,
242,Fantasy,Cloverdale,Hellboy,19,3d,121 East 1st Street,The Clover Theater,,,
243,Fantasy,Cloverdale,Hellboy,19,3d,121 East 1st Street,The Clover Theater,2019-03-02,20:00,
244,Fantasy,San Jose,Dumbo,5,regular,2306 Almaden Road,CineLux Almaden Cinema,,,
245,Biographical,San Bruno,Breakthrough,19,imax,1188 El Camino Real 4th Floor,Century at Tanforan & XD,2019-03-08,21:30,
246,Horror,San Ramon,The Curse of La Llorona,11,3d,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,2019-03-02,16:30,
247,Horror,San Ramon,The Curse of La Llorona,21,3d,1603,Regal Cinemas Crow Canyon 6,2019-03-02,21:30,
248,Comedy,San Francisco,Family,12,regular,501 Buckingham Way,United Artists Stonestown Twin,2019-03-02,19:00,
249,Crime,San Francisco,Ash Is Purest White,14,imax,1 Embarcadero Center,Landmark's Embarcadero Center Cinema,2019-03-02,21:00,
250,Fantasy,San Ramon,Dumbo,15,3d,6000 Bollinger Canyon Road Suite 2300,THE LOT City Center,2019-03-05,11:00,
251,Fantasy,Union City,Dumbo,9,regular,32100 Union Landing Boulevard,Century 25 Union Landing & XD,2019-03-02,17:00,
252,War,San Francisco,The Aftermath,13,imax,501 Buckingham Way,United Artists Stonestown Twin,,,
253,War,San Francisco,The Aftermath,13,imax,501 Buckingham Way,United Artists Stonestown Twin,2019-03-01,19:00,
254,Comedy,Oakland,Dr. Strangelove,23,regular,474 24th Street,The New Parkway Theater,2019-03-10,22:30,
255,Fantasy,Vallejo,Hellboy,25,imax,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,2019-03-02,13:30,
256,Fantasy,Vallejo,Hellboy,25,imax,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14,2019-03-01,22:30,
257,Drama,San Jose,Mary Magdalene,24,imax,288 South 2nd Street,3 Below Theaters And Lounge,,,
258,Drama,San Jose,The Mustang,15,imax,3088 Olsen Drive,Cinemark USA,,,
259,Drama,San Jose,The Mustang,15,imax,3088 Olsen Drive,Cinemark USA,2019-03-02,15:00,
