,address,category,date,has_seating_outdoors,has_vegetarian_options,location,number_of_seats,phone_number,price_range,rating,restaurant_name,time
14,2148 Story Road #3,Salvadoran,2019-03-08,False,True,San Jose,2,408-684-4416,moderate,3.70,Tanchito's Restaurant,19:30
15,4390 Telegraph Avenue D,Sushi,2019-03-08,False,False,Oakland,2,510-594-0661,moderate,4.00,Koryo Sushi,13:00
16,605 Post Street,Japanese,2019-03-01,False,False,San Francisco,1,415-775-7644,moderate,4.40,Sakana Sushi Bar & Grill,18:30
17,542 Grand Avenue,Mediterranean,2019-03-01,False,False,Oakland,2,510-452-9500,moderate,4.40,Sidebar,19:00
18,32 Lafayette Circle,American,2019-03-01,True,False,Lafayette,2,925-298-5915,moderate,4.00,The Cooperage American Grille,12:00
19,1512 Locust Street,Vietnamese,2019-03-12,False,True,Walnut Creek,2,925-891-4790,moderate,4.40,Vanessa's Bistro 2 Vietnamese Restaurant,18:30
20,3496 Blackhawk Plaza Circle,Japanese,2019-03-07,True,True,Danville,3,925-648-7838,moderate,4.10,Blue Gingko Blackhawk,17:00
21,4401 Cabrillo Street,Chinese,2019-03-01,False,False,San Francisco,3,415-876-6898,moderate,4.10,Hakka Restaurant,17:00
22,127 Clement Street,Burmese,,False,True,San Francisco,,415-933-9900,moderate,4.40,B Star,
23,211 Valencia Street,Burmese,,False,True,San Francisco,,415-861-2100,moderate,4.60,Burma Love,
24,4348 California Street,Burmese,,False,True,San Francisco,,415-386-3896,moderate,4.50,Mandalay Restaurant,
25,3199 Clement Street,Burmese,,False,True,San Francisco,,415-751-2598,moderate,4.50,Pagan Restaurant,
26,590 Van Ness Avenue,Burmese,,False,True,San Francisco,,415-610-4333,moderate,4.00,Rangoon Ruby Burmese Cuisine,
27,127 Clement Street,Burmese,2019-03-01,False,True,San Francisco,2,415-933-9900,moderate,4.40,B Star,12:30
28,1556 Solano Avenue,Italian,,False,False,Berkeley,,510-558-9000,moderate,4.20,Cugini Restaurant,
29,2635 Ashby Avenue,Italian,,False,True,Berkeley,,510-838-1131,moderate,4.30,Donato & Co.,
30,2930 College Avenue,Italian,,False,True,Berkeley,,510-644-3848,moderate,3.40,Filippo's Berkeley Elmwood,
31,2420 Shattuck Avenue,Italian,,False,True,Berkeley,,510-647-9963,moderate,4.30,Gio's Pizza And Bocce,
32,1400 Shattuck Avenue,Italian,,False,False,Berkeley,,510-843-3745,moderate,4.50,Lo Coco's Restaurant,
33,2016 Shattuck Avenue,Italian,,False,True,Berkeley,,510-225-9467,moderate,4.50,Lucia's Berkeley,
34,800 Heinz Avenue,Italian,,True,False,Berkeley,,510-649-5075,moderate,4.50,Riva Cucina,
35,2993 College Avenue,Italian,,False,False,Berkeley,,510-704-1474,moderate,4.20,Trattoria La Siciliana,
36,2635 Ashby Avenue,Italian,2019-03-05,False,True,Berkeley,4,510-838-1131,moderate,4.30,Donato & Co.,12:30
37,3591 El Camino Real,Take-out,,False,False,Santa Clara,,408-554-9578,moderate,3.90,Chili's Grill & Bar,
38,3591 El Camino Real,Take-out,2019-03-01,False,False,Santa Clara,3,408-554-9578,moderate,3.90,Chili's Grill & Bar,19:00
39,1722 Sacramento Street,American,,False,False,San Francisco,,(415) 567-5432,ultra high-end,4.60,Acquerello,
40,1001 Guerrero Street,American,,False,False,San Francisco,,415-875-9810,ultra high-end,4.50,Aster,
41,490 Geary Street,American,,False,False,San Francisco,,415-345-2303,ultra high-end,3.90,Aveline,
42,1085 Mission Street,American,,False,False,San Francisco,,415-369-9161,ultra high-end,4.80,Birdsong,
43,2224 Mission Street,American,,False,False,San Francisco,,415-355-1500,ultra high-end,4.40,Commonwealth,
44,3870 17th Street,American,,False,False,San Francisco,,415-621-3870,ultra high-end,4.60,Frances,
45,252 California Street,American,,False,False,San Francisco,,415-397-9222,ultra high-end,4.60,Michael Mina,
46,300 Spear Street,American,,False,False,San Francisco,,415-247-7770,ultra high-end,4.30,Prospect,
47,178 Townsend Street,American,,False,False,San Francisco,,415-828-7990,ultra high-end,4.50,Saison,
48,1525 Fillmore Street,American,,False,False,San Francisco,,415-673-1294,ultra high-end,4.60,The Progress,
49,1722 Sacramento Street,American,2019-03-12,False,False,San Francisco,1,(415) 567-5432,ultra high-end,4.60,Acquerello,11:30
50,326 University Avenue,Asian,,True,True,Palo Alto,,650-285-2770,moderate,4.30,Burma Ruby Burmese Cuisine,
51,3691 El Camino Real,Asian,,False,False,Palo Alto,,650-251-9062,moderate,4.00,Hong Kong Restaurant,
52,338 University Avenue,Asian,,False,True,Palo Alto,,650-329-8129,cheap,4.00,Siam Royal Authentic Thai,
53,1460 Halford Avenue,Asian,,False,False,Santa Clara,,408-423-0001,moderate,4.20,Beijing Restaurant,
54,1062 Kiely Boulevard,Asian,,False,False,Santa Clara,,408-985-8808,moderate,4.20,Korean Spring,
55,2232 El Camino Real,Asian,,False,True,Santa Clara,,408-248-9747,moderate,3.50,Mayuri Indian Cuisine,
56,3258 El Camino Real,Asian,,False,False,Santa Clara,,408-244-8531,moderate,4.20,Shu's,
57,2634 Homestead Road,Asian,,False,False,Santa Clara,,408-973-0604,moderate,4.40,Sumiya,
58,3240 El Camino Real,Asian,,False,False,Santa Clara,,408-615-8086,moderate,4.20,Tong Soon Garden,
59,3431 El Camino Real,Asian,,False,True,Santa Clara,,408-244-4534,moderate,4.30,Truya Sushi,
60,2232 El Camino Real,Asian,2019-03-01,False,True,Santa Clara,2,408-248-9747,moderate,3.50,Mayuri Indian Cuisine,18:30
61,16 Mint Plaza,Italian,,True,True,San Francisco,,415-543-5100,moderate,4.40,54 Mint Ristorante Italiano,
62,2355 Chestnut Street,Italian,,False,True,San Francisco,,415-771-2216,moderate,4.30,A16,
63,1098 Jackson Street,Italian,,False,False,San Francisco,,415-292-3699,pricey,3.90,Ala Romana,
64,1701 Jones Street,Italian,,False,False,San Francisco,,415-928-4002,moderate,4.30,Allegro Romano,
65,1358 Mason Street,Italian,,False,False,San Francisco,,415-834-5766,moderate,4.70,Altovino,
66,2162 Larkin Street,Italian,,False,False,San Francisco,,415-447-0441,moderate,4.50,Amarena,
67,8 Mission St,Italian,,True,False,San Francisco,,415-278-3777,moderate,4.00,Americano,
68,737 Diamond Street,Italian,,False,True,San Francisco,,415-282-4969,moderate,4.30,Bacco,
69,220 California Street,Italian,,False,False,San Francisco,,415-955-1919,moderate,4.30,Barbacco,
70,52 Belden Place,Italian,,False,True,San Francisco,,415-986-8887,moderate,4.00,Belden Taverna,
71,2355 Chestnut Street,Italian,2019-03-05,False,True,San Francisco,1,415-771-2216,moderate,4.30,A16,18:00
72,785 Oak Grove Road,Sushi,,False,True,Concord,,925-691-6009,moderate,4.40,Ozora Sushi,
73,5458 Ygnacio Valley Road,Sushi,,False,True,Concord,,925-672-1431,moderate,4.50,Tachi Sushi Bar,
74,785 Oak Grove Road,Sushi,2019-03-01,False,True,Concord,2,925-691-6009,moderate,4.40,Ozora Sushi,18:00
75,534 Irving Street,Thai,,False,True,San Francisco,,415-379-4505,moderate,4.30,Baan Thai House & Wine Bar,
76,1175 Folsom Street,Thai,,False,True,San Francisco,,415-552-8999,moderate,4.20,Basil,
77,272 Claremont Boulevard,Thai,,False,False,San Francisco,,415-999-0345,moderate,4.30,Chaiya Thai Restaurant,
78,3226 Geary Boulevard,Thai,,False,True,San Francisco,,415-379-4549,moderate,4.60,Derm Restaurant,
79,710 Florida Street,Thai,,False,True,San Francisco,,415-814-2920,moderate,4.50,Farmhouse Kitchen Thai Cuisine,
80,901 Larkin Street,Thai,,False,True,San Francisco,,415-441-8038,moderate,4.30,House Of Thai,
81,1826 Buchanan Street,Thai,,False,True,San Francisco,,415-292-9027,moderate,4.40,Jitlada Thai Cuisine,
82,55 Cyril Magnin Street,Thai,,False,True,San Francisco,,415-362-7456,pricey,4.30,Kin Khao,
83,415 Brannan Street,Thai,,False,True,San Francisco,,415-369-0008,moderate,3.90,Koh Samui & The Monkey,
84,3214 16th Street,Thai,,False,True,San Francisco,,415-913-7886,moderate,4.10,Krua Thai,
85,1175 Folsom Street,Thai,2019-03-01,False,True,San Francisco,2,415-552-8999,moderate,4.20,Basil,13:00
86,777 Story Road,Salad,,False,False,San Jose,,408-298-6533,cheap,3.50,Mcdonald's,
87,71 Lafayette Circle,American,,True,False,Lafayette,,925-385-0352,moderate,3.90,American Kitchen,
88,3287 Mount Diablo Boulevard,American,,False,True,Lafayette,,925-284-1621,pricey,4.00,Duck Club Restaurant,
89,3524 Mount Diablo Boulevard,American,,True,False,Lafayette,,925-284-4422,moderate,4.10,Metro Lafayette,
90,32 Lafayette Circle,American,,True,False,Lafayette,,925-298-5915,moderate,4.00,The Cooperage American Grille,
91,3406 Mount Diablo Boulevard,American,,True,False,Lafayette,,925-900-8861,moderate,4.50,The Hideout Kitchen & Cafe,
92,71 Lafayette Circle,American,2019-03-01,True,False,Lafayette,2,925-385-0352,moderate,3.90,American Kitchen,18:00
93,2135 Franklin Street,Mexican,,False,True,Oakland,,510-288-3668,moderate,4.30,Agave Uptown,
94,4039 Piedmont Avenue,Mexican,,True,True,Oakland,,510-985-1200,moderate,4.10,Bar Cesar,
95,1457 Fruitvale Avenue,Mexican,,False,True,Oakland,,510-261-3325,moderate,3.90,Mi Grullense | Restaurant & Tequila Bar,
96,525 Skyway Road,American,,False,False,San Carlos,,650-654-2822,moderate,4.20,Izzy's San Carlos,
97,727 Laurel Street,American,,True,True,San Carlos,,650-597-3108,moderate,3.90,Piacere Restaurant,
98,782 Laurel Street,American,,True,False,San Carlos,,650-610-0438,moderate,4.50,The Cask Wine Bar,
99,1748 El Camino Real,American,,True,False,San Carlos,,650-598-9740,moderate,4.20,The Office,
100,782 Laurel Street,American,2019-03-01,True,False,San Carlos,2,650-610-0438,moderate,4.50,The Cask Wine Bar,17:00
101,87 East San Fernando Street,Mexican,,True,False,San Jose,,408-293-4321,moderate,4.00,Chacho's,
102,5305 Almaden Expressway,Mexican,,False,False,San Jose,,408-266-1815,moderate,3.90,Chevys Fresh Mex,
103,543 Coleman Avenue,Mexican,,False,False,San Jose,,408-275-9340,moderate,4.00,Chili's Grill & Bar,
104,337 Santana Row #1125,Mexican,,False,False,San Jose,,408-260-7082,moderate,3.80,Consuelo Mexican Bistro,
105,7090 Santa Teresa Boulevard,Mexican,,True,False,San Jose,,408-365-9500,moderate,4.20,El Amigo,
106,5440 Thornwood Drive #1,Mexican,,False,False,San Jose,,408-227-1752,moderate,4.10,El Tule,
107,3088 Monterey Road,Mexican,,False,False,San Jose,,408-225-3080,moderate,3.60,Jess's Place,
108,1616 Almaden Road,Mexican,,False,False,San Jose,,408-320-2651,moderate,4.00,La Hacienda,
109,1495 The Alameda,Mexican,,True,True,San Jose,,408-320-2654,moderate,4.50,Luna Mexican Kitchen,
110,1860 The Alameda,Mexican,,False,False,San Jose,,408-841-3304,moderate,3.80,Mango's Mexican Grill,
111,5305 Almaden Expressway,Mexican,2019-03-06,False,False,San Jose,1,408-266-1815,moderate,3.90,Chevys Fresh Mex,13:00
112,3854 Geary Boulevard,Italian,,False,True,San Francisco,,415-221-0305,moderate,4.50,Bella Trattoria,
113,1199 Valencia Street,Italian,,True,True,San Francisco,,415-695-1199,moderate,4.50,Beretta,
114,464 Castro Street,Italian,,False,True,San Francisco,,415-865-9963,moderate,4.30,Cafe Mystique,
115,28 Belden Place,Italian,,True,True,San Francisco,,415-421-3009,moderate,4.20,Cafe Tiramisu,
116,916 Kearny Street,Italian,,True,True,San Francisco,,415-291-1700,moderate,4.40,Cafe Zoetrope,
117,430 Columbus Avenue,Italian,,True,True,San Francisco,,415-397-3600,moderate,4.20,Calzone's Restaurant,
118,25 Lusk Street,American,,False,True,San Francisco,,415-495-5875,pricey,4.40,25 Lusk,
119,919 Cortland Avenue,American,,False,True,San Francisco,,415-814-3709,pricey,4.60,3rd Cousin,
120,1800 Fillmore Street,American,,False,True,San Francisco,,415-775-1800,moderate,3.80,Academy Bar And Kitchen,
121,648 Bush Street,American,,False,True,San Francisco,,650-627-4303,moderate,4.30,All Spice,
122,865 Market Street,American,,False,True,San Francisco,,415-977-5155,moderate,4.30,Bazille,
123,2362 Market Street,American,,True,True,San Francisco,,415-431-5000,moderate,4.30,Catch,
124,471 Haight Street,American,,False,True,San Francisco,,415-793-9016,cheap,5.00,Chaparral,
125,1198 Folsom Street,American,,False,True,San Francisco,,415-556-4901,moderate,4.10,Citizen's Band,
126,5 Embarcadero Center,American,,False,True,San Francisco,,415-291-6581,moderate,3.70,Eclipse Kitchen & Bar,
127,2298 Market Street,American,,True,True,San Francisco,,415-549-3765,cheap,4.00,Flore On Market,
128,25 Lusk Street,American,2019-03-02,False,True,San Francisco,2,415-495-5875,pricey,4.40,25 Lusk,11:00
129,911 Main Street,American,,False,False,Redwood City,,650-995-7500,moderate,4.50,Aly's On Main,
130,2915 El Camino Real,American,,False,False,Redwood City,,650-365-7777,moderate,4.60,John Bentley's Restaurant,
131,2021 Broadway,American,,False,False,Redwood City,,650-367-7974,moderate,4.20,Mandaloun,
132,223 Twin Dolphin Drive,American,,True,True,Redwood City,,650-598-9000,moderate,4.10,Scroll Bar Waterside Kitchen,
133,2021 Broadway,American,,False,False,Redwood City,,650-367-7974,moderate,4.00,The Courthouse 2021,
134,917 Main Street,American,,False,False,Redwood City,,650-257-3710,moderate,4.40,The Striped Pig,
135,50 University Avenue #260,American,,True,True,Los Gatos,,408-354-8118,moderate,4.10,California Cafe,
136,11 College Avenue,American,,True,True,Los Gatos,,408-402-5053,pricey,4.70,Nick's Next Door,
137,532 North Santa Cruz Avenue,American,,True,False,Los Gatos,,408-560-9639,pricey,4.50,The Bywater,
138,50 University Avenue #260,American,2019-03-12,True,True,Los Gatos,4,408-354-8118,moderate,4.10,California Cafe,18:00
139,28 Fremont Street,Mediterranean,,True,True,San Francisco,,415-957-5463,pricey,4.30,Barcha,
140,One Ferry Building #35,Mediterranean,,False,True,San Francisco,,415-399-1155,pricey,4.30,Boulibar,
141,10 29th Street,Mediterranean,,False,True,San Francisco,,415-970-2428,cheap,4.20,Goood Frikin Chicken,
142,454 Geary Street,Mediterranean,,False,False,San Francisco,,415-872-9767,moderate,4.60,La Marsa,
143,4068 18th Street,Mediterranean,,False,False,San Francisco,,415-400-4623,moderate,4.30,Lark,
144,2435 Clement Street,Mediterranean,,False,True,San Francisco,,415-668-1676,moderate,4.30,Layaly Mediterranean Grill,
145,810 Van Ness Avenue,Mediterranean,,False,False,San Francisco,,415-829-2730,cheap,4.20,Mazza Luna,
146,560 Divisadero Street,Mediterranean,,False,True,San Francisco,,415-864-8643,pricey,4.50,Nopa,
147,8 Mint Plaza,Mediterranean,,False,True,San Francisco,,415-974-1212,pricey,4.30,Oro,
148,345 Spear Street #100,Mediterranean,,True,True,San Francisco,,415-512-7400,moderate,4.00,Palomino,
149,28 Fremont Street,Mediterranean,2019-03-01,True,True,San Francisco,2,415-957-5463,pricey,4.30,Barcha,19:30
150,1662 Lombard Street,Sushi,,False,False,San Francisco,,415-614-1958,moderate,4.50,Atami Sushi Bar & Grill,
151,1581 Webster Street,Sushi,,False,False,San Francisco,,415-776-5822,moderate,3.10,Juban Yakiniku House Japanese,
152,2001 17th Street,Sushi,,False,False,San Francisco,,415-861-6438,moderate,4.30,Live Sushi Bar,
153,323 Grant Avenue,Sushi,,False,False,San Francisco,,415-781-6730,moderate,4.00,Mikaku Restaurant,
154,620 Gough Street,Sushi,,False,False,San Francisco,,415-548-2429,pricey,4.60,Robin,
155,3015 Geary Boulevard,Sushi,,False,False,San Francisco,,415-702-9979,moderate,4.50,Sqwers Japanese Restaurant,
156,1701 Powell Street,Sushi,,False,True,San Francisco,,415-291-9268,moderate,3.80,Sushi Hunter,
157,745 Columbus Avenue,Sushi,,False,False,San Francisco,,415-788-8050,moderate,4.60,Sushi On North Beach,
158,22 Peace Plaza #505,Sushi,,False,False,San Francisco,,415-921-2000,moderate,4.00,Takara,
159,1306 Fulton Street,Sushi,,False,True,San Francisco,,415-567-7664,moderate,4.30,Tsunami Panhandle,
160,1662 Lombard Street,Sushi,2019-03-01,False,False,San Francisco,2,415-614-1958,moderate,4.50,Atami Sushi Bar & Grill,18:00
161,2355 Chestnut Street,Italian,2019-03-01,False,True,San Francisco,2,415-771-2216,moderate,4.30,A16,18:00
162,338 12th Street,Vietnamese,,False,True,Oakland,,510-893-8136,cheap,4.30,Binh Minh Quan,
163,5362 College Avenue,Vietnamese,,False,True,Oakland,,510-601-8818,moderate,4.40,Holy Basil Pho,
164,1007 Clay Street,Vietnamese,,False,True,Oakland,,510-763-8495,moderate,4.30,Le Cheval,
165,354 17th Street,Vietnamese,,False,True,Oakland,,510-832-1338,moderate,4.40,Pho 84,
166,4218 Piedmont Avenue,Vietnamese,,False,True,Oakland,,510-654-2681,moderate,4.00,Xyclo Restaurant,
167,5362 College Avenue,Vietnamese,2019-03-01,False,True,Oakland,2,510-601-8818,moderate,4.40,Holy Basil Pho,13:00
168,19068 Stevens Creek Boulevard,Japanese,,False,False,Cupertino,,408-996-8815,moderate,4.30,Amami Shima Sushi,
169,Portal Plaza,Japanese,,False,False,Cupertino,,408-257-4057,moderate,4.40,Azuma Japanese Cuisine,
170,10815 North Wolfe Road #104,Japanese,,False,True,Cupertino,,408-320-0836,moderate,4.50,Pokeworks,
171,20682 Homestead Road,Japanese,,False,False,Cupertino,,408-564-8852,moderate,4.30,Yayoi Cupertino,
172,10815 North Wolfe Road #104,Japanese,2019-03-01,False,True,Cupertino,3,408-320-0836,moderate,4.50,Pokeworks,19:00
173,2235 First Street,Mediterranean,,True,True,Livermore,,925-373-0306,moderate,4.40,Demitri's Taverna,
174,2235 First Street,Mediterranean,2019-03-03,True,True,Livermore,2,925-373-0306,moderate,4.40,Demitri's Taverna,18:30
175,5945 Almaden Expressway #150,Thai,,False,True,San Jose,,408-268-3235,moderate,4.20,Erawan Thai Cuisine,
176,642 South Winchester Boulevard,Thai,,False,True,San Jose,,408-260-8224,moderate,4.20,Krungthai,
177,2043 Camden Avenue,Thai,,False,True,San Jose,,408-626-7718,moderate,4.00,Lanna Thai Restaurant,
178,580 North Winchester Boulevard,Thai,,False,True,San Jose,,408-248-3435,moderate,4.10,New Krungthai,
179,6177 Santa Teresa Boulevard,Thai,,False,True,San Jose,,408-809-7878,moderate,4.30,Oros Thai Restaurant,
180,1080 South De Anza Boulevard A,Thai,,False,True,San Jose,,408-366-1080,moderate,4.20,Siam Thai Cuisine,
181,1423 The Alameda,Thai,,True,True,San Jose,,408-947-7927,moderate,4.20,Tee Nee Thai Cuisine,
182,846 Blossom Hill Road,Thai,,False,True,San Jose,,408-224-8600,moderate,4.30,Thai Grata Restaurant,
183,1715 Lundy Avenue #180,Thai,,False,True,San Jose,,408-452-1326,moderate,3.80,Thai Recipe Cuisine,
184,1102 Bird Avenue #10,Thai,,False,True,San Jose,,408-277-7500,moderate,4.30,Thai Spice,
185,642 South Winchester Boulevard,Thai,2019-03-03,False,True,San Jose,4,408-260-8224,moderate,4.20,Krungthai,13:00
186,2043 Camden Avenue,Thai,2019-03-05,False,True,San Jose,2,408-626-7718,moderate,4.00,Lanna Thai Restaurant,18:30
187,440 1st Street,Coffeehouse,,True,True,Benicia,,707-745-1400,moderate,4.40,First St. Cafe,
188,907 1st Street,Coffeehouse,,True,False,Benicia,,707-746-0505,moderate,4.40,Nine Zero Seven,
189,726 1st Street,Coffeehouse,,False,False,Benicia,,707-745-9938,moderate,4.40,The Rellik Tavern,
190,1503 15th Street,Moroccan,,True,True,San Francisco,,628-233-1503,moderate,4.40,Khamsa,
191,1503 15th Street,Moroccan,2019-03-01,True,True,San Francisco,2,628-233-1503,moderate,4.40,Khamsa,19:30
192,176 South Murphy Avenue,Italian,,True,True,Sunnyvale,,408-737-8384,moderate,3.90,Gumba's,
193,100 South Murphy Avenue,Italian,,True,True,Sunnyvale,,408-733-5351,moderate,4.00,Il Postale,
194,1025 West El Camino Real,Italian,,True,True,Sunnyvale,,408-738-2400,moderate,4.30,Pezzella's Villa Napoli,
195,1025 West El Camino Real,Italian,2019-03-13,True,True,Sunnyvale,3,408-738-2400,moderate,4.30,Pezzella's Villa Napoli,12:00
196,754 The Alameda #10,Japanese,,False,False,San Jose,,408-931-6875,moderate,4.30,Bluefin,
197,1306 Saratoga Avenue,Japanese,,False,False,San Jose,,408-249-6020,moderate,4.40,Dan Izakaya Restaurant,
198,3830 Stevens Creek Boulevard,Japanese,,False,False,San Jose,,408-985-2968,moderate,3.80,Hokkaido Buffet,
199,1335 North 1st Street,Japanese,,False,False,San Jose,,408-453-8120,moderate,4.20,House Of Genji,
200,2041 Camden Avenue,Japanese,,False,False,San Jose,,408-371-4702,moderate,4.40,Ishi Shima Sushi,
201,519 West Capitol Expressway,Japanese,,False,False,San Jose,,408-723-1133,moderate,4.30,Kampai Bar And Grill,
202,250 Jackson Street,Japanese,,False,True,San Jose,,408-288-9611,moderate,4.30,Kazoo Japanese Restaurant,
203,385 South Winchester Boulevard,Japanese,,False,False,San Jose,,408-985-1889,moderate,4.20,Kenji Sushi,
204,593 North 5th Street,Japanese,,False,False,San Jose,,408-279-8440,moderate,4.30,Kubota,
205,664 Blossom Hill Road,Japanese,,False,False,San Jose,,408-224-0600,moderate,4.20,Miyakko Japanese Cuisine,
206,1306 Saratoga Avenue,Japanese,2019-03-10,False,False,San Jose,1,408-249-6020,moderate,4.40,Dan Izakaya Restaurant,18:30
207,1690 Locust Street,Seafood,,False,False,Walnut Creek,,925-378-7924,moderate,4.10,Andy's Sushi,
208,313 North Civic Drive,Seafood,,False,False,Walnut Creek,,925-930-8811,moderate,4.60,House Of Sake,
209,2131 North Broadway,Seafood,,False,True,Walnut Creek,,925-932-1112,moderate,4.30,Miraku,
210,1502 Sunnyvale Avenue,Seafood,,False,True,Walnut Creek,,925-932-9540,moderate,4.30,Nama Sushi & Teriyaki,
211,1333 North California Boulevard,Seafood,,True,False,Walnut Creek,,925-934-1300,pricey,4.40,Scott's Seafood Restaurant,
212,1555 Bonanza Street,Seafood,,False,False,Walnut Creek,,925-944-3474,pricey,4.50,Walnut Creek Yacht Club,
213,1008 Blossom Hill Road,Seafood,,False,False,San Jose,,408-269-8383,moderate,4.00,Ariake,
214,1694 Tully Road,Seafood,,True,False,San Jose,,408-238-2888,moderate,4.30,Big T's Seafood Market Bar,
215,860 Willow Street,Seafood,,False,False,San Jose,,408-289-8879,moderate,4.10,Blue Water Seafood And Crab,
216,1696 Berryessa Road,Seafood,,False,False,San Jose,,408-649-6741,moderate,4.60,Claw Shack,
217,1759 Technology Drive,Seafood,,False,False,San Jose,,408-392-0087,moderate,3.70,Honba Sushi,
218,171 Branham Lane #3,Seafood,,False,False,San Jose,,408-365-9000,moderate,4.40,Kampai Sushi & Grill,
219,1718 Senter Road,Seafood,,False,False,San Jose,,408-286-1738,moderate,4.10,Mariscos San Juan 2,
220,1111 Meridian Avenue Ste 5,Seafood,,False,False,San Jose,,408-440-2468,moderate,4.50,Mavericks Mexican Grill,
221,940 Blossom Hill Road,Seafood,,False,True,San Jose,,408-225-1420,moderate,4.00,Olive Garden Italian Restaurant,
222,26 North San Pedro Street,Seafood,,True,True,San Jose,,408-913-8080,moderate,4.10,Sushi Confidential,
223,1008 Blossom Hill Road,Seafood,2019-03-01,False,False,San Jose,3,408-269-8383,moderate,4.00,Ariake,13:30
224,1760 Polk Street,American,,False,False,San Francisco,,415-359-1212,pricey,4.40,1760,
225,2293 Mission Street,American,,False,False,San Francisco,,415-872-9409,moderate,4.50,Alba Ray's,
226,786 Bush Street,American,,False,False,San Francisco,,415-829-2737,moderate,4.20,Aliment,
227,1420 Market Street,American,,False,False,San Francisco,,415-590-2585,pricey,4.30,Alta Ca,
228,355 11th Street,American,,True,False,San Francisco,,415-355-9400,pricey,4.20,Bar Agricole,
229,410 Cortland Avenue,American,,True,False,San Francisco,,415-695-8777,pricey,4.30,Bernal Star,
230,56 Gold Street,American,,False,False,San Francisco,,415-433-6300,pricey,4.40,Bix,
231,1 Yerba Buena Lane,American,,False,False,San Francisco,,415-547-1111,pricey,4.00,Bluestem Brasserie,
232,Chestnut Street,American,,False,False,San Francisco,,415-351-0175,pricey,3.60,Circa,
233,50 3rd Street,American,,False,False,San Francisco,,415-977-0271,pricey,3.90,Ducca,
234,919 Cortland Avenue,American,2019-03-06,False,True,San Francisco,2,415-814-3709,pricey,4.60,3rd Cousin,18:30
235,21 Town Square Place # A,Breakfast,,True,True,Vacaville,,707-448-2113,moderate,4.40,Los Reyes Restaurante Y Cantina,
236,1501 Helen Power Drive,Breakfast,,False,False,Vacaville,,707-451-4947,cheap,3.60,Mcdonald's,
237,21 Town Square Place # A,Breakfast,2019-03-08,True,True,Vacaville,2,707-448-2113,moderate,4.40,Los Reyes Restaurante Y Cantina,17:30
238,1695 Solano Avenue,Seafood,,False,True,Berkeley,,510-524-1286,moderate,4.30,Akemi Japanese Restaurant,
239,1316 Gilman Street,Seafood,,False,False,Berkeley,,510-525-5458,moderate,4.40,Kiku Sushi,
240,100 Seawall Drive,Seafood,,False,True,Berkeley,,510-549-1900,pricey,4.20,Skates On The Bay,
241,2033 Martin Luther King Junior Way,Seafood,,False,False,Berkeley,,510-548-0737,moderate,4.50,Sushi California,
242,1695 Solano Avenue,Seafood,2019-03-01,False,True,Berkeley,2,510-524-1286,moderate,4.30,Akemi Japanese Restaurant,17:00
243,455 Hartz Avenue,Italian,,True,True,Danville,,925-820-2349,pricey,4.40,Incontro Ristorante,
244,172 East Prospect Avenue,Italian,,True,True,Danville,,925-984-2101,moderate,4.60,Locanda Ravello,
245,100 Sycamore Valley Road,Italian,,True,True,Danville,,925-838-2082,moderate,4.40,Piatti,
246,501 Hartz Avenue,Italian,,False,True,Danville,,925-831-2828,moderate,3.80,The Basil Leaf Cafe,
