,actors,director,genre,movie_name,price,subtitle_language
126,Michael Buffer,Tim Burton,Fantasy,Dumbo,7,None
127,Shira Haas,Garth Davis,Drama,Mary Magdalene,7,None
128,Samuel L. Jackson,Anna Boden,Adventure,Captain Marvel,6,English
129,Enuka Okuma,Harry Elfont,Comedy,Josie and the Pussycats,5,English
130,Enuka Okuma,Harry Elfont,Comedy,Josie and the Pussycats,8,Mandarin
131,Lee Patrick,Michael Gordon,Romance,Pillow Talk,4,Mandarin
132,Milton Frome,Alfred Hitchcock,Drama,The Man Who Knew Too Much,7,None
133,Shayn Solberg,Harry Elfont,Comedy,Josie and the Pussycats,6,None
134,Claude de Martino,Harry Elfont,Comedy,Josie and the Pussycats,8,None
135,Kevin Bergsma,Harry Elfont,Comedy,Josie and the Pussycats,8,Spanish
136,David Brown,Justin Kelly,Biographical,JT LeRoy,8,English
137,Robert Kazinsky,Anna Boden,Adventure,Captain Marvel,3,None
138,Selma Blair,Jenny Gage,Romance,After,3,Spanish
139,Randall Park,Jonathan Levine,Comedy,Long Shot,3,None
140,Alexis Bobrinskoy,Alfred Hitchcock,Drama,The Man Who Knew Too Much,8,Mandarin
141,Laurence Herder,Stanley Kubrick,Comedy,Dr. Strangelove,3,Mandarin
142,Vince Pisani,Tina Gordon,Comedy,Little,7,None
143,Jeanette Aw,Eric Khoo,Drama,Ramen Shop,3,English
144,Jeanette Aw,Eric Khoo,Drama,Ramen Shop,5,Spanish
