,address_of_location,category,city_of_event,date,event_location,event_name,subcategory,time,number_of_seats
141,1 Citizens Bank Way,Sports,Philadelphia,2019-03-07,Citizens Bank Park,Phillies Vs Cubs,Baseball,18:30,
142,1 Citizens Bank Way,Sports,Philadelphia,2019-03-14,Citizens Bank Park,Phillies Vs Diamondbacks,Baseball,18:30,
143,1 Citizens Bank Way,Sports,Philadelphia,2019-03-08,Citizens Bank Park,Phillies Vs Mets,Baseball,18:00,
144,1 Citizens Bank Way,Sports,Philadelphia,2019-03-02,Citizens Bank Park,Phillies Vs Padres,Baseball,20:00,
145,1 Citizens Bank Way,Sports,Philadelphia,2019-03-12,Citizens Bank Park,Phillies Vs Pirates,Baseball,20:00,
146,1 Citizens Bank Way,Sports,Philadelphia,2019-03-11,Citizens Bank Park,Phillies Vs White Sox,Baseball,20:30,
147,1 Citizens Bank Way,,Philadelphia,2019-03-10,Citizens Bank Park,Phillies Vs Braves,,18:00,3
148,123-01 Roosevelt Avenue,,New York,2019-03-13,Citi Field,Mets Vs Braves,,18:00,3
149,24 Willie Mays Plaza,Sports,San Francisco,2019-03-05,Oracle Park,Giants Vs Brewers,Baseball,19:00,
150,24 Willie Mays Plaza,Sports,San Francisco,2019-03-07,Oracle Park,Giants Vs Cardinals,Baseball,19:30,
151,24 Willie Mays Plaza,Sports,San Francisco,2019-03-03,Oracle Park,Giants Vs Diamondbacks,Baseball,20:30,
152,24 Willie Mays Plaza,Sports,San Francisco,2019-03-12,Oracle Park,Giants Vs Dodgers,Baseball,19:30,
153,24 Willie Mays Plaza,Sports,San Francisco,2019-03-10,Oracle Park,Giants Vs Marlins,Baseball,20:30,
154,24 Willie Mays Plaza,Sports,San Francisco,2019-03-12,Oracle Park,Giants Vs Nationals,Baseball,18:30,
155,24 Willie Mays Plaza,Sports,San Francisco,2019-03-08,Oracle Park,Giants Vs Phillies,Baseball,18:00,
156,24 Willie Mays Plaza,Sports,San Francisco,2019-03-11,Oracle Park,Giants Vs Rockies,Baseball,18:30,
157,24 Willie Mays Plaza,,San Francisco,2019-03-05,Oracle Park,Giants Vs Brewers,,19:00,3
158,401 East Jefferson Street,Sports,Phoenix,2019-03-01,Chase Field,Arizona Vs La Dodgers,Baseball,18:00,
159,401 East Jefferson Street,Sports,Phoenix,2019-03-09,Chase Field,Arizona Vs Milwaukee,Baseball,20:00,
160,401 East Jefferson Street,Sports,Phoenix,2019-03-13,Chase Field,Diamondbacks Vs Brewers,Baseball,18:00,
161,401 East Jefferson Street,Sports,Phoenix,2019-03-11,Chase Field,Diamondbacks Vs Cardinals,Baseball,18:00,
162,401 East Jefferson Street,Sports,Phoenix,2019-03-01,Chase Field,Diamondbacks Vs Dodgers,Baseball,20:30,
163,401 East Jefferson Street,Sports,Phoenix,2019-03-11,Chase Field,Diamondbacks Vs Giants,Baseball,18:00,
164,401 East Jefferson Street,Sports,Phoenix,2019-03-03,Chase Field,Diamondbacks Vs Marlins,Baseball,19:30,
165,401 East Jefferson Street,Sports,Phoenix,2019-03-09,Chase Field,Diamondbacks Vs Mets,Baseball,19:00,
166,401 East Jefferson Street,Sports,Phoenix,2019-03-06,Chase Field,Diamondbacks Vs Nationals,Baseball,18:30,
167,401 East Jefferson Street,Sports,Phoenix,2019-03-07,Chase Field,Diamondbacks Vs Orioles,Baseball,20:00,
168,401 East Jefferson Street,Sports,Phoenix,2019-03-07,Chase Field,Arizona Vs Milwaukee,Baseball,20:00,
169,401 East Jefferson Street,Sports,Phoenix,2019-03-07,Chase Field,Diamondbacks Vs Dodgers,Baseball,18:30,
170,401 East Jefferson Street,Sports,Phoenix,2019-03-07,Chase Field,Diamondbacks Vs Giants,Baseball,20:30,
171,401 East Jefferson Street,Sports,Phoenix,2019-03-07,Chase Field,Diamondbacks Vs Mets,Baseball,20:30,
172,401 East Jefferson Street,,Phoenix,2019-03-07,Chase Field,Diamondbacks Vs Dodgers,,18:30,4
173,100 Potomac Avenue Southwest,,Washington D.C.,2019-03-02,Audi Field,Dc United Vs Revolution,,20:30,3
174,1016-1098 North Center Court Street,Music,Portland,2019-03-02,Theater Of The Clouds,Bryan Adams,Pop,20:30,
175,1422 Southwest 11th Avenue,Music,Portland,2019-03-05,The Old Church Concert Hall,Damien Jurado,Blues,19:30,
176,1111 Southwest Broadway,Music,Portland,2019-03-13,Newmark Theatre,Erica Fernandez,Pop,18:30,
177,1111 Southwest Broadway,Music,Portland,2019-03-12,Newmark Theatre,Friends,Pop,18:00,
178,1016-1098 North Center Court Street,Music,Portland,2019-03-07,Theater Of The Clouds,Hozier,Blues,18:00,
179,1422 Southwest 11th Avenue,Music,Portland,2019-03-04,The Old Church Concert Hall,Kishi Bashi,Electronica,20:00,
180,1016-1098 North Center Court Street,Music,Portland,2019-03-07,Theater Of The Clouds,Rob Thomas,Rock,19:30,
181,5500 Phinney Avenue North,Music,Seattle,2019-03-06,Flamingo Lot,Cody Johnson,Country,19:00,
182,5500 Phinney Avenue North,Music,Seattle,2019-03-06,Flamingo Lot,Greensky Bluegrass,Blues,20:30,
183,5500 Phinney Avenue North,,Seattle,2019-03-06,Flamingo Lot,Cody Johnson,,19:00,3
184,123-01 Roosevelt Avenue,Sports,New York,2019-03-01,Citi Field,Mets Vs Braves,Baseball,19:30,
185,123-01 Roosevelt Avenue,Sports,New York,2019-03-01,Citi Field,Mets Vs Padres,Baseball,20:00,
186,123-01 Roosevelt Avenue,Sports,New York,2019-03-01,Citi Field,Mets Vs Pirates,Baseball,18:30,
187,123-01 Roosevelt Avenue,Sports,New York,2019-03-01,Citi Field,Mets Vs Rockies,Baseball,20:00,
188,1 East 161 Street,Sports,New York,2019-03-01,Yankee Stadium,Nycfc Vs Earthquakes,Baseball,19:30,
189,1 East 161 Street,Sports,New York,2019-03-01,Yankee Stadium,Nycfc Vs Red Bulls,Baseball,20:30,
190,1 East 161 Street,Sports,New York,2019-03-01,Yankee Stadium,Yankees Vs Blue Jays,Baseball,19:30,
191,1 East 161 Street,Sports,New York,2019-03-01,Yankee Stadium,Yankees Vs Diamondbacks,Baseball,20:00,
192,123-01 Roosevelt Avenue,,New York,2019-03-01,Citi Field,Mets Vs Braves,,19:30,2
193,24 Willie Mays Plaza,,San Francisco,2019-03-07,Oracle Park,Giants Vs Cardinals,,19:30,1
194,"1 Tennis Place, Forest Hills",Music,New York,2019-03-10,Forest Hills Stadium,Jethro Tull,Rock,19:30,
195,"17 Eastern Parkway, Brooklyn",Music,New York,2019-03-11,Murmrr,Low,Rock,20:30,
196,235 West 46th Street,Music,New York,2019-03-02,Sony Hall,Panteon Rococo,Rock,19:30,
197,"261 Driggs Avenue, Brooklyn",Music,New York,2019-03-06,Warsaw,Russian Circles,Rock,19:00,
198,89 South Street,Music,New York,2019-03-12,Pier 17,Squeeze,Rock,19:30,
199,"141 Prospect Park West, Brooklyn",Music,New York,2019-03-07,Prospect Park Bandshell,The National,Rock,19:30,
200,"17 Eastern Parkway, Brooklyn",Music,New York,2019-03-08,Murmrr,The Paper Kites,Rock,20:30,
201,89 South Street,Music,New York,2019-03-03,Pier 17,The Struts,Rock,20:00,
202,"261 Driggs Avenue, Brooklyn",Music,New York,2019-03-12,Warsaw,Thee Oh Sees,Rock,20:00,
203,"1 Tennis Place, Forest Hills",,New York,2019-03-11,Forest Hills Stadium,Chemical Brothers,,20:00,4
204,178 Junction Road,Music,London,2019-03-01,Boston Music Room,Beyond The Black,Rock,19:30,
205,178 Junction Road,Music,London,2019-03-13,Boston Music Room,Crystal Lake,Rock,20:30,
206,451 Queensbridge Road,Music,London,2019-03-14,The Victoria Dalston,Imperial Daze,Pop,18:00,
207,2A Dartmouth Park Hill,Music,London,2019-03-03,The Dome,Shakey Graves,Blues,19:30,
208,Town Hall Parade,Music,London,2019-03-14,Electric Brixton,Wallows,Rock,20:30,
209,178 Junction Road,,London,2019-03-01,Boston Music Room,Beyond The Black,,19:30,3
210,"261 Driggs Avenue, Brooklyn",Music,New York,2019-03-13,Warsaw,Amber Run Brooklyn,Pop,19:30,
211,"56-15 Northern Boulevard, Woodside",Music,New York,2019-03-13,La Boom,Americo,International,18:30,
212,89 South Street,Music,New York,2019-03-13,Pier 17,Ben Harper,Blues,20:00,
213,"52-19 Flushing Avenue, Maspeth",Music,New York,2019-03-13,Knockdown Center,Blowout Music Festival,Hip Hop,18:30,
214,235 West 46th Street,Music,New York,2019-03-13,Sony Hall,Chris Botti,Jazz,19:30,
215,89 South Street,Music,New York,2019-03-13,Pier 17,Greensky Bluegrass,Blues,19:00,
216,"141 Prospect Park West, Brooklyn",Music,New York,2019-03-13,Prospect Park Bandshell,Jason Isbell,Country,19:00,
217,"1 Tennis Place, Forest Hills",Music,New York,2019-03-13,Forest Hills Stadium,Jethro Tull,Rock,20:30,
218,"1 Tennis Place, Forest Hills",Music,New York,2019-03-13,Forest Hills Stadium,Jojo Siwa,Pop,18:30,
219,235 West 46th Street,Music,New York,2019-03-13,Sony Hall,Lyfe Jennings,Blues,20:00,
220,420 Mason Street,Music,San Francisco,2019-03-13,August Hall,Allan Rayman,Hip Hop,20:00,
221,201 Van Ness Avenue,Music,San Francisco,2019-03-13,San Francisco Symphony,Carmina Burana,Classical,20:30,
222,420 Mason Street,Music,San Francisco,2019-03-13,August Hall,Electric Feels,Electronica,19:00,
223,420 Mason Street,Music,San Francisco,2019-03-13,August Hall,Matt Corby,Christian,20:30,
224,777 Valencia Street,Music,San Francisco,2019-03-13,The Chapel,Thee Oh Sees,Rock,18:00,
225,420 Mason Street,,San Francisco,2019-03-13,August Hall,Allan Rayman,,20:00,1
226,123-01 Roosevelt Avenue,,New York,2019-03-02,Citi Field,Mets Vs Cubs,,19:30,3
227,100 Park Boulevard,Sports,San Diego,2019-03-02,Petco Park,Padres Vs Orioles,Baseball,18:00,
228,100 Park Boulevard,Sports,San Diego,2019-03-02,Petco Park,Padres Vs Rays,Baseball,19:30,
229,100 Park Boulevard,,San Diego,2019-03-02,Petco Park,Padres Vs Orioles,,18:00,1
230,448 South Main Street,Music,Los Angeles,2019-03-08,Regent Theater DTLA,The Acid,Electronica,20:30,
231,1234 West 7th Street,,Los Angeles,2019-03-10,The Teragram Ballroom,Lights,,18:00,1
232,5500 Campanile Drive,Music,San Diego,2019-03-06,Cal Coast Credit Union Amphitheater,Alejandro Sanz,International,18:30,
233,2891 University Avenue,Music,San Diego,2019-03-13,The Observatory North Park,Aly And Aj,Pop,18:30,
234,5500 Campanile Drive,Music,San Diego,2019-03-05,Cal Coast Credit Union Amphitheater,Bastille,Pop,20:30,
235,2891 University Avenue,Music,San Diego,2019-03-01,The Observatory North Park,Fidlar,Rock,19:30,
236,5500 Campanile Drive,Music,San Diego,2019-03-07,Cal Coast Credit Union Amphitheater,Greta Van Fleet,Blues,19:00,
237,5500 Campanile Drive,Music,San Diego,2019-03-05,Cal Coast Credit Union Amphitheater,Hozier,Blues,19:30,
238,5500 Campanile Drive,Music,San Diego,2019-03-14,Cal Coast Credit Union Amphitheater,Jon Bellion,Hip Hop,19:30,
239,5500 Campanile Drive,Music,San Diego,2019-03-09,Cal Coast Credit Union Amphitheater,Lizzo,Hip Hop,19:00,
