,attraction_name,category,free_entry,good_for_kids,location,phone_number
41,92nd Street Y,Performing Arts Venue,False,False,New York,(212) 415-5788
42,American Folk Art Museum,Museum,False,True,New York,(212) 265-1040
43,American Museum of Natural History,Museum,True,True,New York,(212) 769-5100
44,Apollo Theater,Performing Arts Venue,True,True,New York,212-531-5300
45,Astoria Park,Park,False,True,New York,212-639-9675
46,Balto Statue,Tourist Attraction,True,False,New York,212-310-6600
47,Bayonne Bridge,Historical Landmark,True,True,New York,212-435-7000
48,Bethesda Terrace,Tourist Attraction,True,True,New York,212-310-6600
49,Bow Bridge,Historical Landmark,False,True,New York,212-310-6600
50,Bronx Zoo,Nature Preserve,False,True,New York,718-367-1010
51,Empire State Building,Historical Landmark,False,True,New York,212-736-3100
52,Goethals Bridge,Historical Landmark,True,True,New York,800-221-9903
53,Morris-Jumel Mansion,Historical Landmark,True,False,New York,212-923-8008
54,National Debt Clock,Historical Landmark,False,False,New York,212-257-6600
55,Robert F. Kennedy Bridge,Historical Landmark,True,True,New York,212-870-6425
56,Rockefeller Center,Historical Landmark,False,True,New York,212-332-6868
57,Statue of Liberty National Monument,Historical Landmark,False,False,New York,212-363-3200
58,The Little Red Lighthouse,Historical Landmark,True,True,New York,212-628-2345
59,Chihuly Garden and Glass,Museum,True,True,Seattle,206-753-4940
60,Museum of History & Industry (MOHAI),Museum,True,True,Seattle,206-324-1126
61,Pacific Science Center,Museum,True,True,Seattle,206-443-3643
62,Seattle Children's Museum,Museum,True,True,Seattle,206-441-1768
63,Holy Name Cathedral Parish,Place of Worship,True,True,Chicago,312-573-4467
64,International Museum of Surgical Science,Museum,True,False,Chicago,312-642-6502
65,Lincoln Park Conservatory,Park,True,True,Chicago,312-742-7736
66,Maggie Daley Park,Park,True,True,Chicago,312-552-3000
67,Margaret Mitchell House,Museum,False,True,Atlanta,404-249-7015
68,World of Coca-Cola,Museum,False,True,Atlanta,404-676-5151
69,3D Toronto sign,Tourist Attraction,False,True,Toronto,416-392-2489
70,Aga Khan Museum,Museum,False,True,Toronto,416-646-4677
71,Allan Gardens,Park,False,True,Toronto,416-392-7288
72,Art Gallery of Ontario,Museum,False,False,Toronto,877-225-4246
73,BAPS Shri Swaminarayan Mandir,Place of Worship,True,True,Toronto,416-798-2277
74,Black Creek Pioneer Village,Museum,True,True,Toronto,416-736-1733
75,Brookfield Place,Shopping Area,False,False,Toronto,416-777-6480
76,Casa Loma,Museum,True,True,Toronto,416-923-1171
77,Centennial Park,Park,True,True,Toronto,416-394-8750
78,Centreville Amusement Park,Theme Park,False,True,Toronto,416-203-0405
79,Hole in the Rock,Historical Landmark,True,True,Phoenix,602-495-5458
80,Balboa Park,Park,False,True,San Diego,619-239-0512
81,Balboa Theatre,Performing Arts Venue,True,True,San Diego,619-570-1100
82,Belmont Park,Theme Park,False,False,San Diego,858-228-9283
83,Birch Aquarium at Scripps Institution of Oceanography,Nature Preserve,True,True,San Diego,858-534-3474
84,Cabrillo National Monument,Park,True,True,San Diego,619-557-5450
85,Coronado Bridge,Historical Landmark,True,True,San Diego,619-688-6699
86,Fleet Science Center,Museum,True,True,San Diego,619-238-1233
87,Japanese Friendship Garden,Park,False,False,San Diego,619-232-2721
88,Journey to Atlantis,Theme Park,True,True,San Diego,619-222-4732
89,La Jolla Shores Park,Park,True,True,San Diego,619-221-8899
90,Alcatraz,Historical Landmark,False,False,San Francisco,415-561-4900
91,Alcatraz Island,Historical Landmark,False,True,San Francisco,415-561-4900
92,Aquarium of the Bay,Nature Preserve,True,True,San Francisco,415-623-5300
93,Cable Car Museum,Museum,False,True,San Francisco,415-474-1887
94,California Academy of Sciences,Museum,False,False,San Francisco,415-379-8000
95,Cartoon Art Museum,Museum,False,False,San Francisco,415-227-8666
96,Children's Creativity Museum,Museum,False,True,San Francisco,415-820-3320
97,Chinatown San Francisco,Tourist Attraction,False,True,San Francisco,888-212-3203
98,Coit Tower,Historical Landmark,True,True,San Francisco,415-249-0995
99,Contemporary Jewish Museum,Museum,True,True,San Francisco,415-655-7800
100,Oracle Park,Sports Venue,True,True,San Francisco,415-972-2000
101,Angels Flight Railway,Historical Landmark,False,False,Los Angeles,213-626-1901
102,Adventure Island,Theme Park,False,True,Delhi,83770 02902
103,Akshardham,Place of Worship,True,True,Delhi,11 4344 2344
104,Fun N Food Village,Theme Park,True,True,Delhi,99900 06518
105,Gandhi Smriti,Museum,False,False,Delhi,11 2301 2843
106,Humayun's Tomb,Historical Landmark,True,True,Delhi,11 2435 5275
107,India Gate,Historical Landmark,True,True,Delhi,11 2336 5358
108,Jama Masjid,Place of Worship,False,True,Delhi,11 2326 8344
109,Just Chill Water Park,Theme Park,True,False,Delhi,99104 99774
110,Kashmiri Gate,Historical Landmark,False,False,Delhi,11 2397 9261
111,Khan Market,Shopping Area,False,True,Delhi,85275 33160
112,Acuario Inbursa,Nature Preserve,False,True,Mexico City,55 5395 4586
113,Arte Carrillo Gil Museum,Museum,False,True,Mexico City,55 8647 5450
114,Bosque de Chapultepec,Park,False,True,Mexico City,55 5271 1939
115,Casa Lamm Cultural Center,Performing Arts Venue,True,False,Mexico City,55 5525 3938
116,Casa del Lago Juan Jose Arreola,Performing Arts Venue,True,True,Mexico City,55 5211 6093
117,Central de Abastos Iztapalapa,Shopping Area,False,True,Mexico City,55 5600 6248
118,Centro Cultural de Espana,Performing Arts Venue,True,True,Mexico City,55 5521 1925
119,Centro Deportivo Chapultepec,Sports Venue,True,False,Mexico City,55 5254 3232
120,Coyoacan Market,Shopping Area,False,True,Mexico City,55 4072 1596
121,Diana the Huntress Fountain,Historical Landmark,True,True,Mexico City,800 008 9090
122,Bloedel Conservatory,Park,True,False,Vancouver,604-257-8584
123,Dr. Sun Yat-Sen Classical Chinese Garden,Park,True,True,Vancouver,604-662-3207
124,"Queen Elizabeth Park, British Columbia",Park,False,False,Vancouver,604-873-7000
125,Stanley Park,Park,False,True,Vancouver,604-681-6728
126,VanDusen Botanical Garden,Park,False,True,Vancouver,604-257-8335
127,Estanquillo Museum,Museum,False,True,Mexico City,55 5521 3052
128,Former College of San Ildefonso,Museum,False,True,Mexico City,55 3602 0000
129,Frida Kahlo Museum,Museum,False,True,Mexico City,55 5658 3256
130,Leon Trotsky House Museum,Museum,True,True,Mexico City,55 5658 8732
131,Luis Barragan House and Studio,Museum,False,True,Mexico City,55 5272 4945
132,Memory and Tolerance Museum,Museum,True,True,Mexico City,55 5130 5555
133,Museo Anahuacalli,Museum,False,True,Mexico City,55 5617 3797
134,Museo Casa Estudio Diego Rivera and Frida Kahlo,Museum,False,True,Mexico City,55 8647 5470
135,Museo Franz Mayer,Museum,True,True,Mexico City,55 5518 2266
136,Brandon Lee and Bruce Lee's Grave Site,Tourist Attraction,False,True,Seattle,206-322-1582
137,Burke Museum of Natural History and Culture,Museum,False,True,Seattle,206-543-7907
138,Columbia Center,Shopping Area,True,True,Seattle,206-386-5151
139,Fremont Troll,Historical Landmark,False,False,Seattle,206-684-2489
140,Frye Art Museum,Museum,True,False,Seattle,206-223-1707
141,Gas Works Park,Park,True,True,Seattle,206-684-4075
142,Golden Gardens Park,Park,False,True,Seattle,206-684-4075
143,Kerry Park,Park,False,True,Seattle,206-684-4075
144,Navy Pier,Tourist Attraction,True,True,Chicago,312-595-7437
145,Oaks Amusement Park,Theme Park,False,True,Portland,503-233-5777
146,Art Gallery of New South Wales,Museum,True,True,Sydney,2 9225 1700
147,Australian National Maritime Museum,Museum,False,True,Sydney,2 9298 3777
148,Hyde Park Barracks Museum,Museum,True,True,Sydney,2 8239 2288
149,Museum of Contemporary Art Australia,Museum,False,False,Sydney,2 9245 2400
150,Museum of Sydney,Museum,True,False,Sydney,2 9251 5988
151,Powerhouse Museum,Museum,False,False,Sydney,2 9217 0111
152,Sydney Jewish Museum,Museum,True,True,Sydney,2 9360 7999
153,Vaucluse House,Museum,False,True,Sydney,2 9388 7922
154,White Rabbit Gallery,Museum,True,True,Sydney,2 8399 2867
155,Strawberry Fields,Tourist Attraction,True,True,New York,212-639-9675
156,The Bowery Ballroom,Tourist Attraction,True,True,New York,212-260-4700
157,The Mercury Lounge,Tourist Attraction,True,True,New York,646-921-7680
158,The Tour at NBC Studios,Tourist Attraction,True,True,New York,212-664-3700
159,Yankee Stadium Tours,Tourist Attraction,True,False,New York,646-977-8687
160,Lodhi Garden,Park,False,True,Delhi,11 2464 0079
161,The Garden of Five Senses,Park,False,False,Delhi,11 2953 6401
162,30 St Mary Axe (The Gherkin),Historical Landmark,True,True,London,20 7071 5029
163,ArcelorMittal Orbit,Historical Landmark,True,True,London,333 800 8099
164,Guildhall,Historical Landmark,True,True,London,20 7606 3030
165,London Wall,Historical Landmark,True,False,London,370 333 1181
166,Millennium Bridge,Historical Landmark,False,False,London,20 7606 3030
167,Monument to the Great Fire of London,Historical Landmark,False,True,London,20 7403 3761
168,Old Royal Naval College,Historical Landmark,False,True,London,20 8269 4799
169,The London Dungeon,Historical Landmark,True,False,London,20 7654 0809
170,The Shard,Historical Landmark,False,False,London,844 499 7111
171,Two Temple Place,Historical Landmark,False,True,London,20 7836 3715
172,Arizona Capitol Museum,Museum,False,False,Phoenix,602-926-3620
173,Arizona Science Center,Museum,False,True,Phoenix,602-716-2000
174,Castles N' Coasters,Theme Park,True,True,Phoenix,602-997-7575
175,Children's Museum of Phoenix,Museum,False,True,Phoenix,602-253-0501
176,Desert Botanical Garden,Park,True,True,Phoenix,480-941-1225
177,Dream City Church * Phoenix,Place of Worship,False,False,Phoenix,602-867-7117
178,Encanto Park,Park,True,True,Phoenix,602-261-8991
179,Heard Museum,Museum,False,True,Phoenix,(602) 251-0223
180,Hurricane Harbor Phoenix,Theme Park,False,False,Phoenix,623-201-2000
181,American Church in Paris,Place of Worship,True,True,Paris,1 40 62 05 00
182,Aquaboulevard,Theme Park,True,True,Paris,1 40 60 10 00
183,Bagatelle park,Park,True,True,Paris,1 53 64 53 80
184,Bois de Vincennes,Park,True,True,Paris,1 49 57 15 15
185,Catacombs of Paris,Historical Landmark,True,True,Paris,1 43 22 47 63
186,Cathedrale Notre-Dame de Paris,Place of Worship,True,False,Paris,1 42 34 56 10
187,Cent Quatre,Performing Arts Venue,True,True,Paris,1 53 35 50 00
188,Chapelle expiatoire,Historical Landmark,True,True,Paris,1 42 65 35 80
189,City of Fashion and Design,Performing Arts Venue,True,False,Paris,1 76 77 25 30
190,Cite de l'architecture et du patrimoine,Museum,True,True,Paris,1 58 51 52 00
191,Gardiner Museum,Museum,True,True,Toronto,416-586-8080
192,Hockey Hall of Fame,Museum,True,True,Toronto,416-360-7765
193,Museum of Contemporary Art Toronto Canada,Museum,True,True,Toronto,416-530-2500
194,Royal Ontario Museum,Museum,True,True,Toronto,416-586-8000
195,SkyJump,Theme Park,False,True,Las Vegas,702-380-7777
196,Smith Tower,Historical Landmark,False,False,Seattle,206-624-0414
197,Ripley's Aquarium of Canada,Nature Preserve,False,True,Toronto,647-351-3474
198,Toronto Zoo,Nature Preserve,False,True,Toronto,416-392-5900
199,Crystal Springs Rhododendron Garden,Park,True,True,Portland,503-771-8386
200,Lan Su Chinese Garden,Park,True,True,Portland,503-228-8131
201,OMSI,Museum,True,False,Portland,(503) 797-4000
202,Oregon Zoo,Nature Preserve,True,True,Portland,503-226-1561
203,Pittock Mansion,Museum,True,True,Portland,503-823-3623
204,Portland Art Museum,Museum,False,False,Portland,503-276-4249
205,Portland Children's Museum,Museum,True,True,Portland,503-223-6500
206,Portland Japanese Garden,Tourist Attraction,False,True,Portland,503-223-1321
207,Portland Saturday Market,Shopping Area,False,True,Portland,971-865-0382
208,Arab World Institute,Performing Arts Venue,False,False,Paris,1 40 51 38 38
209,Arc de Triomphe,Historical Landmark,False,True,Paris,1 55 37 73 77
210,Arenes de Lutece,Historical Landmark,False,True,Paris,1 45 35 02 56
211,Bois de Boulogne,Park,False,True,Paris,1 53 92 82 82
212,Carreau du Temple,Performing Arts Venue,False,True,Paris,1 83 81 93 30
213,Crissy Field,Tourist Attraction,True,True,San Francisco,415-561-4323
214,Exploratorium,Museum,True,True,San Francisco,415-528-4444
215,Ferry Plaza Farmers Market,Shopping Area,True,True,San Francisco,415-291-3276
216,ANZ Stadium,Sports Venue,False,True,Sydney,2 8765 2000
217,Barangaroo Reserve,Park,False,True,Sydney,2 9255 1700
218,Bella Vista Farm,Park,True,True,Sydney,2 9843 0555
219,"Bicentennial Park, Homebush Bay",Park,False,True,Sydney,2 9714 7888
220,Blaxland Riverside Park,Park,True,True,Sydney,2 9714 7888
221,Bondi Markets,Shopping Area,True,True,Sydney,2 9315 7011
222,Bondi to Bronte Coastal Walk,Tourist Attraction,True,True,Sydney,406 333 665
223,Bondi to Coogee walk,Tourist Attraction,True,True,Sydney,406 333 665
224,DISCOVERY Children's Museum,Museum,True,True,Las Vegas,702-382-5437
225,Las Vegas Natural History Museum,Museum,False,True,Las Vegas,702-384-3466
226,The Mob Museum,Museum,False,True,Las Vegas,702-229-2734
227,National Center for Civil and Human Rights,Museum,False,False,Atlanta,678-999-8990
228,Alexandra Palace,Performing Arts Venue,False,True,London,20 8365 2121
229,Alexandra Palace Ice Rink,Sports Venue,True,True,London,20 8365 2121
230,All England Lawn Tennis & Croquet Club,Sports Venue,False,True,London,20 8944 1066
231,"All Saints, Margaret Street",Place of Worship,True,True,London,20 7636 1788
232,All Souls Langham Place,Place of Worship,False,True,London,20 7580 3522
233,Apsley House,Museum,True,True,London,1793 414926
234,BAPS Shri Swaminarayan Mandir London,Place of Worship,False,True,London,20 8965 2651
235,BODY WORLDS London,Museum,True,True,London,330 223 3233
236,Museum Of Contemporary Art Chicago,Museum,True,True,Chicago,312-280-2660
237,"Museum of Science and Industry, Chicago",Museum,True,True,Chicago,(773) 684-1414
238,Museum of Death,Museum,True,True,Los Angeles,323-466-8011
239,Museum of Selfies,Museum,True,True,Los Angeles,737-471-5566
240,Museum of Tolerance,Museum,True,True,Los Angeles,310-772-2505
241,Petersen Automotive Museum,Museum,True,True,Los Angeles,323-930-2277
242,The Annenberg Space for Photography,Museum,True,True,Los Angeles,213-403-3000
243,The Museum of Jurassic Technology,Museum,True,True,Los Angeles,310-836-6131
244,Fort Point National Historic Site,Historical Landmark,False,True,San Francisco,415-504-2334
245,Golden Gate Bridge,Historical Landmark,False,True,San Francisco,415-921-5858
246,Sutro Baths,Historical Landmark,False,True,San Francisco,415-426-5240
247,The Painted Ladies,Historical Landmark,True,True,San Francisco,415-831-2700
248,The San Francisco Mint,Historical Landmark,False,True,San Francisco,415-890-2357
249,The Fox Theatre,Performing Arts Venue,False,False,Atlanta,800-651-2316
250,La Merced Market,Shopping Area,True,True,Mexico City,55 5522 7250
251,Mercado Jamaica,Shopping Area,True,True,Mexico City,55 5741 0002
252,Mercado de Sonora,Shopping Area,False,True,Mexico City,55 1484 6971
253,Interactive Museum of Economics,Museum,True,False,Mexico City,55 5130 4600
254,Museum of Pop Culture,Museum,False,True,Seattle,206-770-2702
255,Nordic Museum,Museum,True,False,Seattle,206-789-5707
256,Seattle Art Museum,Museum,False,True,Seattle,206-654-3100
257,Seattle Pinball Museum,Museum,False,True,Seattle,206-623-0759
258,Brookfield Place,Shopping Area,False,True,New York,212-978-1673
259,Brooklyn Botanic Garden,Park,False,True,New York,718-623-7200
260,Hollywood Walk of Fame,Tourist Attraction,True,True,Los Angeles,323-469-8311
261,Hollywood Wax Museum(r),Tourist Attraction,True,True,Los Angeles,323-462-5991
262,Vancouver Aquarium,Nature Preserve,True,True,Vancouver,604-659-3502
263,Featherdale Wildlife Park,Nature Preserve,True,True,Sydney,2 9622 1644
264,Gordons Bay,Nature Preserve,False,True,Sydney,1300 722 542
265,Koala Park Sanctuary Sydney,Nature Preserve,False,True,Sydney,2 9484 3141
266,Lane Cove National Park,Nature Preserve,False,True,Sydney,2 8448 0400
267,SEA LIFE Sydney Aquarium,Nature Preserve,True,False,Sydney,1800 199 657
268,Sydney Zoo,Nature Preserve,True,True,Sydney,1800 843 966
269,Wilson Parking Domain Car Park,Nature Preserve,True,True,Sydney,1800 727 546
270,King Jr Martin Luther- Birth Home,Historical Landmark,True,True,Atlanta,404-331-5190
271,Mission Escape Atlanta,Tourist Attraction,True,True,Atlanta,678-369-0050
272,Zoo Atlanta,Nature Preserve,True,True,Atlanta,404-624-5600
273,Brooklyn Children's Museum,Museum,True,True,New York,718-735-4400
274,Brooklyn Museum,Museum,True,True,New York,(718) 638-5000
275,Children's Museum Of Manhattan,Museum,True,True,New York,212-721-1223
276,Cooper Hewitt Smithsonian Design Museum,Museum,True,True,New York,212-849-8400
277,David Zwirner,Museum,True,True,New York,(212) 727-2072
278,El Museo del Barrio,Museum,True,True,New York,917-634-0340
279,Ellis Island National Museum of Immigration,Museum,True,True,New York,832-960-0009
280,"Intrepid Sea, Air & Space Museum",Museum,True,True,New York,(212) 245-0072
281,Museum of Sex,Museum,True,True,New York,212-689-6337
282,Art Museum Steps,Tourist Attraction,True,True,Philadelphia,215-763-8100
283,Bartram's Garden,Park,True,True,Philadelphia,215-729-5281
284,Ben Franklin Bridge,Historical Landmark,True,True,Philadelphia,856-968-3300
285,Benjamin Franklin Museum,Museum,True,True,Philadelphia,267-514-1522
286,Cathedral Basilica of Saints Peter and Paul,Place of Worship,True,True,Philadelphia,267-250-0074
287,Independence National Historical Park,Nature Preserve,True,True,Philadelphia,215-965-2305
288,Independence Seaport Museum,Museum,True,True,Philadelphia,215-413-8655
289,Liberty Bell,Historical Landmark,True,True,Philadelphia,215-965-2305
290,National Constitution Center,Museum,True,True,Philadelphia,215-409-6700
291,National Museum of American Jewish History,Museum,True,True,Philadelphia,215-923-3811
292,Steele Indian School Park,Nature Preserve,True,True,Phoenix,602-495-0935
293,Piedmont Park,Park,False,True,Atlanta,404-875-7275
294,Hollyhock House,Historical Landmark,True,False,Los Angeles,323-988-0516
295,Hollywood Sign,Historical Landmark,False,True,Los Angeles,323-258-4338
296,Korean Friendship Bell,Historical Landmark,False,True,Los Angeles,310-548-7705
297,"Public Art ""Urban Light""",Historical Landmark,True,True,Los Angeles,323-857-6010
298,The San Francisco Dungeon,Tourist Attraction,True,True,San Francisco,415-722-4418
299,Federal Hall,Museum,False,True,New York,212-825-6990
300,Olympic Sculpture Park,Park,False,True,Seattle,206-654-3100
301,Seattle Japanese Garden,Park,False,True,Seattle,206-684-4725
302,Volunteer Park Conservatory,Park,True,True,Seattle,206-322-4112
303,Washington Park Arboretum UW Botanic Gardens,Park,False,True,Seattle,206-543-8800
304,Legion of Honor,Museum,True,True,San Francisco,415-750-3600
305,Museum Of 3D Illusions,Museum,False,True,San Francisco,888-386-5585
306,Museum of the African Diaspora,Museum,False,True,San Francisco,415-358-7252
307,Randall Museum,Museum,False,True,San Francisco,415-554-9600
308,San Francisco Museum of Modern Art,Museum,False,True,San Francisco,415-357-4000
309,The Walt Disney Family Museum,Museum,False,True,San Francisco,415-345-6800
310,St. Johns Bridge,Historical Landmark,False,True,Portland,503-731-8326
311,The Grotto,Park,False,True,Portland,503-254-7371
312,Little Tokyo,Tourist Attraction,False,True,Los Angeles,818-512-8791
313,Madame Tussauds Hollywood,Tourist Attraction,True,True,Los Angeles,323-798-1670
314,OUE Skyspace LA,Tourist Attraction,True,True,Los Angeles,213-894-9000
315,Paramount Pictures Studio Tour,Tourist Attraction,False,True,Los Angeles,323-956-1777
316,The Venice Beach Boardwalk,Tourist Attraction,False,True,Los Angeles,310-396-6764
317,Liberty Public Market,Shopping Area,True,True,San Diego,619-487-9346
318,Maritime Museum of San Diego,Museum,False,True,San Diego,619-234-9153
319,Long Beach Museum of Art,Museum,True,True,Long Beach,800-708-2538
320,Museum of Latin American Art (MOLAA),Museum,False,True,Long Beach,562-437-1689
321,Angel Stadium of Anaheim,Sports Venue,False,False,Anaheim,714-940-2000
322,Cars Land,Tourist Attraction,False,True,Anaheim,714-781-4565
323,Disney California Adventure Park,Theme Park,True,True,Anaheim,714-781-7290
324,Disneyland Park,Theme Park,True,True,Anaheim,(877) 560-6477
325,Downtown Disney District,Tourist Attraction,False,True,Anaheim,714-781-4565
326,Honda Center,Sports Venue,False,True,Anaheim,714-704-2400
327,Matterhorn Bobsleds,Theme Park,False,True,Anaheim,714-781-4565
328,Pirate's Lair on Tom Sawyer Island,Theme Park,False,True,Anaheim,714-999-0990
329,Pixar Pier,Tourist Attraction,True,True,Anaheim,714-781-4636
330,Sleeping Beauty Castle,Tourist Attraction,True,False,Anaheim,714-781-4565
331,Sutter's Fort | State Historic Park,Nature Preserve,True,True,Sacramento,916-445-4422
332,California Museum,Museum,False,True,Sacramento,(916) 653-1771
333,California State Capitol Museum,Museum,True,True,Sacramento,916-445-2841
334,California State Railroad Museum,Museum,False,True,Sacramento,916-323-9280
335,Crocker Art Museum,Museum,False,True,Sacramento,916-808-7000
336,San Diego California Temple,Place of Worship,True,True,San Diego,858-622-0991
337,San Diego Museum of Man,Museum,True,True,San Diego,619-239-2001
338,California Automobile Museum,Museum,False,False,Sacramento,916-442-6802
339,Fairytale Town,Theme Park,True,True,Sacramento,916-808-5233
340,Sacramento Zoo,Nature Preserve,False,False,Sacramento,916-808-5888
341,The Orpheum,Performing Arts Venue,False,True,Vancouver,604-665-3035
342,Musee Mecanique,Museum,False,False,San Francisco,415-346-2000
343,Aquarium of the Pacific,Nature Preserve,False,True,Long Beach,562-570-8555
344,Harry Bridges Memorial Park,Park,False,True,Long Beach,562-570-5333
345,The Queen Mary,Historical Landmark,False,True,Long Beach,877-342-0738
346,Barnes Foundation,Museum,False,True,Philadelphia,215-278-7000
347,Betsy Ross House,Historical Landmark,False,True,Philadelphia,215-686-1252
348,Blue Cross RiverRink,Sports Venue,False,True,Philadelphia,215-925-7465
349,Eastern State Penitentiary,Museum,False,False,Philadelphia,215-236-5111
350,Elfreth's Alley,Historical Landmark,True,False,Philadelphia,215-574-0560
351,Floyd Lamb Park,Park,True,False,Las Vegas,702-229-8100
352,Fort Funston,Park,True,True,San Francisco,415-561-4700
353,Golden Gate Park,Park,True,True,San Francisco,415-831-2700
354,Japanese Tea Garden,Park,True,True,San Francisco,415-752-1171
355,Lake Merced Park,Park,True,True,San Francisco,415-831-5500
356,Mission Dolores Park,Park,True,True,San Francisco,415-554-9521
357,Old Town San Diego State Historic Park,Nature Preserve,False,True,San Diego,619-220-5422
358,San Diego Zoo,Nature Preserve,False,True,San Diego,619-231-1515
359,Seattle Center,Performing Arts Venue,True,True,Seattle,206-684-7200
360,Seattle CityPASS,Tourist Attraction,True,False,Seattle,888-330-5008
361,Stahl House,Historical Landmark,True,True,Los Angeles,208-429-1058
362,Lake Hollywood Park,Park,True,True,Los Angeles,818-243-1145
363,The Japanese Garden,Park,False,True,Los Angeles,818-756-8166
364,"Vista Hermosa Natural Park, Mountains Recreation & Conservation Authority",Park,True,True,Los Angeles,213-250-1100
365,Fremont Street Experience,Shopping Area,True,False,Las Vegas,702-678-5600
366,Old Las Vegas Mormon Fort State Historic Park,Nature Preserve,False,True,Las Vegas,702-486-3511
367,SlotZilla Zip Line,Tourist Attraction,True,True,Las Vegas,702-678-5780
368,Springs Preserve,Nature Preserve,True,False,Las Vegas,702-822-7700
369,San Diego Zoo Safari Park,Nature Preserve,False,False,San Diego,760-747-8702
370,FlyOver Canada,Theme Park,True,True,Vancouver,855-463-4822
371,Museum of Vancouver,Museum,False,False,Vancouver,604-736-4431
372,PNE/Playland,Theme Park,True,True,Vancouver,604-253-2311
373,Science World at TELUS World of Science,Museum,True,True,Vancouver,604-443-7440
374,Sunset Cliffs Natural Park,Park,False,True,San Diego,619-525-8213
375,Waterfront Park,Park,True,True,San Diego,619-232-7275
376,San Diego Air & Space Museum,Museum,False,True,San Diego,619-234-8291
377,Star of India,Museum,True,True,San Diego,619-234-9153
378,USS Midway Museum,Museum,True,True,San Diego,619-544-9600
379,Whaley House Museum,Museum,False,True,San Diego,619-297-7511
380,San Francisco Botanical Garden,Park,True,False,San Francisco,415-661-1316
381,de Young Museum,Museum,True,True,San Francisco,415-750-3600
382,San Francisco Zoo,Nature Preserve,False,True,San Francisco,415-753-7080
383,Monument to the Revolution,Historical Landmark,False,True,Mexico City,55 5546 2115
384,The House of Tiles,Historical Landmark,True,True,Mexico City,55 5512 1331
385,War Memorial Opera House,Performing Arts Venue,True,True,San Francisco,415-865-2000
386,Grace Cathedral,Place of Worship,False,True,San Francisco,415-749-6300
387,St. Dominic's Catholic Church,Place of Worship,False,False,San Francisco,415-567-7824
388,Christmas Tree Lane,Tourist Attraction,True,True,Fresno,559-348-9200
389,Forestiere Underground Gardens,Historical Landmark,True,True,Fresno,559-271-0734
390,Fresno Chaffee Zoo,Nature Preserve,False,True,Fresno,559-498-5910
