,airlines,departure_date,destination_airport,is_nonstop,number_of_tickets,origin_airport,outbound_arrival_time,outbound_departure_time,price,seating_class,inbound_arrival_time,inbound_departure_time,return_date
67,Delta Airlines,2019-03-06,Portland,False,1,New York,12:50,05:30,313,Economy,,,
68,Southwest Airlines,2019-03-06,Portland,False,1,New York,01:25,18:20,299,Economy,,,
69,United Airlines,2019-03-06,Portland,False,1,New York,16:23,10:00,294,Economy,,,
70,United Airlines,2019-03-06,Chicago,False,1,Mexico City,17:37,07:10,485,Premium Economy,,,
71,American Airlines,2019-03-14,New York,False,1,Las Vegas,20:56,08:20,276,Economy,,,
72,Delta Airlines,2019-03-14,New York,False,1,Las Vegas,05:51,16:55,304,Economy,,,
73,United Airlines,2019-03-14,New York,False,1,Las Vegas,17:21,04:45,292,Economy,,,
74,Alaska Airlines,2019-03-02,San Francisco,True,1,Los Angeles,01:05,23:40,130,Premium Economy,,,
75,American Airlines,2019-03-02,San Francisco,True,1,Los Angeles,10:55,09:30,154,Premium Economy,,,
76,Southwest Airlines,2019-03-02,San Francisco,True,1,Los Angeles,08:50,07:25,139,Premium Economy,,,
77,United Airlines,2019-03-02,San Francisco,True,1,Los Angeles,16:25,15:00,149,Premium Economy,,,
78,American Airlines,2019-03-13,Los Angeles,True,2,New York,16:50,13:40,199,Economy,,,
79,Delta Airlines,2019-03-13,Los Angeles,True,2,New York,11:00,07:50,172,Economy,,,
80,Southwest Airlines,2019-03-13,Los Angeles,True,2,New York,01:05,21:55,198,Economy,,,
81,United Airlines,2019-03-13,Los Angeles,True,2,New York,15:00,11:50,195,Economy,,,
82,American Airlines,2019-03-03,Los Angeles,True,4,New York,16:50,13:40,193,Economy,,,
83,Delta Airlines,2019-03-03,Los Angeles,True,4,New York,11:00,07:50,178,Economy,,,
84,Southwest Airlines,2019-03-03,Los Angeles,True,4,New York,01:05,21:55,188,Economy,,,
85,United Airlines,2019-03-03,Los Angeles,False,4,New York,15:50,10:00,275,Economy,,,
86,Alaska Airlines,2019-03-03,Toronto,True,1,Los Angeles,19:34,11:05,202,Economy,,,
87,American Airlines,2019-03-03,Toronto,False,1,Los Angeles,23:38,12:05,254,Economy,,,
88,Delta Airlines,2019-03-03,Toronto,True,1,Los Angeles,00:04,15:35,206,Economy,,,
89,Southwest Airlines,2019-03-03,Toronto,True,1,Los Angeles,00:14,15:45,202,Economy,,,
90,United Airlines,2019-03-03,Toronto,False,1,Los Angeles,23:38,11:00,273,Economy,,,
91,American Airlines,2019-03-08,Mexico City,False,1,Chicago,02:43,14:05,326,Economy,,,
92,Delta Airlines,2019-03-08,Mexico City,False,1,Chicago,01:08,16:10,305,Economy,,,
93,Southwest Airlines,2019-03-08,Mexico City,False,1,Chicago,17:26,10:15,244,Economy,,,
94,United Airlines,2019-03-08,Mexico City,False,1,Chicago,22:13,13:25,316,Economy,,,
95,American Airlines,2019-03-05,Toronto,True,1,New York,20:28,19:00,124,Economy,,,
96,Southwest Airlines,2019-03-05,Toronto,True,1,New York,23:38,22:10,96,Economy,,,
97,United Airlines,2019-03-05,Toronto,True,1,New York,19:43,18:15,93,Economy,,,
98,United Airlines,2019-03-03,Seattle,False,1,Phoenix,17:26,11:25,218,Economy,,,
99,Air France,2019-03-12,Los Angeles,False,1,Paris,15:50,07:35,344,Economy,,,
100,American Airlines,2019-03-12,Los Angeles,True,1,Paris,18:53,14:35,243,Economy,,,
101,United Airlines,2019-03-12,Los Angeles,True,1,Paris,16:18,12:00,234,Economy,,,
102,Delta Airlines,2019-03-11,Vancouver,False,1,Portland,10:47,04:35,230,Economy,,,
103,United Airlines,2019-03-11,Vancouver,False,1,Portland,16:12,09:50,230,Economy,,,
104,Delta Airlines,2019-03-11,Vancouver,False,4,Portland,10:47,04:35,230,Economy,,,
105,Air France,2019-03-05,Los Angeles,False,1,Paris,08:22,00:25,377,Economy,,,
106,American Airlines,2019-03-05,Los Angeles,True,1,Paris,18:53,14:35,284,Economy,,,
107,United Airlines,2019-03-05,Los Angeles,True,1,Paris,19:03,14:45,251,Economy,,,
108,American Airlines,2019-03-09,Vancouver,False,1,New York,16:12,04:25,542,Premium Economy,,,
109,Delta Airlines,2019-03-09,Vancouver,False,1,New York,21:56,16:20,465,Premium Economy,,,
110,Southwest Airlines,2019-03-09,Vancouver,False,1,New York,16:12,09:30,451,Premium Economy,,,
111,United Airlines,2019-03-09,Vancouver,False,1,New York,16:12,07:35,485,Premium Economy,,,
112,American Airlines,2019-03-14,Chicago,False,1,New York,21:33,19:00,203,Economy,,,
113,Delta Airlines,2019-03-14,Chicago,True,1,New York,10:14,08:55,138,Economy,,,
114,Southwest Airlines,2019-03-14,Chicago,True,1,New York,19:14,17:55,155,Economy,,,
115,United Airlines,2019-03-14,Chicago,True,1,New York,15:49,14:30,207,Premium Economy,,,
116,American Airlines,2019-03-03,Chicago,False,1,New York,21:33,19:00,190,Economy,,,
117,Delta Airlines,2019-03-03,Chicago,True,1,New York,10:14,08:55,146,Economy,,,
118,Southwest Airlines,2019-03-03,Chicago,True,1,New York,13:04,11:45,138,Economy,,,
119,United Airlines,2019-03-03,Chicago,True,1,New York,15:49,14:30,123,Economy,,,
120,Alaska Airlines,2019-03-04,Washington,True,1,Seattle,03:03,18:15,205,Economy,,,
121,American Airlines,2019-03-04,Washington,False,1,Seattle,04:55,16:55,331,Economy,,,
122,Delta Airlines,2019-03-04,Washington,True,1,Seattle,13:33,04:45,189,Economy,,,
123,Southwest Airlines,2019-03-04,Washington,True,1,Seattle,13:23,04:35,172,Economy,,,
124,United Airlines,2019-03-04,Washington,False,1,Seattle,16:03,06:05,234,Economy,,,
125,Alaska Airlines,2019-03-07,Atlanta,True,3,Los Angeles,07:29,23:30,171,Economy,,,
126,American Airlines,2019-03-07,Atlanta,True,3,Los Angeles,23:04,15:05,160,Economy,,,
127,Delta Airlines,2019-03-07,Atlanta,True,3,Los Angeles,21:04,13:05,185,Economy,,,
128,Southwest Airlines,2019-03-07,Atlanta,True,3,Los Angeles,02:49,18:50,186,Economy,,,
129,United Airlines,2019-03-07,Atlanta,False,3,Los Angeles,19:56,09:35,281,Economy,,,
130,American Airlines,2019-03-09,Portland,False,3,Paris,21:45,14:35,649,Premium Economy,,,
131,Alaska Airlines,2019-03-12,Las Vegas,False,1,Portland,14:55,10:05,187,Economy,,,
132,American Airlines,2019-03-12,Las Vegas,False,1,Portland,15:05,09:35,193,Economy,,,
133,Delta Airlines,2019-03-12,Las Vegas,False,1,Portland,14:55,11:05,191,Economy,,,
134,United Airlines,2019-03-12,Las Vegas,False,1,Portland,21:45,17:35,205,Economy,,,
135,Alaska Airlines,2019-03-12,Las Vegas,False,3,Portland,14:55,10:05,187,Economy,,,
136,American Airlines,2019-03-12,Las Vegas,False,3,Portland,15:05,09:35,193,Economy,,,
137,Delta Airlines,2019-03-12,Las Vegas,False,3,Portland,14:55,11:05,191,Economy,,,
138,American Airlines,2019-03-03,London,True,1,Los Angeles,02:59,07:10,259,Economy,,,
139,Delta Airlines,2019-03-03,London,True,1,Los Angeles,18:04,22:15,277,Economy,,,
140,Southwest Airlines,2019-03-03,London,True,1,Los Angeles,05:59,10:10,272,Economy,,,
141,United Airlines,2019-03-03,London,False,1,Los Angeles,09:12,11:00,373,Economy,,,
142,United Airlines,2019-03-08,Warsaw,True,2,Chicago,16:14,16:35,257,Economy,,,
143,American Airlines,2019-03-03,Washington,False,3,Vancouver,00:53,13:10,442,Economy,21:56,14:55,2019-03-08
144,United Airlines,2019-03-03,Washington,False,3,Vancouver,00:35,09:25,523,Economy,22:44,13:20,2019-03-08
145,Alaska Airlines,2019-03-12,Los Angeles,False,1,Seattle,09:52,07:05,271,Economy,17:26,11:55,2019-03-14
146,American Airlines,2019-03-12,Los Angeles,True,1,Seattle,21:02,18:15,220,Economy,01:47,23:00,2019-03-14
147,Delta Airlines,2019-03-12,Los Angeles,False,1,Seattle,15:22,12:35,264,Economy,01:41,21:05,2019-03-14
148,Southwest Airlines,2019-03-12,Los Angeles,True,1,Seattle,13:57,11:10,211,Economy,17:47,15:00,2019-03-14
149,United Airlines,2019-03-12,Los Angeles,False,1,Seattle,23:15,18:00,273,Economy,02:17,23:30,2019-03-14
150,American Airlines,2019-03-02,Los Angeles,False,1,Washington,13:15,10:30,347,Economy,18:48,07:40,2019-03-04
151,Delta Airlines,2019-03-02,Los Angeles,False,1,Washington,11:00,05:35,347,Economy,14:40,05:55,2019-03-04
152,Southwest Airlines,2019-03-02,Los Angeles,False,1,Washington,15:15,12:30,316,Economy,21:43,12:00,2019-03-04
153,United Airlines,2019-03-02,Los Angeles,False,1,Washington,16:05,13:20,344,Economy,23:05,11:00,2019-03-04
154,American Airlines,2019-03-03,Atlanta,False,1,Chicago,16:26,13:25,258,Economy,20:08,17:00,2019-03-10
155,Delta Airlines,2019-03-03,Atlanta,True,1,Chicago,20:11,17:10,184,Economy,20:36,19:35,2019-03-10
156,Southwest Airlines,2019-03-03,Atlanta,False,1,Chicago,22:56,17:10,259,Economy,22:11,21:10,2019-03-10
157,United Airlines,2019-03-03,Atlanta,True,1,Chicago,19:56,16:55,188,Economy,14:46,13:45,2019-03-10
158,American Airlines,2019-03-02,London,False,1,Chicago,07:49,13:25,596,Economy,03:32,12:45,2019-03-13
159,United Airlines,2019-03-02,London,False,1,Chicago,07:49,11:35,475,Economy,17:09,12:40,2019-03-13
160,Delta Airlines,2019-03-04,Los Angeles,True,1,Las Vegas,20:55,19:45,140,Economy,17:45,16:35,2019-03-10
161,Southwest Airlines,2019-03-04,Los Angeles,True,1,Las Vegas,20:30,19:20,117,Economy,07:35,06:25,2019-03-10
162,United Airlines,2019-03-04,Los Angeles,True,1,Las Vegas,09:35,08:25,120,Economy,09:20,08:10,2019-03-10
163,United Airlines,2019-03-06,Philadelphia,True,1,Chicago,19:36,16:25,321,Premium Economy,15:06,13:55,2019-03-08
164,American Airlines,2019-03-07,Seattle,False,1,Phoenix,22:11,16:10,350,Economy,18:43,14:20,2019-03-14
165,Delta Airlines,2019-03-07,Seattle,False,1,Phoenix,12:16,06:00,363,Economy,22:57,17:35,2019-03-14
166,Southwest Airlines,2019-03-07,Seattle,False,1,Phoenix,10:43,05:15,320,Economy,16:03,11:10,2019-03-14
167,American Airlines,2019-03-09,Atlanta,True,1,Los Angeles,23:04,15:05,274,Economy,09:24,07:25,2019-03-12
168,Delta Airlines,2019-03-09,Atlanta,False,1,Los Angeles,21:04,13:05,346,Economy,19:30,16:25,2019-03-12
169,Southwest Airlines,2019-03-09,Atlanta,False,1,Los Angeles,00:26,13:05,347,Economy,19:09,17:10,2019-03-12
170,United Airlines,2019-03-09,Atlanta,False,1,Los Angeles,19:56,09:35,405,Economy,13:35,09:30,2019-03-12
171,United Airlines,2019-03-08,Philadelphia,False,1,Delhi,16:21,13:20,582,Economy,20:59,21:35,2019-03-10
172,American Airlines,2019-03-07,San Francisco,True,1,Atlanta,18:11,15:45,295,Economy,05:46,21:20,2019-03-12
173,Delta Airlines,2019-03-07,San Francisco,False,1,Atlanta,08:16,05:50,364,Economy,20:24,09:45,2019-03-12
174,Southwest Airlines,2019-03-07,San Francisco,False,1,Atlanta,12:46,10:20,325,Economy,00:34,14:25,2019-03-12
175,United Airlines,2019-03-07,San Francisco,False,1,Atlanta,00:11,21:45,381,Economy,20:46,09:20,2019-03-12
176,American Airlines,2019-03-03,San Francisco,True,1,Atlanta,18:11,15:45,313,Economy,05:46,21:20,2019-03-14
177,Delta Airlines,2019-03-03,San Francisco,False,1,Atlanta,08:16,05:50,338,Economy,20:24,09:45,2019-03-14
178,Southwest Airlines,2019-03-03,San Francisco,False,1,Atlanta,16:12,10:40,358,Economy,03:11,18:45,2019-03-14
179,United Airlines,2019-03-03,San Francisco,False,1,Atlanta,00:11,21:45,376,Economy,20:46,09:20,2019-03-14
180,American Airlines,2019-03-08,New York,True,1,Berlin,05:06,01:35,374,Economy,08:16,16:45,2019-03-12
181,United Airlines,2019-03-08,New York,True,1,Berlin,19:56,16:25,372,Economy,09:01,17:30,2019-03-12
182,Delta Airlines,2019-03-02,Vancouver,False,1,Portland,10:47,04:35,354,Economy,16:23,06:35,2019-03-08
183,American Airlines,2019-03-05,New York,True,1,San Francisco,14:21,04:55,343,Economy,15:56,12:30,2019-03-08
184,Delta Airlines,2019-03-05,New York,True,1,San Francisco,19:16,09:50,337,Economy,01:01,21:35,2019-03-08
185,Southwest Airlines,2019-03-05,New York,True,1,San Francisco,14:11,04:45,298,Economy,21:41,18:15,2019-03-08
186,United Airlines,2019-03-05,New York,True,1,San Francisco,01:56,16:30,274,Economy,23:01,19:35,2019-03-08
187,American Airlines,2019-03-01,Las Vegas,False,1,Atlanta,21:45,15:45,377,Economy,20:24,10:25,2019-03-04
188,Southwest Airlines,2019-03-01,Las Vegas,False,1,Atlanta,14:55,10:20,412,Economy,00:26,12:35,2019-03-04
189,Southwest Airlines,2019-03-09,Los Angeles,True,1,Chicago,21:52,19:20,276,Economy,18:32,12:00,2019-03-14
190,American Airlines,2019-03-04,San Francisco,True,2,Atlanta,18:11,15:45,279,Economy,05:46,21:20,2019-03-12
191,Delta Airlines,2019-03-04,San Francisco,False,2,Atlanta,08:16,05:50,339,Economy,20:24,09:45,2019-03-12
192,Southwest Airlines,2019-03-04,San Francisco,False,2,Atlanta,12:46,10:20,344,Economy,00:34,14:25,2019-03-12
193,United Airlines,2019-03-04,San Francisco,False,2,Atlanta,00:11,21:45,379,Economy,20:46,09:20,2019-03-12
194,American Airlines,2019-03-08,Atlanta,False,1,Seattle,20:24,08:50,386,Economy,16:22,13:50,2019-03-10
195,Delta Airlines,2019-03-08,Atlanta,False,1,Seattle,17:07,08:35,383,Economy,12:16,05:50,2019-03-10
196,Southwest Airlines,2019-03-08,Atlanta,False,1,Seattle,00:26,13:35,374,Economy,13:37,11:05,2019-03-10
197,United Airlines,2019-03-08,Atlanta,False,1,Seattle,19:07,10:35,369,Economy,15:06,09:30,2019-03-10
198,United Airlines,2019-03-02,Delhi,True,1,Chicago,20:59,23:15,368,Economy,13:04,13:20,2019-03-06
199,American Airlines,2019-03-02,New York,False,1,Chicago,08:24,05:05,222,Economy,15:06,11:20,2019-03-06
200,Delta Airlines,2019-03-02,New York,True,1,Chicago,11:19,08:00,202,Economy,10:14,08:55,2019-03-06
201,Southwest Airlines,2019-03-02,New York,True,1,Chicago,07:29,04:10,196,Economy,13:04,11:45,2019-03-06
202,United Airlines,2019-03-02,New York,False,1,Chicago,17:52,11:35,263,Economy,01:04,23:45,2019-03-06
203,Delta Airlines,2019-03-02,Philadelphia,False,1,Atlanta,09:26,06:05,265,Economy,18:42,15:00,2019-03-09
204,United Airlines,2019-03-02,Philadelphia,False,1,Atlanta,12:11,07:25,289,Economy,19:56,13:55,2019-03-09
205,American Airlines,2019-03-09,Chicago,False,1,New York,15:06,11:20,235,Economy,08:24,05:05,2019-03-12
206,Delta Airlines,2019-03-09,Chicago,True,1,New York,10:14,08:55,197,Economy,03:04,23:45,2019-03-12
207,Southwest Airlines,2019-03-09,Chicago,True,1,New York,13:04,11:45,189,Economy,20:24,17:05,2019-03-12
208,United Airlines,2019-03-09,Chicago,False,1,New York,01:04,23:45,290,Economy,17:52,11:35,2019-03-12
209,United Airlines,2019-03-04,San Francisco,True,1,New York,23:01,19:35,302,Economy,17:46,08:20,2019-03-14
210,American Airlines,2019-03-05,Seattle,False,1,Vancouver,20:01,11:20,373,Economy,22:44,14:20,2019-03-07
211,Delta Airlines,2019-03-05,Seattle,False,1,Vancouver,12:16,06:35,385,Economy,10:47,04:10,2019-03-07
212,United Airlines,2019-03-05,Seattle,False,1,Vancouver,17:47,09:25,506,Economy,21:56,10:35,2019-03-07
213,United Airlines,2019-03-01,Atlanta,False,2,Delhi,16:26,13:20,585,Economy,16:37,09:30,2019-03-10
214,American Airlines,2019-03-04,Las Vegas,False,1,Paris,19:20,09:40,543,Economy,07:18,04:25,2019-03-11
215,American Airlines,2019-03-02,Berlin,True,1,New York,08:16,16:45,373,Economy,05:06,01:35,2019-03-14
216,United Airlines,2019-03-02,Berlin,True,1,New York,09:01,17:30,353,Economy,19:56,16:25,2019-03-14
217,Alaska Airlines,2019-03-05,Portland,False,1,Los Angeles,09:28,04:40,228,Economy,19:40,17:10,2019-03-13
218,American Airlines,2019-03-05,Portland,True,1,Los Angeles,21:45,19:15,318,Premium Economy,12:05,09:35,2019-03-13
219,Delta Airlines,2019-03-05,Portland,True,1,Los Angeles,12:50,10:20,191,Economy,11:55,09:25,2019-03-13
220,Southwest Airlines,2019-03-05,Portland,False,1,Los Angeles,17:48,13:05,298,Economy,23:15,18:25,2019-03-13
221,United Airlines,2019-03-05,Portland,True,1,Los Angeles,01:25,22:55,201,Economy,20:50,18:20,2019-03-13
222,Alaska Airlines,2019-03-05,Portland,False,3,Los Angeles,09:28,04:40,228,Economy,19:40,17:10,2019-03-13
223,Delta Airlines,2019-03-05,Portland,True,3,Los Angeles,12:50,10:20,191,Economy,11:55,09:25,2019-03-13
224,Southwest Airlines,2019-03-05,Portland,False,3,Los Angeles,17:48,13:05,298,Economy,23:15,18:25,2019-03-13
225,United Airlines,2019-03-05,Portland,True,3,Los Angeles,01:25,22:55,201,Economy,20:50,18:20,2019-03-13
226,Alaska Airlines,2019-03-04,San Francisco,False,1,San Diego,09:10,06:15,220,Economy,14:05,12:25,2019-03-09
227,American Airlines,2019-03-04,San Francisco,True,1,San Diego,23:45,22:05,155,Economy,11:00,09:20,2019-03-09
228,Delta Airlines,2019-03-04,San Francisco,False,1,San Diego,18:50,17:10,212,Economy,10:59,07:20,2019-03-09
229,Southwest Airlines,2019-03-04,San Francisco,True,1,San Diego,13:50,12:10,170,Economy,20:30,18:50,2019-03-09
230,United Airlines,2019-03-04,San Francisco,True,1,San Diego,21:15,19:35,159,Economy,10:00,08:20,2019-03-09
231,United Airlines,2019-03-11,Washington,False,1,Mexico City,07:01,01:40,574,Premium Economy,01:16,16:35,2019-03-13
232,American Airlines,2019-03-01,Atlanta,True,1,New York,12:07,09:45,304,Premium Economy,00:52,22:30,2019-03-05
233,Delta Airlines,2019-03-01,Atlanta,True,1,New York,18:42,16:20,308,Premium Economy,01:27,23:05,2019-03-05
234,Southwest Airlines,2019-03-01,Atlanta,True,1,New York,20:37,18:15,323,Premium Economy,16:52,14:30,2019-03-05
235,United Airlines,2019-03-01,Atlanta,True,1,New York,21:12,18:50,307,Premium Economy,09:47,07:25,2019-03-05
236,Southwest Airlines,2019-03-07,San Francisco,True,1,Atlanta,12:46,10:20,287,Economy,03:11,18:45,2019-03-13
237,Southwest Airlines,2019-03-05,San Francisco,True,1,New York,21:41,18:15,285,Economy,14:11,04:45,2019-03-14
238,American Airlines,2019-03-06,Philadelphia,False,3,Toronto,08:01,04:15,286,Economy,01:13,17:45,2019-03-12
239,Delta Airlines,2019-03-06,Philadelphia,False,3,Toronto,12:11,09:15,284,Economy,01:13,16:15,2019-03-12
240,American Airlines,2019-03-04,Atlanta,False,3,Berlin,10:22,01:35,581,Economy,18:30,15:45,2019-03-11
241,American Airlines,2019-03-06,London,False,1,Washington,07:49,15:15,571,Economy,04:55,12:45,2019-03-09
242,Delta Airlines,2019-03-06,London,False,1,Washington,06:47,12:55,430,Economy,15:03,03:55,2019-03-09
243,United Airlines,2019-03-06,London,False,1,Washington,21:09,05:20,510,Economy,00:53,12:40,2019-03-09
244,American Airlines,2019-03-06,Atlanta,False,2,San Francisco,18:42,04:55,379,Economy,18:11,15:45,2019-03-09
245,Delta Airlines,2019-03-06,Atlanta,False,2,San Francisco,20:24,09:45,327,Economy,08:16,05:50,2019-03-09
246,Southwest Airlines,2019-03-06,Atlanta,True,2,San Francisco,03:11,18:45,255,Economy,12:46,10:20,2019-03-09
247,United Airlines,2019-03-06,Atlanta,True,2,San Francisco,05:26,21:00,286,Economy,11:56,09:30,2019-03-09
248,American Airlines,2019-03-01,Washington,True,4,Chicago,23:33,20:35,211,Economy,20:08,19:10,2019-03-05
249,Southwest Airlines,2019-03-01,Washington,True,4,Chicago,18:48,15:50,174,Economy,09:38,08:40,2019-03-05
250,American Airlines,2019-03-04,Seattle,False,1,Las Vegas,13:01,07:35,343,Economy,21:45,16:15,2019-03-14
251,Delta Airlines,2019-03-03,Chicago,False,1,Mexico City,11:41,06:55,420,Economy,01:08,16:10,2019-03-11
252,American Airlines,2019-03-02,New York,False,1,Atlanta,01:17,22:55,258,Economy,11:51,07:10,2019-03-12
253,Delta Airlines,2019-03-02,New York,True,1,Atlanta,08:27,06:05,206,Economy,18:42,16:20,2019-03-12
254,Southwest Airlines,2019-03-02,New York,True,1,Atlanta,10:47,08:25,204,Economy,23:47,21:25,2019-03-12
255,United Airlines,2019-03-02,New York,True,1,Atlanta,09:47,07:25,188,Economy,21:22,19:00,2019-03-12
256,American Airlines,2019-03-05,New York,True,1,Philadelphia,16:11,15:20,162,Premium Economy,14:26,13:35,2019-03-07
257,Delta Airlines,2019-03-05,New York,True,1,Philadelphia,15:51,15:00,103,Economy,13:11,12:20,2019-03-07
