,category,departure_date,departure_time,from_city,from_station,num_passengers,price,to_city,to_station,additional_luggage
44,direct,2019-03-11,12:10,Las Vegas,Union Plaza,1,44,Fresno,2660 Tulare St,
45,direct,2019-03-11,14:10,Las Vegas,Union Plaza,1,38,Fresno,2660 Tulare St,
46,direct,2019-03-11,14:40,Las Vegas,Union Plaza,1,42,Fresno,2660 Tulare St,
47,direct,2019-03-11,15:30,Las Vegas,Union Plaza,1,40,Fresno,2660 Tulare St,
48,direct,2019-03-11,18:00,Las Vegas,Union Plaza,1,35,Fresno,2660 Tulare St,
49,direct,2019-03-11,18:30,Las Vegas,Union Plaza,1,34,Fresno,2660 Tulare St,
50,direct,2019-03-11,18:40,Las Vegas,Union Plaza,1,45,Fresno,2660 Tulare St,
51,direct,2019-03-03,09:10,San Diego,El Cajon Bus Stop,1,25,Los Angeles,North Hollywood Station,
52,direct,2019-03-03,09:20,San Diego,El Cajon Bus Stop,1,22,Los Angeles,North Hollywood Station,
53,direct,2019-03-03,14:20,San Diego,El Cajon Bus Stop,1,26,Los Angeles,North Hollywood Station,
54,direct,2019-03-03,16:00,San Diego,El Cajon Bus Stop,1,28,Los Angeles,North Hollywood Station,
55,direct,2019-03-03,16:10,San Diego,El Cajon Bus Stop,1,25,Los Angeles,North Hollywood Station,
56,direct,2019-03-03,16:40,San Diego,El Cajon Bus Stop,1,31,Los Angeles,North Hollywood Station,
57,direct,2019-03-03,17:10,San Diego,El Cajon Bus Stop,1,25,Los Angeles,North Hollywood Station,
58,direct,2019-03-03,17:20,San Diego,El Cajon Bus Stop,1,30,Los Angeles,North Hollywood Station,
59,direct,2019-03-03,17:30,San Diego,El Cajon Bus Stop,1,27,Los Angeles,North Hollywood Station,
60,direct,2019-03-03,18:10,San Diego,El Cajon Bus Stop,1,25,Los Angeles,North Hollywood Station,
61,direct,2019-03-06,07:00,San Francisco,Transbay Terminal,4,46,Long Beach,Downtown Station,
62,direct,2019-03-06,07:40,San Francisco,Transbay Terminal,4,54,Long Beach,Downtown Station,
63,direct,2019-03-06,09:10,San Francisco,Transbay Terminal,4,44,Long Beach,Downtown Station,
64,direct,2019-03-06,11:10,San Francisco,Transbay Terminal,4,49,Long Beach,Downtown Station,
65,direct,2019-03-06,13:00,San Francisco,Transbay Terminal,4,47,Long Beach,Downtown Station,
66,direct,2019-03-06,17:00,San Francisco,Transbay Terminal,4,47,Long Beach,Downtown Station,
67,direct,2019-03-06,19:50,San Francisco,Transbay Terminal,4,43,Long Beach,Downtown Station,
68,direct,2019-03-07,06:00,San Francisco,Transbay Terminal,1,22,Sacramento,65th Light Rail Station,
69,direct,2019-03-07,08:10,San Francisco,Transbay Terminal,1,20,Sacramento,65th Light Rail Station,
70,direct,2019-03-07,09:00,San Francisco,Transbay Terminal,1,23,Sacramento,65th Light Rail Station,
71,direct,2019-03-07,09:10,San Francisco,Transbay Terminal,1,24,Sacramento,65th Light Rail Station,
72,direct,2019-03-07,09:40,San Francisco,Transbay Terminal,1,20,Sacramento,65th Light Rail Station,
73,direct,2019-03-07,10:10,San Francisco,Transbay Terminal,1,23,Sacramento,65th Light Rail Station,
74,direct,2019-03-07,11:50,San Francisco,Transbay Terminal,1,21,Sacramento,65th Light Rail Station,
75,direct,2019-03-07,13:50,San Francisco,Transbay Terminal,1,21,Sacramento,65th Light Rail Station,
76,direct,2019-03-07,14:20,San Francisco,Transbay Terminal,1,21,Sacramento,65th Light Rail Station,
77,direct,2019-03-07,15:50,San Francisco,Transbay Terminal,1,20,Sacramento,65th Light Rail Station,
78,direct,2019-03-08,09:10,Long Beach,Downtown Station,2,41,Las Vegas,Union Plaza,
79,direct,2019-03-08,10:00,Long Beach,Downtown Station,2,39,Las Vegas,Union Plaza,
80,direct,2019-03-08,15:30,Long Beach,Downtown Station,2,37,Las Vegas,Union Plaza,
81,direct,2019-03-08,17:50,Long Beach,Downtown Station,2,39,Las Vegas,Union Plaza,
82,direct,2019-03-13,07:00,San Francisco,Transbay Terminal,1,46,Long Beach,Downtown Station,
83,direct,2019-03-13,07:40,San Francisco,Transbay Terminal,1,44,Long Beach,Downtown Station,
84,direct,2019-03-13,09:10,San Francisco,Transbay Terminal,1,42,Long Beach,Downtown Station,
85,direct,2019-03-13,11:10,San Francisco,Transbay Terminal,1,50,Long Beach,Downtown Station,
86,direct,2019-03-13,13:00,San Francisco,Transbay Terminal,1,49,Long Beach,Downtown Station,
87,direct,2019-03-13,17:00,San Francisco,Transbay Terminal,1,51,Long Beach,Downtown Station,
88,direct,2019-03-13,19:50,San Francisco,Transbay Terminal,1,49,Long Beach,Downtown Station,
89,direct,2019-03-13,07:00,San Francisco,Transbay Terminal,3,46,Long Beach,Downtown Station,
90,direct,2019-03-13,07:40,San Francisco,Transbay Terminal,3,44,Long Beach,Downtown Station,
91,direct,2019-03-13,09:10,San Francisco,Transbay Terminal,3,42,Long Beach,Downtown Station,
92,direct,2019-03-13,11:10,San Francisco,Transbay Terminal,3,50,Long Beach,Downtown Station,
93,direct,2019-03-13,13:00,San Francisco,Transbay Terminal,3,49,Long Beach,Downtown Station,
94,direct,2019-03-13,17:00,San Francisco,Transbay Terminal,3,51,Long Beach,Downtown Station,
95,direct,2019-03-02,07:30,Seattle,Westlake Station,1,31,Portland,SW Arthur & 1st,
96,direct,2019-03-02,09:00,Seattle,Westlake Station,1,36,Portland,SW Arthur & 1st,
97,direct,2019-03-02,09:20,Seattle,Westlake Station,1,31,Portland,SW Arthur & 1st,
98,direct,2019-03-02,09:30,Seattle,Westlake Station,1,27,Portland,SW Arthur & 1st,
99,direct,2019-03-02,09:50,Seattle,Westlake Station,1,28,Portland,SW Arthur & 1st,
100,direct,2019-03-02,12:10,Seattle,Westlake Station,1,30,Portland,SW Arthur & 1st,
101,direct,2019-03-02,12:20,Seattle,Westlake Station,1,31,Portland,SW Arthur & 1st,
102,direct,2019-03-02,18:30,Seattle,Westlake Station,1,29,Portland,SW Arthur & 1st,
103,direct,2019-03-14,06:50,Los Angeles,North Hollywood Station,1,14,Long Beach,Downtown Station,
104,direct,2019-03-14,08:20,Los Angeles,North Hollywood Station,1,12,Long Beach,Downtown Station,
105,direct,2019-03-14,11:20,Los Angeles,North Hollywood Station,1,14,Long Beach,Downtown Station,
106,direct,2019-03-14,12:10,Los Angeles,North Hollywood Station,1,12,Long Beach,Downtown Station,
107,direct,2019-03-14,12:50,Los Angeles,North Hollywood Station,1,11,Long Beach,Downtown Station,
108,direct,2019-03-14,13:30,Los Angeles,North Hollywood Station,1,11,Long Beach,Downtown Station,
109,direct,2019-03-14,13:40,Los Angeles,North Hollywood Station,1,12,Long Beach,Downtown Station,
110,direct,2019-03-14,14:00,Los Angeles,North Hollywood Station,1,11,Long Beach,Downtown Station,
111,direct,2019-03-14,14:40,Los Angeles,North Hollywood Station,1,10,Long Beach,Downtown Station,
112,direct,2019-03-14,15:20,Los Angeles,North Hollywood Station,1,12,Long Beach,Downtown Station,
113,direct,2019-03-11,07:00,Portland,SW Arthur & 1st,1,26,Seattle,Westlake Station,
114,direct,2019-03-11,11:20,Portland,SW Arthur & 1st,1,28,Seattle,Westlake Station,
115,direct,2019-03-11,11:50,Portland,SW Arthur & 1st,1,31,Seattle,Westlake Station,
116,direct,2019-03-11,12:20,Portland,SW Arthur & 1st,1,30,Seattle,Westlake Station,
117,direct,2019-03-11,12:30,Portland,SW Arthur & 1st,1,31,Seattle,Westlake Station,
118,direct,2019-03-11,12:40,Portland,SW Arthur & 1st,1,27,Seattle,Westlake Station,
119,direct,2019-03-11,16:10,Portland,SW Arthur & 1st,1,29,Seattle,Westlake Station,
120,direct,2019-03-11,17:30,Portland,SW Arthur & 1st,1,32,Seattle,Westlake Station,
121,direct,2019-03-11,18:30,Portland,SW Arthur & 1st,1,29,Seattle,Westlake Station,
122,direct,2019-03-11,19:00,Portland,SW Arthur & 1st,1,34,Seattle,Westlake Station,
123,direct,2019-03-13,06:00,Los Angeles,North Hollywood Station,3,12,Anaheim,Anaheim Bus Station,
124,direct,2019-03-13,06:40,Los Angeles,North Hollywood Station,3,11,Anaheim,Anaheim Bus Station,
125,direct,2019-03-13,09:20,Los Angeles,North Hollywood Station,3,13,Anaheim,Anaheim Bus Station,
126,direct,2019-03-13,10:40,Los Angeles,North Hollywood Station,3,13,Anaheim,Anaheim Bus Station,
127,direct,2019-03-13,11:30,Los Angeles,North Hollywood Station,3,10,Anaheim,Anaheim Bus Station,
128,direct,2019-03-13,14:00,Los Angeles,North Hollywood Station,3,12,Anaheim,Anaheim Bus Station,
129,direct,2019-03-13,14:50,Los Angeles,North Hollywood Station,3,13,Anaheim,Anaheim Bus Station,
130,direct,2019-03-13,15:00,Los Angeles,North Hollywood Station,3,11,Anaheim,Anaheim Bus Station,
131,direct,2019-03-13,15:30,Los Angeles,North Hollywood Station,3,13,Anaheim,Anaheim Bus Station,
132,direct,2019-03-13,15:40,Los Angeles,North Hollywood Station,3,11,Anaheim,Anaheim Bus Station,
133,direct,2019-03-13,08:50,Anaheim,Anaheim Bus Station,3,50,San Francisco,Transbay Terminal,
134,direct,2019-03-13,09:10,Anaheim,Anaheim Bus Station,3,43,San Francisco,Transbay Terminal,
135,direct,2019-03-13,11:40,Anaheim,Anaheim Bus Station,3,52,San Francisco,Transbay Terminal,
136,direct,2019-03-13,14:00,Anaheim,Anaheim Bus Station,3,51,San Francisco,Transbay Terminal,
137,direct,2019-03-13,14:30,Anaheim,Anaheim Bus Station,3,49,San Francisco,Transbay Terminal,
138,direct,2019-03-13,16:10,Anaheim,Anaheim Bus Station,3,44,San Francisco,Transbay Terminal,
139,direct,2019-03-13,18:10,Anaheim,Anaheim Bus Station,3,52,San Francisco,Transbay Terminal,
140,direct,2019-03-13,19:00,Anaheim,Anaheim Bus Station,3,49,San Francisco,Transbay Terminal,
141,direct,2019-03-08,08:50,Anaheim,Anaheim Bus Station,3,51,San Francisco,Transbay Terminal,
142,direct,2019-03-08,09:10,Anaheim,Anaheim Bus Station,3,44,San Francisco,Transbay Terminal,
143,direct,2019-03-08,11:40,Anaheim,Anaheim Bus Station,3,49,San Francisco,Transbay Terminal,
144,direct,2019-03-08,14:00,Anaheim,Anaheim Bus Station,3,52,San Francisco,Transbay Terminal,
145,direct,2019-03-08,14:30,Anaheim,Anaheim Bus Station,3,48,San Francisco,Transbay Terminal,
146,direct,2019-03-08,16:10,Anaheim,Anaheim Bus Station,3,40,San Francisco,Transbay Terminal,
147,direct,2019-03-08,18:10,Anaheim,Anaheim Bus Station,3,44,San Francisco,Transbay Terminal,
148,direct,2019-03-08,19:00,Anaheim,Anaheim Bus Station,3,40,San Francisco,Transbay Terminal,
149,direct,2019-03-11,07:50,Fresno,2660 Tulare St,1,40,Los Angeles,North Hollywood Station,
150,direct,2019-03-11,08:10,Fresno,2660 Tulare St,1,33,Los Angeles,North Hollywood Station,
151,direct,2019-03-11,09:00,Fresno,2660 Tulare St,1,40,Los Angeles,North Hollywood Station,
152,direct,2019-03-11,09:50,Fresno,2660 Tulare St,1,31,Los Angeles,North Hollywood Station,
153,direct,2019-03-11,13:20,Fresno,2660 Tulare St,1,38,Los Angeles,North Hollywood Station,
154,direct,2019-03-11,15:20,Fresno,2660 Tulare St,1,43,Los Angeles,North Hollywood Station,
155,direct,2019-03-11,17:10,Fresno,2660 Tulare St,1,35,Los Angeles,North Hollywood Station,
156,direct,2019-03-11,19:20,Fresno,2660 Tulare St,1,35,Los Angeles,North Hollywood Station,
157,direct,2019-03-01,07:20,San Francisco,Transbay Terminal,1,48,Anaheim,Anaheim Bus Station,
158,direct,2019-03-01,08:50,San Francisco,Transbay Terminal,1,49,Anaheim,Anaheim Bus Station,
159,direct,2019-03-01,09:10,San Francisco,Transbay Terminal,1,51,Anaheim,Anaheim Bus Station,
160,direct,2019-03-01,10:30,San Francisco,Transbay Terminal,1,45,Anaheim,Anaheim Bus Station,
161,direct,2019-03-01,12:10,San Francisco,Transbay Terminal,1,45,Anaheim,Anaheim Bus Station,
162,direct,2019-03-01,16:10,San Francisco,Transbay Terminal,1,47,Anaheim,Anaheim Bus Station,
163,direct,2019-03-01,16:20,San Francisco,Transbay Terminal,1,48,Anaheim,Anaheim Bus Station,
164,direct,2019-03-01,16:40,San Francisco,Transbay Terminal,1,44,Anaheim,Anaheim Bus Station,
165,direct,2019-03-08,07:40,Sacramento,65th Light Rail Station,1,24,San Francisco,Transbay Terminal,
166,direct,2019-03-08,07:50,Sacramento,65th Light Rail Station,1,21,San Francisco,Transbay Terminal,
167,direct,2019-03-08,09:40,Sacramento,65th Light Rail Station,1,21,San Francisco,Transbay Terminal,
168,direct,2019-03-08,12:10,Sacramento,65th Light Rail Station,1,19,San Francisco,Transbay Terminal,
169,direct,2019-03-08,12:20,Sacramento,65th Light Rail Station,1,22,San Francisco,Transbay Terminal,
170,direct,2019-03-08,13:00,Sacramento,65th Light Rail Station,1,25,San Francisco,Transbay Terminal,
171,direct,2019-03-08,15:10,Sacramento,65th Light Rail Station,1,24,San Francisco,Transbay Terminal,
172,direct,2019-03-08,15:20,Sacramento,65th Light Rail Station,1,23,San Francisco,Transbay Terminal,
173,direct,2019-03-08,16:20,Sacramento,65th Light Rail Station,1,22,San Francisco,Transbay Terminal,
174,direct,2019-03-08,16:40,Sacramento,65th Light Rail Station,1,21,San Francisco,Transbay Terminal,
175,direct,2019-03-09,07:10,Vancouver,Pacific Central Station,4,40,Portland,SW Arthur & 1st,
176,direct,2019-03-09,08:40,Vancouver,Pacific Central Station,4,36,Portland,SW Arthur & 1st,
177,direct,2019-03-09,09:30,Vancouver,Pacific Central Station,4,43,Portland,SW Arthur & 1st,
178,direct,2019-03-09,11:50,Vancouver,Pacific Central Station,4,35,Portland,SW Arthur & 1st,
179,direct,2019-03-09,14:10,Vancouver,Pacific Central Station,4,42,Portland,SW Arthur & 1st,
180,direct,2019-03-09,14:30,Vancouver,Pacific Central Station,4,41,Portland,SW Arthur & 1st,
181,direct,2019-03-09,17:00,Vancouver,Pacific Central Station,4,44,Portland,SW Arthur & 1st,
182,direct,2019-03-09,19:00,Vancouver,Pacific Central Station,4,42,Portland,SW Arthur & 1st,
183,direct,2019-03-10,06:20,Fresno,2660 Tulare St,1,28,Sacramento,65th Light Rail Station,
184,direct,2019-03-10,09:20,Fresno,2660 Tulare St,1,27,Sacramento,65th Light Rail Station,
185,direct,2019-03-10,11:30,Fresno,2660 Tulare St,1,36,Sacramento,65th Light Rail Station,
186,direct,2019-03-10,13:10,Fresno,2660 Tulare St,1,26,Sacramento,65th Light Rail Station,
187,direct,2019-03-10,14:00,Fresno,2660 Tulare St,1,34,Sacramento,65th Light Rail Station,
188,direct,2019-03-10,16:10,Fresno,2660 Tulare St,1,31,Sacramento,65th Light Rail Station,
189,direct,2019-03-04,10:50,Fresno,2660 Tulare St,1,36,San Francisco,Transbay Terminal,
190,direct,2019-03-04,12:40,Fresno,2660 Tulare St,1,30,San Francisco,Transbay Terminal,
191,direct,2019-03-04,13:10,Fresno,2660 Tulare St,1,27,San Francisco,Transbay Terminal,
192,direct,2019-03-04,13:30,Fresno,2660 Tulare St,1,34,San Francisco,Transbay Terminal,
193,direct,2019-03-04,14:20,Fresno,2660 Tulare St,1,36,San Francisco,Transbay Terminal,
194,direct,2019-03-04,14:40,Fresno,2660 Tulare St,1,31,San Francisco,Transbay Terminal,
195,direct,2019-03-04,16:10,Fresno,2660 Tulare St,1,27,San Francisco,Transbay Terminal,
196,direct,2019-03-04,19:40,Fresno,2660 Tulare St,1,34,San Francisco,Transbay Terminal,
197,direct,2019-03-04,07:00,Portland,SW Arthur & 1st,1,33,Seattle,Westlake Station,
198,direct,2019-03-04,11:20,Portland,SW Arthur & 1st,1,32,Seattle,Westlake Station,
199,direct,2019-03-04,11:50,Portland,SW Arthur & 1st,1,29,Seattle,Westlake Station,
200,direct,2019-03-04,12:20,Portland,SW Arthur & 1st,1,32,Seattle,Westlake Station,
201,direct,2019-03-04,12:30,Portland,SW Arthur & 1st,1,26,Seattle,Westlake Station,
202,direct,2019-03-04,12:40,Portland,SW Arthur & 1st,1,27,Seattle,Westlake Station,
203,direct,2019-03-04,16:10,Portland,SW Arthur & 1st,1,31,Seattle,Westlake Station,
204,direct,2019-03-04,17:30,Portland,SW Arthur & 1st,1,29,Seattle,Westlake Station,
205,direct,2019-03-04,18:30,Portland,SW Arthur & 1st,1,31,Seattle,Westlake Station,
206,direct,2019-03-04,19:00,Portland,SW Arthur & 1st,1,26,Seattle,Westlake Station,
207,direct,2019-03-06,06:50,Long Beach,Downtown Station,1,24,San Diego,El Cajon Bus Stop,
208,direct,2019-03-06,07:30,Long Beach,Downtown Station,1,25,San Diego,El Cajon Bus Stop,
209,direct,2019-03-06,07:50,Long Beach,Downtown Station,1,26,San Diego,El Cajon Bus Stop,
210,direct,2019-03-06,08:40,Long Beach,Downtown Station,1,28,San Diego,El Cajon Bus Stop,
211,direct,2019-03-06,09:30,Long Beach,Downtown Station,1,23,San Diego,El Cajon Bus Stop,
212,direct,2019-03-06,15:20,Long Beach,Downtown Station,1,22,San Diego,El Cajon Bus Stop,
213,direct,2019-03-06,16:10,Long Beach,Downtown Station,1,22,San Diego,El Cajon Bus Stop,
214,direct,2019-03-06,17:50,Long Beach,Downtown Station,1,24,San Diego,El Cajon Bus Stop,
215,direct,2019-03-06,18:10,Long Beach,Downtown Station,1,25,San Diego,El Cajon Bus Stop,
216,direct,2019-03-04,07:30,Seattle,Westlake Station,3,28,Portland,SW Arthur & 1st,
217,direct,2019-03-04,09:00,Seattle,Westlake Station,3,32,Portland,SW Arthur & 1st,
218,direct,2019-03-04,09:20,Seattle,Westlake Station,3,31,Portland,SW Arthur & 1st,
219,direct,2019-03-04,09:30,Seattle,Westlake Station,3,29,Portland,SW Arthur & 1st,
220,direct,2019-03-04,09:50,Seattle,Westlake Station,3,28,Portland,SW Arthur & 1st,
221,direct,2019-03-04,12:10,Seattle,Westlake Station,3,26,Portland,SW Arthur & 1st,
222,direct,2019-03-04,12:20,Seattle,Westlake Station,3,29,Portland,SW Arthur & 1st,
223,direct,2019-03-04,18:30,Seattle,Westlake Station,3,32,Portland,SW Arthur & 1st,
224,one-stop,2019-03-09,07:10,Sacramento,65th Light Rail Station,1,67,San Diego,El Cajon Bus Stop,
225,one-stop,2019-03-09,07:40,Sacramento,65th Light Rail Station,1,62,San Diego,El Cajon Bus Stop,
226,one-stop,2019-03-09,07:50,Sacramento,65th Light Rail Station,1,64,San Diego,El Cajon Bus Stop,
227,one-stop,2019-03-09,09:40,Sacramento,65th Light Rail Station,1,59,San Diego,El Cajon Bus Stop,
228,one-stop,2019-03-09,10:50,Sacramento,65th Light Rail Station,1,60,San Diego,El Cajon Bus Stop,
229,one-stop,2019-03-09,16:20,Sacramento,65th Light Rail Station,1,61,San Diego,El Cajon Bus Stop,
230,one-stop,2019-03-09,16:40,Sacramento,65th Light Rail Station,1,58,San Diego,El Cajon Bus Stop,
231,one-stop,2019-03-14,07:10,Sacramento,65th Light Rail Station,3,65,San Diego,El Cajon Bus Stop,
232,one-stop,2019-03-14,07:40,Sacramento,65th Light Rail Station,3,65,San Diego,El Cajon Bus Stop,
233,one-stop,2019-03-14,07:50,Sacramento,65th Light Rail Station,3,64,San Diego,El Cajon Bus Stop,
234,one-stop,2019-03-14,09:40,Sacramento,65th Light Rail Station,3,59,San Diego,El Cajon Bus Stop,
235,one-stop,2019-03-14,10:50,Sacramento,65th Light Rail Station,3,67,San Diego,El Cajon Bus Stop,
236,one-stop,2019-03-14,16:20,Sacramento,65th Light Rail Station,3,61,San Diego,El Cajon Bus Stop,
237,direct,2019-03-03,06:00,Long Beach,Downtown Station,1,11,Los Angeles,North Hollywood Station,
238,direct,2019-03-03,06:20,Long Beach,Downtown Station,1,12,Los Angeles,North Hollywood Station,
239,direct,2019-03-03,06:50,Long Beach,Downtown Station,1,10,Los Angeles,North Hollywood Station,
240,direct,2019-03-03,08:10,Long Beach,Downtown Station,1,10,Los Angeles,North Hollywood Station,
241,direct,2019-03-03,08:20,Long Beach,Downtown Station,1,12,Los Angeles,North Hollywood Station,
242,direct,2019-03-03,09:40,Long Beach,Downtown Station,1,12,Los Angeles,North Hollywood Station,
243,direct,2019-03-03,09:50,Long Beach,Downtown Station,1,13,Los Angeles,North Hollywood Station,
244,direct,2019-03-03,11:00,Long Beach,Downtown Station,1,12,Los Angeles,North Hollywood Station,
245,direct,2019-03-03,12:20,Long Beach,Downtown Station,1,12,Los Angeles,North Hollywood Station,
246,direct,2019-03-03,13:00,Long Beach,Downtown Station,1,11,Los Angeles,North Hollywood Station,
247,direct,2019-03-07,07:00,San Francisco,Transbay Terminal,2,31,Fresno,2660 Tulare St,
248,direct,2019-03-07,07:10,San Francisco,Transbay Terminal,2,36,Fresno,2660 Tulare St,
249,direct,2019-03-07,08:20,San Francisco,Transbay Terminal,2,34,Fresno,2660 Tulare St,
250,direct,2019-03-07,13:00,San Francisco,Transbay Terminal,2,28,Fresno,2660 Tulare St,
251,direct,2019-03-07,15:20,San Francisco,Transbay Terminal,2,42,Fresno,2660 Tulare St,
252,direct,2019-03-07,16:10,San Francisco,Transbay Terminal,2,32,Fresno,2660 Tulare St,
253,direct,2019-03-07,18:20,San Francisco,Transbay Terminal,2,34,Fresno,2660 Tulare St,
254,direct,2019-03-07,18:40,San Francisco,Transbay Terminal,2,34,Fresno,2660 Tulare St,
255,direct,2019-03-07,19:30,San Francisco,Transbay Terminal,2,34,Fresno,2660 Tulare St,
256,direct,2019-03-08,09:00,Philadelphia,10th and Filbert,1,23,New York,Penn Station,
257,direct,2019-03-08,10:10,Philadelphia,10th and Filbert,1,24,New York,Penn Station,
258,direct,2019-03-08,12:30,Philadelphia,10th and Filbert,1,21,New York,Penn Station,
259,direct,2019-03-08,13:10,Philadelphia,10th and Filbert,1,24,New York,Penn Station,
260,direct,2019-03-08,13:50,Philadelphia,10th and Filbert,1,23,New York,Penn Station,
261,direct,2019-03-08,18:00,Philadelphia,10th and Filbert,1,23,New York,Penn Station,
262,direct,2019-03-06,06:00,Long Beach,Downtown Station,1,13,Los Angeles,North Hollywood Station,
263,direct,2019-03-06,06:20,Long Beach,Downtown Station,1,11,Los Angeles,North Hollywood Station,
264,direct,2019-03-06,06:50,Long Beach,Downtown Station,1,13,Los Angeles,North Hollywood Station,
265,direct,2019-03-06,08:10,Long Beach,Downtown Station,1,12,Los Angeles,North Hollywood Station,
266,direct,2019-03-06,08:20,Long Beach,Downtown Station,1,10,Los Angeles,North Hollywood Station,
267,direct,2019-03-06,09:40,Long Beach,Downtown Station,1,12,Los Angeles,North Hollywood Station,
268,direct,2019-03-06,09:50,Long Beach,Downtown Station,1,11,Los Angeles,North Hollywood Station,
269,direct,2019-03-06,11:00,Long Beach,Downtown Station,1,12,Los Angeles,North Hollywood Station,
270,direct,2019-03-06,12:20,Long Beach,Downtown Station,1,12,Los Angeles,North Hollywood Station,
271,direct,2019-03-06,13:00,Long Beach,Downtown Station,1,12,Los Angeles,North Hollywood Station,
272,direct,2019-03-14,06:00,San Francisco,Transbay Terminal,4,22,Sacramento,65th Light Rail Station,
