,account_type,balance,amount,recipient_account_name,recipient_account_type
91,checking,21095.32,,,
92,checking,7717.10,,,
93,savings,14228.37,,,
94,savings,,1710,Srinivas,checking
95,savings,12518.37,,,
96,checking,17480.31,,,
97,checking,,800,Pranav,checking
98,checking,16680.31,,,
99,checking,4072.35,,,
100,savings,20635.16,,,
101,savings,,1200,Pranav,checking
102,savings,19435.16,,,
103,savings,4002.90,,,
104,checking,12509.36,,,
105,checking,,1720,Abhinav,savings
106,checking,10789.36,,,
107,savings,17982.31,,,
108,checking,3948.16,,,
109,checking,,1500,Pranav,dontcare
110,checking,2448.16,,,
111,checking,13703.79,,,
112,savings,18195.79,,,
113,savings,,1520,Raghav,checking
114,savings,16675.79,,,
115,savings,2837.26,,,
116,savings,,1740,Raghav,checking
117,savings,1097.26,,,
118,checking,22494.33,,,
119,savings,1230.19,,,
120,savings,,600,Xiaoxue,checking
121,savings,630.19,,,
122,checking,21219.36,,,
123,savings,24384.31,,,
124,savings,,830,Amir,checking
125,savings,23554.31,,,
126,checking,8316.79,,,
127,savings,20335.27,,,
128,savings,,1200,Raghav,checking
129,savings,19135.27,,,
130,savings,16494.74,,,
131,savings,,260,Raghav,checking
132,savings,16234.74,,,
133,savings,7883.47,,,
134,savings,,1330,Pranav,checking
135,savings,6553.47,,,
136,checking,1597.61,,,
137,savings,22559.34,,,
138,savings,,730,Amir,savings
139,savings,21829.34,,,
140,savings,3857.79,,,
141,checking,13174.25,,,
142,checking,12374.25,,,
143,checking,1274.55,,,
144,checking,,400,Sanuj,checking
145,checking,874.55,,,
146,savings,24991.25,,,
147,checking,22020.31,,,
148,checking,,650,Srinivas,checking
149,checking,21370.31,,,
150,checking,22326.22,,,
151,savings,20186.84,,,
152,savings,,720,Maria,checking
153,savings,19466.84,,,
154,checking,13507.61,,,
155,savings,12087.67,,,
156,savings,,1730,Amir,savings
157,savings,10357.67,,,
158,checking,960.16,,,
159,checking,,50,Srinivas,checking
160,checking,910.16,,,
161,checking,17402.20,,,
162,checking,,1770,Pranav,checking
163,checking,15632.20,,,
164,checking,4482.60,,,
165,savings,9032.11,,,
166,savings,,1630,Xiaoxue,checking
167,savings,7402.11,,,
168,savings,20611.26,,,
169,savings,,1780,Amir,savings
170,savings,18831.26,,,
171,checking,13053.62,,,
172,savings,14153.36,,,
173,savings,,580,Raghav,dontcare
174,savings,13573.36,,,
175,checking,14478.13,,,
176,checking,,1010,Maria,dontcare
177,checking,13468.13,,,
178,checking,24432.56,,,
179,checking,,1550,Maria,savings
180,checking,22882.56,,,
181,checking,6819.68,,,
182,savings,22782.90,,,
183,savings,,300,Srinivas,savings
184,savings,22482.90,,,
185,checking,4040.38,,,
186,savings,6376.55,,,
187,savings,,1600,Pranav,savings
188,savings,4776.55,,,
189,savings,9478.68,,,
190,checking,20638.21,,,
191,checking,,1650,Maria,savings
192,checking,18988.21,,,
193,savings,6626.49,,,
194,checking,4194.63,,,
195,checking,,690,Maria,checking
196,checking,3504.63,,,
197,savings,20612.85,,,
198,checking,7531.24,,,
199,checking,,850,Amir,checking
200,checking,6681.24,,,
201,checking,21541.36,,,
202,checking,,1720,Pranav,dontcare
203,checking,19821.36,,,
204,checking,774.38,,,
205,savings,16608.24,,,
206,savings,,1490,Xiaoxue,checking
207,savings,15118.24,,,
208,checking,5703.30,,,
209,savings,16188.77,,,
210,savings,,850,Pranav,checking
211,savings,15338.77,,,
212,savings,15026.51,,,
213,checking,17898.68,,,
214,checking,,230,Pranav,savings
215,checking,17668.68,,,
216,savings,24453.75,,,
217,checking,6321.86,,,
218,checking,,1730,Xiaoxue,savings
219,checking,4591.86,,,
220,savings,7065.60,,,
221,checking,10652.36,,,
222,checking,,610,Maria,checking
223,checking,10042.36,,,
224,savings,16625.14,,,
225,savings,,400,Pranav,checking
226,savings,16225.14,,,
227,checking,6812.68,,,
228,checking,,30,Xiaoxue,checking
229,checking,6782.68,,,
230,checking,24359.89,,,
231,savings,21446.16,,,
232,savings,,1710,Abhinav,checking
233,savings,19736.16,,,
234,checking,8388.60,,,
235,savings,19747.65,,,
236,savings,,1630,Amir,checking
237,savings,18117.65,,,
238,savings,22398.89,,,
239,savings,,980,Maria,savings
240,savings,21418.89,,,
241,checking,1305.32,,,
242,savings,9886.52,,,
243,savings,,1700,Raghav,savings
244,savings,8186.52,,,
245,checking,23923.86,,,
246,checking,,1260,Abhinav,savings
247,checking,22663.86,,,
248,savings,7687.29,,,
249,checking,3462.27,,,
250,checking,,100,Amir,checking
251,checking,3362.27,,,
252,savings,4847.27,,,
253,checking,16104.40,,,
254,checking,,1580,Xiaoxue,checking
255,checking,14524.40,,,
256,savings,5059.69,,,
257,checking,6008.27,,,
258,checking,,220,Amir,checking
259,checking,5788.27,,,
260,checking,9734.66,,,
261,checking,,1580,Srinivas,checking
262,checking,8154.66,,,
263,checking,22116.23,,,
264,savings,20001.74,,,
265,savings,,1090,Raghav,savings
266,savings,18911.74,,,
267,savings,14496.79,,,
268,savings,,760,Sanuj,savings
269,savings,13736.79,,,
270,savings,20262.81,,,
271,savings,,950,Amir,checking
272,savings,19312.81,,,
273,checking,20179.68,,,
274,savings,18787.86,,,
275,savings,,450,Sanuj,checking
276,savings,18337.86,,,
277,checking,4503.52,,,
278,savings,8474.18,,,
279,savings,,860,Xiaoxue,checking
280,savings,7614.18,,,
281,savings,12012.66,,,
282,checking,9376.73,,,
283,checking,,640,Srinivas,checking
284,checking,8736.73,,,
285,savings,21254.82,,,
286,savings,,520,Xiaoxue,checking
287,savings,20734.82,,,
288,checking,5459.64,,,
289,savings,19746.79,,,
290,savings,,1050,Raghav,checking
291,savings,18696.79,,,
292,savings,7169.13,,,
293,checking,24521.74,,,
294,checking,,170,Abhinav,checking
295,checking,24351.74,,,
296,savings,7885.53,,,
297,savings,,640,Xiaoxue,checking
298,savings,7245.53,,,
299,checking,16173.38,,,
300,checking,,1770,Xiaoxue,checking
301,checking,14403.38,,,
302,savings,20237.61,,,
303,savings,,650,Amir,checking
304,savings,19587.61,,,
305,savings,3717.38,,,
306,savings,,480,Amir,savings
307,savings,3237.38,,,
308,checking,21181.35,,,
309,savings,10411.72,,,
310,savings,,310,Raghav,savings
311,savings,10101.72,,,
312,savings,15243.73,,,
313,checking,18521.45,,,
314,checking,,1320,Abhinav,checking
315,checking,17201.45,,,
316,checking,21248.89,,,
317,checking,,600,Maria,checking
318,checking,20648.89,,,
319,savings,18282.90,,,
320,checking,11142.38,,,
321,checking,,630,Sanuj,checking
322,checking,10512.38,,,
323,checking,21630.40,,,
324,checking,,430,Srinivas,checking
325,checking,21200.40,,,
326,savings,20985.66,,,
327,savings,,1600,Xiaoxue,savings
328,savings,19385.66,,,
329,savings,5250.80,,,
330,savings,,320,Sanuj,checking
331,savings,4930.80,,,
332,checking,1701.42,,,
333,checking,,570,Srinivas,checking
334,checking,1131.42,,,
335,savings,20394.30,,,
336,savings,,310,Xiaoxue,checking
337,savings,20084.30,,,
338,checking,13680.23,,,
339,checking,,1620,Srinivas,savings
340,checking,12060.23,,,
341,checking,19121.51,,,
342,checking,,220,Amir,savings
343,checking,18901.51,,,
344,savings,21593.13,,,
345,checking,7548.43,,,
346,checking,,1020,Srinivas,checking
347,checking,6528.43,,,
348,checking,2115.71,,,
349,checking,,1450,Srinivas,savings
350,checking,665.71,,,
351,checking,23434.76,,,
352,savings,24417.73,,,
353,savings,,1210,Pranav,checking
354,savings,23207.73,,,
355,checking,15831.19,,,
356,savings,15148.43,,,
357,savings,,390,Abhinav,checking
358,savings,14758.43,,,
359,checking,6044.73,,,
360,savings,16204.55,,,
361,savings,,1610,Amir,checking
362,savings,14594.55,,,
363,savings,8956.31,,,
364,checking,12578.30,,,
365,checking,,420,Xiaoxue,checking
366,checking,12158.30,,,
367,checking,,820,Abhinav,checking
368,checking,1696.61,,,
369,savings,,820,Abhinav,checking
370,checking,7489.74,,,
371,checking,,240,Sanuj,checking
372,checking,23717.17,,,
373,savings,15670.49,,,
374,savings,,490,Xiaoxue,checking
375,checking,15443.12,,,
376,savings,22561.39,,,
377,checking,,590,Amir,checking
378,checking,16833.74,,,
379,savings,,590,Amir,savings
380,checking,8850.41,,,
381,savings,4529.35,,,
382,checking,,270,Pranav,checking
383,checking,13129.46,,,
384,savings,1792.36,,,
385,savings,,170,Raghav,checking
386,checking,11329.66,,,
387,checking,,440,Maria,checking
388,checking,22026.46,,,
389,savings,,440,Maria,checking
390,checking,11895.31,,,
391,savings,11025.88,,,
392,checking,,440,Srinivas,checking
393,checking,2351.61,,,
394,savings,,920,Abhinav,checking
395,checking,11159.44,,,
396,checking,,1490,Amir,checking
397,checking,6773.45,,,
398,savings,15172.67,,,
399,savings,,1160,Raghav,savings
400,checking,10588.74,,,
401,savings,16090.39,,,
402,savings,,1160,Raghav,dontcare
403,checking,11908.17,,,
404,savings,,1310,Srinivas,checking
405,checking,14622.38,,,
406,savings,22232.58,,,
407,checking,,110,Sanuj,checking
408,checking,10558.50,,,
409,savings,14878.13,,,
410,savings,,110,Sanuj,checking
411,checking,15155.72,,,
412,savings,698.90,,,
413,checking,,1530,Pranav,checking
414,checking,6380.53,,,
415,savings,16117.87,,,
416,savings,,500,Xiaoxue,checking
417,checking,13427.19,,,
418,checking,,450,Maria,checking
419,checking,9227.17,,,
420,savings,272.14,,,
421,savings,,450,Maria,checking
422,checking,15122.14,,,
423,savings,8728.18,,,
424,checking,,840,Amir,checking
425,checking,1003.30,,,
426,checking,,880,Srinivas,checking
427,checking,10740.79,,,
428,checking,,1240,Pranav,checking
429,checking,14048.81,,,
430,savings,9830.41,,,
431,checking,,1060,Xiaoxue,checking
432,checking,21171.14,,,
433,savings,20845.87,,,
434,checking,,1510,Pranav,checking
435,checking,9035.67,,,
436,savings,,120,Raghav,checking
437,checking,14928.33,,,
438,checking,,400,Xiaoxue,checking
439,checking,2033.83,,,
440,savings,,300,Sanuj,savings
441,checking,17027.50,,,
442,checking,,1110,Sanuj,checking
443,checking,197.45,,,
444,savings,,1110,Srinivas,checking
445,checking,16462.84,,,
446,savings,11420.24,,,
447,checking,,1530,Abhinav,checking
448,checking,6208.84,,,
449,savings,,1350,Maria,savings
450,checking,11755.45,,,
451,savings,21422.65,,,
452,checking,,1760,Amir,checking
453,checking,148.54,,,
454,savings,,1760,Amir,checking
455,checking,17111.71,,,
456,savings,,530,Raghav,checking
457,checking,20946.10,,,
458,savings,15581.44,,,
459,savings,,730,Abhinav,checking
460,checking,4677.17,,,
461,savings,,1400,Pranav,checking
462,checking,16335.70,,,
463,savings,,1650,Srinivas,checking
464,checking,1500.71,,,
465,savings,11339.61,,,
466,savings,,1590,Xiaoxue,checking
467,checking,15988.28,,,
468,checking,,1500,Pranav,checking
469,checking,19783.17,,,
470,savings,4481.72,,,
471,savings,,1500,Pranav,checking
472,checking,2794.73,,,
473,checking,,720,Sanuj,checking
474,checking,18076.57,,,
475,savings,,1060,Abhinav,checking
476,checking,1717.43,,,
477,savings,,300,Maria,checking
478,checking,9084.86,,,
479,checking,,910,Raghav,checking
480,checking,8317.29,,,
481,savings,,910,Raghav,savings
482,checking,12735.33,,,
483,savings,11705.22,,,
484,checking,,1120,Amir,savings
485,checking,10517.18,,,
486,savings,22195.42,,,
487,checking,,980,Raghav,checking
488,checking,8993.79,,,
489,savings,13408.35,,,
490,savings,,1320,Abhinav,savings
491,checking,5032.62,,,
492,checking,1341.29,,,
493,savings,,1250,Pranav,checking
494,checking,6346.23,,,
495,checking,,680,Maria,checking
496,checking,18997.71,,,
497,savings,,1240,Amir,checking
498,checking,24169.60,,,
499,checking,,1240,Amir,checking
500,checking,7424.27,,,
501,savings,,1770,Xiaoxue,checking
502,checking,24676.25,,,
503,savings,2323.40,,,
504,checking,,430,Sanuj,checking
505,checking,22966.61,,,
506,savings,15036.79,,,
507,savings,,130,Srinivas,checking
508,checking,17090.32,,,
509,checking,,130,Srinivas,checking
510,checking,22782.55,,,
511,savings,,230,Raghav,checking
512,checking,1323.38,,,
513,checking,,1730,Abhinav,checking
514,checking,22069.30,,,
515,savings,24454.18,,,
516,savings,,1570,Sanuj,dontcare
517,checking,23220.79,,,
518,savings,947.68,,,
519,checking,,1570,Sanuj,checking
520,checking,8604.60,,,
521,savings,23367.66,,,
522,savings,,930,Srinivas,checking
523,checking,2038.72,,,
524,savings,20591.58,,,
525,checking,,1140,Xiaoxue,checking
526,checking,18275.35,,,
527,savings,,950,Pranav,checking
528,checking,8927.29,,,
529,savings,11553.35,,,
530,checking,,950,Pranav,dontcare
531,checking,16528.58,,,
532,savings,1450.64,,,
533,savings,,40,Amir,checking
534,checking,2776.78,,,
535,savings,9243.86,,,
536,checking,,1790,Maria,savings
537,checking,19301.47,,,
538,savings,24605.20,,,
539,savings,,1320,Raghav,checking
540,checking,8738.77,,,
541,checking,,1320,Raghav,checking
542,checking,13893.90,,,
543,savings,,570,Sanuj,savings
544,checking,10909.29,,,
545,savings,23217.82,,,
546,checking,,1490,Xiaoxue,checking
547,checking,3275.40,,,
548,savings,13005.30,,,
549,savings,,560,Maria,checking
550,checking,21274.22,,,
551,savings,23926.36,,,
552,savings,,1710,Amir,savings
553,checking,22757.34,,,
554,savings,13663.78,,,
555,checking,,1280,Pranav,checking
556,checking,15546.24,,,
557,savings,,1730,Abhinav,checking
558,checking,11521.70,,,
559,savings,13890.24,,,
560,checking,12130.27,,,
561,savings,,1120,Amir,checking
562,checking,18980.51,,,
563,savings,17533.43,,,
564,checking,,1120,Amir,checking
565,checking,3672.20,,,
566,savings,,1370,Sanuj,checking
567,checking,5328.52,,,
568,checking,,640,Raghav,checking
569,checking,20892.84,,,
570,savings,,1650,Abhinav,checking
571,checking,24791.78,,,
572,checking,,1650,Abhinav,savings
573,checking,15898.80,,,
574,savings,,140,Pranav,checking
575,checking,19756.64,,,
576,checking,,1720,Xiaoxue,dontcare
577,checking,14257.61,,,
578,savings,,740,Srinivas,checking
579,checking,15362.67,,,
580,checking,,740,Srinivas,checking
581,checking,15464.11,,,
582,savings,,1530,Sanuj,checking
583,checking,8023.30,,,
584,checking,,500,Maria,savings
585,checking,334.86,,,
586,savings,24874.37,,,
587,savings,,350,Srinivas,checking
588,checking,18272.35,,,
589,savings,20124.12,,,
590,checking,,370,Raghav,checking
591,checking,3592.29,,,
592,savings,,370,Raghav,checking
593,checking,8347.10,,,
594,savings,4483.90,,,
595,checking,,1420,Amir,savings
596,checking,2731.34,,,
597,savings,,1650,Pranav,checking
598,checking,15369.61,,,
599,checking,,120,Pranav,checking
600,checking,20591.27,,,
601,savings,,120,Pranav,checking
602,checking,11097.42,,,
603,savings,,1180,Maria,savings
604,checking,18272.54,,,
605,savings,23294.20,,,
606,checking,,1550,Srinivas,dontcare
607,checking,5539.40,,,
608,savings,6863.76,,,
609,savings,,1550,Srinivas,checking
610,checking,4203.74,,,
611,checking,,1320,Sanuj,checking
612,checking,16171.43,,,
613,checking,,110,Abhinav,checking
614,checking,10179.46,,,
615,savings,10105.16,,,
616,savings,,110,Abhinav,checking
617,checking,12824.59,,,
618,checking,,1770,Bob,checking
619,savings,,530,Amy,checking
620,savings,,1260,Raghav,checking
621,checking,,460,Jerry,savings
622,checking,,890,Raghav,checking
623,checking,,150,Pranav,checking
624,savings,,460,Amy,savings
625,checking,,380,Tom,checking
626,checking,,1100,Peter,checking
627,savings,,980,Xiaoxue,checking
628,checking,,550,Maria,checking
629,checking,,1190,Abhinav,savings
630,checking,,490,Peter,checking
631,savings,,1280,Jerry,checking
632,savings,,950,Xiaoxue,checking
633,checking,,370,Rachel,checking
634,savings,,1280,Xiaoxue,checking
635,checking,,720,Amy,checking
636,savings,,1490,Abhinav,checking
637,checking,,1240,Sanuj,checking
638,checking,,1200,Jerry,savings
639,checking,,100,Abhinav,checking
640,savings,,800,Peter,checking
641,checking,,350,Amir,checking
642,savings,,420,Abhinav,checking
643,checking,,1600,Bob,checking
644,checking,,150,Peter,checking
645,savings,,870,Peter,checking
646,checking,,540,Rachel,savings
647,savings,,880,Raghav,checking
648,checking,,1140,Maria,checking
649,savings,,650,Maria,savings
650,savings,,1220,Maria,checking
651,checking,,270,Sanuj,checking
652,checking,,1510,Peter,checking
653,savings,,1420,Raghav,checking
654,savings,,1780,Maria,checking
655,savings,,740,Pranav,checking
656,savings,,1260,Pranav,checking
657,checking,,460,Maria,checking
658,savings,,1200,Sanuj,savings
659,checking,,1480,Amy,checking
660,savings,,320,Raghav,checking
661,checking,,140,Maria,checking
662,savings,,1440,Jerry,checking
663,checking,,1750,Rachel,checking
664,checking,,1300,Xiaoxue,checking
665,checking,,850,Tom,checking
666,checking,,1470,Rachel,checking
667,savings,,1530,Maria,checking
668,savings,,120,Amy,checking
669,checking,,1770,Abhinav,checking
670,checking,,860,Tom,checking
671,savings,,1030,Jerry,dontcare
672,savings,,1150,Pranav,checking
673,savings,,970,Tom,checking
674,savings,,980,Abhinav,checking
675,savings,,1780,Amir,checking
676,savings,,180,Xiaoxue,checking
677,savings,,130,Rachel,savings
678,checking,,1610,Tom,checking
679,savings,,580,Jerry,checking
680,checking,,30,Bob,checking
681,checking,,430,Jerry,checking
682,checking,,1430,Srinivas,checking
683,savings,,640,Maria,checking
684,checking,,1540,Jerry,checking
685,savings,,300,Pranav,savings
686,savings,,90,Maria,checking
687,savings,,1020,Pranav,checking
688,checking,,380,Raghav,checking
689,checking,,1630,Abhinav,checking
690,savings,,80,Srinivas,checking
691,checking,,40,Sanuj,checking
692,checking,,580,Maria,savings
693,checking,,1120,Maria,checking
694,checking,,660,Maria,savings
695,checking,,20,Pranav,checking
696,checking,,1110,Jerry,savings
697,savings,,1460,Peter,checking
698,savings,,340,Srinivas,checking
699,checking,,1490,Raghav,dontcare
700,savings,,1720,Bob,savings
701,savings,,210,Tom,checking
702,savings,,140,Raghav,checking
703,checking,,450,Jerry,checking
704,checking,,1730,Tom,savings
705,savings,,1420,Tom,checking
706,checking,,1510,Raghav,checking
707,checking,,1670,Raghav,checking
708,savings,,190,Jerry,savings
709,savings,,1020,Amy,checking
710,savings,,990,Raghav,checking
711,savings,,370,Abhinav,savings
712,checking,,1010,Amy,checking
713,checking,,370,Srinivas,savings
714,savings,,1280,Sanuj,checking
715,savings,,240,Xiaoxue,savings
716,checking,,760,Peter,savings
717,savings,,820,Tom,checking
718,checking,,50,Sanuj,checking
719,checking,,1120,Tom,checking
720,savings,,690,Rachel,checking
721,checking,,240,Abhinav,checking
722,checking,,1100,Raghav,checking
723,savings,,1440,Amy,savings
724,savings,,630,Peter,checking
725,checking,,1050,Xiaoxue,checking
726,savings,,1740,Amir,savings
727,savings,,1480,Raghav,checking
728,savings,,1420,Raghav,savings
729,checking,13765.58,,,
730,savings,22731.27,,,
731,checking,7249.40,,,
732,savings,11902.89,,,
733,checking,1572.34,,,
734,savings,15079.35,,,
735,checking,18291.59,,,
736,savings,9098.16,,,
737,checking,14637.75,,,
738,checking,14272.45,,,
739,savings,18034.42,,,
740,savings,23206.84,,,
741,savings,21228.80,,,
742,checking,22159.31,,,
743,savings,21945.12,,,
744,checking,14405.72,,,
745,savings,755.51,,,
746,checking,3226.85,,,
747,savings,7335.28,,,
748,savings,14294.29,,,
749,savings,12329.48,,,
750,checking,6912.51,,,
751,checking,22824.15,,,
752,savings,1941.77,,,
753,savings,18982.10,,,
754,checking,11933.85,,,
755,savings,16219.78,,,
756,checking,1345.69,,,
757,checking,19777.18,,,
758,savings,14043.40,,,
759,savings,20797.38,,,
760,checking,7364.89,,,
761,savings,11817.54,,,
762,checking,2145.19,,,
763,savings,17172.52,,,
764,checking,11721.70,,,
765,checking,9313.74,,,
766,savings,12278.70,,,
767,savings,20928.64,,,
768,checking,6567.11,,,
769,savings,20993.16,,,
770,checking,4012.35,,,
771,savings,23992.89,,,
772,checking,14584.15,,,
773,checking,24441.46,,,
774,savings,8980.41,,,
775,savings,15396.52,,,
776,checking,23837.35,,,
777,checking,14615.50,,,
778,savings,8344.55,,,
779,checking,15150.14,,,
780,savings,23270.27,,,
781,checking,20476.85,,,
782,savings,15635.42,,,
783,checking,16467.54,,,
784,checking,731.46,,,
785,savings,255.61,,,
786,savings,22594.57,,,
787,savings,5437.26,,,
788,checking,24351.50,,,
789,savings,6727.13,,,
790,checking,20874.59,,,
791,savings,23213.16,,,
792,checking,14826.90,,,
793,savings,3502.48,,,
794,savings,24977.67,,,
795,checking,1515.30,,,
796,savings,22860.21,,,
797,checking,19213.17,,,
798,checking,7058.75,,,
799,checking,24461.63,,,
800,checking,22231.57,,,
801,checking,6811.54,,,
802,checking,3630.12,,,
803,checking,24449.77,,,
804,savings,22462.81,,,
805,checking,6308.20,,,
806,savings,577.61,,,
807,checking,23754.26,,,
808,checking,24066.26,,,
809,checking,13809.78,,,
810,checking,18859.50,,,
811,savings,15809.69,,,
812,checking,10569.43,,,
813,checking,12100.58,,,
814,savings,18260.29,,,
815,checking,17596.18,,,
816,savings,18635.24,,,
817,checking,9821.80,,,
818,savings,12246.81,,,
819,checking,14804.50,,,
820,checking,4343.43,,,
821,savings,6356.35,,,
822,checking,3994.35,,,
823,savings,12185.27,,,
824,checking,15887.38,,,
825,checking,7192.31,,,
826,checking,13262.44,,,
827,savings,23943.44,,,
828,checking,17228.38,,,
829,checking,21552.52,,,
830,checking,13646.38,,,
831,checking,23592.19,,,
832,savings,2279.49,,,
833,checking,17323.76,,,
834,savings,10073.56,,,
835,checking,16942.55,,,
836,savings,7249.84,,,
837,checking,19606.52,,,
838,checking,20065.47,,,
839,checking,10542.41,,,
840,checking,10274.55,,,
841,savings,4586.39,,,
842,checking,17157.38,,,
843,checking,14157.41,,,
844,checking,20164.27,,,
845,savings,21946.86,,,
846,checking,3450.68,,,
847,checking,24761.53,,,
848,savings,13683.21,,,
849,checking,5865.34,,,
850,checking,9893.41,,,
851,savings,7303.90,,,
852,checking,21433.20,,,
853,savings,24458.54,,,
854,checking,1900.61,,,
855,checking,3931.51,,,
856,savings,5022.31,,,
857,checking,3848.65,,,
858,checking,5043.51,,,
859,checking,12558.11,,,
860,savings,24859.64,,,
861,checking,7194.51,,,
862,checking,4473.28,,,
863,savings,20942.50,,,
864,checking,14498.44,,,
865,checking,5069.24,,,
866,checking,24817.44,,,
867,checking,19824.28,,,
868,savings,7589.70,,,
869,checking,11259.42,,,
870,checking,21264.49,,,
871,savings,21777.66,,,
872,checking,18856.49,,,
873,savings,8639.47,,,
874,checking,11548.12,,,
875,checking,1692.54,,,
876,checking,14496.90,,,
877,checking,24453.74,,,
878,savings,18249.67,,,
879,checking,22618.48,,,
880,checking,8981.86,,,
881,checking,11708.17,,,
882,savings,11735.56,,,
883,checking,22654.82,,,
884,savings,3170.28,,,
885,checking,448.61,,,
886,savings,8531.89,,,
887,checking,5824.30,,,
888,checking,18937.47,,,
889,savings,10818.71,,,
890,checking,19032.83,,,
891,checking,24484.90,,,
892,checking,1488.63,,,
893,savings,6071.87,,,
894,checking,19869.56,,,
895,savings,24588.80,,,
896,checking,23566.77,,,
897,savings,24477.68,,,
898,checking,2890.54,,,
899,checking,7296.68,,,
900,checking,7317.73,,,
901,checking,1259.70,,,
902,checking,6039.60,,,
903,savings,9928.24,,,
904,checking,2256.38,,,
905,checking,1807.67,,,
906,savings,10311.61,,,
907,checking,21650.86,,,
908,savings,4862.33,,,
909,checking,10452.16,,,
910,checking,11691.36,,,
911,savings,11584.71,,,
912,checking,1102.25,,,
913,savings,23604.26,,,
914,checking,13246.53,,,
915,savings,10481.31,,,
916,checking,18223.31,,,
917,savings,22236.84,,,
918,checking,6400.63,,,
919,savings,23770.51,,,
920,checking,17780.81,,,
921,checking,5027.36,,,
922,checking,5702.71,,,
923,savings,7455.16,,,
924,checking,21375.53,,,
925,checking,14945.81,,,
926,checking,21782.53,,,
927,savings,17963.21,,,
928,checking,7641.63,,,
929,checking,8346.20,,,
930,savings,4616.26,,,
931,checking,8632.64,,,
932,savings,8506.70,,,
933,checking,12854.44,,,
934,checking,2619.34,,,
935,savings,14209.88,,,
936,checking,5215.62,,,
937,checking,821.84,,,
938,savings,11336.39,,,
939,checking,22399.31,,,
940,savings,9752.77,,,
941,checking,10145.44,,,
942,checking,16885.46,,,
943,savings,14144.58,,,
944,checking,5238.66,,,
945,savings,7497.18,,,
946,checking,1470.87,,,
947,checking,14131.87,,,
948,checking,16258.64,,,
949,savings,5069.21,,,
950,checking,16446.87,,,
951,checking,4216.88,,,
952,checking,8542.27,,,
953,savings,24399.36,,,
954,checking,14761.82,,,
955,savings,3016.31,,,
956,checking,24714.86,,,
957,checking,19020.16,,,
958,savings,4438.65,,,
959,checking,9696.66,,,
960,savings,11262.64,,,
961,checking,23973.41,,,
962,savings,16471.81,,,
963,checking,7837.37,,,
964,checking,18047.63,,,
965,checking,14889.16,,,
966,savings,3780.72,,,
967,checking,14892.18,,,
968,savings,18206.20,,,
969,checking,3063.25,,,
970,checking,21227.67,,,
971,checking,4654.52,,,
972,savings,5467.42,,,
973,checking,10147.66,,,
974,checking,18920.10,,,
975,checking,14832.79,,,
976,savings,2009.12,,,
977,checking,20148.12,,,
978,checking,1470.12,,,
979,savings,14250.48,,,
980,checking,16388.62,,,
981,checking,10807.20,,,
982,checking,7304.45,,,
