,city,date,event_name,event_type,price_per_ticket,time,venue,venue_address,number_of_tickets
34,Philadelphia,2019-03-02,Davido,Music,60,17:30,The Fillmore Philadelphia,29 East Allen Street,
35,Philadelphia,2019-03-11,Drax Project,Music,30,17:30,Voltage Lounge,421 North 7th Street,
36,Philadelphia,2019-03-14,Anthony Green,Music,35,19:00,The Foundry,29 East Allen Street 2nd Floor,
37,Philadelphia,2019-03-14,Ayokay,Music,60,18:30,The Foundry,29 East Allen Street 2nd Floor,
38,Philadelphia,2019-03-14,Babymetal,Music,40,18:00,The Fillmore Philadelphia,29 East Allen Street,
39,Philadelphia,2019-03-14,Bars And Melody,Music,45,16:30,The Foundry,29 East Allen Street 2nd Floor,
40,Philadelphia,2019-03-14,Conan Gray,Music,30,16:00,The Fillmore Philadelphia,29 East Allen Street,
41,Philadelphia,2019-03-14,Davido,Music,45,18:00,The Fillmore Philadelphia,29 East Allen Street,
42,Philadelphia,2019-03-14,Dwele,Music,60,17:00,City Winery,990 Filbert Street,
43,Philadelphia,2019-03-14,Jordan Rakei,Music,35,19:00,The Foundry,29 East Allen Street 2nd Floor,
44,Philadelphia,2019-03-14,Louis The Child,Music,30,19:30,The Fillmore Philadelphia,29 East Allen Street,
45,Philadelphia,2019-03-14,Mason Ramsey,Music,50,17:30,The Foundry,29 East Allen Street 2nd Floor,
46,San Francisco,2019-03-01,Alex Cameron,Music,20,19:30,August Hall,420 Mason Street,
47,San Francisco,2019-03-01,Finneas,Music,25,17:00,August Hall,420 Mason Street,
48,San Francisco,2019-03-01,Lucy Dacus,Music,60,18:30,August Hall,420 Mason Street,
49,San Francisco,2019-03-01,Matt Corby,Music,35,19:30,August Hall,420 Mason Street,
50,San Francisco,2019-03-01,Patti Lupone,Music,30,18:30,San Francisco Symphony,201 Van Ness Avenue,
51,San Francisco,2019-03-01,Remo Drive,Music,35,17:30,The Chapel,777 Valencia Street,
52,San Francisco,2019-03-01,Sinead Harnett,Music,40,18:00,August Hall,420 Mason Street,
53,San Francisco,2019-03-01,The Adicts,Music,50,19:00,August Hall,420 Mason Street,
54,San Francisco,2019-03-01,The Band Camino,Music,30,19:30,August Hall,420 Mason Street,
55,San Francisco,2019-03-07,Alex Cameron,Music,50,19:30,August Hall,420 Mason Street,
56,San Francisco,2019-03-07,Carmina Burana,Music,60,16:30,San Francisco Symphony,201 Van Ness Avenue,
57,San Francisco,2019-03-07,Jeanette Tietze,Music,25,17:00,The Episcopal Church of the Incarnation,1750 29th Avenue,
58,San Francisco,2019-03-07,Lucy Dacus,Music,50,19:00,August Hall,420 Mason Street,
59,San Francisco,2019-03-07,Matt Corby,Music,40,17:30,August Hall,420 Mason Street,
60,San Francisco,2019-03-07,Matty Matheson,Music,30,17:30,August Hall,420 Mason Street,
61,San Francisco,2019-03-07,Neneh Cherry,Music,50,18:30,August Hall,420 Mason Street,
62,San Francisco,2019-03-07,Raveena,Music,20,17:30,The Chapel,777 Valencia Street,
63,San Francisco,2019-03-07,Remo Drive,Music,20,17:30,The Chapel,777 Valencia Street,
64,Chicago,2019-03-02,Ada And The Engine,Theater,20,17:00,The Artistic Home,1376 West Grand Avenue #7761,
65,Chicago,2019-03-02,All That He Was,Theater,55,18:30,"The Buena, Pride Arts Center",4147 North Broadway,
66,Chicago,2019-03-02,Comedysportz,Theater,20,19:00,CSz Theater Chicago,929 West Belmont Avenue,
67,Chicago,2019-03-02,Create Your Solo Performance,Theater,55,18:00,Green Shirt Studio,4001 North Ravenswood Avenue Unit 303-B,
68,Chicago,2019-03-02,Dinner Detective,Theater,55,16:30,Chicago Marriott Downtown Magnificent Mile,540 North Michigan Avenue,
69,Chicago,2019-03-02,Dynasty,Theater,50,17:30,The Mission Theater,1501 North Kingsbury Street,
70,Chicago,2019-03-02,Ebonyessencejet At Steppenwolf Theatre,Theater,25,18:00,Front Bar,1700 North Halsted Street,
71,Chicago,2019-03-02,Emma,Theater,35,19:30,Lifeline Theatre,6912 North Glenwood Avenue,
72,Chicago,2019-03-02,Every Brilliant Thing,Theater,40,17:30,Windy City Playhouse,3014 West Irving Park Road,
73,Chicago,2019-03-02,Fine,Theater,25,16:30,The Mission Theater,1501 North Kingsbury Street,
74,Los Angeles,2019-03-01,A Year In Dragonfly,Theater,55,19:30,Studio C Artists,6448 California 2,
75,Los Angeles,2019-03-04,Adieu Monsieur Haffmann,Theater,45,18:30,Theatre Raymond Kabbaz,10361 West Pico Boulevard,
76,Los Angeles,2019-03-06,Anything Goes,Theater,25,17:30,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
77,Los Angeles,2019-03-11,Asssscat,Theater,30,17:30,Ucb Franklin,5919 Franklin Avenue,
78,Los Angeles,2019-03-02,At The Table,Theater,40,19:00,Lankershim Arts Center,5108 Lankershim Boulevard,
79,Los Angeles,2019-03-05,Benji Hughes,Theater,20,16:00,The Teragram Ballroom,1234 West 7th Street,
80,Los Angeles,2019-03-14,Characters Welcome,Theater,40,16:00,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
81,Los Angeles,2019-03-14,Crabbe And Goyle,Theater,50,17:00,studio/stage,520 North Western Avenue,
82,Los Angeles,2019-03-13,Extraordinary,Theater,30,19:00,Studio C Artists,6448 California 2,
83,Los Angeles,2019-03-03,Famous Adjacent,Theater,30,16:30,Rockwell Table & Stage,1714 North Vermont Avenue,
84,San Diego,2019-03-05,Benjamin Francis Leftwich,Music,25,19:30,The Irenic,3090 Polk Avenue,
85,San Diego,2019-03-05,Devendra Banhart,Music,30,16:00,The Observatory North Park,2891 University Avenue,
86,San Diego,2019-03-05,Hozier,Music,60,18:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
87,San Diego,2019-03-05,Ingrid Michaelson,Music,35,18:30,The Observatory North Park,2891 University Avenue,
88,San Diego,2019-03-05,Jon Bellion,Music,55,17:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
89,San Diego,2019-03-05,Mandolin Orange,Music,35,16:00,The Observatory North Park,2891 University Avenue,
90,San Diego,2019-03-05,Maribou State,Music,45,18:30,The Observatory North Park,2891 University Avenue,
91,San Diego,2019-03-05,Oliver Tree,Music,40,18:00,The Observatory North Park,2891 University Avenue,
92,San Diego,2019-03-05,Sara Bareilles,Music,60,19:00,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
93,San Diego,2019-03-05,The Japanese House,Music,30,17:30,The Observatory North Park,2891 University Avenue,
94,Chicago,2019-03-03,Ada And The Engine,Theater,55,17:30,The Artistic Home,1376 West Grand Avenue #7761,
95,Chicago,2019-03-06,All That He Was,Theater,45,19:30,"The Buena, Pride Arts Center",4147 North Broadway,
96,Chicago,2019-03-10,Casa Valentina,Theater,20,19:00,PRIDE ARTS CENTER,4139 North Broadway,
97,Chicago,2019-03-14,Comedysportz,Theater,35,16:00,Comedysportz,929 West Belmont Avenue,
98,Chicago,2019-03-07,Countess Dracula,Theater,40,17:00,Otherworld Theatre Performance Venue and Bar,3914 North Clark Street,
99,Chicago,2019-03-10,Create Your Solo Performance,Theater,25,19:00,Green Shirt Studio,4001 North Ravenswood Avenue Unit 303-B,
100,Chicago,2019-03-12,Dinner Detective,Theater,40,18:00,Chicago Marriott Downtown Magnificent Mile,540 North Michigan Avenue,
101,Chicago,2019-03-12,Drunk Shakespeare,Theater,60,16:00,The Lion Theatre,182 North Wabash Avenue,
102,Chicago,2019-03-05,Dynasty,Theater,25,19:30,The Mission Theater,1501 North Kingsbury Street,
103,Chicago,2019-03-13,Ebonyessencejet At Steppenwolf Theatre,Theater,35,17:30,Front Bar,1700 North Halsted Street,
104,San Diego,2019-03-03,Alejandro Sanz,Music,20,19:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
105,San Diego,2019-03-03,Benjamin Francis Leftwich,Music,35,19:00,The Irenic,3090 Polk Avenue,
106,San Diego,2019-03-03,Greta Van Fleet,Music,35,18:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
107,San Diego,2019-03-03,Johnny Mathis,Music,55,17:30,Copley Symphony Hall,Seventh Avenue,
108,San Diego,2019-03-03,Lizzo,Music,25,19:00,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
109,San Diego,2019-03-03,Local Natives,Music,35,16:30,Music Box,1337 India Street,
110,San Diego,2019-03-03,Mandolin Orange,Music,40,17:30,The Observatory North Park,2891 University Avenue,
111,San Diego,2019-03-03,San Diego Blues Festival,Music,40,17:00,San Diego Blues Festival,"Embarcadero Marina Park North, 400 Kettner Boulevard",
112,San Diego,2019-03-03,Sara Bareilles,Music,35,16:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
113,San Diego,2019-03-03,Surf Curse,Music,25,16:30,The Observatory North Park,2891 University Avenue,
114,Vancouver,2019-03-13,Alice In Glitterland,Theater,20,16:00,The Wise,1882 Adanac Street,
115,Vancouver,2019-03-10,Cinderella Kids,Theater,35,16:30,SFU Gallery,149 West Hastings Street,
116,Vancouver,2019-03-12,Classic Theatresports,Theater,25,17:30,Improv Centre,1502 Duranleau Street,
117,Vancouver,2019-03-02,Impro Scene Study,Theater,60,19:30,Dusty Flowerpot Cabaret Society,2050 Scotia Street,
118,Vancouver,2019-03-08,Little Mountain Improv,Theater,30,18:30,Little Mountain Gallery,195 East 26th Avenue,
119,Vancouver,2019-03-13,Matilda The Musical,Theater,25,19:30,"Goldcorp Stage at the BMO Theatre Centre, Arts Club Theatre Company",203 - 162 West 1st Avenue,
120,Vancouver,2019-03-03,Mother Of The Maid,Theater,30,18:30,Pacific Theatre,1440 West 12th Avenue,
121,Vancouver,2019-03-04,Of Mice And Men,Theater,60,18:00,Stage Door,3102 Main Street,
122,Vancouver,2019-03-05,Shakespeare In Love,Theater,55,17:00,Bard on the Beach Shakespeare Festival,1695 Whyte Avenue,
123,Vancouver,2019-03-01,Teatro Intimo Del Flamenco,Theater,35,19:30,Vancouver TheatreSports(tm),1502 Duranleau Street,
124,Los Angeles,2019-03-09,Ain Gordon,Music,60,19:00,Ralph Freud Playhouse,245 Charles E Young Drive East,
125,Los Angeles,2019-03-14,Aldous Harding,Music,20,19:30,Lodge Room,104 North Avenue 56 2nd Floor,
126,Los Angeles,2019-03-11,Altin Gun,Music,40,17:30,The Teragram Ballroom,1234 West 7th Street,
127,Los Angeles,2019-03-11,America,Music,35,19:30,The Theatre at Ace Hotel,929 South Broadway,
128,Los Angeles,2019-03-07,Angel Olsen,Music,25,17:30,Palace Theatre,630 South Broadway,
129,Los Angeles,2019-03-03,Billy Strings,Music,60,18:30,Lodge Room,104 North Avenue 56 2nd Floor,
130,Los Angeles,2019-03-07,Brittany Howard,Music,40,16:30,The Theatre at Ace Hotel,929 South Broadway,
131,Los Angeles,2019-03-11,Emeli Sande,Music,60,18:00,The Theatre at Ace Hotel,929 South Broadway,
132,Los Angeles,2019-03-05,Finneas,Music,55,19:30,Masonic Lodge at Hollywood Forever,5970 Santa Monica Boulevard,
133,Los Angeles,2019-03-11,Foy Vance,Music,30,16:00,Palace Theatre,630 South Broadway,
134,Delhi,2019-03-02,A Few Good Men,Theater,30,18:30,Kamani Auditorium,"1, Copernicus Marg, Opposite Doordarshan Bhawan, Mandi House, New Delhi",
135,Delhi,2019-03-14,Othelo,Theater,40,16:30,Shri Ram Centre for Performing Arts,"4, Safdar Hashmi Marg, Mandi House, New Delhi",
136,Delhi,2019-03-14,Rupaiya Hindi Comedy Play,Theater,55,16:00,Little Theatre Group Auditorium,"Mandi House, 1, Copernicus Marg, Opp. Doordarshan Bhavan, Near, Connaught Place, New Delhi",
137,Delhi,2019-03-03,The Curse Of Hamlet,Theater,30,17:30,Akshara Theatre,"11-B Baba Kharak Singh Marg, Beside, Ram Manohar Lohia Hospital, Exit, New Delhi",
138,Los Angeles,2019-03-14,Anything Goes,Theater,25,16:00,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
139,Los Angeles,2019-03-14,Asssscat,Theater,20,17:30,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
140,Los Angeles,2019-03-14,Benji Hughes,Theater,40,18:00,The Teragram Ballroom,1234 West 7th Street,
141,Los Angeles,2019-03-14,Extraordinary,Theater,50,17:30,Studio C Artists,6448 California 2,
142,Los Angeles,2019-03-14,Famous Adjacent,Theater,20,16:00,Rockwell Table & Stage,1714 North Vermont Avenue,
143,Los Angeles,2019-03-14,Funeral Bouquet,Theater,50,17:30,Lyric Hyperion Theatre & Cafe,2106 Hyperion Avenue,
144,Los Angeles,2019-03-14,Improv Nerds,Theater,55,17:30,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
145,Los Angeles,2019-03-14,Lavender Men,Theater,55,18:30,Skylight Theatre Company,1816 1/2 North Vermont Avenue,
146,Los Angeles,2019-03-13,Aldous Harding,Music,25,16:30,Masonic Lodge at Hollywood Forever,5970 Santa Monica Boulevard,
147,Los Angeles,2019-03-13,Altin Gun,Music,40,17:30,The Teragram Ballroom,1234 West 7th Street,
148,Los Angeles,2019-03-13,America,Music,30,18:00,The Theatre at Ace Hotel,929 South Broadway,
149,Los Angeles,2019-03-13,Finneas,Music,30,18:00,Masonic Lodge at Hollywood Forever,5970 Santa Monica Boulevard,
150,Los Angeles,2019-03-13,Kamasi Washington,Music,55,18:30,The Theatre at Ace Hotel,929 South Broadway,
151,Los Angeles,2019-03-13,Kishi Bashi,Music,40,19:30,Masonic Lodge at Hollywood Forever,5970 Santa Monica Boulevard,
152,Los Angeles,2019-03-13,Lcs Summer Split,Music,45,18:00,LCS Studios,12312 West Olympic Boulevard,
153,Los Angeles,2019-03-13,Lux Prima,Music,30,19:30,The Theatre at Ace Hotel,929 South Broadway,
154,Los Angeles,2019-03-13,Mandolin Orange,Music,45,19:30,The Theatre at Ace Hotel,929 South Broadway,
155,Los Angeles,2019-03-13,Priests,Music,60,17:00,The Teragram Ballroom,1234 West 7th Street,
156,London,2019-03-14,A Right Royale Tea,Theater,50,19:00,Amba Hotel Charing Cross,Strand,
157,London,2019-03-12,A Taste For Murder,Theater,50,16:30,Wanstead Library,Spratt Hall Road,
158,London,2019-03-11,Academy Performing Arts,Theater,40,18:00,Academy Performing Arts,"Academy Performing Arts, 2 Archery Road",
159,London,2019-03-09,All The Little Lights,Theater,20,17:00,Tristan Bates Theatre,1A Tower Street,
160,London,2019-03-05,Armia,Theater,30,16:30,The Dome,2A Dartmouth Park Hill,
161,London,2019-03-01,As You Like It,Theater,60,18:30,"Swan, Shakespeare's Globe","21 New Globe Walk, Bankside",
162,London,2019-03-07,Becoming The Invisible Woman,Theater,35,17:30,Drayton Arms Theatre,153 Old Brompton Road,
163,London,2019-03-10,Beyond The Blue,Theater,30,17:30,Poplar Union,2 Cotall Street,
164,London,2019-03-05,Boat Show Comedy Club,Theater,45,18:30,The Boat Show Comedy Club,"Salsa! Temple, Ps Tattershall Castle, Temple Station, Victoria Embankment",
165,London,2019-03-03,Bon Ami,Theater,25,16:30,Studio at New Wimbledon Theatre,93 The Broadway,
166,New York,2019-03-11,Abbi Jacobson,Music,60,19:30,Kaufmann Concert Hall,1395 Lexington Avenue,
167,New York,2019-03-03,Alma Deutscher,Music,50,19:00,Stern Auditorium / Perelman Stage,881 7th Avenue,
168,New York,2019-03-13,Alpha Blondy,Music,60,17:30,Sony Hall,235 West 46th Street,
169,New York,2019-03-10,Ben Harper,Music,60,17:30,Pier 17,89 South Street,
170,New York,2019-03-01,Black Uhuru,Music,20,19:00,Sony Hall,235 West 46th Street,
171,New York,2019-03-13,Blackbear,Music,60,19:00,Pier 17,89 South Street,
172,New York,2019-03-02,Boston Symphony Orchestra,Music,40,19:30,Stern Auditorium / Perelman Stage,881 7th Avenue,
173,New York,2019-03-01,Buddy Guy,Music,60,19:30,Sony Hall,235 West 46th Street,
174,New York,2019-03-06,Carbon Leaf,Music,60,18:30,Sony Hall,235 West 46th Street,
175,New York,2019-03-11,Crooked Colours,Music,20,16:00,Rough Trade NYC,"64 North 9th Street, Brooklyn",
176,New York,2019-03-11,Acting For Teens,Theater,45,19:00,520 8th Ave. - Personal Valet Parking,520 8th Ave. - Personal Valet,
177,New York,2019-03-11,Big Apple Circus,Theater,50,18:30,Big Apple Circus,60 Lincoln Center Plaza,
178,New York,2019-03-11,Blks,Theater,25,16:00,The Robert W. Wilson MCC Theater Space,511 West 52nd Street,
179,New York,2019-03-11,Broadway Buddy Mentorship Cabaret,Theater,45,16:30,Leonard Nimoy Thalia at Symphony Space,"Lower, 2537 Broadway",
180,New York,2019-03-11,Broadway Buskers Concert,Theater,35,18:00,Club Free Time,20 Waterside Plaza,
181,New York,2019-03-11,Chaos Theory,Theater,35,19:00,Caveat,21 A Clinton Street,
182,New York,2019-03-11,Dead End Comedy Show,Theater,35,19:30,Erv's,"2122 Beekman Place, Brooklyn",
183,New York,2019-03-11,Dear Brutus,Theater,30,17:00,Shetler Studios & Theatres,244 West 54th Street,
184,New York,2019-03-11,Drama Group,Theater,30,17:30,Marlene Meyerson JCC Manhattan,334 Amsterdam Avenue,
185,New York,2019-03-11,Drunk Shakespeare,Theater,45,16:30,Drunk Shakespeare,711 7th Avenue Floor 2,
186,New York,2019-03-09,Alpha Blondy,Music,25,19:30,Sony Hall,235 West 46th Street,
187,New York,2019-03-09,Ben Harper,Music,45,16:30,Pier 17,89 South Street,
188,New York,2019-03-09,Black Uhuru,Music,45,16:00,Sony Hall,235 West 46th Street,
189,New York,2019-03-09,Blackbear,Music,60,18:30,Pier 17,89 South Street,
190,New York,2019-03-09,Carbon Leaf,Music,30,17:00,Sony Hall,235 West 46th Street,
191,New York,2019-03-09,Crystal Method,Music,25,19:30,Warsaw,"261 Driggs Avenue, Brooklyn",
192,New York,2019-03-09,Dj Gravy,Music,50,16:00,Sony Hall,235 West 46th Street,
193,New York,2019-03-09,Emanuel Ax,Music,30,16:30,Stern Auditorium / Perelman Stage,881 7th Avenue,
194,New York,2019-03-09,France Rocks Festival,Music,45,16:00,Bruno Walter Auditorium,111 Amsterdam Avenue,
195,New York,2019-03-09,Geto Boys,Music,40,19:30,Sony Hall,235 West 46th Street,
196,Cape Town,2019-03-09,Fiddler On The Roof,Theater,40,16:00,The Playhouse Theatre Somerset West,"Swalle Street, Golden Acre",
197,Cape Town,2019-03-09,Klippies Van Die Grond,Theater,45,19:30,Theatre Arts Admin Collective,"26 Wesley Street, Observatory",
198,New York,2019-03-04,Acting For Teens,Theater,35,18:00,520 8th Ave. - Personal Valet Parking,520 8th Ave. - Personal Valet,
199,New York,2019-03-10,Advanced Acting Scene Study,Theater,20,16:30,TGW Acting Studio,358 West 44th Street,
200,New York,2019-03-04,Big Apple Circus,Theater,55,17:00,Big Apple Circus,60 Lincoln Center Plaza,
201,New York,2019-03-03,Blks,Theater,40,16:30,The Robert W. Wilson MCC Theater Space,511 West 52nd Street,
202,New York,2019-03-12,Broadway Brunch,Theater,45,19:00,Engine Room New York,707 8th Avenue,
203,New York,2019-03-08,Broadway Buddy Mentorship Cabaret,Theater,30,19:00,Leonard Nimoy Thalia at Symphony Space,"Lower, 2537 Broadway",
204,New York,2019-03-05,Broadway Buskers Concert,Theater,45,18:00,Club Free Time,20 Waterside Plaza,
205,New York,2019-03-05,Broadway Musical Theater Week,Theater,40,18:00,Actors Technique NY Kids and Teens,"4th, 500 8th Avenue",
206,New York,2019-03-02,Calliope Musicals At Alphaville,Theater,30,16:00,Alphaville,"140 Wilson Avenue, Brooklyn",
207,New York,2019-03-14,Chaos Theory,Theater,40,17:00,Caveat,21 A Clinton Street,
208,London,2019-03-01,A Taste For Murder,Theater,30,19:00,Wanstead Library,Spratt Hall Road,
209,London,2019-03-01,Armia,Theater,35,19:30,The Dome,2A Dartmouth Park Hill,
210,London,2019-03-01,Becoming The Invisible Woman,Theater,50,18:00,Drayton Arms Theatre,153 Old Brompton Road,
211,London,2019-03-01,Bon Ami,Theater,55,17:00,Studio at New Wimbledon Theatre,93 The Broadway,
212,London,2019-03-01,Broken English,Theater,25,16:00,The Honor Oak Pub,1 Saint German's Road,
213,London,2019-03-01,Christmas Drama Workshop,Theater,40,16:00,Harmony Hall,10 Truro Road,
214,London,2019-03-01,Craig David,Theater,45,16:00,Rose Bowl Youth Centre,"St. Paul's Open Space, New River Green Estate",
215,London,2019-03-01,Creative Movements Class,Theater,40,19:30,Pangbourne House Nursery Montessori School,2 Pangbourne Avenue,
216,London,2019-03-01,Drama,Theater,55,18:30,Oslo Hackney,1A Amhurst Road,
217,Pacifica,2019-03-01,The Music Man,Theater,55,18:00,Pacifica Spindrift Players,1050 Crespi Drive,
218,Los Angeles,2019-03-07,Ain Gordon,Music,45,16:30,Ralph Freud Playhouse,245 Charles E Young Drive East,
219,Los Angeles,2019-03-07,Altin Gun,Music,30,17:30,The Teragram Ballroom,1234 West 7th Street,
220,Los Angeles,2019-03-07,Billy Strings,Music,60,18:30,Lodge Room,104 North Avenue 56 2nd Floor,
221,Los Angeles,2019-03-07,Foy Vance,Music,55,16:00,Palace Theatre,630 South Broadway,
222,Los Angeles,2019-03-07,Girl In Red,Music,25,18:00,The Teragram Ballroom,1234 West 7th Street,
223,Los Angeles,2019-03-07,Joanna Newsom,Music,40,16:00,Hollywood American Legion Post 43,2035 North Highland Avenue,
224,Los Angeles,2019-03-07,Kamasi Washington,Music,55,19:00,The Theatre at Ace Hotel,929 South Broadway,
225,Los Angeles,2019-03-07,Mandolin Orange,Music,45,17:00,The Theatre at Ace Hotel,929 South Broadway,
226,Los Angeles,2019-03-07,Adieu Monsieur Haffmann,Theater,55,18:00,Theatre Raymond Kabbaz,10361 West Pico Boulevard,
227,Los Angeles,2019-03-07,Asssscat,Theater,35,16:30,Ucb Franklin,5919 Franklin Avenue,
228,Los Angeles,2019-03-07,At The Table,Theater,40,16:30,Lankershim Arts Center,5108 Lankershim Boulevard,
229,Los Angeles,2019-03-07,Benji Hughes,Theater,60,16:30,The Teragram Ballroom,1234 West 7th Street,
230,Los Angeles,2019-03-07,Crabbe And Goyle,Theater,25,19:30,studio/stage,520 North Western Avenue,
231,Los Angeles,2019-03-07,Extraordinary,Theater,55,16:30,Studio C Artists,6448 California 2,
232,Los Angeles,2019-03-07,Funeral Bouquet,Theater,55,16:30,Lyric Hyperion Theatre & Cafe,2106 Hyperion Avenue,
233,Los Angeles,2019-03-07,Lavender Men,Theater,40,16:00,Skylight Theatre Company,1816 1/2 North Vermont Avenue,
234,Los Angeles,2019-03-07,Legitimate Goddamn Theatre,Theater,25,17:30,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
235,Los Angeles,2019-03-07,Mamma Mia,Theater,30,19:30,East West Players,120 Judge John Aiso Street,
236,Phoenix,2019-03-02,Bad Suns,Music,55,16:30,The Van Buren,401 West Van Buren Street,
237,Phoenix,2019-03-04,Dodie,Music,20,19:00,The Van Buren,401 West Van Buren Street,
238,Phoenix,2019-03-03,Dreamers,Music,40,16:30,The Van Buren,401 West Van Buren Street,
239,Phoenix,2019-03-05,Greensky Bluegrass,Music,55,18:30,The Van Buren,401 West Van Buren Street,
240,Phoenix,2019-03-04,Gus Dapperton,Music,45,16:30,The Van Buren,401 West Van Buren Street,
241,Phoenix,2019-03-04,Jenny Lewis,Music,20,16:00,The Van Buren,401 West Van Buren Street,
242,Phoenix,2019-03-14,Johnnyswim,Music,40,19:30,The Van Buren,401 West Van Buren Street,
243,Phoenix,2019-03-01,Melanie Martinez,Music,40,19:30,The Van Buren,401 West Van Buren Street,
244,Phoenix,2019-03-01,Motion City Soundtrack,Music,30,16:30,The Van Buren,401 West Van Buren Street,
245,Phoenix,2019-03-05,Oliver Tree,Music,30,19:30,The Van Buren,401 West Van Buren Street,
246,Portland,2019-03-02,Annual School Performance,Theater,45,17:00,Newmark Theatre,1111 Southwest Broadway,
247,Portland,2019-03-11,Beirut By Alan Bowne,Theater,50,18:30,Shoe Box Theater,2110 Southeast 10th Avenue,
248,Portland,2019-03-07,Escaped Alone,Theater,35,16:00,Shaking the Tree Theatre,823 Southeast Grant Street,
249,Portland,2019-03-04,Heathers The Musical,Theater,25,19:30,Funhouse Lounge,2432 Southeast 11th Avenue,
250,Portland,2019-03-10,Mala By Melinda Lopez,Theater,25,19:30,CoHo Productions,2257 Northwest Raleigh Street,
