,average_rating,city,is_unisex,phone_number,street_address,stylist_name,appointment_date,appointment_time
24,5.00,Oakland,True,510-227-4268,408 14th Street,Benny Adem Grooming Parlor,,
25,5.00,Oakland,True,510-838-2426,2509 Broadway,Bibo Salon,,
26,4.20,Oakland,True,510-451-1300,3342 Lakeshore Avenue,Bounce Blowdry Bar,,
27,4.30,Oakland,False,510-601-5225,4179 Piedmont Avenue,Calm A Salon,,
28,4.90,Oakland,True,510-834-8330,180 2nd Street #6,Charles Blades Barber Spa,,
29,4.70,Oakland,True,510-365-4585,1707 Webster Street,Dax Lee'S Barber & Apothecary,,
30,4.20,Oakland,False,510-652-5431,5431 College Avenue,"Elizabeth H/The Art Of Hair, Skin &Nail Design",,
31,4.80,Oakland,True,510-788-6378,4928 Telegraph Avenue,Fig & Clover,,
32,4.90,Oakland,True,510-332-9400,4287 Piedmont Avenue,Hairapy,,
33,5.00,,True,510-838-2426,2509 Broadway,Bibo Salon,2019-03-01,13:00
34,4.70,Fremont,False,510-574-0881,5154 Mowry Avenue,3Sixty Salon And Boutique,,
35,4.70,Fremont,True,510-623-1635,"4175, 42151 Blacow Road",Alex'S Classic Barber Shop,,
36,4.20,Fremont,False,510-794-4526,5371 Mowry Avenue,Beauology,,
37,4.30,Fremont,False,510-790-9900,37485 Fremont Boulevard B,Beauty Spot Salon,,
38,4.90,Fremont,True,510-656-1955,40645 Fremont Boulevard,Fremont Barber Shop,,
39,4.10,Fremont,False,510-739-6666,241 Fremont Hub Courtyard,Little Scissors - Kids Hair Salon,,
40,3.50,Fremont,False,510-494-1531,34119 Fremont Boulevard,Passion Salon,,
41,4.10,Fremont,True,510-505-9605,37477 Fremont Boulevard,Prince Barber Shop,,
42,4.60,Fremont,True,510-694-0208,40811 Grimmer Boulevard,Rehab Parlour,,
43,4.80,Fremont,True,510-498-1090,43360 Mission Boulevard #130,Salon Valenti Hair Nails Skin,,
44,4.00,Corte Madera,True,415-891-3571,208 Redwood Avenue,Colour Bar,,
45,3.50,Corte Madera,True,415-924-2288,127 Corte Madera Town Center,Panda Room,,
46,3.00,Corte Madera,True,415-924-1166,141 Corte Madera Town Center,Supercuts,,
47,4.00,,True,415-891-3571,208 Redwood Avenue,Colour Bar,2019-03-11,17:00
48,4.50,,True,415-824-1335,2737 20th Street,20Th Salon And Barber,2019-03-05,12:00
49,5.00,Redwood City,True,650-679-0457,704 Winslow Street,August Barbershop,,
50,4.30,Redwood City,True,650-298-8586,2606 Broadway,Natalie'S Salon,,
51,4.60,Redwood City,True,650-257-7017,1766 Broadway,Redwood Barber Co,,
52,4.80,Redwood City,False,650-666-3025,2072 Broadway,Retreat Salon,,
53,3.70,Redwood City,True,650-369-8992,1057 El Camino Real,Supercuts Sequoia Station,,
54,4.30,,True,650-298-8586,2606 Broadway,Natalie'S Salon,2019-03-14,16:30
55,4.30,Pleasanton,True,925-462-2695,4275 First Street,Cosmo'S Barber Shop,,
56,4.80,Pleasanton,True,925-600-0080,722 Main Street,Fusion 3 Salon Pleasanton,,
57,4.70,Pleasanton,False,925-462-4348,350 Main Street # J,Gary Patrick Salon,,
58,5.00,Pleasanton,False,925-426-1250,363 Saint Mary Street,House Of Cabelo,,
59,4.30,Pleasanton,True,925-399-6870,5424 Sunol Boulevard #2,Pleasanton Barber Shop,,
60,4.80,Pleasanton,True,925-426-1750,77 West Angela Street,Salon 77 West,,
61,4.40,Pleasanton,True,925-847-3090,4001 Santa Rita Road Suite 3,Sport Clips Haircuts Of Pleasanton,,
62,3.30,Pleasanton,True,925-461-1438,1737 Santa Rita Road #200,Supercuts,,
63,2.90,Pleasanton,True,925-425-7700,2243 Stoneridge Mall Road,Urban Barber Barbershop,,
64,5.00,,True,650-679-0457,704 Winslow Street,August Barbershop,2019-03-05,18:00
65,3.90,Foster City,True,650-522-8433,929 East Hillsdale Boulevard,Great Clips,,
66,3.90,,True,650-522-8433,929 East Hillsdale Boulevard,Great Clips,2019-03-10,12:30
67,4.50,,True,415-824-1335,2737 20th Street,20Th Salon And Barber,2019-03-13,11:30
68,4.40,Walnut Creek,True,925-837-2990,1639 North California Boulevard,Blow Dry Bar,,
69,4.70,Walnut Creek,True,925-938-3648,1919 Mount Diablo Boulevard,Dipietro Todd Salon,,
70,4.70,Walnut Creek,True,925-822-9826,1634 Bonanza Street,Drybar Walnut Creek,,
71,4.00,Walnut Creek,True,925-210-0613,1833 Ygnacio Valley Road,Great Clips,,
72,5.00,Walnut Creek,True,925-788-7105,1280 Boulevard Way #214,Hi-Definition Salon,,
73,4.90,Walnut Creek,True,925-357-8818,94596 2341 Boulevard Circle,Rare Byrd Salon,,
74,4.60,Walnut Creek,True,925-222-5210,2252 Oak Grove Road,Snip-Its Haircuts For Kids,,
75,4.80,Walnut Creek,True,925-274-1985,2815 Ygnacio Valley Road,Sport Clips Haircuts Of Walnut Creek - Encina Grande,,
76,4.10,Walnut Creek,True,925-933-7836,1698 Bonanza Street,Stem Salon,,
77,4.60,Walnut Creek,True,925-448-2967,2854 Ygnacio Valley Road,"The Grove Salon- Walnut Creek, Ca- An Aveda Salon",,
78,4.70,,True,925-822-9826,1634 Bonanza Street,Drybar Walnut Creek,2019-03-08,15:00
79,4.30,Fremont,True,510-252-0924,46543 Mission Boulevard,Sean'S Barber Shop,,
80,3.50,Fremont,True,510-623-1015,43321 Christy Street,Sport Clips Haircuts Of Fremont,,
81,4.50,Fremont,True,510-792-5922,5200 Mowry Avenue,Visual Image Salon,,
82,4.70,,True,510-623-1635,"4175, 42151 Blacow Road",Alex'S Classic Barber Shop,2019-03-04,16:00
83,4.80,,True,415-286-4371,1532 20th Street,1512 Barber Shop,2019-03-14,18:00
84,4.50,,True,925-349-6036,1585 Clayton Road,First Class Barber Shop,2019-03-06,14:00
85,4.80,,True,415-286-4371,1532 20th Street,1512 Barber Shop,2019-03-07,15:00
86,4.30,San Jose,True,408-293-3494,1047 Lincoln Highway suite 101,Atelier Salon Willow Glen,,
87,5.00,San Jose,True,669-258-9601,1775 Park Avenue,Barba & Co. San Jose,,
88,4.50,San Jose,True,408-460-8070,1186 South 2nd Street,Beautique Salon,,
89,4.70,San Jose,True,408-271-1970,200 South 1st Street #70,Bedlam Beauty & Barber,,
90,4.70,San Jose,True,408-421-8035,892 Emory Street,Bellarmine Barber Shop,,
91,4.20,San Jose,True,408-947-9926,448 East Santa Clara Street,Braid It Up,,
92,4.60,San Jose,True,408-216-9649,2314 Stevens Creek Boulevard,Concept Barbershop,,
93,4.80,San Jose,True,408-821-6847,4750 Almaden Expressway Suite 128 Suite 128,Cookie Cutters Haircuts For Kids - San Jose,,
94,4.50,San Jose,True,408-418-3299,111 North Market Street #140,Crewners Barber Shop,,
95,4.50,San Jose,True,408-218-4644,1918 Alum Rock Avenue,Delabay Kutz,,
96,3.80,Los Gatos,True,408-358-2232,15992 Los Gatos Boulevard,Great Clips,,
97,4.90,Los Gatos,True,408-395-1314,130 North Santa Cruz Avenue # E,Los Gatos Beauty Bar,,
98,4.90,Los Gatos,True,408-354-7717,65 West Main Street,Nimbus Salon,,
99,4.40,Los Gatos,True,408-702-2322,15466 Los Gatos Boulevard #113,Rocks Blow Dry Bar,,
100,5.00,Los Gatos,True,408-395-1234,227 North Santa Cruz Avenue,Royal Shaving Parlor,,
101,4.60,Los Gatos,True,408-340-5435,14107 Winchester Boulevard,Wildflower Salon,,
102,3.80,,True,408-358-2232,15992 Los Gatos Boulevard,Great Clips,2019-03-10,15:30
103,4.80,Santa Clara,True,408-727-2200,2485 De La Cruz Boulevard,About Time Barber Shop,,
104,4.20,Santa Clara,False,408-244-3888,1274 Benton Street,Hunny Hair & Nail Spa,,
105,4.20,Santa Clara,True,408-663-0137,2803 El Camino Real,Jimmy Hair Team,,
106,4.80,Santa Clara,True,408-216-9065,3407 El Camino Real,Krystal Hair Salon,,
107,4.30,Santa Clara,True,408-296-7777,1064 Kiely Boulevard,Mr.T Barber Shop,,
108,4.60,Santa Clara,True,408-296-0496,"4808, 977 Monroe Street",Sam & Roy'S University Barber,,
109,4.10,Santa Clara,True,408-241-4271,65 Washington Street,Santa Clara Barber Shop,,
110,3.70,Santa Clara,True,408-247-1775,2094 El Camino Real,Santa Clara Hair Studio,,
111,2.90,Santa Clara,True,408-486-9806,3966 Rivermark Plaza,Supercuts Santa Clara,,
112,5.00,San Mateo,True,650-345-9882,2260 Palm Avenue,Elite Hair Design,,
113,3.40,San Mateo,True,650-685-1888,207 East 4th Avenue,Great Clips,,
114,4.20,San Mateo,True,650-513-6884,602 East 4th Avenue,Headlinerz Barbershop,,
115,4.10,San Mateo,True,650-212-3233,"4404, 61 37th Avenue",Hitters Barber Shop,,
116,4.40,San Mateo,True,650-342-6668,"4037, 223 South San Mateo Drive",L Salon & Color Group,,
117,5.00,San Mateo,False,650-570-5750,113 De Anza Boulevard,Les Amis - Salon Et Spa,,
118,4.50,San Mateo,True,650-578-8700,1100 Park Place #80,Salon Kavi,,
119,4.50,San Mateo,True,650-347-3762,302 East 5th Avenue,Shane'S Barbershop & Shave Parlour,,
120,3.80,San Mateo,True,650-212-1350,2017 Chess Drive,Sport Clips Haircuts Of San Mateo,,
121,4.60,San Mateo,False,650-437-2271,2335 South El Camino Real,Sunesy Hair Design,,
122,3.70,San Mateo,True,650-389-2253,854 North Delaware Street,Supercuts - San Mateo,,
123,3.40,,True,650-685-1888,207 East 4th Avenue,Great Clips,2019-03-06,16:30
124,4.50,Walnut Creek,False,925-943-4944,1613 North Main Street,Phoenix Salon & Day Spa,,
125,5.00,Walnut Creek,False,925-939-7425,2400 Olympic Boulevard #5,Salon Cartier,,
126,4.70,Walnut Creek,False,925-256-9914,1459 Newell Avenue,Salonamour Hair Salon Walnut Creek,,
127,4.70,,True,925-938-3648,1919 Mount Diablo Boulevard,Dipietro Todd Salon,2019-03-02,17:30
128,4.30,,True,650-298-8586,2606 Broadway,Natalie'S Salon,2019-03-03,16:30
129,4.10,Sunnyvale,True,408-743-5780,450 East El Camino Real,A+ Haircuts For Men,,
130,3.80,Sunnyvale,True,408-738-8389,472 North Mathilda Avenue,Alpha Barbershop,,
131,4.40,Sunnyvale,False,408-595-1467,160 South Murphy Avenue A,Evoke Beauty Salon,,
132,3.70,Sunnyvale,True,408-457-8453,138 E El Camino Real Ste B,Great Clips,,
133,4.10,Sunnyvale,True,408-732-1475,1026 East El Camino Real,Hair Focus,,
134,4.10,Sunnyvale,True,408-738-1563,717 East El Camino Real #4,Impression Spa,,
135,4.40,Sunnyvale,False,408-416-7353,297 E Washington Ave Near Aloft Hotel Sunnyvale downtown,Jyoti Threading Salon,,
136,3.90,Sunnyvale,True,408-730-1112,753 East El Camino Real #1,Kanzi Hair Studio,,
137,3.20,Sunnyvale,False,408-588-1215,1014 East El Camino Real,Khoobsurat Threading Salon,,
138,4.20,Sunnyvale,False,650-968-0767,1283 West El Camino Real,Lisa'S Perfect Cuts,,
139,3.90,Millbrae,True,650-552-9316,979 Broadway Ave Ste 108,Great Clips,,
140,4.60,Millbrae,True,650-583-1773,1727 El Camino Real,Millbrae Hair Salon,,
141,3.90,,True,650-552-9316,979 Broadway Ave Ste 108,Great Clips,2019-03-12,17:30
142,4.30,Mountain View,False,650-938-2400,820 East El Camino Real,Bollywood Beauty Salon,,
143,4.40,Mountain View,True,650-966-8588,2425 California Street # C,Christine'S Salon,,
144,4.50,Mountain View,True,650-964-5437,1734 El Camino Real,Cubby Cuts For Kids,,
145,4.60,Mountain View,True,650-988-8822,826 West Dana Street,Essence Salon,,
146,4.00,Mountain View,False,650-965-2351,834 West Dana Street,Eyebrow Station,,
147,3.70,Mountain View,True,650-965-4247,1712 Miramonte Avenue Ste C,Great Clips,,
148,4.40,Mountain View,True,650-625-9506,80 West El Camino Real,Quality Men'S Haircuts,,
149,4.90,Mountain View,False,650-961-4247,364 Castro Street,Studio 364,,
150,4.40,Mountain View,True,650-969-7070,1350 Grant Road #10b,Unique Men Haircuts,,
151,4.50,,True,650-964-5437,1734 El Camino Real,Cubby Cuts For Kids,2019-03-11,11:30
152,4.90,Fairfield,True,707-673-7601,2240 North Texas Street,C'S Barber Shop,,
153,4.20,Fairfield,True,707-421-1107,1359 Oliver Road,Crowns Barber Shop & Hair Salon,,
154,4.90,,True,707-673-7601,2240 North Texas Street,C'S Barber Shop,2019-03-14,13:30
155,4.60,San Francisco,True,415-931-4405,1680 Post Street,Arty Hair Salon,,
156,3.90,,True,415-788-4936,44 Montgomery Street #30,A Businessman'S Haircut,2019-03-06,15:00
157,4.20,,True,408-663-0137,2803 El Camino Real,Jimmy Hair Team,2019-03-04,13:00
158,4.10,Pleasant Hill,True,925-798-5214,2255 Contra Costa Boulevard,Cool Tops,,
159,4.10,Pleasant Hill,True,925-681-2547,2186 Contra Costa Boulevard,Great Clips,,
160,3.90,Pleasant Hill,True,925-288-1701,2360 Monument Boulevard Suite 1B,Sport Clips Haircuts Of Crossroads At Pleasant Hill,,
161,4.40,Pleasant Hill,False,925-686-4216,1881 Contra Costa Boulevard,Sue'S Hair Salon,,
162,4.10,,True,925-798-5214,2255 Contra Costa Boulevard,Cool Tops,2019-03-01,16:00
163,4.30,,True,925-462-2695,4275 First Street,Cosmo'S Barber Shop,2019-03-14,17:00
164,4.80,Livermore,False,925-447-1776,1776 First Street,Fusion 3 Salon Livermore,,
165,4.30,Livermore,True,925-454-0292,1416 First Street,Great Clips,,
166,4.70,Livermore,True,925-292-5328,2027 Third Street,Livermore Barber Shop Third Street Og,,
167,4.30,Livermore,True,925-371-2887,4338 Las Positas Road,Sport Clips Haircuts Of Livermore,,
168,3.70,Livermore,True,925-606-8811,4489 First Street,Supercuts,,
169,5.00,Livermore,True,925-667-9161,1549 North Vasco Road,Vasco Barbershop,,
170,4.70,,True,925-292-5328,2027 Third Street,Livermore Barber Shop Third Street Og,2019-03-01,18:30
171,4.80,Santa Rosa,True,707-575-1474,205 5th Street D,Elle Lui Hair Salon,,
172,4.80,Santa Rosa,True,707-528-8266,314 Mendocino Avenue,Exclusive Spa,,
173,4.70,Santa Rosa,True,707-575-5551,1235 North Dutton Avenue Suite B,Leading Edge Salon,,
174,4.30,Santa Rosa,True,707-318-7003,2101 West College Avenue,Redline Barbers,,
175,4.90,Santa Rosa,True,707-542-3380,2330 4th Street,Santa Rosa Barbershop,,
176,4.30,Santa Rosa,True,707-479-5872,1305 Cleveland Avenue H,The Barbery,,
177,4.90,Santa Rosa,True,707-595-3420,140 Stony Point Road e,The Den Barber Shop,,
178,4.00,Santa Rosa,True,707-843-5069,46 West College Avenue,West Coast Cuts,,
179,4.80,,True,707-528-8266,314 Mendocino Avenue,Exclusive Spa,2019-03-09,13:00
180,4.70,El Cerrito,False,510-649-7843,6493 Portola Drive,Chop Salon & Spa,,
181,4.70,,False,510-649-7843,6493 Portola Drive,Chop Salon & Spa,2019-03-05,10:30
182,4.70,Campbell,True,408-371-2051,2160 South Bascom Avenue,Bella Capelli Salon,,
183,4.60,Campbell,True,408-214-6060,513 East Hamilton Avenue,Craft Salon & Barbershop,,
184,4.70,Campbell,True,408-866-4247,565 East Campbell Avenue,Rage Salon,,
185,4.90,Campbell,True,408-377-2255,1875 South Bascom Avenue #2430,Salon Rache,,
186,4.70,Campbell,True,408-502-8367,"Suite #148, 1875 South Bascom Avenue Suite #148",V'S Barbershop Campbell,,
187,4.70,,True,408-371-2051,2160 South Bascom Avenue,Bella Capelli Salon,2019-03-09,12:00
188,5.00,,True,669-258-9601,1775 Park Avenue,Barba & Co. San Jose,2019-03-11,15:30
189,4.40,Sonoma,False,707-935-8329,18615 California 12,C C Beauty Salon,,
190,3.90,Sonoma,True,707-935-0100,19217 Sonoma Highway,Great Clips,,
191,4.70,Sonoma,False,707-939-7647,75 Andrieux Street,Snipz Sonoma,,
192,4.40,,False,707-935-8329,18615 California 12,C C Beauty Salon,2019-03-09,16:30
193,4.30,,True,408-293-3494,1047 Lincoln Highway suite 101,Atelier Salon Willow Glen,2019-03-01,13:00
194,4.30,,True,408-293-3494,1047 Lincoln Highway suite 101,Atelier Salon Willow Glen,2019-03-01,16:30
195,4.70,Burlingame,True,650-342-1602,1012 Oak Grove Avenue,Burlingame Barber Shop,,
196,4.60,Burlingame,True,650-344-3010,1221 Donnelly Avenue,Didi Salon,,
197,3.80,Burlingame,True,877-379-2279,245 Primrose Road,Drybar Burlingame,,
198,3.70,Burlingame,True,650-343-8579,211 Primrose Road,Great Clips,,
199,4.30,Burlingame,False,650-548-1490,1200 Howard Avenue # 102,Just Kids Cuts & Beauty Market,,
200,4.80,Burlingame,True,650-581-1270,841 California Drive,Le Reve Salon,,
201,4.20,Burlingame,True,650-347-4737,1113 Burlingame Avenue,Onyx Salon,,
202,4.60,Burlingame,True,650-347-1202,256 Lorton Avenue,Reconnect Hair Design,,
203,4.80,Burlingame,True,650-434-7565,401 Primrose Road g,Salon Revel,,
204,4.50,Burlingame,True,650-513-1656,1200 Howard Avenue #105,Salon Stilo,,
205,3.90,Burlingame,True,650-348-4881,1222 Broadway,Supercuts,,
206,3.90,Palo Alto,True,650-460-8290,855 El Camino Real Building #1 Suite #3,18/8 Fine Men'S Salons - Palo Alto,,
207,4.40,Palo Alto,True,650-326-4820,441 Cambridge Avenue,California Barber Shop,,
208,4.20,Palo Alto,True,650-853-8442,475 California Avenue,Campus Barber Shop,,
209,4.40,Palo Alto,True,650-272-6833,409 California Avenue,Casual Chic Salon,,
210,4.80,Palo Alto,True,650-328-4855,2307 Birch Street,Dipietro Todd Salon,,
211,3.90,Palo Alto,True,650-713-3210,180 El Camino Real,Drybar Palo Alto,,
212,4.10,Palo Alto,True,650-493-2100,3902 Middlefield Road,Great Clips,,
213,3.70,Palo Alto,True,650-324-2007,232 Stanford Shopping Center,Hair International,,
214,4.80,Palo Alto,True,650-328-4067,240 University Avenue,Juut Salon Spa,,
215,4.20,Palo Alto,True,650-462-9856,2786 Middlefield Road,Midtown Hair Studio,,
216,3.90,,True,650-460-8290,855 El Camino Real Building #1 Suite #3,18/8 Fine Men'S Salons - Palo Alto,2019-03-10,12:30
217,4.00,Sunnyvale,True,408-685-2072,330 West El Camino Real,Sport Clips Haircuts Of Sunnyvale - Cherry Orchard,,
218,3.40,Sunnyvale,True,408-248-6560,1054 East El Camino Real,Supercuts,,
219,3.70,,True,408-457-8453,138 E El Camino Real Ste B,Great Clips,2019-03-12,10:00
220,4.90,Napa,True,707-266-1108,1637 Lincoln Avenue,Stags Barbershop,,
221,3.80,Napa,True,707-257-3744,1806 Soscol Avenue B,Supercuts,,
222,4.80,Napa,True,707-266-1416,2758 Old Sonoma Road,The Gentlemen'S Parlor,,
223,4.70,Napa,True,707-255-1606,2105 West Pueblo Avenue,The Industry Napa Valley'S Barbershop,,
224,4.90,,True,707-266-1108,1637 Lincoln Avenue,Stags Barbershop,2019-03-03,16:00
225,3.90,,True,415-788-4936,44 Montgomery Street #30,A Businessman'S Haircut,2019-03-06,10:30
226,4.10,,True,408-743-5780,450 East El Camino Real,A+ Haircuts For Men,2019-03-05,15:30
227,4.80,Berkeley,True,510-540-1261,2556 Telegraph Avenue #4,Berkeley Hair Studio,,
228,4.30,Berkeley,True,510-843-4919,2492 Channing Way,Edge Hair Salon,,
229,4.70,Berkeley,True,510-526-1700,1599 Hopkins Street,Elixir Salon An Aveda And Eufora Eco Boutique Salon,,
230,5.00,Berkeley,True,510-705-1582,911 University Avenue,Fox And Belle Salon,,
231,3.20,Berkeley,True,510-845-2322,2415 Shattuck Avenue,Great Clips,,
232,4.60,Berkeley,True,510-601-0102,1600 Shattuck Avenue # 108,La Peluqueria Hair Salon,,
233,4.70,Berkeley,True,510-883-9010,2302 Ellsworth Street,La Petite Hair Salon,,
234,4.70,Berkeley,True,510-849-3197,2510 Shattuck Avenue,Lili Hair Salon,,
235,4.60,Berkeley,True,510-646-8338,1887 Solano Avenue,Lola Salon,,
236,4.80,Berkeley,True,510-859-8112,2211 San Pablo Avenue,"Mark-Jason Solofa, Men'S Grooming",,
237,4.80,,True,510-540-1261,2556 Telegraph Avenue #4,Berkeley Hair Studio,2019-03-10,18:30
238,4.80,,True,510-540-1261,2556 Telegraph Avenue #4,Berkeley Hair Studio,2019-03-13,18:00
239,4.40,Oakland,True,510-594-6887,5030 Telegraph Avenue,Harper Paige Salon East,,
240,4.30,Oakland,True,510-208-3449,3351 Grand Avenue,Jaujou Studio,,
241,4.70,,True,510-653-1059,4801 Telegraph Avenue,17 Jewels Salon,2019-03-01,11:00
242,4.30,,True,408-293-3494,1047 Lincoln Highway suite 101,Atelier Salon Willow Glen,2019-03-01,17:00
243,4.30,Castro Valley,True,510-582-6310,4045 East Castro Valley Boulevard,Great Clips,,
244,3.70,Castro Valley,False,510-538-4111,20627 Rustic Drive,Rae Talbot Salon,,
245,4.40,Castro Valley,False,510-537-8084,20590 Redwood Road,Stacy Monroe'S Salon,,
246,4.40,Castro Valley,True,510-881-9555,3372 Village Drive,Village Barber Shop,,
247,4.60,Castro Valley,False,510-886-8839,2970 Castro Valley Boulevard,Wink Hair Salon,,
248,3.70,,False,510-538-4111,20627 Rustic Drive,Rae Talbot Salon,2019-03-10,11:30
249,4.60,Martinez,True,925-228-2010,620 Main Street,Citrus Salon,,
250,3.60,Martinez,True,925-229-2177,542 Center Avenue,Great Clips,,
251,3.90,San Leandro,True,510-415-3420,15208 East 14th Street,Sofia African Hair Braiding,,
252,3.30,San Leandro,True,510-278-4672,15100 Hesperian Boulevard Suite 212,Supercuts,,
253,4.80,,True,415-286-4371,1532 20th Street,1512 Barber Shop,2019-03-07,18:00
254,4.80,,True,415-286-4371,1532 20th Street,1512 Barber Shop,2019-03-08,18:30
255,3.90,,True,415-788-4936,44 Montgomery Street #30,A Businessman'S Haircut,2019-03-03,18:00
256,4.60,Santa Rosa,False,707-575-5123,122 4th Street,Daredevils & Queens,,
257,5.00,San Rafael,True,415-250-4370,294 North San Pedro Road,Best Coast Cuts,,
258,4.00,San Rafael,True,415-479-1961,216 Northgate One,Great Clips,,
259,4.00,,True,415-479-1961,216 Northgate One,Great Clips,2019-03-09,17:30
260,3.60,Cupertino,True,408-255-2178,20686 Homestead Road,Great Clips,,
261,4.30,Cupertino,True,408-725-2588,7335 Bollinger Road B,New Fashion Hair,,
262,4.40,Cupertino,True,408-569-9654,10095 Saich Way #2,Parlour 17,,
263,3.80,Cupertino,True,669-342-7762,19655 Stevens Creek Boulevard,Sassy Hair,,
264,3.60,Cupertino,True,408-996-3300,20735 Stevens Creek Boulevard Ste F,Supercuts,,
265,4.60,Cupertino,True,408-418-3638,19505 Stevens Creek Boulevard,Vjones Salon,,
266,3.60,,True,408-255-2178,20686 Homestead Road,Great Clips,2019-03-06,13:00
267,5.00,,True,669-258-9601,1775 Park Avenue,Barba & Co. San Jose,2019-03-12,15:00
268,4.10,Benicia,True,707-751-1775,808 Southampton Road,Sport Clips Haircuts Of Benicia,,
269,3.50,Benicia,True,707-747-0659,868 Southampton Road,Supercuts,,
270,4.10,,True,707-751-1775,808 Southampton Road,Sport Clips Haircuts Of Benicia,2019-03-05,12:30
271,4.80,,True,707-575-1474,205 5th Street D,Elle Lui Hair Salon,2019-03-07,16:00
272,4.70,,True,925-938-3648,1919 Mount Diablo Boulevard,Dipietro Todd Salon,2019-03-08,14:30
273,4.60,San Mateo,True,650-638-1624,1226 South El Camino Real,The San Mateo Zoo,,
274,3.40,,True,650-685-1888,207 East 4th Avenue,Great Clips,2019-03-11,12:30
275,4.80,,True,707-266-1416,2758 Old Sonoma Road,The Gentlemen'S Parlor,2019-03-03,14:00
276,4.90,,True,408-395-1314,130 North Santa Cruz Avenue # E,Los Gatos Beauty Bar,2019-03-05,10:30
277,4.70,Saratoga,True,408-605-6261,14531 Big Basin Way,D & H Hair Salon,,
278,4.40,Saratoga,True,408-255-2895,1821 Saratoga Avenue #102,Viange Hair Saratoga,,
279,4.40,,True,408-255-2895,1821 Saratoga Avenue #102,Viange Hair Saratoga,2019-03-04,16:30
280,3.80,,True,707-257-3744,1806 Soscol Avenue B,Supercuts,2019-03-10,18:30
281,4.40,,True,510-881-9555,3372 Village Drive,Village Barber Shop,2019-03-11,14:00
282,4.80,,True,408-727-2200,2485 De La Cruz Boulevard,About Time Barber Shop,2019-03-12,18:00
283,3.70,,True,925-446-4144,4330 Clayton Road suite j,Breds Barbershop,2019-03-08,16:00
284,4.30,,True,925-462-2695,4275 First Street,Cosmo'S Barber Shop,2019-03-03,17:00
285,4.30,,True,408-293-3494,1047 Lincoln Highway suite 101,Atelier Salon Willow Glen,2019-03-10,13:30
286,4.90,Petaluma,True,707-769-8000,25 Kentucky Street,Dukes And Dolls Salon,,
287,5.00,Petaluma,True,707-364-6469,410 Petaluma Boulevard South,Modern Classics Barber Shop,,
288,4.70,Petaluma,True,707-981-8469,145 1st Street,Salon Method,,
289,3.70,Petaluma,True,707-766-7100,401 Kenilworth Drive Ste 640,Sport Clips Haircuts Of Petaluma,,
290,3.90,Petaluma,True,707-765-6300,"401 Kenilworth Drive, suite 610",Style Bar,,
291,4.20,Petaluma,True,707-765-1055,367 South McDowell Boulevard,Supercuts,,
292,4.60,Petaluma,True,707-773-1258,139 Kentucky Street,The Shop - Cuts For Men & Women,,
293,4.90,,True,707-769-8000,25 Kentucky Street,Dukes And Dolls Salon,2019-03-03,13:00
294,4.70,San Bruno,True,650-273-4409,430 San Bruno Avenue West,Cut Right Barber Shop,,
295,4.70,San Bruno,True,650-808-9828,725 Camino Plaza,Salon Mia Bella,,
