,city,date,humidity,precipitation,temperature,wind
250,New York,2019-03-11,36,34,65,10
251,San Carlos,2019-03-01,26,8,90,3
252,San Diego,2019-03-13,38,19,75,8
253,Newark,2019-03-03,31,12,87,2
254,Anaheim,2019-03-14,44,20,88,6
255,San Diego,2019-03-03,28,7,82,11
256,Portland,2019-03-04,32,18,68,12
257,Atlanta,2019-03-09,16,18,93,12
258,Bodega Bay,2019-03-09,16,14,74,1
259,Atlanta,2019-03-01,45,28,86,11
260,Pinole,2019-03-02,33,14,74,3
261,Kuala Lumpur,2019-03-12,15,4,98,5
262,Vancouver,2019-03-04,54,49,58,8
263,Delhi,2019-03-12,15,2,96,1
264,Sydney,2019-03-05,21,5,96,11
265,Seattle,2019-03-05,23,18,61,15
266,Vancouver,2019-03-05,43,56,62,12
267,Portland,2019-03-03,10,22,70,5
268,Long Beach,2019-03-02,35,15,77,8
269,Gilroy,2019-03-10,28,18,72,1
270,London,2019-03-02,28,18,80,6
271,Phoenix,2019-03-01,23,15,89,11
272,San Rafael,2019-03-01,17,2,80,1
273,Nairobi,2019-03-02,20,6,86,2
274,Fresno,2019-03-02,25,13,85,11
275,Portland,2019-03-12,30,16,72,11
276,Nairobi,2019-03-08,17,2,100,7
277,San Diego,2019-03-07,36,17,90,8
278,Santa Clara,2019-03-13,17,3,78,6
279,Delhi,2019-03-05,21,7,90,4
280,Atlanta,2019-03-10,27,19,88,9
281,Novato,2019-03-05,17,11,79,5
282,Delhi,2019-03-03,16,2,92,7
283,Atlanta,2019-03-03,27,9,76,9
284,Toronto,2019-03-02,28,20,60,5
285,Vancouver,2019-03-01,19,15,75,8
286,London,2019-03-05,23,28,94,12
287,Nairobi,2019-03-11,17,3,89,3
288,Washington D.C.,2019-03-08,18,4,84,8
289,Kuala Lumpur,2019-03-13,15,1,97,6
290,Los Angeles,2019-03-14,29,17,86,4
291,Sydney,2019-03-10,20,5,92,1
292,Phoenix,2019-03-05,31,12,73,5
293,Phoenix,2019-03-06,43,29,88,3
294,Sausalito,2019-03-03,24,18,90,1
295,Philadelphia,2019-03-05,35,29,76,10
296,Sausalito,2019-03-09,17,11,75,3
297,Sydney,2019-03-02,18,2,101,11
298,New York,2019-03-05,66,51,73,12
299,Vancouver,2019-03-06,25,27,70,13
300,Geyserville,2019-03-14,27,23,77,1
301,Geyserville,2019-03-05,16,1,76,6
302,Atlanta,2019-03-05,29,18,82,5
303,Sacramento,2019-03-08,40,21,85,2
304,Sacramento,2019-03-01,27,26,82,7
305,Anaheim,2019-03-05,19,4,75,10
306,Toronto,2019-03-12,15,1,64,12
307,Washington D.C.,2019-03-06,34,29,80,4
308,Washington D.C.,2019-03-13,52,28,79,12
309,Las Vegas,2019-03-13,33,14,73,12
310,Las Vegas,2019-03-04,38,15,77,12
311,Las Vegas,2019-03-09,20,4,86,6
312,Kuala Lumpur,2019-03-11,16,2,99,4
313,San Diego,2019-03-05,21,8,84,4
314,Atlanta,2019-03-08,21,12,79,8
315,Portland,2019-03-06,23,7,73,4
316,San Francisco,2019-03-07,17,9,74,7
317,Atherton,2019-03-03,24,12,90,12
318,Delhi,2019-03-04,18,8,97,3
319,Delhi,2019-03-02,15,0,95,5
320,Kuala Lumpur,2019-03-01,23,8,102,12
321,Toronto,2019-03-03,61,58,65,11
322,Chicago,2019-03-05,40,28,71,5
323,Mexico City,2019-03-10,16,3,96,10
324,Delhi,2019-03-13,15,0,100,11
325,New York,2019-03-02,26,29,57,6
326,Kuala Lumpur,2019-03-02,17,3,101,3
327,Phoenix,2019-03-03,27,10,94,4
328,San Diego,2019-03-01,16,1,90,1
329,Redwood City,2019-03-07,15,1,73,7
330,Atlanta,2019-03-12,18,19,78,9
331,Portland,2019-03-14,20,13,57,6
332,San Francisco,2019-03-09,16,2,70,9
333,Phoenix,2019-03-02,31,11,72,9
334,San Francisco,2019-03-05,31,23,87,1
335,Kuala Lumpur,2019-03-10,22,5,90,11
336,Dublin,2019-03-06,20,7,92,6
337,Philadelphia,2019-03-14,26,8,84,10
338,Phoenix,2019-03-09,31,21,76,6
339,Seattle,2019-03-04,69,43,69,13
340,Sydney,2019-03-09,16,6,93,12
341,Albany,2019-03-02,23,14,84,5
342,Philadelphia,2019-03-02,16,3,71,8
343,Philadelphia,2019-03-12,27,25,83,4
344,Portland,2019-03-02,33,15,65,7
345,Chicago,2019-03-12,4,26,61,12
346,Nairobi,2019-03-03,16,2,103,1
347,Cupertino,2019-03-01,22,13,92,2
348,Kuala Lumpur,2019-03-09,15,0,92,8
349,Vancouver,2019-03-12,15,10,59,11
350,Los Angeles,2019-03-10,19,10,91,8
351,Stanford,2019-03-14,19,5,82,5
352,Las Vegas,2019-03-11,19,3,81,10
353,Sydney,2019-03-14,16,2,100,8
354,Portland,2019-03-05,24,12,56,9
355,Los Altos,2019-03-13,17,3,94,7
356,Phoenix,2019-03-04,37,29,90,3
357,Las Vegas,2019-03-07,44,22,86,9
358,New York,2019-03-03,26,23,74,13
359,Rohnert Park,2019-03-01,35,23,84,7
360,Phoenix,2019-03-08,21,15,77,11
361,Kuala Lumpur,2019-03-04,29,8,87,8
362,Toronto,2019-03-04,33,38,70,13
363,Portland,2019-03-08,26,50,70,7
364,Delhi,2019-03-09,18,3,91,2
365,Sunol,2019-03-04,17,14,93,12
366,Sunol,2019-03-07,23,14,72,11
367,Chicago,2019-03-07,30,23,74,14
368,Chicago,2019-03-06,19,5,69,8
369,Los Angeles,2019-03-13,22,19,94,5
370,Atherton,2019-03-02,35,17,93,7
371,San Diego,2019-03-14,17,2,76,6
372,Chicago,2019-03-02,40,33,61,6
373,Toronto,2019-03-06,36,45,62,9
374,Paris,2019-03-12,34,16,72,12
375,New York,2019-03-04,29,22,59,8
376,Mexico City,2019-03-09,18,4,87,1
377,Mexico City,2019-03-12,24,6,89,11
378,Paris,2019-03-09,13,14,83,5
379,Sydney,2019-03-03,17,4,101,2
380,Mexico City,2019-03-11,17,4,88,1
381,Mexico City,2019-03-04,21,4,95,11
382,Kuala Lumpur,2019-03-06,20,9,98,11
383,Anaheim,2019-03-06,19,18,82,7
384,San Diego,2019-03-08,18,6,93,5
385,Washington D.C.,2019-03-11,58,25,86,8
386,New York,2019-03-14,19,6,60,9
387,San Francisco,2019-03-06,16,3,72,12
388,Atlanta,2019-03-02,32,20,82,6
389,San Pablo,2019-03-06,37,21,73,9
390,Seattle,2019-03-12,6,34,66,7
391,San Francisco,2019-03-13,22,9,94,6
392,Las Vegas,2019-03-14,39,15,71,6
393,Lagunitas,2019-03-01,38,18,92,2
394,Lagunitas,2019-03-03,21,12,87,1
395,Anaheim,2019-03-12,21,16,71,2
396,Saratoga,2019-03-01,15,1,78,3
397,San Rafael,2019-03-06,35,14,76,10
398,Nairobi,2019-03-13,15,1,89,4
399,Seattle,2019-03-08,16,21,65,7
400,Chicago,2019-03-14,26,24,68,12
401,Point Reyes Station,2019-03-09,38,13,90,12
402,Portland,2019-03-09,12,44,67,4
403,Muir Beach,2019-03-01,28,13,81,6
404,Nairobi,2019-03-14,15,0,93,9
405,Vacaville,2019-03-10,36,26,89,5
406,Nairobi,2019-03-10,15,1,95,9
407,Eldridge,2019-03-12,17,14,74,3
408,Vancouver,2019-03-02,45,49,67,15
409,Santa Clara,2019-03-05,44,25,88,5
410,Paris,2019-03-10,15,2,80,7
411,Fresno,2019-03-04,19,18,92,1
412,Anaheim,2019-03-11,35,11,70,10
413,Montara,2019-03-11,26,17,86,9
414,Philadelphia,2019-03-04,30,8,78,1
415,Washington D.C.,2019-03-12,22,9,80,8
416,Toronto,2019-03-08,17,6,67,14
417,Antioch,2019-03-06,23,7,72,9
418,Seattle,2019-03-03,15,49,73,7
419,Ross,2019-03-01,19,14,79,12
420,Nairobi,2019-03-06,15,1,89,8
421,New York,2019-03-08,26,35,69,10
422,Los Angeles,2019-03-12,38,27,77,9
423,Oakland,2019-03-07,28,19,80,4
424,Anaheim,2019-03-04,29,20,89,2
425,Anaheim,2019-03-02,19,5,87,8
426,Phoenix,2019-03-14,46,29,86,5
427,Vancouver,2019-03-03,16,54,57,10
428,Phoenix,2019-03-13,18,11,80,5
429,Oakland,2019-03-01,19,16,72,5
430,Sacramento,2019-03-13,18,12,93,8
431,Atlanta,2019-03-14,16,1,86,6
432,San Lorenzo,2019-03-06,17,25,77,6
433,San Francisco,2019-03-11,21,7,72,12
434,Rohnert Park,2019-03-03,36,23,75,3
435,Napa,2019-03-02,45,29,72,5
436,Vancouver,2019-03-07,11,23,63,13
437,San Francisco,2019-03-03,47,27,83,11
438,Sacramento,2019-03-02,24,27,93,4
439,Yountville,2019-03-01,15,7,75,5
440,Sonoma,2019-03-12,20,15,86,4
441,Brisbane,2019-03-08,15,0,83,4
442,Marshall,2019-03-02,25,14,84,6
443,Marshall,2019-03-14,28,15,78,12
444,Vancouver,2019-03-14,27,30,64,5
445,San Jose,2019-03-06,27,7,87,2
446,Livermore,2019-03-11,25,13,80,6
447,Stanford,2019-03-13,15,4,73,7
448,Orinda,2019-03-13,25,15,78,2
449,Las Vegas,2019-03-03,44,22,91,6
450,Yountville,2019-03-13,24,13,93,2
451,Anaheim,2019-03-03,35,22,87,2
452,Long Beach,2019-03-07,39,26,94,2
453,Brisbane,2019-03-02,13,9,75,2
454,Mountain View,2019-03-10,35,15,86,5
455,San Jose,2019-03-02,33,16,76,1
456,Sunnyvale,2019-03-10,22,6,74,3
457,San Jose,2019-03-01,24,19,78,3
458,Union City,2019-03-12,37,21,92,10
459,Hercules,2019-03-09,51,28,77,2
460,Vacaville,2019-03-11,15,1,88,2
461,Fairfield,2019-03-04,43,22,85,6
462,Menlo Park,2019-03-12,21,11,80,10
463,Gilroy,2019-03-13,38,28,78,6
464,Half Moon Bay,2019-03-14,31,24,82,10
465,San Ramon,2019-03-01,45,24,87,9
466,San Jose,2019-03-09,37,22,94,4
467,Gilroy,2019-03-01,35,29,91,1
468,Sunnyvale,2019-03-08,23,24,80,1
469,San Carlos,2019-03-05,21,8,87,3
470,Fremont,2019-03-02,20,27,73,1
471,Concord,2019-03-07,33,10,90,9
472,Morgan Hill,2019-03-01,40,23,74,11
473,Sebastopol,2019-03-08,25,8,90,11
474,Alameda,2019-03-04,19,6,74,1
475,Milpitas,2019-03-07,34,27,75,8
476,Fremont,2019-03-01,15,0,84,1
477,San Jose,2019-03-14,29,19,74,6
478,San Carlos,2019-03-14,31,15,72,12
479,Santa Rosa,2019-03-05,41,20,80,6
480,San Ramon,2019-03-10,17,22,91,6
481,Danville,2019-03-13,28,21,89,2
482,Menlo Park,2019-03-05,28,21,86,10
483,Vallejo,2019-03-10,27,10,76,11
484,Palo Alto,2019-03-06,20,18,91,12
485,Alameda,2019-03-10,16,3,86,7
486,Berkeley,2019-03-12,34,16,90,11
487,Oakland,2019-03-11,43,24,76,11
488,Lafayette,2019-03-14,20,12,92,7
489,Burlingame,2019-03-10,46,26,81,10
490,Sunnyvale,2019-03-01,32,19,90,10
491,Cupertino,2019-03-07,33,21,91,1
492,Foster City,2019-03-09,22,6,76,5
493,Vallejo,2019-03-01,25,10,83,5
494,Vallejo,2019-03-02,46,26,76,10
495,Newark,2019-03-11,15,6,89,5
496,Oakland,2019-03-04,32,11,87,12
497,Livermore,2019-03-14,24,15,92,11
498,Pleasant Hill,2019-03-13,19,15,75,11
499,Redwood City,2019-03-05,35,15,86,1
500,Berkeley,2019-03-10,24,25,76,11
501,Windsor,2019-03-14,37,16,89,5
502,Walnut Creek,2019-03-08,27,28,84,4
503,Santa Clara,2019-03-11,13,8,77,10
504,Castro Valley,2019-03-04,29,20,73,6
505,San Leandro,2019-03-07,24,9,94,3
506,Fremont,2019-03-06,16,1,78,8
507,Mountain View,2019-03-03,57,26,83,8
508,Santa Rosa,2019-03-07,15,12,76,10
509,Santa Clara,2019-03-04,15,0,82,9
510,Albany,2019-03-09,20,5,71,3
511,Sunnyvale,2019-03-05,21,6,92,4
512,San Mateo,2019-03-11,33,15,91,5
513,San Jose,2019-03-10,29,18,74,7
514,Lafayette,2019-03-10,41,14,75,10
515,Petaluma,2019-03-12,23,19,78,12
516,Palo Alto,2019-03-11,15,7,90,9
517,San Francisco,2019-03-12,35,23,76,6
518,San Jose,2019-03-11,15,0,79,12
519,Walnut Creek,2019-03-06,32,17,85,4
520,San Leandro,2019-03-11,43,27,89,8
521,Santa Clara,2019-03-08,65,24,93,4
522,Morgan Hill,2019-03-08,37,24,82,3
523,Pleasanton,2019-03-14,17,2,76,12
524,San Mateo,2019-03-01,18,13,80,11
525,Los Gatos,2019-03-07,32,15,86,1
526,San Jose,2019-03-04,40,19,75,7
527,Oakland,2019-03-12,34,19,78,10
528,Daly City,2019-03-06,15,0,76,10
529,Cupertino,2019-03-02,30,28,73,7
530,San Carlos,2019-03-13,27,22,73,9
531,Lafayette,2019-03-01,51,29,87,11
532,San Jose,2019-03-13,29,18,85,11
533,Santa Rosa,2019-03-14,24,11,76,8
534,Napa,2019-03-12,46,25,84,8
535,Walnut Creek,2019-03-11,24,12,90,11
536,Concord,2019-03-09,21,12,93,5
537,Martinez,2019-03-01,32,24,80,1
538,Berkeley,2019-03-03,22,25,82,1
539,Walnut Creek,2019-03-09,36,17,94,1
540,El Sobrante,2019-03-06,22,9,76,12
541,Guerneville,2019-03-01,28,11,89,2
542,Kenwood,2019-03-05,25,27,90,10
543,Kenwood,2019-03-01,41,23,92,8
544,Montara,2019-03-01,20,8,89,8
545,San Anselmo,2019-03-01,23,28,89,3
546,Stanford,2019-03-01,47,29,73,5
547,Pinole,2019-03-01,26,18,91,6
548,Alamo,2019-03-01,32,12,81,3
549,Novato,2019-03-12,21,6,77,9
550,Novato,2019-03-02,15,1,71,3
551,Discovery Bay,2019-03-12,25,23,70,11
552,Discovery Bay,2019-03-10,28,15,85,11
553,Bodega Bay,2019-03-01,44,28,80,2
554,Seattle,2019-03-09,13,14,64,5
555,Moraga,2019-03-01,48,23,70,10
556,Moraga,2019-03-07,21,12,73,4
557,Morgan Hill,2019-03-04,44,29,72,6
558,Lafayette,2019-03-06,16,1,86,4
559,Bolinas,2019-03-06,38,22,92,7
560,Larkspur,2019-03-03,46,23,85,4
561,Petaluma,2019-03-06,31,10,91,9
562,Union City,2019-03-06,37,19,71,3
563,Union City,2019-03-09,15,1,79,8
564,Clayton,2019-03-14,20,6,72,10
565,Tomales,2019-03-11,25,23,89,2
566,Tomales,2019-03-04,36,28,85,8
567,Toronto,2019-03-13,15,1,62,15
568,Marshall,2019-03-01,13,5,86,8
569,Tiburon,2019-03-05,51,20,94,11
570,Calistoga,2019-03-05,28,12,73,5
571,Rutherford,2019-03-01,41,28,86,10
572,San Bruno,2019-03-08,33,10,91,11
573,Fresno,2019-03-03,31,18,77,8
574,Palo Alto,2019-03-01,19,4,79,4
575,Inverness,2019-03-10,18,3,90,7
576,Alamo,2019-03-04,31,24,94,1
577,Hayward,2019-03-01,16,9,80,3
578,Valley Ford,2019-03-12,34,11,92,1
579,Discovery Bay,2019-03-09,18,11,89,6
580,"Olema, California",2019-03-13,14,14,90,7
581,Stanford,2019-03-11,18,9,86,3
582,American Canyon,2019-03-11,26,16,87,12
583,Cotati,2019-03-13,16,1,76,6
584,Palo Alto,2019-03-14,17,7,82,12
585,Brisbane,2019-03-01,56,26,78,12
586,Healdsburg,2019-03-01,19,9,71,8
587,Duncans Mills,2019-03-05,15,1,90,11
588,Montara,2019-03-14,38,21,77,5
589,Point Reyes Station,2019-03-01,16,3,81,11
590,Eldridge,2019-03-14,27,23,73,1
591,Marshall,2019-03-04,38,17,86,7
592,Pittsburg,2019-03-01,15,3,87,6
593,Woodside,2019-03-05,41,26,86,4
594,South San Francisco,2019-03-01,16,1,83,6
595,Pescadero,2019-03-08,35,20,94,6
596,Pescadero,2019-03-14,21,16,73,2
597,Burlingame,2019-03-12,20,3,78,9
598,Burlingame,2019-03-04,31,14,72,4
599,Forestville,2019-03-09,27,25,78,4
600,Pleasanton,2019-03-06,17,13,77,2
601,Fremont,2019-03-07,37,21,79,10
602,Valley Ford,2019-03-14,33,24,92,2
603,Pleasant Hill,2019-03-01,30,9,94,5
604,Cotati,2019-03-01,17,5,86,8
605,El Sobrante,2019-03-01,49,24,70,5
606,Santa Clara,2019-03-06,30,18,89,6
607,Richmond,2019-03-11,40,28,75,8
608,Hercules,2019-03-03,16,2,86,3
609,Los Altos,2019-03-05,17,2,78,1
610,Alamo,2019-03-02,20,19,82,12
611,Pacifica,2019-03-08,26,17,75,10
