,class,date_of_journey,from,from_station,journey_start_time,number_of_adults,to,to_station,total,trip_protection
63,Flexible,2019-03-05,Anaheim,Anaheim Intermodal Center,12:30,1,Sacramento,Sacramento Valley Station,162,True
64,Flexible,2019-03-05,Anaheim,Anaheim Intermodal Center,14:50,1,Sacramento,Sacramento Valley Station,180,True
65,Flexible,2019-03-05,Anaheim,Anaheim Intermodal Center,17:00,1,Sacramento,Sacramento Valley Station,142,True
66,Flexible,2019-03-05,Anaheim,Anaheim Intermodal Center,17:10,1,Sacramento,Sacramento Valley Station,155,True
67,Flexible,2019-03-05,Anaheim,Anaheim Intermodal Center,18:00,1,Sacramento,Sacramento Valley Station,139,True
68,Value,2019-03-05,Sacramento,Sacramento Valley Station,06:30,1,San Diego,Santa Fe Depot,154,True
69,Value,2019-03-05,Sacramento,Sacramento Valley Station,07:20,1,San Diego,Santa Fe Depot,158,True
70,Value,2019-03-05,Sacramento,Sacramento Valley Station,07:30,1,San Diego,Santa Fe Depot,146,True
71,Value,2019-03-05,Sacramento,Sacramento Valley Station,08:00,1,San Diego,Santa Fe Depot,156,True
72,Value,2019-03-05,Sacramento,Sacramento Valley Station,08:10,1,San Diego,Santa Fe Depot,143,True
73,Value,2019-03-05,Sacramento,Sacramento Valley Station,08:30,1,San Diego,Santa Fe Depot,150,True
74,Value,2019-03-05,Sacramento,Sacramento Valley Station,08:40,1,San Diego,Santa Fe Depot,152,True
75,Value,2019-03-05,Sacramento,Sacramento Valley Station,09:30,1,San Diego,Santa Fe Depot,151,True
76,Value,2019-03-05,Sacramento,Sacramento Valley Station,09:50,1,San Diego,Santa Fe Depot,150,True
77,Value,2019-03-05,Sacramento,Sacramento Valley Station,10:10,1,San Diego,Santa Fe Depot,149,True
78,Value,2019-03-02,Anaheim,Anaheim Intermodal Center,06:50,1,Sacramento,Sacramento Valley Station,131,True
79,Value,2019-03-02,Anaheim,Anaheim Intermodal Center,07:10,1,Sacramento,Sacramento Valley Station,149,True
80,Value,2019-03-02,Anaheim,Anaheim Intermodal Center,07:40,1,Sacramento,Sacramento Valley Station,143,True
81,Value,2019-03-02,Anaheim,Anaheim Intermodal Center,08:10,1,Sacramento,Sacramento Valley Station,128,True
82,Value,2019-03-02,Anaheim,Anaheim Intermodal Center,11:00,1,Sacramento,Sacramento Valley Station,135,True
83,Value,2019-03-02,Anaheim,Anaheim Intermodal Center,12:30,1,Sacramento,Sacramento Valley Station,140,True
84,Value,2019-03-02,Anaheim,Anaheim Intermodal Center,14:50,1,Sacramento,Sacramento Valley Station,143,True
85,Value,2019-03-02,Anaheim,Anaheim Intermodal Center,17:00,1,Sacramento,Sacramento Valley Station,129,True
86,Value,2019-03-02,Anaheim,Anaheim Intermodal Center,17:10,1,Sacramento,Sacramento Valley Station,120,True
87,Value,2019-03-02,Anaheim,Anaheim Intermodal Center,18:00,1,Sacramento,Sacramento Valley Station,128,True
88,Value,2019-03-02,Chicago,Chicago Union Station,07:30,1,New York,Grand Central Station,120,True
89,Value,2019-03-02,Chicago,Chicago Union Station,08:00,1,New York,Grand Central Station,109,True
90,Value,2019-03-02,Chicago,Chicago Union Station,08:10,1,New York,Grand Central Station,133,True
91,Value,2019-03-02,Chicago,Chicago Union Station,09:40,1,New York,Grand Central Station,132,True
92,Value,2019-03-02,Chicago,Chicago Union Station,10:50,1,New York,Grand Central Station,111,True
93,Value,2019-03-02,Chicago,Chicago Union Station,17:40,1,New York,Grand Central Station,103,True
94,Value,2019-03-02,Chicago,Chicago Union Station,18:00,1,New York,Grand Central Station,119,True
95,Value,2019-03-02,Chicago,Chicago Union Station,07:30,2,New York,Grand Central Station,229,True
96,Value,2019-03-02,Chicago,Chicago Union Station,08:00,2,New York,Grand Central Station,207,True
97,Value,2019-03-02,Chicago,Chicago Union Station,08:10,2,New York,Grand Central Station,248,True
98,Value,2019-03-02,Chicago,Chicago Union Station,09:40,2,New York,Grand Central Station,247,True
99,Value,2019-03-02,Chicago,Chicago Union Station,10:50,2,New York,Grand Central Station,210,True
100,Value,2019-03-02,Chicago,Chicago Union Station,17:40,2,New York,Grand Central Station,197,True
101,Value,2019-03-02,Chicago,Chicago Union Station,18:00,2,New York,Grand Central Station,220,True
102,Value,2019-03-09,Anaheim,Anaheim Intermodal Center,06:30,1,Phoenix,Phoenix Union Station,126,True
103,Value,2019-03-09,Anaheim,Anaheim Intermodal Center,06:40,1,Phoenix,Phoenix Union Station,125,True
104,Value,2019-03-09,Anaheim,Anaheim Intermodal Center,12:00,1,Phoenix,Phoenix Union Station,138,True
105,Value,2019-03-09,Anaheim,Anaheim Intermodal Center,14:50,1,Phoenix,Phoenix Union Station,140,True
106,Value,2019-03-03,Fresno,Fresno Station,07:20,1,Los Angeles,Union Station,76,True
107,Value,2019-03-03,Fresno,Fresno Station,07:40,1,Los Angeles,Union Station,71,True
108,Value,2019-03-03,Fresno,Fresno Station,08:30,1,Los Angeles,Union Station,75,True
109,Value,2019-03-03,Fresno,Fresno Station,09:00,1,Los Angeles,Union Station,64,True
110,Value,2019-03-03,Fresno,Fresno Station,12:10,1,Los Angeles,Union Station,68,True
111,Value,2019-03-03,Fresno,Fresno Station,13:00,1,Los Angeles,Union Station,70,True
112,Value,2019-03-03,Fresno,Fresno Station,15:40,1,Los Angeles,Union Station,62,True
113,Value,2019-03-03,Fresno,Fresno Station,15:50,1,Los Angeles,Union Station,74,True
114,Value,2019-03-03,Fresno,Fresno Station,16:30,1,Los Angeles,Union Station,60,True
115,Value,2019-03-13,Anaheim,Anaheim Intermodal Center,06:30,1,San Diego,Santa Fe Depot,52,True
116,Value,2019-03-13,Anaheim,Anaheim Intermodal Center,12:00,1,San Diego,Santa Fe Depot,48,True
117,Value,2019-03-13,Anaheim,Anaheim Intermodal Center,13:00,1,San Diego,Santa Fe Depot,51,True
118,Value,2019-03-13,Anaheim,Anaheim Intermodal Center,14:50,1,San Diego,Santa Fe Depot,48,True
119,Value,2019-03-13,Anaheim,Anaheim Intermodal Center,16:40,1,San Diego,Santa Fe Depot,45,True
120,Value,2019-03-13,Anaheim,Anaheim Intermodal Center,17:40,1,San Diego,Santa Fe Depot,50,True
121,Value,2019-03-13,Anaheim,Anaheim Intermodal Center,19:20,1,San Diego,Santa Fe Depot,54,True
122,Business,2019-03-04,Anaheim,Anaheim Intermodal Center,06:50,1,Sacramento,Sacramento Valley Station,184,True
123,Business,2019-03-04,Anaheim,Anaheim Intermodal Center,07:10,1,Sacramento,Sacramento Valley Station,178,True
124,Business,2019-03-04,Anaheim,Anaheim Intermodal Center,07:40,1,Sacramento,Sacramento Valley Station,190,True
125,Business,2019-03-04,Anaheim,Anaheim Intermodal Center,08:10,1,Sacramento,Sacramento Valley Station,184,True
126,Business,2019-03-04,Anaheim,Anaheim Intermodal Center,11:00,1,Sacramento,Sacramento Valley Station,175,True
127,Business,2019-03-04,Anaheim,Anaheim Intermodal Center,12:30,1,Sacramento,Sacramento Valley Station,170,True
128,Business,2019-03-04,Anaheim,Anaheim Intermodal Center,14:50,1,Sacramento,Sacramento Valley Station,190,True
129,Business,2019-03-04,Anaheim,Anaheim Intermodal Center,17:00,1,Sacramento,Sacramento Valley Station,172,True
130,Business,2019-03-04,Anaheim,Anaheim Intermodal Center,17:10,1,Sacramento,Sacramento Valley Station,159,True
131,Business,2019-03-04,Anaheim,Anaheim Intermodal Center,18:00,1,Sacramento,Sacramento Valley Station,171,True
132,Value,2019-03-10,New York,Grand Central Station,07:20,1,Washington,Union Station,65,True
133,Value,2019-03-10,New York,Grand Central Station,08:20,1,Washington,Union Station,72,True
134,Value,2019-03-10,New York,Grand Central Station,11:30,1,Washington,Union Station,75,True
135,Value,2019-03-10,New York,Grand Central Station,13:00,1,Washington,Union Station,64,True
136,Value,2019-03-10,New York,Grand Central Station,13:40,1,Washington,Union Station,70,True
137,Value,2019-03-10,New York,Grand Central Station,13:50,1,Washington,Union Station,69,True
138,Value,2019-03-10,New York,Grand Central Station,14:40,1,Washington,Union Station,74,True
139,Value,2019-03-10,New York,Grand Central Station,14:50,1,Washington,Union Station,72,True
140,Value,2019-03-10,New York,Grand Central Station,15:00,1,Washington,Union Station,70,True
141,Value,2019-03-06,Los Angeles,Union Station,07:10,1,Fresno,Fresno Station,72,True
142,Value,2019-03-06,Los Angeles,Union Station,07:50,1,Fresno,Fresno Station,77,True
143,Value,2019-03-06,Los Angeles,Union Station,08:00,1,Fresno,Fresno Station,72,True
144,Value,2019-03-06,Los Angeles,Union Station,09:00,1,Fresno,Fresno Station,69,True
145,Value,2019-03-06,Los Angeles,Union Station,13:50,1,Fresno,Fresno Station,78,True
146,Value,2019-03-06,Los Angeles,Union Station,14:50,1,Fresno,Fresno Station,60,True
147,Value,2019-03-06,Los Angeles,Union Station,15:40,1,Fresno,Fresno Station,78,True
148,Value,2019-03-06,Los Angeles,Union Station,16:40,1,Fresno,Fresno Station,73,True
149,Value,2019-03-06,Los Angeles,Union Station,19:50,1,Fresno,Fresno Station,66,True
150,Value,2019-03-09,San Diego,Santa Fe Depot,06:50,1,Fresno,Fresno Station,85,True
151,Value,2019-03-09,San Diego,Santa Fe Depot,10:20,1,Fresno,Fresno Station,79,True
152,Value,2019-03-09,San Diego,Santa Fe Depot,12:40,1,Fresno,Fresno Station,81,True
153,Value,2019-03-09,San Diego,Santa Fe Depot,15:00,1,Fresno,Fresno Station,76,True
154,Value,2019-03-09,San Diego,Santa Fe Depot,15:30,1,Fresno,Fresno Station,79,True
155,Value,2019-03-09,San Diego,Santa Fe Depot,16:10,1,Fresno,Fresno Station,77,True
156,Value,2019-03-09,San Diego,Santa Fe Depot,19:20,1,Fresno,Fresno Station,81,True
157,Value,2019-03-05,Washington,Union Station,06:00,1,Philadelphia,30th Street Station,61,True
158,Value,2019-03-05,Washington,Union Station,07:20,1,Philadelphia,30th Street Station,58,True
159,Value,2019-03-05,Washington,Union Station,08:00,1,Philadelphia,30th Street Station,54,True
160,Value,2019-03-05,Washington,Union Station,08:20,1,Philadelphia,30th Street Station,57,True
161,Value,2019-03-05,Washington,Union Station,08:40,1,Philadelphia,30th Street Station,60,True
162,Value,2019-03-05,Washington,Union Station,10:20,1,Philadelphia,30th Street Station,58,True
163,Value,2019-03-05,Washington,Union Station,10:50,1,Philadelphia,30th Street Station,63,True
164,Value,2019-03-05,Washington,Union Station,17:50,1,Philadelphia,30th Street Station,59,True
165,Value,2019-03-07,San Francisco,Salesforce Transit Center,06:00,1,San Diego,Santa Fe Depot,89,True
166,Value,2019-03-07,San Francisco,Salesforce Transit Center,09:20,1,San Diego,Santa Fe Depot,102,True
167,Value,2019-03-07,San Francisco,Salesforce Transit Center,12:00,1,San Diego,Santa Fe Depot,96,True
168,Value,2019-03-07,San Francisco,Salesforce Transit Center,17:00,1,San Diego,Santa Fe Depot,99,True
169,Value,2019-03-07,San Francisco,Salesforce Transit Center,17:20,1,San Diego,Santa Fe Depot,100,True
170,Value,2019-03-07,San Francisco,Salesforce Transit Center,19:40,1,San Diego,Santa Fe Depot,95,True
171,Value,2019-03-13,Phoenix,Phoenix Union Station,07:00,1,Los Angeles,Union Station,87,True
172,Value,2019-03-13,Phoenix,Phoenix Union Station,07:20,1,Los Angeles,Union Station,90,True
173,Value,2019-03-13,Phoenix,Phoenix Union Station,08:40,1,Los Angeles,Union Station,90,True
174,Value,2019-03-13,Phoenix,Phoenix Union Station,16:00,1,Los Angeles,Union Station,85,True
175,Value,2019-03-13,Phoenix,Phoenix Union Station,18:20,1,Los Angeles,Union Station,89,True
176,Value,2019-03-07,Phoenix,Phoenix Union Station,08:30,3,San Diego,Santa Fe Depot,199,True
177,Value,2019-03-07,Phoenix,Phoenix Union Station,09:40,3,San Diego,Santa Fe Depot,232,True
178,Value,2019-03-07,Phoenix,Phoenix Union Station,14:50,3,San Diego,Santa Fe Depot,200,True
179,Value,2019-03-07,Phoenix,Phoenix Union Station,17:40,3,San Diego,Santa Fe Depot,202,True
180,Value,2019-03-07,Phoenix,Phoenix Union Station,18:20,3,San Diego,Santa Fe Depot,212,True
181,Value,2019-03-11,Sacramento,Sacramento Valley Station,08:00,1,Fresno,Fresno Station,64,True
182,Value,2019-03-11,Sacramento,Sacramento Valley Station,08:40,1,Fresno,Fresno Station,66,True
183,Value,2019-03-11,Sacramento,Sacramento Valley Station,10:10,1,Fresno,Fresno Station,59,True
184,Value,2019-03-11,Sacramento,Sacramento Valley Station,14:40,1,Fresno,Fresno Station,60,True
185,Value,2019-03-11,Sacramento,Sacramento Valley Station,15:20,1,Fresno,Fresno Station,66,True
186,Value,2019-03-11,Sacramento,Sacramento Valley Station,16:10,1,Fresno,Fresno Station,63,True
187,Value,2019-03-11,Sacramento,Sacramento Valley Station,17:40,1,Fresno,Fresno Station,72,True
188,Flexible,2019-03-06,San Diego,Santa Fe Depot,06:40,1,San Francisco,Salesforce Transit Center,103,True
189,Flexible,2019-03-06,San Diego,Santa Fe Depot,08:00,1,San Francisco,Salesforce Transit Center,124,True
190,Flexible,2019-03-06,San Diego,Santa Fe Depot,10:40,1,San Francisco,Salesforce Transit Center,133,True
191,Flexible,2019-03-06,San Diego,Santa Fe Depot,13:10,1,San Francisco,Salesforce Transit Center,118,True
192,Flexible,2019-03-06,San Diego,Santa Fe Depot,16:10,1,San Francisco,Salesforce Transit Center,117,True
193,Flexible,2019-03-06,San Diego,Santa Fe Depot,18:40,1,San Francisco,Salesforce Transit Center,120,True
194,Flexible,2019-03-06,San Diego,Santa Fe Depot,19:10,1,San Francisco,Salesforce Transit Center,121,True
195,Value,2019-03-01,San Francisco,Salesforce Transit Center,06:10,1,Sacramento,Sacramento Valley Station,42,True
196,Value,2019-03-01,San Francisco,Salesforce Transit Center,06:20,1,Sacramento,Sacramento Valley Station,46,True
197,Value,2019-03-01,San Francisco,Salesforce Transit Center,06:50,1,Sacramento,Sacramento Valley Station,55,True
198,Value,2019-03-01,San Francisco,Salesforce Transit Center,10:20,1,Sacramento,Sacramento Valley Station,45,True
199,Value,2019-03-01,San Francisco,Salesforce Transit Center,10:50,1,Sacramento,Sacramento Valley Station,51,True
200,Value,2019-03-01,San Francisco,Salesforce Transit Center,12:30,1,Sacramento,Sacramento Valley Station,50,True
201,Value,2019-03-01,San Francisco,Salesforce Transit Center,12:40,1,Sacramento,Sacramento Valley Station,49,True
202,Value,2019-03-01,San Francisco,Salesforce Transit Center,16:50,1,Sacramento,Sacramento Valley Station,44,True
203,Value,2019-03-01,San Francisco,Salesforce Transit Center,18:50,1,Sacramento,Sacramento Valley Station,48,True
204,Value,2019-03-06,San Francisco,Salesforce Transit Center,06:10,2,Sacramento,Sacramento Valley Station,82,True
205,Value,2019-03-06,San Francisco,Salesforce Transit Center,06:20,2,Sacramento,Sacramento Valley Station,89,True
206,Value,2019-03-06,San Francisco,Salesforce Transit Center,06:50,2,Sacramento,Sacramento Valley Station,97,True
207,Value,2019-03-06,San Francisco,Salesforce Transit Center,10:20,2,Sacramento,Sacramento Valley Station,80,True
208,Value,2019-03-06,San Francisco,Salesforce Transit Center,10:50,2,Sacramento,Sacramento Valley Station,83,True
209,Value,2019-03-06,San Francisco,Salesforce Transit Center,12:30,2,Sacramento,Sacramento Valley Station,78,True
210,Value,2019-03-06,San Francisco,Salesforce Transit Center,12:40,2,Sacramento,Sacramento Valley Station,79,True
211,Value,2019-03-06,San Francisco,Salesforce Transit Center,16:50,2,Sacramento,Sacramento Valley Station,79,True
212,Value,2019-03-06,San Francisco,Salesforce Transit Center,18:50,2,Sacramento,Sacramento Valley Station,79,True
213,Flexible,2019-03-01,Vancouver,Pacific Central Station,06:50,1,Portland,Union Station,91,True
214,Flexible,2019-03-01,Vancouver,Pacific Central Station,08:10,1,Portland,Union Station,95,True
215,Flexible,2019-03-01,Vancouver,Pacific Central Station,08:20,1,Portland,Union Station,92,True
216,Flexible,2019-03-01,Vancouver,Pacific Central Station,08:40,1,Portland,Union Station,107,True
217,Flexible,2019-03-01,Vancouver,Pacific Central Station,12:00,1,Portland,Union Station,100,True
218,Flexible,2019-03-01,Vancouver,Pacific Central Station,14:10,1,Portland,Union Station,91,True
219,Flexible,2019-03-01,Vancouver,Pacific Central Station,16:10,1,Portland,Union Station,103,True
220,Flexible,2019-03-01,Vancouver,Pacific Central Station,16:20,1,Portland,Union Station,93,True
221,Value,2019-03-07,Los Angeles,Union Station,06:50,1,San Diego,Santa Fe Depot,53,True
222,Value,2019-03-07,Los Angeles,Union Station,08:10,1,San Diego,Santa Fe Depot,56,True
223,Value,2019-03-07,Los Angeles,Union Station,09:50,1,San Diego,Santa Fe Depot,57,True
224,Value,2019-03-07,Los Angeles,Union Station,10:40,1,San Diego,Santa Fe Depot,51,True
225,Value,2019-03-07,Los Angeles,Union Station,12:00,1,San Diego,Santa Fe Depot,60,True
226,Value,2019-03-07,Los Angeles,Union Station,12:40,1,San Diego,Santa Fe Depot,52,True
227,Value,2019-03-07,Los Angeles,Union Station,13:40,1,San Diego,Santa Fe Depot,59,True
228,Value,2019-03-07,Los Angeles,Union Station,14:10,1,San Diego,Santa Fe Depot,53,True
229,Value,2019-03-07,Los Angeles,Union Station,17:40,1,San Diego,Santa Fe Depot,58,True
230,Value,2019-03-07,Los Angeles,Union Station,18:30,1,San Diego,Santa Fe Depot,54,True
231,Value,2019-03-06,Los Angeles,Union Station,07:50,1,San Francisco,Salesforce Transit Center,83,True
232,Value,2019-03-06,Los Angeles,Union Station,09:20,1,San Francisco,Salesforce Transit Center,83,True
233,Value,2019-03-06,Los Angeles,Union Station,11:00,1,San Francisco,Salesforce Transit Center,84,True
234,Value,2019-03-06,Los Angeles,Union Station,13:00,1,San Francisco,Salesforce Transit Center,85,True
235,Value,2019-03-06,Los Angeles,Union Station,17:30,1,San Francisco,Salesforce Transit Center,95,True
236,Value,2019-03-06,Los Angeles,Union Station,17:50,1,San Francisco,Salesforce Transit Center,92,True
237,Value,2019-03-06,Los Angeles,Union Station,18:40,1,San Francisco,Salesforce Transit Center,84,True
238,Value,2019-03-06,Los Angeles,Union Station,19:00,1,San Francisco,Salesforce Transit Center,92,True
239,Value,2019-03-03,Sacramento,Sacramento Valley Station,06:30,1,San Diego,Santa Fe Depot,142,True
240,Value,2019-03-03,Sacramento,Sacramento Valley Station,07:20,1,San Diego,Santa Fe Depot,141,True
241,Value,2019-03-03,Sacramento,Sacramento Valley Station,07:30,1,San Diego,Santa Fe Depot,152,True
242,Value,2019-03-03,Sacramento,Sacramento Valley Station,08:00,1,San Diego,Santa Fe Depot,152,True
243,Value,2019-03-03,Sacramento,Sacramento Valley Station,08:10,1,San Diego,Santa Fe Depot,148,True
244,Value,2019-03-03,Sacramento,Sacramento Valley Station,08:30,1,San Diego,Santa Fe Depot,162,True
245,Value,2019-03-03,Sacramento,Sacramento Valley Station,08:40,1,San Diego,Santa Fe Depot,145,True
246,Value,2019-03-03,Sacramento,Sacramento Valley Station,09:30,1,San Diego,Santa Fe Depot,160,True
247,Value,2019-03-03,Sacramento,Sacramento Valley Station,09:50,1,San Diego,Santa Fe Depot,161,True
248,Value,2019-03-03,Sacramento,Sacramento Valley Station,10:10,1,San Diego,Santa Fe Depot,142,True
249,Flexible,2019-03-08,Los Angeles,Union Station,06:50,1,San Diego,Santa Fe Depot,77,True
250,Flexible,2019-03-08,Los Angeles,Union Station,08:10,1,San Diego,Santa Fe Depot,72,True
251,Flexible,2019-03-08,Los Angeles,Union Station,09:50,1,San Diego,Santa Fe Depot,70,True
252,Flexible,2019-03-08,Los Angeles,Union Station,10:40,1,San Diego,Santa Fe Depot,70,True
253,Flexible,2019-03-08,Los Angeles,Union Station,12:00,1,San Diego,Santa Fe Depot,77,True
254,Flexible,2019-03-08,Los Angeles,Union Station,12:40,1,San Diego,Santa Fe Depot,74,True
255,Flexible,2019-03-08,Los Angeles,Union Station,13:40,1,San Diego,Santa Fe Depot,75,True
256,Flexible,2019-03-08,Los Angeles,Union Station,14:10,1,San Diego,Santa Fe Depot,74,True
257,Flexible,2019-03-08,Los Angeles,Union Station,17:40,1,San Diego,Santa Fe Depot,69,True
258,Flexible,2019-03-08,Los Angeles,Union Station,18:30,1,San Diego,Santa Fe Depot,73,True
259,Flexible,2019-03-11,San Francisco,Salesforce Transit Center,06:00,2,San Diego,Santa Fe Depot,232,True
260,Flexible,2019-03-11,San Francisco,Salesforce Transit Center,09:20,2,San Diego,Santa Fe Depot,236,True
261,Flexible,2019-03-11,San Francisco,Salesforce Transit Center,12:00,2,San Diego,Santa Fe Depot,247,True
262,Flexible,2019-03-11,San Francisco,Salesforce Transit Center,17:00,2,San Diego,Santa Fe Depot,226,True
263,Flexible,2019-03-11,San Francisco,Salesforce Transit Center,17:20,2,San Diego,Santa Fe Depot,211,True
264,Flexible,2019-03-11,San Francisco,Salesforce Transit Center,19:40,2,San Diego,Santa Fe Depot,223,True
265,Value,2019-03-11,San Diego,Santa Fe Depot,06:10,1,Los Angeles,Union Station,56,True
266,Value,2019-03-11,San Diego,Santa Fe Depot,06:40,1,Los Angeles,Union Station,57,True
267,Value,2019-03-11,San Diego,Santa Fe Depot,07:30,1,Los Angeles,Union Station,60,True
