,airlines,arrives_next_day,departure_date,destination_airport_name,destination_city,flight_class,number_checked_bags,number_stops,origin_airport_name,origin_city,outbound_arrival_time,outbound_departure_time,passengers,price,inbound_arrival_time,inbound_departure_time,return_date
25,Delta Airlines,False,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Heathrow International Airport,London,20:32,11:50,1,413,,,
26,American Airlines,False,2019-03-08,Dulles International Airport,Washington,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,11:31,09:40,1,119,,,
27,Delta Airlines,False,2019-03-08,Dulles International Airport,Washington,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,19:46,17:55,1,106,,,
28,Southwest Airlines,False,2019-03-08,Dulles International Airport,Washington,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,06:26,04:35,1,101,,,
29,United Airlines,False,2019-03-08,Dulles International Airport,Washington,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,08:41,06:50,1,106,,,
30,American Airlines,False,2019-03-04,PDX International Airport,Portland,Economy,0,1,Sky Harbor International Airport,Phoenix,15:28,09:30,1,260,,,
31,Delta Airlines,False,2019-03-04,PDX International Airport,Portland,Economy,0,1,Sky Harbor International Airport,Phoenix,12:03,07:45,1,242,,,
32,Southwest Airlines,False,2019-03-04,PDX International Airport,Portland,Economy,0,0,Sky Harbor International Airport,Phoenix,18:25,15:30,1,128,,,
33,United Airlines,False,2019-03-04,PDX International Airport,Portland,Economy,0,0,Sky Harbor International Airport,Phoenix,16:55,14:00,1,163,,,
34,Delta Airlines,False,2019-03-07,Dulles International Airport,Washington,Economy,0,0,O'Hare International Airport,Chicago,17:28,14:30,1,109,,,
35,American Airlines,False,2019-03-03,O'Hare International Airport,Chicago,Economy,0,0,Heathrow International Airport,London,06:54,02:25,1,235,,,
36,British Airways,True,2019-03-03,O'Hare International Airport,Chicago,Economy,0,0,Heathrow International Airport,London,03:29,23:00,1,243,,,
37,Delta Airlines,False,2019-03-03,O'Hare International Airport,Chicago,Economy,0,0,Heathrow International Airport,London,13:49,09:20,1,223,,,
38,United Airlines,False,2019-03-03,O'Hare International Airport,Chicago,Economy,0,0,Heathrow International Airport,London,13:59,09:30,1,234,,,
39,American Airlines,True,2019-03-01,Heathrow International Airport,London,Economy,0,1,Dulles International Airport,Washington,08:02,13:00,1,303,,,
40,Delta Airlines,True,2019-03-01,Heathrow International Airport,London,Economy,0,1,Dulles International Airport,Washington,08:02,17:55,1,292,,,
41,Southwest Airlines,False,2019-03-01,Heathrow International Airport,London,Economy,0,1,Dulles International Airport,Washington,21:07,05:15,1,316,,,
42,United Airlines,False,2019-03-01,Heathrow International Airport,London,Economy,0,1,Dulles International Airport,Washington,21:07,05:05,1,323,,,
43,Alaska Airlines,True,2019-03-11,Benito Juarez International Airport,Mexico City,Economy,0,1,Seattle-Tacoma International Airport,Seattle,05:00,18:25,1,306,,,
44,American Airlines,True,2019-03-11,Benito Juarez International Airport,Mexico City,Economy,0,1,Seattle-Tacoma International Airport,Seattle,01:35,13:40,1,287,,,
45,United Airlines,True,2019-03-11,Benito Juarez International Airport,Mexico City,Economy,0,1,Seattle-Tacoma International Airport,Seattle,01:35,15:05,1,284,,,
46,American Airlines,False,2019-03-13,O'Hare International Airport,Chicago,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,07:06,06:05,1,116,,,
47,Delta Airlines,False,2019-03-13,O'Hare International Airport,Chicago,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,12:21,11:20,1,106,,,
48,United Airlines,False,2019-03-13,O'Hare International Airport,Chicago,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,20:51,19:50,1,120,,,
49,Alaska Airlines,True,2019-03-07,Sky Harbor International Airport,Phoenix,Economy,0,0,SAN International Airport,San Diego,00:15,22:55,1,97,,,
50,American Airlines,True,2019-03-04,Charles de Gaulle International Airport,Paris,Economy,0,1,O'Hare International Airport,Chicago,14:22,14:40,1,402,,,
51,Delta Airlines,True,2019-03-04,Charles de Gaulle International Airport,Paris,Economy,0,1,O'Hare International Airport,Chicago,11:38,05:45,1,431,,,
52,Southwest Airlines,True,2019-03-04,Charles de Gaulle International Airport,Paris,Economy,0,0,O'Hare International Airport,Chicago,07:31,14:35,1,219,,,
53,United Airlines,True,2019-03-04,Charles de Gaulle International Airport,Paris,Economy,0,0,O'Hare International Airport,Chicago,09:46,16:50,1,235,,,
54,American Airlines,False,2019-03-03,YVR International Airport,Vancouver,Economy,0,1,Sky Harbor International Airport,Phoenix,15:47,09:30,1,246,,,
55,Southwest Airlines,False,2019-03-03,YVR International Airport,Vancouver,Economy,0,1,Sky Harbor International Airport,Phoenix,17:59,09:55,1,251,,,
56,United Airlines,False,2019-03-03,YVR International Airport,Vancouver,Economy,0,1,Sky Harbor International Airport,Phoenix,15:47,09:40,1,235,,,
57,Alaska Airlines,False,2019-03-13,Sky Harbor International Airport,Phoenix,Economy,0,0,SFO International Airport,San Francisco,18:17,16:10,1,131,,,
58,American Airlines,False,2019-03-05,SFO International Airport,San Francisco,Economy,0,1,Dulles International Airport,Washington,09:51,04:10,1,300,,,
59,Delta Airlines,False,2019-03-05,SFO International Airport,San Francisco,Economy,0,1,Dulles International Airport,Washington,18:26,12:35,1,301,,,
60,Southwest Airlines,False,2019-03-05,SFO International Airport,San Francisco,Economy,0,1,Dulles International Airport,Washington,13:46,07:55,1,345,,,
61,United Airlines,False,2019-03-05,SFO International Airport,San Francisco,Economy,0,1,Dulles International Airport,Washington,09:51,05:05,1,324,,,
62,Air Canada,False,2019-03-11,Seattle-Tacoma International Airport,Seattle,Economy,0,1,YVR International Airport,Vancouver,11:02,04:20,1,277,,,
63,American Airlines,False,2019-03-11,Seattle-Tacoma International Airport,Seattle,Economy,0,1,YVR International Airport,Vancouver,12:02,01:30,1,287,,,
64,Delta Airlines,False,2019-03-11,Seattle-Tacoma International Airport,Seattle,Economy,0,1,YVR International Airport,Vancouver,16:16,06:40,1,254,,,
65,United Airlines,False,2019-03-11,Seattle-Tacoma International Airport,Seattle,Economy,0,1,YVR International Airport,Vancouver,20:07,10:55,1,303,,,
66,American Airlines,True,2019-03-07,Seattle-Tacoma International Airport,Seattle,Economy,0,1,JFK International Airport,New York,01:17,18:50,1,296,,,
67,Delta Airlines,True,2019-03-07,Seattle-Tacoma International Airport,Seattle,Economy,0,1,JFK International Airport,New York,01:17,19:10,1,327,,,
68,Southwest Airlines,False,2019-03-07,Seattle-Tacoma International Airport,Seattle,Economy,0,1,JFK International Airport,New York,12:06,06:25,1,312,,,
69,United Airlines,True,2019-03-07,Seattle-Tacoma International Airport,Seattle,Economy,0,1,JFK International Airport,New York,00:33,19:40,1,295,,,
70,American Airlines,False,2019-03-13,Dulles International Airport,Washington,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,11:31,09:40,1,110,,,
71,Delta Airlines,False,2019-03-13,Dulles International Airport,Washington,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,19:46,17:55,1,111,,,
72,Southwest Airlines,False,2019-03-13,Dulles International Airport,Washington,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,06:26,04:35,1,103,,,
73,United Airlines,False,2019-03-13,Dulles International Airport,Washington,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,08:41,06:50,1,120,,,
74,Air Canada,True,2019-03-07,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Toronto Pearson International Airport,Toronto,01:17,17:35,1,283,,,
75,American Airlines,False,2019-03-07,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Toronto Pearson International Airport,Toronto,16:30,10:45,1,239,,,
76,Delta Airlines,True,2019-03-07,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Toronto Pearson International Airport,Toronto,01:17,18:45,1,337,,,
77,United Airlines,True,2019-03-07,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Toronto Pearson International Airport,Toronto,00:33,16:10,1,305,,,
78,Alaska Airlines,True,2019-03-03,JFK International Airport,New York,Economy,0,0,SFO International Airport,San Francisco,07:46,22:20,4,189,,,
79,American Airlines,False,2019-03-03,JFK International Airport,New York,Economy,0,0,SFO International Airport,San Francisco,14:26,05:00,4,211,,,
80,Delta Airlines,True,2019-03-03,JFK International Airport,New York,Economy,0,0,SFO International Airport,San Francisco,04:01,18:35,4,205,,,
81,Southwest Airlines,True,2019-03-03,JFK International Airport,New York,Economy,0,0,SFO International Airport,San Francisco,09:11,23:45,4,197,,,
82,United Airlines,False,2019-03-03,JFK International Airport,New York,Economy,0,0,SFO International Airport,San Francisco,15:56,06:30,4,192,,,
83,Alaska Airlines,False,2019-03-03,O'Hare International Airport,Chicago,Economy,0,0,SFO International Airport,San Francisco,16:07,09:20,4,179,,,
84,American Airlines,False,2019-03-03,O'Hare International Airport,Chicago,Economy,0,1,SFO International Airport,San Francisco,19:30,09:30,4,317,,,
85,Delta Airlines,False,2019-03-03,O'Hare International Airport,Chicago,Economy,0,0,SFO International Airport,San Francisco,17:17,10:30,4,182,,,
86,Southwest Airlines,True,2019-03-03,O'Hare International Airport,Chicago,Economy,0,0,SFO International Airport,San Francisco,03:57,21:10,4,172,,,
87,United Airlines,True,2019-03-03,O'Hare International Airport,Chicago,Economy,0,0,SFO International Airport,San Francisco,05:47,23:00,4,151,,,
88,American Airlines,True,2019-03-04,Charles de Gaulle International Airport,Paris,Economy,0,1,McCarran International Airport,Las Vegas,14:53,13:55,1,407,,,
89,Delta Airlines,True,2019-03-04,Charles de Gaulle International Airport,Paris,Economy,0,1,McCarran International Airport,Las Vegas,14:53,14:25,1,404,,,
90,United Airlines,True,2019-03-04,Charles de Gaulle International Airport,Paris,Economy,0,1,McCarran International Airport,Las Vegas,11:38,11:00,1,346,,,
91,Alaska Airlines,True,2019-03-08,Charles de Gaulle International Airport,Paris,Economy,0,0,SFO International Airport,San Francisco,14:53,16:45,1,240,,,
92,American Airlines,True,2019-03-08,Charles de Gaulle International Airport,Paris,Economy,0,1,SFO International Airport,San Francisco,11:23,11:30,1,365,,,
93,Delta Airlines,True,2019-03-08,Charles de Gaulle International Airport,Paris,Economy,0,0,SFO International Airport,San Francisco,11:38,13:30,1,257,,,
94,Southwest Airlines,True,2019-03-08,Charles de Gaulle International Airport,Paris,Economy,0,0,SFO International Airport,San Francisco,08:58,10:50,1,261,,,
95,United Airlines,False,2019-03-02,SFO International Airport,San Francisco,Economy,0,0,McCarran International Airport,Las Vegas,17:55,16:20,1,86,,,
96,Delta Airlines,False,2019-03-06,McCarran International Airport,Las Vegas,Economy,0,1,Toronto Pearson International Airport,Toronto,23:20,18:45,1,254,,,
97,United Airlines,True,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Toronto Pearson International Airport,Toronto,00:33,16:10,1,315,,,
98,Southwest Airlines,False,2019-03-01,SAN International Airport,San Diego,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,21:49,18:35,1,242,,,
99,American Airlines,True,2019-03-11,Jomo Kenyatta International Airport,Nairobi,Economy,0,1,PHL International Airport,Philadelphia,10:22,08:45,1,370,,,
100,Southwest Airlines,True,2019-03-11,Jomo Kenyatta International Airport,Nairobi,Economy,0,1,PHL International Airport,Philadelphia,10:22,07:40,1,384,,,
101,American Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,JFK International Airport,New York,23:20,18:50,1,251,,,
102,Southwest Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,JFK International Airport,New York,12:00,06:25,1,292,,,
103,United Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,JFK International Airport,New York,23:20,17:10,1,275,,,
104,Alaska Airlines,False,2019-03-12,SAN International Airport,San Diego,Economy,0,1,Seattle-Tacoma International Airport,Seattle,15:29,11:10,2,207,,,
105,American Airlines,False,2019-03-12,SAN International Airport,San Diego,Economy,0,1,Seattle-Tacoma International Airport,Seattle,18:29,14:35,2,202,,,
106,Delta Airlines,False,2019-03-12,SAN International Airport,San Diego,Economy,0,1,Seattle-Tacoma International Airport,Seattle,17:25,13:25,2,236,,,
107,United Airlines,False,2019-03-12,SAN International Airport,San Diego,Economy,0,1,Seattle-Tacoma International Airport,Seattle,15:29,10:45,2,192,,,
108,American Airlines,False,2019-03-09,PDX International Airport,Portland,Economy,0,1,JFK International Airport,New York,15:28,09:15,1,308,,,
109,Delta Airlines,True,2019-03-09,PDX International Airport,Portland,Economy,0,1,JFK International Airport,New York,00:58,18:40,1,316,,,
110,United Airlines,False,2019-03-09,PDX International Airport,Portland,Economy,0,1,JFK International Airport,New York,17:58,11:15,1,327,,,
111,American Airlines,False,2019-03-01,SFO International Airport,San Francisco,Economy,0,1,PHL International Airport,Philadelphia,20:27,14:35,1,308,,,
112,Southwest Airlines,False,2019-03-01,SFO International Airport,San Francisco,Economy,0,1,PHL International Airport,Philadelphia,20:36,15:30,1,283,,,
113,United Airlines,False,2019-03-01,SFO International Airport,San Francisco,Economy,0,1,PHL International Airport,Philadelphia,11:37,06:40,1,312,,,
114,Delta Airlines,True,2019-03-14,Kingsford Smith International Airport,Sydney,Economy,0,1,SAN International Airport,San Diego,23:31,22:00,1,307,,,
115,American Airlines,False,2019-03-14,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Charles de Gaulle International Airport,Paris,15:32,05:05,1,444,,,
116,Delta Airlines,False,2019-03-14,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Charles de Gaulle International Airport,Paris,22:16,11:20,1,398,,,
117,United Airlines,False,2019-03-14,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Charles de Gaulle International Airport,Paris,11:41,01:30,1,446,,,
118,American Airlines,False,2019-03-10,JFK International Airport,New York,Economy,0,1,Sky Harbor International Airport,Phoenix,16:02,05:00,1,301,,,
119,United Airlines,True,2019-03-10,JFK International Airport,New York,Economy,0,1,Sky Harbor International Airport,Phoenix,06:20,18:10,1,305,,,
120,American Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Premium Economy,0,1,Benito Juarez International Airport,Mexico City,16:16,11:40,1,431,,,
121,Delta Airlines,True,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Benito Juarez International Airport,Mexico City,01:17,18:35,1,308,,,
122,United Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Benito Juarez International Airport,Mexico City,15:32,10:20,1,315,,,
123,Delta Airlines,True,2019-03-11,Benito Juarez International Airport,Mexico City,Economy,0,1,Sky Harbor International Airport,Phoenix,01:35,18:25,1,258,,,
124,Southwest Airlines,False,2019-03-11,Benito Juarez International Airport,Mexico City,Economy,0,1,Sky Harbor International Airport,Phoenix,23:19,09:15,1,290,,,
125,United Airlines,True,2019-03-11,Benito Juarez International Airport,Mexico City,Economy,0,1,Sky Harbor International Airport,Phoenix,01:35,18:10,1,249,,,
126,American Airlines,False,2019-03-12,YVR International Airport,Vancouver,Economy,0,1,Sky Harbor International Airport,Phoenix,15:47,11:00,1,237,,,
127,Delta Airlines,True,2019-03-12,YVR International Airport,Vancouver,Economy,0,1,Sky Harbor International Airport,Phoenix,00:57,19:55,1,228,,,
128,Southwest Airlines,False,2019-03-12,YVR International Airport,Vancouver,Economy,0,1,Sky Harbor International Airport,Phoenix,12:29,04:10,1,231,,,
129,United Airlines,False,2019-03-12,YVR International Airport,Vancouver,Economy,0,1,Sky Harbor International Airport,Phoenix,15:47,08:55,1,258,,,
130,Delta Airlines,True,2019-03-11,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,Jomo Kenyatta International Airport,Nairobi,00:52,09:50,1,431,,,
131,American Airlines,False,2019-03-08,JFK International Airport,New York,Premium Economy,0,0,Dulles International Airport,Washington,05:20,04:10,1,115,,,
132,Delta Airlines,False,2019-03-08,JFK International Airport,New York,Premium Economy,0,0,Dulles International Airport,Washington,13:45,12:35,1,121,,,
133,Southwest Airlines,False,2019-03-08,JFK International Airport,New York,Premium Economy,0,0,Dulles International Airport,Washington,06:25,05:15,1,133,,,
134,United Airlines,False,2019-03-08,JFK International Airport,New York,Premium Economy,0,0,Dulles International Airport,Washington,16:15,15:05,1,127,,,
135,American Airlines,False,2019-03-08,Heathrow International Airport,London,Economy,0,1,Dulles International Airport,Washington,21:07,04:10,1,300,,,
136,Delta Airlines,True,2019-03-08,Heathrow International Airport,London,Economy,0,1,Dulles International Airport,Washington,08:02,17:55,1,279,,,
137,Southwest Airlines,False,2019-03-08,Heathrow International Airport,London,Economy,0,1,Dulles International Airport,Washington,21:07,05:15,1,297,,,
138,United Airlines,False,2019-03-08,Heathrow International Airport,London,Economy,0,1,Dulles International Airport,Washington,21:07,05:05,1,295,,,
139,Delta Airlines,False,2019-03-11,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Kingsford Smith International Airport,Sydney,12:02,15:55,1,323,,,
140,Alaska Airlines,True,2019-03-04,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,LAX International Airport,Los Angeles,02:54,18:55,1,169,,,
141,American Airlines,False,2019-03-04,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,LAX International Airport,Los Angeles,14:09,06:10,1,156,,,
142,Delta Airlines,True,2019-03-04,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,LAX International Airport,Los Angeles,02:51,14:55,1,335,,,
143,Southwest Airlines,False,2019-03-04,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,LAX International Airport,Los Angeles,18:19,10:20,1,184,,,
144,United Airlines,True,2019-03-04,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,LAX International Airport,Los Angeles,02:29,18:30,1,175,,,
145,Alaska Airlines,False,2019-03-02,JFK International Airport,New York,Economy,0,1,LAX International Airport,Los Angeles,15:56,04:55,1,297,,,
146,American Airlines,True,2019-03-02,JFK International Airport,New York,Economy,0,1,LAX International Airport,Los Angeles,03:11,14:55,1,307,,,
147,Delta Airlines,True,2019-03-02,JFK International Airport,New York,Economy,0,0,LAX International Airport,Los Angeles,03:10,18:00,1,163,,,
148,Southwest Airlines,False,2019-03-02,JFK International Airport,New York,Economy,0,0,LAX International Airport,Los Angeles,15:00,05:50,1,218,,,
149,United Airlines,False,2019-03-02,JFK International Airport,New York,Economy,0,1,LAX International Airport,Los Angeles,19:05,08:25,1,289,,,
150,Air Canada,False,2019-03-14,Seattle-Tacoma International Airport,Seattle,Premium Economy,0,1,YVR International Airport,Vancouver,20:42,12:15,1,455,,,
151,American Airlines,False,2019-03-14,Seattle-Tacoma International Airport,Seattle,Premium Economy,0,1,YVR International Airport,Vancouver,12:02,01:30,1,405,,,
152,Delta Airlines,False,2019-03-14,Seattle-Tacoma International Airport,Seattle,Premium Economy,0,1,YVR International Airport,Vancouver,16:41,10:15,1,432,,,
153,United Airlines,False,2019-03-14,Seattle-Tacoma International Airport,Seattle,Premium Economy,0,1,YVR International Airport,Vancouver,20:07,10:55,1,481,,,
154,American Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,18:52,16:20,1,187,,,
155,Delta Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,17:02,14:30,1,194,,,
156,Southwest Airlines,True,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,01:17,19:15,1,334,,,
157,United Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,14:22,11:50,1,181,,,
158,American Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,18:52,16:20,4,187,,,
159,Delta Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,17:02,14:30,4,194,,,
160,Southwest Airlines,True,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,01:17,19:15,4,334,,,
161,United Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,14:22,11:50,4,181,,,
162,Southwest Airlines,True,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,01:17,19:15,4,485,03:27,18:55,2019-03-08
163,American Airlines,True,2019-03-03,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,PHL International Airport,Philadelphia,00:52,20:45,1,196,,,
164,Delta Airlines,False,2019-03-03,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,PHL International Airport,Philadelphia,07:37,04:20,1,211,,,
165,Southwest Airlines,False,2019-03-03,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,PHL International Airport,Philadelphia,19:07,15:30,1,208,,,
166,United Airlines,False,2019-03-03,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,PHL International Airport,Philadelphia,22:56,16:45,1,264,,,
167,Southwest Airlines,False,2019-03-03,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,PHL International Airport,Philadelphia,19:07,15:30,4,208,,,
168,Southwest Airlines,False,2019-03-03,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,PHL International Airport,Philadelphia,19:07,15:30,4,385,11:16,06:40,2019-03-05
169,American Airlines,True,2019-03-11,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Heathrow International Airport,London,20:42,06:55,1,775,16:14,13:40,2019-03-13
170,Alaska Airlines,False,2019-03-06,PDX International Airport,Portland,Economy,0,0,SAN International Airport,San Diego,15:59,13:15,1,135,,,
171,American Airlines,False,2019-03-06,PDX International Airport,Portland,Economy,0,0,SAN International Airport,San Diego,19:34,16:50,1,122,,,
172,Delta Airlines,False,2019-03-06,PDX International Airport,Portland,Economy,0,0,SAN International Airport,San Diego,11:54,09:10,1,125,,,
173,Southwest Airlines,False,2019-03-06,PDX International Airport,Portland,Economy,0,1,SAN International Airport,San Diego,15:28,11:35,1,210,,,
174,United Airlines,False,2019-03-06,PDX International Airport,Portland,Economy,0,0,SAN International Airport,San Diego,07:44,05:00,1,124,,,
175,American Airlines,False,2019-03-06,PDX International Airport,Portland,Economy,0,1,SAN International Airport,San Diego,19:34,16:50,1,338,21:20,16:45,2019-03-09
176,American Airlines,False,2019-03-02,JFK International Airport,New York,Economy,0,0,Heathrow International Airport,London,06:22,02:00,1,247,,,
177,British Airways,False,2019-03-02,JFK International Airport,New York,Economy,0,1,Heathrow International Airport,London,22:17,11:05,1,388,,,
178,Delta Airlines,True,2019-03-02,JFK International Airport,New York,Economy,0,1,Heathrow International Airport,London,03:10,11:50,1,443,,,
179,United Airlines,True,2019-03-02,JFK International Airport,New York,Economy,0,0,Heathrow International Airport,London,02:57,22:35,1,218,,,
180,Delta Airlines,True,2019-03-02,JFK International Airport,New York,Economy,0,1,Heathrow International Airport,London,03:10,11:50,1,628,05:52,17:30,2019-03-04
181,United Airlines,False,2019-03-07,Seattle-Tacoma International Airport,Seattle,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,14:22,11:50,1,190,,,
182,United Airlines,False,2019-03-07,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,14:22,11:50,1,462,22:41,10:35,2019-03-09
183,American Airlines,False,2019-03-09,McCarran International Airport,Las Vegas,Economy,0,0,LAX International Airport,Los Angeles,06:15,05:05,1,80,,,
184,Delta Airlines,False,2019-03-09,McCarran International Airport,Las Vegas,Economy,0,0,LAX International Airport,Los Angeles,23:20,22:10,1,82,,,
185,Southwest Airlines,False,2019-03-09,McCarran International Airport,Las Vegas,Economy,0,0,LAX International Airport,Los Angeles,07:15,06:05,1,78,,,
