,account_balance,account_type,recipient_account_type,recipient_name,transfer_amount,transfer_time
133,13261.46,checking,,,,
134,9613.38,savings,,,,
135,16277.70,savings,,,,
136,1539.74,checking,,,,
137,9377.78,savings,,,,
138,2489.31,checking,,,,
139,1861.43,savings,,,,
140,14778.56,savings,,,,
141,19328.19,checking,,,,
142,7658.13,savings,,,,
143,2971.48,checking,,,,
144,4559.65,checking,,,,
145,23383.41,savings,,,,
146,9307.64,savings,,,,
147,20863.73,checking,,,,
148,24220.79,checking,,,,
149,9812.15,checking,,,,
150,17274.43,savings,,,,
151,21581.46,checking,,,,
152,2601.84,savings,,,,
153,14992.71,checking,,,,
154,15975.43,savings,,,,
155,2377.24,savings,,,,
156,12913.46,checking,,,,
157,7069.50,checking,,,,
158,19643.54,savings,,,,
159,9129.22,savings,,,,
160,14996.53,checking,,,,
161,6255.48,checking,,,,
162,17343.13,savings,,,,
163,16282.84,savings,,,,
164,7181.85,savings,,,,
165,20895.77,checking,,,,
166,22717.30,checking,,,,
167,6829.27,savings,,,,
168,17842.78,savings,,,,
169,21712.30,savings,,,,
170,12795.18,checking,,,,
171,21648.31,savings,,,,
172,9789.20,savings,,,,
173,,savings,checking,Jasbir,30,3
174,4309.67,savings,,,,
175,,savings,checking,Svetlana,1490,3
176,13700.75,checking,,,,
177,,checking,checking,Khadija,30,1
178,14123.62,checking,,,,
179,,checking,savings,Grace,1310,3
180,4402.19,savings,,,,
181,,savings,checking,Justin,360,3
182,8639.65,savings,,,,
183,22633.39,checking,,,,
184,,checking,savings,Diego,480,3
185,11105.58,checking,,,,
186,,checking,checking,Svetlana,590,1
187,5151.82,savings,,,,
188,,savings,savings,Yumi,1490,3
189,19071.32,savings,,,,
190,,savings,checking,Dad,1140,3
191,11829.13,savings,,,,
192,,savings,checking,uncle Richard,1720,3
193,13631.46,savings,,,,
194,,savings,checking,uncle Richard,1190,3
195,10636.20,checking,,,,
196,,checking,checking,Mom,1390,1
197,24267.22,savings,,,,
198,,savings,checking,aunt Jenny,1030,3
199,1248.55,savings,,,,
200,,savings,savings,aunt Jenny,150,3
201,10682.50,checking,,,,
202,,checking,checking,Jasbir,1280,1
203,23328.30,savings,,,,
204,2625.44,checking,,,,
205,,checking,checking,Khadija,270,1
206,24797.43,checking,,,,
207,,checking,checking,Philip,1600,1
208,7177.10,checking,,,,
209,,checking,checking,uncle Richard,610,1
210,12545.54,savings,,,,
211,,savings,savings,aunt Jenny,770,3
212,13840.68,savings,,,,
213,,savings,checking,Philip,1200,3
214,12968.37,checking,,,,
215,19656.33,savings,,,,
216,,savings,checking,Kagiso,1560,3
217,8071.19,checking,,,,
218,,checking,checking,Grace,1380,1
219,9346.64,checking,,,,
220,,checking,checking,Diego,1010,1
221,19176.15,savings,,,,
222,,savings,savings,Justin,1600,3
223,2292.26,checking,,,,
224,,checking,checking,Philip,150,1
225,15095.83,savings,,,,
226,,savings,checking,Yumi,80,3
227,561.38,checking,,,,
228,,checking,checking,Khadija,60,1
229,18345.42,savings,,,,
230,,savings,checking,Grace,1020,3
231,24220.56,savings,,,,
232,,savings,checking,Kagiso,210,3
233,17081.81,savings,,,,
234,,savings,savings,Philip,430,3
235,1268.81,savings,,,,
236,24591.51,checking,,,,
237,,checking,checking,aunt Jenny,670,1
238,22175.44,checking,,,,
239,1937.88,savings,,,,
240,,savings,checking,Yumi,180,3
241,14793.85,checking,,,,
242,,checking,checking,Jasbir,1560,1
243,9021.82,checking,,,,
244,8962.88,savings,,,,
245,,savings,checking,Philip,890,3
246,8742.76,checking,,,,
247,,checking,checking,Li,1530,1
248,7508.31,savings,,,,
249,,savings,checking,Jasbir,1780,3
250,16641.82,checking,,,,
251,20265.21,savings,,,,
252,,savings,checking,Mom,1700,3
253,21411.30,savings,,,,
254,23155.32,savings,,,,
255,,savings,savings,aunt Jenny,520,3
256,22941.69,checking,,,,
257,,checking,checking,Mom,1410,1
258,5670.53,checking,,,,
259,,checking,savings,Jasbir,1450,3
260,12849.41,savings,,,,
261,18629.43,checking,,,,
262,,checking,dontcare,Jasbir,20,3
263,14041.84,checking,,,,
264,1481.35,savings,,,,
265,,savings,checking,Justin,1130,3
266,19051.65,checking,,,,
267,,checking,checking,Yumi,900,1
268,9813.21,savings,,,,
269,,savings,checking,Li,1180,3
270,5749.54,savings,,,,
271,,savings,checking,uncle Richard,1750,3
272,16643.56,savings,,,,
273,,savings,checking,Philip,570,3
274,10829.39,savings,,,,
275,,savings,savings,Philip,420,3
276,20175.62,checking,,,,
277,11493.88,savings,,,,
278,,savings,checking,Jasbir,470,3
279,7326.66,checking,,,,
280,,checking,savings,Justin,530,3
281,20166.46,savings,,,,
282,6243.11,checking,,,,
283,,checking,checking,aunt Jenny,1110,1
284,18012.69,checking,,,,
285,,checking,checking,Grace,1790,1
286,14774.69,savings,,,,
287,,savings,checking,Li,1760,3
288,8844.18,savings,,,,
289,,savings,savings,Jasbir,900,3
290,20252.51,savings,,,,
291,13950.55,checking,,,,
292,,checking,checking,Philip,690,1
293,4134.40,savings,,,,
294,,savings,checking,Yumi,1170,3
295,22666.15,savings,,,,
296,,savings,checking,Jasbir,1400,3
297,16313.89,savings,,,,
298,,savings,checking,uncle Richard,310,3
299,7807.23,savings,,,,
300,,savings,savings,Yumi,1290,3
301,5137.56,checking,,,,
302,,checking,checking,Mahmoud,470,1
303,497.32,savings,,,,
304,,savings,savings,Dad,20,3
305,18149.68,savings,,,,
306,6335.80,checking,,,,
307,,checking,checking,Kagiso,1380,1
308,6628.55,savings,,,,
309,20583.82,checking,,,,
310,,checking,checking,Li,50,1
311,20155.29,checking,,,,
312,,checking,savings,Grace,1760,3
313,3136.70,savings,,,,
314,4418.53,checking,,,,
315,,checking,checking,Diego,850,1
316,10041.51,savings,,,,
317,,savings,checking,Yumi,350,3
318,8771.23,savings,,,,
319,,savings,checking,Philip,1310,3
320,23377.57,savings,,,,
321,,savings,savings,Li,370,3
322,15559.71,checking,,,,
323,,checking,checking,Philip,140,1
324,21133.64,savings,,,,
325,,savings,checking,Dad,160,3
326,2238.63,savings,,,,
327,22602.19,checking,,,,
328,,checking,checking,Justin,570,1
329,21117.84,savings,,,,
330,,savings,savings,Mom,120,3
331,2832.14,checking,,,,
332,,checking,checking,Jasbir,710,1
333,18657.31,savings,,,,
334,13506.79,checking,,,,
335,,checking,checking,Jasbir,1440,1
336,16950.67,savings,,,,
337,20612.43,checking,,,,
338,,checking,savings,Kagiso,850,3
339,21836.31,checking,,,,
340,,checking,savings,Mahmoud,1670,3
341,13216.83,checking,,,,
342,8553.56,checking,,,,
343,,checking,checking,Mom,70,1
344,18615.73,checking,,,,
345,24763.56,savings,,,,
346,,savings,checking,Mahmoud,1100,3
347,15914.54,checking,,,,
348,17894.32,savings,,,,
349,,savings,dontcare,Li,1790,3
350,13536.44,savings,,,,
351,,savings,checking,Diego,260,3
352,24198.26,checking,,,,
353,,checking,checking,Mahmoud,1680,1
354,12439.68,checking,,,,
355,,checking,savings,uncle Richard,180,3
356,6062.88,savings,,,,
357,,savings,checking,aunt Jenny,700,3
358,12949.69,checking,,,,
359,,checking,checking,Philip,180,1
360,17789.89,checking,,,,
361,,checking,checking,uncle Richard,1200,1
362,1679.63,checking,,,,
363,,checking,checking,Mahmoud,320,1
364,1623.37,checking,,,,
365,,checking,checking,Grace,1570,1
366,10960.26,checking,,,,
367,,checking,checking,Grace,1340,1
368,15034.68,checking,,,,
369,8675.83,savings,,,,
370,,savings,checking,Grace,1420,3
371,3884.66,savings,,,,
372,,savings,checking,Svetlana,460,3
373,2958.74,savings,,,,
374,16859.66,checking,,,,
375,,checking,checking,Grace,1300,1
376,3242.52,checking,,,,
377,,checking,checking,Philip,1120,1
378,14723.59,savings,,,,
379,,savings,savings,Mahmoud,610,3
380,7060.62,savings,,,,
381,,savings,checking,aunt Jenny,990,3
382,3261.87,checking,,,,
383,13277.30,savings,,,,
384,,savings,checking,Khadija,370,3
385,20098.57,checking,,,,
386,21121.14,savings,,,,
387,4882.28,savings,,,,
388,22113.27,checking,,,,
389,5733.40,savings,,,,
390,1578.32,savings,,,,
391,16373.10,savings,,,,
392,9809.25,checking,,,,
393,18072.89,savings,,,,
394,15745.67,checking,,,,
395,12349.37,checking,,,,
396,15286.60,savings,,,,
397,16691.67,checking,,,,
398,14578.25,savings,,,,
399,569.20,savings,,,,
400,6572.13,savings,,,,
401,5575.67,checking,,,,
402,18625.71,checking,,,,
403,18891.31,savings,,,,
404,4693.21,savings,,,,
405,9475.45,checking,,,,
406,1652.11,checking,,,,
407,7272.81,savings,,,,
408,12685.85,savings,,,,
409,13966.60,checking,,,,
410,8340.39,savings,,,,
411,3111.74,savings,,,,
412,5313.45,checking,,,,
413,18431.34,checking,,,,
414,20550.10,savings,,,,
415,6518.22,checking,,,,
416,10493.81,savings,,,,
417,3207.56,savings,,,,
418,21320.48,checking,,,,
419,16841.84,checking,,,,
420,8228.88,savings,,,,
421,10988.12,savings,,,,
422,1117.73,checking,,,,
423,23055.60,savings,,,,
424,1627.39,savings,,,,
425,15140.78,savings,,,,
426,14108.67,checking,,,,
427,20466.10,checking,,,,
428,464.75,savings,,,,
429,8746.79,savings,,,,
430,23810.78,savings,,,,
431,10274.54,savings,,,,
432,5968.83,checking,,,,
433,1362.83,checking,,,,
434,8377.72,checking,,,,
435,19812.84,savings,,,,
436,14864.33,checking,,,,
437,21688.13,checking,,,,
438,21021.16,checking,,,,
439,9951.37,checking,,,,
440,5028.28,savings,,,,
441,2959.89,checking,,,,
442,5653.30,savings,,,,
443,7723.65,checking,,,,
444,23845.61,savings,,,,
445,20250.90,savings,,,,
446,20995.79,savings,,,,
447,22059.39,checking,,,,
448,6947.34,savings,,,,
449,4357.58,checking,,,,
450,6173.58,checking,,,,
451,14481.44,savings,,,,
452,5379.64,savings,,,,
453,20595.21,savings,,,,
454,9723.48,savings,,,,
455,21636.85,savings,,,,
456,8368.80,checking,,,,
457,9951.25,checking,,,,
458,3337.23,savings,,,,
459,5729.17,savings,,,,
460,16808.40,savings,,,,
461,23026.50,checking,,,,
462,17336.77,checking,,,,
463,18887.77,checking,,,,
464,20005.84,checking,,,,
465,14761.41,savings,,,,
466,22060.43,savings,,,,
467,10809.51,checking,,,,
468,11143.32,savings,,,,
469,2431.24,checking,,,,
470,15678.10,savings,,,,
471,2731.58,savings,,,,
472,16518.16,savings,,,,
473,16043.49,savings,,,,
474,16236.88,savings,,,,
475,13797.18,checking,,,,
476,11886.19,checking,,,,
477,20852.23,checking,,,,
478,10374.11,checking,,,,
479,484.45,checking,,,,
480,24140.20,savings,,,,
481,6141.30,savings,,,,
482,583.48,checking,,,,
483,21247.30,savings,,,,
484,6190.57,checking,,,,
485,13660.51,checking,,,,
486,3884.76,checking,,,,
487,20639.22,savings,,,,
488,24887.37,savings,,,,
489,19654.11,savings,,,,
490,15994.60,checking,,,,
491,7824.51,checking,,,,
492,11950.85,savings,,,,
493,13013.19,checking,,,,
494,17480.38,savings,,,,
495,1316.32,savings,,,,
496,24145.40,checking,,,,
497,23470.51,savings,,,,
498,10927.21,savings,,,,
499,21192.28,checking,,,,
500,14440.31,savings,,,,
501,9095.29,savings,,,,
502,21121.59,checking,,,,
503,18404.82,savings,,,,
504,18483.36,checking,,,,
505,6022.83,savings,,,,
506,24875.70,checking,,,,
507,673.37,checking,,,,
