,address,area,furnished,number_of_baths,number_of_beds,pets_allowed,phone_number,property_name,rent,visit_date
21,3801 Blackford Avenue #16,San Jose,True,3,3,False,408-876-3565,Blackford Apartments,4700,
22,260 North Capitol Avenue # 109,San Jose,True,3,3,True,408-259-1662,Capitol Avenue Apartments,4850,
23,2036 Evans Lane,San Jose,True,3,3,False,408-264-0784,Catalonia Apartments,3900,
24,5255 Camden Avenue,San Jose,True,3,3,False,408-265-5605,Del Coronado Apartments,5200,
25,6184 Cottle Road,San Jose,True,3,3,False,408-225-8648,Foothill Apartments,5250,
26,360 Meridian Avenue,San Jose,True,2,3,False,408-995-0637,Parkview Family Apartments,4050,
27,1315 Eden Avenue,San Jose,True,3,3,True,408-378-1970,Regency Square,5150,
28,5822 Charlotte Drive,,True,3,3,True,408-226-5822,Anton La Moraga Apartments,4850,2019-03-06
29,2300 Lancaster Drive,Richmond,False,2,2,True,510-222-2705,Baycliff Apartments,4000,
30,3400 Richmond Parkway,Richmond,False,2,2,True,510-662-6726,Bella Vista At Hilltop,3950,
31,680 South 37th Street,Richmond,False,2,2,True,510-215-1926,Monterey Pines,2700,
32,5005 Montoya Avenue,Richmond,False,2,2,True,510-235-6341,Montoya Garden Apartments,4200,
33,3400 Richmond Parkway,,False,2,2,True,510-662-6726,Bella Vista At Hilltop,3950,2019-03-06
34,1546 Maurice Lane,San Jose,False,1,1,True,408-818-0710,888 Golden Saratoga-Cupertino Apartment Homes,1600,
35,947 Branham Lane # C,San Jose,False,1,1,True,408-265-4808,Almaden Garden Apartments,1850,
36,2415 Rinconada Drive,San Jose,False,1,1,False,408-516-4212,Almaden House,1750,
37,1543 Ambergrove Drive,San Jose,False,1,1,True,408-453-8011,Amberwood Apartments,1800,
38,2760 McKee Road,San Jose,False,1,1,False,408-251-7570,Arbor Terraces,1550,
39,5480 Lean Avenue,San Jose,True,1,1,True,408-840-2195,Blossom Hill Apartments,2000,
40,44 North Jackson Avenue # A5,San Jose,False,1,1,True,408-251-4540,Boxer'S Mayfair Village Senior Apartments,1650,
41,1612 Branham Lane,San Jose,False,1,1,True,408-267-0515,Branham House Apartments,2050,
42,2020 Southwest Expressway,San Jose,False,1,1,False,408-287-6274,Cherry Creek Apartments,2050,
43,2600 Corde Terra Circle,San Jose,False,1,1,True,408-298-9988,Corde Terra Apartments,1800,
44,947 Branham Lane # C,,False,1,1,True,408-265-4808,Almaden Garden Apartments,1850,2019-03-08
45,750 North King Road,San Jose,True,2,3,False,408-844-4803,Avenel Apartments,3550,
46,1000 Blossom River Way,San Jose,True,2,3,False,408-979-9442,Blossom River Apartments,3550,
47,220 North White Road,San Jose,True,2,3,True,408-259-0427,Casa Las Palmas,3750,
48,3246 Cortese Circle,San Jose,True,2,3,True,408-729-5173,Country Club Villa Apartments,3550,
49,"2290, 303 Checkers Drive",San Jose,True,2,3,False,408-272-0356,El Rancho Verde Apartments,3700,
50,6184 Cottle Road,San Jose,True,2,3,True,408-225-8648,Foothill Apartments,3550,
51,550 Kiely Boulevard,San Jose,True,2,3,False,408-241-3934,Mediterranean Apartments,3850,
52,560 Menker Avenue # A,San Jose,True,2,3,True,408-287-8804,Menclair Apartments,3600,
53,5635 Blossom Gardens Circle,San Jose,True,2,3,False,877-526-3611,Orchard Park Apartments,3600,
54,760 North 7th Street,San Jose,True,2,3,False,844-343-9547,Pavona Apartments,3650,
55,73 North Keeble Avenue,San Jose,True,3,3,False,408-998-7266,Alameda Gardens Apartments,4100,
56,750 North King Road,San Jose,True,3,3,False,408-844-4803,Avenel Apartments,4100,
57,600 Epic Way,San Jose,True,3,3,False,669-888-1610,Epic,4300,
58,632 North Jackson Avenue # 4,San Jose,True,3,3,True,408-251-6850,Las Casitas Associates,4250,
59,1800 Evans Lane,San Jose,True,3,3,False,408-265-9300,Las Ventanas Apartments,3950,
60,550 Kiely Boulevard,San Jose,True,3,3,False,408-241-3934,Mediterranean Apartments,4050,
61,458 Boynton Avenue Apt A4,San Jose,True,3,3,False,844-578-7568,Pacific Terrace West,4300,
62,4668 Albany Drive,San Jose,True,3,3,True,408-248-0800,San Jose Gardens,4400,
63,1375 Lick Avenue,San Jose,True,3,3,False,408-564-7347,Skyline At Tamien Station,4250,
64,73 North Keeble Avenue,,True,3,3,False,408-998-7266,Alameda Gardens Apartments,4100,2019-03-13
65,2400 Shady Willow Lane,Brentwood,False,1,1,True,925-240-8448,Arbor Ridge Apartments,2800,
66,1275 Central Boulevard,Brentwood,False,1,1,False,925-513-1110,Avery At Towncentre,4700,
67,180 Sycamore Avenue,Brentwood,True,1,1,False,925-634-8374,Brentwood Parks Apartments,4000,
68,161 Sycamore Avenue,Brentwood,False,1,1,False,925-634-1390,Sycamore Place 2,2700,
69,1100 Sycamore Court,Brentwood,False,1,1,False,925-634-6200,Sycamore Place Senior Housing,2050,
70,2101 Sand Creek Road,Brentwood,False,1,1,False,925-516-0260,Villa Amador Apartments,4750,
71,100 Village Drive,Brentwood,True,1,1,True,925-634-4561,Village Parks Apartments,2850,
72,1275 Central Boulevard,,False,1,1,False,925-513-1110,Avery At Towncentre,4700,2019-03-08
73,22281 Center Street #57,Castro Valley,False,3,4,False,510-538-0995,Continental Apartments,4850,
74,19972 Stanton Avenue,Castro Valley,False,3,4,False,510-538-2000,Mosaic Apartments,4800,
75,20800 Lake Chabot Road,Castro Valley,False,3,4,True,844-423-2122,Quail Hill Apartments,5150,
76,22120 Center Street,Castro Valley,False,3,4,True,510-886-3431,Shadow Creek Apartments,5250,
77,1688 Clayton Road,Concord,False,3,4,False,925-671-3845,City Walk Apartment Homes,5150,
78,3420 Willow Pass Road,Concord,True,3,4,True,925-825-5958,Palm Court Apartment,5250,
79,1160 Meadow Lane,Concord,False,3,4,True,855-289-4212,Pine Meadows Apartments,5000,
80,1441 Detroit Avenue,Concord,False,3,4,False,925-682-1655,Sterling Cove Apartments,4950,
81,1265 Monument Boulevard,Concord,False,3,4,False,925-825-0631,Sun Ridge Apartments,5100,
82,1731 Pine Street,Concord,False,3,4,False,925-969-0096,Vasona Management,4850,
83,3718 Willow Pass Rd,Concord,False,3,4,True,925-686-2244,Whispering Oaks,5050,
84,1530 Adelaide Street,Concord,True,3,4,True,925-682-2386,Woodhaven Apartments,5100,
85,1688 Clayton Road,,False,3,4,False,925-671-3845,City Walk Apartment Homes,5150,2019-03-14
86,2200 Rivers Street,San Pablo,False,3,3,False,510-234-8844,Willow Branch Apartments,4300,
87,2200 Rivers Street,,False,3,3,False,510-234-8844,Willow Branch Apartments,4300,2019-03-10
88,400 East Remington Drive,Sunnyvale,False,3,3,True,408-738-4862,Apricot Pit Apartments,4150,
89,555 East El Camino Real,Sunnyvale,False,3,3,False,408-738-0935,Arbor Terrace Apartments,4300,
90,660 Gail Avenue,Sunnyvale,False,3,3,True,888-854-9884,Bonnie Terrace Apartments,4450,
91,1651 Belleville Way,Sunnyvale,False,2,3,True,669-257-9990,Brookside Oaks,4000,
92,874 East El Camino Real,Sunnyvale,False,3,3,False,866-730-1639,Cascades Apartments,4150,
93,678 Bellflower Avenue,Sunnyvale,False,3,3,True,408-735-9030,Charter Palm Town Homes,3900,
94,250 W El Camino Real,Sunnyvale,False,2,3,True,866-748-9591,Cherry Orchard Apartment Homes,3800,
95,130 Crescent Avenue,Sunnyvale,False,3,3,True,408-749-1060,Crescent Terrace Senior Apartments,4250,
96,1055 East Evelyn Avenue,Sunnyvale,True,3,3,True,408-296-8006,Evelyn Gardens,4100,
97,555 East Washington Avenue,Sunnyvale,True,3,3,False,833-630-9835,Heritage Park Apartments,3950,
98,250 W El Camino Real,Sunnyvale,False,3,3,True,866-748-9591,Cherry Orchard Apartment Homes,4400,
99,555 East El Camino Real,,False,3,3,False,408-738-0935,Arbor Terrace Apartments,4300,2019-03-12
100,42 Charles Street,Cotati,False,3,4,True,707-795-3722,Charles Street Village,4800,
101,160 Wilford Lane,Cotati,False,3,4,True,707-793-8454,Wilford Lane Apartments,4700,
102,42 Charles Street,,False,3,4,True,707-795-3722,Charles Street Village,4800,2019-03-01
103,4757 Snyder Lane,Rohnert Park,True,1,2,True,707-584-3522,Americana Apartment Homes,4000,
104,1450 East Cotati Avenue,Rohnert Park,False,1,2,True,707-793-0123,Cambridge Square Apartments,2700,
105,5425 Snyder Lane,Rohnert Park,False,1,2,False,707-664-8808,Camino Creek Apartments,3000,
106,6351 Country Club Drive,Rohnert Park,False,1,2,False,707-739-4189,Country Club Village,4050,
107,8670 Camino Colegio,Rohnert Park,False,1,2,False,707-795-9200,Emerald Pointe Apartments,4850,
108,5102 Dowdell Avenue,Rohnert Park,False,1,2,False,833-244-8741,Fiori Estates Apartments,4950,
109,1350 Oak View Circle,Rohnert Park,False,1,2,True,888-321-0662,Oak View Of Sonoma Hills Apartments,3200,
110,1326 East Cotati Avenue #124,Rohnert Park,False,1,2,True,707-615-1187,Park Club Apartments,2850,
111,7425 Camino Colegio # 61,Rohnert Park,False,1,2,False,707-792-0669,Park Meadows Apartments,2550,
112,5121 Dowdell Avenue,Rohnert Park,False,1,2,False,707-820-2962,The Reserve At Rohnert Park,3050,
113,4757 Snyder Lane,,True,1,2,True,707-584-3522,Americana Apartment Homes,4000,2019-03-03
114,1001 Beethoven Common,Fremont,False,3,4,False,510-797-1800,Alborada Apartments,5100,
115,3500 Pennsylvania Avenue # 101,Fremont,True,3,4,False,510-943-8264,Birchwood Apartments,4700,
116,38900 Blacow Road,Fremont,False,3,4,True,510-797-5980,Carrington Apartments,5050,
117,37811 Fremont Boulevard,Fremont,False,3,4,True,510-797-4520,Fremont Arms,5200,
118,4261 Stevenson Boulevard,Fremont,False,3,4,False,510-656-8201,Fremont Manor,5050,
119,36707 San Pedro Drive,Fremont,False,3,4,False,510-792-6340,Garden Village Apartments,5150,
120,4262 Central Avenue,Fremont,False,3,4,False,510-793-4336,Glenhaven Apartments,5100,
121,4444 Central Avenue,Fremont,False,3,4,False,510-792-1161,Glenmills Apartments,5200,
122,3355 Pennsylvania Avenue #13,Fremont,False,3,4,False,510-792-4983,Hastings East Apartments,5000,
123,4261 Stevenson Boulevard,Fremont,False,3,4,True,510-656-8200,Lincoln Glen,5100,
124,40001 Fremont Boulevard,Fremont,True,3,3,True,510-455-8815,Boulevard,4250,
125,38900 Blacow Road,Fremont,False,3,3,True,510-797-5980,Carrington Apartments,5050,
126,37811 Fremont Boulevard,Fremont,False,3,3,True,510-797-4520,Fremont Arms,5200,
127,41342 Roberts Avenue,Fremont,False,3,3,True,510-657-9766,Granada Apartments,3900,
128,4261 Stevenson Boulevard,Fremont,False,3,3,True,510-656-8200,Lincoln Glen,5100,
129,42010 Blacow Road,Fremont,False,3,3,True,510-657-2020,Minutetogo,4350,
130,1401 Red Hawk Circle,Fremont,False,3,3,True,510-494-9500,Mission Peaks,4150,
131,1301 Stevenson Boulevard,Fremont,False,2,3,True,510-713-1808,Park Vista Apartments,3550,
132,3330 Country Drive,Fremont,True,3,3,True,510-792-7817,Parkview Apartments,4750,
133,39548 Fremont Boulevard,Fremont,False,3,3,True,510-657-4244,Pasatiempo Apartments,4750,
134,40001 Fremont Boulevard,,True,3,3,True,510-455-8815,Boulevard,4250,2019-03-11
135,859 University Avenue,Los Gatos,False,3,2,True,408-395-1222,Casa Vasona Garden Apartments,4850,
136,20 East Main Street,Los Gatos,False,3,2,True,408-831-7797,El Gato Penthouse,4050,
137,226 Edelen Avenue,Los Gatos,False,2,2,False,408-313-1017,Los Gatos Heights Llc,3950,
138,517 Blossom Hill Road,Los Gatos,False,1,2,True,408-358-2900,Los Gatos Oaks Apartments,2350,
139,570 University Avenue # 1,Los Gatos,False,2,2,False,408-395-6244,Tamarack Apartments,3850,
140,105 Forrest Avenue,Los Gatos,False,2,2,False,408-354-7514,Three Oaks Apartments,3650,
141,107 Oak Rim Court,Los Gatos,False,2,2,False,408-358-1541,Twelve Oaks Apartments,2850,
142,100 Oak Rim Way # 24,Los Gatos,False,1,2,True,408-358-3066,Valley Oaks Apartments,2500,
143,626 West Parr Avenue,Los Gatos,False,1,2,False,408-370-9410,Villa Vasona Apartments,2700,
144,14225 Lora Drive,Los Gatos,False,2,2,False,408-378-9472,Wedgewood Manor,3050,
145,859 University Avenue,Los Gatos,False,2,2,True,408-395-1222,Casa Vasona Garden Apartments,4850,
146,20 East Main Street,Los Gatos,False,2,2,True,408-831-7797,El Gato Penthouse,4050,
147,100 Oak Rim Way # 24,Los Gatos,False,2,2,True,408-358-3066,Valley Oaks Apartments,2850,
148,20 East Main Street,,False,2,2,True,408-831-7797,El Gato Penthouse,4050,2019-03-07
149,1546 Maurice Lane,San Jose,False,1,2,False,408-818-0710,888 Golden Saratoga-Cupertino Apartment Homes,2300,
150,1290 San Tomas Aquino Road,San Jose,True,3,2,False,408-984-8888,Aegena,4900,
151,73 North Keeble Avenue,San Jose,False,2,2,False,408-998-7266,Alameda Gardens Apartments,3600,
152,947 Branham Lane # C,San Jose,True,2,2,False,408-265-4808,Almaden Garden Apartments,3100,
153,2415 Rinconada Drive,San Jose,False,3,2,False,408-516-4212,Almaden House,4850,
154,978 Almaden Lake Drive,San Jose,False,2,2,False,408-323-8020,Almaden Lake Apartments,3250,
155,1543 Ambergrove Drive,San Jose,False,2,2,False,408-453-8011,Amberwood Apartments,3550,
156,1585 Marburg Way # 4,San Jose,False,3,2,True,408-926-3999,Ann Darling Apartments,3950,
157,5822 Charlotte Drive,San Jose,True,3,2,True,408-226-5822,Anton La Moraga Apartments,4850,
158,1582 Kooser Road,San Jose,False,3,2,False,408-448-1288,Arbor Apartments,4250,
159,1546 Maurice Lane,,False,3,2,False,408-818-0710,888 Golden Saratoga-Cupertino Apartment Homes,4450,2019-03-01
160,2290 California Street,Mountain View,True,1,1,True,650-965-8290,Arbors At Mountain View,5100,
161,1335 Montecito Avenue # 1,Mountain View,False,1,1,True,650-940-1909,Barkley Square Apartments,5200,
162,302 Easy Street,Mountain View,True,1,1,True,650-968-3830,Chateau Apartments,1500,
163,210 Easy Street,Mountain View,False,1,1,True,650-961-2975,Fernmar Apartments,2350,
164,375 Oaktree Drive,Mountain View,False,1,1,True,650-390-9450,Ginzton Terrace,3500,
165,1970 Latham Street,Mountain View,False,1,1,True,650-961-6135,Latham Court Apartments,1950,
166,870 East El Camino Real,Mountain View,True,1,1,True,650-967-1424,Reserve At Mountain View Apartments,5000,
167,1901 Rock Street,Mountain View,False,1,1,True,650-964-6100,Riverstone Town Homes,2700,
168,460 North Shoreline Boulevard,Mountain View,False,1,1,True,650-966-1328,Shorebreeze Apartments,3850,
169,505 Central Avenue,Mountain View,False,1,1,True,650-968-8384,Shoreline Village Apartments,3550,
170,2290 California Street,,True,1,1,True,650-965-8290,Arbors At Mountain View,5100,2019-03-02
171,831 Gale Drive,Campbell,False,1,1,True,408-374-3500,Appletree Apartments,4050,
172,240 Hollis Avenue,Campbell,True,1,1,True,866-573-8123,La Mancha Apartments,2850,
173,3685 South Bascom Avenue,Campbell,True,1,1,True,408-377-9360,Pebble Creek,4000,
174,35 Union Avenue # 10,Campbell,True,1,1,True,408-377-6707,Pruneyard Garden Apartments,1950,
175,150 West Rincon Avenue,Campbell,False,1,1,True,408-871-1333,Rincon Gables Apartments,5150,
176,1510 South Bascom Avenue,Campbell,False,1,1,True,408-377-6900,River Walk Apartments,1800,
177,275 Union Avenue,Campbell,False,1,1,True,408-898-4572,The Commons,1950,
178,999 West Hamilton Avenue,Campbell,True,1,1,True,408-796-4545,The Greenery Apartments Homes,5250,
179,377 Union Avenue,Campbell,False,1,1,True,408-559-7422,Union Manor Apartments,4950,
180,831 Gale Drive,,False,1,1,True,408-374-3500,Appletree Apartments,4050,2019-03-07
181,766 1st Street,Gilroy,False,1,1,False,408-847-3818,Mission Park,2000,
182,181 Pierce Street,Gilroy,False,3,1,True,408-842-6341,Park View Apartments,5050,
183,500 Ioof Avenue,Gilroy,True,2,1,False,408-842-4457,Plaza Vasquez,3950,
184,9355 Monterey Road,Gilroy,False,1,1,False,408-848-6400,Sobrato Transitional Apartments,1900,
185,181 Pierce Street,Gilroy,False,1,1,True,408-842-6341,Park View Apartments,5050,
186,500 Ioof Avenue,Gilroy,True,1,1,False,408-842-4457,Plaza Vasquez,3950,
187,181 Pierce Street,,False,1,1,True,408-842-6341,Park View Apartments,5050,2019-03-14
188,1282 Mattox Road,Hayward,False,3,1,False,510-886-0385,Alpine Vista Apartments,4850,
189,24660 Amador Street,Hayward,False,1,1,False,510-849-6628,Amador Apartments,1900,
190,25173 Cypress Avenue,Hayward,False,1,1,True,510-782-8753,Amador Royal,1900,
191,26100 Gading Road,Hayward,False,3,1,True,510-785-3281,Amberwood Garden Apartments,5150,
192,31108 Brae Burn Avenue,Hayward,True,3,1,False,510-471-7075,Baywood Apartments,4700,
193,22800 Meridian Drive,Hayward,True,3,1,False,510-455-8869,City Centre,4900,
194,25200 Carlos Bee Boulevard,Hayward,False,1,1,False,510-822-2617,City View,2650,
195,25100 Cypress Avenue,Hayward,True,1,1,False,510-887-4406,Cypress Glen,2750,
196,24955 Cypress Avenue,Hayward,False,3,1,False,510-732-9432,Cypress House Apartments,4950,
197,25221 Cypress Avenue,Hayward,False,2,1,True,510-781-0217,Cypress Point Villas,2950,
198,1282 Mattox Road,Hayward,False,3,3,False,510-886-0385,Alpine Vista Apartments,4850,
199,24660 Amador Street,Hayward,False,3,3,False,510-849-6628,Amador Apartments,4250,
200,26100 Gading Road,Hayward,False,3,3,True,510-785-3281,Amberwood Garden Apartments,5150,
201,31108 Brae Burn Avenue,Hayward,True,3,3,False,510-471-7075,Baywood Apartments,4700,
202,22800 Meridian Drive,Hayward,True,3,3,False,510-455-8869,City Centre,4900,
203,25200 Carlos Bee Boulevard,Hayward,False,2,3,False,510-822-2617,City View,3600,
204,25100 Cypress Avenue,Hayward,True,3,3,False,510-887-4406,Cypress Glen,3900,
205,24955 Cypress Avenue,Hayward,False,3,3,False,510-732-9432,Cypress House Apartments,4950,
206,29596 Dixon Street # 60,Hayward,False,3,3,False,510-537-4705,Dixon Apartments,4800,
207,26100 Gading Road,,False,3,3,True,510-785-3281,Amberwood Garden Apartments,5000,2019-03-05
208,624 Avalon Avenue,Santa Rosa,False,2,1,True,707-620-5076,Avalon Apartments,3550,
209,825 Russell Avenue,Santa Rosa,False,2,1,True,707-577-0262,Bicentennial Apartments,2800,
210,3329 Claremont Court,Santa Rosa,True,2,1,True,707-578-1313,Brookside East Apartments,2950,
211,2807 Yulupa Avenue,Santa Rosa,False,1,1,True,707-527-0128,Country Club Apartments,1950,
212,1130 4th Street,Santa Rosa,False,1,1,True,707-544-1400,Creekside Park Apartments,1750,
213,850 Russell Avenue,Santa Rosa,False,3,1,True,707-542-2883,Del Nido Apartments,3950,
214,2322 Maher Drive #5,Santa Rosa,False,2,1,True,707-542-2004,Fairway Arms Apartments,2750,
215,6401 Montecito Boulevard # 29,Santa Rosa,False,1,1,True,707-539-6148,Garden Court Apartments,2350,
216,3076 Marlow Road,Santa Rosa,True,1,1,True,707-579-5081,Marlow Apartments,2300,
217,"Leasing Office, 6600 Montecito Boulevard",Santa Rosa,False,2,1,True,707-538-1516,Montecito Pines Apartments,3150,
218,825 Russell Avenue,,False,1,1,True,707-577-0262,Bicentennial Apartments,2350,2019-03-01
219,73 North Keeble Avenue,,False,2,2,False,408-998-7266,Alameda Gardens Apartments,3600,2019-03-14
220,1400 A Street,Antioch,False,1,1,True,925-706-0874,Antioch Rivertown Senior Housing,2850,
221,4900 Canada Valley Road,Antioch,False,3,1,True,925-754-2900,Bella Rose Apartments,4050,
222,1600 Buchanan Road,Antioch,False,3,1,True,925-750-8811,Buchanan Gardens,4250,
223,5100 Vista Grande Dr,Antioch,False,1,1,True,925-755-4141,Cross Pointe,1950,
224,3001 Kodiak Street,Antioch,False,3,1,True,925-754-3733,Hillcrest View Apartments,5250,
225,1015 Fitzuren Road #7,Antioch,False,2,1,True,925-978-9772,Magnolia Apartments,3500,
226,2200 Sycamore Drive,Antioch,False,2,1,True,925-754-4488,Riverstone Apartments,3000,
227,2201 San Jose Drive,Antioch,True,3,1,True,925-779-9999,Runaway Bay,4450,
228,4900 Canada Valley Road,,False,3,1,True,925-754-2900,Bella Rose Apartments,4050,2019-03-01
229,1300 Rumrill Boulevard,San Pablo,False,2,3,True,510-232-6651,Rumrill Garden Apartments,3800,
230,1300 Rumrill Boulevard,,False,2,3,True,510-232-6651,Rumrill Garden Apartments,3800,2019-03-09
231,1001 Beethoven Common,Fremont,False,3,2,False,510-797-1800,Alborada Apartments,5100,
232,34050 Westchester Terrace,Fremont,False,1,2,False,510-794-9981,Amber Court,2550,
233,4445 Stevenson Boulevard,Fremont,True,2,2,False,510-657-1133,Americana Apartments,3100,
234,3500 Pennsylvania Avenue # 101,Fremont,True,3,2,False,510-943-8264,Birchwood Apartments,4700,
235,40001 Fremont Boulevard,Fremont,True,1,2,True,510-455-8815,Boulevard,2600,
236,4200 Bay Street,Fremont,True,2,2,False,510-455-8813,Briarwood At Central Park,2950,
237,36163 Fremont Boulevard,Fremont,False,2,2,False,510-793-1621,Brookvale Chateau,3600,
238,38900 Blacow Road,Fremont,False,1,2,True,510-797-5980,Carrington Apartments,2750,
239,4101 Eggers Drive # 16,Fremont,False,2,2,True,510-796-4064,Case Verde Apartment,3200,
240,41299 Paseo Padre Parkway,Fremont,True,3,2,False,510-651-1040,Century Village Apartments,4100,
241,1001 Beethoven Common,Fremont,False,2,2,False,510-797-1800,Alborada Apartments,5100,
242,34050 Westchester Terrace,Fremont,False,2,2,False,510-794-9981,Amber Court,4300,
243,3500 Pennsylvania Avenue # 101,Fremont,True,2,2,False,510-943-8264,Birchwood Apartments,4700,
244,40001 Fremont Boulevard,Fremont,True,2,2,True,510-455-8815,Boulevard,4250,
245,38900 Blacow Road,Fremont,False,2,2,True,510-797-5980,Carrington Apartments,5050,
246,41299 Paseo Padre Parkway,Fremont,True,2,2,False,510-651-1040,Century Village Apartments,4100,
247,4445 Stevenson Boulevard,,True,2,2,False,510-657-1133,Americana Apartments,2700,2019-03-10
248,1580 Clayton Road # 1,Concord,False,1,2,False,925-827-3700,Casa Pino Condos,2800,
249,1688 Clayton Road,Concord,False,3,2,False,925-671-3845,City Walk Apartment Homes,5150,
250,5255 Clayton Road,Concord,False,3,2,True,855-957-1118,Clayton Creek Apartments,3950,
251,1711 Detroit Avenue,Concord,False,2,2,False,925-686-6868,Courtyard Apartments,3900,
252,4902 Clayton Road,Concord,False,2,2,True,925-405-6881,Diablo Terrace Apartments,3150,
253,3620 Clayton Road # 101,Concord,False,1,2,True,925-682-9661,Greentree Terrace Apartments,2450,
254,1032 Mohr Lane,Concord,False,2,2,True,925-687-8460,Hidden Creek Town Homes,3200,
255,3066 Willow Pass Road,Concord,True,3,2,True,925-691-5974,Kona Kai Village Apartments,4350,
256,1500 Ellis Street,Concord,False,2,2,True,925-680-5250,Lakeshore Apartment Homes,4000,
257,1530 Ellis Street,Concord,False,3,2,True,925-521-8333,Lakeshore Apartments,4350,
258,5255 Clayton Road,,False,3,2,True,855-957-1118,Clayton Creek Apartments,3950,2019-03-14
259,1260 Hopkins Street,Berkeley,False,3,3,False,510-526-3267,Hopkins Park Apartments,4750,
260,1425 Oregon Street,Berkeley,False,3,3,False,510-848-8554,Oregon Park Senior Apartments,3950,
261,1615 Russell Street # 101A,Berkeley,False,2,3,True,510-540-0382,Rosewood Manor Apartments,3550,
262,2017 Stuart Street,Berkeley,False,3,3,False,510-841-4595,Savo Island Cooperative Homes,4950,
263,2017 Stuart Street,,False,3,3,False,510-841-4595,Savo Island Cooperative Homes,4000,2019-03-02
264,3543 Brook Street,Lafayette,False,3,3,True,925-283-8332,Bookstreet Park Apartments,5150,
265,3263 Mount Diablo Court,Lafayette,False,2,3,True,925-287-1188,Lafayette Commons Apartments,3800,
266,3543 Brook Street,,False,3,3,True,925-283-8332,Bookstreet Park Apartments,5150,2019-03-05
267,790 2nd Street West,Sonoma,False,1,1,True,707-939-8152,Plaza Del Sol Apartments,1950,
268,61 Agua Caliente Road West,Sonoma,True,2,1,True,530-745-6170,Sonoma Village Apartments,2700,
269,61 Agua Caliente Road West,,True,2,1,True,530-745-6170,Sonoma Village Apartments,2700,2019-03-11
270,400 East Remington Drive,Sunnyvale,False,2,3,True,408-738-4862,Apricot Pit Apartments,4800,
271,555 East El Camino Real,Sunnyvale,True,2,3,False,408-738-0935,Arbor Terrace Apartments,3750,
272,1059 Reed Avenue,Sunnyvale,False,2,3,False,408-984-1060,Aster Park Apartments,3900,
273,151 South Bernardo Avenue,Sunnyvale,False,2,3,True,650-961-3333,Balboa Apartments,4050,
274,660 Gail Avenue,Sunnyvale,False,2,3,True,888-854-9884,Bonnie Terrace Apartments,4750,
275,732 East Evelyn Avenue,Sunnyvale,False,2,3,False,669-267-1020,Bristol Commons,3850,
276,1651 Belleville Way,Sunnyvale,False,2,3,False,669-257-9990,Brookside Oaks,5000,
277,815 East Fremont Avenue,Sunnyvale,False,2,3,True,408-736-5183,Cambria Apartments,3850,
278,874 East El Camino Real,Sunnyvale,False,2,3,False,866-730-1639,Cascades Apartments,4050,
279,678 Bellflower Avenue,Sunnyvale,False,2,3,True,408-735-9030,Charter Palm Town Homes,4700,
280,130 Crescent Avenue,Sunnyvale,True,2,3,False,408-749-1060,Crescent Terrace Senior Apartments,4300,
281,107 South Mary Avenue,Sunnyvale,True,2,3,False,408-702-2447,Magnolia Square Apartments,4450,
282,120 East Remington Drive,Sunnyvale,True,2,3,True,408-738-1114,Remington Place Apartments,3600,
283,718 Old San Francisco Road,Sunnyvale,True,2,3,True,408-736-1600,Renaissance Apartment Homes,3950,
