,airlines,departure_date,destination_airport,destination_city,number_stops,origin_airport,origin_city,outbound_arrival_time,outbound_departure_time,passengers,price,refundable,seating_class,inbound_arrival_time,inbound_departure_time,return_date
148,Southwest Airlines,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,0,Sky Harbor International Airport,Phoenix,06:07,22:55,1,163,False,Economy,,,
149,United Airlines,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,0,Sky Harbor International Airport,Phoenix,03:52,20:40,1,173,False,Economy,,,
150,American Airlines,2019-03-11,YVR International Airport,Vancouver,1,McCarran International Airport,Las Vegas,13:59,09:30,1,199,False,Economy,,,
151,Delta Airlines,2019-03-11,YVR International Airport,Vancouver,1,McCarran International Airport,Las Vegas,19:49,12:20,1,211,False,Economy,,,
152,Southwest Airlines,2019-03-11,YVR International Airport,Vancouver,1,McCarran International Airport,Las Vegas,19:49,14:35,1,204,False,Economy,,,
153,United Airlines,2019-03-11,YVR International Airport,Vancouver,1,McCarran International Airport,Las Vegas,19:49,12:05,1,210,False,Economy,,,
154,Alaska Airlines,2019-03-11,Kingsford Smith International Airport,Sydney,1,PDX International Airport,Portland,13:32,10:10,1,323,False,Economy,,,
155,American Airlines,2019-03-11,Kingsford Smith International Airport,Sydney,1,PDX International Airport,Portland,09:26,07:20,1,328,False,Economy,,,
156,Delta Airlines,2019-03-11,Kingsford Smith International Airport,Sydney,1,PDX International Airport,Portland,13:06,08:45,1,303,False,Economy,,,
157,United Airlines,2019-03-11,Kingsford Smith International Airport,Sydney,1,PDX International Airport,Portland,13:06,10:35,1,318,False,Economy,,,
158,American Airlines,2019-03-04,SFO International Airport,San Francisco,0,Hartsfield-Jackson International Airport,Atlanta,14:06,11:40,1,176,False,Economy,,,
159,Delta Airlines,2019-03-04,SFO International Airport,San Francisco,1,Hartsfield-Jackson International Airport,Atlanta,20:11,14:10,1,296,False,Economy,,,
160,Southwest Airlines,2019-03-04,SFO International Airport,San Francisco,0,Hartsfield-Jackson International Airport,Atlanta,20:21,17:55,1,165,True,Economy,,,
161,United Airlines,2019-03-04,SFO International Airport,San Francisco,0,Hartsfield-Jackson International Airport,Atlanta,12:06,09:40,1,175,False,Economy,,,
162,Alaska Airlines,2019-03-07,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,04:14,20:15,1,176,False,Economy,,,
163,American Airlines,2019-03-07,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,01:24,17:25,1,187,False,Economy,,,
164,Delta Airlines,2019-03-07,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,04:39,20:40,1,195,False,Economy,,,
165,Southwest Airlines,2019-03-07,Hartsfield-Jackson International Airport,Atlanta,1,LAX International Airport,Los Angeles,23:41,13:40,1,283,False,Economy,,,
166,United Airlines,2019-03-07,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,04:39,20:40,1,163,False,Economy,,,
167,American Airlines,2019-03-12,Seattle-Tacoma International Airport,Seattle,1,SAN International Airport,San Diego,08:13,04:10,1,195,False,Economy,,,
168,Air Canada,2019-03-03,Dulles International Airport,Washington,1,Toronto Pearson International Airport,Toronto,12:05,09:10,1,150,False,Economy,,,
169,American Airlines,2019-03-03,Dulles International Airport,Washington,0,Toronto Pearson International Airport,Toronto,21:45,20:20,1,98,False,Economy,,,
170,Delta Airlines,2019-03-06,SAN International Airport,San Diego,1,Toronto Pearson International Airport,Toronto,08:34,02:10,1,237,False,Economy,,,
171,United Airlines,2019-03-11,Sky Harbor International Airport,Phoenix,0,LAX International Airport,Los Angeles,12:33,11:05,1,93,False,Economy,,,
172,United Airlines,2019-03-05,O'Hare International Airport,Chicago,0,PHL International Airport,Philadelphia,12:41,11:30,1,110,False,Economy,,,
173,Southwest Airlines,2019-03-08,SFO International Airport,San Francisco,0,JFK International Airport,New York,16:56,13:30,2,218,True,Economy,,,
174,Southwest Airlines,2019-03-12,JFK International Airport,New York,1,Seattle-Tacoma International Airport,Seattle,18:40,05:25,2,348,False,Economy,,,
175,Delta Airlines,2019-03-03,McCarran International Airport,Las Vegas,1,YVR International Airport,Vancouver,21:35,12:20,1,230,False,Economy,,,
176,American Airlines,2019-03-03,JFK International Airport,New York,0,LAX International Airport,Los Angeles,03:30,18:20,3,196,False,Economy,,,
177,Delta Airlines,2019-03-03,SFO International Airport,San Francisco,0,KLIA International Airport,Kuala Lumpur,03:14,00:15,1,313,False,Economy,,,
178,Delta Airlines,2019-03-11,Sky Harbor International Airport,Phoenix,0,McCarran International Airport,Las Vegas,16:49,15:35,1,80,True,Economy,,,
179,Alaska Airlines,2019-03-10,Benito Juarez International Airport,Mexico City,1,SAN International Airport,San Diego,02:05,15:20,1,327,False,Premium Economy,,,
180,United Airlines,2019-03-07,Hartsfield-Jackson International Airport,Atlanta,0,Seattle-Tacoma International Airport,Seattle,01:27,16:55,1,208,False,Economy,,,
181,Southwest Airlines,2019-03-03,Toronto Pearson International Airport,Toronto,1,SFO International Airport,San Francisco,21:54,06:45,4,258,False,Economy,,,
182,American Airlines,2019-03-10,SFO International Airport,San Francisco,1,Hartsfield-Jackson International Airport,Atlanta,01:32,21:15,1,291,True,Economy,,,
183,United Airlines,2019-03-06,Indira Gandhi International Airport,Delhi,1,SAN International Airport,San Diego,16:07,07:20,3,370,False,Economy,,,
184,United Airlines,2019-03-03,Kingsford Smith International Airport,Sydney,1,McCarran International Airport,Las Vegas,13:32,12:05,1,279,False,Economy,,,
185,American Airlines,2019-03-04,Kingsford Smith International Airport,Sydney,1,McCarran International Airport,Las Vegas,13:32,09:30,1,453,False,Premium Economy,,,
186,Delta Airlines,2019-03-08,Sky Harbor International Airport,Phoenix,1,KLIA International Airport,Kuala Lumpur,07:57,00:15,4,413,False,Economy,,,
187,American Airlines,2019-03-05,Heathrow International Airport,London,1,Dulles International Airport,Washington,01:37,10:15,4,331,False,Economy,,,
188,American Airlines,2019-03-11,Hartsfield-Jackson International Airport,Atlanta,1,KLIA International Airport,Kuala Lumpur,04:39,13:45,1,465,False,Economy,,,
189,American Airlines,2019-03-05,LAX International Airport,Los Angeles,0,SFO International Airport,San Francisco,17:15,15:50,1,82,False,Economy,,,
190,American Airlines,2019-03-06,Dulles International Airport,Washington,1,PDX International Airport,Portland,17:33,06:00,1,239,False,Economy,,,
191,Delta Airlines,2019-03-05,McCarran International Airport,Las Vegas,1,YVR International Airport,Vancouver,09:15,03:20,1,355,False,Premium Economy,,,
192,Southwest Airlines,2019-03-05,Toronto Pearson International Airport,Toronto,1,Seattle-Tacoma International Airport,Seattle,14:38,04:25,3,256,True,Economy,,,
