,location,number_of_rooms,phone_number,place_name,price_per_night,smoking_allowed,star_rating,street_address,check_in_date,stay_length
39,Philadelphia,1,+1 215-238-6000,Sheraton Philadelphia Society Hill Hotel,152,False,4,One Dock Street,,
40,Philadelphia,1,+1 215-569-8300,Sofitel Philadelphia At Rittenhouse Square,100,False,4,120 South 17th Street,,
41,Philadelphia,2,+1 215-222-0200,"The Inn At Penn, A Hilton Hotel",224,False,4,3600 Sansom Street,,
42,Philadelphia,2,+1 215-563-1600,The Westin Philadelphia,304,False,4,"At Liberty Place, 99 South 17th Street",,
43,Philadelphia,1,+1 215-521-6500,Hilton Philadelphia At Penn'S Landing,264,False,4,201 South Christopher Columbus Boulevard,,
44,Philadelphia,1,+1 855-295-2355,Kimpton Hotel Monaco Philadelphia,160,False,4,433 Chestnut Street,,
45,Philadelphia,1,+1 215-422-8200,Le MeRidien Philadelphia,384,False,4,1421 Arch Street,,
46,Philadelphia,1,+1 215-492-9000,Philadelphia Airport Marriott,384,False,4,One Arrivals Road Terminal B,,
47,Philadelphia,1,+1 215-222-0200,"The Inn At Penn, A Hilton Hotel",224,False,4,3600 Sansom Street,,
48,Philadelphia,1,+1 215-563-1600,The Westin Philadelphia,304,False,4,"At Liberty Place, 99 South 17th Street",,
49,Philadelphia,1,+1 855-295-2355,Kimpton Hotel Monaco Philadelphia,84,False,4,433 Chestnut Street,2019-03-02,7
50,Sydney,3,+61 2 9249 7000,Adina Apartment Hotel Sydney Darling Harbour,360,True,4,55 Shelley Street,,
51,Sydney,3,+61 2 9274 0000,Adina Apartment Hotel Sydney Town Hall,324,False,4,511 Kent Street,,
52,Sydney,3,+61 1300 633 462,Adina Serviced Apartments Sydney Martin Place (Formerly Medina),264,False,4,1 Hosking Place,,
53,Sydney,3,+61 2 9696 2500,Amora Hotel,315,False,5,11 Jamison Street,,
54,Sydney,3,+61 1800 242 273,Base Backpackers Sydney,198,False,2,477 Kent Street,,
55,Sydney,3,+61 2 8017 8888,Breakfree On Clarence,207,True,3,193-195 Clarence Street,,
56,Sydney,3,+61 132007,Breakfree On George,360,True,4,653 George Street,,
57,Sydney,3,+61 2 9491 9500,Courtyard By Marriott Sydney-North Ryde,468,False,4,7-11 Talavera Road North Ryde,,
58,Sydney,3,+61 2 9240 3100,Establishment Hotel,495,False,5,5 Bridge Lane,,
59,Sydney,3,+61 2 8823 8888,Fraser Suites Sydney,585,False,5,488 Kent Street,,
60,Sydney,3,+61 2 9249 7000,Adina Apartment Hotel Sydney Darling Harbour,432,True,4,55 Shelley Street,2019-03-06,5
61,New York,3,+1 212-235-1111,11 Howard,270,True,3,11 Howard Street,,
62,New York,2,+1 718-631-5900,Adria Hotel & Conference Center,234,True,3,"221-17 Northern Boulevard, Bayside",,
63,New York,3,+1 212-749-4000,Aloft Harlem,243,False,3,2296 Frederick Douglass Boulevard,,
64,New York,2,+1 718-433-9305,Aloft Long Island City-Manhattan View,234,False,3,"27-45 Jackson Avenue, Long Island City",,
65,New York,1,+1 212-513-0003,Aloft Manhattan Downtown - Financial District,63,False,3,49-53 Ann Street,,
66,New York,2,+1 718-256-3833,Aloft New York Brooklyn,186,False,3,"216 Duffield Street, Brooklyn",,
67,New York,2,+1 855-767-5050,Ameritania At Times Square,120,False,3,"5502, 230 West 54th Street",,
68,New York,2,+1 855-781-0088,Amsterdam Court Hotel,216,True,3,226 West 50th Street,,
69,New York,1,+1 212-245-7000,Belvedere Hotel,96,False,3,319 West 48th Street,,
70,New York,2,+1 212-925-1177,Best Western Bowery Hanbee Hotel,204,False,3,231 Grand Street,,
71,New York,2,+1 212-235-1111,11 Howard,180,True,3,11 Howard Street,2019-03-01,12
72,London,3,+44 20 7247 3313,Arbor City Hotel,324,False,3,12-20 Osborn Street,,
73,London,2,+44 20 7402 5447,Ascot Hyde Park Hotel,210,False,3,11 Craven Road,,
74,London,3,+44 20 3953 4251,Assembly Hotel London,252,True,3,27 - 31 Charing Cross Road,,
75,London,1,+44 20 7636 4133,Astor Court Hotel,63,False,3,"20 Hallam Street, Oxford Circus",,
76,London,3,+44 20 7244 5700,Avni Kensington Hotel,333,False,3,40-44 Harrington Gardens,,
77,London,2,+44 20 7727 8621,Bayswater Inn Hotel,186,False,3,8-16 Prince's Square,,
78,London,2,+44 20 7221 2220,Berjaya Eden Park Hotel,222,True,3,35-39 Inverness Terrace,,
79,London,3,+44 20 7722 2281,Best Western Swiss Cottage Hotel,189,True,3,4 Adamson Road,,
80,London,2,+44 20 7233 6636,Comfort Inn Victoria London,234,True,3,18-24 Belgrave Road,,
81,London,1,+44 20 7723 2939,Days Inn London Hyde Park,93,True,3,148-152 Sussex Gardens,,
82,London,3,+44 20 7434 1775,Dean Street Townhouse,216,True,3,69 - 71 Dean Street,,
83,London,3,+44 20 8742 1717,High Road House,243,True,3,162-170 Chiswick High Road,,
84,London,3,+44 333 321 3104,Hub By Premier Inn London King'S Cross,252,True,3,50 Wharfdale Road,,
85,London,1,+44 20 3841 0001,Hub By Premier Inn London Tower Bridge,84,True,3,28 Great Tower Street,,
86,London,2,+44 20 3953 4251,Assembly Hotel London,162,True,3,27 - 31 Charing Cross Road,2019-03-05,8
87,San Diego,1,+1 858-539-8666,Bahia Resort Hotel,225,False,3,998 West Mission Bay Drive,,
88,San Diego,1,+1 619-233-7500,Best Western Plus Bayside Inn,234,True,3,555 West Ash Street,,
89,San Diego,1,+1 619-298-4707,Best Western Plus Hacienda Hotel Old Town,198,False,3,4041 Harney Street,,
90,San Diego,1,+1 619-222-0561,Best Western Plus Island Palms Hotel & Marina,63,False,3,2051 Shelter Island Drive,,
91,San Diego,1,+1 619-291-1300,Best Western Seven Seas,111,False,3,411 Hotel Circle South,,
92,San Diego,1,+1 858-488-4700,Blue Sea Beach Hotel,90,False,3,707 Pacific Beach Drive,,
93,San Diego,1,+1 858-483-6110,Capri By The Sea By All Seasons Resort Lodging,192,False,3,4767 Ocean Boulevard,,
94,San Diego,1,+1 619-881-6200,Comfort Inn & Suites San Diego - Zoo Seaworld Area,189,False,3,2485 Hotel Circle Place,,
95,San Diego,1,+1 619-221-1900,Courtyard By Marriott San Diego Airport/Liberty Station,81,False,3,2592 Laning Road,,
96,San Diego,1,+1 858-573-0700,Courtyard By Marriott San Diego Central,333,False,3,8651 Spectrum Center Boulevard,,
97,San Diego,1,+1 858-539-8666,Bahia Resort Hotel,168,False,3,998 West Mission Bay Drive,2019-03-05,1
98,New York,1,+1 718-388-4433,Bklyn House Hotel,62,True,2,"9 Beaver Street, Brooklyn",,
99,New York,1,+1 718-381-1118,Bogart Hotel,156,True,2,"19 Bogart Street, Brooklyn",,
100,New York,1,+1 212-865-7711,Broadway Hotel & Hostel,96,False,2,230 West 101st Street,,
101,New York,1,+1 646-882-0428,Canal Loft Hotel,138,True,2,94 Canal Street,,
102,New York,1,+1 212-679-0680,Carlton Arms Hotel,78,True,2,160 East 25th Street,,
103,New York,1,+1 212-645-8989,Chelsea Inn Hotel,152,True,2,"46 West 17th Street, Between 5th and 6th Avenue",,
104,New York,1,+1 212-929-9353,Chelsea Savoy Hotel,144,False,2,204 West 23rd Street,,
105,New York,1,+1 917-261-6971,City Rooms Nyc Times Square,116,False,2,765 8th Avenue,,
106,New York,1,+1 520-505-2362,Comfort Inn Times Square West,68,False,2,343 West 44th Street,,
107,New York,1,+1 800-615-3107,Days Inn By Wyndham Hotel New York City-Broadway,192,True,2,215 West 94th Street,,
108,New York,1,+1 718-388-4433,Bklyn House Hotel,62,True,2,"9 Beaver Street, Brooklyn",2019-03-10,2
109,San Francisco,1,+1 415-673-3277,Amsterdam Hostel San Francisco,24,False,1,749 Taylor Street,,
110,San Francisco,3,+1 415-563-0800,Argonaut Hotel,408,False,4,495 Jefferson Street,,
111,San Francisco,1,+1 415-621-8212,Beck'S Motor Lodge,60,False,2,2222 Market Street,,
112,San Francisco,3,+1 415-626-6103,Bei Hotel San Francisco,351,True,3,50 8th Street,,
113,San Francisco,2,+1 415-673-2600,Beresford Arms Hotel,132,False,3,701 Post Street,,
114,San Francisco,2,+1 415-552-7100,Casa Loma Hotel,124,False,2,610 Fillmore Street,,
115,San Francisco,3,+1 415-362-2004,Chancellor Hotel On Union Square,189,False,3,433 Powell Street,,
116,San Francisco,2,+1 415-563-5600,Chelsea,96,False,2,2095 Lombard Street,,
117,San Francisco,1,+1 415-928-5000,Comfort Inn By The Bay,70,False,2,2775 Van Ness Avenue,,
118,San Francisco,3,+1 415-421-3154,Cornell Hotel De France,306,False,3,715 Bush Street,,
119,San Francisco,3,+1 415-563-0800,Argonaut Hotel,408,False,4,495 Jefferson Street,2019-03-02,5
120,London,1,+44 20 8563 8692,Abercorn House,23,False,1,28-30 Bute Gardens,2019-03-01,12
121,New York,2,+1 833-625-6111,1 Hotel Brooklyn Bridge,216,True,4,"60 Furman Street, Brooklyn",,
122,New York,3,+1 212-204-3000,6 Columbus Hotel,396,True,4,308 West 58th Street,,
123,New York,2,+1 212-398-2700,Ac Hotel New York Times Square,176,False,4,260 West 40th Street,,
124,New York,2,+1 212-991-0551,Ace Hotel,296,False,4,20 West 29th Street,,
125,New York,2,+1 646-744-3100,Aka Central Park,232,False,4,42 West 58th Street,,
126,New York,1,+1 212-764-5700,Aka Times Square,108,False,4,123 West 44th Street,,
127,New York,2,+1 212-252-9090,Aka Wall Street,200,True,4,84 William Street,,
128,New York,3,+1 646-609-5122,Aliz Hotel Times Square,288,False,4,310 West 40th Street,,
129,New York,3,+1 212-601-1234,Andaz 5Th Avenue - A Concept By Hyatt,348,False,4,485 5th Avenue,,
130,New York,1,+1 212-806-7000,Arlo Nomad,144,False,4,11 East 31st Street,,
131,San Francisco,1,+1 415-563-0800,Argonaut Hotel,408,False,4,495 Jefferson Street,,
132,San Francisco,1,+1 415-626-6103,Bei Hotel San Francisco,351,True,3,50 8th Street,,
133,San Francisco,1,+1 415-673-2600,Beresford Arms Hotel,132,False,3,701 Post Street,,
134,San Francisco,1,+1 415-552-7100,Casa Loma Hotel,124,False,2,610 Fillmore Street,,
135,San Francisco,1,+1 415-362-2004,Chancellor Hotel On Union Square,189,False,3,433 Powell Street,,
136,San Francisco,1,+1 415-563-5600,Chelsea,96,False,2,2095 Lombard Street,,
137,San Francisco,1,+1 415-421-3154,Cornell Hotel De France,306,False,3,715 Bush Street,,
138,San Francisco,1,+1 415-563-0800,Argonaut Hotel,408,False,4,495 Jefferson Street,2019-03-02,5
139,Phoenix,3,+1 602-275-6300,Aloft Phoenix-Airport,216,False,3,4450 East Washington Street,,
140,Phoenix,1,+1 480-585-6644,Cambria Hotel North Scottsdale Desert Ridge,72,False,3,4425 E Irma Ln&nbsp,,
141,Phoenix,2,+1 602-603-2001,Courtyard By Marriott Phoenix Downtown,228,False,3,132 South Central Avenue,,
142,Phoenix,3,+1 602-273-7778,Crowne Plaza Phoenix Airport,189,False,3,4300 East Washington Street,,
143,Phoenix,1,+1 602-225-0500,Doubletree Suites By Hilton Hotel Phoenix,117,False,3,320 North 44th Street,,
144,Phoenix,1,+1 602-437-8400,Drury Inn & Suites Phoenix Airport,90,False,3,3333 East University Drive,,
145,Phoenix,2,+1 623-879-8800,Drury Inn & Suites Phoenix Happy Valley,210,False,3,2335 West Pinnacle Peak Road,,
146,Phoenix,3,+1 602-957-1910,Embassy Suites By Hilton Phoenix Airport,189,True,3,2333 East Thomas Road,,
147,Phoenix,2,+1 602-955-3992,Embassy Suites By Hilton Phoenix Biltmore,162,False,3,2630 East Camelback Road,,
148,Phoenix,1,+1 602-222-1111,Embassy Suites By Hilton Phoenix Downtown North,96,True,3,10 East Thomas Road,,
149,Phoenix,2,+1 602-426-2638,Arizona Grand Resort & Spa,168,True,4,8000 Arizona Grand Parkway,,
150,Phoenix,2,+1 877-488-1908,Kimpton Hotel Palomar Phoenix,248,False,4,2 East Jefferson Street,,
151,Phoenix,2,+1 480-629-3200,Marriott'S Canyon Villas,248,False,4,5220 East Marriott Drive,,
152,Phoenix,2,+1 602-997-2626,Pointe Hilton Squaw Peak Resort,208,False,4,7677 North 16th Street,,
153,Phoenix,1,+1 602-943-8200,Sheraton Crescent Hotel,140,False,4,2620 West Dunlap Avenue,,
154,Phoenix,2,+1 602-252-7363,The Clarendon Hotel And Spa,312,False,4,401 West Clarendon Avenue,,
155,Phoenix,2,+1 602-429-3500,The Westin Phoenix Downtown,256,False,4,333 North Central Avenue,,
156,Phoenix,3,+1 602-426-2638,Arizona Grand Resort & Spa,372,True,4,8000 Arizona Grand Parkway,2019-03-01,12
157,London,1,+44 20 7493 4545,45 Park Lane,250,False,5,45 Park Lane,2019-03-07,6
158,Atlanta,1,+1 470-231-3030,Ac Hotel By Marriott Atlanta Buckhead At Phipps Plaza,140,False,4,3600 Wieuca Road Northeast,,
159,Atlanta,3,+1 404-524-5555,Ac Hotel By Marriott Atlanta Downtown,216,False,3,101 Andrew Young International Boulevard Northwest,,
160,Atlanta,3,+1 678-515-0300,Aloft Atlanta Downtown,333,False,3,300 Ted Turner Drive Northwest,,
161,Atlanta,3,+1 404-876-8888,Atlanta Marriott Suites Midtown,333,False,3,35 14th Street Northeast,,
162,Atlanta,2,+1 404-524-7991,Barclay Hotel Atlanta Downtown,104,True,2,89 Luckie Street Northwest,,
163,Atlanta,1,+1 404-685-1677,Canopy By Hilton Atlanta Midtown,88,False,4,1414 West Peachtree Street Northwest,,
164,Atlanta,2,+1 404-893-4663,Clarion Inn & Suites Atlanta Downtown,140,True,2,186 Northside Drive Southwest,,
165,Atlanta,2,+1 404-658-1961,"Country Inn & Suites By Radisson, Atlanta Downtown South At Turner Field, Ga",150,False,3,759 Pollard Boulevard Southwest,,
166,Atlanta,2,+1 404-869-0818,Courtyard By Marriott Atlanta Buckhead,174,False,3,3332 Peachtree Road Northeast,,
167,Atlanta,2,+1 404-877-9000,Crowne Plaza Atlanta - Midtown,138,False,3,590 West Peachtree Street Northwest,,
168,Atlanta,1,+1 470-231-3030,Ac Hotel By Marriott Atlanta Buckhead At Phipps Plaza,140,False,4,3600 Wieuca Road Northeast,2019-03-04,6
169,New York,3,+1 718-381-1118,Bogart Hotel,156,True,2,"19 Bogart Street, Brooklyn",,
170,New York,2,+1 212-865-7711,Broadway Hotel & Hostel,96,False,2,230 West 101st Street,,
171,New York,3,+1 646-882-0428,Canal Loft Hotel,138,True,2,94 Canal Street,,
172,New York,2,+1 212-645-8989,Chelsea Inn Hotel,152,True,2,"46 West 17th Street, Between 5th and 6th Avenue",,
173,New York,2,+1 212-929-9353,Chelsea Savoy Hotel,144,False,2,204 West 23rd Street,,
174,New York,2,+1 917-261-6971,City Rooms Nyc Times Square,116,False,2,765 8th Avenue,,
175,New York,3,+1 800-615-3107,Days Inn By Wyndham Hotel New York City-Broadway,192,True,2,215 West 94th Street,,
176,New York,3,+1 212-865-7711,Broadway Hotel & Hostel,216,False,2,230 West 101st Street,2019-03-05,8
177,New York,1,+1 833-625-6111,1 Hotel Brooklyn Bridge,216,True,4,"60 Furman Street, Brooklyn",,
178,New York,1,+1 212-204-3000,6 Columbus Hotel,396,True,4,308 West 58th Street,,
179,New York,1,+1 212-398-2700,Ac Hotel New York Times Square,176,False,4,260 West 40th Street,,
180,New York,1,+1 212-991-0551,Ace Hotel,296,False,4,20 West 29th Street,,
181,New York,1,+1 646-744-3100,Aka Central Park,232,False,4,42 West 58th Street,,
182,New York,1,+1 212-252-9090,Aka Wall Street,200,True,4,84 William Street,,
183,New York,1,+1 646-609-5122,Aliz Hotel Times Square,288,False,4,310 West 40th Street,,
184,New York,1,+1 212-601-1234,Andaz 5Th Avenue - A Concept By Hyatt,348,False,4,485 5th Avenue,,
185,New York,1,+1 833-625-6111,1 Hotel Brooklyn Bridge,312,True,4,"60 Furman Street, Brooklyn",2019-03-01,10
186,London,3,+44 20 7493 4545,45 Park Lane,480,False,5,45 Park Lane,,
187,London,3,+44 20 7706 4660,Abc Hyde Park Hotel,261,False,3,121 Sussex Gardens,,
188,London,3,+44 20 8563 8692,Abercorn House,66,False,1,28-30 Bute Gardens,,
189,London,3,+44 20 7403 4299,Accommodation London Bridge,288,False,3,58 Great Dover Street,,
190,London,3,+44 20 7613 9800,Ace Hotel London,420,False,4,100 Shoreditch High Street,,
191,London,3,+44 20 7388 9930,Ambassadors Bloomsbury Hotel,264,False,4,12 Upper Woburn Place,,
192,London,3,+44 20 7373 1075,Ambassadors Hotel,315,False,3,16 Collingham Road,,
193,London,3,+44 20 7377 4390,Batty Langley'S Hotel,510,False,5,12 Folgate Street,,
194,London,3,+44 20 3327 4142,Chelsea Bridge Apartments,390,False,5,124 Prince Of Wales Drive,,
195,London,3,+44 20 7447 1000,Como Metropolitan London,480,False,5,19 Old Park Lane,,
196,London,3,+44 20 3750 4545,Devonshire Club,585,True,5,5 Devonshire Square,,
197,London,3,+44 20 7491 4840,Dukes London,495,False,5,35 Saint James's Place,,
198,London,3,+44 20 3297 9200,Four Seasons Hotel London At Ten Trinity Square,435,True,5,10 Trinity Square,,
199,London,3,+44 800 032 3483,Fraser Suites Kensington,375,False,5,75 Stanhope Gardens,,
200,London,3,+44 20 3388 0800,"Great Northern Hotel, A Tribute Portfolio Hotel, London",345,False,5,Pancras Road,,
201,London,3,+44 20 3642 2000,Ham Yard Hotel,390,False,5,1 Ham Yard,,
202,London,3,+44 20 7278 2666,Arriva Hotel,234,False,2,Swinton Street,,
203,London,3,+44 20 7828 1563,Belgrave House Hotel London Victoria,198,False,2,28 - 32 Belgrave Road,,
204,London,3,+44 20 7183 9400,Clink78,210,False,2,78 King's Cross Road,,
205,London,3,+44 20 7370 1222,Cromwell International Hotel,198,False,2,139-141 Cromwell Road,,
206,London,3,+44 20 3002 2960,Hampton By Hilton London Docklands,138,False,2,Dockside Road,,
207,London,3,+44 20 7474 9106,Hotel Ibis Budget London City Airport,192,False,2,North Woolwich Road,,
208,London,3,+44 333 321 3104,Hub By Premier Inn London Covent Garden,156,True,2,110 Saint Martin's Lane,,
209,London,3,+44 871 527 9588,"Hub By Premier Inn London Spitalfields, Brick Lane",168,True,2,86 Brick Lane,,
210,London,3,+44 871 527 9706,"Hub By Premier Inn London Westminster, St James'S Park",210,True,2,15 Dacre Street,,
211,London,3,+44 20 7655 4620,Ibis Budget London Whitechapel Hotel,204,False,2,100 Whitechapel Road,,
212,London,3,+44 20 7278 2666,Arriva Hotel,234,False,2,Swinton Street,2019-03-05,5
213,New York,2,+1 212-703-2001,1 Hotel Central Park,330,True,5,1414 6th Avenue,,
214,New York,1,+1 833-625-6111,1 Hotel Brooklyn Bridge,216,True,4,"60 Furman Street, Brooklyn",2019-03-07,4
215,London,2,+44 20 7377 4390,Batty Langley'S Hotel,240,False,5,12 Folgate Street,,
216,London,2,+44 20 3750 4545,Devonshire Club,250,True,5,5 Devonshire Square,,
217,London,2,+44 20 3297 9200,Four Seasons Hotel London At Ten Trinity Square,220,True,5,10 Trinity Square,,
218,London,2,+44 20 3388 0800,"Great Northern Hotel, A Tribute Portfolio Hotel, London",370,False,5,Pancras Road,,
219,London,2,+44 20 3642 2000,Ham Yard Hotel,330,False,5,1 Ham Yard,,
220,London,1,+44 20 7493 4545,45 Park Lane,330,False,5,45 Park Lane,,
221,London,1,+44 20 7377 4390,Batty Langley'S Hotel,240,False,5,12 Folgate Street,,
222,London,1,+44 20 3327 4142,Chelsea Bridge Apartments,390,False,5,124 Prince Of Wales Drive,,
223,London,1,+44 20 7447 1000,Como Metropolitan London,480,False,5,19 Old Park Lane,,
224,London,1,+44 20 3750 4545,Devonshire Club,250,True,5,5 Devonshire Square,,
225,London,1,+44 20 7491 4840,Dukes London,495,False,5,35 Saint James's Place,,
226,London,1,+44 20 3297 9200,Four Seasons Hotel London At Ten Trinity Square,220,True,5,10 Trinity Square,,
227,London,1,+44 800 032 3483,Fraser Suites Kensington,375,False,5,75 Stanhope Gardens,,
228,London,1,+44 20 3327 4142,Chelsea Bridge Apartments,250,False,5,124 Prince Of Wales Drive,2019-03-04,8
229,London,1,+44 20 7493 4545,45 Park Lane,330,False,5,45 Park Lane,2019-03-08,6
230,San Francisco,3,+1 415-947-0700,Courtyard By Marriott San Francisco Downtown,351,False,3,299 2nd Street,,
231,San Francisco,1,+1 415-346-3800,Courtyard By Marriott San Francisco Union Square,96,False,3,761 Post Street,,
232,San Francisco,1,+1 415-771-3000,Cova Hotel,96,False,3,655 Ellis Street,,
233,San Francisco,3,+1 800-654-1100,Executive Hotel Vintage Court San Francisco,333,False,3,650 Bush Street,,
234,San Francisco,1,+1 415-546-3110,Hampton Inn San Francisco Downtown/Convention Center,102,False,3,942 Mission Street,,
235,San Francisco,3,+1 415-781-7800,Handlery Union Square Hotel,324,False,3,351 Geary Street,,
236,San Francisco,2,+1 415-626-6103,Bei Hotel San Francisco,351,True,3,50 8th Street,2019-03-02,12
237,Kuala Lumpur,2,+60 3-2030 1888,Cosmo Hotel Kuala Lumpur,192,False,3,"13, 15, Leboh Ampang, City Centre, 50050",,
238,Kuala Lumpur,2,+60 3-4051 9191,Edc Hotel Kuala Lumpur,186,True,3,"Jalan Raja Laut, Chow Kit, 50350 Kuala Lumpur, Wilayah Persekutuan",,
239,Kuala Lumpur,3,+60 3-2778 8888,Hilton Garden Inn Kuala Lumpur Jalan Tuanku Abdul Rahman North,297,False,3,"449, Jalan Tuanku Abdul Rahman, Chow Kit, 50100",,
240,Kuala Lumpur,2,+60 3-2028 8888,Holiday Inn Express Kuala Lumpur City Centre,192,False,3,"84, Jalan Raja Chulan, 50200 Kuala Lumpur, Wilayah Persekutuan",,
241,Kuala Lumpur,2,+60 3-2143 7000,Hotel Capitol Kuala Lumpur,228,True,3,"Jalan Bulan, off, Jalan Bukit Bintang, Bukit Bintang, 55100",,
242,Kuala Lumpur,3,+60 3-2688 1888,Hotel Putra Kuala Lumpur,252,True,3,"Titiwangsa, 53200",,
243,Kuala Lumpur,2,+60 3-2078 0988,Arenaa Star Hotel,198,False,3,"49-51, Jalan Hang Lekiu, 50100",2019-03-10,1
244,New York,2,+1 833-625-6111,1 Hotel Brooklyn Bridge,312,True,4,"60 Furman Street, Brooklyn",2019-03-01,10
245,Paris,2,+33 1 84 82 49 09,Ac Hotel By Marriott Paris Porte Maillot,192,False,4,"6 Rue Gustave Charpentier, 75017",,
246,Paris,1,+33 1 49 52 99 70,Amastan Paris,96,False,4,"34 Rue Jean Mermoz, 75008",,
247,Paris,2,+33 1 44 72 42 00,Aparthotel Adagio Access Paris La Villette,120,False,3,"28bis Avenue Corentin Cariou, 75019",,
248,Paris,1,+33 1 42 57 14 55,Aparthotel Adagio Paris Montmartre,90,True,3,"10 Place Charles Dullin, 75018",,
249,Paris,3,+33 1 48 74 48 71,Austin'S Saint Lazare HoTel,189,False,3,"26 Rue d'Amsterdam, 75009",,
