,departure_date,departure_time,destination,destination_station_name,fare_type,group_size,origin,origin_station_name,price
58,2019-03-01,16:10,Portland,Portland Bus Station,Flexible,2,Vancouver,Pacific Central Station,58
59,2019-03-01,16:50,Portland,Portland Bus Station,Flexible,2,Vancouver,Pacific Central Station,60
60,2019-03-01,17:10,Portland,Portland Bus Station,Flexible,2,Vancouver,Pacific Central Station,58
61,2019-03-01,18:20,Portland,Portland Bus Station,Flexible,2,Vancouver,Pacific Central Station,61
62,2019-03-01,19:20,Portland,Portland Bus Station,Flexible,2,Vancouver,Pacific Central Station,59
63,2019-03-09,10:50,San Francisco,Salesforce Transit Center,Economy,1,Las Vegas,Union Plaza,53
64,2019-03-09,12:50,San Francisco,Salesforce Transit Center,Economy,1,Las Vegas,Union Plaza,47
65,2019-03-09,14:40,San Francisco,Salesforce Transit Center,Economy,1,Las Vegas,Union Plaza,52
66,2019-03-09,14:50,San Francisco,Salesforce Transit Center,Economy,1,Las Vegas,Union Plaza,59
67,2019-03-09,15:50,San Francisco,Salesforce Transit Center,Economy,1,Las Vegas,Union Plaza,54
68,2019-03-09,19:40,San Francisco,Salesforce Transit Center,Economy,1,Las Vegas,Union Plaza,51
69,2019-03-02,07:30,Fresno,Fresno Station,Economy,4,Los Angeles,Union Station,36
70,2019-03-02,10:40,Fresno,Fresno Station,Economy,4,Los Angeles,Union Station,35
71,2019-03-02,12:40,Fresno,Fresno Station,Economy,4,Los Angeles,Union Station,35
72,2019-03-02,13:10,Fresno,Fresno Station,Economy,4,Los Angeles,Union Station,35
73,2019-03-02,15:30,Fresno,Fresno Station,Economy,4,Los Angeles,Union Station,38
74,2019-03-02,17:30,Fresno,Fresno Station,Economy,4,Los Angeles,Union Station,36
75,2019-03-02,17:40,Fresno,Fresno Station,Economy,4,Los Angeles,Union Station,35
76,2019-03-02,18:10,Fresno,Fresno Station,Economy,4,Los Angeles,Union Station,33
77,2019-03-02,19:20,Fresno,Fresno Station,Economy,4,Los Angeles,Union Station,35
78,2019-03-02,06:40,Fresno,Fresno Station,Economy,4,Anaheim,Anaheim Intermodal Center,40
79,2019-03-02,08:20,Fresno,Fresno Station,Economy,4,Anaheim,Anaheim Intermodal Center,36
80,2019-03-02,14:20,Fresno,Fresno Station,Economy,4,Anaheim,Anaheim Intermodal Center,36
81,2019-03-02,15:10,Fresno,Fresno Station,Economy,4,Anaheim,Anaheim Intermodal Center,37
82,2019-03-14,11:10,Fresno,Fresno Station,Economy,1,Long Beach,Downtown Station,40
83,2019-03-14,13:50,Fresno,Fresno Station,Economy,1,Long Beach,Downtown Station,38
84,2019-03-14,14:50,Fresno,Fresno Station,Economy,1,Long Beach,Downtown Station,26
85,2019-03-14,15:20,Fresno,Fresno Station,Economy,1,Long Beach,Downtown Station,36
86,2019-03-14,16:10,Fresno,Fresno Station,Economy,1,Long Beach,Downtown Station,40
87,2019-03-14,19:50,Fresno,Fresno Station,Economy,1,Long Beach,Downtown Station,39
88,2019-03-09,06:50,Sacramento,Sacramento Valley Station,Economy,1,Long Beach,Downtown Station,62
89,2019-03-09,07:00,Sacramento,Sacramento Valley Station,Economy,1,Long Beach,Downtown Station,68
90,2019-03-09,08:30,Sacramento,Sacramento Valley Station,Economy,1,Long Beach,Downtown Station,68
91,2019-03-09,10:20,Sacramento,Sacramento Valley Station,Economy,1,Long Beach,Downtown Station,58
92,2019-03-09,10:30,Sacramento,Sacramento Valley Station,Economy,1,Long Beach,Downtown Station,63
93,2019-03-09,10:40,Sacramento,Sacramento Valley Station,Economy,1,Long Beach,Downtown Station,55
94,2019-03-09,13:40,Sacramento,Sacramento Valley Station,Economy,1,Long Beach,Downtown Station,55
95,2019-03-09,13:50,Sacramento,Sacramento Valley Station,Economy,1,Long Beach,Downtown Station,56
96,2019-03-09,15:20,Sacramento,Sacramento Valley Station,Economy,1,Long Beach,Downtown Station,54
97,2019-03-07,10:10,Anaheim,Anaheim Intermodal Center,Economy,1,San Diego,Santa Fe Depot,25
98,2019-03-07,10:40,Anaheim,Anaheim Intermodal Center,Economy,1,San Diego,Santa Fe Depot,24
99,2019-03-07,13:20,Anaheim,Anaheim Intermodal Center,Economy,1,San Diego,Santa Fe Depot,22
100,2019-03-07,14:00,Anaheim,Anaheim Intermodal Center,Economy,1,San Diego,Santa Fe Depot,24
101,2019-03-07,14:10,Anaheim,Anaheim Intermodal Center,Economy,1,San Diego,Santa Fe Depot,25
102,2019-03-07,16:50,Anaheim,Anaheim Intermodal Center,Economy,1,San Diego,Santa Fe Depot,24
103,2019-03-07,18:00,Anaheim,Anaheim Intermodal Center,Economy,1,San Diego,Santa Fe Depot,22
104,2019-03-07,18:10,Anaheim,Anaheim Intermodal Center,Economy,1,San Diego,Santa Fe Depot,23
105,2019-03-07,18:40,Anaheim,Anaheim Intermodal Center,Economy,1,San Diego,Santa Fe Depot,27
106,2019-03-07,10:10,Anaheim,Anaheim Intermodal Center,Economy,3,San Diego,Santa Fe Depot,25
107,2019-03-07,10:40,Anaheim,Anaheim Intermodal Center,Economy,3,San Diego,Santa Fe Depot,24
108,2019-03-07,13:20,Anaheim,Anaheim Intermodal Center,Economy,3,San Diego,Santa Fe Depot,22
109,2019-03-07,14:00,Anaheim,Anaheim Intermodal Center,Economy,3,San Diego,Santa Fe Depot,24
110,2019-03-07,14:10,Anaheim,Anaheim Intermodal Center,Economy,3,San Diego,Santa Fe Depot,25
111,2019-03-07,16:50,Anaheim,Anaheim Intermodal Center,Economy,3,San Diego,Santa Fe Depot,24
112,2019-03-07,18:00,Anaheim,Anaheim Intermodal Center,Economy,3,San Diego,Santa Fe Depot,22
113,2019-03-07,18:10,Anaheim,Anaheim Intermodal Center,Economy,3,San Diego,Santa Fe Depot,23
114,2019-03-07,18:40,Anaheim,Anaheim Intermodal Center,Economy,3,San Diego,Santa Fe Depot,27
115,2019-03-01,07:00,San Francisco,Salesforce Transit Center,Economy extra,1,Fresno,Fresno Station,37
116,2019-03-01,07:50,San Francisco,Salesforce Transit Center,Economy extra,1,Fresno,Fresno Station,47
117,2019-03-01,09:00,San Francisco,Salesforce Transit Center,Economy extra,1,Fresno,Fresno Station,42
118,2019-03-01,10:20,San Francisco,Salesforce Transit Center,Economy extra,1,Fresno,Fresno Station,38
119,2019-03-01,11:20,San Francisco,Salesforce Transit Center,Economy extra,1,Fresno,Fresno Station,41
120,2019-03-01,12:20,San Francisco,Salesforce Transit Center,Economy extra,1,Fresno,Fresno Station,48
121,2019-03-01,13:10,San Francisco,Salesforce Transit Center,Economy extra,1,Fresno,Fresno Station,43
122,2019-03-01,13:30,San Francisco,Salesforce Transit Center,Economy extra,1,Fresno,Fresno Station,42
123,2019-03-01,16:50,San Francisco,Salesforce Transit Center,Economy extra,1,Fresno,Fresno Station,43
124,2019-03-01,09:50,Long Beach,Downtown Station,Economy extra,3,Fresno,Fresno Station,51
125,2019-03-01,12:30,Long Beach,Downtown Station,Economy extra,3,Fresno,Fresno Station,49
126,2019-03-01,13:40,Long Beach,Downtown Station,Economy extra,3,Fresno,Fresno Station,49
127,2019-03-01,17:10,Long Beach,Downtown Station,Economy extra,3,Fresno,Fresno Station,48
128,2019-03-01,18:40,Long Beach,Downtown Station,Economy extra,3,Fresno,Fresno Station,47
129,2019-03-01,19:00,Long Beach,Downtown Station,Economy extra,3,Fresno,Fresno Station,47
130,2019-03-14,07:00,San Diego,Santa Fe Depot,Economy,1,Long Beach,Downtown Station,20
131,2019-03-14,08:40,San Diego,Santa Fe Depot,Economy,1,Long Beach,Downtown Station,26
132,2019-03-14,10:30,San Diego,Santa Fe Depot,Economy,1,Long Beach,Downtown Station,26
133,2019-03-14,11:30,San Diego,Santa Fe Depot,Economy,1,Long Beach,Downtown Station,25
134,2019-03-14,11:40,San Diego,Santa Fe Depot,Economy,1,Long Beach,Downtown Station,24
135,2019-03-14,11:50,San Diego,Santa Fe Depot,Economy,1,Long Beach,Downtown Station,23
136,2019-03-14,13:00,San Diego,Santa Fe Depot,Economy,1,Long Beach,Downtown Station,30
137,2019-03-14,15:40,San Diego,Santa Fe Depot,Economy,1,Long Beach,Downtown Station,24
138,2019-03-14,15:50,San Diego,Santa Fe Depot,Economy,1,Long Beach,Downtown Station,23
139,2019-03-14,19:40,San Diego,Santa Fe Depot,Economy,1,Long Beach,Downtown Station,24
140,2019-03-02,07:10,Fresno,Fresno Station,Flexible,1,Las Vegas,Union Plaza,64
141,2019-03-02,07:50,Fresno,Fresno Station,Flexible,1,Las Vegas,Union Plaza,62
142,2019-03-02,11:20,Fresno,Fresno Station,Flexible,1,Las Vegas,Union Plaza,61
143,2019-03-02,12:20,Fresno,Fresno Station,Flexible,1,Las Vegas,Union Plaza,60
144,2019-03-02,14:00,Fresno,Fresno Station,Flexible,1,Las Vegas,Union Plaza,63
145,2019-03-02,14:10,Fresno,Fresno Station,Flexible,1,Las Vegas,Union Plaza,61
146,2019-03-02,14:50,Fresno,Fresno Station,Flexible,1,Las Vegas,Union Plaza,61
147,2019-03-02,15:40,Fresno,Fresno Station,Flexible,1,Las Vegas,Union Plaza,62
148,2019-03-02,16:00,Fresno,Fresno Station,Flexible,1,Las Vegas,Union Plaza,56
149,2019-03-02,16:20,Fresno,Fresno Station,Flexible,1,Las Vegas,Union Plaza,59
150,2019-03-11,09:20,Fresno,Fresno Station,Economy,1,San Francisco,Salesforce Transit Center,31
151,2019-03-11,10:20,Fresno,Fresno Station,Economy,1,San Francisco,Salesforce Transit Center,37
152,2019-03-11,12:20,Fresno,Fresno Station,Economy,1,San Francisco,Salesforce Transit Center,31
153,2019-03-11,14:30,Fresno,Fresno Station,Economy,1,San Francisco,Salesforce Transit Center,31
154,2019-03-11,16:30,Fresno,Fresno Station,Economy,1,San Francisco,Salesforce Transit Center,35
155,2019-03-11,17:30,Fresno,Fresno Station,Economy,1,San Francisco,Salesforce Transit Center,33
156,2019-03-11,18:20,Fresno,Fresno Station,Economy,1,San Francisco,Salesforce Transit Center,33
157,2019-03-03,14:40,Los Angeles,Union Station,Economy,1,Sacramento,Sacramento Valley Station,49
158,2019-03-03,17:00,Los Angeles,Union Station,Economy,1,Sacramento,Sacramento Valley Station,43
159,2019-03-03,18:50,Los Angeles,Union Station,Economy,1,Sacramento,Sacramento Valley Station,47
160,2019-03-03,14:40,Los Angeles,Union Station,Economy extra,1,Sacramento,Sacramento Valley Station,59
161,2019-03-03,17:00,Los Angeles,Union Station,Economy extra,1,Sacramento,Sacramento Valley Station,53
162,2019-03-03,18:50,Los Angeles,Union Station,Economy extra,1,Sacramento,Sacramento Valley Station,57
163,2019-03-02,07:20,Las Vegas,Union Plaza,Economy,1,Fresno,Fresno Station,40
164,2019-03-02,08:50,Las Vegas,Union Plaza,Economy,1,Fresno,Fresno Station,42
165,2019-03-02,09:10,Las Vegas,Union Plaza,Economy,1,Fresno,Fresno Station,39
166,2019-03-02,11:50,Las Vegas,Union Plaza,Economy,1,Fresno,Fresno Station,42
167,2019-03-02,12:00,Las Vegas,Union Plaza,Economy,1,Fresno,Fresno Station,36
168,2019-03-02,12:40,Las Vegas,Union Plaza,Economy,1,Fresno,Fresno Station,45
169,2019-03-02,14:30,Las Vegas,Union Plaza,Economy,1,Fresno,Fresno Station,43
170,2019-03-02,15:00,Las Vegas,Union Plaza,Economy,1,Fresno,Fresno Station,46
171,2019-03-02,17:30,Las Vegas,Union Plaza,Economy,1,Fresno,Fresno Station,42
172,2019-03-02,18:50,Las Vegas,Union Plaza,Economy,1,Fresno,Fresno Station,41
173,2019-03-02,07:40,Philadelphia,Intercity Terminal,Economy,1,New York,Port Authority Station,24
174,2019-03-02,08:00,Philadelphia,Intercity Terminal,Economy,1,New York,Port Authority Station,24
175,2019-03-02,11:30,Philadelphia,Intercity Terminal,Economy,1,New York,Port Authority Station,21
176,2019-03-02,14:10,Philadelphia,Intercity Terminal,Economy,1,New York,Port Authority Station,23
177,2019-03-02,16:30,Philadelphia,Intercity Terminal,Economy,1,New York,Port Authority Station,18
178,2019-03-02,18:30,Philadelphia,Intercity Terminal,Economy,1,New York,Port Authority Station,20
179,2019-03-02,19:40,Philadelphia,Intercity Terminal,Economy,1,New York,Port Authority Station,25
180,2019-03-04,08:50,Fresno,Fresno Station,Flexible,3,San Diego,Santa Fe Depot,63
181,2019-03-04,10:30,Fresno,Fresno Station,Flexible,3,San Diego,Santa Fe Depot,68
182,2019-03-04,13:30,Fresno,Fresno Station,Flexible,3,San Diego,Santa Fe Depot,69
183,2019-03-04,13:40,Fresno,Fresno Station,Flexible,3,San Diego,Santa Fe Depot,61
184,2019-03-04,17:20,Fresno,Fresno Station,Flexible,3,San Diego,Santa Fe Depot,62
185,2019-03-04,19:50,Fresno,Fresno Station,Flexible,3,San Diego,Santa Fe Depot,70
186,2019-03-11,07:00,Los Angeles,Union Station,Economy,1,San Francisco,Salesforce Transit Center,43
187,2019-03-11,07:40,Los Angeles,Union Station,Economy,1,San Francisco,Salesforce Transit Center,54
188,2019-03-11,08:40,Los Angeles,Union Station,Economy,1,San Francisco,Salesforce Transit Center,47
189,2019-03-11,08:50,Los Angeles,Union Station,Economy,1,San Francisco,Salesforce Transit Center,44
190,2019-03-11,10:40,Los Angeles,Union Station,Economy,1,San Francisco,Salesforce Transit Center,48
191,2019-03-11,11:10,Los Angeles,Union Station,Economy,1,San Francisco,Salesforce Transit Center,52
192,2019-03-11,13:10,Los Angeles,Union Station,Economy,1,San Francisco,Salesforce Transit Center,44
193,2019-03-11,14:10,Los Angeles,Union Station,Economy,1,San Francisco,Salesforce Transit Center,37
194,2019-03-11,16:20,Los Angeles,Union Station,Economy,1,San Francisco,Salesforce Transit Center,47
195,2019-03-11,17:50,Los Angeles,Union Station,Economy,1,San Francisco,Salesforce Transit Center,43
196,2019-03-06,06:40,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,66
197,2019-03-06,08:00,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,72
198,2019-03-06,08:40,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,52
199,2019-03-06,10:10,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,64
200,2019-03-06,11:40,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,71
201,2019-03-06,11:50,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,66
202,2019-03-06,12:10,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,58
203,2019-03-06,13:30,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,59
204,2019-03-06,13:50,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,56
205,2019-03-06,14:00,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,65
206,2019-03-13,06:00,Washington,Union Station,Economy,1,New York,Port Authority Station,40
207,2019-03-13,09:40,Washington,Union Station,Economy,1,New York,Port Authority Station,34
208,2019-03-13,11:10,Washington,Union Station,Economy,1,New York,Port Authority Station,36
209,2019-03-13,12:40,Washington,Union Station,Economy,1,New York,Port Authority Station,35
210,2019-03-13,12:50,Washington,Union Station,Economy,1,New York,Port Authority Station,32
211,2019-03-13,13:10,Washington,Union Station,Economy,1,New York,Port Authority Station,39
212,2019-03-13,14:30,Washington,Union Station,Economy,1,New York,Port Authority Station,36
213,2019-03-13,17:10,Washington,Union Station,Economy,1,New York,Port Authority Station,35
214,2019-03-11,06:40,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,68
215,2019-03-11,08:00,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,75
216,2019-03-11,08:40,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,56
217,2019-03-11,10:10,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,63
218,2019-03-11,11:40,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,67
219,2019-03-11,11:50,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,68
220,2019-03-11,12:10,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,65
221,2019-03-11,13:30,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,56
222,2019-03-11,13:50,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,66
223,2019-03-11,14:00,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,65
224,2019-03-07,06:40,Vancouver,Pacific Central Station,Economy,4,Seattle,King Street Station,27
225,2019-03-07,07:40,Vancouver,Pacific Central Station,Economy,4,Seattle,King Street Station,27
226,2019-03-07,08:40,Vancouver,Pacific Central Station,Economy,4,Seattle,King Street Station,25
227,2019-03-07,08:50,Vancouver,Pacific Central Station,Economy,4,Seattle,King Street Station,25
228,2019-03-07,10:10,Vancouver,Pacific Central Station,Economy,4,Seattle,King Street Station,25
229,2019-03-07,12:30,Vancouver,Pacific Central Station,Economy,4,Seattle,King Street Station,29
230,2019-03-07,14:00,Vancouver,Pacific Central Station,Economy,4,Seattle,King Street Station,24
231,2019-03-07,16:20,Vancouver,Pacific Central Station,Economy,4,Seattle,King Street Station,28
232,2019-03-07,19:10,Vancouver,Pacific Central Station,Economy,4,Seattle,King Street Station,27
233,2019-03-01,07:20,Sacramento,Sacramento Valley Station,Flexible,1,Las Vegas,Union Plaza,112
234,2019-03-01,07:50,Sacramento,Sacramento Valley Station,Flexible,1,Las Vegas,Union Plaza,92
235,2019-03-01,10:50,Sacramento,Sacramento Valley Station,Flexible,1,Las Vegas,Union Plaza,94
236,2019-03-01,12:50,Sacramento,Sacramento Valley Station,Flexible,1,Las Vegas,Union Plaza,84
237,2019-03-04,07:30,Las Vegas,Union Plaza,Economy extra,1,Sacramento,Sacramento Valley Station,83
238,2019-03-04,10:20,Las Vegas,Union Plaza,Economy extra,1,Sacramento,Sacramento Valley Station,80
239,2019-03-04,10:40,Las Vegas,Union Plaza,Economy extra,1,Sacramento,Sacramento Valley Station,81
240,2019-03-04,10:50,Las Vegas,Union Plaza,Economy extra,1,Sacramento,Sacramento Valley Station,78
241,2019-03-04,11:00,Las Vegas,Union Plaza,Economy extra,1,Sacramento,Sacramento Valley Station,80
242,2019-03-04,12:50,Las Vegas,Union Plaza,Economy extra,1,Sacramento,Sacramento Valley Station,74
243,2019-03-04,13:00,Las Vegas,Union Plaza,Economy extra,1,Sacramento,Sacramento Valley Station,80
244,2019-03-04,13:20,Las Vegas,Union Plaza,Economy extra,1,Sacramento,Sacramento Valley Station,85
245,2019-03-04,13:30,Las Vegas,Union Plaza,Economy extra,1,Sacramento,Sacramento Valley Station,81
246,2019-03-04,19:40,Las Vegas,Union Plaza,Economy extra,1,Sacramento,Sacramento Valley Station,76
247,2019-03-12,06:40,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,61
248,2019-03-12,08:00,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,62
249,2019-03-12,08:40,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,61
250,2019-03-12,10:10,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,65
251,2019-03-12,11:40,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,69
252,2019-03-12,11:50,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,65
253,2019-03-12,12:10,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,62
254,2019-03-12,13:30,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,61
255,2019-03-12,13:50,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,64
256,2019-03-12,14:00,Sacramento,Sacramento Valley Station,Economy,1,Anaheim,Anaheim Intermodal Center,74
257,2019-03-05,06:00,Washington,Union Station,Economy,4,New York,Port Authority Station,39
258,2019-03-05,09:40,Washington,Union Station,Economy,4,New York,Port Authority Station,33
259,2019-03-05,11:10,Washington,Union Station,Economy,4,New York,Port Authority Station,34
260,2019-03-05,12:40,Washington,Union Station,Economy,4,New York,Port Authority Station,33
261,2019-03-05,12:50,Washington,Union Station,Economy,4,New York,Port Authority Station,41
262,2019-03-05,13:10,Washington,Union Station,Economy,4,New York,Port Authority Station,36
263,2019-03-05,14:30,Washington,Union Station,Economy,4,New York,Port Authority Station,35
264,2019-03-05,17:10,Washington,Union Station,Economy,4,New York,Port Authority Station,34
265,2019-03-06,07:20,Sacramento,Sacramento Valley Station,Economy,1,Las Vegas,Union Plaza,76
266,2019-03-06,07:50,Sacramento,Sacramento Valley Station,Economy,1,Las Vegas,Union Plaza,67
267,2019-03-06,10:50,Sacramento,Sacramento Valley Station,Economy,1,Las Vegas,Union Plaza,70
268,2019-03-06,12:50,Sacramento,Sacramento Valley Station,Economy,1,Las Vegas,Union Plaza,78
269,2019-03-05,07:10,Fresno,Fresno Station,Economy,3,Las Vegas,Union Plaza,39
270,2019-03-05,07:50,Fresno,Fresno Station,Economy,3,Las Vegas,Union Plaza,36
271,2019-03-05,11:20,Fresno,Fresno Station,Economy,3,Las Vegas,Union Plaza,45
272,2019-03-05,12:20,Fresno,Fresno Station,Economy,3,Las Vegas,Union Plaza,43
273,2019-03-05,14:00,Fresno,Fresno Station,Economy,3,Las Vegas,Union Plaza,40
274,2019-03-05,14:10,Fresno,Fresno Station,Economy,3,Las Vegas,Union Plaza,40
275,2019-03-05,14:50,Fresno,Fresno Station,Economy,3,Las Vegas,Union Plaza,36
