,approximate_ride_duration,destination,number_of_riders,ride_fare,shared_ride
88,15,1010 Great Mall Drive,2,10.90,True
89,27,5133,4,23.60,True
90,10,221 University Avenue,1,13.95,True
91,20,555 Center Avenue,1,11.86,True
92,9,4204 Lone Tree Way,3,17.25,True
93,23,350 Park Street,1,9.13,True
94,9,4204 Lone Tree Way,2,9.89,True
95,25,15555 East 14th Street,1,7.80,True
96,10,551 Summerfield Road,1,17.72,True
97,16,1603,2,13.25,True
98,27,109 Plaza Dr. Gateway Plaza Center,3,14.98,True
99,17,531 Davis Street,1,16.26,True
100,21,1500 North Shoreline Boulevard,2,13.63,True
101,14,501 Buckingham Way,3,25.55,True
102,7,2340 Chestnut Street,2,20.11,True
103,29,925 Blossom Hill Road Suite 2000,2,23.24,True
104,13,32100 Union Landing Boulevard,1,7.43,True
105,8,43917 Pacific Commons Boulevard,1,12.18,True
106,26,2501 Winchester Boulevard,2,17.64,True
107,15,1 Embarcadero Center,1,10.87,True
108,15,2149 Chestnut Street,1,10.13,True
109,20,Gay 90's Pizza Co.,2,21.52,True
110,15,6000 Bollinger Canyon Road Suite 2300,1,14.43,True
111,17,2525 Sand Creek Road,3,28.54,True
112,25,15555 East 14th Street,3,30.40,True
113,7,5614 Bay Street Suite 220,1,8.64,True
114,16,1722 First Street,3,13.58,True
115,25,15555 East 14th Street,2,10.08,True
116,29,4451,1,15.04,True
117,13,1201 Locust Street,1,8.52,True
118,26,409 Aviation Boulevard,1,15.31,True
119,11,474 24th Street,1,16.54,True
120,8,949 El Camino Real,1,7.96,True
121,13,1118 4th Street,1,10.81,True
122,27,5133,3,28.84,True
123,18,200 C Street,3,28.25,True
124,13,32100 Union Landing Boulevard,2,17.13,True
125,17,2525 Sand Creek Road,1,14.71,True
126,8,1737 Post Street,1,8.62,True
127,16,135 4th Street Suite 3000,1,12.24,True
128,25,1115 Solano Avenue,1,15.67,True
129,15,825 Middlefield Road,1,17.03,True
130,10,549 Magnolia Avenue,4,23.02,True
131,27,109 Plaza Dr. Gateway Plaza Center,1,16.53,True
132,11,2490 First Street,2,20.07,True
133,22,1000 Kiely Boulevard,1,14.05,True
134,19,624 Avalon Avenue,3,25.89,True
135,23,1290 San Tomas Aquino Road,3,12.51,True
136,10,699 Gravenstein Highway North,1,9.03,True
137,24,899 North King Road,1,11.06,True
138,21,5100 Vista Grande Dr,1,7.68,True
139,22,4902 Clayton Road,1,6.13,True
140,20,3883 Vista Oaks Drive,1,11.75,True
141,28,1546 Maurice Lane,1,6.67,True
142,11,400 East Remington Drive,2,21.51,True
143,8,1335 Montecito Avenue # 1,1,11.64,True
144,19,4230 San Pablo Dam Road # B16,1,13.86,True
145,28,530 Carter Street,3,28.11,True
146,26,3133 Frontera Way,4,29.64,True
147,20,24660 Amador Street,2,14.76,True
148,22,3051 Alma Street,2,21.33,True
149,13,955 Escalon Avenue,3,14.53,True
150,11,947 Branham Lane # C,1,15.15,True
151,15,2900 Redwood Parkway,4,16.80,True
152,27,5255 Clayton Road,1,9.76,True
153,11,947 Branham Lane # C,3,26.33,True
154,22,1282 Mattox Road,2,17.95,True
155,11,18 Clark Avenue,2,18.14,True
156,14,2000 Clay Bank Road,3,26.15,True
157,14,135 Freeway Drive,1,6.17,True
158,19,624 Avalon Avenue,2,23.70,True
159,9,900 Cambridge Drive,2,9.56,True
160,14,25200 Carlos Bee Boulevard,3,26.08,True
161,18,2149 Otis Drive,1,8.74,True
162,11,1688 Clayton Road,1,17.58,True
163,23,133 North Temple Drive,4,18.92,True
164,30,5425 Snyder Lane,3,12.11,True
165,30,5000 Hartnett Avenue,1,15.61,True
166,29,150 Sierra Drive,1,11.34,True
167,15,36163 Fremont Boulevard,1,12.61,True
168,13,1615 Russell Street # 101A,1,8.01,True
169,27,35750 Bettencourt Street # 86,2,14.16,True
170,23,4261 Stevenson Boulevard,4,19.56,True
171,18,2130 Ascot Drive,1,12.33,True
172,14,200 Presidio Lane,2,22.97,True
173,17,1633 Marina Court,1,10.32,True
174,21,240 Hollis Avenue,4,14.54,True
175,9,1543 Ambergrove Drive,1,16.99,True
176,19,1580 Clayton Road # 1,3,31.06,True
177,18,2575 Sir Francis Drake Boulevard # 20,2,16.42,True
178,27,5121 Dowdell Avenue,4,35.46,True
179,26,2290 California Street,1,15.67,True
180,22,1282 Mattox Road,1,7.85,True
181,9,630 Tempe Court,2,20.44,True
182,16,750 North King Road,1,12.98,True
183,30,210 Easy Street,1,13.19,True
184,19,7425 Camino Colegio # 61,1,11.86,True
185,29,235 Camelback Road,1,12.82,True
186,17,1400 A Street,2,20.70,True
187,32,201 Harrison Street,3,22.60,True
188,30,1515 Novato Boulevard # 29,1,14.13,True
189,27,900 Pepper Tree Lane,1,11.86,True
190,31,73 North Keeble Avenue,1,12.21,True
191,19,1580 Clayton Road # 1,2,20.76,True
192,11,1441 Casa Buena Drive,1,6.55,True
193,22,40001 Fremont Boulevard,2,12.47,True
194,22,1282 Mattox Road,3,21.17,True
195,11,1688 Clayton Road,2,22.40,True
196,17,4757 Snyder Lane,2,18.55,True
197,28,680 South 37th Street,1,7.28,True
198,14,707 Continental Circle,4,14.82,True
199,29,900 143rd Avenue,4,15.48,True
200,31,73 North Keeble Avenue,2,16.31,True
201,30,1001 Beethoven Common,2,21.88,True
202,13,19 Panorama Drive,1,7.16,True
203,21,1059 Reed Avenue,2,14.04,True
204,24,899 North King Road,2,15.06,True
205,12,1501 Decoto Road,1,9.99,True
206,13,3329 Claremont Court,1,8.46,True
207,20,1130 4th Street,1,15.35,True
208,7,Carreau du Temple,1,15.13,True
209,24,Arte Carrillo Gil Museum,3,23.21,True
210,15,Acuario Inbursa,1,16.38,True
211,13,Alexandra Palace Ice Rink,2,12.84,True
212,8,360 CHICAGO,2,22.88,True
213,22,30 St Mary Axe (The Gherkin),2,23.36,True
214,22,30 St Mary Axe (The Gherkin),4,27.00,True
215,20,American Folk Art Museum,1,11.02,True
216,24,"All Saints, Margaret Street",1,14.85,True
217,9,3D Toronto sign,2,23.65,True
218,20,Birch Aquarium at Scripps Institution of Oceanography,2,20.35,True
219,20,92nd Street Y,3,12.44,True
220,10,Estanquillo Museum,2,13.76,True
221,25,Casa Lamm Cultural Center,1,14.42,True
222,32,Arab World Institute,1,17.94,True
223,24,Arte Carrillo Gil Museum,2,20.61,True
224,14,Autry Museum of the American West,1,13.85,True
225,11,Korean War Veterans Memorial,2,16.87,True
226,18,Alcatraz,1,17.45,True
227,31,Art Gallery of New South Wales,4,16.26,True
228,28,American Church in Paris,1,8.57,True
229,26,ANZ Stadium,3,27.99,True
230,17,Battersea Park,2,19.52,True
231,7,Carreau du Temple,2,17.14,True
232,13,Alexandra Palace,4,34.30,True
233,13,Alexandra Palace,1,15.86,True
234,22,30 St Mary Axe (The Gherkin),3,18.93,True
235,27,Angels Flight Railway,1,16.86,True
236,30,Barbican Conservatory,2,14.40,True
237,26,ANZ Stadium,1,8.22,True
238,28,Lan Su Chinese Garden,2,10.24,True
239,28,Aquaboulevard,1,6.34,True
240,16,Brooklyn Bridge Park,1,11.83,True
241,32,Bayonne Bridge,1,11.79,True
242,8,Fun N Food Village,2,12.46,True
243,12,Aga Khan Museum,1,6.81,True
244,15,56 Signers of the Declaration of Independence Memorial,1,12.57,True
245,24,Arte Carrillo Gil Museum,1,8.89,True
246,18,99 Wonderland Park,1,12.86,True
247,18,Barnes Foundation,2,10.22,True
248,21,Sydney Harbour Bridge,1,17.76,True
249,14,Angel Stadium of Anaheim,1,9.56,True
250,22,Akshardham,1,12.00,True
251,15,Acuario Inbursa,4,19.64,True
252,9,3D Toronto sign,1,9.06,True
253,22,30 St Mary Axe (The Gherkin),1,9.93,True
254,27,Angels Flight Railway,2,11.60,True
255,15,Balboa Theatre,2,19.29,True
256,31,Dumbarton Oaks Museum,1,13.67,True
257,17,Battersea Park,1,10.65,True
258,30,Barbican Conservatory,1,9.92,True
259,29,Castles N' Coasters,1,16.21,True
260,30,Battersea Park Children's Zoo,1,10.38,True
261,15,Apollo Theater,1,8.29,True
262,20,American Folk Art Museum,2,14.62,True
263,18,Alcatraz,4,28.80,True
264,18,Alcatraz,3,29.10,True
265,26,ANZ Stadium,2,15.02,True
266,28,Atlanta History Center,1,13.43,True
267,13,Art Museum Steps,1,6.46,True
268,14,Apsley House,4,34.88,True
269,20,Birch Aquarium at Scripps Institution of Oceanography,1,6.87,True
270,20,92nd Street Y,2,17.24,True
271,20,92nd Street Y,1,12.43,True
272,14,Apsley House,1,6.97,True
273,30,OMSI,4,16.32,True
274,14,Autry Museum of the American West,2,25.06,True
275,8,Brandon Lee and Bruce Lee's Grave Site,3,26.15,True
276,30,Old Spitalfields Market,2,25.39,True
277,32,Arab World Institute,2,11.37,True
278,12,California African American Museum,1,7.72,True
279,30,BAPS Shri Swaminarayan Mandir,1,13.65,True
280,30,Reading Terminal Market,3,21.10,True
281,16,Allan Gardens,1,12.44,True
282,19,Cars Land,2,8.85,True
283,30,Balboa Park,1,13.66,True
284,22,Jane's Carousel,1,10.18,True
285,19,Big Bus Tours Chicago (Tours begin at 98 E. Upper Wacker Dr.),2,10.48,True
286,18,Adventure Island,2,13.60,True
287,13,Art Museum Steps,2,9.67,True
288,18,Adventure Island,1,14.21,True
289,20,Bodies The Exhibition,3,28.25,True
290,31,Art Gallery of New South Wales,3,17.51,True
291,28,American Church in Paris,3,11.05,True
292,28,Aquaboulevard,4,33.54,True
293,18,Arc de Triomphe,2,18.36,True
294,18,Adventure Island,3,21.39,True
295,21,Ford's Theatre,1,14.71,True
296,27,Angels Flight Railway,3,29.69,True
297,28,American Church in Paris,2,21.30,True
298,8,California Museum,1,9.91,True
299,29,Brixton Market,2,11.06,True
300,31,Art Gallery of New South Wales,2,17.49,True
301,18,Alcatraz,2,14.86,True
302,22,Borough Market,1,7.53,True
303,18,Featherdale Wildlife Park,1,9.60,True
304,18,99 Wonderland Park,3,11.43,True
305,13,Astoria Park,1,9.90,True
306,20,Crystal Springs Rhododendron Garden,1,16.36,True
307,14,Apsley House,2,13.86,True
308,11,Bloedel Conservatory,1,16.55,True
309,15,56 Signers of the Declaration of Independence Memorial,2,23.45,True
310,14,Cathedral of St. Matthew the Apostle,1,17.33,True
311,17,Floyd Lamb Park,1,10.19,True
312,26,Harbourfront Centre,2,11.19,True
313,23,The Picasso,2,21.10,True
314,15,American Writers Museum,3,27.18,True
315,9,Chihuly Garden and Glass,1,11.59,True
316,23,Gandhi Smriti,3,24.73,True
317,16,PNE/Playland,1,13.44,True
318,17,BAPS Shri Swaminarayan Mandir London,3,12.14,True
319,14,1785 San Carlos Ave # 3,1,17.61,True
320,9,2664 Berryessa Road # 206,2,17.10,True
321,9,2664 Berryessa Road # 206,1,10.04,True
322,14,689 East Remington Drive Ste A,2,17.35,True
323,22,301 Sycamore Valley Road,3,16.00,True
324,17,"4812, 1144 Sonoma Avenue",2,24.82,True
325,22,3200 Mowry Avenue # G,1,14.89,True
326,11,7880 Wren Ave,3,19.14,True
327,9,78 Mission Drive Suite A,3,27.44,True
328,9,2664 Berryessa Road # 206,3,29.62,True
329,31,452 East Calaveras Boulevard,1,13.36,True
330,28,2256 Monument Blvd,1,17.39,True
331,15,17705 Hale Avenue A-5,1,13.51,True
332,16,2100 Peabody Road,1,10.82,True
333,14,1785 San Carlos Ave # 3,4,23.50,True
334,11,7880 Wren Ave,2,15.05,True
335,29,599 Tomales Road,1,14.14,True
336,31,2500 Hospital Dr # 5D,2,18.84,True
337,30,4655 Hoen Avenue,1,15.40,True
338,28,343 Gellert Boulevard # C,1,12.49,True
339,20,10101 North Wolfe Road,1,9.90,True
340,17,"4812, 1144 Sonoma Avenue",1,14.44,True
341,31,17705 Hale Ave # E3,3,25.74,True
342,22,301 Sycamore Valley Road,2,21.91,True
343,11,2143 Springs Road # 51,2,13.29,True
344,32,1615 Hill Road,1,9.45,True
345,14,689 East Remington Drive Ste A,3,20.14,True
346,27,1 Kearny Street,3,26.62,True
347,28,877 West Fremont Avenue C 2,2,17.90,True
348,12,851 Cherry Avenue # 36,2,8.50,True
349,15,17705 Hale Avenue A-5,2,8.91,True
350,14,689 East Remington Drive Ste A,1,16.42,True
351,25,990 West Fremont Avenue,2,20.99,True
352,18,5 Bon Air Rd # 114,1,10.67,True
353,11,1040 Grant Road #103,2,19.22,True
354,11,2143 Springs Road # 51,4,20.52,True
355,9,2664 Berryessa Road # 206,4,27.98,True
356,11,7880 Wren Ave,4,27.06,True
357,26,2664 Berryessa Road # 212,3,12.04,True
358,24,542 A Mason Street,1,8.33,True
359,14,233 West Main Avenue,2,14.50,True
360,22,1518 Park Street,2,24.69,True
361,30,6566 Front Street,2,17.30,True
362,14,1622 Palm Avenue,3,29.62,True
363,19,240 Castro Street,2,20.79,True
364,26,260 South Abel Street,2,15.92,True
365,22,2405 Larkspur Landing Circle,2,12.30,True
366,7,1501 Solano Avenue,2,25.30,True
367,31,Hs Lordships Restaurant,2,12.67,True
368,27,3082 Marlow Road,2,15.66,True
369,23,338 University Avenue,1,8.28,True
370,22,507 Magnolia Avenue,2,16.65,True
371,20,247 4th Street,2,12.45,True
372,23,16 Mint Plaza,2,20.79,True
373,15,172 South Market Street,2,22.10,True
374,17,140 New Montgomery Street #1,3,30.54,True
375,18,21001 San Ramon Valley Boulevard,3,30.80,True
376,27,600 East Washington Street,2,24.68,True
377,28,426 Emily Rose Circle,2,22.88,True
378,13,1 Broadway,2,10.14,True
379,19,431 Bush Street,2,13.22,True
380,28,4940 Dublin Boulevard,2,24.04,True
381,29,102 Castro Street,2,10.01,True
382,10,1599 Sanchez Street,2,20.12,True
383,27,Liberty Public Market,3,17.15,True
384,18,1722 Sacramento Street,3,22.45,True
385,25,5000 Roberts Lake Road,2,10.07,True
386,11,156 Castro Street,2,17.79,True
387,19,2229 Clement Street,3,19.85,True
388,28,Avenel Apartments,2,20.73,True
389,28,1165 Merrill Street,2,8.60,True
390,8,Laurelwood Shopping Center,2,18.81,True
391,7,884 Portola Road A1,2,11.91,True
392,12,471 Haight Street,2,24.37,True
393,12,2434 Almaden Road,1,11.56,True
394,32,1754 Polk Street,2,21.09,True
395,29,1136 Broadway,1,16.68,True
396,18,808 Geary Street,2,17.24,True
397,15,6811 Mission Street,2,20.59,True
398,29,180 Hamilton Avenue,2,9.83,True
399,27,1 Alamo Square Drive,1,9.96,True
400,30,133 South Murphy Avenue,3,10.51,True
401,28,160 Jefferson Street,2,8.91,True
402,30,1500 Oliver Road,1,6.63,True
403,15,2355 Chestnut Street,4,21.12,True
404,14,740 East El Camino Real,2,14.00,True
405,10,180 El Camino Real,1,6.61,True
406,22,110 West Spain Street,2,21.43,True
407,16,7163 Rich Avenue,1,7.17,True
408,23,3127 Fillmore Street,2,13.79,True
409,22,12221 San Pablo Avenue,1,15.00,True
410,8,6247 College Avenue,2,20.73,True
411,19,460 San Mateo Avenue,1,10.88,True
412,19,Parc Station Apartments,2,15.66,True
413,22,2320 Central Avenue,4,15.00,True
414,10,790 Oak Grove Road,2,12.76,True
415,24,Miyabi,2,15.60,True
416,11,34420 Fremont Boulevard,3,23.11,True
417,23,103 California 1,2,11.31,True
418,12,475 East Strawberry Drive,1,14.56,True
419,22,2320 Central Avenue,1,14.64,True
420,24,1815 Market Street,2,12.63,True
421,14,194 Castro Street,2,17.79,True
422,23,680 8th Street Ste. 170,2,9.04,True
423,16,4100 Dyer Street,1,7.47,True
424,22,1520 Lakeside Drive,3,19.10,True
425,8,399 Grove Street,2,22.63,True
426,29,3540 Blackhawk Plaza Circle,2,23.76,True
427,20,1800 Fillmore Street,2,15.91,True
428,28,548 Ramona Street,2,18.24,True
429,15,338 12th Street,1,6.65,True
430,22,5446 Ygnacio Valley Road,2,9.64,True
431,25,1335 Solano Avenue,2,8.75,True
432,12,2293 Mission Street,2,12.78,True
433,21,534 Irving Street,2,18.23,True
434,27,1517 21st Street,3,30.02,True
435,17,531 Davis Street,2,15.36,True
436,28,1220 North Bascom Avenue,1,11.70,True
437,29,45 Camino Alto #106,4,33.92,True
438,18,210 San Mateo Road # 104,1,15.07,True
439,13,2752 Augustine Drive #110,1,11.26,True
440,19,50 Upper Alabama Street,1,11.23,True
441,27,1426 Fillmore Street,1,14.90,True
442,32,3111 Mission College Boulevard,1,13.33,True
443,32,3111 Mission College Boulevard,3,17.34,True
444,21,314 Mendocino Avenue,3,21.34,True
445,26,3410 Stevens Creek Boulevard #101,1,16.86,True
446,8,240 La Casa Via #100,3,25.93,True
447,23,455 Grand Avenue,2,22.44,True
448,10,6 Petaluma Boulevard North,4,28.26,True
449,10,85 West Portal Avenue,3,20.54,True
450,29,21001 San Ramon Valley Boulevard Ste E-3,4,13.92,True
451,29,458 B Street,2,12.12,True
452,20,1327 East Monte Vista Avenue,4,31.06,True
453,27,1301 Ralston Avenue # C,2,17.25,True
454,15,1241 Arnold Drive,1,14.47,True
455,18,200 Greenbriar Circle,4,35.48,True
456,17,845 Market Street #402,3,20.25,True
457,20,575 East Remington Drive,2,13.76,True
458,29,329 Primrose Road,1,9.16,True
459,7,26955 California 1,1,17.37,True
460,21,3117 16th St,1,17.34,True
461,25,2505 Samaritan Drive,1,6.22,True
462,12,40640 High Street,2,18.36,True
463,10,26100 Gading Road,2,24.52,True
464,11,1234 West 7th Street,1,7.84,True
465,26,1600 West Campbell Avenue #202,1,6.30,True
466,10,Pasta Pelican Restaurant,1,11.26,True
467,14,882 Emerson Street,2,11.75,True
468,16,710 Florida Street,1,9.78,True
469,17,2250 Hayes Street,1,9.59,True
470,32,2105 West Pueblo Avenue,1,6.86,True
471,31,2365 Chestnut Street,2,11.64,True
472,17,Quail Run Apartments,3,10.91,True
473,19,Vancouver,2,11.24,True
474,19,990 West Fremont Avenue j,2,14.58,True
475,11,620 3rd Street,1,8.41,True
476,10,SlotZilla Zip Line,1,7.64,True
477,22,160 South Murphy Avenue A,2,21.11,True
478,31,129 Ellis Street,1,6.59,True
479,17,2525 Sand Creek Road,2,13.60,True
480,12,33300 Mission Boulevard,1,10.18,True
481,20,1057 El Monte Avenue Suite D,1,14.38,True
482,19,1333 North California Boulevard,1,15.60,True
483,27,257 Grand Avenue,3,25.43,True
484,28,Commonwealth,2,12.46,True
485,30,13949 Doolittle Drive,2,12.88,True
486,31,4450 San Pablo Dam Road,2,12.77,True
487,17,2042 University Avenue,1,8.97,True
488,23,2047 North Milwaukee Avenue,1,9.02,True
489,17,110 Bailey Road,1,9.74,True
490,10,Landmark's Albany Twin,1,7.00,True
491,31,2000 Appian Way #202,2,12.15,True
492,14,2500 Deer Valley Road,3,25.32,True
493,22,251 Geary Street,2,22.49,True
494,30,451 Queensbridge Road,2,25.39,True
495,27,29 East Allen Street 2nd Floor,1,9.14,True
496,31,757 1st Street,3,15.35,True
497,28,123 Kearny Street,1,7.39,True
498,16,377 13th Street,4,32.84,True
499,17,4 Embarcadero Center,4,21.92,True
500,28,750 Brahms Way,1,8.21,True
501,18,877 West Fremont Avenue # K2,1,12.57,True
502,29,458 B Street,1,16.16,True
503,9,1017 H Street,3,11.02,True
504,21,40900 Fremont Boulevard,2,15.67,True
505,15,717 East El Camino Real #4,1,8.24,True
506,27,3977 17th Street,2,12.11,True
507,32,3111 Mission College Boulevard,2,20.52,True
508,29,Parker Palo Alto Apartments,1,14.32,True
509,31,80 West El Camino Real,1,11.31,True
510,24,1101 South Winchester Boulevard # I202,4,22.14,True
511,29,16105 Monterey Road,1,6.91,True
512,29,2646 Ashby Avenue,1,10.97,True
513,8,Tambo Peruvian Restaurant,1,10.85,True
514,19,Darda Seafood,2,19.23,True
515,26,Korea Garden,1,7.97,True
516,23,105 North Cloverdale Boulevard,1,17.14,True
517,16,Cartoon Art Museum,3,15.62,True
518,24,Bruno's On Fourth,2,20.01,True
519,16,355 Santana Row #1060,1,7.31,True
520,29,406 Dewey Boulevard,1,11.13,True
521,27,California Cafe,2,8.74,True
522,32,2760 McKee Road,1,17.93,True
523,30,2331 El Camino Real,1,9.74,True
524,14,Murray Circle Restaurant,1,16.68,True
525,10,250 Bel Marin Keys Boulevard # C5,1,12.71,True
526,16,2052 Wilkins Avenue,2,12.12,True
527,30,134 North Cloverdale Boulevard,1,14.13,True
528,26,642 Ramona Street,2,14.27,True
529,22,1776 First Street,1,8.81,True
530,31,337 North Santa Cruz Avenue,3,29.81,True
531,24,104 Lynch Creek Way,2,9.80,True
532,10,Italian Colors,2,15.90,True
533,25,Wayfare Tavern,2,9.66,True
534,24,558 Bridgeway,2,14.85,True
535,24,Novato Park Apartments,2,18.75,True
536,17,Rusty's Southern,1,13.28,True
537,29,Superior Palace,1,8.29,True
538,9,20735 Stevens Creek Boulevard Ste F,1,13.11,True
539,23,St. Dominic's Catholic Church,2,13.51,True
540,18,1711 El Camino Real,1,6.77,True
541,17,1901 Mendocino Avenue,1,15.42,True
542,21,Parkway Place Apartments,1,7.62,True
543,14,Lokanta Grill & Bar,2,14.96,True
544,30,4501 Rosewood Drive,4,31.32,True
545,15,Bund Shanghai Restaurant,4,31.26,True
546,16,1943 West El Camino Real,3,30.87,True
547,23,Scroll Bar Waterside Kitchen,1,10.95,True
548,15,"Champion Hill Stadium, Edgar Kail Way",1,6.83,True
549,9,Mandarin Gourmet Restaurant,2,11.09,True
550,11,El Charro Mexican Food & Cantina,1,10.88,True
551,12,3741 Sunset Lane # A,1,11.62,True
552,11,Aniki's Sushi,3,30.03,True
553,29,Agrodolce Osteria,3,23.45,True
554,8,Kin Khao,4,18.20,True
555,30,Union Hotel Restaurants,3,17.63,True
556,23,3466 Mount Diablo Boulevard Suite C-104,2,23.32,True
557,23,Salito's Crab House & Prime Rib,2,18.74,True
558,21,5102 Dowdell Avenue,1,13.70,True
559,32,Gallo's,2,22.81,True
560,18,Chase Center Experience,2,14.33,True
561,18,1259 Polk Street,3,23.71,True
562,11,OUE Skyspace LA,1,9.04,True
563,28,1701 Divisadero Street,1,11.06,True
564,18,1525 Webster Street # C,3,15.38,True
565,14,5560 Santa Teresa Boulevard,4,20.68,True
566,12,Cypress Point Villas,1,14.32,True
567,7,1721 East Bayshore Road,2,19.47,True
568,18,4546 El Camino Real,2,16.62,True
569,11,Plearn Thai Palace,1,10.66,True
570,14,Szechwan Restaurant,1,8.12,True
571,29,Chef's Wok,1,10.85,True
572,22,3685 Mount Diablo Boulevard #100,2,10.20,True
573,21,2142 Chestnut Street,3,11.24,True
574,9,2100 Franklin Street,1,13.50,True
575,10,Parliament Hill Viewpoint,1,9.90,True
576,16,Lock Chun Restaurant,1,6.12,True
577,32,1900 Esplanade Drive,1,7.06,True
578,27,Continental Apartments,3,25.98,True
579,13,Risibisi,1,12.36,True
580,11,1707 Webster Street,2,17.38,True
581,18,Newell Vista Apartments,2,21.86,True
582,27,Morimoto Napa,2,8.68,True
583,13,Newseum,3,27.16,True
584,22,50 East Hamilton Avenue #120,2,22.78,True
585,26,6225 Jarvis Avenue,1,9.38,True
586,13,8 Sushi,3,21.65,True
587,9,Wang Wah,1,11.08,True
588,7,Iberia,3,25.11,True
589,13,Hop Creek Pub,1,14.57,True
590,14,CineLux Delta Cinema Saver,1,8.00,True
591,18,Lers Ros Thai,1,6.30,True
592,18,18300 Carriage Drive,2,9.59,True
593,24,1740 South Winchester Boulevard,1,6.63,True
594,26,"1538 Third Ave, East 86th Street",3,27.78,True
595,19,AMC NewPark 12,2,16.43,True
596,13,The Grotto San Francisco,1,9.16,True
597,8,1900 University Ave #105,2,24.83,True
598,30,Mister Jiu's,3,27.35,True
599,11,655 Redwood Highway Suite 100,2,13.58,True
600,11,125 Crescent Drive,2,11.37,True
601,30,421 Cypress Avenue,2,22.39,True
602,26,Willard Hicks,1,11.15,True
