,album,artist,genre,song_name,year,playback_device
102,Elevate,Big Time Rush,Pop,Windows Down,2011,
103,Sex Pop,Alex Angel,Pop,Sex Pop,2019,
104,Brave Enough,Lindsey Stirling,House,Lost Girls,2016,
105,If I Know Me,Morgan Wallen,Country,The Way I Talk,2016,
106,Free Spirit,Khalid,Pop,Better,2018,
107,Telling All My Secrets,Mitchell Tenpenny,Country,Drunk Me,2018,Kitchen speaker
108,All The Little Lights,Passenger,Pop,Let Her Go,2010,
109,All The Little Lights,Passenger,Pop,Let Her Go,2010,Kitchen speaker
110,Lifers,Cody Jinks,Country,Must Be The Whiskey,2018,
111,Bigger,Sugarland,Country,Babe,2017,
112,Bigger,Sugarland,Country,Babe,2017,Bedroom speaker
113,My Everything,Ariana Grande,Pop,Be My Baby,2014,
114,My Everything,Ariana Grande,Pop,Best Mistake,2014,
115,The New Classic,Iggy Azalea,Pop,Black Widow,2014,
116,Nick Jonas,Nick Jonas,Pop,Chains,2014,
117,Quarter,Witwisit Hiranyawongkul,Pop,Fortunately I Met You,2014,
118,Pink Elephant,Russell Vitale,Pop,Goodbye,2014,
119,Dangerous Woman,Ariana Grande,Pop,Into You,2014,
120,Get Weird,Little Mix,Pop,Love Me Like You,2014,
121,My Everything,Ariana Grande,Pop,Be My Baby,2014,TV
122,Badlands,Halsey,Electropop,Colors,2015,
123,Badlands,Halsey,Electropop,Control,2015,
124,Badlands,Halsey,Electropop,Gasoline,2015,
125,Badlands,Halsey,Electropop,Ghost,2014,
126,Badlands,Halsey,Electropop,Hurricane,2014,
127,Badlands,Halsey,Electropop,Colors,2015,TV
128,We Need To Talk,Taylor Parks,Pop,I Want You,2019,
129,Safe Haven,Ruth B,Pop,Superficial Love,2015,
130,Redneck Crazy,Tyler Farr,Country,Redneck Crazy,2013,
131,Sick Boy,The Chainsmokers,Pop,Sick Boy,2018,
132,Stories,Avicii,Pop,Broken Arrows,2015,
133,Tell Me You Love Me,Cheat Codes,Pop,No Promises,2017,
134,Kill The Lights,Luke Bryan,Country,Strip It Down,2015,
135,Love Crimes,Super Sako,Pop,Mi Gna,2016,
136,La La Land,La La Land Cast,Soundtracks,Another Day Of Sun,2016,
137,Illuminate,Shawn Mendes,Pop,Bad Reputation,2016,
138,Dangerous Woman,Ariana Grande,Pop,Be Alright,2016,
139,Joytime,Marshmello,House,Blocks,2016,
140,Yours,Russell Dickerson,Country,Blue Tacoma,2016,
141,It Feel Good,Konshens,Reggae,Bruk Off Yuh Back,2016,
142,Cloud Nine,Kygo,Downtempo,Carry Me,2016,
143,Bollywood Monsoon Special,Meet Bros,South Asia,Cham Cham,2016,
144,Cold Water,Major Lazer,Electropop,Cold Water,2016,
145,King Of The Dancehall,Vybz Kartel,Reggae,Colouring This Life,2016,
146,La La Land,La La Land Cast,Soundtracks,Another Day Of Sun,2016,Kitchen speaker
147,The King Of Limbs,Radiohead,Electronica,Lotus Flower,2011,
148,Born This Way,Lady Gaga,Pop,Born This Way,2011,
149,Rearview Town,Jason Aldean,Country,Ride All Night,2018,
150,Cloud Nine,Kygo,Downtempo,Raging,2016,
151,Nayutan Sei Kara No Buttai Y,Nayutalien,Rock,Planet Loop,2016,
152,Handwritten,Shawn Mendes,Pop,Never Be Alone,2015,
153,Expectations,Bebe Rexha,Pop,I Got You,2010,
154,Rearview Town,Jason Aldean,Country,Girl Like You,2018,
155,Summer Anthems,Common Kings,Reggae,No Other Love,2013,
156,Illuminate,Shawn Mendes,Pop,Mercy,2010,
157,Handwritten,Shawn Mendes,Pop,Stitches,2015,
158,Illuminate,Shawn Mendes,Pop,Treat You Better,2016,
159,Handwritten,Shawn Mendes,Pop,Aftertaste,2015,Bedroom speaker
160,The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,2012,
161,Transmissions,Starset,Rock,Carnivore,2013,
162,The End Is Where We Begin,Thousand Foot Krutch,Rock,Courtesy Call,2012,
163,Your Name,Radwimps,Rock,Dream Lantern,2016,
164,Sex Rock,Alex Angel,Rock,Easy World,2018,
165,Erase The Pain,Palisades,Rock,Erase The Pain,2018,
166,After Laughter,Paramore,Rock,Hard Times,2017,
167,Meliora,Ghost,Rock,He Is,2015,
168,The Story,Fivefold,Rock,Lost Within,2012,
169,Night Visions,Imagine Dragons,Rock,Radioactive,2012,
170,The Tattva Trip,Suraj Mani,Rock,The Tattva Trip,2012,
171,Origins,Shallow Side,Rock,Try To Fight It,2012,
172,The End Is Where We Begin,Thousand Foot Krutch,Rock,Courtesy Call,2012,Kitchen speaker
173,Summer House,Concorde,Pop,Just Kiss Her,2012,
174,Last Year Was Complicated,Nick Jonas,Pop,Under You,2016,
175,Lee Brice,Lee Brice,Country,Rumor,2017,
176,Chapters,Yuna,Pop,Crush,2016,
177,Beauty Marks,Ciara,Pop,Thinkin Bout You,2019,
178,Glory,Britney Spears,Pop,Slumber Party,2016,
179,Icarus Falls,Zayn Malik,Pop,Let Me,2018,
180,The Awakening,Onlap,Rock,The Awakening,2011,
181,Heroes,Sabaton,Metal,No Bullets Fly,2014,
182,Men Halati,Farfashah,Pop,Ouf Menuh Qalbi,2018,
183,Charice,Jake Zyrus,Pop,Pyramid,2010,
184,Amma Kanakku,Srinisha,South Asia,Maths Tough,2016,
185,Lindsey Stirling,Lindsey Stirling,Pop,Electric Daisy Violin,2011,
186,This Is Acting,Sia,Pop,Unstoppable,2016,
187,Elements,Ludovico Einaudi,Classical,Night,2015,
188,Fly,Karolina Protsenko,Pop,Girls Like You,2018,
189,Charice,Jake Zyrus,Pop,Pyramid,2010,Kitchen speaker
190,A Soe Htae Ka A Kaung,Kaung Kaung,Pop,Pyaw Nay Par,2018,
191,Only Love,Jordan Smith,Pop,Only Love,2018,
192,Ready,Ruel,Pop,Younger,2018,
193,Icarus Falls,Zayn Malik,Pop,Still Got Time,2017,
194,The Last Stand,Sabaton,Metal,The Lost Battalion,2016,
195,Icarus Falls,Zayn Malik,Pop,Satisfaction,2018,
196,A Soe Htae Ka A Kaung,Kaung Kaung,Pop,Pyaw Nay Par,2018,Kitchen speaker
197,Maza Mar Liya Dhori Ke Niche,Shailesh Premi,Country,Lahnga Lasar Ke,2019,
198,Maza Mar Liya Dhori Ke Niche,Shailesh Premi,Country,Lahnga Lasar Ke,2019,Kitchen speaker
199,The Mountain,Dierks Bentley,Country,Burning Man,2018,
200,Icarus Falls,Zayn Malik,Pop,Good Years,2018,
201,Flicker,Niall Horan,Folk,Slow Hands,2017,
202,Overthinking,Shy Martin,Pop,Lose You Too,2018,
203,Icona Pop,Icona Pop,Electropop,I Love It,2012,
204,Sick Boy,The Chainsmokers,Pop,Side Effects,2018,
205,Contraband,Madcon,Pop,Glow,2010,
206,The Mountain,Dierks Bentley,Country,Burning Man,2018,Kitchen speaker
207,My Everything,Ariana Grande,Pop,One Last Time,2014,
208,Lindsey Stirling,Lindsey Stirling,Pop,Crystallize,2012,
209,Wake Up Dreaming,Stephanie Mabey,Pop,The Zombie Song,2012,
210,One More Light,Linkin Park,Electropop,Battle Symphony,2017,
211,The Last Stand,Sabaton,Metal,Shiroyama,2016,
212,Love Town,Kolohe Kai,Reggae,First True Love,2011,
213,The Good Parts,Andy Grammer,Pop,Fresh Eyes,2016,
214,Dangerous Woman,Ariana Grande,Pop,Focus,2015,
215,My Everything,Ariana Grande,Pop,One Last Time,2014,Kitchen speaker
216,Last Daze Of Summer,Maleek Berry,Africa,Kontrol,2016,
217,Pop Food,Jack Stauber,Pop,Oh Klahoma,2017,
218,Yours,Russell Dickerson,Country,Yours,2015,
219,Sucker Punch,Sigrid,Pop,Business Dinners,2019,
220,It Goes Like This,Thomas Rhett,Country,It Goes Like This,2013,
221,Foundation,Shatta Wale,Reggae,Shatta Movement,2015,
222,La La Land,La La Land Cast,Soundtracks,Another Day Of Sun,2016,Bedroom speaker
223,Kaleidoscope Dream,Miguel,Pop,Adorn,2012,Bedroom speaker
224,Unapologetically,Kelsea Ballerini,Country,Miss Me More,2017,
225,Eric Ethridge,Eric Ethridge,Country,If You Met Me First,2018,
226,Dedicated,Carly Rae Jepsen,Pop,Now That I Found You,2019,
227,Purgatory,Tyler Childers,Country,White House Road,2016,
228,Thank You Happy Birthday,Cage The Elephant,Rock,Shake Me Down,2011,
229,Kuntry,Jawga Boyz,Country,All The Girls Wanna Ride,2011,
230,Slow Air,Still Corners,Pop,Black Lagoon,2018,
231,Bloom,Troye Sivan,Pop,Bloom,2018,
232,Narrated For You,Alec Benjamin,Pop,Boy In The Bubble,2018,
233,Piano Songs,Froggy Fresh,Pop,Boyfriend,2018,
234,Yours,Isak Danielson,Pop,Broken,2018,
235,Dzieciom,Lao Che,Rock,Wojenka,2015,Kitchen speaker
236,Mirrorwriting,Jamie Woon,Electronica,Lady Luck,2011,
237,The Martin Garrix Experience,Martin Garrix,House,Latency,2018,
238,Sex Rock,Alex Angel,Rock,My Donna,2018,
239,King Of Everything,Jinjer,Metal,Pisces,2016,
240,Undefined,Simply Three,Rock,Rain,2017,
241,Loser,Sasha Sloan,Pop,Older,2018,
242,Sing To Me Instead,Ben Platt,Pop,Ease My Mind,2019,
243,The Present Tense,Courier,Pop,San Francisco,2016,
244,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Heal Me,2018,
245,Mirrorwriting,Jamie Woon,Electronica,Lady Luck,2011,Kitchen speaker
246,Gravity,Jason Chen,Pop,Best Friend,2011,
247,Gravity,Jason Chen,Pop,Music Never Sleeps,2011,
248,Gravity,Jason Chen,Pop,Best Friend,2011,Bedroom speaker
249,Happiness,Hurts,Pop,Wonderful Life,2010,
250,Happiness,Hurts,Pop,Wonderful Life,2010,Kitchen speaker
251,Avril Lavigne,Avril Lavigne,Pop,Hello Kitty,2013,
252,If I Know Me,Morgan Wallen,Country,Whiskey Glasses,2016,
253,You Should Be Here,Cole Swindell,Country,You Should Be Here,2015,
254,One More Light,Linkin Park,Electropop,Good Goodbye,2017,
255,Halcyon Days,Ellie Goulding,Pop,How Long Will I Love You,2010,
256,A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,2018,TV
257,Evolution,Disturbed,Rock,No More,2018,
258,Limitless,The Piano Guys,Classical,Perfect,2017,
259,Loud,Rihanna,Pop,California King Bed,2011,
260,Assume Form,James Blake,Pop,Barefoot In The Park,2019,
261,Narrated For You,Alec Benjamin,Pop,If I Killed Someone For You,2018,
262,Arcadia,Eurielle,Pop,Hate Me,2015,
263,The New Classic,Iggy Azalea,Pop,Work,2013,
264,Evolution,Disturbed,Rock,No More,2018,Kitchen speaker
265,Desperate Man,Eric Church,Country,Some Of It,2018,
266,So Good,Zara Larsson,Pop,I Would Like,2016,
267,Nightsky,Tracey Chattaway,Classical,Nightsky,2015,
268,Brett Young,Brett Young,Country,Like I Loved You,2017,
269,World Cry,Jah Cure,Reggae,Before I Leave,2010,Kitchen speaker
270,Loser,Sasha Sloan,Pop,Older,2018,Kitchen speaker
271,Magic,Ben Rector,Pop,Love Like This,2018,TV
272,Ruin Your Party,Scotty Sire,Pop,Take Me Away,2018,
273,Ruin Your Party,Scotty Sire,Pop,Take Me Away,2018,Bedroom speaker
274,Winter Collection,Sivik,Pop,High,2015,
275,Singular Act I,Sabrina Carpenter,Pop,Paris,2018,
276,Alkaline Masterpiece,Alkaline,Reggae,Pretty Girl Team,2017,
277,Bu Muhabbat,Shahzoda,Pop,Chicco,2013,
278,Raabta,Arijit Singh,South Asia,Ik Vaari Aa,2017,
279,The New Classic,Iggy Azalea,Pop,Bounce,2013,
280,The New Classic,Iggy Azalea,Pop,Change Your Life,2013,
281,The New Classic,Iggy Azalea,Pop,Black Widow,2014,Kitchen speaker
282,Stars Dance,Selena Gomez,Pop,Love Will Remember,2013,
283,For You,Selena Gomez,Pop,The Heart Wants What It Wants,2014,
284,Stars Dance,Selena Gomez,Pop,Love Will Remember,2013,TV
285,Holy Hell,Architects,Metal,Royal Beggars,2018,
286,Sick Boy,The Chainsmokers,Pop,Hope,2018,
287,Singular Act I,Sabrina Carpenter,Pop,Sue Me,2018,
288,You Know I Know,Olly Murs,Pop,Moves,2018,
289,Old Diary,La Min Phyu,Pop,Stage Show,2018,
290,Icarus Falls,Zayn Malik,Pop,Dusk Till Dawn,2017,
291,Love Yourself,Justin Bieber,Pop,Love Yourself,2015,
292,Purpose,Justin Bieber,Pop,Sorry,2010,
293,Journals,Justin Bieber,Pop,All That Matters,2013,Bedroom speaker
294,Kamayanbaghi,Hoba Hoba Spirit,Rock,Mchat,2018,
295,Joytime,Marshmello,House,Summer,2015,
296,My Everything,Ariana Grande,Pop,Break Free,2011,
297,The Beginning,Sammielz,Reggae,Let Us Be,2014,
298,Always In Between,Jess Glynne,Pop,Thursday,2018,
299,Kiss,Carly Rae Jepsen,Pop,Call Me Maybe,2011,
300,Dark Horse,Devin Dawson,Country,All On Me,2017,
301,Voicenotes,Charlie Puth,Pop,Attention,2017,
302,Love Always,Shane Filan,Pop,Beautiful In White,2017,
303,Pop Food,Jack Stauber,Pop,Buttercup,2017,
304,Odisea,Ozuna,Latin,El Farsante,2017,
305,Holo,Limbo,Pop,Airplane Mode,2017,Kitchen speaker
306,Infestissumam,Ghost,Metal,Year Zero,2013,
307,Caroline,Citizen Soldier,Rock,Let It Burn,2017,
308,Peace Of Mind,Rebelution,Reggae,So High,2011,
309,Barefoot Blue Jean Night,Jake Owen,Country,Alone With You,2011,
310,Bangarang,Skrillex,Soundtracks,Bangarang,2011,
311,Halcyon Days,Ellie Goulding,Pop,Beating Heart,2011,
312,Born This Way,Lady Gaga,Pop,Bloody Mary,2011,
313,Kuntry,Jawga Boyz,Country,All The Girls Wanna Ride,2011,TV
314,Bringing Back The Sunshine,Blake Shelton,Country,Sangria,2014,
315,Desperate Man,Eric Church,Country,Desperate Man,2018,
316,Tell Me You Love Me,Demi Lovato,Pop,Tell Me You Love Me,2017,
317,Instant Regrets,Instant Regrets,Rock,Instant Regret,2018,
318,Sucker Punch,Sigrid,Pop,Sucker Punch,2018,
319,Nine Track Mind,Charlie Puth,Pop,Dangerously,2016,
320,Contraband,Madcon,Pop,Glow,2010,Kitchen speaker
321,The Pains Of Growing,Alessia Cara,Pop,Out Of Love,2018,
322,The Pains Of Growing,Alessia Cara,Pop,Trust My Lonely,2018,
323,The Pains Of Growing,Alessia Cara,Pop,Trust My Lonely,2018,Kitchen speaker
324,Southeastern,Jason Isbell,Alternative Country,Cover Me Up,2013,
325,Southeastern,Jason Isbell,Alternative Country,Cover Me Up,2013,Bedroom speaker
326,Anesthetic,Mark Morton,Metal,Cross Off,2019,TV
327,Pure Heroine,Lorde,Electropop,Buzzcut Season,2013,
328,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Always Remember Us This Way,2018,
329,Kiss,Carly Rae Jepsen,Pop,Call Me Maybe,2011,TV
330,Shoft El Ayam,Amr Diab,Middle Eastern,Ana Mosh Anani,2014,
331,Double Vision,Prince Royce,Pop,Back It Up,2015,
332,Pure Heroine,Lorde,Electropop,Team,2013,
333,Speak Now,Taylor Swift,Pop,The Story Of Us,2010,
334,Shatter Me,Lindsey Stirling,Pop,Shatter Me,2014,
335,Talk That Talk,Rihanna,Pop,Talk That Talk,2011,
336,Mint,Alice Merton,Pop,Why So Serious,2018,
337,Shoft El Ayam,Amr Diab,Middle Eastern,Ana Mosh Anani,2014,TV
338,After The Landslide,Matt Simons,Pop,Open Up,2019,Kitchen speaker
339,The Last Stand,Sabaton,Metal,Winged Hussars,2016,
340,The Last Stand,Sabaton,Metal,Shiroyama,2016,Kitchen speaker
341,Halcyon,Ellie Goulding,Pop,Burn,2012,
342,Maren Morris,Maren Morris,Country,My Church,2016,
343,Ana Keteer,Sherine,Pop,Ya Layali,2014,
344,Covers,Alec Chambers,Pop,Without Me,2018,
345,Black Widow,In This Moment,Metalcore,Big Bad Wolf,2014,
346,Evolution,Disturbed,Rock,No More,2018,Bedroom speaker
347,The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,2012,Kitchen speaker
348,Narrated For You,Alec Benjamin,Pop,Gotta Be A Reason,2018,
349,Happiness Begins,Jonas Brothers,Pop,Sucker,2019,
350,True Believers,Darius Rucker,Country,Wagon Wheel,2013,
351,Thinking In Textures,Nick Murphy,Electronica,No Diggity,2012,
352,Honky Tonk Time Machine,George Strait,Country,Codigo,2018,
353,Try Again,Cindy Santos,Latin,Baby Sexy,2018,
354,Icarus Falls,Zayn Malik,Pop,There You Are,2018,
355,Icarus Falls,Zayn Malik,Pop,Let Me,2018,Bedroom speaker
356,Vessel,Twenty One Pilots,Pop,Fake You Out,2012,
357,Trench,Twenty One Pilots,Indietronica,Neon Gravestones,2018,
358,Vessel,Twenty One Pilots,Pop,Truce,2012,
359,Vessel,Twenty One Pilots,Pop,Fake You Out,2012,Kitchen speaker
360,Superman,Arash,Pop,One Day,2014,
361,The Bright Side,Lenka,Pop,Blue Skies,2015,
362,Unapologetic,Rihanna,Pop,Pour It Up,2012,
363,Unapologetic,Rihanna,Pop,Stay,2012,
364,Unapologetic,Rihanna,Pop,What Now,2012,
365,Unapologetic,Rihanna,Pop,Pour It Up,2012,TV
366,Pure Heroine,Lorde,Electropop,Tennis Court,2013,
367,Black Widow,In This Moment,Metalcore,Sex Metal Barbie,2014,
368,Blood,In This Moment,Metalcore,Whore,2012,
369,Mahandini,Dewa Budjana,Pop,Hyang Giri,2018,
370,You Get What You Give,Zac Brown Band,Country,Knee Deep,2010,
371,Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,2017,
372,Dedicated,Carly Rae Jepsen,Pop,Now That I Found You,2019,Bedroom speaker
373,When Was The Last Time,Darius Rucker,Country,If I Told You,2017,
374,When Was The Last Time,Darius Rucker,Country,If I Told You,2017,Kitchen speaker
375,Seventh Heaven,Ryutaro Nakahara,Anime,Din Don Dan,2015,
376,Summer Anthems,Common Kings,Reggae,No Other Love,2013,Kitchen speaker
377,Enredados,Alan Menken,Soundtracks,Kingdom Dance,2010,
378,My Dream,Karolina Protsenko,Pop,Despacito,2018,
379,Beautiful World,Connie Talbot,Pop,Count On Me,2012,
380,Elevate,Big Time Rush,Pop,Windows Down,2011,TV
381,A Star Is Born Soundtrack,Bradley Cooper,Soundtracks,Alibi,2018,
382,It Feel Good,Konshens,Reggae,Turn Me On,2017,
383,Red,Dia Frampton,Pop,Walk Away,2011,
384,Meliora,Ghost,Metal,Cirice,2015,Bedroom speaker
385,Kaleidoscope Dream,Miguel,Pop,Adorn,2012,TV
386,Spectrum,Westlife,Pop,Hello My Love,2019,
387,Happy Endings,Old Dominion,Country,Hotel Key,2017,
388,Ayo,Wizkid,Africa,Ojuelegba,2014,
389,Glory,Britney Spears,Pop,Slumber Party,2016,Bedroom speaker
390,Loud,Rihanna,Reggae,Man Down,2010,
391,Waves,Iakopo,Reggae,Never Letting Go,2019,
392,Dolla Van Riddim,Busy Signal,Reggae,Dolla Van,2018,
393,The Martin Garrix Experience,Martin Garrix,House,Ocean,2018,
394,Dance Again,Jennifer Lopez,Pop,Dance Again,2012,
395,Glory Sound Prep,Jon Bellion,Pop,Stupid Deep,2018,
396,Loud,Rihanna,Reggae,Man Down,2010,TV
397,Center Point Road,Thomas Rhett,Country,Look What God Gave Her,2019,
398,Happy Endings,Old Dominion,Country,Written In Sand,2017,
399,Raise Vibration,Lenny Kravitz,Rock,Low,2018,
400,Philharmonics,Agnes Obel,Folk,Riverside,2010,
401,Crazy,Ornette,Pop,Crazy,2011,
402,Center Point Road,Thomas Rhett,Country,Look What God Gave Her,2019,TV
403,California Sunrise,Jon Pardi,Country,Head Over Boots,2015,
404,Love Songs From A Lolita,Maty Noyes,Pop,New Friends,2018,
405,Limitless,The Piano Guys,Classical,Epiphany,2018,
406,Swim,Dan Snaith,Electropop,Sun,2010,
407,Night Train,Jason Aldean,Country,When She Says Baby,2012,
408,California Sunrise,Jon Pardi,Country,Head Over Boots,2015,TV
409,Euphoria,Enrique Iglesias,Pop,I Like It,2010,
410,Euphoria,Enrique Iglesias,Pop,Heartbeat,2010,Kitchen speaker
411,Cheap Smell,Sharon Kovacs,Pop,Cheap Smell,2018,
412,The Shocking Miss Emerald,Caro Emerald,Pop,Tangled Up,2013,
413,My Darkest Days,My Darkest Days,Rock,Porn Star Dancing,2010,
414,Odisea,Ozuna,Latin,El Farsante,2017,TV
415,The Satanist,Behemoth,Metal,O Father O Satan O Sun,2014,
416,Heroes,Sabaton,Metal,Night Witches,2014,TV
417,If I Know Me,Morgan Wallen,Country,Up Down,2018,
418,Sick Boy,The Chainsmokers,Pop,Everybody Hates Me,2018,
419,Sick Boy,The Chainsmokers,Pop,Somebody,2018,
420,Sick Boy,The Chainsmokers,Pop,Everybody Hates Me,2018,Bedroom speaker
421,Confident,Demi Lovato,Pop,Stone Cold,2015,
422,Confident,Demi Lovato,Pop,Stone Cold,2015,TV
423,This Is Acting,Sia,Pop,Bird Set Free,2015,
424,Expectations,Bebe Rexha,Pop,Knees,2018,
425,Sing To Me Instead,Ben Platt,Pop,Temporary Love,2019,
426,Blood,In This Moment,Metalcore,Adrenalize,2012,
427,Blood,In This Moment,Metalcore,Blood,2012,
428,Blood,In This Moment,Metalcore,Adrenalize,2012,TV
429,Lazy Genius,Ayo Jay,Reggae,Let Him Go,2018,
