,album,artist,genre,track,year,device
85,Voicenotes,Charlie Puth,Pop,Attention,2017,
86,American Beauty,Tori V,Pop,Barbie Girl,2017,
87,One More Light,Linkin Park,Electropop,Battle Symphony,2017,
88,Love Always,Shane Filan,Pop,Beautiful In White,2017,
89,Bestie,Yungen,Pop,Bestie,2017,
90,Pop Food,Jack Stauber,Pop,Buttercup,2017,
91,Chanel,Frank Ocean,Pop,Chanel,2017,
92,Cherry Cola,Kuwada,Pop,Cherry Cola,2017,
93,Sappho,Zolita,Pop,Come Home With Me,2017,
94,Holo,Limbo,Pop,Airplane Mode,2017,Patio
95,Medicine Remixes,Jennifer Lopez,Pop,Medicine,2019,
96,Black Smoke Rising,Greta Van Fleet,Rock,Highway Tune,2017,
97,Black Smoke Rising,Greta Van Fleet,Rock,Highway Tune,2017,Kitchen
98,This Is Acting,Sia,Pop,Alive,2013,
99,This Is Acting,Sia,Pop,Move Your Body,2016,
100,This Is Acting,Sia,Pop,Unstoppable,2016,
101,This Is Acting,Sia,Pop,Alive,2013,Patio
102,The New Classic,Iggy Azalea,Pop,Bounce,2013,
103,The New Classic,Iggy Azalea,Pop,Change Your Life,2013,
104,The New Classic,Iggy Azalea,Pop,Work,2013,
105,The New Classic,Iggy Azalea,Pop,Work,2013,Kitchen
106,Talk That Talk,Rihanna,Pop,Where Have You Been,2011,
107,Avril Lavigne,Avril Lavigne,Pop,Hello Kitty,2013,
108,Who You Are,Jessie J,Pop,Who You Are,2011,
109,Heart Miles,Jai Waetford,Pop,Shy,2015,
110,Team,Iggy Azalea,Pop,Team,2016,
111,Sweetener,Ariana Grande,Pop,Breathin,2018,
112,The African Gentleman,Ric Hassani,Pop,Only You,2017,
113,All The Little Lights,Passenger,Pop,Let Her Go,2012,
114,A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,2018,
115,Talk That Talk,Rihanna,Pop,Where Have You Been,2011,Patio
116,Torches,Foster The People,Indie,Houdini,2011,
117,Glory Days,Little Mix,Pop,Touch,2016,
118,Pass The Jar,Zac Brown Band,Country,Colder Weather,2010,
119,If I Know Me,Morgan Wallen,Country,Up Down,2018,
120,Super,Janob Rasul,Pop,Super,2019,
121,Ohh Lala La,Squash,Reggae,Ohh Lala La,2018,
122,Exotic,Priyanka Chopra,Pop,Exotic,2012,
123,Girls Just Gotta Have Fun,Sophia Grace Brownlee,Pop,Girls Just Gotta Have Fun,2013,
124,Torches,Foster The People,Indie,Houdini,2011,Kitchen
125,High Expectations,Mabel,Pop,Bad Behaviour,2019,
126,High Expectations,Mabel,Pop,Mad Love,2019,
127,High Expectations,Mabel,Pop,Selfish Love,2019,
128,High Expectations,Mabel,Pop,Bad Behaviour,2019,Kitchen
129,We Are Not Your Kind,Slipknot,Rock,Birth Of The Cruel,2019,
130,We Are Not Your Kind,Slipknot,Rock,Birth Of The Cruel,2019,Living room
131,Overthinking,Shy Martin,Pop,Good Together,2017,
132,Overthinking,Shy Martin,Pop,Good Together,2017,Living room
133,Yours,Russell Dickerson,Country,Every Little Thing,2016,
134,One More Light,Linkin Park,Electropop,One More Light,2017,
135,Blonde,Frank Ocean,Pop,Self Control,2016,
136,My Miracle,Brad Paisley,Country,My Miracle,2019,
137,Narrated For You,Alec Benjamin,Pop,Boy In The Bubble,2018,
138,Glory Days,Little Mix,Pop,Touch,2016,Patio
139,Warrior,Kesha,Pop,Die Young,2012,
140,Feelingaa,Kay Vee Singh,Pop,Feelingaa,2019,
141,Narrated For You,Alec Benjamin,Pop,If We Have Each Other,2018,
142,The Great War,Sabaton,Metal,The Attack Of The Dead Men,2019,
143,Leave It All Behind,Zeni N,Pop,Leave It All Behind,2017,
144,Green Light Go,Becky G,Pop,Green Light Go,2019,
145,Blonde,Frank Ocean,Pop,Nikes,2016,
146,Warrior,Kesha,Pop,Die Young,2012,Living room
147,The Great War,Sabaton,Metal,Devil Dogs,2019,
148,Truth,Brandon Beal,Pop,Twerk It Like Miley,2014,
149,Madame X,Madonna,Pop,God Control,2019,
150,Laps Around The Sun,Chris Lane,Country,Take Back Home Girl,2017,
151,Good Company,The Dead South,Folk,Banjo Odyssey,2013,
152,Pumped Up Kicks,Foster The People,Indie,Pumped Up Kicks,2010,
153,Adventure,Izzamuzzic,Ambient,Adventure,2016,
154,Voicenotes,Charlie Puth,Pop,The Way I Am,2018,Kitchen
155,Lady Wood,Tove Lo,Electropop,Cool Girl,2016,
156,Narrated For You,Alec Benjamin,Pop,The Water Fountain,2018,
157,Get Wet,Fly Project,Pop,Get Wet,2017,
158,Late Night,Stoto,House,Late Night,2016,
159,Smoke,Violette Wautier,Pop,Smoke,2018,
160,Stronger,Sara Evans,Country,A Little Bit Stronger,2010,
161,Blood,In This Moment,Metalcore,Adrenalize,2012,
162,Experiment,Kane Brown,Country,Lose It,2018,
163,Epa Wei,Danny Ocean,Latin,Epa Wei,2018,
164,Joanne,Lady Gaga,Pop,Million Reasons,2016,
165,Joanne,Lady Gaga,Pop,Perfect Illusion,2016,
166,Joanne,Lady Gaga,Pop,Million Reasons,2016,Living room
167,King Of Everything,Jinjer,Metal,Pisces,2016,
168,The Hunting Party,Linkin Park,Metal,Final Masquerade,2014,
169,Magnum,Edita Abdieski,Pop,Magnum,2019,
170,What If I Never Get Over You,Lady Antebellum,Country,What If I Never Get Over You,2019,
171,Party,El Villano,Latin,Party,2018,
172,Hundred Miles,Yall,House,Hundred Miles,2015,
173,Confident,Demi Lovato,Pop,Stone Cold,2015,
174,The Purple Heart Riddim,Nadia Batson,Reggae,So Long,2018,
175,Luna Llena,Malu Trevejo,Pop,Luna Llena,2017,
176,The Hunting Party,Linkin Park,Metal,Final Masquerade,2014,Patio
177,Where We Come From,Popcaan,Reggae,Addicted,2014,
178,Title,Meghan Trainor,Pop,All About That Bass,2014,
179,My World Untouched,Emma Bale,Pop,All I Want,2014,
180,Anthropology,Baby Genius,Pop,Arty Hearty,2014,
181,Bas Rona Mat,Hym,Pop,Bas Rona Mat,2014,
182,My Everything,Ariana Grande,Pop,Best Mistake,2014,
183,Black Widow,In This Moment,Metalcore,Big Bad Wolf,2014,
184,My Everything,Ariana Grande,Pop,Break Free,2014,
185,Globalization,Pitbull,Pop,Celebrate,2014,
186,Where We Come From,Popcaan,Reggae,Addicted,2014,Living room
187,Breadwinner,Prince Swanny,Reggae,Bread Winner,2019,
188,It Feel Good,Konshens,Reggae,Bruk Off Yuh Back,2016,
189,Burning,Koffee,Reggae,Burning,2018,
190,Clarks Pon Foot,Jahvillani,Reggae,Clarks Pon Foot,2019,
191,King Of The Dancehall,Vybz Kartel,Reggae,Colouring This Life,2016,
192,Captured,Spice,Reggae,Cool It,2018,
193,Gangsta City,Popcaan,Reggae,Dream,2010,
194,Finest Dubs Outta Jamaica,Augustus Pablo,Reggae,Dub Scene,2018,
195,Ecstacy,Insideeus,Reggae,Ecstasy,2018,
196,Where We Come From,Popcaan,Reggae,Addicted,2014,Patio
197,Arcadia,Eurielle,Pop,Hate Me,2015,
198,Cloud Nine,Kygo,Downtempo,Raging,2016,
199,The Martin Garrix Experience,Martin Garrix,House,Ocean,2018,
200,Purgatory,Tyler Childers,Country,Whitehouse Road,2016,
201,Demi,Demi Lovato,Pop,Neon Lights,2013,
202,Hallelujah Nights,Lanco,Country,Greatest Love Story,2017,
203,Arcadia,Eurielle,Pop,Hate Me,2015,Kitchen
204,Sex Rock,Alex Angel,Rock,My Donna,2018,
205,Sex Rock,Alex Angel,Rock,Easy World,2018,Patio
206,Coconut Oil,Lizzo,Pop,Scuse Me,2016,
207,Purple Reign,Future,Soundtracks,Wicked,2016,
208,Unbroken,Demi Lovato,Pop,Skyscraper,2011,
209,Night Visions,Imagine Dragons,Rock,Radioactive,2012,
210,Coconut Oil,Lizzo,Pop,Scuse Me,2016,Living room
211,Outlast,Kirk Degiorgio,Asia,For The Night,2014,
212,Outlast,Kirk Degiorgio,Asia,For The Night,2014,Patio
213,Unleashed Beyond,Skillet,Rock,The Resistance,2016,
214,Enjoy Yourself,Billy Currington,Country,Let Me Down Easy,2010,
215,Frozen,Idina Menzel,Pop,Let It Go,2013,
216,Soul Searching,Bazzi,Pop,Paradise,2019,
217,Sex Rock,Alex Angel,Rock,Easy World,2018,Living room
218,The Great War,Sabaton,Metal,A Ghost In The Trenches,2019,
219,Angry Too,Lola Blanc,Pop,Angry Too,2019,
220,Anything You Can Do I Can Do Better,Haschak Sisters,Pop,Anything You Can Do I Can Do Better,2019,
221,Ay Amor,Lea Makhoul,Pop,Ay Amor,2019,
222,Assume Form,James Blake,Pop,Barefoot In The Park,2019,
223,Madame X,Madonna,Pop,Batuka,2019,
224,Be Nice,The Black Eyed Peas,Pop,Be Nice,2019,
225,Spectrum,Westlife,Pop,Better Man,2019,
226,The Great War,Sabaton,Metal,Seven Pillars Of Wisdom,2019,
227,The Great War,Sabaton,Metal,The Future Of Warfare,2019,
228,The Great War,Sabaton,Metal,The Red Baron,2019,
229,The Great War,Sabaton,Metal,Devil Dogs,2019,Living room
230,Icarus Falls,Zayn Malik,Pop,Dusk Till Dawn,2017,
231,Painkiller,Ruel,Pop,Painkiller,2019,
232,Shatter Me,Lindsey Stirling,Pop,Shatter Me,2014,
233,Trending,Squash,Reggae,Trending,2018,
234,Mud,Whiskey Myers,Rock,Stone,2016,
235,Novocaine,The Unlikely Candidates,Rock,Novocaine,2019,
236,Icarus Falls,Zayn Malik,Pop,Dusk Till Dawn,2017,Living room
237,Rise Remixes,Katy Perry,Pop,Rise,2016,
238,Rise Remixes,Katy Perry,Pop,Rise,2016,Kitchen
239,Holo,Limbo,Pop,Airplane Mode,2017,Living room
240,Euphoria,Enrique Iglesias,Pop,I Like It,2010,
241,The Colossus,Cairo Knife Fight,Rock,Rezlord,2014,
242,Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Tough Lover,2010,
243,Teri Fikar,The Turbo,Pop,Teri Fikar,2019,
244,Isolation,Kali Uchis,Funk,After The Storm,2018,
245,A War You Cannot Win,All That Remains,Metalcore,What If I Was Nothing,2012,
246,Come Little Children,Erutan,Soundtracks,Come Little Children,2013,
247,Mike,Elvana Gjata,Pop,Mike,2018,
248,California Sunrise,Jon Pardi,Country,Head Over Boots,2015,
249,Euphoria,Enrique Iglesias,Pop,I Like It,2010,Patio
250,Pulses,Karmin,Pop,Acapella,2013,
251,The Best Of,Samira,Pop,Aka Aka,2018,
252,The Princess,Parov Stelar,Pop,All Night,2012,
253,Journals,Justin Bieber,Pop,All That Matters,2013,
254,Singular Act I,Sabrina Carpenter,Pop,Almost Love,2018,
255,Yours,Russell Dickerson,Country,Blue Tacoma,2016,
256,Halfway To Heaven,Brantley Gilbert,Country,Bottoms Up,2010,
257,The Mountain,Dierks Bentley,Country,Burning Man,2018,
258,Caught Up In The Country,Rodney Atkins,Country,Caught Up In The Country,2018,
259,City Bitch,Mini Thin,Country,City Bitch,2014,
260,Welcome To The Fishbowl,Kenny Chesney,Country,Come Over,2012,
261,Stronger,Sara Evans,Country,A Little Bit Stronger,2010,Kitchen
262,Yours Truly,Ariana Grande,Pop,Baby I,2013,
263,Yours Truly,Ariana Grande,Pop,Honeymoon Avenue,2013,
264,Yours Truly,Ariana Grande,Pop,Tattooed Heart,2013,
265,Yours Truly,Ariana Grande,Pop,The Way,2013,
266,Yours Truly,Ariana Grande,Pop,Baby I,2013,Living room
267,Expectations,Hayley Kiyoko,Pop,Curious,2018,
268,Expectations,Lauren Jauregui,Pop,Expectations,2018,
269,Expectations,Hayley Kiyoko,Pop,What I Need,2018,
270,Expectations,Hayley Kiyoko,Pop,Curious,2018,Kitchen
271,The Getaway,Red Hot Chili Peppers,Rock,Dark Necessities,2016,
272,Kuntry,Jawga Boyz,Country,Ridin High,2011,
273,Direct Hits,The Killers,Rock,Just Another Girl,2013,
274,Sarah,Cairokee,Pop,Sarah,2019,
275,God Over Everything,Patoranking,Reggae,This Kind Luv,2016,
276,Crust Fm,Engelwood,Future Funk,Crystal Dolphin,2017,
277,One Thought Away,Asher Angel,Pop,One Thought Away,2019,
278,Halcyon Days,Ellie Goulding,Pop,How Long Will I Love You,2012,
279,Friendships,Pascal Letoublon,House,Friendships,2017,
280,Instagram,Afro Bros,House,Instagram,2019,
281,The Martin Garrix Experience,Martin Garrix,House,No Sleep,2019,
282,Caracal,Disclosure,House,Omen,2015,
283,Run Free,Deep Chills,House,Run Free,2017,
284,Sugar,Robin Schulz,House,Show Me Love,2015,
285,True Colors,Zedd,House,Beautiful Now,2015,Living room
286,We Are,Kisma,Pop,We Are,2017,
287,Stay Juicy,Guava Juice,Pop,Stay Juicy,2018,
288,Forever,Popcaan,Reggae,Wine For Me,2018,
289,Count Me In,Rebelution,Reggae,Roots Reggae Music,2014,
290,Happy,Pharrell Williams,Pop,Happy,2013,
291,Slow Air,Still Corners,Pop,The Message,2018,
292,Night Train,Jason Aldean,Country,Night Train,2012,
293,Assurance,Davido,Pop,Assurance,2018,
294,King Of The Dancehall,Vybz Kartel,Reggae,Colouring This Life,2016,Living room
295,Borbena,Teodora,Folk,Story,2019,
296,Cannibal,Kesha,Pop,We R Who We R,2010,
297,Love Is Singular,Tena,Romantic,Love Is Singular,2018,
298,Expectations,Hayley Kiyoko,Pop,Sleepover,2017,
299,Expectations,Hayley Kiyoko,Pop,Curious,2018,Patio
300,Slow Air,Still Corners,Pop,Black Lagoon,2018,
301,Slow Air,Still Corners,Pop,Black Lagoon,2018,Living room
302,The Nothing,Korn,Metal,Cold,2019,
303,Chronologic,Caravan Palace,Pop,Plume,2019,
304,Together Through Time,Tupper Ware Remix Party,Rock,Starlight Brigade,2018,
305,Friday,Rebecca Black,Pop,Friday,2011,
306,Heroes,Sabaton,Metal,Night Witches,2014,
307,Where We Come From,Popcaan,Reggae,Everything Nice,2013,
308,The African Gentleman,Ric Hassani,Pop,Only You,2017,Living room
309,Maza Mar Liya Dhori Ke Niche,Ravi Raj Surendra,Country,Tu Larka Hai Bihari,2019,
310,Climate Change,Pitbull,Pop,Greenlight,2016,
311,Empty Space,James Arthur,Pop,Empty Space,2018,
312,The Violence,Asking Alexandria,Metal,The Violence,2019,
313,Cherry Gum,Dolly Style,Pop,Cherry Gum,2015,
314,Tornado,Little Big Town,Country,Pontoon,2012,
315,Dance Again,Jennifer Lopez,Pop,Dance Again,2012,
316,Maza Mar Liya Dhori Ke Niche,Ravi Raj Surendra,Country,Tu Larka Hai Bihari,2019,Living room
317,Tangerine Dream,Miss Li,Pop,My Heart Goes Boom,2012,
318,Love Songs From A Lolita,Maty Noyes,Pop,New Friends,2018,
319,On My Own,Matthew David Morris,Pop,On My Own,2017,
320,Nick Jonas,Nick Jonas,Pop,Chains,2014,
321,We Pray,Dre Island,Reggae,We Pray,2017,
322,Tell Me You Love Me,Demi Lovato,Pop,Tell Me You Love Me,2017,
323,Sandra Cires Roast,Sandra Cires,Latin,Sandra Cires Roast,2018,
324,Tangerine Dream,Miss Li,Pop,My Heart Goes Boom,2012,Patio
325,Euphoria,Enrique Iglesias,Pop,Heartbeat,2010,
326,Euphoria,Enrique Iglesias,Pop,Heartbeat,2010,Living room
327,Pulses,Karmin,Pop,Acapella,2013,Kitchen
328,Pulses,Karmin,Pop,Acapella,2013,Living room
329,The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,2012,
330,The End Is Where We Begin,Thousand Foot Krutch,Rock,Courtesy Call,2012,
331,Drugs,Falling In Reverse,Rock,Drugs,2019,
332,Earth Angel,The Penguins,Rock,Earth Angel,2015,
333,The Origin Of Love,Mika,Rock,Elle Me Dit,2011,
334,Delusions,Silent Theory,Rock,Fragile Minds,2016,
335,The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,2012,Living room
336,Believe,Justin Bieber,Pop,Boyfriend,2012,
337,Purpose,Justin Bieber,Pop,Company,2015,
338,Purpose,Justin Bieber,Pop,Sorry,2015,
339,Journals,Justin Bieber,Pop,All That Matters,2013,Living room
340,Shatter Me,Lindsey Stirling,Trance,Roundtable Rival,2014,
341,Maza Mar Liya Dhori Ke Niche,Shailesh Premi,Country,Lahnga Lasar Ke,2019,
342,Beauty Marks,Ciara,Pop,Thinkin Bout You,2019,
343,Redneck Crazy,Tyler Farr,Country,Redneck Crazy,2013,
344,When Legends Rise,Godsmack,Rock,When Legends Rise,2018,
345,My Everything,Ariana Grande,Pop,Break Free,2014,Kitchen
346,Mount Everest,Labrinth,Pop,Mount Everest,2019,
347,Beautiful World,Connie Talbot,Pop,Count On Me,2012,
348,Roast Yourself Challenge,Xime Ponch,Pop,Roast Yourself Challenge,2018,
349,Got Your Six,Five Finger Death Punch,Metal,Wash It All Away,2015,
350,Double Vision,Prince Royce,Pop,Back It Up,2015,Patio
351,I Choose You,Ryann Darling,Pop,I Choose You,2016,
352,None Of My Business,Cher Lloyd,Pop,None Of My Business,2018,
353,You Are My Sunshine,Jasmine Thompson,Pop,You Are My Sunshine,2016,
354,Brett Young,Brett Young,Country,Like I Loved You,2017,
355,Transmissions,Starset,Rock,It Has Begun,2014,
356,Pop Food,Jack Stauber,Pop,Oh Klahoma,2017,
357,Up Top,Tee Jay,Reggae,Up Top,2017,
358,Traveller,Chris Stapleton,Country,Tennessee Whiskey,2015,
359,Surrender,Natalie Taylor,Folk,Surrender,2015,
360,Yours Truly,Ariana Grande,Pop,Tattooed Heart,2013,Patio
361,Pain Killer,Little Big Town,Country,Girl Crush,2014,
362,Forever,Popcaan,Reggae,Silence,2018,
363,Quarter,Witwisit Hiranyawongkul,Pop,Fortunately I Met You,2014,
364,This Is What You Came For,Calvin Harris,Pop,This Is What You Came For,2016,
365,Winter Collection,Sivik,Pop,High,2015,
366,Welcome To The Fishbowl,Kenny Chesney,Country,Come Over,2012,Kitchen
367,Desperate Man,Eric Church,Country,Some Of It,2018,
368,Outta My Hair,Logan Paul,Pop,Outta My Hair,2017,
369,Ganjaman,Alfons,Pop,Ganjaman,2014,
370,Melodrama,Lorde,Electropop,Green Light,2017,
371,Forgetting This,Elijah N,Pop,Stick Together,2016,
372,Who You Are,Jessie J,Electropop,Mamma Knows Best,2011,
373,Sinner,Aaron Lewis,Country,Lost And Lonely,2016,
374,One More Light,Linkin Park,Electropop,Good Goodbye,2017,
375,R U Crazy,Conor Maynard,Pop,R U Crazy,2013,
376,The Great War,Sabaton,Metal,Great War,2019,Kitchen
377,The Mountain,Dierks Bentley,Country,Living,2018,
378,The Mountain,Dierks Bentley,Country,Burning Man,2018,Patio
379,Moon Landing,James Blunt,Pop,Always Hate Me,2013,
380,Nine Track Mind,Charlie Puth,Pop,One Call Away,2015,
381,The Getaway,Red Hot Chili Peppers,Rock,Goodbye Angels,2016,
382,How Long,Charlie Puth,Pop,How Long,2017,
383,Hush,Haschak Sisters,Pop,Hush,2019,
384,Pitch Perfect,Anna Kendrick,Soundtracks,Cups,2012,
385,Moon Landing,James Blunt,Pop,Always Hate Me,2013,Kitchen
386,Heart Miles,Jai Waetford,Pop,Shy,2015,Kitchen
387,Sick Boy,The Chainsmokers,Pop,Sick Boy,2018,
388,Sick Boy,The Chainsmokers,Pop,Side Effects,2018,
389,Sick Boy,The Chainsmokers,Pop,Everybody Hates Me,2018,Living room
390,Raees,Pavni Pandey,South Asia,Laila Main Laila,2017,
391,Raees,Pavni Pandey,South Asia,Laila Main Laila,2017,Patio
392,Loved You Once,Clara Mae,Pop,Loved You Once,2019,
393,Unapologetic,Rihanna,Pop,Pour It Up,2012,
394,Climate Change,Pitbull,Pop,Options,2017,
395,Climate Change,Pitbull,Pop,Greenlight,2016,Kitchen
396,Frozen,Josh Gad,Soundtracks,In Summer,2013,
397,Frozen,Josh Gad,Soundtracks,In Summer,2013,Living room
398,Get Wet,Krewella,Dubstep,Alive,2012,
399,Get Wet,Krewella,Dubstep,Alive,2012,Living room
400,La La Land,La La Land Cast,Soundtracks,Another Day Of Sun,2016,
401,Turn Back Time,Daniel Schulz,Pop,Turn Back Time,2017,
402,Gotta Be Me,Cody Johnson,Country,With You I Am,2016,
403,It Feel Good,Konshens,Reggae,Turn Me On,2017,
404,Cloud Nine,Kygo,Downtempo,Raging,2016,Living room
405,Love Town,Kolohe Kai,Reggae,First True Love,2011,
406,Brett Eldredge,Brett Eldredge,Country,Love Someone,2017,
407,Inviolable,Popcaan,Reggae,Inviolable,2018,
408,Born This Way,Lady Gaga,Pop,Judas,2011,
409,Reincarnation,Tommy Lee Sparta,Reggae,Top Shotta,2019,
410,Love Town,Kolohe Kai,Reggae,First True Love,2011,Living room
411,Badlands,Halsey,Electropop,Colors,2015,
412,Witness,Katy Perry,Pop,Hey Hey Hey,2017,
413,Badlands,Halsey,Electropop,Colors,2015,Patio
414,Unapologetic,Rihanna,Pop,What Now,2012,
415,Spaceship Earth,Whitewoods,Pop,Beach Walk,2013,
416,Halcyon Days,Ellie Goulding,Pop,Beating Heart,2012,
417,Crazy,Ornette,Pop,Crazy,2011,
418,The Gereg,The Hu,Rock,Wolf Totem,2018,
419,Wonder Woman,Davido,Pop,Wonder Woman,2018,
420,Prequelle,Ghost,Metal,Dance Macabre,2018,
421,Unapologetic,Rihanna,Pop,What Now,2012,Kitchen
422,Double Vision,Prince Royce,Pop,Back It Up,2015,Living room
423,A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,2018,Patio
424,Globalization,Pitbull,Pop,Fun,2014,
425,Ready,Ruel,Pop,Younger,2018,
426,Thank You,Meghan Trainor,Pop,Me Too,2016,
427,Soul Searching,Bazzi,Pop,Paradise,2019,Living room
428,Covers Collection,Caitlin De Ville,Pop,Rockabye,2018,
429,Experiment,Kane Brown,Country,Homesick,2018,
430,Not Over You,Conor Maynard,Pop,Not Over You,2019,
431,Kisses Back,Matthew Koma,Pop,Kisses Back,2016,
432,Amos,Michael Ray,Country,Her World Or Mine,2018,
433,Covers Collection,Caitlin De Ville,Pop,Rockabye,2018,Living room
434,Illuminate,Shawn Mendes,Pop,Treat You Better,2016,
435,Cry Pretty,Carrie Underwood,Pop,Southbound,2018,
436,Illuminate,Shawn Mendes,Pop,Treat You Better,2016,Patio
437,Strange Trails,Lord Huron,Rock,The Night We Met,2015,
438,Drowning,Chris Young,Country,Drowning,2019,
439,Rage Valley,Knife Party,Dubstep,Centipede,2012,
440,Dangerous Woman,Ariana Grande,Pop,Focus,2015,
441,Strange Trails,Lord Huron,Rock,The Night We Met,2015,Living room
442,The Greatest,Sia,Pop,The Greatest,2016,
