,cast,directed_by,genre,movie_title,percent_rating
117,Lisa Tharps,Josephine Decker,Thriller,Madeline's Madeline,88
118,Joey Fatone,Joel Zwick,Comedy,My Big Fat Greek Wedding,76
119,Zoe Margaret Colletti,Andre Ovredal,Horror,Scary Stories to Tell in the Dark,79
120,Hattie Morahan,Gavin Hood,Mystery,Official Secrets,78
121,Dominic Monaghan,Peter Jackson,Fantasy,The Lord of the Rings: The Return of the King,93
122,James Shapkoff III,Herbert Ross,Family,Steel Magnolias,70
123,Camila Sosa,Lucrecia Martel,World,Zama,96
124,Josef Sommer,Steven Spielberg,Sci-fi,Close Encounters of the Third Kind,95
125,Lena Dunham,Quentin Tarantino,Offbeat,Once Upon a Time In Hollywood,85
126,Max Pava,Paul Downs Colaizzo,Drama,Brittany Runs a Marathon,90
127,Lil Rel Howery,Thurop Van Orman,Animation,The Angry Birds Movie 2,72
128,Lucia Oskerova,Quentin Tarantino,Offbeat,Once Upon a Time In Hollywood,85
129,Kelvin Harrison Jr.,Julius Onah,Mystery,Luce,92
130,Aoi Mizuhara,Lulu Wang,Family,The Farewell,99
131,Robert R. Morgan,Herbert Ross,Family,Steel Magnolias,70
132,Enid-Raye Adams,Gene Stupnitsky,Comedy,Good Boys,79
133,Rob Brydon,Gurinder Chadha,Drama,Blinded by the Light,88
134,Tony Hale,Thurop Van Orman,Animation,The Angry Birds Movie 2,72
135,Sophia Di Martino,Danny Boyle,Comedy,Yesterday,63
136,Mel Brooks,Josh Cooley,Animation,Toy Story 4,97
137,Timothy Dalton,Josh Cooley,Animation,Toy Story 4,97
