,amount,payment_method,private_visibility,receiver
187,63,app balance,False,Rachel
188,7,app balance,False,Peter
189,173,app balance,True,Victoria
190,132,app balance,False,Margaret
191,111,debit card,False,Peter
192,38,debit card,False,Amelia
193,180,debit card,False,Mahmoud
194,84,app balance,False,Yumi
195,139,app balance,True,Victoria
196,119,debit card,False,Peter
197,132,debit card,False,Margaret
198,179,debit card,False,Tom
199,123,debit card,False,Isabella
200,44,debit card,False,Mary
201,125,credit card,True,Wilson
202,45,credit card,False,Isabella
203,11,credit card,False,Mary
204,25,credit card,False,Yumi
205,68,credit card,False,Margaret
206,174,credit card,False,Mary
207,55,credit card,False,Rachel
208,118,app balance,True,Mahmoud
209,116,app balance,False,Bob
210,64,app balance,False,Jerry
211,18,debit card,True,Mahmoud
212,117,debit card,False,Wilson
213,32,credit card,False,Victoria
214,15,credit card,False,Yumi
215,98,credit card,False,Jerry
216,121,app balance,False,Isabella
217,111,credit card,False,Margaret
218,3,credit card,False,Victoria
219,75,credit card,False,Rachel
220,148,credit card,False,Bob
221,58,credit card,False,Svetlana
222,49,debit card,False,Margaret
223,120,app balance,False,Emma
224,153,app balance,False,Svetlana
225,72,app balance,False,Mary
226,24,app balance,False,Peter
227,72,app balance,False,Amelia
228,134,debit card,False,Mary
229,31,debit card,False,Svetlana
230,96,debit card,False,Peter
231,176,debit card,False,Margaret
232,149,debit card,False,Victoria
233,149,debit card,True,Mahmoud
234,155,app balance,False,Yumi
235,47,app balance,False,Mary
236,82,debit card,False,Wilson
237,116,credit card,False,Mary
238,131,app balance,False,Wilson
239,171,credit card,True,Victoria
240,169,credit card,True,Jerry
241,100,app balance,False,Mary
242,152,credit card,True,Emma
243,77,app balance,False,Diego
244,25,app balance,False,Yumi
245,168,app balance,False,Mary
246,79,app balance,False,Margaret
247,74,credit card,False,Isabella
248,82,credit card,False,Jerry
249,50,credit card,True,Emma
250,126,app balance,False,Amelia
251,119,app balance,False,Diego
252,121,app balance,False,Mary
253,132,debit card,False,Wilson
254,89,app balance,False,Margaret
255,116,debit card,False,Emma
256,43,credit card,True,Mahmoud
257,93,credit card,True,Wilson
258,17,debit card,True,Svetlana
259,90,debit card,False,Mahmoud
260,18,credit card,False,Margaret
261,129,debit card,False,Emma
262,141,debit card,False,Margaret
263,127,debit card,True,Diego
264,97,debit card,False,Victoria
265,10,credit card,False,Margaret
266,121,credit card,False,Amelia
267,85,credit card,False,Mary
268,97,credit card,False,Rachel
269,51,debit card,False,Wilson
270,104,app balance,False,Jerry
271,62,app balance,False,Amelia
272,114,app balance,True,Isabella
273,122,credit card,False,Diego
