,address,area,has_garage,in_unit_laundry,intent,number_of_baths,number_of_beds,phone_number,price,property_name,visit_date
57,921 Fletcher Lane,Hayward,False,True,buy,1,2,510-538-3658,2700000,Fletcher Gardens Apartments,
58,375 Industrial Parkway # 314,Hayward,False,True,buy,1,2,510-581-0911,2500000,Golf Club Manor Apartments,
59,25355 Cypress Avenue # 101,Hayward,True,True,buy,1,2,510-785-8181,2350000,Pepper Tree Apartments,
60,837 Hancock Street,Hayward,True,True,buy,1,2,510-581-4141,2200000,Pinecrest Apartments,
61,22650 Alice Street,Hayward,True,True,buy,1,2,510-582-1460,2500000,Sycamore Square Housing Corporation,
62,24607 Amador Street,Hayward,False,True,buy,1,2,510-782-6261,2650000,Vita Apartments,
63,630 Tempe Court,Pleasant Hill,True,True,buy,1,2,925-825-1220,2400000,Camelback North Apartments,
64,235 Camelback Road,Pleasant Hill,True,True,buy,1,2,925-671-2460,2350000,Northridge Apartments,
65,637 Stonebridge Way,Pleasant Hill,True,True,buy,1,2,925-691-5220,2200000,Wood Creek Apartments,
66,630 Tempe Court,,True,True,,1,2,925-825-1220,2400000,Camelback North Apartments,2019-03-02
67,999 West Hamilton Avenue,Campbell,False,True,rent,1,1,408-796-4545,1650,The Greenery Apartments Homes,
68,999 West Hamilton Avenue,,False,True,,1,1,408-796-4545,1700,The Greenery Apartments Homes,2019-03-08
69,2355 Fairfield Avenue,Fairfield,False,True,buy,3,3,707-429-1271,3900000,Aspen Village Apartments,
70,2000 Clay Bank Road,Fairfield,True,True,buy,3,3,707-881-7063,3750000,Avery Park Apartments,
71,1890 Dover Avenue,Fairfield,False,True,buy,3,3,707-422-9630,3550000,Birchwood Apartments,
72,2801 Dover Avenue,Fairfield,False,False,buy,3,3,707-429-8966,3550000,Dover Woods,
73,1917 Grande Circle,Fairfield,True,False,buy,3,3,707-434-8983,3800000,Fairfield Heights,
74,201 Pennsylvania Avenue,Fairfield,True,False,buy,3,3,707-421-2155,3750000,Fairfield Vista Apartments,
75,651 East Travis Boulevard,Fairfield,False,True,buy,3,3,707-429-1778,3900000,Orchard Crossing Apartments,
76,100 Hawthorn Drive,Fairfield,False,False,buy,3,3,707-425-1624,3600000,Round Hill Creek Apartments,
77,840 East Travis Boulevard # 600,Fairfield,False,True,buy,3,3,707-422-9188,3800000,Sunset Creek Apartments,
78,2355 Fairfield Avenue,,False,True,,3,3,707-429-1271,3900000,Aspen Village Apartments,2019-03-10
79,1546 Maurice Lane,San Jose,False,False,rent,2,2,408-818-0710,2850,888 Golden Saratoga-Cupertino Apartment Homes,
80,73 North Keeble Avenue,San Jose,True,True,rent,2,2,408-998-7266,2950,Alameda Gardens Apartments,
81,2415 Rinconada Drive,San Jose,True,True,rent,2,2,408-516-4212,3200,Almaden House,
82,1585 Marburg Way # 4,San Jose,True,True,rent,2,2,408-926-3999,2900,Ann Darling Apartments,
83,5822 Charlotte Drive,San Jose,True,True,rent,2,2,408-226-5822,2850,Anton La Moraga Apartments,
84,44 North Jackson Avenue # A5,San Jose,True,False,rent,2,2,408-251-4540,2750,Boxer'S Mayfair Village Senior Apartments,
85,260 North Capitol Avenue # 109,San Jose,False,False,rent,2,2,408-259-1662,3100,Capitol Avenue Apartments,
86,1200 Ranchero Way,San Jose,False,True,rent,2,2,408-241-1146,3100,Charter Court Apartments,
87,3051 Colonial Way,San Jose,True,False,rent,2,2,408-866-8444,3150,Colonial Way Apartments,
88,3555 Judro Way,San Jose,False,False,rent,2,2,408-248-1442,3150,Cypress Gardens,
89,995 Tully Road,San Jose,True,True,rent,2,2,408-294-6200,3200,Greentree Apartments,
90,2550 South King Road,San Jose,False,True,rent,2,2,408-274-7983,3200,Lion Villas Apartment Homes,
91,1780 Oakland Road,San Jose,True,True,rent,2,2,408-437-1444,2800,Los Esteros Apartments,
92,560 Menker Avenue # A,San Jose,False,True,rent,2,2,408-287-8804,2850,Menclair Apartments,
93,2415 Rinconada Drive,,True,True,,2,2,408-516-4212,3200,Almaden House,2019-03-09
94,40001 Fremont Boulevard,Fremont,True,False,rent,2,2,510-455-8815,3050,Boulevard,
95,36163 Fremont Boulevard,Fremont,True,True,rent,2,2,510-793-1621,2750,Brookvale Chateau,
96,4262 Central Avenue,Fremont,True,True,rent,2,2,510-793-4336,3050,Glenhaven Apartments,
97,4444 Central Avenue,Fremont,True,True,rent,2,2,510-792-1161,2800,Glenmills Apartments,
98,37950 Fremont Boulevard,Fremont,True,False,rent,2,2,844-422-5116,3000,Pentagon Apartments,
99,35995 Fremont Boulevard,Fremont,True,True,rent,2,2,510-792-7805,3100,Pinebrook Apartments,
100,4141 Stevenson Boulevard,Fremont,True,False,rent,2,2,510-455-8844,2850,Stevenson Place Apartments,
101,39900 Blacow Road,Fremont,True,False,rent,2,2,510-657-1171,2950,Sundale North & South Apt,
102,"Fremont, California 94538, United States",Fremont,True,False,rent,2,2,510-657-1171,3250,Sundale South Apartments,
103,4243 Laurel Street,Fremont,True,False,rent,2,2,510-651-5320,2750,Victoria Gardens Apartments,
104,40001 Fremont Boulevard,,True,False,,2,2,510-455-8815,3050,Boulevard,2019-03-04
105,3263 Mount Diablo Court,Lafayette,False,False,buy,3,3,925-287-1188,3500000,Lafayette Commons Apartments,
106,1076 Carol Lane,Lafayette,True,False,buy,3,3,925-284-2586,3500000,Lafayette Highlands Apartments,
107,3263 Mount Diablo Court,,False,False,,3,3,925-287-1188,4150,Lafayette Commons Apartments,2019-03-11
108,7015 Fellers Lane,Sebastopol,False,True,buy,2,3,707-823-0730,3550000,Redwood Grove Apartments,
109,7015 Fellers Lane,,False,True,,2,3,707-823-0730,3850,Redwood Grove Apartments,2019-03-03
110,135 Freeway Drive,Napa,False,False,buy,3,3,707-253-8954,3700000,Bristol Apartments,
111,234 Soscol Avenue,Napa,False,True,buy,3,3,707-258-1370,3450000,Cadillac Flats Apartments,
112,3663 Solano Avenue,Napa,False,True,buy,3,3,707-266-6934,3800000,Hawthorn Village,
113,613 Cabot Way,Napa,True,False,buy,3,3,707-265-9373,3450000,Marina Park Townhomes,
114,135 Freeway Drive,,False,False,,3,3,707-253-8954,4200,Bristol Apartments,2019-03-02
115,150 Sierra Drive,Walnut Creek,True,False,rent,1,2,925-945-1701,2800,Affordable Housing Associates,
116,1200 Newell Hill Place,Walnut Creek,True,True,rent,1,2,925-934-1117,2800,Newell Vista Apartments,
117,1755 Trinity Avenue # 1,Walnut Creek,True,True,rent,1,2,925-935-6956,2650,Walnut Hill Apartments,
118,150 Sierra Drive,,True,False,,1,2,925-945-1701,2300000,Affordable Housing Associates,2019-03-07
119,1290 San Tomas Aquino Road,San Jose,False,True,buy,3,4,408-984-8888,4000000,Aegena,
120,73 North Keeble Avenue,San Jose,True,True,buy,3,4,408-998-7266,4050000,Alameda Gardens Apartments,
121,947 Branham Lane # C,San Jose,True,False,buy,3,4,408-265-4808,4550000,Almaden Garden Apartments,
122,1543 Ambergrove Drive,San Jose,True,False,buy,3,4,408-453-8011,4350000,Amberwood Apartments,
123,2760 McKee Road,San Jose,True,False,buy,3,4,408-251-7570,4200000,Arbor Terraces,
124,750 North King Road,San Jose,True,False,buy,3,4,408-844-4803,4550000,Avenel Apartments,
125,4748 West Campbell Avenue,San Jose,True,True,buy,3,4,408-379-8440,4200000,Baker Park Apartments,
126,5480 Lean Avenue,San Jose,True,False,buy,3,4,408-840-2195,4350000,Blossom Hill Apartments,
127,1000 Blossom River Way,San Jose,True,True,buy,3,4,408-979-9442,4200000,Blossom River Apartments,
128,1612 Branham Lane,San Jose,True,False,buy,3,4,408-267-0515,4450000,Branham House Apartments,
129,1290 San Tomas Aquino Road,,False,True,,3,4,408-984-8888,4000000,Aegena,2019-03-07
130,1227 Hampshire Street,San Francisco,True,False,rent,3,4,415-285-5966,4800,Betel Apartments,
131,530 Carter Street,San Francisco,False,True,rent,3,4,415-584-4800,5050,Carter Terrace,
132,420 Berry Street,San Francisco,False,True,rent,3,4,415-371-0012,5250,Crescent Cove,
133,515 John Muir Drive,San Francisco,False,True,rent,3,4,888-536-9891,4700,Lakewood Apartments,
134,440 Valencia Street,San Francisco,False,False,rent,3,4,415-861-6159,4900,Plaza Del Sol Apartments,
135,140 Cashmere Street,San Francisco,False,False,rent,3,4,415-821-7440,5200,Ridgeview Terrace Townhouses,
136,50 Turk Street #37,San Francisco,False,True,rent,3,4,415-685-7045,4700,Winston Arms Apartments,
137,1227 Hampshire Street,,True,False,,3,4,415-285-5966,4250000,Betel Apartments,2019-03-08
138,201 Pennsylvania Avenue,Fairfield,True,False,rent,2,3,707-421-2155,3600,Fairfield Vista Apartments,
139,201 East Alaska Avenue,Fairfield,False,False,rent,2,3,707-425-7037,3800,Laurel Gardens Apartments,
140,2800 Dover Avenue,Fairfield,False,False,rent,2,3,707-426-0265,3900,Paradise Valley Apartments,
141,2215 Peach Tree Drive,Fairfield,True,True,rent,2,3,707-427-3396,4050,Peachwood Apartments,
142,840 East Travis Boulevard # 600,Fairfield,False,True,rent,2,3,707-422-9188,3800,Sunset Creek Apartments,
143,1480 Phoenix Drive,Fairfield,False,True,rent,2,3,707-429-5810,3900,Townhouse Apartments,
144,2999 North Texas Street #22,Fairfield,True,True,rent,2,3,707-426-3135,3750,Woodsong Village Apartments,
145,201 Pennsylvania Avenue,,True,False,,2,3,707-421-2155,3600,Fairfield Vista Apartments,2019-03-10
146,835 Turk Street,San Francisco,True,False,buy,2,2,415-922-0111,3000000,Vantaggio Suites,
147,2238 Hyde Street,San Francisco,False,False,buy,2,2,415-341-3098,2600000,View Tower Suites,
148,530 Carter Street,San Francisco,False,True,buy,1,2,415-584-4800,2700000,Carter Terrace,
149,296A Addison Street,San Francisco,False,True,buy,1,2,415-334-2698,2550000,Diamond View Apartments,
150,1820 Post Street,San Francisco,False,True,buy,1,2,415-921-3469,2350000,Golden Gate Apartments,
151,655 John Muir Drive,San Francisco,False,True,buy,1,2,415-239-4745,2650000,Lakewood Access Line,
152,474 Valencia Street # 280,San Francisco,False,True,buy,1,2,415-864-6432,2300000,Mission Housing Development Corporation,
153,50 Reardon Road # 111,San Francisco,False,True,buy,1,2,415-648-1910,2700000,Reardon Heights,
154,530 Carter Street,,False,True,,1,2,415-584-4800,2700000,Carter Terrace,2019-03-04
155,5255 Clayton Road,Concord,True,False,rent,2,3,855-957-1118,4050,Clayton Creek Apartments,
156,1530 Ellis Street,Concord,False,False,rent,2,3,925-521-8333,3500,Lakeshore Apartments,
157,1411 Monument Boulevard,Concord,False,True,rent,2,3,925-827-1836,3500,Monterrey Club Apartments,
158,1220 Monument Boulevard,Concord,True,False,rent,2,3,925-676-8550,3950,Mountain View Apartments,
159,2055 Fox Way,Concord,False,False,rent,2,3,925-384-1332,3650,Oakview Apartments,
160,2925 Monument Boulevard,Concord,False,True,rent,2,3,925-685-4246,3750,Palm Terrace Concord,
161,1731 Pine Street,Concord,True,True,rent,2,3,925-969-0096,3900,Vasona Management,
162,1530 Ellis Street,,False,False,,2,3,925-521-8333,3250000,Lakeshore Apartments,2019-03-09
163,150 Sierra Drive,Walnut Creek,True,False,rent,2,3,925-945-1701,3900,Affordable Housing Associates,
164,1195 Saranap Avenue # 14,Walnut Creek,True,False,rent,2,3,925-937-1324,3650,Birchwood Apartments,
165,1435 Creekside Drive,Walnut Creek,False,False,rent,2,3,925-935-4614,3600,Creekside Glen Apartments,
166,1011 Ygnacio Valley Road,Walnut Creek,True,False,rent,2,3,844-731-9934,3550,Cypress Creek Apartments,
167,3081 North Main Street # 23,Walnut Creek,False,True,rent,2,3,925-932-0981,4000,Evergreen Apartments,
168,3055 North Main Street,Walnut Creek,True,True,rent,2,3,855-388-5520,3550,Kingston Place Apartments,
169,260 Park Lake Circle B,Walnut Creek,True,False,rent,2,3,925-930-0559,4050,Park Lake At Walnut Creek,
170,1195 Saranap Avenue # 14,,True,False,,2,3,925-937-1324,3650,Birchwood Apartments,2019-03-08
171,3055 North Main Street,Walnut Creek,True,True,rent,3,3,855-388-5520,4400,Kingston Place Apartments,
172,1595 Sunnyvale Avenue #1,Walnut Creek,True,True,rent,3,3,925-937-1595,3950,Walnut Creek Apartments,
173,1755 Trinity Avenue # 1,Walnut Creek,True,True,rent,3,3,925-935-6956,4450,Walnut Hill Apartments,
174,1450 Creekside Drive,Walnut Creek,True,True,buy,3,4,925-930-9625,4350000,Diablo Pointe Apartments,
175,1450 Creekside Drive,,True,True,,3,4,925-930-9625,4350000,Diablo Pointe Apartments,2019-03-11
176,2001 Range Avenue,Santa Rosa,False,False,rent,2,3,707-578-1150,4000,Coddingtown Mall Apartments,
177,2807 Yulupa Avenue,Santa Rosa,False,True,rent,2,3,707-527-0128,3900,Country Club Apartments,
178,3076 Marlow Road,Santa Rosa,True,True,rent,2,3,707-579-5081,3500,Marlow Apartments,
179,310 Butterfly Lane,Santa Rosa,True,True,rent,2,3,707-542-4067,3700,Meadowview Apartments,
180,1814 North Dutton Avenue # 25,Santa Rosa,False,True,rent,2,3,707-542-1310,3500,North Dutton Apartments,
181,2002 Pinercrest Drive,Santa Rosa,False,False,rent,2,3,707-579-3424,4050,Orchard West Senior Apartments,
182,2389 McBride Lane,Santa Rosa,False,False,rent,2,3,707-579-5605,4050,Park Villa Apartments,
183,1024 Prospect Avenue # 122A,Santa Rosa,True,False,rent,2,3,707-537-7834,3550,Prospect Place Apartments,
184,2111 Kawana Springs Road,Santa Rosa,True,False,rent,2,3,707-595-2374,3900,Renaissance Apartment Homes,
185,1 Kashmir Drive,Santa Rosa,False,True,rent,2,3,707-539-1109,3650,Santa Rosa Garden Apartments,
186,2001 Range Avenue,,False,False,,2,3,707-578-1150,3600000,Coddingtown Mall Apartments,2019-03-11
187,18 Clark Avenue,Cloverdale,True,False,rent,1,2,707-894-3557,2400,Cloverdale Garden Apartments,
188,19 Clark Avenue,Cloverdale,True,True,rent,1,2,707-894-5426,2400,Vineyard Manor,
189,1059 Reed Avenue,Sunnyvale,False,True,rent,1,2,408-984-1060,2550,Aster Park Apartments,
190,732 East Evelyn Avenue,Sunnyvale,False,False,rent,1,2,669-267-1020,2800,Bristol Commons,
191,455 Brahms Way,Sunnyvale,False,True,rent,1,2,408-732-1200,2850,Cezanne Apartments,
192,678 Bellflower Avenue,Sunnyvale,False,False,rent,1,2,408-735-9030,2700,Charter Palm Town Homes,
193,250 W El Camino Real,Sunnyvale,False,False,rent,1,2,866-748-9591,2450,Cherry Orchard Apartment Homes,
194,1220 North Fair Oaks Avenue,Sunnyvale,False,True,rent,1,2,866-302-5606,2650,Kensington Place Apartments,
195,107 South Mary Avenue,Sunnyvale,False,False,rent,1,2,408-702-2447,2400,Magnolia Square Apartments,
196,1063 Morse Avenue,Sunnyvale,True,False,rent,1,2,844-482-6009,2300,Mission Pointe By Windsor,
197,1229 Vicente Drive,Sunnyvale,True,True,rent,1,2,650-961-0141,2850,Olive West Apartments,
198,120 East Remington Drive,Sunnyvale,True,True,rent,1,2,408-738-1114,2300,Remington Place Apartments,
199,1059 Reed Avenue,,False,True,,1,2,408-984-1060,2550,Aster Park Apartments,2019-03-03
200,750 North King Road,San Jose,True,False,buy,1,1,408-844-4803,1700000,Avenel Apartments,
201,3801 Blackford Avenue #16,San Jose,True,False,buy,1,1,408-876-3565,1750000,Blackford Apartments,
202,1000 Blossom River Way,San Jose,True,True,buy,1,1,408-979-9442,1900000,Blossom River Apartments,
203,220 North White Road,San Jose,True,False,buy,1,1,408-259-0427,1950000,Casa Las Palmas,
204,1250 Foxdale Loop,San Jose,True,False,buy,1,1,408-251-1142,1850000,Foxdale Village Apartments,
205,380 Northlake Drive #37,San Jose,True,False,buy,1,1,408-246-6936,2100000,Northlake Ambassador Apartments,
206,360 Meridian Avenue,San Jose,True,True,buy,1,1,408-995-0637,1950000,Parkview Family Apartments,
207,2811 McKee Road,San Jose,True,False,buy,1,1,408-272-5205,2100000,Peppertree Apartments,
208,4668 Albany Drive,San Jose,True,True,buy,1,1,408-248-0800,1650000,San Jose Gardens,
209,39 Rio Robles East,San Jose,True,False,buy,1,1,408-570-5000,2150000,The Oaks,
210,750 North King Road,,True,False,,1,1,408-844-4803,1700000,Avenel Apartments,2019-03-02
211,1290 San Tomas Aquino Road,San Jose,False,True,buy,3,3,408-984-8888,3450000,Aegena,
212,2415 Rinconada Drive,San Jose,True,True,buy,3,3,408-516-4212,3950000,Almaden House,
213,978 Almaden Lake Drive,San Jose,False,False,buy,3,3,408-323-8020,3800000,Almaden Lake Apartments,
214,1585 Marburg Way # 4,San Jose,True,True,buy,3,3,408-926-3999,3450000,Ann Darling Apartments,
215,1582 Kooser Road,San Jose,False,False,buy,3,3,408-448-1288,3800000,Arbor Apartments,
216,899 North King Road,San Jose,True,False,buy,3,3,408-272-1588,3850000,Arbor Park,
217,1058 South 5th Street,San Jose,False,True,buy,3,3,877-259-1439,3950000,Art Ark Apartments,
218,4748 West Campbell Avenue,San Jose,True,True,buy,3,3,408-379-8440,3950000,Baker Park Apartments,
219,44 North Jackson Avenue # A5,San Jose,True,False,buy,3,3,408-251-4540,3950000,Boxer'S Mayfair Village Senior Apartments,
220,1612 Branham Lane,San Jose,True,False,buy,3,3,408-267-0515,3600000,Branham House Apartments,
221,1290 San Tomas Aquino Road,,False,True,,3,3,408-984-8888,4350,Aegena,2019-03-04
222,1713 164th Avenue #1,San Leandro,False,False,buy,1,1,510-481-7575,1950000,Hilltop Trio Apartments,
223,"San Leandro, California 94578, United States",San Leandro,False,False,buy,1,1,510-586-6396,2000000,Montair Apartments,
224,900 143rd Avenue,San Leandro,True,False,buy,1,1,510-898-6076,1900000,Parkside Commons Apartments,
225,1300 Kentwood Lane,,False,True,,1,1,510-481-2565,1750,Ashland Village Apartments,2019-03-11
226,1015 Fitzuren Road #7,Antioch,True,True,buy,2,2,925-978-9772,2550000,Magnolia Apartments,
227,2201 Mahogany Way,Antioch,True,True,buy,2,2,925-754-9077,2900000,Oakwood Village Apartments,
228,2201 San Jose Drive,Antioch,True,True,buy,2,2,925-779-9999,2900000,Runaway Bay,
229,1015 Fitzuren Road #7,,True,True,,2,2,925-978-9772,2550000,Magnolia Apartments,2019-03-04
230,1000 Kiely Boulevard,Santa Clara,False,True,rent,2,2,408-247-6228,3150,Family Tree Apartments,
231,3375 Homestead Road,Santa Clara,False,True,rent,2,2,408-984-0244,2900,Hidden Lake,
232,1600 Nantucket Circle,Santa Clara,True,True,rent,2,2,408-565-9960,3050,Nantucket Apartments,
233,3650 Buckley Street Apt#907,Santa Clara,True,True,rent,2,2,408-247-1440,3150,Oakbrook Apartments,
234,1000 Kiely Boulevard,,False,True,,2,2,408-247-6228,3150,Family Tree Apartments,2019-03-01
235,1290 San Tomas Aquino Road,San Jose,False,True,rent,3,3,408-984-8888,4350,Aegena,
236,2415 Rinconada Drive,San Jose,True,True,rent,3,3,408-516-4212,4150,Almaden House,
237,978 Almaden Lake Drive,San Jose,False,False,rent,3,3,408-323-8020,4200,Almaden Lake Apartments,
238,1585 Marburg Way # 4,San Jose,True,True,rent,3,3,408-926-3999,4350,Ann Darling Apartments,
239,1582 Kooser Road,San Jose,False,False,rent,3,3,408-448-1288,4350,Arbor Apartments,
240,899 North King Road,San Jose,True,False,rent,3,3,408-272-1588,4150,Arbor Park,
241,1058 South 5th Street,San Jose,False,True,rent,3,3,877-259-1439,4450,Art Ark Apartments,
242,4748 West Campbell Avenue,San Jose,True,True,rent,3,3,408-379-8440,4150,Baker Park Apartments,
243,44 North Jackson Avenue # A5,San Jose,True,False,rent,3,3,408-251-4540,4350,Boxer'S Mayfair Village Senior Apartments,
244,1612 Branham Lane,San Jose,True,False,rent,3,3,408-267-0515,4400,Branham House Apartments,
245,1290 San Tomas Aquino Road,,False,True,,3,3,408-984-8888,3450000,Aegena,2019-03-13
246,31108 Brae Burn Avenue,Hayward,False,True,buy,3,3,510-471-7075,3500000,Baywood Apartments,
247,25200 Carlos Bee Boulevard,Hayward,True,True,buy,3,3,510-822-2617,3700000,City View,
248,375 Industrial Parkway # 314,Hayward,False,True,buy,3,3,510-581-0911,3850000,Golf Club Manor Apartments,
249,24545 Amador Street,Hayward,True,True,buy,3,3,510-400-7700,3600000,Jackson Arms Apartments,
250,28955 Mission Boulevard,Hayward,True,True,buy,3,3,510-537-5604,3600000,Mission Bay Condos,
251,605 Orchard Avenue,Hayward,False,True,buy,3,3,510-886-1055,3650000,Park Orchard Apartments,
252,837 Hancock Street,Hayward,True,True,buy,3,3,510-581-4141,3800000,Pinecrest Apartments,
253,26030 Gading Road # 41,Hayward,True,True,buy,3,3,510-732-9475,3950000,Ponderosa Apartments,
254,1725 B Street,Hayward,False,True,buy,3,3,510-538-7360,3550000,Silk Oaks Apartments,
255,23976 2nd Street,Hayward,False,True,buy,3,3,510-733-2631,3550000,Terrace Towers,
256,25200 Carlos Bee Boulevard,,True,True,,3,3,510-822-2617,4350,City View,2019-03-09
257,5317 Creely Avenue,Richmond,True,False,rent,3,3,510-236-4935,3950,Arbors Apartments,
258,298 West Chanslor Avenue,Richmond,True,True,rent,3,3,510-232-8908,4150,Liberty Village Apartments,
259,121 West Macdonald Avenue,Richmond,False,True,rent,3,3,510-237-6426,4150,St. John'S Apartments,
260,888 North San Mateo Drive,San Mateo,True,False,rent,3,3,650-340-0098,4300,888 San Mateo,
261,2901 South El Camino Real,San Mateo,True,True,rent,3,3,650-212-0935,4050,Peninsula Station Apartments,
262,3110 Casa De Campo,San Mateo,False,False,rent,3,3,650-572-7180,3950,Villa Serena,
263,888 North San Mateo Drive,,True,False,,3,3,650-340-0098,4300,888 San Mateo,2019-03-01
264,1227 Hampshire Street,,True,False,,3,4,415-285-5966,4800,Betel Apartments,2019-03-10
265,400 Canal Street # 131,San Rafael,True,False,buy,2,3,415-454-6223,3100000,400 Canal Street Apartments,
