,city,date,event_name,time,venue,venue_address,number_of_tickets,category,event_type
35,Washington D.C.,2019-03-13,Nationals Vs Orioles,19:30,Nationals Park,1500 South Capitol Street Southeast,,,
36,Washington D.C.,2019-03-13,Nationals Vs Orioles,19:30,Nationals Park,1500 South Capitol Street Southeast,3,,
37,Portland,2019-03-01,Damien Jurado,17:00,The Old Church Concert Hall,1422 Southwest 11th Avenue,,,
38,Portland,2019-03-03,Damien Jurado,18:00,The Old Church Concert Hall,1422 Southwest 11th Avenue,,,
39,Portland,2019-03-04,Damien Jurado,18:00,The Old Church Concert Hall,1422 Southwest 11th Avenue,,,
40,Portland,2019-03-10,Damien Jurado,18:30,The Old Church Concert Hall,1422 Southwest 11th Avenue,,,
41,Portland,2019-03-12,Damien Jurado,17:00,The Old Church Concert Hall,1422 Southwest 11th Avenue,,,
42,Portland,2019-03-14,Damien Jurado,17:00,The Old Church Concert Hall,1422 Southwest 11th Avenue,,,
43,Berkeley,2019-03-01,Jonathan Mcreynolds,18:00,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
44,Berkeley,2019-03-04,Jonathan Mcreynolds,18:00,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
45,Berkeley,2019-03-08,Jonathan Mcreynolds,19:30,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
46,Berkeley,2019-03-10,Jonathan Mcreynolds,18:00,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
47,Berkeley,2019-03-11,Jonathan Mcreynolds,19:00,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
48,Berkeley,2019-03-12,Jonathan Mcreynolds,19:30,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
49,Berkeley,2019-03-13,Jonathan Mcreynolds,19:00,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
50,Berkeley,2019-03-14,Jonathan Mcreynolds,17:30,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
51,Berkeley,2019-03-04,Jonathan Mcreynolds,18:00,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,3,,
52,Phoenix,2019-03-01,Diamondbacks Vs Cardinals,17:30,Chase Field,401 East Jefferson Street,,,
53,Phoenix,2019-03-05,Diamondbacks Vs Cardinals,19:00,Chase Field,401 East Jefferson Street,,,
54,Phoenix,2019-03-08,Diamondbacks Vs Cardinals,17:30,Chase Field,401 East Jefferson Street,,,
55,Phoenix,2019-03-10,Diamondbacks Vs Cardinals,18:00,Chase Field,401 East Jefferson Street,,,
56,San Diego,2019-03-03,Aly And Aj,17:00,The Observatory North Park,2891 University Avenue,,,
57,San Diego,2019-03-04,Aly And Aj,19:30,The Observatory North Park,2891 University Avenue,,,
58,San Diego,2019-03-05,Aly And Aj,18:00,The Observatory North Park,2891 University Avenue,,,
59,San Diego,2019-03-08,Aly And Aj,19:30,The Observatory North Park,2891 University Avenue,,,
60,San Diego,2019-03-12,Aly And Aj,18:00,The Observatory North Park,2891 University Avenue,,,
61,San Diego,2019-03-13,Aly And Aj,18:00,The Observatory North Park,2891 University Avenue,,,
62,San Diego,2019-03-03,Aly And Aj,17:00,The Observatory North Park,2891 University Avenue,3,,
63,Toronto,2019-03-02,Blue Jays Vs Yankees,17:00,Rogers Centre,1 Blue Jays Way,,,
64,Toronto,2019-03-03,Blue Jays Vs Yankees,18:00,Rogers Centre,1 Blue Jays Way,,,
65,Toronto,2019-03-06,Blue Jays Vs Yankees,19:30,Rogers Centre,1 Blue Jays Way,,,
66,Toronto,2019-03-07,Blue Jays Vs Yankees,17:30,Rogers Centre,1 Blue Jays Way,,,
67,Toronto,2019-03-09,Blue Jays Vs Yankees,18:00,Rogers Centre,1 Blue Jays Way,,,
68,Toronto,2019-03-10,Blue Jays Vs Yankees,19:30,Rogers Centre,1 Blue Jays Way,,,
69,Toronto,2019-03-11,Blue Jays Vs Yankees,17:30,Rogers Centre,1 Blue Jays Way,,,
70,Stanford,2019-03-02,Cardinal Vs Ducks,18:00,Stanford Stadium,625 Nelson Road,,,
71,Stanford,2019-03-06,Cardinal Vs Ducks,18:00,Stanford Stadium,625 Nelson Road,,,
72,Stanford,2019-03-10,Cardinal Vs Ducks,17:00,Stanford Stadium,625 Nelson Road,,,
73,Stanford,2019-03-06,Cardinal Vs Ducks,18:00,Stanford Stadium,625 Nelson Road,1,,
74,Stanford,2019-03-14,Cardinal Vs Ducks,18:30,Stanford Stadium,625 Nelson Road,,,
75,Portland,2019-03-06,Timbers Vs Earthquakes,17:00,Providence Park,1844 Southwest Morrison Street,,,
76,Portland,2019-03-11,Timbers Vs Earthquakes,17:00,Providence Park,1844 Southwest Morrison Street,,,
77,Portland,2019-03-12,Timbers Vs Earthquakes,17:30,Providence Park,1844 Southwest Morrison Street,,,
78,Portland,2019-03-13,Timbers Vs Earthquakes,19:00,Providence Park,1844 Southwest Morrison Street,,,
79,Portland,2019-03-12,Timbers Vs Earthquakes,17:30,Providence Park,1844 Southwest Morrison Street,1,,
80,New York,2019-03-04,Vivian Green,17:30,Sony Hall,235 West 46th Street,,,
81,New York,2019-03-10,Vivian Green,17:00,Sony Hall,235 West 46th Street,,,
82,New York,2019-03-12,Vivian Green,19:00,Sony Hall,235 West 46th Street,,,
83,New York,2019-03-13,Vivian Green,18:30,Sony Hall,235 West 46th Street,,,
84,New York,2019-03-14,Vivian Green,18:00,Sony Hall,235 West 46th Street,,,
85,New York,2019-03-10,Vivian Green,17:00,Sony Hall,235 West 46th Street,4,,
86,Los Angeles,2019-03-02,Lafc Vs Atlanta United,17:30,Banc of California Stadium,3939 South Figueroa Street,,,
87,Los Angeles,2019-03-03,Lafc Vs Atlanta United,18:00,Banc of California Stadium,3939 South Figueroa Street,,,
88,Los Angeles,2019-03-08,Lafc Vs Atlanta United,18:00,Banc of California Stadium,3939 South Figueroa Street,,,
89,Los Angeles,2019-03-09,Lafc Vs Atlanta United,18:00,Banc of California Stadium,3939 South Figueroa Street,,,
90,Los Angeles,2019-03-12,Lafc Vs Atlanta United,18:00,Banc of California Stadium,3939 South Figueroa Street,,,
91,Los Angeles,2019-03-14,Lafc Vs Atlanta United,17:30,Banc of California Stadium,3939 South Figueroa Street,,,
92,Los Angeles,2019-03-03,Lafc Vs Atlanta United,18:00,Banc of California Stadium,3939 South Figueroa Street,3,,
93,New York,2019-03-02,Mets Vs Rockies,17:30,Citi Field,123-01 Roosevelt Avenue,,,
94,New York,2019-03-03,Mets Vs Rockies,17:00,Citi Field,123-01 Roosevelt Avenue,,,
95,New York,2019-03-04,Mets Vs Rockies,18:30,Citi Field,123-01 Roosevelt Avenue,,,
96,New York,2019-03-05,Mets Vs Rockies,18:00,Citi Field,123-01 Roosevelt Avenue,,,
97,New York,2019-03-08,Mets Vs Rockies,17:00,Citi Field,123-01 Roosevelt Avenue,,,
98,New York,2019-03-10,Mets Vs Rockies,17:30,Citi Field,123-01 Roosevelt Avenue,,,
99,New York,2019-03-11,Mets Vs Rockies,18:30,Citi Field,123-01 Roosevelt Avenue,,,
100,New York,2019-03-13,Mets Vs Rockies,19:30,Citi Field,123-01 Roosevelt Avenue,,,
101,New York,2019-03-02,Mets Vs Rockies,17:30,Citi Field,123-01 Roosevelt Avenue,3,,
102,New York,2019-03-01,The National,19:30,Prospect Park Bandshell,"141 Prospect Park West, Brooklyn",,,
103,New York,2019-03-02,The National,18:00,Prospect Park Bandshell,"141 Prospect Park West, Brooklyn",,,
104,New York,2019-03-03,The National,18:30,Prospect Park Bandshell,"141 Prospect Park West, Brooklyn",,,
105,New York,2019-03-11,The National,19:00,Prospect Park Bandshell,"141 Prospect Park West, Brooklyn",,,
106,New York,2019-03-01,The National,19:30,Prospect Park Bandshell,"141 Prospect Park West, Brooklyn",2,,
107,New York,2019-03-01,Laura Osnes,19:30,Sony Hall,235 West 46th Street,,,
108,New York,2019-03-07,Laura Osnes,19:00,Sony Hall,235 West 46th Street,,,
109,New York,2019-03-08,Laura Osnes,17:30,Sony Hall,235 West 46th Street,,,
110,New York,2019-03-12,Laura Osnes,17:30,Sony Hall,235 West 46th Street,,,
111,New York,2019-03-13,Laura Osnes,17:30,Sony Hall,235 West 46th Street,,,
112,New York,2019-03-14,Laura Osnes,17:00,Sony Hall,235 West 46th Street,,,
113,New York,2019-03-01,Laura Osnes,19:30,Sony Hall,235 West 46th Street,2,,
114,Washington D.C.,2019-03-04,Nationals Vs Indians,19:30,Nationals Park,1500 South Capitol Street Southeast,,,
115,Washington D.C.,2019-03-05,Nationals Vs Indians,19:00,Nationals Park,1500 South Capitol Street Southeast,,,
116,Washington D.C.,2019-03-13,Nationals Vs Indians,19:00,Nationals Park,1500 South Capitol Street Southeast,,,
117,Washington D.C.,2019-03-14,Nationals Vs Indians,19:30,Nationals Park,1500 South Capitol Street Southeast,,,
118,Washington D.C.,2019-03-04,Nationals Vs Indians,19:30,Nationals Park,1500 South Capitol Street Southeast,1,,
119,Los Angeles,2019-03-01,Dodgers Vs Cubs,17:30,Dodger Stadium,1000 Vin Scully Ave,,,
120,Los Angeles,2019-03-09,Dodgers Vs Cubs,19:00,Dodger Stadium,1000 Vin Scully Ave,,,
121,New York,2019-03-02,Amber Run Brooklyn,17:00,Warsaw,"261 Driggs Avenue, Brooklyn",,,
122,New York,2019-03-04,Amber Run Brooklyn,17:00,Warsaw,"261 Driggs Avenue, Brooklyn",,,
123,New York,2019-03-05,Amber Run Brooklyn,19:30,Warsaw,"261 Driggs Avenue, Brooklyn",,,
124,New York,2019-03-08,Amber Run Brooklyn,17:00,Warsaw,"261 Driggs Avenue, Brooklyn",,,
125,New York,2019-03-11,Amber Run Brooklyn,19:30,Warsaw,"261 Driggs Avenue, Brooklyn",,,
126,New York,2019-03-14,Amber Run Brooklyn,19:00,Warsaw,"261 Driggs Avenue, Brooklyn",,,
127,New York,2019-03-04,Amber Run Brooklyn,17:00,Warsaw,"261 Driggs Avenue, Brooklyn",4,,
128,Philadelphia,2019-03-01,Lights,18:00,The Foundry,29 East Allen Street 2nd Floor,,,
129,Philadelphia,2019-03-03,Lights,19:30,The Foundry,29 East Allen Street 2nd Floor,,,
130,Philadelphia,2019-03-05,Lights,18:00,The Foundry,29 East Allen Street 2nd Floor,,,
131,Philadelphia,2019-03-06,Lights,17:30,The Foundry,29 East Allen Street 2nd Floor,,,
132,Philadelphia,2019-03-10,Lights,19:30,The Foundry,29 East Allen Street 2nd Floor,,,
133,Philadelphia,2019-03-14,Lights,18:00,The Foundry,29 East Allen Street 2nd Floor,,,
134,Philadelphia,2019-03-03,Lights,19:30,The Foundry,29 East Allen Street 2nd Floor,3,,
135,Phoenix,2019-03-03,Diamondbacks Vs Nationals,17:00,Chase Field,401 East Jefferson Street,,,
136,Phoenix,2019-03-04,Diamondbacks Vs Nationals,19:30,Chase Field,401 East Jefferson Street,,,
137,Phoenix,2019-03-12,Diamondbacks Vs Nationals,19:00,Chase Field,401 East Jefferson Street,,,
138,Phoenix,2019-03-03,Diamondbacks Vs Nationals,17:00,Chase Field,401 East Jefferson Street,1,,
139,Philadelphia,2019-03-01,Phillies Vs Diamondbacks,17:30,Citizens Bank Park,1 Citizens Bank Way,,,
140,Philadelphia,2019-03-04,Phillies Vs Diamondbacks,19:30,Citizens Bank Park,1 Citizens Bank Way,,,
141,Philadelphia,2019-03-06,Phillies Vs Diamondbacks,17:30,Citizens Bank Park,1 Citizens Bank Way,,,
142,Philadelphia,2019-03-09,Phillies Vs Diamondbacks,19:00,Citizens Bank Park,1 Citizens Bank Way,,,
143,Philadelphia,2019-03-10,Phillies Vs Diamondbacks,19:00,Citizens Bank Park,1 Citizens Bank Way,,,
144,Philadelphia,2019-03-02,Owls Vs Yellow Jackets,19:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
145,Philadelphia,2019-03-03,Owls Vs Yellow Jackets,17:30,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
146,Philadelphia,2019-03-05,Owls Vs Yellow Jackets,18:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
147,Philadelphia,2019-03-07,Owls Vs Yellow Jackets,18:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
148,Philadelphia,2019-03-08,Owls Vs Yellow Jackets,19:30,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
149,Philadelphia,2019-03-09,Owls Vs Yellow Jackets,17:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
150,Philadelphia,2019-03-10,Owls Vs Yellow Jackets,17:30,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
151,Philadelphia,2019-03-11,Owls Vs Yellow Jackets,19:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
152,Philadelphia,2019-03-13,Owls Vs Yellow Jackets,18:30,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
153,Philadelphia,2019-03-02,Owls Vs Yellow Jackets,19:00,Lincoln Financial Field,1 Lincoln Financial Field Way,2,,
154,Phoenix,2019-03-03,Johnnyswim,17:30,The Van Buren,401 West Van Buren Street,,,
155,Phoenix,2019-03-09,Johnnyswim,19:00,The Van Buren,401 West Van Buren Street,,,
156,Phoenix,2019-03-14,Johnnyswim,17:00,The Van Buren,401 West Van Buren Street,,,
157,Chicago,2019-03-03,White Sox Vs Astros,18:30,Guaranteed Rate Field,333 West 35th Street,,,
158,Chicago,2019-03-07,White Sox Vs Astros,19:00,Guaranteed Rate Field,333 West 35th Street,,,
159,Chicago,2019-03-09,White Sox Vs Astros,18:00,Guaranteed Rate Field,333 West 35th Street,,,
160,Chicago,2019-03-12,White Sox Vs Astros,18:30,Guaranteed Rate Field,333 West 35th Street,,,
161,Chicago,2019-03-13,White Sox Vs Astros,19:00,Guaranteed Rate Field,333 West 35th Street,,,
162,Chicago,2019-03-07,White Sox Vs Astros,19:00,Guaranteed Rate Field,333 West 35th Street,1,,
163,Atlanta,2019-03-04,Falcons Vs Jaguars,19:30,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
164,Atlanta,2019-03-10,Falcons Vs Jaguars,18:00,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
165,Atlanta,2019-03-12,Falcons Vs Jaguars,19:30,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
166,Atlanta,2019-03-14,Falcons Vs Jaguars,17:30,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
167,Atlanta,2019-03-04,Falcons Vs Jaguars,19:30,Mercedes-Benz Stadium,1 AMB Drive Northwest,1,,
168,New York,2019-03-01,Nycfc Vs Sporting Kc,17:30,Yankee Stadium,1 East 161 Street,,,
169,New York,2019-03-02,Nycfc Vs Sporting Kc,19:30,Yankee Stadium,1 East 161 Street,,,
170,New York,2019-03-06,Nycfc Vs Sporting Kc,17:30,Yankee Stadium,1 East 161 Street,,,
171,New York,2019-03-13,Nycfc Vs Sporting Kc,19:00,Yankee Stadium,1 East 161 Street,,,
172,Los Angeles,2019-03-01,Sparks Vs Wings,19:30,STAPLES Center,1111 South Figueroa Street,,,
173,Los Angeles,2019-03-04,Sparks Vs Wings,19:30,STAPLES Center,1111 South Figueroa Street,3,,
174,Atlanta,2019-03-03,Yellow Jackets Vs Bulls,17:30,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,,,
175,Atlanta,2019-03-07,Yellow Jackets Vs Bulls,18:00,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,,,
176,Atlanta,2019-03-09,Yellow Jackets Vs Bulls,19:00,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,,,
177,Atlanta,2019-03-10,Yellow Jackets Vs Bulls,17:30,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,,,
178,Atlanta,2019-03-12,Yellow Jackets Vs Bulls,19:30,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,,,
179,Atlanta,2019-03-13,Yellow Jackets Vs Bulls,17:00,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,,,
180,Atlanta,2019-03-14,Yellow Jackets Vs Bulls,19:30,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,,,
181,Atlanta,2019-03-09,Yellow Jackets Vs Bulls,19:00,Bobby Dodd Stadium at Historic Grant Field,177 North Avenue Northwest,2,,
182,New York,2019-03-01,Nycfc Vs Union,17:30,Yankee Stadium,1 East 161 Street,,,
183,New York,2019-03-05,Nycfc Vs Union,18:30,Yankee Stadium,1 East 161 Street,,,
184,New York,2019-03-06,Nycfc Vs Union,18:30,Yankee Stadium,1 East 161 Street,,,
185,New York,2019-03-07,Nycfc Vs Union,17:00,Yankee Stadium,1 East 161 Street,,,
186,New York,2019-03-10,Nycfc Vs Union,18:30,Yankee Stadium,1 East 161 Street,,,
187,New York,2019-03-12,Nycfc Vs Union,17:30,Yankee Stadium,1 East 161 Street,,,
188,New York,2019-03-13,Nycfc Vs Union,17:00,Yankee Stadium,1 East 161 Street,,,
189,Los Angeles,2019-03-02,Lights,19:30,The Teragram Ballroom,1234 West 7th Street,,,
190,Los Angeles,2019-03-06,Lights,19:00,The Teragram Ballroom,1234 West 7th Street,,,
191,Los Angeles,2019-03-12,Lights,17:30,The Teragram Ballroom,1234 West 7th Street,,,
192,Los Angeles,2019-03-13,Lights,18:30,The Teragram Ballroom,1234 West 7th Street,,,
193,Los Angeles,2019-03-06,Lights,19:00,The Teragram Ballroom,1234 West 7th Street,3,,
194,New York,2019-03-01,Laura Osnes,19:30,Sony Hall,235 West 46th Street,3,,
195,Philadelphia,2019-03-09,Phillies Vs Padres,17:30,Citizens Bank Park,1 Citizens Bank Way,,,
196,Philadelphia,2019-03-10,Phillies Vs Padres,18:00,Citizens Bank Park,1 Citizens Bank Way,,,
197,Philadelphia,2019-03-12,Phillies Vs Padres,18:00,Citizens Bank Park,1 Citizens Bank Way,,,
198,Philadelphia,2019-03-13,Phillies Vs Padres,18:30,Citizens Bank Park,1 Citizens Bank Way,,,
199,Philadelphia,2019-03-09,Phillies Vs Padres,17:30,Citizens Bank Park,1 Citizens Bank Way,1,,
200,Atlanta,2019-03-10,Falcons Vs Jaguars,18:00,Mercedes-Benz Stadium,1 AMB Drive Northwest,2,,
201,San Diego,2019-03-04,Hozier,17:00,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
202,San Diego,2019-03-05,Hozier,17:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
203,San Diego,2019-03-12,Hozier,18:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
204,San Diego,2019-03-05,Hozier,17:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,2,,
205,New York,2019-03-02,France Rocks Festival,18:30,David Rubenstein Atrium at Lincoln Center,61 West 62nd Street,,,
206,New York,2019-03-04,France Rocks Festival,17:00,David Rubenstein Atrium at Lincoln Center,61 West 62nd Street,,,
207,New York,2019-03-08,France Rocks Festival,19:30,David Rubenstein Atrium at Lincoln Center,61 West 62nd Street,,,
208,New York,2019-03-09,France Rocks Festival,17:00,David Rubenstein Atrium at Lincoln Center,61 West 62nd Street,,,
209,New York,2019-03-11,France Rocks Festival,18:30,David Rubenstein Atrium at Lincoln Center,61 West 62nd Street,,,
210,New York,2019-03-02,France Rocks Festival,18:30,David Rubenstein Atrium at Lincoln Center,61 West 62nd Street,1,,
211,Oakland,2019-03-02,Raiders Vs Lions,18:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
212,Oakland,2019-03-04,Raiders Vs Lions,17:00,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
213,Oakland,2019-03-06,Raiders Vs Lions,19:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
214,Oakland,2019-03-07,Raiders Vs Lions,19:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
215,Oakland,2019-03-14,Raiders Vs Lions,17:00,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
216,Oakland,2019-03-02,Raiders Vs Lions,18:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,4,,
217,Philadelphia,2019-03-01,Northlane,17:30,The Foundry,29 East Allen Street 2nd Floor,,,
218,Philadelphia,2019-03-03,Northlane,17:00,The Foundry,29 East Allen Street 2nd Floor,,,
219,Philadelphia,2019-03-04,Northlane,19:30,The Foundry,29 East Allen Street 2nd Floor,,,
220,Philadelphia,2019-03-08,Northlane,18:30,The Foundry,29 East Allen Street 2nd Floor,,,
221,Philadelphia,2019-03-04,Northlane,19:30,The Foundry,29 East Allen Street 2nd Floor,2,,
222,Atlanta,2019-03-04,Panthers Vs Mountaineers,18:00,Georgia State Stadium,755 Hank Aaron Drive Southeast,,,
223,Atlanta,2019-03-10,Panthers Vs Mountaineers,17:30,Georgia State Stadium,755 Hank Aaron Drive Southeast,,,
224,Atlanta,2019-03-12,Panthers Vs Mountaineers,18:30,Georgia State Stadium,755 Hank Aaron Drive Southeast,,,
225,Atlanta,2019-03-04,Panthers Vs Mountaineers,18:00,Georgia State Stadium,755 Hank Aaron Drive Southeast,4,,
226,Philadelphia,2019-03-05,Phillies Vs Mets,18:00,Citizens Bank Park,1 Citizens Bank Way,,,
227,Philadelphia,2019-03-10,Phillies Vs Mets,18:00,Citizens Bank Park,1 Citizens Bank Way,,,
228,Philadelphia,2019-03-11,Phillies Vs Mets,17:00,Citizens Bank Park,1 Citizens Bank Way,,,
229,Philadelphia,2019-03-05,Phillies Vs Mets,18:00,Citizens Bank Park,1 Citizens Bank Way,1,,
230,Oakland,2019-03-02,Raiders Vs Chiefs,19:00,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
231,Oakland,2019-03-08,Raiders Vs Chiefs,18:00,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
232,Oakland,2019-03-11,Raiders Vs Chiefs,18:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
233,Toronto,2019-03-03,Blue Jays Vs Mariners,17:00,Rogers Centre,1 Blue Jays Way,,,
234,Toronto,2019-03-07,Blue Jays Vs Mariners,18:30,Rogers Centre,1 Blue Jays Way,,,
235,Toronto,2019-03-08,Blue Jays Vs Mariners,19:00,Rogers Centre,1 Blue Jays Way,,,
236,Toronto,2019-03-03,Blue Jays Vs Mariners,17:00,Rogers Centre,1 Blue Jays Way,2,,
237,Washington D.C.,2019-03-02,Dc United Vs Revolution,17:30,Audi Field,100 Potomac Avenue Southwest,,,
238,Washington D.C.,2019-03-03,Dc United Vs Revolution,19:00,Audi Field,100 Potomac Avenue Southwest,,,
239,Washington D.C.,2019-03-05,Dc United Vs Revolution,19:30,Audi Field,100 Potomac Avenue Southwest,,,
240,Washington D.C.,2019-03-07,Dc United Vs Revolution,17:30,Audi Field,100 Potomac Avenue Southwest,,,
241,Washington D.C.,2019-03-08,Dc United Vs Revolution,19:30,Audi Field,100 Potomac Avenue Southwest,,,
242,Washington D.C.,2019-03-09,Dc United Vs Revolution,18:30,Audi Field,100 Potomac Avenue Southwest,,,
243,Washington D.C.,2019-03-12,Dc United Vs Revolution,19:00,Audi Field,100 Potomac Avenue Southwest,,,
244,Washington D.C.,2019-03-14,Dc United Vs Revolution,17:30,Audi Field,100 Potomac Avenue Southwest,,,
245,Washington D.C.,2019-03-05,Dc United Vs Revolution,19:30,Audi Field,100 Potomac Avenue Southwest,2,,
246,Seattle,2019-03-03,Huskies Vs Warriors,19:00,Husky Stadium,3800 Montlake Boulevard Northeast,,,
247,Seattle,2019-03-04,Huskies Vs Warriors,17:30,Husky Stadium,3800 Montlake Boulevard Northeast,,,
248,Seattle,2019-03-06,Huskies Vs Warriors,19:30,Husky Stadium,3800 Montlake Boulevard Northeast,,,
249,Seattle,2019-03-08,Huskies Vs Warriors,17:00,Husky Stadium,3800 Montlake Boulevard Northeast,,,
250,Phoenix,2019-03-01,Tash Sultana,17:00,The Van Buren,401 West Van Buren Street,,,
251,Phoenix,2019-03-02,Tash Sultana,18:00,The Van Buren,401 West Van Buren Street,,,
252,Phoenix,2019-03-03,Tash Sultana,17:00,The Van Buren,401 West Van Buren Street,,,
253,Phoenix,2019-03-04,Tash Sultana,19:30,The Van Buren,401 West Van Buren Street,,,
254,Phoenix,2019-03-01,Tash Sultana,17:00,The Van Buren,401 West Van Buren Street,4,,
