,album,artist,genre,song_name,playback_device
39,The Seven Deadly Sins Original Soundtrack,Hiroyuki Sawano,Soundtracks,Perfect Time,bedroom speaker
40,Golden Hour,Kacey Musgraves,Country,High Horse,
41,Transmissions,Starset,Rock,Carnivore,
42,Honky Tonk Time Machine,George Strait,Country,Every Little Honky Tonk Bar,
43,A True Master,Yi Nantiro,Soundtracks,A True Master,
44,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Always Remember Us This Way,
45,Joytime,Marshmello,House,Summer,
46,Loser,Sasha Sloan,Pop,Older,
47,Dzieciom,Lao Che,Rock,Wojenka,
48,V,Adam Levine,Pop,Lost Stars,
49,Golden Hour,Kacey Musgraves,Country,Space Cowboy,
50,Transmissions,Starset,Rock,Carnivore,kitchen speaker
51,The Martin Garrix Experience,Martin Garrix,House,Yottabyte,
52,Different World,Alan Walker,Pop,Alone,
53,Different World,Alan Walker,Pop,Darkside,
54,Different World,Alan Walker,Pop,Alone,bedroom speaker
55,Red,Dia Frampton,Pop,Walk Away,
56,Red,Dia Frampton,Pop,Walk Away,TV
57,Loud,Rihanna,Pop,California King Bed,
58,Unapologetic,Rihanna,Pop,Pour It Up,
59,Unapologetic,Rihanna,Pop,Stay,
60,Talk That Talk,Rihanna,Pop,Talk That Talk,
61,Unapologetic,Rihanna,Pop,What Now,
62,Talk That Talk,Rihanna,Pop,Where Have You Been,
63,Unapologetic,Rihanna,Pop,Pour It Up,TV
64,Stronger,Sara Evans,Country,A Little Bit Stronger,
65,Where We Come From,Popcaan,Reggae,Addicted,
66,Blood,In This Moment,Metalcore,Adrenalize,
67,A Star Is Born Soundtrack,Bradley Cooper,Soundtracks,Alibi,
68,Kaleidoscope Dream,Miguel,Pop,Adorn,bedroom speaker
69,World Cry,Jah Cure,Reggae,Before I Leave,
70,It Feel Good,Konshens,Reggae,Bruk Off Yuh Back,
71,King Of The Dancehall,Vybz Kartel,Reggae,Colouring This Life,
72,Dolla Van Riddim,Busy Signal,Reggae,Dolla Van,
73,Finest Dubs Outta Jamaica,Augustus Pablo,Reggae,Dub Scene,
74,Where We Come From,Popcaan,Reggae,Everything Nice,
75,Love Town,Kolohe Kai,Reggae,First True Love,
76,Hold You,Gyptian,Reggae,Hold You,
77,Tomahawk Technique,Sean Paul,Reggae,How Deep Is Your Love,
78,Where We Come From,Popcaan,Reggae,Addicted,kitchen speaker
79,Happiness Begins,Jonas Brothers,Pop,Sucker,
80,Dangerous Woman,Ariana Grande,Pop,Be Alright,
81,Dangerous Woman,Ariana Grande,Pop,Dangerous Woman,
82,Dangerous Woman,Ariana Grande,Pop,Focus,
83,Dangerous Woman,Ariana Grande,Pop,Into You,
84,Dangerous Woman,Ariana Grande,Pop,Let Me Love You,
85,Dangerous Woman,Ariana Grande,Pop,Touch It,
86,Dangerous Woman,Ariana Grande,Pop,Be Alright,kitchen speaker
87,Evolution,Disturbed,Rock,Are You Ready,
88,The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,
89,Born Free,Kid Rock,Rock,Born Free,
90,The End Is Where We Begin,Thousand Foot Krutch,Rock,Courtesy Call,
91,Your Name,Radwimps,Rock,Dream Lantern,
92,Sex Rock,Alex Angel,Rock,Easy World,
93,Erase The Pain,Palisades,Rock,Erase The Pain,
94,After Laughter,Paramore,Rock,Hard Times,
95,Meliora,Ghost,Rock,He Is,
96,Evolution,Disturbed,Rock,Are You Ready,bedroom speaker
97,Expectations,Hayley Kiyoko,Pop,Let It Be,bedroom speaker
98,Kaleidoscope Dream,Miguel,Pop,Adorn,kitchen speaker
99,Camila,Camila Cabello,Pop,Consequences,
100,Camila,Camila Cabello,Pop,Real Friends,
101,Camila,Camila Cabello,Pop,She Loves Control,
102,Camila,Camila Cabello,Pop,Real Friends,kitchen speaker
103,Heroes,Sabaton,Metal,No Bullets Fly,
104,Heroes,Sabaton,Metal,Night Witches,kitchen speaker
105,California Sunrise,Jon Pardi,Country,Head Over Boots,
106,California Sunrise,Jon Pardi,Country,Night Shift,
107,Oak Island,Our Last Night,Metalcore,Same Old War,
108,Oak Island,Our Last Night,Metalcore,Same Old War,TV
109,A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,bedroom speaker
110,All The Little Lights,Passenger,Pop,Let Her Go,
111,All The Little Lights,Passenger,Pop,Let Her Go,kitchen speaker
112,It Feel Good,Konshens,Reggae,Turn Me On,
113,It Feel Good,Konshens,Reggae,Turn Me On,kitchen speaker
114,Torches,Foster The People,Indie,Houdini,
115,Pumped Up Kicks,Foster The People,Indie,Pumped Up Kicks,
116,Camila,Camila Cabello,Pop,Real Friends,bedroom speaker
117,Dark Horse,Devin Dawson,Country,All On Me,
118,Kuntry,Jawga Boyz,Country,All The Girls Wanna Ride,
119,Barefoot Blue Jean Night,Jake Owen,Country,Alone With You,
120,Bigger,Sugarland,Country,Babe,
121,Mercury Lane,Jimmie Allen,Country,Best Shot,
122,Blown Away,Carrie Underwood,Country,Blown Away,
123,Yours,Russell Dickerson,Country,Blue Tacoma,
124,Halfway To Heaven,Brantley Gilbert,Country,Bottoms Up,
125,Untamed,Cam,Country,Burning House,
126,Telling All My Secrets,Mitchell Tenpenny,Country,Drunk Me,
127,Telling All My Secrets,Mitchell Tenpenny,Country,Drunk Me,bedroom speaker
128,Pain Killer,Little Big Town,Country,Girl Crush,
129,Blonde,Frank Ocean,Pop,Nights,
130,Badlands,Halsey,Electropop,Hurricane,
131,Do It Again,Pia Mia,Pop,Do It Again,
132,Witness,Katy Perry,Electropop,Swish Swish,
133,Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,
134,Black Widow,In This Moment,Metalcore,Sex Metal Barbie,
135,The Present Tense,Courier,Pop,San Francisco,
136,The Present Tense,Courier,Pop,San Francisco,bedroom speaker
137,Pure Heroine,Lorde,Electropop,Buzzcut Season,
138,Pure Heroine,Lorde,Electropop,Team,
139,Pure Heroine,Lorde,Electropop,Tennis Court,
140,Pure Heroine,Lorde,Electropop,Team,kitchen speaker
141,Blonde,Frank Ocean,Pop,Ivy,
142,Blonde,Frank Ocean,Pop,Nikes,
143,Blonde,Frank Ocean,Pop,Self Control,
144,Blonde,Frank Ocean,Pop,Ivy,kitchen speaker
145,The Mountain,Dierks Bentley,Country,Burning Man,
146,Dark Horse,Devin Dawson,Country,All On Me,TV
147,Dark Horse,Devin Dawson,Country,All On Me,kitchen speaker
148,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Before I Cry,
149,A Star Is Born Soundtrack,Bradley Cooper,Soundtracks,Black Eyes,
150,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Heal Me,
151,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Look What I Found,
152,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Before I Cry,TV
153,We Need To Talk,Taylor Parks,Pop,I Want You,
154,Mahandini,Dewa Budjana,Pop,Hyang Giri,
155,Icarus Falls,Zayn Malik,Pop,Dusk Till Dawn,
156,Sing To Me Instead,Ben Platt,Pop,Grow As We Go,
157,Sing To Me Instead,Ben Platt,Pop,Temporary Love,
158,Brave Enough,Lindsey Stirling,Pop,The Arena,
159,King Of Everything,Jinjer,Metal,Pisces,
160,King Of Everything,Jinjer,Metal,Pisces,TV
161,Stronger,Sara Evans,Country,A Little Bit Stronger,TV
162,Dark Horse,Devin Dawson,Country,All On Me,bedroom speaker
163,Pop Evil,Pop Evil,Metalcore,Be Legendary,
164,Black Widow,In This Moment,Metalcore,Big Bad Wolf,
165,Blood,In This Moment,Metalcore,Blood,
166,Black Widow,In This Moment,Metalcore,Sick Like Me,
167,The Black,Asking Alexandria,Metalcore,The Black,
168,A War You Cannot Win,All That Remains,Metalcore,What If I Was Nothing,
169,Blood,In This Moment,Metalcore,Whore,
170,Black Widow,In This Moment,Metalcore,Big Bad Wolf,kitchen speaker
171,Vessel,Twenty One Pilots,Pop,Fake You Out,
172,Vessel,Twenty One Pilots,Pop,Truce,
173,Vessel,Twenty One Pilots,Pop,Truce,bedroom speaker
174,Alkaline Masterpiece,Alkaline,Reggae,Pretty Girl Team,
175,The Beginning,Sammielz,Reggae,Let Us Be,
176,Vandenynai,Linas Adomaitis,Pop,Vandenynai,
177,Bollywood Monsoon Special,Meet Bros,South Asia,Cham Cham,
178,Happy Endings,Old Dominion,Country,Hotel Key,
179,Cloud Nine,Kygo,Downtempo,Raging,
180,Who You Are,Jessie J,Pop,Mamma Knows Best,
181,Built On Glass,Nick Murphy,Electronica,Gold,
182,Got Your Six,Five Finger Death Punch,Metal,Wash It All Away,
183,Covers,Alec Chambers,Pop,Without Me,
184,Covers,Alec Chambers,Pop,Without Me,kitchen speaker
185,Raise Vibration,Lenny Kravitz,Rock,Low,
186,Raise Vibration,Lenny Kravitz,Rock,Low,kitchen speaker
187,Outsider,Three Days Grace,Rock,Right Left Wrong,
188,Outsider,Three Days Grace,Rock,The Mountain,
189,Outsider,Three Days Grace,Rock,Right Left Wrong,bedroom speaker
190,My Dream,Karolina Protsenko,Pop,Despacito,
191,Fly,Karolina Protsenko,Pop,Girls Like You,
192,Fly,Karolina Protsenko,Pop,Let Me Love You,
193,Ruin Your Party,Scotty Sire,Pop,Take Me Away,
194,Blues Of Desperation,Joe Bonamassa,Blues,Drive,
195,Welcome Reality,Nero,Dubstep,Promises,
196,Double Vision,Prince Royce,Pop,Back It Up,
197,Stony Hill,Damian Marley,Reggae,Speak Life,
198,Piano Songs,Froggy Fresh,Pop,Boyfriend,
199,Ruin Your Party,Scotty Sire,Pop,Take Me Away,kitchen speaker
200,The Bright Side,Lenka,Pop,Blue Skies,
201,The Bright Side,Lenka,Pop,Blue Skies,kitchen speaker
202,Sucker Punch,Sigrid,Pop,Strangers,
203,Awake,Illenium,Dubstep,Free Fall,
204,Icarus Falls,Zayn Malik,Pop,There You Are,
205,Bloom,Troye Sivan,Pop,Bloom,
206,Vale,Black Veil Brides,Rock,Wake Up,
207,Vale,Black Veil Brides,Rock,Wake Up,TV
208,Crooked Teeth,Papa Roach,Metal,Born For Greatness,TV
209,Dolla Van Riddim,Busy Signal,Reggae,Dolla Van,bedroom speaker
210,Pop Food,Jack Stauber,Pop,Buttercup,
211,Pop Food,Jack Stauber,Pop,Oh Klahoma,
212,Pop Food,Jack Stauber,Pop,Buttercup,bedroom speaker
213,Home State,Jordan Davis,Country,Singles You Up,
214,A Soe Htae Ka A Kaung,Kaung Kaung,Pop,Pyaw Nay Par,
215,Ready,Ruel,Pop,Younger,
216,Confident,Demi Lovato,Pop,Stone Cold,
217,The New Classic,Iggy Azalea,Pop,Work,
218,Reminiscence,Mattia Cupelli,Soundtracks,Love Lost,
219,Superman,Arash,Pop,One Day,
220,Elements,Ludovico Einaudi,Classical,Night,
221,Halcyon Days,Ellie Goulding,Pop,How Long Will I Love You,
222,Home State,Jordan Davis,Country,Singles You Up,kitchen speaker
223,Born This Way,Lady Gaga,Pop,Bloody Mary,
224,Born This Way,Lady Gaga,Pop,Born This Way,
225,Joanne,Lady Gaga,Pop,Joanne,
226,Joanne,Lady Gaga,Pop,John Wayne,
227,Golden Hour,Kacey Musgraves,Country,Butterflies,
228,Golden Hour,Kacey Musgraves,Country,Slow Burn,
229,Thank You Happy Birthday,Cage The Elephant,Rock,Shake Me Down,
230,Kamayanbaghi,Hoba Hoba Spirit,Rock,Mchat,
231,Sucker Punch,Sigrid,Pop,Sucker Punch,
232,Shoft El Ayam,Amr Diab,Middle Eastern,Ana Mosh Anani,
233,Icarus Falls,Zayn Malik,Pop,Good Years,
234,Flicker,Niall Horan,Folk,Slow Hands,
235,Raabta,Arijit Singh,South Asia,Ik Vaari Aa,
236,How Long,Charlie Puth,Pop,How Long,
237,Thank You Happy Birthday,Cage The Elephant,Rock,Shake Me Down,TV
238,Beauty Marks,Ciara,Pop,Thinkin Bout You,
239,Beauty Marks,Ciara,Pop,Thinkin Bout You,bedroom speaker
240,Kontraband,Kabaka Pyramid,Reggae,Reggae Music,
241,Badlands,Halsey,Electropop,Control,
242,Experiment,Kane Brown,Country,Homesick,
243,Yours,Russell Dickerson,Country,Yours,
244,This Is Acting,Sia,Pop,Unstoppable,
245,Sen Menga Kerak,Shahzoda,Pop,Qaynona,
246,Elevate,Big Time Rush,Pop,Windows Down,
247,Kontraband,Kabaka Pyramid,Reggae,Reggae Music,TV
248,Experiment,Kane Brown,Country,Lose It,
249,Experiment,Kane Brown,Country,Weekend,
250,Joytime,Marshmello,House,Blocks,
251,Joytime,Marshmello,House,Find Me,
252,Joytime,Marshmello,House,Keep It Mello,
253,Joytime,Marshmello,House,Take It Back,
254,Joytime,Marshmello,House,Blocks,bedroom speaker
255,Loud,Rihanna,Reggae,Man Down,
256,Frozen,Josh Gad,Soundtracks,In Summer,
257,You Know I Know,Olly Murs,Pop,Moves,
258,You Know I Know,Olly Murs,Pop,Moves,bedroom speaker
259,Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,kitchen speaker
260,Purgatory,Tyler Childers,Country,White House Road,
261,Purgatory,Tyler Childers,Country,White House Road,TV
262,A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,kitchen speaker
263,Purgatory,Tyler Childers,Country,White House Road,bedroom speaker
264,The Beginning,Sammielz,Reggae,Let Us Be,kitchen speaker
265,Forever,Popcaan,Reggae,Silence,
266,Forever,Popcaan,Reggae,Wine For Me,
267,Forever,Popcaan,Reggae,Silence,kitchen speaker
268,One More Light,Linkin Park,Electropop,Battle Symphony,
269,One More Light,Linkin Park,Electropop,Good Goodbye,
270,One More Light,Linkin Park,Electropop,Nobody Can Save Me,
271,One More Light,Linkin Park,Electropop,One More Light,
272,One More Light,Linkin Park,Electropop,Good Goodbye,kitchen speaker
273,Blonde,Frank Ocean,Pop,Ivy,bedroom speaker
274,Late Nights And Longnecks,Justin Moore,Country,Jesus And Jack Daniels,
275,Genesis,Mark Petrie,Classical,Kara Kul,
276,Foundation,Shatta Wale,Reggae,Shatta Movement,
277,Night Visions,Imagine Dragons,Rock,Radioactive,
278,Muse Box,Madilyn Bailey,Pop,Titanium,
279,Khayali,Tamer Ashor,Pop,Mahzouz,
280,Late Nights And Longnecks,Justin Moore,Country,Jesus And Jack Daniels,bedroom speaker
281,Enredados,Alan Menken,Soundtracks,Kingdom Dance,
282,Enredados,Alan Menken,Soundtracks,Kingdom Dance,kitchen speaker
283,K,Kozoria,Rock,Worst Ends,
284,Expectations,Hayley Kiyoko,Pop,Curious,bedroom speaker
285,Mirrorwriting,Jamie Woon,Electronica,Lady Luck,
286,The King Of Limbs,Radiohead,Electronica,Lotus Flower,
287,Thinking In Textures,Nick Murphy,Electronica,No Diggity,
288,Presence,Petit Biscuit,Electronica,Sunset Lover,
289,Singular Act I,Sabrina Carpenter,Pop,Paris,
290,Singular Act I,Sabrina Carpenter,Pop,Sue Me,
291,Singular Act I,Sabrina Carpenter,Pop,Paris,bedroom speaker
292,Sick Boy,The Chainsmokers,Pop,Everybody Hates Me,
293,Sick Boy,The Chainsmokers,Pop,Hope,
294,Sick Boy,The Chainsmokers,Pop,Sick Boy,
295,Sick Boy,The Chainsmokers,Pop,Side Effects,
296,Sick Boy,The Chainsmokers,Pop,Somebody,
297,Sick Boy,The Chainsmokers,Pop,Everybody Hates Me,kitchen speaker
298,Home State,Jordan Davis,Country,Take It From Me,
299,Home State,Jordan Davis,Country,Take It From Me,kitchen speaker
300,No Line Signal Likhat Ba,Shashi Lal Yadav,Country,Naya Naya Penhi Salwarba,
301,No Line Signal Likhat Ba,Shashi Lal Yadav,Country,Naya Naya Penhi Salwarba,TV
302,The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,bedroom speaker
303,Evolution,Disturbed,Rock,No More,
304,Narrated For You,Alec Benjamin,Pop,Boy In The Bubble,
305,Narrated For You,Alec Benjamin,Pop,Gotta Be A Reason,
306,Narrated For You,Alec Benjamin,Pop,If I Killed Someone For You,
307,Narrated For You,Alec Benjamin,Pop,If We Have Each Other,
308,Narrated For You,Alec Benjamin,Pop,Let Me Down Slowly,
309,Narrated For You,Alec Benjamin,Pop,Outrunning Karma,
310,Narrated For You,Alec Benjamin,Pop,The Water Fountain,
311,Narrated For You,Alec Benjamin,Pop,Gotta Be A Reason,bedroom speaker
312,Stars Dance,Selena Gomez,Pop,Love Will Remember,
313,Stars Dance,Selena Gomez,Pop,Love Will Remember,kitchen speaker
314,Speak Now,Taylor Swift,Pop,The Story Of Us,
315,Loud,Rihanna,Pop,California King Bed,kitchen speaker
316,Free Spirit,Khalid,Pop,Better,
317,Free Spirit,Khalid,Pop,Better,kitchen speaker
318,California Sunrise,Jon Pardi,Country,Head Over Boots,TV
319,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Always Remember Us This Way,TV
320,Shatter Me,Lindsey Stirling,Pop,Roundtable Rival,
321,Shatter Me,Lindsey Stirling,Pop,Shatter Me,
322,Shatter Me,Lindsey Stirling,Pop,Roundtable Rival,kitchen speaker
323,Assume Form,James Blake,Pop,Barefoot In The Park,
324,Assume Form,James Blake,Pop,Mile High,
325,Amos,Michael Ray,Country,One That Got Away,
326,Overthinking,Shy Martin,Pop,Lose You Too,
327,The Descent,Kevin Macleod,Soundtracks,Nerves,
328,The Devil You Know,Blues Saraceno,Rock,The Devil You Know,
329,The New Classic,Iggy Azalea,Pop,Change Your Life,
330,The Getaway,Red Hot Chili Peppers,Pop,Go Robot,
331,Wonders,The Piano Guys,Classical,Let It Go,
332,Icarus Falls,Zayn Malik,Pop,Still Got Time,
333,Amos,Michael Ray,Country,One That Got Away,kitchen speaker
334,Forbidden,Todrick Hall,Pop,Dem Beats,
335,Speak Now,Taylor Swift,Pop,The Story Of Us,kitchen speaker
336,Purple Reign,Future,Soundtracks,Wicked,
337,Purple Reign,Future,Soundtracks,Wicked,kitchen speaker
338,Center Point Road,Thomas Rhett,Country,Look What God Gave Her,
339,Center Point Road,Thomas Rhett,Country,Look What God Gave Her,kitchen speaker
340,Handwritten,Shawn Mendes,Pop,Never Be Alone,bedroom speaker
341,Pitch Perfect,Anna Kendrick,Soundtracks,Cups,
342,Sunset Season,Conan Gray,Pop,Generation Why,
343,My Everything,Ariana Grande,Pop,Break Free,
344,Avril Lavigne,Avril Lavigne,Pop,Rock N Roll,
345,Infestissumam,Ghost,Metal,Year Zero,
346,Sunset Season,Conan Gray,Pop,Generation Why,kitchen speaker
347,Halcyon,Ellie Goulding,Pop,Burn,
348,Halcyon,Ellie Goulding,Pop,Burn,bedroom speaker
349,Halcyon Days,Ellie Goulding,Pop,Beating Heart,
350,Halcyon Days,Ellie Goulding,Pop,Beating Heart,kitchen speaker
351,Battleground,The Wanted,Pop,Glad You Came,
352,Battleground,The Wanted,Pop,Glad You Came,kitchen speaker
353,Fly,Karolina Protsenko,Pop,Let Me Love You,kitchen speaker
354,The Getaway,Red Hot Chili Peppers,Pop,Sick Love,
355,Cry Pretty,Carrie Underwood,Pop,The Champion,
356,Inna,Inna,Pop,Bad Boys,
357,Cheap Smell,Sharon Kovacs,Pop,Cheap Smell,
358,Good Company,The Dead South,Folk,Banjo Odyssey,
359,The First Time,Kelsea Ballerini,Country,Peter Pan,
360,Crooked Teeth,Papa Roach,Rock,Help,
361,El Hombre,El Alfa,Latin,Suave,
362,El Hombre,El Alfa,Latin,Suave,TV
363,Blonde,Frank Ocean,Pop,Ivy,TV
364,World Cry,Jah Cure,Reggae,Before I Leave,bedroom speaker
365,The Last Stand,Sabaton,Metal,The Lost Battalion,
366,The Getaway,Red Hot Chili Peppers,Pop,Dark Necessities,
367,Visions,Grimes,Electropop,Oblivion,
368,Maren Morris,Maren Morris,Country,My Church,
369,The Last Stand,Sabaton,Metal,Shiroyama,
370,Salam,Harris J,Pop,Salam Alaikum,
371,The Getaway,Red Hot Chili Peppers,Pop,Dark Necessities,TV
372,Handwritten,Shawn Mendes,Pop,Aftertaste,bedroom speaker
373,Pop Food,Jack Stauber,Pop,Oh Klahoma,bedroom speaker
374,Creeker,Upchurch,Rock,Pond Creek Road,
375,The Gaza Don,Vybz Kartel,Dancehall,Summer Time,
376,Expectations,Hayley Kiyoko,Pop,Let It Be,kitchen speaker
377,Texoma Shore,Blake Shelton,Country,I Lived It,
378,Bringing Back The Sunshine,Blake Shelton,Country,Sangria,
379,Texoma Shore,Blake Shelton,Country,I Lived It,TV
380,El Hombre,El Alfa,Latin,Suave,kitchen speaker
381,Oak Island,Our Last Night,Metalcore,Same Old War,bedroom speaker
382,Harry Styles,Harry Styles,Rock,Kiwi,
383,Yours,Isak Danielson,Pop,Broken,
384,Your Name,Radwimps,Soundtracks,Nandemonaiya,
385,Glory Sound Prep,Jon Bellion,Pop,Stupid Deep,
386,Waves,Iakopo,Reggae,Never Letting Go,
387,Waves,Iakopo,Reggae,Never Letting Go,TV
388,Spectrum,Westlife,Pop,Better Man,
389,Spectrum,Westlife,Pop,Hello My Love,
390,Spectrum,Westlife,Pop,Better Man,bedroom speaker
391,Kuntry,Jawga Boyz,Country,All The Girls Wanna Ride,bedroom speaker
392,Purpose,Justin Bieber,Pop,Sorry,
393,Purpose,Justin Bieber,Pop,Sorry,kitchen speaker
394,Illuminate,Shawn Mendes,Pop,Bad Reputation,kitchen speaker
395,Happy Endings,Old Dominion,Country,Written In Sand,
396,The Martin Garrix Experience,Martin Garrix,House,No Sleep,
397,Icona Pop,Icona Pop,Electropop,I Love It,
398,Pass The Jar,Zac Brown Band,Country,Colder Weather,
399,Dangerous Woman,Ariana Grande,Pop,Let Me Love You,kitchen speaker
400,Who You Are,Jessie J,Pop,Mamma Knows Best,bedroom speaker
401,Cold Water,Major Lazer,Electropop,Cold Water,
402,Badlands,Halsey,Electropop,Colors,
403,Lady Wood,Tove Lo,Electropop,Cool Girl,
404,Badlands,Halsey,Electropop,Gasoline,
405,Badlands,Halsey,Electropop,Ghost,
406,Melodrama,Lorde,Electropop,Supercut,
407,Melodrama,Lorde,Electropop,Supercut,bedroom speaker
408,When Was The Last Time,Darius Rucker,Country,If I Told You,
409,When Was The Last Time,Darius Rucker,Country,If I Told You,kitchen speaker
410,Trench,Twenty One Pilots,Indietronica,Neon Gravestones,
411,Slow Air,Still Corners,Pop,Black Lagoon,
412,Enjoy Yourself,Billy Currington,Country,Let Me Down Easy,
413,Maza Mar Liya Dhori Ke Niche,Shailesh Premi,Country,Lahnga Lasar Ke,
414,Built On Glass,Nick Murphy,Electronica,Gold,bedroom speaker
415,Eric Ethridge,Eric Ethridge,Country,If You Met Me First,
416,Ember,Breaking Benjamin,Rock,Tourniquet,
417,Cuz I Love You,Lizzo,Pop,Tempo,
418,Cuz I Love You,Lizzo,Pop,Tempo,bedroom speaker
419,Handwritten,Shawn Mendes,Pop,Aftertaste,kitchen speaker
420,Black Widow,In This Moment,Metalcore,Sick Like Me,kitchen speaker
421,Love Songs From A Lolita,Maty Noyes,Pop,New Friends,
422,Love Songs From A Lolita,Maty Noyes,Pop,New Friends,bedroom speaker
423,Unapologetically,Kelsea Ballerini,Country,Miss Me More,
424,Unapologetically,Kelsea Ballerini,Country,Miss Me More,bedroom speaker
425,Assume Form,James Blake,Pop,Mile High,bedroom speaker
426,Harry Styles,Harry Styles,Rock,Two Ghosts,
427,The Satanist,Behemoth,Metal,O Father O Satan O Sun,
428,This Is Acting,Sia,Pop,Move Your Body,
429,Origins,Shallow Side,Rock,Try To Fight It,
430,Unleashed Beyond,Skillet,Rock,The Resistance,
431,The New Classic,Iggy Azalea,Pop,Black Widow,
432,The New Classic,Iggy Azalea,Pop,Bounce,
433,The New Classic,Iggy Azalea,Pop,Black Widow,kitchen speaker
434,V,Adam Levine,Pop,Lost Stars,TV
435,Intuition,Tyler Shaw,Pop,With You,
436,Climate Change,Pitbull,Pop,Options,
437,Climate Change,Pitbull,Pop,Options,bedroom speaker
438,Melting,Nico Cartosio,Classical,Cocaine March,
439,Elements,Ludovico Einaudi,Classical,Elements,
440,Limitless,The Piano Guys,Classical,Epiphany,
441,Nightsky,Tracey Chattaway,Classical,Nightsky,
442,Limitless,The Piano Guys,Classical,Perfect,
443,Limitless,The Piano Guys,Classical,Epiphany,bedroom speaker
444,Magic,Ben Rector,Pop,Love Like This,
445,Transmissions,Starset,Rock,It Has Begun,
446,Nayutan Sei Kara No Buttai Y,Nayutalien,Rock,Planet Loop,
447,Last Daze Of Summer,Maleek Berry,Africa,Kontrol,
448,So Mi Like It,Spice,Reggae,So Mi Like It,
449,Golden Hour,Kacey Musgraves,Country,Slow Burn,bedroom speaker
450,Happiness Begins,Jonas Brothers,Pop,Sucker,kitchen speaker
451,My Kinda Party,Jason Aldean,Country,Dirt Road Anthem,
452,Rearview Town,Jason Aldean,Country,Girl Like You,
453,Rearview Town,Jason Aldean,Country,Rearview Town,
454,Rearview Town,Jason Aldean,Country,Ride All Night,
455,Rearview Town,Jason Aldean,Country,You Make It Easy,
456,Badlands,Halsey,Electropop,Control,kitchen speaker
457,Icarus Falls,Zayn Malik,Pop,Satisfaction,
458,Bittersweet,Brunettes Shoot Blondes,Rock,Knock Knock,
459,Joytime,Marshmello,House,Find Me,kitchen speaker
460,Count Me In,Rebelution,Reggae,Roots Reggae Music,
461,Count Me In,Rebelution,Reggae,Roots Reggae Music,kitchen speaker
462,Random Access Memories,Daft Punk,Punk,Get Lucky,
463,Random Access Memories,Daft Punk,Punk,Get Lucky,bedroom speaker
464,Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Express,
465,Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Show Me How You Burlesque,
