,car_name,car_type,city,end_date,pickup_location,pickup_time,price_per_day,start_date,add_insurance
54,Kia Ceed,Hatchback,Los Angeles,2019-03-07,Union Station,15:30,22.00,2019-03-01,
55,Renault Clio,Hatchback,Los Angeles,2019-03-07,Union Station,15:30,23.00,2019-03-01,
56,SEAT Leon,Hatchback,Los Angeles,2019-03-07,LAX International Airport,15:30,29.00,2019-03-01,
57,Subaru Impreza,Sedan,Los Angeles,2019-03-07,Union Station,15:30,32.00,2019-03-01,
58,Alfa Romeo Stelvio,SUV,Las Vegas,2019-03-14,Union Plaza,16:30,38.00,2019-03-13,
59,Buick Regal Sportback,Sedan,Las Vegas,2019-03-14,McCarran International Airport,16:30,33.00,2019-03-13,
60,Dodge Charger,Sedan,Las Vegas,2019-03-14,McCarran International Airport,16:30,30.00,2019-03-13,
61,Fiat Panda,Hatchback,Las Vegas,2019-03-14,Union Plaza,16:30,27.00,2019-03-13,
62,Ford Focus,Hatchback,Las Vegas,2019-03-14,McCarran International Airport,16:30,31.00,2019-03-13,
63,Hyundai Ioniq,Sedan,Las Vegas,2019-03-14,McCarran International Airport,16:30,34.00,2019-03-13,
64,Jaguar F-Pace,SUV,Las Vegas,2019-03-14,McCarran International Airport,16:30,38.00,2019-03-13,
65,Mazda 3,Hatchback,Las Vegas,2019-03-14,McCarran International Airport,16:30,20.00,2019-03-13,
66,Renault Clio,Hatchback,Las Vegas,2019-03-14,Union Plaza,16:30,25.00,2019-03-13,
67,SEAT Cordoba,Sedan,Las Vegas,2019-03-14,McCarran International Airport,16:30,31.00,2019-03-13,
68,Audi A8,Sedan,Anaheim,2019-03-06,Anaheim Intermodal Center,14:00,32.00,2019-03-03,
69,Citroen C5,SUV,Anaheim,2019-03-06,John Wayne Airport,14:00,50.00,2019-03-03,
70,Dacia Duster,SUV,Anaheim,2019-03-06,John Wayne Airport,14:00,44.00,2019-03-03,
71,Dodge Charger,Sedan,Anaheim,2019-03-06,John Wayne Airport,14:00,26.00,2019-03-03,
72,Ford Focus,Hatchback,Anaheim,2019-03-06,Anaheim Intermodal Center,14:00,22.00,2019-03-03,
73,Kia Ceed,Hatchback,Anaheim,2019-03-06,John Wayne Airport,14:00,29.00,2019-03-03,
74,Lexus GS,Sedan,Anaheim,2019-03-06,John Wayne Airport,14:00,29.00,2019-03-03,
75,Mazda CX-5,SUV,Anaheim,2019-03-06,Anaheim Intermodal Center,14:00,51.00,2019-03-03,
76,Nissan Qashqai,Hatchback,Anaheim,2019-03-06,Anaheim Intermodal Center,14:00,22.00,2019-03-03,
77,Renault Clio,Hatchback,Anaheim,2019-03-06,John Wayne Airport,14:00,30.00,2019-03-03,
78,Alfa Romeo Stelvio,SUV,Las Vegas,2019-03-12,Union Plaza,17:00,43.00,2019-03-06,
79,Jaguar F-Pace,SUV,Las Vegas,2019-03-12,Union Plaza,17:00,36.00,2019-03-06,
80,Skoda Kodiaq,SUV,Las Vegas,2019-03-12,McCarran International Airport,17:00,38.00,2019-03-06,
81,Suzuki Grand Vitara,SUV,Las Vegas,2019-03-12,McCarran International Airport,17:00,44.00,2019-03-06,
82,Alfa Romeo Stelvio,SUV,Seattle,2019-03-13,King Street Station,14:00,36.00,2019-03-11,
83,Buick Regal Sportback,Sedan,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,41.00,2019-03-11,
84,Citroen C5,SUV,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,40.00,2019-03-11,
85,GMC Terrain,SUV,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,43.00,2019-03-11,
86,Hyundai Ioniq,Sedan,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,33.00,2019-03-11,
87,Jaguar F-Pace,SUV,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,46.00,2019-03-11,
88,Kia Ceed,Hatchback,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,24.00,2019-03-11,
89,Nissan Qashqai,Hatchback,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,29.00,2019-03-11,
90,Peugeot 208,Hatchback,Seattle,2019-03-13,King Street Station,14:00,32.00,2019-03-11,
91,Renault Clio,Hatchback,Seattle,2019-03-13,Seattle-Tacoma International Airport,14:00,30.00,2019-03-11,
92,Alfa Romeo Stelvio,SUV,Portland,2019-03-09,Portland Bus Station,15:00,47.00,2019-03-05,
93,Dacia Duster,SUV,Portland,2019-03-09,Union Station,15:00,35.00,2019-03-05,
94,GMC Terrain,SUV,Portland,2019-03-09,PDX International Airport,15:00,45.00,2019-03-05,
95,Jaguar F-Pace,SUV,Portland,2019-03-09,PDX International Airport,15:00,44.00,2019-03-05,
96,Audi A8,Sedan,Anaheim,2019-03-13,Anaheim Intermodal Center,12:00,31.00,2019-03-11,
97,Citroen C5,SUV,Anaheim,2019-03-13,John Wayne Airport,12:00,45.00,2019-03-11,
98,Dacia Duster,SUV,Anaheim,2019-03-13,John Wayne Airport,12:00,37.00,2019-03-11,
99,Dodge Charger,Sedan,Anaheim,2019-03-13,John Wayne Airport,12:00,34.00,2019-03-11,
100,Ford Focus,Hatchback,Anaheim,2019-03-13,Anaheim Intermodal Center,12:00,25.00,2019-03-11,
101,Kia Ceed,Hatchback,Anaheim,2019-03-13,John Wayne Airport,12:00,29.00,2019-03-11,
102,Lexus GS,Sedan,Anaheim,2019-03-13,John Wayne Airport,12:00,38.00,2019-03-11,
103,Mazda CX-5,SUV,Anaheim,2019-03-13,Anaheim Intermodal Center,12:00,44.00,2019-03-11,
104,Nissan Qashqai,Hatchback,Anaheim,2019-03-13,Anaheim Intermodal Center,12:00,22.00,2019-03-11,
105,Renault Clio,Hatchback,Anaheim,2019-03-13,John Wayne Airport,12:00,25.00,2019-03-11,
106,Buick Regal Sportback,Sedan,Sacramento,2019-03-09,Sacramento Valley Station,14:00,29.00,2019-03-07,
107,Citroen C5,SUV,Sacramento,2019-03-09,SMF International Airport,14:00,45.00,2019-03-07,
108,Fiat Panda,Hatchback,Sacramento,2019-03-09,SMF International Airport,14:00,29.00,2019-03-07,
109,Hyundai Ioniq,Sedan,Sacramento,2019-03-09,Sacramento Valley Station,14:00,32.00,2019-03-07,
110,Jaguar F-Pace,SUV,Sacramento,2019-03-09,SMF International Airport,14:00,40.00,2019-03-07,
111,Kia Ceed,Hatchback,Sacramento,2019-03-09,Sacramento Valley Station,14:00,24.00,2019-03-07,
112,Nissan Qashqai,Hatchback,Sacramento,2019-03-09,Sacramento Valley Station,14:00,22.00,2019-03-07,
113,Renault Clio,Hatchback,Sacramento,2019-03-09,SMF International Airport,14:00,26.00,2019-03-07,
114,SEAT Leon,Hatchback,Sacramento,2019-03-09,Sacramento Valley Station,14:00,27.00,2019-03-07,
115,Skoda Octavia,Sedan,Sacramento,2019-03-09,SMF International Airport,14:00,36.00,2019-03-07,
116,Buick Regal Sportback,Sedan,Seattle,2019-03-09,Seattle-Tacoma International Airport,14:00,34.00,2019-03-06,
117,Hyundai Ioniq,Sedan,Seattle,2019-03-09,Seattle-Tacoma International Airport,14:00,32.00,2019-03-06,
118,Skoda Octavia,Sedan,Seattle,2019-03-09,King Street Station,14:00,30.00,2019-03-06,
119,Subaru Impreza,Sedan,Seattle,2019-03-09,King Street Station,14:00,36.00,2019-03-06,
120,Volvo S90,Sedan,Seattle,2019-03-09,King Street Station,14:00,33.00,2019-03-06,
121,Buick Regal Sportback,Sedan,Portland,2019-03-08,PDX International Airport,11:00,32.00,2019-03-05,
122,Dacia Duster,SUV,Portland,2019-03-08,Union Station,11:00,38.00,2019-03-05,
123,Dodge Charger,Sedan,Portland,2019-03-08,PDX International Airport,11:00,34.00,2019-03-05,
124,GMC Terrain,SUV,Portland,2019-03-08,PDX International Airport,11:00,42.00,2019-03-05,
125,Hyundai Ioniq,Sedan,Portland,2019-03-08,Union Station,11:00,29.00,2019-03-05,
126,Jaguar F-Pace,SUV,Portland,2019-03-08,PDX International Airport,11:00,44.00,2019-03-05,
127,Kia Ceed,Hatchback,Portland,2019-03-08,PDX International Airport,11:00,24.00,2019-03-05,
128,Nissan Qashqai,Hatchback,Portland,2019-03-08,PDX International Airport,11:00,31.00,2019-03-05,
129,Renault Clio,Hatchback,Portland,2019-03-08,Union Station,11:00,27.00,2019-03-05,
130,SEAT Cordoba,Sedan,Portland,2019-03-08,PDX International Airport,11:00,36.00,2019-03-05,
131,Alfa Romeo Stelvio,SUV,Chicago,2019-03-04,Chicago Union Station,19:00,35.00,2019-03-01,
132,Audi A8,Sedan,Chicago,2019-03-04,Chicago Union Station,19:00,31.00,2019-03-01,
133,Buick Regal Sportback,Sedan,Chicago,2019-03-04,O'Hare International Airport,19:00,36.00,2019-03-01,
134,Citroen C5,SUV,Chicago,2019-03-04,O'Hare International Airport,19:00,41.00,2019-03-01,
135,Dacia Duster,SUV,Chicago,2019-03-04,O'Hare International Airport,19:00,49.00,2019-03-01,
136,Dodge Charger,Sedan,Chicago,2019-03-04,Chicago Union Station,19:00,28.00,2019-03-01,
137,Fiat Panda,Hatchback,Chicago,2019-03-04,O'Hare International Airport,19:00,28.00,2019-03-01,
138,Ford Focus,Hatchback,Chicago,2019-03-04,Chicago Union Station,19:00,23.00,2019-03-01,
139,GMC Terrain,SUV,Chicago,2019-03-04,Chicago Union Station,19:00,42.00,2019-03-01,
140,Hyundai Ioniq,Sedan,Chicago,2019-03-04,O'Hare International Airport,19:00,36.00,2019-03-01,
141,Dodge Charger,Sedan,San Francisco,2019-03-08,Salesforce Transit Center,13:30,32.00,2019-03-04,
142,Fiat Panda,Hatchback,San Francisco,2019-03-08,SFO International Airport,13:30,28.00,2019-03-04,
143,Hyundai Ioniq,Sedan,San Francisco,2019-03-08,Salesforce Transit Center,13:30,31.00,2019-03-04,
144,Kia Ceed,Hatchback,San Francisco,2019-03-08,SFO International Airport,13:30,30.00,2019-03-04,
145,Mazda 3,Hatchback,San Francisco,2019-03-08,Salesforce Transit Center,13:30,27.00,2019-03-04,
146,Mitsubishi Outlander,SUV,San Francisco,2019-03-08,Salesforce Transit Center,13:30,46.00,2019-03-04,
147,Peugeot 208,Hatchback,San Francisco,2019-03-08,Salesforce Transit Center,13:30,26.00,2019-03-04,
148,Skoda Octavia,Sedan,San Francisco,2019-03-08,SFO International Airport,13:30,35.00,2019-03-04,
149,Subaru Impreza,Sedan,San Francisco,2019-03-08,SFO International Airport,13:30,40.00,2019-03-04,
150,Suzuki Grand Vitara,SUV,San Francisco,2019-03-08,SFO International Airport,13:30,36.00,2019-03-04,
151,Alfa Romeo Stelvio,SUV,Long Beach,2019-03-07,Downtown Station,11:00,38.00,2019-03-04,
152,Alfa Romeo Stelvio,SUV,Washington,2019-03-10,Dulles International Airport,12:30,49.00,2019-03-06,
153,Buick Regal Sportback,Sedan,Washington,2019-03-10,Union Station,12:30,33.00,2019-03-06,
154,Dodge Charger,Sedan,Washington,2019-03-10,Union Station,12:30,33.00,2019-03-06,
155,Hyundai Ioniq,Sedan,Washington,2019-03-10,Dulles International Airport,12:30,33.00,2019-03-06,
156,Kia Ceed,Hatchback,Washington,2019-03-10,Dulles International Airport,12:30,24.00,2019-03-06,
157,Mitsubishi Outlander,SUV,Washington,2019-03-10,Union Station,12:30,42.00,2019-03-06,
158,Nissan Qashqai,Hatchback,Washington,2019-03-10,Dulles International Airport,12:30,24.00,2019-03-06,
159,Renault Clio,Hatchback,Washington,2019-03-10,Union Station,12:30,20.00,2019-03-06,
160,SEAT Cordoba,Sedan,Washington,2019-03-10,Dulles International Airport,12:30,36.00,2019-03-06,
161,SEAT Leon,Hatchback,Washington,2019-03-10,Union Station,12:30,23.00,2019-03-06,
162,Dacia Duster,SUV,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,43.00,2019-03-11,
163,Dodge Charger,Sedan,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,35.00,2019-03-11,
164,Ford Focus,Hatchback,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,29.00,2019-03-11,
165,Peugeot 208,Hatchback,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,29.00,2019-03-11,
166,Renault Clio,Hatchback,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,23.00,2019-03-11,
167,SEAT Cordoba,Sedan,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,30.00,2019-03-11,
168,SEAT Leon,Hatchback,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,26.00,2019-03-11,
169,Volvo S90,Sedan,Fresno,2019-03-12,Fresno Yosemite International Airport,10:00,35.00,2019-03-11,
170,Audi A8,Sedan,Paris,2019-03-05,Charles de Gaulle International Airport,18:30,37.00,2019-03-03,
171,Citroen C5,SUV,Paris,2019-03-05,Orly International Airport,18:30,45.00,2019-03-03,
172,Dacia Duster,SUV,Paris,2019-03-05,Charles de Gaulle International Airport,18:30,49.00,2019-03-03,
173,Fiat Panda,Hatchback,Paris,2019-03-05,Orly International Airport,18:30,32.00,2019-03-03,
174,Hyundai Ioniq,Sedan,Paris,2019-03-05,Charles de Gaulle International Airport,18:30,33.00,2019-03-03,
175,Kia Ceed,Hatchback,Paris,2019-03-05,Orly International Airport,18:30,30.00,2019-03-03,
176,Mazda CX-5,SUV,Paris,2019-03-05,Orly International Airport,18:30,43.00,2019-03-03,
177,Mitsubishi Outlander,SUV,Paris,2019-03-05,Orly International Airport,18:30,51.00,2019-03-03,
178,Peugeot 208,Hatchback,Paris,2019-03-05,Charles de Gaulle International Airport,18:30,27.00,2019-03-03,
179,SEAT Cordoba,Sedan,Paris,2019-03-05,Charles de Gaulle International Airport,18:30,35.00,2019-03-03,
180,Mazda CX-5,SUV,,2019-03-05,Orly International Airport,18:30,43.00,2019-03-03,False
181,Buick Regal Sportback,Sedan,Philadelphia,2019-03-11,PHL International Airport,15:30,31.00,2019-03-10,
182,Citroen C5,SUV,Philadelphia,2019-03-11,PHL International Airport,15:30,42.00,2019-03-10,
183,Dodge Charger,Sedan,Philadelphia,2019-03-11,Intercity Terminal,15:30,29.00,2019-03-10,
184,Fiat Panda,Hatchback,Philadelphia,2019-03-11,Intercity Terminal,15:30,27.00,2019-03-10,
185,GMC Terrain,SUV,Philadelphia,2019-03-11,PHL International Airport,15:30,38.00,2019-03-10,
186,Hyundai Ioniq,Sedan,Philadelphia,2019-03-11,30th Street Station,15:30,28.00,2019-03-10,
187,Kia Ceed,Hatchback,Philadelphia,2019-03-11,PHL International Airport,15:30,31.00,2019-03-10,
188,Lexus GS,Sedan,Philadelphia,2019-03-11,30th Street Station,15:30,30.00,2019-03-10,
189,Mitsubishi Outlander,SUV,Philadelphia,2019-03-11,Intercity Terminal,15:30,37.00,2019-03-10,
190,Renault Clio,Hatchback,Philadelphia,2019-03-11,PHL International Airport,15:30,29.00,2019-03-10,
191,Skoda Octavia,Sedan,,2019-03-11,PHL International Airport,15:30,46.00,2019-03-10,True
192,Audi A8,Sedan,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,33.00,2019-03-13,
193,Dodge Charger,Sedan,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,37.00,2019-03-13,
194,Ford Focus,Hatchback,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,26.00,2019-03-13,
195,Mazda CX-5,SUV,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,38.00,2019-03-13,
196,Nissan Qashqai,Hatchback,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,21.00,2019-03-13,
197,SEAT Leon,Hatchback,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,23.00,2019-03-13,
198,Subaru Impreza,Sedan,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,25.00,2019-03-13,
199,Volvo S90,Sedan,Anaheim,2019-03-14,Anaheim Intermodal Center,20:00,30.00,2019-03-13,
200,Dodge Charger,Sedan,,2019-03-14,Anaheim Intermodal Center,20:00,37.00,2019-03-13,False
201,Kia Ceed,Hatchback,Rio de Janeiro,2019-03-11,Galeao International Airport,19:30,29.00,2019-03-04,
202,Kia Ceed,Hatchback,,2019-03-11,Galeao International Airport,19:30,29.00,2019-03-04,False
203,Alfa Romeo Stelvio,SUV,Las Vegas,2019-03-14,Union Plaza,14:00,44.00,2019-03-11,
204,Buick Regal Sportback,Sedan,Las Vegas,2019-03-14,McCarran International Airport,14:00,32.00,2019-03-11,
205,Dodge Charger,Sedan,Las Vegas,2019-03-14,McCarran International Airport,14:00,34.00,2019-03-11,
206,Fiat Panda,Hatchback,Las Vegas,2019-03-14,Union Plaza,14:00,30.00,2019-03-11,
207,Ford Focus,Hatchback,Las Vegas,2019-03-14,McCarran International Airport,14:00,24.00,2019-03-11,
208,Hyundai Ioniq,Sedan,Las Vegas,2019-03-14,McCarran International Airport,14:00,36.00,2019-03-11,
209,Jaguar F-Pace,SUV,Las Vegas,2019-03-14,McCarran International Airport,14:00,45.00,2019-03-11,
210,Mazda 3,Hatchback,Las Vegas,2019-03-14,McCarran International Airport,14:00,30.00,2019-03-11,
211,Renault Clio,Hatchback,Las Vegas,2019-03-14,Union Plaza,14:00,25.00,2019-03-11,
212,SEAT Cordoba,Sedan,Las Vegas,2019-03-14,McCarran International Airport,14:00,40.00,2019-03-11,
213,Alfa Romeo Stelvio,SUV,,2019-03-14,Union Plaza,14:00,58.00,2019-03-11,True
214,Alfa Romeo Stelvio,SUV,Washington,2019-03-06,Dulles International Airport,16:30,40.00,2019-03-02,
215,Buick Regal Sportback,Sedan,Washington,2019-03-06,Union Station,16:30,32.00,2019-03-02,
216,Dodge Charger,Sedan,Washington,2019-03-06,Union Station,16:30,34.00,2019-03-02,
217,Hyundai Ioniq,Sedan,Washington,2019-03-06,Dulles International Airport,16:30,39.00,2019-03-02,
218,Kia Ceed,Hatchback,Washington,2019-03-06,Dulles International Airport,16:30,27.00,2019-03-02,
219,Mitsubishi Outlander,SUV,Washington,2019-03-06,Union Station,16:30,38.00,2019-03-02,
220,Nissan Qashqai,Hatchback,Washington,2019-03-06,Dulles International Airport,16:30,31.00,2019-03-02,
221,Renault Clio,Hatchback,Washington,2019-03-06,Union Station,16:30,32.00,2019-03-02,
222,SEAT Cordoba,Sedan,Washington,2019-03-06,Dulles International Airport,16:30,30.00,2019-03-02,
223,SEAT Leon,Hatchback,Washington,2019-03-06,Union Station,16:30,26.00,2019-03-02,
224,Suzuki Grand Vitara,SUV,,2019-03-06,Dulles International Airport,16:30,45.00,2019-03-02,False
225,Audi A8,Sedan,New York,2019-03-08,JFK International Airport,18:30,34.00,2019-03-06,
226,Buick Regal Sportback,Sedan,New York,2019-03-08,Grand Central Station,18:30,28.00,2019-03-06,
227,Lexus GS,Sedan,New York,2019-03-08,Grand Central Station,18:30,31.00,2019-03-06,
228,Skoda Octavia,Sedan,New York,2019-03-08,Grand Central Station,18:30,35.00,2019-03-06,
229,Subaru Impreza,Sedan,New York,2019-03-08,Grand Central Station,18:30,30.00,2019-03-06,
230,Audi A8,Sedan,,2019-03-08,JFK International Airport,18:30,34.00,2019-03-06,False
231,Dodge Charger,Sedan,Sydney,2019-03-05,Kingsford Smith International Airport,17:00,37.00,2019-03-04,
232,Ford Focus,Hatchback,Sydney,2019-03-05,Kingsford Smith International Airport,17:00,28.00,2019-03-04,
233,Kia Ceed,Hatchback,Sydney,2019-03-05,Kingsford Smith International Airport,17:00,30.00,2019-03-04,
234,Mazda CX-5,SUV,Sydney,2019-03-05,Kingsford Smith International Airport,17:00,40.00,2019-03-04,
235,Nissan Qashqai,Hatchback,Sydney,2019-03-05,Kingsford Smith International Airport,17:00,28.00,2019-03-04,
236,Skoda Octavia,Sedan,Sydney,2019-03-05,Kingsford Smith International Airport,17:00,31.00,2019-03-04,
237,Kia Ceed,Hatchback,,2019-03-05,Kingsford Smith International Airport,17:00,30.00,2019-03-04,False
238,Fiat Panda,Hatchback,Fresno,2019-03-06,Fresno Station,15:30,27.00,2019-03-02,
239,Ford Focus,Hatchback,Fresno,2019-03-06,Fresno Yosemite International Airport,15:30,22.00,2019-03-02,
240,Nissan Qashqai,Hatchback,Fresno,2019-03-06,Fresno Station,15:30,24.00,2019-03-02,
241,Peugeot 208,Hatchback,Fresno,2019-03-06,Fresno Yosemite International Airport,15:30,24.00,2019-03-02,
242,Renault Clio,Hatchback,Fresno,2019-03-06,Fresno Yosemite International Airport,15:30,26.00,2019-03-02,
243,SEAT Leon,Hatchback,Fresno,2019-03-06,Fresno Yosemite International Airport,15:30,27.00,2019-03-02,
244,Nissan Qashqai,Hatchback,,2019-03-06,Fresno Station,15:30,24.00,2019-03-02,False
245,Skoda Kodiaq,SUV,Warsaw,2019-03-12,Warsaw Chopin Airport,16:30,48.00,2019-03-07,
246,Skoda Kodiaq,SUV,,2019-03-12,Warsaw Chopin Airport,16:30,48.00,2019-03-07,False
247,Citroen C5,SUV,Philadelphia,2019-03-14,PHL International Airport,15:00,40.00,2019-03-08,
248,Dodge Charger,Sedan,Philadelphia,2019-03-14,Intercity Terminal,15:00,30.00,2019-03-08,
249,Kia Ceed,Hatchback,Philadelphia,2019-03-14,30th Street Station,15:00,23.00,2019-03-08,
250,Lexus GS,Sedan,Philadelphia,2019-03-14,Intercity Terminal,15:00,30.00,2019-03-08,
251,Mitsubishi Outlander,SUV,Philadelphia,2019-03-14,Intercity Terminal,15:00,37.00,2019-03-08,
252,Skoda Kodiaq,SUV,Philadelphia,2019-03-14,PHL International Airport,15:00,37.00,2019-03-08,
253,Skoda Octavia,Sedan,Philadelphia,2019-03-14,Intercity Terminal,15:00,29.00,2019-03-08,
254,Vauxhaull Astra,Hatchback,Philadelphia,2019-03-14,Intercity Terminal,15:00,23.00,2019-03-08,
255,Volvo S90,Sedan,Philadelphia,2019-03-14,PHL International Airport,15:00,37.00,2019-03-08,
256,Skoda Octavia,Sedan,,2019-03-14,Intercity Terminal,15:00,29.00,2019-03-08,False
257,Audi A8,Sedan,Los Angeles,2019-03-14,LAX International Airport,14:00,33.00,2019-03-13,
