,fare,from_location,from_station,leaving_date,leaving_time,to_location,to_station,transfers,travelers
35,48,San Francisco,Salesforce Transit Center,2019-03-01,13:10,Los Angeles,Union Station,0,1
36,52,San Francisco,Salesforce Transit Center,2019-03-01,14:10,Los Angeles,Union Station,0,1
37,46,San Francisco,Salesforce Transit Center,2019-03-01,16:20,Los Angeles,Union Station,0,1
38,44,San Francisco,Salesforce Transit Center,2019-03-01,17:50,Los Angeles,Union Station,0,1
39,50,San Francisco,Salesforce Transit Center,2019-03-01,07:00,Los Angeles,Union Station,0,4
40,41,San Francisco,Salesforce Transit Center,2019-03-01,07:40,Los Angeles,Union Station,0,4
41,41,San Francisco,Salesforce Transit Center,2019-03-01,08:40,Los Angeles,Union Station,0,4
42,47,San Francisco,Salesforce Transit Center,2019-03-01,08:50,Los Angeles,Union Station,0,4
43,44,San Francisco,Salesforce Transit Center,2019-03-01,10:40,Los Angeles,Union Station,0,4
44,52,San Francisco,Salesforce Transit Center,2019-03-01,11:10,Los Angeles,Union Station,0,4
45,48,San Francisco,Salesforce Transit Center,2019-03-01,13:10,Los Angeles,Union Station,0,4
46,52,San Francisco,Salesforce Transit Center,2019-03-01,14:10,Los Angeles,Union Station,0,4
47,46,San Francisco,Salesforce Transit Center,2019-03-01,16:20,Los Angeles,Union Station,0,4
48,43,San Francisco,Salesforce Transit Center,2019-03-04,07:50,Long Beach,Downtown Station,0,1
49,45,San Francisco,Salesforce Transit Center,2019-03-04,08:50,Long Beach,Downtown Station,0,1
50,47,San Francisco,Salesforce Transit Center,2019-03-04,09:10,Long Beach,Downtown Station,0,1
51,51,San Francisco,Salesforce Transit Center,2019-03-04,10:30,Long Beach,Downtown Station,0,1
52,46,San Francisco,Salesforce Transit Center,2019-03-04,15:20,Long Beach,Downtown Station,0,1
53,44,San Francisco,Salesforce Transit Center,2019-03-04,16:30,Long Beach,Downtown Station,0,1
54,47,San Francisco,Salesforce Transit Center,2019-03-04,17:00,Long Beach,Downtown Station,0,1
55,36,Las Vegas,Union Plaza,2019-03-04,14:10,Anaheim,Anaheim Intermodal Center,0,1
56,40,Las Vegas,Union Plaza,2019-03-04,14:20,Anaheim,Anaheim Intermodal Center,0,1
57,38,Las Vegas,Union Plaza,2019-03-04,14:40,Anaheim,Anaheim Intermodal Center,0,1
58,37,Las Vegas,Union Plaza,2019-03-04,17:50,Anaheim,Anaheim Intermodal Center,0,1
59,23,San Diego,Santa Fe Depot,2019-03-04,10:10,Anaheim,Anaheim Intermodal Center,0,2
60,22,San Diego,Santa Fe Depot,2019-03-04,10:40,Anaheim,Anaheim Intermodal Center,0,2
61,22,San Diego,Santa Fe Depot,2019-03-04,13:20,Anaheim,Anaheim Intermodal Center,0,2
62,22,San Diego,Santa Fe Depot,2019-03-04,14:00,Anaheim,Anaheim Intermodal Center,0,2
63,25,San Diego,Santa Fe Depot,2019-03-04,14:10,Anaheim,Anaheim Intermodal Center,0,2
64,22,San Diego,Santa Fe Depot,2019-03-04,16:50,Anaheim,Anaheim Intermodal Center,0,2
65,25,San Diego,Santa Fe Depot,2019-03-04,18:00,Anaheim,Anaheim Intermodal Center,0,2
66,20,San Diego,Santa Fe Depot,2019-03-04,18:10,Anaheim,Anaheim Intermodal Center,0,2
67,41,Las Vegas,Union Plaza,2019-03-03,07:20,Los Angeles,Union Station,0,2
68,48,Las Vegas,Union Plaza,2019-03-03,10:20,Los Angeles,Union Station,0,2
69,33,Las Vegas,Union Plaza,2019-03-03,11:50,Los Angeles,Union Station,0,2
70,42,Las Vegas,Union Plaza,2019-03-03,17:00,Los Angeles,Union Station,0,2
71,73,Sacramento,Sacramento Valley Station,2019-03-11,07:40,Long Beach,Downtown Station,1,1
72,69,Sacramento,Sacramento Valley Station,2019-03-11,08:30,Long Beach,Downtown Station,1,1
73,74,Sacramento,Sacramento Valley Station,2019-03-11,11:00,Long Beach,Downtown Station,1,1
74,69,Sacramento,Sacramento Valley Station,2019-03-11,13:00,Long Beach,Downtown Station,1,1
75,72,Sacramento,Sacramento Valley Station,2019-03-11,13:20,Long Beach,Downtown Station,1,1
76,69,Sacramento,Sacramento Valley Station,2019-03-11,13:30,Long Beach,Downtown Station,1,1
77,64,Sacramento,Sacramento Valley Station,2019-03-11,19:50,Long Beach,Downtown Station,1,1
78,73,Sacramento,Sacramento Valley Station,2019-03-11,07:40,Long Beach,Downtown Station,1,2
79,69,Sacramento,Sacramento Valley Station,2019-03-11,08:30,Long Beach,Downtown Station,1,2
80,74,Sacramento,Sacramento Valley Station,2019-03-11,11:00,Long Beach,Downtown Station,1,2
81,69,Sacramento,Sacramento Valley Station,2019-03-11,13:00,Long Beach,Downtown Station,1,2
82,72,Sacramento,Sacramento Valley Station,2019-03-11,13:20,Long Beach,Downtown Station,1,2
83,69,Sacramento,Sacramento Valley Station,2019-03-11,13:30,Long Beach,Downtown Station,1,2
84,64,Sacramento,Sacramento Valley Station,2019-03-11,19:50,Long Beach,Downtown Station,1,2
85,45,Las Vegas,Union Plaza,2019-03-11,07:10,Fresno,Fresno Station,0,2
86,41,Las Vegas,Union Plaza,2019-03-11,07:50,Fresno,Fresno Station,0,2
87,43,Las Vegas,Union Plaza,2019-03-11,11:20,Fresno,Fresno Station,0,2
88,46,Las Vegas,Union Plaza,2019-03-11,12:20,Fresno,Fresno Station,0,2
89,46,Las Vegas,Union Plaza,2019-03-11,14:00,Fresno,Fresno Station,0,2
90,41,Las Vegas,Union Plaza,2019-03-11,14:10,Fresno,Fresno Station,0,2
91,40,Las Vegas,Union Plaza,2019-03-11,14:50,Fresno,Fresno Station,0,2
92,37,Las Vegas,Union Plaza,2019-03-11,15:40,Fresno,Fresno Station,0,2
93,38,Las Vegas,Union Plaza,2019-03-11,16:00,Fresno,Fresno Station,0,2
94,40,Las Vegas,Union Plaza,2019-03-11,16:20,Fresno,Fresno Station,0,2
95,69,Long Beach,Downtown Station,2019-03-06,06:50,Sacramento,Sacramento Valley Station,1,1
96,68,Long Beach,Downtown Station,2019-03-06,07:00,Sacramento,Sacramento Valley Station,1,1
97,69,Long Beach,Downtown Station,2019-03-06,08:30,Sacramento,Sacramento Valley Station,1,1
98,69,Long Beach,Downtown Station,2019-03-06,10:20,Sacramento,Sacramento Valley Station,1,1
99,70,Long Beach,Downtown Station,2019-03-06,10:30,Sacramento,Sacramento Valley Station,1,1
100,55,Long Beach,Downtown Station,2019-03-06,10:40,Sacramento,Sacramento Valley Station,1,1
101,58,Long Beach,Downtown Station,2019-03-06,13:40,Sacramento,Sacramento Valley Station,1,1
102,57,Long Beach,Downtown Station,2019-03-06,13:50,Sacramento,Sacramento Valley Station,1,1
103,59,Long Beach,Downtown Station,2019-03-06,15:20,Sacramento,Sacramento Valley Station,1,1
104,69,Long Beach,Downtown Station,2019-03-06,06:50,Sacramento,Sacramento Valley Station,1,3
105,68,Long Beach,Downtown Station,2019-03-06,07:00,Sacramento,Sacramento Valley Station,1,3
106,69,Long Beach,Downtown Station,2019-03-06,08:30,Sacramento,Sacramento Valley Station,1,3
107,69,Long Beach,Downtown Station,2019-03-06,10:20,Sacramento,Sacramento Valley Station,1,3
108,70,Long Beach,Downtown Station,2019-03-06,10:30,Sacramento,Sacramento Valley Station,1,3
109,55,Long Beach,Downtown Station,2019-03-06,10:40,Sacramento,Sacramento Valley Station,1,3
110,58,Long Beach,Downtown Station,2019-03-06,13:40,Sacramento,Sacramento Valley Station,1,3
111,57,Long Beach,Downtown Station,2019-03-06,13:50,Sacramento,Sacramento Valley Station,1,3
112,59,Long Beach,Downtown Station,2019-03-06,15:20,Sacramento,Sacramento Valley Station,1,3
113,11,Long Beach,Downtown Station,2019-03-06,06:40,Los Angeles,Union Station,0,3
114,12,Long Beach,Downtown Station,2019-03-06,07:40,Los Angeles,Union Station,0,3
115,10,Long Beach,Downtown Station,2019-03-06,10:40,Los Angeles,Union Station,0,3
116,12,Long Beach,Downtown Station,2019-03-06,11:30,Los Angeles,Union Station,0,3
117,13,Long Beach,Downtown Station,2019-03-06,12:50,Los Angeles,Union Station,0,3
118,11,Long Beach,Downtown Station,2019-03-06,13:40,Los Angeles,Union Station,0,3
119,10,Long Beach,Downtown Station,2019-03-06,13:50,Los Angeles,Union Station,0,3
120,13,Long Beach,Downtown Station,2019-03-06,15:20,Los Angeles,Union Station,0,3
121,12,Long Beach,Downtown Station,2019-03-06,16:00,Los Angeles,Union Station,0,3
122,12,Long Beach,Downtown Station,2019-03-06,16:30,Los Angeles,Union Station,0,3
123,24,Long Beach,Downtown Station,2019-03-06,07:00,San Diego,Santa Fe Depot,0,1
124,25,Long Beach,Downtown Station,2019-03-06,08:40,San Diego,Santa Fe Depot,0,1
125,25,Long Beach,Downtown Station,2019-03-06,10:30,San Diego,Santa Fe Depot,0,1
126,22,Long Beach,Downtown Station,2019-03-06,11:30,San Diego,Santa Fe Depot,0,1
127,22,Long Beach,Downtown Station,2019-03-06,11:40,San Diego,Santa Fe Depot,0,1
128,26,Long Beach,Downtown Station,2019-03-06,11:50,San Diego,Santa Fe Depot,0,1
129,26,Long Beach,Downtown Station,2019-03-06,13:00,San Diego,Santa Fe Depot,0,1
130,23,Long Beach,Downtown Station,2019-03-06,15:40,San Diego,Santa Fe Depot,0,1
131,25,Long Beach,Downtown Station,2019-03-06,15:50,San Diego,Santa Fe Depot,0,1
132,24,Long Beach,Downtown Station,2019-03-06,19:40,San Diego,Santa Fe Depot,0,1
133,22,San Francisco,Salesforce Transit Center,2019-03-12,07:20,Sacramento,Sacramento Valley Station,0,4
134,20,San Francisco,Salesforce Transit Center,2019-03-12,09:40,Sacramento,Sacramento Valley Station,0,4
135,23,San Francisco,Salesforce Transit Center,2019-03-12,10:00,Sacramento,Sacramento Valley Station,0,4
136,23,San Francisco,Salesforce Transit Center,2019-03-12,11:40,Sacramento,Sacramento Valley Station,0,4
137,21,San Francisco,Salesforce Transit Center,2019-03-12,12:30,Sacramento,Sacramento Valley Station,0,4
138,20,San Francisco,Salesforce Transit Center,2019-03-12,13:20,Sacramento,Sacramento Valley Station,0,4
139,24,San Francisco,Salesforce Transit Center,2019-03-12,14:10,Sacramento,Sacramento Valley Station,0,4
140,23,San Francisco,Salesforce Transit Center,2019-03-12,16:40,Sacramento,Sacramento Valley Station,0,4
141,22,San Francisco,Salesforce Transit Center,2019-03-12,17:30,Sacramento,Sacramento Valley Station,0,4
142,23,San Francisco,Salesforce Transit Center,2019-03-12,18:10,Sacramento,Sacramento Valley Station,0,4
143,36,Fresno,Fresno Station,2019-03-10,07:00,San Francisco,Salesforce Transit Center,0,1
144,33,Fresno,Fresno Station,2019-03-10,07:50,San Francisco,Salesforce Transit Center,0,1
145,30,Fresno,Fresno Station,2019-03-10,09:00,San Francisco,Salesforce Transit Center,0,1
146,32,Fresno,Fresno Station,2019-03-10,10:20,San Francisco,Salesforce Transit Center,0,1
147,37,Fresno,Fresno Station,2019-03-10,11:20,San Francisco,Salesforce Transit Center,0,1
148,30,Fresno,Fresno Station,2019-03-10,12:20,San Francisco,Salesforce Transit Center,0,1
149,35,Fresno,Fresno Station,2019-03-10,13:10,San Francisco,Salesforce Transit Center,0,1
150,30,Fresno,Fresno Station,2019-03-10,13:30,San Francisco,Salesforce Transit Center,0,1
151,33,Fresno,Fresno Station,2019-03-10,16:50,San Francisco,Salesforce Transit Center,0,1
152,50,San Diego,Santa Fe Depot,2019-03-13,07:40,San Francisco,Salesforce Transit Center,0,1
153,53,San Diego,Santa Fe Depot,2019-03-13,10:00,San Francisco,Salesforce Transit Center,0,1
154,48,San Diego,Santa Fe Depot,2019-03-13,11:40,San Francisco,Salesforce Transit Center,0,1
155,56,San Diego,Santa Fe Depot,2019-03-13,14:00,San Francisco,Salesforce Transit Center,0,1
156,50,San Diego,Santa Fe Depot,2019-03-13,16:20,San Francisco,Salesforce Transit Center,0,1
157,62,San Diego,Santa Fe Depot,2019-03-13,17:10,San Francisco,Salesforce Transit Center,0,1
158,21,New York,Port Authority Station,2019-03-09,07:40,Philadelphia,Intercity Terminal,0,1
159,23,New York,Port Authority Station,2019-03-09,08:00,Philadelphia,Intercity Terminal,0,1
160,21,New York,Port Authority Station,2019-03-09,11:30,Philadelphia,Intercity Terminal,0,1
161,23,New York,Port Authority Station,2019-03-09,14:10,Philadelphia,Intercity Terminal,0,1
162,24,New York,Port Authority Station,2019-03-09,16:30,Philadelphia,Intercity Terminal,0,1
163,17,New York,Port Authority Station,2019-03-09,18:30,Philadelphia,Intercity Terminal,0,1
164,22,New York,Port Authority Station,2019-03-09,19:40,Philadelphia,Intercity Terminal,0,1
165,12,Anaheim,Anaheim Intermodal Center,2019-03-06,06:10,Los Angeles,Union Station,0,4
166,12,Anaheim,Anaheim Intermodal Center,2019-03-06,08:40,Los Angeles,Union Station,0,4
167,12,Anaheim,Anaheim Intermodal Center,2019-03-06,09:10,Los Angeles,Union Station,0,4
168,13,Anaheim,Anaheim Intermodal Center,2019-03-06,11:20,Los Angeles,Union Station,0,4
169,13,Anaheim,Anaheim Intermodal Center,2019-03-06,12:10,Los Angeles,Union Station,0,4
170,13,Anaheim,Anaheim Intermodal Center,2019-03-06,13:30,Los Angeles,Union Station,0,4
171,11,Anaheim,Anaheim Intermodal Center,2019-03-06,13:50,Los Angeles,Union Station,0,4
172,13,Anaheim,Anaheim Intermodal Center,2019-03-06,16:10,Los Angeles,Union Station,0,4
173,12,Anaheim,Anaheim Intermodal Center,2019-03-06,17:00,Los Angeles,Union Station,0,4
174,12,Anaheim,Anaheim Intermodal Center,2019-03-06,17:20,Los Angeles,Union Station,0,4
175,34,Anaheim,Anaheim Intermodal Center,2019-03-03,12:30,Las Vegas,Union Plaza,0,4
176,41,Anaheim,Anaheim Intermodal Center,2019-03-03,14:50,Las Vegas,Union Plaza,0,4
177,32,Anaheim,Anaheim Intermodal Center,2019-03-03,16:20,Las Vegas,Union Plaza,0,4
178,44,Anaheim,Anaheim Intermodal Center,2019-03-03,17:20,Las Vegas,Union Plaza,0,4
179,23,Anaheim,Anaheim Intermodal Center,2019-03-03,06:00,San Diego,Santa Fe Depot,0,4
180,24,Anaheim,Anaheim Intermodal Center,2019-03-03,07:30,San Diego,Santa Fe Depot,0,4
181,25,Anaheim,Anaheim Intermodal Center,2019-03-03,09:20,San Diego,Santa Fe Depot,0,4
182,23,Anaheim,Anaheim Intermodal Center,2019-03-03,09:40,San Diego,Santa Fe Depot,0,4
183,24,Anaheim,Anaheim Intermodal Center,2019-03-03,14:20,San Diego,Santa Fe Depot,0,4
184,24,Anaheim,Anaheim Intermodal Center,2019-03-03,14:50,San Diego,Santa Fe Depot,0,4
185,25,Anaheim,Anaheim Intermodal Center,2019-03-03,17:50,San Diego,Santa Fe Depot,0,4
186,20,Anaheim,Anaheim Intermodal Center,2019-03-03,19:10,San Diego,Santa Fe Depot,0,4
187,23,Anaheim,Anaheim Intermodal Center,2019-03-03,19:40,San Diego,Santa Fe Depot,0,4
188,77,Sacramento,Sacramento Valley Station,2019-03-06,10:20,San Diego,Santa Fe Depot,1,1
189,76,Sacramento,Sacramento Valley Station,2019-03-06,10:50,San Diego,Santa Fe Depot,1,1
190,75,Sacramento,Sacramento Valley Station,2019-03-06,11:00,San Diego,Santa Fe Depot,1,1
191,79,Sacramento,Sacramento Valley Station,2019-03-06,12:50,San Diego,Santa Fe Depot,1,1
192,69,Sacramento,Sacramento Valley Station,2019-03-06,13:00,San Diego,Santa Fe Depot,1,1
193,68,Sacramento,Sacramento Valley Station,2019-03-06,13:20,San Diego,Santa Fe Depot,1,1
194,72,Sacramento,Sacramento Valley Station,2019-03-06,13:30,San Diego,Santa Fe Depot,1,1
195,74,Sacramento,Sacramento Valley Station,2019-03-06,19:50,San Diego,Santa Fe Depot,1,1
196,11,Long Beach,Downtown Station,2019-03-10,06:40,Los Angeles,Union Station,0,3
197,14,Long Beach,Downtown Station,2019-03-10,07:40,Los Angeles,Union Station,0,3
198,13,Long Beach,Downtown Station,2019-03-10,10:40,Los Angeles,Union Station,0,3
199,11,Long Beach,Downtown Station,2019-03-10,11:30,Los Angeles,Union Station,0,3
200,13,Long Beach,Downtown Station,2019-03-10,12:50,Los Angeles,Union Station,0,3
201,13,Long Beach,Downtown Station,2019-03-10,13:40,Los Angeles,Union Station,0,3
202,13,Long Beach,Downtown Station,2019-03-10,13:50,Los Angeles,Union Station,0,3
203,11,Long Beach,Downtown Station,2019-03-10,15:20,Los Angeles,Union Station,0,3
204,11,Long Beach,Downtown Station,2019-03-10,16:00,Los Angeles,Union Station,0,3
205,13,Long Beach,Downtown Station,2019-03-10,16:30,Los Angeles,Union Station,0,3
206,65,Sacramento,Sacramento Valley Station,2019-03-14,07:40,Long Beach,Downtown Station,1,1
207,69,Sacramento,Sacramento Valley Station,2019-03-14,08:30,Long Beach,Downtown Station,1,1
208,64,Sacramento,Sacramento Valley Station,2019-03-14,11:00,Long Beach,Downtown Station,1,1
209,59,Sacramento,Sacramento Valley Station,2019-03-14,13:00,Long Beach,Downtown Station,1,1
210,58,Sacramento,Sacramento Valley Station,2019-03-14,13:20,Long Beach,Downtown Station,1,1
211,69,Sacramento,Sacramento Valley Station,2019-03-14,13:30,Long Beach,Downtown Station,1,1
212,67,Sacramento,Sacramento Valley Station,2019-03-14,19:50,Long Beach,Downtown Station,1,1
213,21,San Francisco,Salesforce Transit Center,2019-03-09,07:20,Sacramento,Sacramento Valley Station,0,1
214,24,San Francisco,Salesforce Transit Center,2019-03-09,09:40,Sacramento,Sacramento Valley Station,0,1
215,24,San Francisco,Salesforce Transit Center,2019-03-09,10:00,Sacramento,Sacramento Valley Station,0,1
216,22,San Francisco,Salesforce Transit Center,2019-03-09,11:40,Sacramento,Sacramento Valley Station,0,1
217,19,San Francisco,Salesforce Transit Center,2019-03-09,12:30,Sacramento,Sacramento Valley Station,0,1
218,23,San Francisco,Salesforce Transit Center,2019-03-09,13:20,Sacramento,Sacramento Valley Station,0,1
219,21,San Francisco,Salesforce Transit Center,2019-03-09,14:10,Sacramento,Sacramento Valley Station,0,1
220,23,San Francisco,Salesforce Transit Center,2019-03-09,16:40,Sacramento,Sacramento Valley Station,0,1
221,23,San Francisco,Salesforce Transit Center,2019-03-09,17:30,Sacramento,Sacramento Valley Station,0,1
222,23,San Francisco,Salesforce Transit Center,2019-03-09,18:10,Sacramento,Sacramento Valley Station,0,1
223,47,San Francisco,Salesforce Transit Center,2019-03-09,07:50,Long Beach,Downtown Station,0,1
224,45,San Francisco,Salesforce Transit Center,2019-03-09,08:50,Long Beach,Downtown Station,0,1
225,53,San Francisco,Salesforce Transit Center,2019-03-09,09:10,Long Beach,Downtown Station,0,1
226,46,San Francisco,Salesforce Transit Center,2019-03-09,10:30,Long Beach,Downtown Station,0,1
227,44,San Francisco,Salesforce Transit Center,2019-03-09,15:20,Long Beach,Downtown Station,0,1
228,43,San Francisco,Salesforce Transit Center,2019-03-09,16:30,Long Beach,Downtown Station,0,1
229,46,San Francisco,Salesforce Transit Center,2019-03-09,17:00,Long Beach,Downtown Station,0,1
230,54,Long Beach,Downtown Station,2019-03-08,06:50,San Francisco,Salesforce Transit Center,0,2
231,50,Long Beach,Downtown Station,2019-03-08,07:00,San Francisco,Salesforce Transit Center,0,2
232,57,Long Beach,Downtown Station,2019-03-08,08:30,San Francisco,Salesforce Transit Center,0,2
233,57,Long Beach,Downtown Station,2019-03-08,10:20,San Francisco,Salesforce Transit Center,0,2
234,46,Long Beach,Downtown Station,2019-03-08,10:30,San Francisco,Salesforce Transit Center,0,2
235,45,Long Beach,Downtown Station,2019-03-08,19:00,San Francisco,Salesforce Transit Center,0,2
236,49,Long Beach,Downtown Station,2019-03-08,19:30,San Francisco,Salesforce Transit Center,0,2
237,54,Long Beach,Downtown Station,2019-03-12,06:50,San Francisco,Salesforce Transit Center,0,4
238,54,Long Beach,Downtown Station,2019-03-12,07:00,San Francisco,Salesforce Transit Center,0,4
239,55,Long Beach,Downtown Station,2019-03-12,08:30,San Francisco,Salesforce Transit Center,0,4
240,50,Long Beach,Downtown Station,2019-03-12,10:20,San Francisco,Salesforce Transit Center,0,4
241,53,Long Beach,Downtown Station,2019-03-12,10:30,San Francisco,Salesforce Transit Center,0,4
242,50,Long Beach,Downtown Station,2019-03-12,19:00,San Francisco,Salesforce Transit Center,0,4
243,50,Long Beach,Downtown Station,2019-03-12,19:30,San Francisco,Salesforce Transit Center,0,4
244,51,San Francisco,Salesforce Transit Center,2019-03-12,07:00,Los Angeles,Union Station,0,1
245,47,San Francisco,Salesforce Transit Center,2019-03-12,07:40,Los Angeles,Union Station,0,1
246,43,San Francisco,Salesforce Transit Center,2019-03-12,08:40,Los Angeles,Union Station,0,1
247,48,San Francisco,Salesforce Transit Center,2019-03-12,08:50,Los Angeles,Union Station,0,1
248,49,San Francisco,Salesforce Transit Center,2019-03-12,10:40,Los Angeles,Union Station,0,1
249,50,San Francisco,Salesforce Transit Center,2019-03-12,11:10,Los Angeles,Union Station,0,1
250,48,San Francisco,Salesforce Transit Center,2019-03-12,13:10,Los Angeles,Union Station,0,1
251,46,San Francisco,Salesforce Transit Center,2019-03-12,14:10,Los Angeles,Union Station,0,1
252,42,San Francisco,Salesforce Transit Center,2019-03-12,16:20,Los Angeles,Union Station,0,1
253,49,San Francisco,Salesforce Transit Center,2019-03-12,17:50,Los Angeles,Union Station,0,1
254,51,San Francisco,Salesforce Transit Center,2019-03-12,07:00,Los Angeles,Union Station,0,3
255,47,San Francisco,Salesforce Transit Center,2019-03-12,07:40,Los Angeles,Union Station,0,3
256,43,San Francisco,Salesforce Transit Center,2019-03-12,08:40,Los Angeles,Union Station,0,3
257,48,San Francisco,Salesforce Transit Center,2019-03-12,08:50,Los Angeles,Union Station,0,3
258,49,San Francisco,Salesforce Transit Center,2019-03-12,10:40,Los Angeles,Union Station,0,3
259,50,San Francisco,Salesforce Transit Center,2019-03-12,11:10,Los Angeles,Union Station,0,3
260,48,San Francisco,Salesforce Transit Center,2019-03-12,13:10,Los Angeles,Union Station,0,3
261,46,San Francisco,Salesforce Transit Center,2019-03-12,14:10,Los Angeles,Union Station,0,3
262,42,San Francisco,Salesforce Transit Center,2019-03-12,16:20,Los Angeles,Union Station,0,3
263,49,San Francisco,Salesforce Transit Center,2019-03-12,17:50,Los Angeles,Union Station,0,3
264,31,Philadelphia,Intercity Terminal,2019-03-10,07:30,Washington,Union Station,0,1
265,31,Philadelphia,Intercity Terminal,2019-03-10,07:50,Washington,Union Station,0,1
266,31,Philadelphia,Intercity Terminal,2019-03-10,08:20,Washington,Union Station,0,1
267,30,Philadelphia,Intercity Terminal,2019-03-10,10:00,Washington,Union Station,0,1
268,29,Philadelphia,Intercity Terminal,2019-03-10,10:50,Washington,Union Station,0,1
269,34,Philadelphia,Intercity Terminal,2019-03-10,15:20,Washington,Union Station,0,1
270,33,Philadelphia,Intercity Terminal,2019-03-10,16:50,Washington,Union Station,0,1
271,29,Philadelphia,Intercity Terminal,2019-03-10,19:10,Washington,Union Station,0,1
272,28,Los Angeles,Union Station,2019-03-05,07:40,San Diego,Santa Fe Depot,0,1
273,30,Los Angeles,Union Station,2019-03-05,07:50,San Diego,Santa Fe Depot,0,1
274,28,Los Angeles,Union Station,2019-03-05,09:20,San Diego,Santa Fe Depot,0,1
275,27,Los Angeles,Union Station,2019-03-05,10:50,San Diego,Santa Fe Depot,0,1
276,24,Los Angeles,Union Station,2019-03-05,11:20,San Diego,Santa Fe Depot,0,1
277,24,Los Angeles,Union Station,2019-03-05,14:20,San Diego,Santa Fe Depot,0,1
278,23,Los Angeles,Union Station,2019-03-05,15:00,San Diego,Santa Fe Depot,0,1
279,24,Los Angeles,Union Station,2019-03-05,16:40,San Diego,Santa Fe Depot,0,1
280,28,Los Angeles,Union Station,2019-03-05,16:50,San Diego,Santa Fe Depot,0,1
281,25,Los Angeles,Union Station,2019-03-05,18:10,San Diego,Santa Fe Depot,0,1
282,28,Los Angeles,Union Station,2019-03-05,07:40,San Diego,Santa Fe Depot,0,3
283,30,Los Angeles,Union Station,2019-03-05,07:50,San Diego,Santa Fe Depot,0,3
284,28,Los Angeles,Union Station,2019-03-05,09:20,San Diego,Santa Fe Depot,0,3
285,27,Los Angeles,Union Station,2019-03-05,10:50,San Diego,Santa Fe Depot,0,3
286,24,Los Angeles,Union Station,2019-03-05,11:20,San Diego,Santa Fe Depot,0,3
