,airlines,departure_date,destination,destination_airport,fare,is_redeye,number_stops,origin,origin_airport,outbound_arrival_time,outbound_departure_time,passengers,seating_class,inbound_arrival_time,inbound_departure_time,return_date
77,Alaska Airlines,2019-03-02,London,Heathrow International Airport,306,True,1,San Diego,SAN International Airport,06:04,08:00,1,Economy,,,
78,Delta Airlines,2019-03-02,London,Heathrow International Airport,325,True,1,San Diego,SAN International Airport,18:14,17:00,1,Economy,,,
79,American Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,428,True,1,Atlanta,Hartsfield-Jackson International Airport,19:09,09:35,1,Economy,,,
80,Delta Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,376,True,1,Atlanta,Hartsfield-Jackson International Airport,09:04,07:50,1,Economy,,,
81,Southwest Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,427,True,1,Atlanta,Hartsfield-Jackson International Airport,20:39,13:30,1,Economy,,,
82,United Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,369,True,1,Atlanta,Hartsfield-Jackson International Airport,09:04,06:15,1,Economy,,,
83,Alaska Airlines,2019-03-12,San Francisco,SFO International Airport,97,False,0,Los Angeles,LAX International Airport,19:15,17:50,1,Economy,,,
84,American Airlines,2019-03-12,San Francisco,SFO International Airport,89,False,0,Los Angeles,LAX International Airport,07:55,06:30,1,Economy,,,
85,Delta Airlines,2019-03-12,San Francisco,SFO International Airport,80,False,0,Los Angeles,LAX International Airport,10:40,09:15,1,Economy,,,
86,Southwest Airlines,2019-03-12,San Francisco,SFO International Airport,77,False,0,Los Angeles,LAX International Airport,23:45,22:20,1,Economy,,,
87,United Airlines,2019-03-12,San Francisco,SFO International Airport,173,False,1,Los Angeles,LAX International Airport,11:30,08:05,1,Economy,,,
88,Air Canada,2019-03-04,San Francisco,SFO International Airport,283,False,1,Toronto,Toronto Pearson International Airport,21:12,16:40,1,Economy,,,
89,Alaska Airlines,2019-03-03,Delhi,Indira Gandhi International Airport,399,True,1,San Francisco,SFO International Airport,09:04,04:30,1,Economy,,,
90,American Airlines,2019-03-03,Delhi,Indira Gandhi International Airport,292,True,0,San Francisco,SFO International Airport,16:07,13:15,1,Economy,,,
91,Delta Airlines,2019-03-03,Delhi,Indira Gandhi International Airport,418,True,1,San Francisco,SFO International Airport,18:30,10:55,1,Economy,,,
92,Southwest Airlines,2019-03-03,Delhi,Indira Gandhi International Airport,347,True,1,San Francisco,SFO International Airport,20:39,12:50,1,Economy,,,
93,United Airlines,2019-03-03,Delhi,Indira Gandhi International Airport,350,True,1,San Francisco,SFO International Airport,20:39,11:55,1,Economy,,,
94,American Airlines,2019-03-03,Delhi,Indira Gandhi International Airport,368,True,1,New York,JFK International Airport,09:04,05:25,1,Economy,,,
95,Delta Airlines,2019-03-03,Delhi,Indira Gandhi International Airport,226,True,0,New York,JFK International Airport,05:35,10:00,1,Economy,,,
96,Air Canada,2019-03-13,Philadelphia,PHL International Airport,208,True,1,Toronto,Toronto Pearson International Airport,00:16,16:40,1,Economy,,,
97,Delta Airlines,2019-03-14,Mexico City,Benito Juarez International Airport,153,False,0,New York,JFK International Airport,23:16,20:45,1,Economy,,,
98,Southwest Airlines,2019-03-14,Mexico City,Benito Juarez International Airport,129,False,0,New York,JFK International Airport,11:06,08:35,1,Economy,,,
99,United Airlines,2019-03-14,Mexico City,Benito Juarez International Airport,259,True,1,New York,JFK International Airport,00:44,19:25,1,Economy,,,
100,American Airlines,2019-03-06,Portland,PDX International Airport,153,False,0,Phoenix,Sky Harbor International Airport,16:00,13:05,1,Economy,,,
101,Delta Airlines,2019-03-06,Portland,PDX International Airport,145,True,0,Phoenix,Sky Harbor International Airport,01:10,22:15,1,Economy,,,
102,Southwest Airlines,2019-03-06,Portland,PDX International Airport,239,False,1,Phoenix,Sky Harbor International Airport,09:55,04:20,1,Economy,,,
103,United Airlines,2019-03-06,Portland,PDX International Airport,135,False,0,Phoenix,Sky Harbor International Airport,21:05,18:10,1,Economy,,,
104,American Airlines,2019-03-14,San Francisco,SFO International Airport,133,False,0,Phoenix,Sky Harbor International Airport,08:22,06:15,1,Economy,,,
105,Delta Airlines,2019-03-14,San Francisco,SFO International Airport,125,False,0,Phoenix,Sky Harbor International Airport,14:02,11:55,1,Economy,,,
106,Southwest Airlines,2019-03-14,San Francisco,SFO International Airport,120,False,0,Phoenix,Sky Harbor International Airport,08:07,06:00,1,Economy,,,
107,United Airlines,2019-03-14,San Francisco,SFO International Airport,130,True,0,Phoenix,Sky Harbor International Airport,01:57,23:50,1,Economy,,,
108,American Airlines,2019-03-10,San Francisco,SFO International Airport,123,False,0,Phoenix,Sky Harbor International Airport,08:22,06:15,1,Economy,,,
109,Delta Airlines,2019-03-10,San Francisco,SFO International Airport,130,False,0,Phoenix,Sky Harbor International Airport,14:02,11:55,1,Economy,,,
110,Southwest Airlines,2019-03-10,San Francisco,SFO International Airport,99,False,0,Phoenix,Sky Harbor International Airport,21:22,19:15,1,Economy,,,
111,Delta Airlines,2019-03-01,Nairobi,Jomo Kenyatta International Airport,439,True,1,Chicago,O'Hare International Airport,17:57,09:15,2,Economy,,,
112,Air Canada,2019-03-05,Seattle,Seattle-Tacoma International Airport,273,True,1,Vancouver,YVR International Airport,00:27,16:45,1,Economy,,,
113,Delta Airlines,2019-03-05,Seattle,Seattle-Tacoma International Airport,234,False,1,Vancouver,YVR International Airport,22:56,17:05,1,Economy,,,
114,United Airlines,2019-03-05,Seattle,Seattle-Tacoma International Airport,218,False,1,Vancouver,YVR International Airport,22:56,18:05,1,Economy,,,
115,American Airlines,2019-03-01,London,Heathrow International Airport,203,True,0,New York,JFK International Airport,06:37,18:15,3,Economy,,,
116,Delta Airlines,2019-03-01,London,Heathrow International Airport,238,True,0,New York,JFK International Airport,06:42,18:20,3,Economy,,,
117,Southwest Airlines,2019-03-01,London,Heathrow International Airport,267,True,0,New York,JFK International Airport,04:57,16:35,3,Economy,,,
118,United Airlines,2019-03-01,London,Heathrow International Airport,346,True,1,New York,JFK International Airport,10:14,14:40,3,Economy,,,
119,American Airlines,2019-03-01,Toronto,Toronto Pearson International Airport,89,False,0,Washington,Dulles International Airport,19:05,17:40,4,Economy,,,
120,Southwest Airlines,2019-03-01,Toronto,Toronto Pearson International Airport,103,False,0,Washington,Dulles International Airport,06:05,04:40,4,Economy,,,
121,American Airlines,2019-03-01,Chicago,O'Hare International Airport,91,False,0,Toronto,Toronto Pearson International Airport,06:33,05:55,1,Economy,,,
122,British Airways,2019-03-02,New York,JFK International Airport,188,False,0,London,Heathrow International Airport,13:37,09:15,4,Economy,,,
123,Delta Airlines,2019-03-02,New York,JFK International Airport,220,False,0,London,Heathrow International Airport,19:57,15:35,4,Economy,,,
124,United Airlines,2019-03-02,New York,JFK International Airport,232,False,0,London,Heathrow International Airport,04:47,00:25,4,Economy,,,
125,Air France,2019-03-13,Seattle,Seattle-Tacoma International Airport,399,False,1,Paris,Charles de Gaulle International Airport,12:15,03:55,1,Economy,,,
126,Alaska Airlines,2019-03-06,Chicago,O'Hare International Airport,142,False,0,San Francisco,SFO International Airport,20:22,13:35,1,Economy,,,
127,American Airlines,2019-03-06,Chicago,O'Hare International Airport,257,True,1,San Francisco,SFO International Airport,01:47,16:25,1,Economy,,,
128,Delta Airlines,2019-03-06,Chicago,O'Hare International Airport,164,True,0,San Francisco,SFO International Airport,04:52,22:05,1,Economy,,,
129,Southwest Airlines,2019-03-06,Chicago,O'Hare International Airport,311,True,1,San Francisco,SFO International Airport,06:20,20:45,1,Economy,,,
130,United Airlines,2019-03-06,Chicago,O'Hare International Airport,166,True,0,San Francisco,SFO International Airport,04:07,21:20,1,Economy,,,
131,Southwest Airlines,2019-03-09,Atlanta,Hartsfield-Jackson International Airport,146,True,0,Phoenix,Sky Harbor International Airport,06:07,22:55,1,Economy,,,
132,Alaska Airlines,2019-03-02,Toronto,Toronto Pearson International Airport,262,False,1,Seattle,Seattle-Tacoma International Airport,18:58,08:25,1,Economy,,,
133,American Airlines,2019-03-02,Toronto,Toronto Pearson International Airport,300,False,1,Seattle,Seattle-Tacoma International Airport,20:44,08:15,1,Economy,,,
134,Delta Airlines,2019-03-02,Toronto,Toronto Pearson International Airport,300,False,1,Seattle,Seattle-Tacoma International Airport,20:44,08:45,1,Economy,,,
135,Southwest Airlines,2019-03-02,Toronto,Toronto Pearson International Airport,280,False,1,Seattle,Seattle-Tacoma International Airport,14:38,04:25,1,Economy,,,
136,United Airlines,2019-03-02,Toronto,Toronto Pearson International Airport,462,False,1,Seattle,Seattle-Tacoma International Airport,21:54,10:10,1,Premium Economy,,,
137,American Airlines,2019-03-04,Las Vegas,McCarran International Airport,415,False,1,Kuala Lumpur,KLIA International Airport,21:35,13:45,2,Economy,,,
138,Delta Airlines,2019-03-04,Las Vegas,McCarran International Airport,385,False,1,Kuala Lumpur,KLIA International Airport,07:40,00:15,2,Economy,,,
139,United Airlines,2019-03-03,Paris,Charles de Gaulle International Airport,323,True,1,Chicago,O'Hare International Airport,13:37,15:15,1,Economy,,,
140,Alaska Airlines,2019-03-12,San Francisco,SFO International Airport,99,False,0,San Diego,SAN International Airport,12:50,11:10,1,Economy,,,
141,American Airlines,2019-03-12,San Francisco,SFO International Airport,102,False,0,San Diego,SAN International Airport,23:00,21:20,1,Economy,,,
142,Delta Airlines,2019-03-12,San Francisco,SFO International Airport,111,False,0,San Diego,SAN International Airport,21:35,19:55,1,Economy,,,
143,Southwest Airlines,2019-03-12,San Francisco,SFO International Airport,114,False,0,San Diego,SAN International Airport,08:40,07:00,1,Economy,,,
144,United Airlines,2019-03-12,San Francisco,SFO International Airport,105,False,0,San Diego,SAN International Airport,09:00,07:20,1,Economy,,,
145,Alaska Airlines,2019-03-06,Portland,PDX International Airport,144,False,0,Los Angeles,LAX International Airport,09:55,07:25,1,Economy,,,
146,American Airlines,2019-03-06,Portland,PDX International Airport,127,True,0,Los Angeles,LAX International Airport,01:45,23:15,1,Economy,,,
147,Delta Airlines,2019-03-06,Portland,PDX International Airport,139,True,0,Los Angeles,LAX International Airport,00:20,21:50,1,Economy,,,
148,Southwest Airlines,2019-03-06,Portland,PDX International Airport,122,False,0,Los Angeles,LAX International Airport,19:00,16:30,1,Economy,,,
149,United Airlines,2019-03-06,Portland,PDX International Airport,201,False,1,Los Angeles,LAX International Airport,14:13,08:55,1,Economy,,,
150,American Airlines,2019-03-07,Los Angeles,LAX International Airport,71,False,0,Las Vegas,McCarran International Airport,10:40,09:30,1,Economy,,,
151,Delta Airlines,2019-03-07,Los Angeles,LAX International Airport,91,False,0,Las Vegas,McCarran International Airport,13:30,12:20,1,Economy,,,
152,Southwest Airlines,2019-03-07,Los Angeles,LAX International Airport,74,False,0,Las Vegas,McCarran International Airport,15:45,14:35,1,Economy,,,
153,United Airlines,2019-03-07,Los Angeles,LAX International Airport,87,False,0,Las Vegas,McCarran International Airport,13:15,12:05,1,Economy,,,
154,Delta Airlines,2019-03-04,San Diego,SAN International Airport,258,False,1,Atlanta,Hartsfield-Jackson International Airport,22:55,18:55,1,Economy,,,
155,American Airlines,2019-03-14,New York,JFK International Airport,125,False,0,Chicago,O'Hare International Airport,15:49,12:30,2,Economy,,,
156,Delta Airlines,2019-03-14,New York,JFK International Airport,132,False,0,Chicago,O'Hare International Airport,12:34,09:15,2,Economy,,,
157,Southwest Airlines,2019-03-14,New York,JFK International Airport,135,False,0,Chicago,O'Hare International Airport,10:09,06:50,2,Economy,,,
158,United Airlines,2019-03-14,New York,JFK International Airport,118,True,0,Chicago,O'Hare International Airport,00:19,21:00,2,Economy,,,
159,Alaska Airlines,2019-03-04,San Diego,SAN International Airport,113,False,0,San Francisco,SFO International Airport,07:50,06:10,1,Economy,,,
160,Delta Airlines,2019-03-04,San Diego,SAN International Airport,110,False,0,San Francisco,SFO International Airport,23:25,21:45,1,Economy,,,
161,Southwest Airlines,2019-03-04,San Diego,SAN International Airport,114,False,0,San Francisco,SFO International Airport,18:50,17:10,1,Economy,,,
162,United Airlines,2019-03-04,San Diego,SAN International Airport,111,False,0,San Francisco,SFO International Airport,08:20,06:40,1,Economy,,,
163,American Airlines,2019-03-11,Portland,PDX International Airport,237,False,0,Phoenix,Sky Harbor International Airport,16:00,13:05,4,Premium Economy,,,
164,Alaska Airlines,2019-03-11,Paris,Charles de Gaulle International Airport,255,True,0,San Francisco,SFO International Airport,20:13,22:05,1,Economy,,,
165,American Airlines,2019-03-11,Paris,Charles de Gaulle International Airport,312,True,0,San Francisco,SFO International Airport,08:53,10:45,1,Economy,,,
166,Delta Airlines,2019-03-11,Paris,Charles de Gaulle International Airport,395,True,1,San Francisco,SFO International Airport,13:37,10:55,1,Economy,,,
167,Southwest Airlines,2019-03-11,Paris,Charles de Gaulle International Airport,336,True,1,San Francisco,SFO International Airport,07:58,06:45,1,Economy,,,
168,United Airlines,2019-03-11,Paris,Charles de Gaulle International Airport,446,True,1,San Francisco,SFO International Airport,06:17,05:50,1,Economy,,,
169,Southwest Airlines,2019-03-03,Toronto,Toronto Pearson International Airport,106,False,0,Washington,Dulles International Airport,06:05,04:40,1,Economy,,,
170,American Airlines,2019-03-04,Delhi,Indira Gandhi International Airport,321,True,1,Las Vegas,McCarran International Airport,20:39,10:55,2,Economy,,,
171,Southwest Airlines,2019-03-04,Delhi,Indira Gandhi International Airport,329,True,1,Las Vegas,McCarran International Airport,20:39,14:35,2,Economy,,,
172,Southwest Airlines,2019-03-01,Phoenix,Sky Harbor International Airport,89,False,0,Las Vegas,McCarran International Airport,19:39,18:25,1,Economy,,,
173,American Airlines,2019-03-10,Los Angeles,LAX International Airport,80,False,0,Las Vegas,McCarran International Airport,10:40,09:30,1,Economy,,,
174,Delta Airlines,2019-03-10,Los Angeles,LAX International Airport,87,False,0,Las Vegas,McCarran International Airport,22:50,21:40,1,Economy,,,
175,Southwest Airlines,2019-03-10,Los Angeles,LAX International Airport,84,False,0,Las Vegas,McCarran International Airport,15:45,14:35,1,Economy,,,
176,United Airlines,2019-03-10,Los Angeles,LAX International Airport,97,False,0,Las Vegas,McCarran International Airport,13:15,12:05,1,Economy,,,
177,American Airlines,2019-03-05,Nairobi,Jomo Kenyatta International Airport,346,True,1,Philadelphia,PHL International Airport,17:57,16:45,1,Economy,,,
178,Delta Airlines,2019-03-05,Nairobi,Jomo Kenyatta International Airport,342,True,1,Philadelphia,PHL International Airport,17:57,16:40,1,Economy,,,
179,Southwest Airlines,2019-03-05,Nairobi,Jomo Kenyatta International Airport,331,True,1,Philadelphia,PHL International Airport,10:07,07:45,1,Economy,,,
180,United Airlines,2019-03-05,Nairobi,Jomo Kenyatta International Airport,319,True,1,Philadelphia,PHL International Airport,10:07,04:45,1,Economy,,,
181,Delta Airlines,2019-03-07,San Francisco,SFO International Airport,237,False,1,Toronto,Toronto Pearson International Airport,14:22,07:15,1,Economy,,,
182,Delta Airlines,2019-03-07,Seattle,Seattle-Tacoma International Airport,197,False,0,Atlanta,Hartsfield-Jackson International Airport,18:52,16:20,1,Economy,,,
183,American Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,108,False,0,Chicago,O'Hare International Airport,23:41,20:40,3,Economy,,,
184,Delta Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,100,False,0,Chicago,O'Hare International Airport,11:31,08:30,3,Economy,,,
185,United Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,130,False,0,Chicago,O'Hare International Airport,23:21,20:20,3,Economy,,,
186,Alaska Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,252,False,1,San Francisco,SFO International Airport,23:41,13:35,3,Economy,,,
187,American Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,234,True,1,San Francisco,SFO International Airport,01:24,15:50,3,Economy,,,
188,Delta Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,194,False,0,San Francisco,SFO International Airport,18:31,10:05,3,Economy,,,
189,Southwest Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,291,False,1,San Francisco,SFO International Airport,17:19,07:10,3,Economy,,,
190,United Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,202,False,0,San Francisco,SFO International Airport,18:41,10:15,3,Economy,,,
191,United Airlines,2019-03-01,Washington,Dulles International Airport,90,False,0,New York,JFK International Airport,06:20,05:10,1,Economy,,,
192,British Airways,2019-03-02,Washington,Dulles International Airport,254,False,1,London,Heathrow International Airport,18:25,09:15,1,Economy,,,
193,Delta Airlines,2019-03-02,Washington,Dulles International Airport,313,False,1,London,Heathrow International Airport,17:48,08:00,1,Economy,,,
194,United Airlines,2019-03-02,Washington,Dulles International Airport,300,False,1,London,Heathrow International Airport,06:20,00:25,1,Economy,,,
