,check_in_date,destination,has_wifi,hotel_name,number_of_days,number_of_rooms,phone_number,price_per_night,star_rating,street_address
123,,Kuala Lumpur,False,Alila Bangsar,,3,+60 3-2268 3888,465,5,"East Side, 58, Jalan Ang Seng, Brickfields, 50470"
124,,Kuala Lumpur,False,Aloft Kuala Lumpur Sentral,,2,+60 3-2723 1188,256,4,"No. 5, Jalan Stesen Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan"
125,,Kuala Lumpur,False,Ancasa Hotel & Spa Kuala Lumpur,,3,+60 3-2026 6060,279,3,"Jalan Tun Tan Cheng Lock, City Centre, 50500 Kuala Lumpur, Wilayah Persekutuan"
126,,Kuala Lumpur,False,Arenaa Star Hotel,,1,+60 3-2078 0988,114,3,"49-51, Jalan Hang Lekiu, 50100"
127,,Kuala Lumpur,False,Banyan Tree Kuala Lumpur,,1,+60 3-2113 1888,135,5,"2, Jalan Conlay, 50450 Kuala Lumpur, Wilayah Persekutuan"
128,,Kuala Lumpur,False,Citin Hotel Masjid Jamek,,3,+60 3-2693 2999,288,3,"33, Jalan Melayu, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan"
129,,Kuala Lumpur,False,Cititel Mid Valley,,3,+60 3-2296 1188,243,3,"Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan"
130,,Kuala Lumpur,False,Concorde Hotel Kuala Lumpur,,1,+60 3-2144 2200,132,4,"2, Jalan Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan"
131,,Kuala Lumpur,False,Container Hotel,,2,+60 12-702 2851,148,2,"Jalan Delima, Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan"
132,,Kuala Lumpur,False,Corus Hotel Kuala Lumpur,,1,+60 3-2161 8888,124,4,"Jalan Ampang, Hampshire Park, 50450 Kuala Lumpur, Wilayah Persekutuan"
133,2019-03-08,New York,True,1 Hotel Central Park,4,2,+1 212-703-2001,420,5,1414 6th Avenue
134,,Delhi,False,Aloft New Delhi Aerocity,,1,+91 11 4565 0000,152,4,"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi"
135,,Delhi,False,Andaz Delhi - A Concept By Hyatt,,1,+91 11 4903 1234,135,5,"Asset, Street Number 1, New Delhi"
136,,Delhi,False,Bloomrooms @ New Delhi Railway Station,,2,+91 11 4122 5666,192,3,"8591, Arakashan Road, Opp New Delhi Railway Station, New Delhi"
137,,Delhi,False,Calista Resort,,3,+91 11 4103 4591,342,3,"37/2-4 Old, National Highway 48, Kapas Hera, New Delhi"
138,,Delhi,False,Crowne Plaza New Delhi Mayur Vihar Noida,,2,+91 11 4110 2222,240,4,"13 B, District Centre, Mayur Vihar, New Delhi"
139,,Delhi,False,Crowne Plaza New Delhi Okhla,,1,+91 11 4646 2000,175,5,"Plot No 1, Community Center, Okhla Phase I, New Delhi"
140,,Delhi,False,Deemarks Hotel & Resorts Conference Venues Corporate Event In Mahipalpur Near Airport In South Delhi,,3,+91 11 2506 0721,225,3,"Shiv Murti, Nh-8, Delhi - Jaipur Expressway, Rangpuri, New Delhi"
141,,Delhi,False,"Four Points By Sheraton New Delhi, Airport Highway",,1,+91 11 6604 0000,80,4,"Plot no 9, National Highway - 8, Samalka, New Delhi"
142,,Delhi,False,Haveli Dharampura,,2,+91 11 2326 1000,200,4,"Haveli Dharampura, 2293, Gali Gulian, Chandni Chowk, New Delhi"
143,,Delhi,False,Hilton Garden Inn New Delhi/Saket,,3,+91 11 3919 1919,384,4,"A4, DLF Place, Saket District Centre, New Delhi"
144,,Delhi,False,Aloft New Delhi Aerocity,,1,+91 11 4565 0000,152,1,"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi"
145,,Delhi,False,Andaz Delhi - A Concept By Hyatt,,1,+91 11 4903 1234,135,1,"Asset, Street Number 1, New Delhi"
146,,Delhi,False,Bloomrooms @ New Delhi Railway Station,,2,+91 11 4122 5666,192,1,"8591, Arakashan Road, Opp New Delhi Railway Station, New Delhi"
147,,Delhi,False,Calista Resort,,3,+91 11 4103 4591,342,1,"37/2-4 Old, National Highway 48, Kapas Hera, New Delhi"
148,,Delhi,False,Crowne Plaza New Delhi Mayur Vihar Noida,,2,+91 11 4110 2222,240,1,"13 B, District Centre, Mayur Vihar, New Delhi"
149,,Delhi,False,Crowne Plaza New Delhi Okhla,,1,+91 11 4646 2000,175,1,"Plot No 1, Community Center, Okhla Phase I, New Delhi"
150,,Delhi,False,Deemarks Hotel & Resorts Conference Venues Corporate Event In Mahipalpur Near Airport In South Delhi,,3,+91 11 2506 0721,225,1,"Shiv Murti, Nh-8, Delhi - Jaipur Expressway, Rangpuri, New Delhi"
151,,Delhi,False,"Four Points By Sheraton New Delhi, Airport Highway",,1,+91 11 6604 0000,80,1,"Plot no 9, National Highway - 8, Samalka, New Delhi"
152,,Delhi,False,Haveli Dharampura,,2,+91 11 2326 1000,200,1,"Haveli Dharampura, 2293, Gali Gulian, Chandni Chowk, New Delhi"
153,,Delhi,False,Hilton Garden Inn New Delhi/Saket,,3,+91 11 3919 1919,384,1,"A4, DLF Place, Saket District Centre, New Delhi"
154,2019-03-08,Delhi,False,Andaz Delhi - A Concept By Hyatt,4,1,+91 11 4903 1234,135,1,"Asset, Street Number 1, New Delhi"
155,2019-03-06,New York,True,11 Howard,2,1,+1 212-235-1111,168,3,11 Howard Street
156,,San Francisco,True,Amsterdam Hostel San Francisco,,2,+1 415-673-3277,46,1,749 Taylor Street
157,,San Francisco,True,Bei Hotel San Francisco,,3,+1 415-626-6103,261,3,50 8th Street
158,,San Francisco,True,Beresford Arms Hotel,,3,+1 415-673-2600,306,3,701 Post Street
159,,San Francisco,True,Chelsea,,2,+1 415-563-5600,100,2,2095 Lombard Street
160,,San Francisco,True,Cornell Hotel De France,,3,+1 415-421-3154,270,3,715 Bush Street
161,,San Francisco,True,Argonaut Hotel,,2,+1 415-563-0800,248,1,495 Jefferson Street
162,,San Francisco,True,Beck'S Motor Lodge,,2,+1 415-621-8212,132,1,2222 Market Street
163,,San Francisco,True,Bei Hotel San Francisco,,2,+1 415-626-6103,261,1,50 8th Street
164,,San Francisco,True,Beresford Arms Hotel,,2,+1 415-673-2600,306,1,701 Post Street
165,,San Francisco,True,Casa Loma Hotel,,2,+1 415-552-7100,210,1,610 Fillmore Street
166,,San Francisco,True,Chancellor Hotel On Union Square,,2,+1 415-362-2004,174,1,433 Powell Street
167,,San Francisco,True,Chelsea,,2,+1 415-563-5600,100,1,2095 Lombard Street
168,,San Francisco,True,Comfort Inn By The Bay,,2,+1 415-928-5000,204,1,2775 Van Ness Avenue
169,,San Francisco,True,Argonaut Hotel,,1,+1 415-563-0800,88,1,495 Jefferson Street
170,,San Francisco,True,Beck'S Motor Lodge,,1,+1 415-621-8212,50,1,2222 Market Street
171,,San Francisco,True,Bei Hotel San Francisco,,1,+1 415-626-6103,261,1,50 8th Street
172,,San Francisco,True,Beresford Arms Hotel,,1,+1 415-673-2600,306,1,701 Post Street
173,,San Francisco,True,Casa Loma Hotel,,1,+1 415-552-7100,62,1,610 Fillmore Street
174,,San Francisco,True,Chancellor Hotel On Union Square,,1,+1 415-362-2004,105,1,433 Powell Street
175,,San Francisco,True,Chelsea,,1,+1 415-563-5600,100,1,2095 Lombard Street
176,2019-03-11,San Francisco,True,Beck'S Motor Lodge,2,1,+1 415-621-8212,50,1,2222 Market Street
177,2019-03-04,London,False,45 Park Lane,4,1,+44 20 7493 4545,190,5,45 Park Lane
178,,Chicago,True,Ac Hotel By Marriott Chicago Downtown,,3,+1 312-981-6600,216,3,630 North Rush Street
179,,Chicago,True,Ace Hotel Chicago,,1,+1 312-764-1919,112,3,311 North Morgan Street
180,,Chicago,True,Acme Hotel Company Chicago,,2,+1 312-894-0800,150,3,15 East Ohio Street
181,,Chicago,True,Aloft Chicago Downtown River North,,3,+1 312-661-1000,315,3,515 North Clark Street
182,,Chicago,True,Aloft Chicago Mag Mile,,1,+1 312-429-6600,78,3,243 East Ontario Street
183,,Chicago,True,Ambassador Chicago,,2,+1 888-506-3471,296,3,1301 North State Parkway
184,,Chicago,True,Best Western River North Hotel,,3,+1 312-467-0800,180,3,125 West Ohio Street
185,,Chicago,True,Cambria Hotel Chicago Magnificent Mile,,3,+1 312-787-6000,360,3,166 East Superior Street
186,,Chicago,True,Chicago Athletic Association,,1,+1 312-940-3552,92,3,12 South Michigan Avenue
187,,Chicago,True,Chicago Lake Shore Hotel,,3,+1 773-288-5800,288,3,"3250, 4900B South Lake Shore Drive"
188,,Chicago,True,Ace Hotel Chicago,,3,+1 312-764-1919,300,3,311 North Morgan Street
189,,Chicago,True,Acme Hotel Company Chicago,,3,+1 312-894-0800,207,3,15 East Ohio Street
190,,Chicago,True,Aloft Chicago Mag Mile,,3,+1 312-429-6600,252,3,243 East Ontario Street
191,,Chicago,True,Ambassador Chicago,,3,+1 888-506-3471,420,3,1301 North State Parkway
192,,Chicago,True,Chicago Athletic Association,,3,+1 312-940-3552,252,3,12 South Michigan Avenue
193,2019-03-06,Chicago,True,Ace Hotel Chicago,2,3,+1 312-764-1919,300,3,311 North Morgan Street
194,,New York,True,1 Hotel Brooklyn Bridge,,2,+1 833-625-6111,232,4,"60 Furman Street, Brooklyn"
195,,New York,True,1 Hotel Central Park,,2,+1 212-703-2001,495,5,1414 6th Avenue
196,,New York,True,Ace Hotel,,2,+1 212-991-0551,468,4,20 West 29th Street
197,,New York,True,Aka Central Park,,2,+1 646-744-3100,168,4,42 West 58th Street
198,,New York,True,Aka Times Square,,2,+1 212-764-5700,216,4,123 West 44th Street
199,,New York,True,Aka Wall Street,,2,+1 212-252-9090,312,4,84 William Street
200,2019-03-02,New York,True,1 Hotel Central Park,1,2,+1 212-703-2001,495,5,1414 6th Avenue
201,,Phoenix,True,Aloft Phoenix-Airport,,3,+1 602-275-6300,180,3,4450 East Washington Street
202,,Phoenix,True,Arizona Grand Resort & Spa,,2,+1 602-426-2638,208,4,8000 Arizona Grand Parkway
203,,Phoenix,True,Cambria Hotel North Scottsdale Desert Ridge,,2,+1 480-585-6644,204,3,4425 E Irma Ln&nbsp
204,,Phoenix,True,Comfort Suites Phoenix North,,2,+1 602-861-3900,116,2,10210 North 26th Drive
205,,Phoenix,True,Courtyard By Marriott Phoenix Downtown,,3,+1 602-603-2001,324,3,132 South Central Avenue
206,,Phoenix,True,Crowne Plaza Phoenix Airport,,3,+1 602-273-7778,207,3,4300 East Washington Street
207,,Phoenix,True,Days Inn By Wyndham Airport - Phoenix,,1,+1 800-615-3107,58,2,2900 East Van Buren Street
208,,Phoenix,True,Doubletree Suites By Hilton Hotel Phoenix,,3,+1 602-225-0500,261,3,320 North 44th Street
209,,Phoenix,True,Drury Inn & Suites Phoenix Airport,,1,+1 602-437-8400,72,3,3333 East University Drive
210,,Phoenix,True,Drury Inn & Suites Phoenix Happy Valley,,1,+1 623-879-8800,117,3,2335 West Pinnacle Peak Road
211,,Phoenix,True,Aloft Phoenix-Airport,,3,+1 602-275-6300,180,2,4450 East Washington Street
212,,Phoenix,True,Arizona Grand Resort & Spa,,2,+1 602-426-2638,208,2,8000 Arizona Grand Parkway
213,,Phoenix,True,Cambria Hotel North Scottsdale Desert Ridge,,2,+1 480-585-6644,204,2,4425 E Irma Ln&nbsp
214,,Phoenix,True,Courtyard By Marriott Phoenix Downtown,,3,+1 602-603-2001,324,2,132 South Central Avenue
215,,Phoenix,True,Crowne Plaza Phoenix Airport,,3,+1 602-273-7778,207,2,4300 East Washington Street
216,,Phoenix,True,Doubletree Suites By Hilton Hotel Phoenix,,3,+1 602-225-0500,261,2,320 North 44th Street
217,,Phoenix,True,Drury Inn & Suites Phoenix Airport,,1,+1 602-437-8400,72,2,3333 East University Drive
218,,Phoenix,True,Drury Inn & Suites Phoenix Happy Valley,,1,+1 623-879-8800,117,2,2335 West Pinnacle Peak Road
219,2019-03-09,Phoenix,True,Cambria Hotel North Scottsdale Desert Ridge,4,1,+1 480-585-6644,204,2,4425 E Irma Ln&nbsp
220,,Delhi,False,Bloomrooms @ New Delhi Railway Station,,1,+91 11 4122 5666,192,3,"8591, Arakashan Road, Opp New Delhi Railway Station, New Delhi"
221,,Delhi,False,Calista Resort,,1,+91 11 4103 4591,342,3,"37/2-4 Old, National Highway 48, Kapas Hera, New Delhi"
222,,Delhi,False,Crowne Plaza New Delhi Mayur Vihar Noida,,1,+91 11 4110 2222,240,4,"13 B, District Centre, Mayur Vihar, New Delhi"
223,,Delhi,False,Deemarks Hotel & Resorts Conference Venues Corporate Event In Mahipalpur Near Airport In South Delhi,,1,+91 11 2506 0721,225,3,"Shiv Murti, Nh-8, Delhi - Jaipur Expressway, Rangpuri, New Delhi"
224,,Delhi,False,Haveli Dharampura,,1,+91 11 2326 1000,200,4,"Haveli Dharampura, 2293, Gali Gulian, Chandni Chowk, New Delhi"
225,,Delhi,False,Hilton Garden Inn New Delhi/Saket,,1,+91 11 3919 1919,384,4,"A4, DLF Place, Saket District Centre, New Delhi"
226,2019-03-03,Delhi,False,Aloft New Delhi Aerocity,4,1,+91 11 4565 0000,124,4,"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi"
227,2019-03-01,New York,True,1 Hotel Brooklyn Bridge,4,2,+1 833-625-6111,232,4,"60 Furman Street, Brooklyn"
228,2019-03-12,Paris,False,Ac Hotel By Marriott Paris Porte Maillot,1,1,+33 1 84 82 49 09,96,1,"6 Rue Gustave Charpentier, 75017"
229,,London,False,Ambassadors Hotel,,1,+44 20 7373 1075,189,3,16 Collingham Road
230,,London,False,45 Park Lane,,1,+44 20 7493 4545,190,2,45 Park Lane
