,destination,number_of_seats,ride_fare,ride_type,wait_time
158,2301 Camino Ramon,1,12.27,Pool,8
159,2400 Samaritan Drive #105,3,55.36,Luxury,11
160,10 Woodland Road,1,12.76,Pool,9
161,136 North San Mateo Drive #101,1,31.26,Luxury,10
162,9360 North Name Uno,1,16.18,Luxury,7
163,500 Alfred Nobel Drive #245,2,40.43,Luxury,7
164,2485 High School Street #111,3,24.39,Regular,7
165,"Sonoma Ave, # 44, 1820 Doctors Park Drive",1,8.53,Pool,3
166,200 Jose Figueres Avenue #240,2,20.31,Regular,6
167,45 Castro Street,3,24.04,Regular,5
168,5575 West Las Positas Boulevard,2,16.93,Pool,4
169,1580 Valencia Street #508,1,27.51,Luxury,9
170,2100 Webster Street suite 214,1,10.20,Pool,8
171,1479 Ygnacio Valley Road,3,18.50,Regular,7
172,2505 Samaritan Drive Suite 510,1,23.62,Regular,3
173,2101 Forest Avenue #124,1,24.61,Regular,7
174,2100 Webster Street #214,3,18.55,Regular,3
175,5 Main Street,3,19.88,Pool,5
176,168 South Murphy Avenue,2,41.52,Luxury,7
177,655 Redwood Highway Suite 100,4,34.86,Luxury,14
178,1479 Ygnacio Valley Road,2,33.38,Regular,5
179,4340 Redwood Highway Suite A-22,3,56.38,Luxury,10
180,3737 Lone Tree Way # A,1,11.77,Regular,5
181,Gibson,2,14.85,Pool,3
182,2301 Camino Ramon,1,19.05,Regular,6
183,122 La Casa Via,2,44.22,Luxury,11
184,Chandni Restaurant,2,21.35,Pool,7
185,3536 Mendocino Avenue #380,1,10.43,Regular,5
186,1174 Castro Street # 100,1,22.80,Regular,4
187,2961 Summit Street,3,35.52,Luxury,10
188,935 Trancas Street,2,37.79,Luxury,9
189,600 Nut Tree Road #260,1,24.02,Luxury,12
190,"Sonoma Ave, # 44, 1820 Doctors Park Drive",2,34.56,Regular,6
191,1580 Valencia Street #508,2,39.22,Luxury,10
192,601 Van Ness Avenue,2,46.03,Luxury,10
193,3117 16th St,2,36.76,Luxury,7
194,33 South Central Avenue,2,47.33,Luxury,14
195,524 Van Ness Avenue,2,42.12,Luxury,8
196,1419 Moraga Way,4,15.36,Pool,5
197,1888 Solano Avenue,3,25.39,Regular,6
198,1549 Gateway Boulevard,2,33.39,Regular,2
199,523 West 10th Street,2,22.33,Regular,2
200,3630 Balboa Street,2,11.68,Pool,5
201,25 Lusk Street,2,18.71,Pool,9
202,5800 Hollis Street,4,37.90,Luxury,12
203,283 North P Street,2,26.76,Regular,4
204,16 Mint Plaza,2,22.40,Pool,3
205,1027 Oliver Road,3,59.84,Luxury,11
206,221 University Avenue,3,21.22,Regular,7
207,2241 First Street,2,22.06,Pool,8
208,1603,2,20.75,Regular,3
209,33 South Central Avenue,4,63.72,Luxury,12
210,1419 Moraga Way,2,30.41,Luxury,9
211,1133 Solano Avenue,2,29.19,Luxury,11
212,1549 Gateway Boulevard,1,23.01,Luxury,13
213,350 Park Street,2,28.91,Regular,4
214,1875 South Bascom Avenue,2,31.24,Regular,5
215,551 Summerfield Road,4,32.64,Luxury,13
216,2101 Camino Ramon #100,3,27.71,Regular,5
217,2033 Camden Avenue # F3,3,41.83,Regular,7
218,201 El Camino Real,2,30.79,Regular,5
219,504 Center Street,2,20.29,Pool,6
220,2033 Camden Avenue # F3,2,40.02,Luxury,10
221,100 Seawall Drive,3,33.26,Luxury,10
222,350 Park Street,2,47.25,Luxury,11
223,127 Clement Street,2,10.35,Pool,7
224,221 University Avenue,2,43.95,Luxury,8
225,135 Acalanes Drive,2,24.55,Luxury,13
226,6430 Telegraph Avenue,1,12.79,Pool,4
227,1888 Solano Avenue,2,20.52,Regular,2
228,286 Coddingtown Center,2,16.33,Regular,6
229,135 4th Street Suite 3000,2,39.61,Luxury,8
230,3141 Crow Canyon Place,2,16.08,Pool,3
231,1211 Franklin Mall,1,17.09,Pool,6
232,128 Plaza Street,2,23.22,Regular,5
233,1875 South Bascom Avenue #550,2,22.09,Pool,3
234,2961 East El Camino Real,2,25.98,Luxury,12
235,3830 Stevens Creek Boulevard,1,34.55,Luxury,13
236,543 Coleman Avenue,1,15.58,Regular,4
237,1115 Solano Avenue,4,60.76,Luxury,11
238,87 East San Fernando Street,2,9.53,Pool,7
239,343 Rheem Boulevard,2,24.90,Luxury,12
240,1133 Solano Avenue,2,14.06,Pool,8
241,1027 Oliver Road,2,33.97,Luxury,9
242,4400 Central Place,1,13.48,Pool,7
243,1115 Solano Avenue,1,30.24,Luxury,8
244,1760 Polk Street,1,24.47,Regular,2
245,524 Van Ness Avenue,1,12.62,Regular,5
246,2035 Diamond Boulevard,3,21.63,Regular,6
247,2481 San Ramon Valley Boulevard,2,25.31,Pool,4
248,2355 Sand Creek Road,2,24.01,Regular,2
249,1027 Oliver Road,2,20.66,Pool,3
250,4400 Central Place,2,46.36,Luxury,11
251,1000 Embarcadero,2,17.65,Regular,7
252,2551 San Ramon Valley Boulevard #104,1,19.44,Luxury,7
253,1875 South Bascom Avenue,2,24.78,Pool,3
254,601 Van Ness Avenue,2,14.41,Regular,6
255,2367 El Camino Real,2,14.71,Regular,4
256,3141 Crow Canyon Place,1,29.36,Luxury,13
257,37811 Fremont Boulevard,2,22.22,Regular,3
258,2525 Sand Creek Road,4,42.54,Regular,5
259,109 Plaza Dr. Gateway Plaza Center,2,12.63,Pool,8
260,2317 Central Avenue,2,29.29,Luxury,12
261,2564 Springs Road ste B,4,49.58,Luxury,10
262,1603,2,36.61,Luxury,8
263,261 North 2nd Street,3,52.34,Luxury,8
264,601 Van Ness Avenue,3,31.06,Pool,5
265,2481 San Ramon Valley Boulevard,2,21.95,Regular,6
266,283 North P Street,4,48.46,Regular,2
267,1849 Union Street,1,16.80,Regular,2
268,601 Van Ness Avenue,3,31.56,Regular,4
269,531 Davis Street,2,26.52,Luxury,8
270,835 Market Street,2,42.16,Luxury,11
271,2481 San Ramon Valley Boulevard,2,27.96,Luxury,9
272,350 Park Street,2,13.05,Pool,9
273,601 Van Ness Avenue,1,24.20,Luxury,14
274,331 West Hacienda Avenue,3,57.16,Luxury,9
275,3290 Sacramento Street,4,31.44,Pool,4
276,The Grill On The Alley,2,41.72,Luxury,9
277,2509 South Bascom Avenue,2,14.57,Pool,7
278,2327 Mission Street,1,20.15,Luxury,10
279,350 Park Street,3,28.65,Pool,5
280,1760 Polk Street,1,7.48,Pool,6
281,542 A Mason Street,1,28.21,Luxury,10
282,452 University Avenue,4,34.36,Pool,6
283,25 Lusk Street,2,45.69,Luxury,7
284,109 Plaza Dr. Gateway Plaza Center,4,53.54,Luxury,8
285,638 El Camino Real,4,12.90,Pool,5
286,1549 Gateway Boulevard,3,29.25,Pool,9
287,4119 El Camino Real,2,24.42,Pool,6
288,949 El Camino Real,4,49.82,Luxury,9
289,3141 Crow Canyon Place,2,28.38,Regular,6
290,3117 16th St,2,34.44,Regular,6
291,221 University Avenue,1,10.08,Pool,6
292,1875 South Bascom Avenue,3,28.86,Luxury,7
293,949 El Camino Real,2,18.89,Pool,8
294,Shattuck Avenue,3,25.17,Regular,7
295,1419 Moraga Way,2,11.34,Pool,8
296,118 New Montgomery Street,2,40.14,Luxury,13
297,2130 Center Street,2,14.45,Pool,6
298,221 University Avenue,1,10.00,Regular,2
299,1875 South Bascom Avenue #2500,4,22.68,Pool,8
300,2111 El Camino Real,2,31.32,Luxury,8
301,2033 Camden Avenue # F3,4,63.88,Luxury,12
302,3141 Crow Canyon Place,2,24.01,Luxury,9
303,135 4th Street Suite 3000,1,19.91,Regular,2
304,129 Lytton Avenue,2,25.47,Regular,3
305,165 West Napa Street,2,26.76,Luxury,12
306,1901 Salvio Street,3,25.08,Pool,7
307,3200 Klose Way,3,57.52,Luxury,9
308,16201 Hesperian Boulevard,1,14.93,Regular,5
309,2290 California Street,1,17.85,Regular,2
310,707 Continental Circle,2,15.66,Pool,8
311,978 Almaden Lake Drive,3,15.69,Pool,7
312,100 Kings Circle,2,23.93,Pool,8
313,40 Valle Vista Avenue,3,14.93,Pool,4
314,293 Shasta Drive,1,27.29,Luxury,14
315,16530 Monterey Road,1,7.06,Pool,3
316,1585 Marburg Way # 4,3,17.32,Pool,4
317,3819 East Avenue,2,16.94,Regular,2
318,1518 Hill Road,2,20.19,Regular,6
319,1100 Market Street,4,48.40,Luxury,7
320,375 Oaktree Drive,4,40.48,Luxury,7
321,40001 Fremont Boulevard,1,20.98,Luxury,14
322,732 East Evelyn Avenue,1,6.50,Pool,4
323,950 Podva Road,3,37.46,Regular,5
324,2000 Clay Bank Road,1,13.09,Pool,6
325,3225 Harbor Street,3,23.88,Regular,6
326,4261 Stevenson Boulevard,2,46.47,Luxury,8
327,6221 Montecito Boulevard,1,10.72,Regular,3
328,1107 Porter Street,1,13.92,Pool,7
329,6221 Montecito Boulevard,2,9.39,Pool,8
330,2605 Haste Street,3,27.49,Luxury,13
331,2225 Sharon Road,1,13.98,Pool,3
332,1300 Kentwood Lane,2,46.13,Luxury,11
333,4656 Quigg Drive,2,29.91,Luxury,10
334,1711 Detroit Avenue,3,32.60,Regular,6
335,4656 Quigg Drive,4,19.26,Pool,3
336,300 Hilary Way,2,32.20,Regular,7
337,55 Fairfax Street #27,2,16.21,Pool,6
338,34050 Westchester Terrace,1,26.37,Luxury,11
339,1000 Claudia Court,4,40.00,Luxury,11
340,5000 Owens Drive,2,23.57,Pool,4
341,16530 Monterey Road,1,10.07,Regular,5
342,3400 Richmond Parkway,2,28.75,Regular,2
343,302 Easy Street,4,20.74,Pool,9
344,1000 Blossom River Way,3,27.89,Pool,4
345,31755 Alvarado Boulevard,2,9.86,Pool,4
346,296A Addison Street,2,11.58,Pool,8
347,978 Almaden Lake Drive,2,13.97,Pool,9
348,601 River Glen Drive,2,16.46,Regular,2
349,2005 San Jose Drive,2,15.64,Regular,4
350,42 Charles Street,1,15.13,Regular,4
351,1717 California Drive,1,16.09,Pool,9
352,1200 East Hillsdale Boulevard,1,28.25,Luxury,8
353,1435 Creekside Drive,2,19.53,Regular,5
354,801 Marine Parkway,2,42.50,Luxury,9
355,825 Russell Avenue,1,14.05,Pool,7
356,1055 East Evelyn Avenue,1,12.02,Pool,9
357,24660 Amador Street,1,23.72,Luxury,8
358,91 Riverview Terrace,2,36.53,Luxury,9
359,1475 167th Avenue,3,54.28,Luxury,9
360,1290 San Tomas Aquino Road,2,12.69,Pool,5
361,1001 Beethoven Common,2,9.46,Pool,8
362,630 Tempe Court,3,35.99,Luxury,13
363,1475 167th Avenue,1,24.93,Luxury,8
364,5643 Charlotte Way,1,8.24,Pool,5
365,1580 Clayton Road # 1,2,17.82,Pool,6
366,655 South Fair Oaks Avenue,3,17.55,Pool,5
367,1059 Reed Avenue,1,16.46,Luxury,13
368,624 Avalon Avenue,3,29.38,Pool,6
369,1546 Maurice Lane,1,11.10,Regular,5
370,26100 Gading Road,1,32.07,Luxury,12
371,1288 East Hillsdale Boulevard,2,14.31,Regular,5
372,899 North King Road,1,17.34,Pool,6
373,1290 San Tomas Aquino Road,3,40.08,Regular,5
374,1282 Mattox Road,2,27.87,Regular,7
375,141 Golf Club Road,1,27.81,Luxury,14
376,1282 Mattox Road,1,11.13,Regular,3
377,1901 Shore Line Drive,2,43.90,Luxury,11
378,899 North King Road,1,32.17,Luxury,14
379,150 Graylawn Avenue,1,15.11,Pool,3
380,240 Hollis Avenue,1,13.16,Regular,7
381,400 East Remington Drive,3,18.01,Pool,7
382,1100 Market Street,2,20.94,Pool,5
383,825 Russell Avenue,3,40.65,Regular,7
384,766 1st Street,3,28.27,Luxury,11
385,1688 Clayton Road,1,11.25,Regular,7
386,1290 San Tomas Aquino Road,1,33.07,Luxury,8
387,180 Sycamore Avenue,2,25.34,Pool,9
388,16077 Ashland Avenue,3,39.79,Regular,6
389,1450 East Cotati Avenue,3,27.63,Pool,6
390,Birch Aquarium at Scripps Institution of Oceanography,3,40.05,Regular,5
391,Gas Works Park,1,7.29,Pool,6
392,56 Signers of the Declaration of Independence Memorial,1,26.56,Luxury,10
393,Arizona Science Center,1,19.94,Regular,4
394,Sacramento Zoo,2,43.42,Luxury,7
395,Arizona Capitol Museum,2,31.34,Luxury,11
396,Las Vegas Natural History Museum,2,15.58,Regular,4
397,Dr. Sun Yat-Sen Classical Chinese Garden,1,20.72,Regular,2
398,Alexandra Palace Ice Rink,1,23.92,Luxury,14
399,"Aquaria KLCC, Kuala Lumpur.",1,12.09,Pool,6
400,Angel Stadium of Anaheim,4,27.82,Regular,4
401,ANZ Stadium,1,14.76,Pool,9
402,California State Capitol Museum,1,19.81,Luxury,13
403,Honda Center,1,20.77,Regular,4
404,Columbia Center,1,7.04,Pool,6
405,Dr. Sun Yat-Sen Classical Chinese Garden,2,28.09,Regular,4
406,Alcatraz Island,3,29.83,Pool,3
407,Fremont Street Experience,3,36.23,Regular,7
408,Fleet Science Center,2,22.47,Regular,6
409,ICC Pudu,1,13.77,Pool,6
410,Arte Carrillo Gil Museum,3,57.63,Luxury,12
411,Giraffe Centre,1,10.03,Pool,9
412,Art Museum Steps,2,31.89,Regular,2
413,Atlanta Botanical Garden,1,18.13,Luxury,12
414,ANZ Stadium,2,11.14,Pool,4
415,Alexandra Palace,1,17.63,Luxury,12
416,Chastain Memorial Park,2,28.24,Regular,3
417,Arte Carrillo Gil Museum,1,11.45,Pool,5
418,Brandon Lee and Bruce Lee's Grave Site,1,18.76,Luxury,8
419,Angel Stadium of Anaheim,1,13.22,Regular,7
420,360 CHICAGO,1,10.21,Regular,6
421,Zoo Atlanta,1,10.53,Regular,2
422,Barnes Foundation,1,13.81,Regular,3
423,Crystal Springs Rhododendron Garden,1,16.62,Luxury,14
424,Fleet Science Center,1,15.37,Regular,7
425,BAPS Shri Swaminarayan Mandir,1,31.57,Luxury,10
426,Exposition Park,3,29.05,Regular,3
427,Chihuly Garden and Glass,2,31.52,Regular,3
428,Acuario Inbursa,2,16.05,Pool,9
429,Brandon Lee and Bruce Lee's Grave Site,1,14.77,Regular,5
430,Alcatraz,2,36.83,Luxury,9
431,Arizona Capitol Museum,1,12.75,Regular,5
432,Art Museum Steps,2,24.41,Luxury,12
433,Petersen House,1,16.95,Pool,3
434,Giraffe Centre,1,13.62,Regular,5
435,Astoria Park,3,43.77,Luxury,7
436,Adventure Island,2,29.16,Regular,6
437,Apollo Theater,1,15.96,Luxury,10
438,Balboa Park,1,10.72,Pool,7
439,Karura Forest,1,9.84,Pool,6
440,Acuario Inbursa,4,44.16,Luxury,9
441,Cars Land,2,11.40,Pool,9
442,Castles N' Coasters,3,18.86,Regular,7
443,Akshardham,4,43.64,Luxury,11
444,3D Toronto sign,2,48.62,Luxury,8
445,30 St Mary Axe (The Gherkin),1,6.74,Pool,4
446,92nd Street Y,1,16.45,Regular,2
447,Gandhi Smriti,1,29.93,Luxury,13
448,Bodies The Exhibition,1,20.95,Luxury,12
449,"All Saints, Margaret Street",1,24.46,Regular,5
450,99 Wonderland Park,4,50.88,Luxury,7
451,Vancouver Art Gallery,3,12.66,Pool,4
452,3D Toronto sign,1,24.33,Luxury,14
453,American Church in Paris,1,9.91,Pool,8
454,Hollywood Walk of Fame,1,12.31,Pool,3
455,Fairytale Town,1,14.72,Pool,9
456,Christmas Tree Lane,2,41.07,Luxury,9
457,Christmas Tree Lane,2,30.14,Regular,2
458,Cars Land,2,41.75,Luxury,9
459,California Museum,4,69.60,Luxury,11
460,Benjamin Franklin Museum,1,9.69,Pool,8
461,California Automobile Museum,1,17.74,Regular,7
462,International Spy Museum,3,39.82,Regular,4
463,Art Gallery of Ontario,1,28.26,Luxury,14
464,Aga Khan Museum,1,12.67,Pool,8
465,Gas Works Park,2,18.67,Pool,3
466,Nairobi National Park,1,27.19,Luxury,8
467,Forestiere Underground Gardens,2,23.00,Luxury,12
468,SlotZilla Zip Line,1,33.38,Luxury,12
469,Alcatraz Island,4,30.40,Regular,3
470,Balboa Park,1,10.96,Regular,7
471,Balboa Park,3,13.49,Pool,8
472,American Museum of Natural History,4,39.30,Luxury,13
473,Art Museum Steps,1,21.27,Luxury,13
474,Fort Funston,3,42.30,Regular,5
475,American Church in Paris,4,63.70,Luxury,9
476,Cent Quatre,1,20.10,Regular,4
477,Aquaboulevard,2,20.27,Regular,3
478,Cable Car Museum,1,19.55,Regular,7
479,30 St Mary Axe (The Gherkin),1,28.97,Luxury,11
480,Angels Flight Railway,2,19.97,Pool,8
481,Stanley Park,3,60.43,Luxury,13
482,92nd Street Y,3,25.24,Pool,7
483,Dumbarton Oaks Museum,3,43.42,Luxury,11
484,Adventure Island,1,22.53,Luxury,12
485,Angels Flight Railway,1,8.75,Pool,8
486,Centreville Amusement Park,3,31.12,Regular,7
487,360 CHICAGO,3,40.74,Luxury,13
488,American Church in Paris,2,46.65,Luxury,13
489,Atlanta History Center,1,17.63,Pool,9
490,92nd Street Y,1,29.34,Luxury,11
491,St. Lawrence Market,2,25.02,Luxury,13
492,3D Toronto sign,2,22.01,Regular,3
493,Alexandra Palace,1,19.47,Regular,4
494,Dumbarton Oaks Museum,2,15.37,Regular,3
495,Burnham Park,1,17.30,Regular,7
496,Alexandra Palace,3,42.56,Regular,5
497,Autry Museum of the American West,2,25.92,Luxury,13
498,30 St Mary Axe (The Gherkin),2,25.96,Regular,4
499,Art Gallery of New South Wales,3,31.52,Regular,7
500,56 Signers of the Declaration of Independence Memorial,4,57.20,Luxury,14
501,Bradbury Building,1,17.84,Pool,4
502,92nd Street Y,3,36.89,Regular,6
503,Angel Stadium of Anaheim,2,22.25,Pool,9
504,American Church in Paris,4,19.12,Pool,9
505,Burke Museum of Natural History and Culture,1,6.14,Pool,4
506,American Church in Paris,3,19.00,Regular,2
507,56 Signers of the Declaration of Independence Memorial,2,33.30,Regular,5
508,"Aquaria KLCC, Kuala Lumpur.",2,34.95,Regular,3
509,Balto Statue,2,11.62,Pool,5
510,Autry Museum of the American West,1,12.57,Pool,5
511,30 St Mary Axe (The Gherkin),1,20.41,Regular,6
512,Chicago Children's Museum,2,23.93,Pool,3
513,Chicago Riverwalk,1,13.09,Pool,6
514,Akshardham,4,38.24,Regular,3
515,Sacramento Zoo,4,26.52,Pool,4
516,Lincoln Park Zoo,4,42.18,Regular,4
517,Balboa Park,3,55.63,Luxury,14
518,Strawberry Fields,1,15.27,Pool,7
519,American Folk Art Museum,1,10.54,Regular,6
520,Lan Su Chinese Garden,1,19.75,Luxury,13
521,92nd Street Y,2,33.96,Regular,4
522,Acuario Inbursa,1,19.67,Regular,3
523,92nd Street Y,1,13.72,Pool,8
524,American Museum of Natural History,1,19.83,Regular,7
525,Apsley House,1,33.98,Luxury,8
526,Art Gallery of New South Wales,2,14.91,Pool,8
527,Catacombs of Paris,1,27.78,Luxury,10
528,Ben Franklin Bridge,1,14.39,Pool,7
529,Apsley House,2,46.51,Luxury,11
530,99 Wonderland Park,2,39.36,Luxury,12
531,Autry Museum of the American West,3,55.43,Luxury,10
532,Desert Botanical Garden,1,15.16,Pool,3
533,Arc de Triomphe,2,45.11,Luxury,9
534,Adventure Island,1,12.06,Regular,4
535,Barnes Foundation,2,11.50,Pool,7
536,1416 First Street,1,20.34,Regular,6
537,24891 Santa Clara Street,2,44.79,Luxury,10
538,2737 20th Street,3,27.73,Regular,5
539,1047 Lincoln Highway suite 101,3,10.98,Pool,3
