,event_date,event_location,event_name,event_time,available_end_time,available_start_time
68,2019-03-11,689 East Remington Drive,Appointment with Val Mark Dental Studio,17:00,,
69,2019-03-09,460 Cambridge Avenue,Stylist appointment at Opus Arcade,12:30,,
70,2019-03-09,,,,17:30,17:00
71,2019-03-12,355 Santana Row #1010,Restaurant reservation at Blowfish Sushi,13:30,,
72,2019-03-05,1 East 161 Street,Baseball game,17:30,,
73,2019-03-05,,,,15:00,14:30
74,2019-03-12,"261 Driggs Avenue, Brooklyn",Thee Oh Sees concert,19:30,,
75,2019-03-12,,,,11:30,11:00
76,2019-03-07,5614 Bay Street Suite 220,Movie show,23:00,,
77,2019-03-07,,,,17:00,08:00
78,2019-03-04,200 C Street,Movie show,20:30,,
79,2019-03-09,945 El Camino Real,Stylist appointment,10:00,,
80,2019-03-09,,,,19:30,10:30
81,2019-03-02,2490 First Street,Movie booking for Shazam!,16:00,,
82,2019-03-02,,,,16:00,15:00
83,2019-03-01,3111 Mission College Boulevard,Movie booking for Hotel Mumbai,21:00,,
84,2019-03-14,2000 East Gene Autry Way,Baseball game,19:00,,
85,2019-03-14,,,,19:00,16:00
86,2019-03-09,555 Center Avenue,Movie at Contra Costa Stadium Cinemas,22:00,,
87,2019-03-09,766 1st Street,Viewing at Mission Park,10:30,,
88,2019-03-09,,,,10:30,08:00
89,2019-03-09,,,,22:00,11:00
90,2019-03-03,911 1st Street,Restaurant reservation at Venticellos Ristorante Italiano,12:30,,
91,2019-03-10,2664 Berryessa Road #104,Appointment with Dr Ashmita Shetty,10:00,,
92,2019-03-10,,,,10:00,08:00
93,2019-03-14,1057 El Monte Avenue,Dentist appointment,10:00,,
94,2019-03-14,2401 Keith Street,General Practitioner appointment with Rybold Daniel MD,12:00,,
95,2019-03-14,2367 Shattuck Avenue,Phutureprimitive concert,17:00,,
96,2019-03-02,7000 Coliseum Way,Football Game: Raiders Vs Titans,19:30,,
97,2019-03-02,15555 East 14th Street,Movie show,22:30,,
98,2019-03-02,,,,19:30,08:00
99,2019-03-09,1144 Sonoma Ave # 118,Dentist appointment,10:00,,
100,2019-03-09,2500 Milvia Street,Doctor appointment,11:30,,
101,2019-03-09,601 Van Ness Avenue,Movie at Landmark's Opera Plaza Cinema,19:30,,
102,2019-03-09,,,,10:00,08:00
103,2019-03-11,825 East Evelyn Avenue,Apartment viewing at Windsor Ridge,12:30,,
104,2019-03-11,21267 Stevens Creek Boulevard #200,Reservation at A Plus Cafe,17:00,,
105,2019-03-11,,,,12:30,08:00
106,2019-03-11,,,,17:00,13:00
107,2019-03-11,,,,24:00,18:30
108,2019-03-08,360 Rohnert Park Expressway W,Appointment at Great Clips,15:00,,
109,2019-03-08,1200 Central Boulevard suite d,"Dermatologist appointment with Andrew Ness, MD",13:30,,
110,2019-03-08,715 El Camino Real,Table for 6 at Estampas Peruanas Restaurant,11:00,,
111,2019-03-09,3342 Lakeshore Avenue,Hairdresser appointment,15:00,,
112,2019-03-09,5500 Campanile Drive,Lizzo concert,19:30,,
113,2019-03-09,,,,15:00,08:00
114,2019-03-14,800 Occidental Avenue South,Soccer Game: Sounders Vs United,19:00,,
115,2019-03-14,,,,18:00,08:00
116,2019-03-12,6800 Palm Avenue e,Dentist appointment with Gerald E. Dixon Scott E. Dixon,12:00,,
117,2019-03-12,719 Colorado Avenue,Stylist appointment at Urban Style Barber Shop,18:30,,
118,2019-03-12,1050 Benton Street,Viewing at Park Central Apartments,17:30,,
119,2019-03-12,,,,17:30,13:00
120,2019-03-12,,,,18:30,18:00
121,2019-03-12,,,,19:30,19:00
122,2019-03-06,1702 East Cotati Avenue,Table for 5 at Mcdonald's,11:30,,
123,2019-03-06,,,,22:30,13:00
124,2019-03-08,6449 Thornton Avenue A,Stylist appointment,10:00,,
125,2019-03-08,,,,10:00,08:00
126,2019-03-10,860 East Remington Drive,Dentist appointment with Dr. Prakash Advani,13:30,,
127,2019-03-13,1569 Sloat Boulevard,General Practitioner appointment,16:30,,
128,2019-03-13,3119 Clement Street,Reservation for 2 people at El Mansour,12:30,,
129,2019-03-13,,,,12:30,08:00
130,2019-03-03,109 Plaza Dr. Gateway Plaza Center,Movie at Century Vallejo 14,22:30,,
131,2019-03-03,,,,19:30,08:00
132,2019-03-10,"141 Prospect Park West, Brooklyn",Jason Isbell concert,17:30,,
133,2019-03-09,3883 Airway Drive #202,Doctor appointment,14:30,,
134,2019-03-09,,,,22:00,17:30
135,2019-03-04,1422 Southwest 11th Avenue,Damien Jurado concert,18:00,,
136,2019-03-04,200 C Street,Movie booking for Captain Marvel,20:00,,
137,2019-03-04,,,,18:00,08:00
138,2019-03-04,,,,19:00,18:30
139,2019-03-02,4085 Century Boulevard,Movie show,22:00,,
140,2019-03-02,,,,12:00,08:00
141,2019-03-01,5500 Campanile Drive,Vampire Weekend concert,17:00,,
142,2019-03-13,10101 North Wolfe Road,Dentist appointment,13:30,,
143,2019-03-13,,,,13:30,08:00
144,2019-03-12,2525 Sand Creek Road,Movie at AMC Brentwood 14,22:00,,
145,2019-03-12,,,,13:30,08:00
146,2019-03-11,3 East Blithedale Avenue,Hairdresser appointment,14:00,,
147,2019-03-10,"f4, 450 Broadway",Dermatologist appointment,14:00,,
148,2019-03-10,,,,14:00,11:00
149,2019-03-08,2891 University Avenue,Through The Roots concert,18:00,,
150,2019-03-06,1000 Vin Scully Ave,Baseball game,19:30,,
151,2019-03-06,2440 Bancroft Way,Appointment at World Cuts,15:00,,
152,2019-03-06,1500 South Capitol Street Southeast,Baseball game at Nationals Park,18:00,,
153,2019-03-06,1332 Park Street,Reservation at Yellowtail,11:00,,
154,2019-03-03,1144 Sonoma Ave # 102,Dentist appointment,13:00,,
155,2019-03-03,800 Occidental Avenue South,Soccer game,19:30,,
156,2019-03-03,,,,13:00,08:00
157,2019-03-03,,,,19:30,14:00
158,2019-03-13,15100 Hesperian Boulevard Suite 212,Stylist appointment at Supercuts,12:00,,
159,2019-03-01,800 Occidental Avenue South,Soccer Game: Sounders Vs Timbers,18:30,,
160,2019-03-01,,,,17:00,08:00
161,2019-03-01,100 Oconnor Drive # 23,"Dentist appointment with Kini Ramanand , Kini Lata",13:00,,
162,2019-03-01,801 Brewster Avenue #240,General Practitioner appointment,15:00,,
163,2019-03-01,2101 West College Avenue,Stylist appointment at Redline Barbers,18:30,,
164,2019-03-01,,,,13:00,08:00
165,2019-03-09,1063 Morse Avenue,Apartment viewing,10:00,,
166,2019-03-09,724 Oak Grove Avenue Ste. 120,Dentist appointment with Menlo Park Dental Excellence,13:30,,
167,2019-03-09,1 Embarcadero Center,Movie booking for Ash Is Purest White,21:00,,
168,2019-03-13,1070 Reed Avenue,Apartment viewing at Reed Square,14:00,,
169,2019-03-13,877 W Fremont Ave # K3,Dentist appointment,11:30,,
170,2019-03-13,125 Windsor River Road,Lunch at Mcdonald's,17:00,,
171,2019-03-13,,,,11:30,08:00
172,2019-03-13,,,,14:00,12:30
173,2019-03-13,,,,17:00,14:30
174,2019-03-07,1069 B Street,Movie booking for Breakthrough,22:30,,
175,2019-03-07,4348 California Street,Reservation for 2 people at Mandalay Restaurant,13:00,,
176,2019-03-07,1520 Branham Lane,Viewing at Park Branham Apartments,11:30,,
177,2019-03-07,,,,11:30,08:00
178,2019-03-09,500 Loveridge Circle,Apartment viewing,11:00,,
179,2019-03-09,1615 Hill Road,Dentist appointment,12:30,,
180,2019-03-09,909 Hyde Street #530,Ophthalmologist appointment,16:00,,
181,2019-03-09,,,,11:00,08:00
182,2019-03-09,,,,12:00,11:30
183,2019-03-09,,,,13:00,12:30
184,2019-03-09,,,,14:00,13:30
185,2019-03-10,22 Peace Plaza,Appointment at Glam-Up,14:00,,
186,2019-03-10,1615 Hill Rd #19,Dentist appointment,12:30,,
187,2019-03-10,2605 Haste Street,Property viewing,14:30,,
188,2019-03-09,5541 Lone Tree Way Suite 120,Appointment at Sport Clips Haircuts Of Brentwood,15:00,,
189,2019-03-09,1 Embarcadero Center,Movie show,21:30,,
190,2019-03-03,20700 Lake Chabot Road,"General Practitioner appointment with Kelly A. Welsh, M.D.",12:30,,
191,2019-03-03,235 West 46th Street,Geto Boys concert,19:00,,
192,2019-03-03,,,,12:30,08:00
193,2019-03-07,1615 Hill Road,Dentist appointment with Dr. Susana M. Chou,10:00,,
194,2019-03-07,615 Jackson Street,Restaurant reservation at Begoni Bistro,13:00,,
195,2019-03-07,,,,10:00,08:00
196,2019-03-07,,,,11:00,10:30
197,2019-03-07,,,,12:00,11:30
198,2019-03-06,1501 Decoto Road,Apartment viewing,11:00,,
199,2019-03-06,39055 Cedar Boulevard,Table for 3 at Happy Kitchen,13:00,,
200,2019-03-09,1063 Morse Avenue,Apartment viewing at Mission Pointe By Windsor,12:00,,
201,2019-03-09,2500 Hospital Drive,Dentist appointment,14:00,,
202,2019-03-09,,,,12:00,08:00
203,2019-03-09,,,,14:00,12:30
204,2019-03-12,1335 Montecito Avenue # 1,Apartment viewing,17:30,,
205,2019-03-12,2664 Berryessa Road # 210,Dentist appointment with Quach Catherine,16:00,,
206,2019-03-12,,,,16:00,08:00
207,2019-03-12,,,,17:00,16:30
208,2019-03-12,,,,18:00,17:30
209,2019-03-07,950 Redwood Shores Parkway,Apartment viewing,12:30,,
210,2019-03-07,2485 Hospital Drive,Gynecologist appointment,17:30,,
211,2019-03-07,400 Newpark Mall,Movie booking for Captain Marvel,22:30,,
212,2019-03-06,747 Altos Oaks Drive,"General Practitioner appointment with Dr. Leland M. Luna, MD",14:30,,
213,2019-03-06,29 East Allen Street,Nav With Killy concert,17:00,,
214,2019-03-06,,,,14:30,08:00
215,2019-03-06,,,,17:00,15:30
216,2019-03-06,,,,18:00,17:30
217,2019-03-06,1312 Prentice Drive,General Practitioner appointment,17:30,,
218,2019-03-06,27285 Manon Avenue,Viewing at Orange Tree Apartments,10:30,,
219,2019-03-09,22842 Vermont Street,Apartment viewing at Siena Pointe Apartments,18:00,,
220,2019-03-09,2160 South Bascom Avenue,Appointment at Bella Capelli Salon,13:00,,
221,2019-03-09,990 West Fremont Avenue #A,Dentist appointment,10:30,,
222,2019-03-11,1698 Bonanza Street,Appointment at Stem Salon,15:00,,
223,2019-03-11,3005 Silver Creek Road,Dentist appointment with Dr. Minh B. Nguyen,16:30,,
224,2019-03-11,700 Irving Street,Reservation at Pasquale's Pizzeria,12:30,,
225,2019-03-01,24607 Amador Street,Apartment viewing,12:00,,
226,2019-03-01,7880 Wren Ave # A111,Appointment with Dentistry For Children,10:00,,
227,2019-03-01,1220 Market Street,Table for 2 at Sams American Eatery,17:30,,
228,2019-03-01,,,,10:00,08:00
229,2019-03-07,118 Warwick Drive,Apartment viewing at Crestview Apartments,13:00,,
230,2019-03-07,2901 East Hastings Street,Colin James concert,17:00,,
231,2019-03-03,1 Blue Jays Way,Baseball game,18:00,,
232,2019-03-03,3485 East Hills Drive,Dentist appointment with Santana Herasm Maria T,14:30,,
233,2019-03-03,2525 Sand Creek Road,Movie booking for Hellboy,23:30,,
234,2019-03-03,,,,14:30,08:00
235,2019-03-03,,,,18:00,15:30
236,2019-03-03,,,,19:00,18:30
237,2019-03-08,21001 San Ramon Valley Boulevard Ste E-3,Appointment with Renew Dental Implant Specialists,16:00,,
238,2019-03-08,200 C Street,Movie show,11:30,,
239,2019-03-08,4261 Stevenson Boulevard,Property viewing,17:00,,
240,2019-03-01,1530 Ellis Street,Apartment viewing at Lakeshore Apartments,12:00,,
241,2019-03-01,6000 Bollinger Canyon Road Suite 2300,Movie show,21:00,,
242,2019-03-01,,,,12:00,08:00
243,2019-03-01,,,,13:00,12:30
244,2019-03-01,,,,14:00,13:30
245,2019-03-06,7880 Wren Avenue suite f-165,Appointment with Wafelbakker Anderson Orthodontics,13:30,,
246,2019-03-06,One Ferry Building,Lunch at Marketbar,17:00,,
247,2019-03-06,2490 First Street,Movie at Livermore 13 Cinema,11:30,,
248,2019-03-12,7880 Wren Avenue Ste B121,Dentist appointment,16:30,,
249,2019-03-12,910 Lincoln Rd E,Reservation at India Garden,12:30,,
250,2019-03-12,,,,12:30,08:00
251,2019-03-12,,,,16:30,14:00
252,2019-03-12,,,,17:30,17:00
253,2019-03-04,2299 Post Street STE 312,Dermatologist appointment,12:00,,
254,2019-03-04,1535 Landess Avenue #143,Reservation at Korea Garden,13:00,,
255,2019-03-04,6046 Dougherty Road,Stylist appointment at Anu'S Beautique,16:30,,
256,2019-03-03,1425 Oregon Street,Apartment viewing,10:00,,
257,2019-03-03,1646 Broadway Street,General Practitioner appointment,10:30,,
258,2019-03-03,,,,10:00,08:00
259,2019-03-03,,,,24:00,11:30
260,2019-03-05,1234 West 7th Street,Girl In Red concert,17:00,,
261,2019-03-05,135 4th Street Suite 3000,Movie at AMC Metreon 16,21:00,,
262,2019-03-05,485 Castro Street,Restaurant reservation for 6 at Kirin,11:00,,
263,2019-03-05,,,,11:00,08:00
264,2019-03-08,3665 Benton Street,Apartment viewing,17:00,,
265,2019-03-08,5150 Graves Avenue,Appointment with Dr. James Meagher,16:00,,
266,2019-03-08,1 Lincoln Financial Field Way,Football game at Lincoln Financial Field,19:00,,
267,2019-03-08,,,,16:00,08:00
268,2019-03-01,1071 Blossom Hill Road,General Practitioner appointment,14:30,,
269,2019-03-01,110 Ranch Drive,Restaurant reservation for 2 at Romano's Macaroni Grill,19:00,,
270,2019-03-01,,,,14:30,08:00
271,2019-03-06,409 Aviation Boulevard,Movie booking for Pet Sematary,21:30,,
272,2019-03-06,3770 Flora Vista Avenue,Property viewing,10:30,,
273,2019-03-06,2891 University Avenue,Tuxedo concert,17:00,,
274,2019-03-06,,,,10:30,08:00
275,2019-03-06,,,,17:00,11:00
276,2019-03-06,,,,21:30,19:00
277,2019-03-06,,,,22:30,22:00
278,2019-03-07,2000 East Gene Autry Way,Baseball game,19:30,,
279,2019-03-07,2190 Eastridge Loop,Movie show,23:00,,
280,2019-03-10,1500 Sycamore Avenue,Dentist appointment,10:00,,
281,2019-03-10,2734 East El Camino Real,General Practitioner appointment,17:00,,
282,2019-03-10,2298 Union Street,Restaurant reservation for 3 at Rose's Cafe,11:30,,
283,2019-03-10,,,,11:30,11:00
284,2019-03-10,,,,12:30,12:00
285,2019-03-10,,,,13:30,13:00
286,2019-03-01,33 South Park Victoria Drive,Dentist appointment with Park Victoria Dental,10:00,,
287,2019-03-01,3597 Homestead Road,Restaurant reservation for 2 at Chimek,18:00,,
288,2019-03-01,"141 Prospect Park West, Brooklyn",The National concert,19:30,,
289,2019-03-01,,,,18:00,11:00
290,2019-03-01,,,,19:00,18:30
291,2019-03-06,100 Oconnor Drive # 5,Dentist appointment,15:30,,
292,2019-03-06,544 Central Avenue,Viewing at Del Coronado,14:00,,
293,2019-03-06,,,,14:00,08:00
294,2019-03-06,,,,15:00,14:30
295,2019-03-06,,,,16:00,15:30
296,2019-03-05,3485 East Hills Drive,Dentist appointment,10:30,,
297,2019-03-05,29 East Allen Street 2nd Floor,Lights concert,18:00,,
298,2019-03-05,732 East Evelyn Avenue,Viewing at Bristol Commons,13:00,,
299,2019-03-14,877 West Fremont Avenue,Appointment with Dr. Julie M. Savant,17:00,,
300,2019-03-14,1386 Fitzgerald Drive,Hairdresser appointment,11:00,,
301,2019-03-14,,,,12:00,11:30
302,2019-03-14,,,,13:00,12:30
303,2019-03-04,33300 Mission Boulevard,Apartment viewing,15:00,,
304,2019-03-04,1615 Hill Road,Appointment with Leahn J Huffman,10:00,,
305,2019-03-05,40645 Fremont Boulevard,Appointment at Fremont Barber Shop,18:30,,
306,2019-03-05,5150 Graves Avenue # 11E,Appointment with Arts Of Dentistry,13:30,,
307,2019-03-05,Shattuck Avenue,Movie show,19:00,,
308,2019-03-05,,,,13:30,08:00
309,2019-03-05,,,,14:30,14:00
310,2019-03-05,,,,15:30,15:00
311,2019-03-11,1785 San Carlos Avenue,Appointment with Marenda Ronald E,11:00,,
312,2019-03-11,2525 Sand Creek Road,Movie show,22:00,,
313,2019-03-11,2700 Del Medio Court,Viewing at Vrent - Del Medio Park Apartments,15:00,,
314,2019-03-12,4501 Rosewood Drive,Reservation at Mcdonald's,11:30,,
315,2019-03-12,22 Peace Plaza,Stylist appointment,10:00,,
316,2019-03-12,,,,10:00,08:00
317,2019-03-12,,,,11:00,10:30
318,2019-03-12,,,,12:00,11:30
319,2019-03-11,235 West 46th Street,Lyfe Jennings concert,19:00,,
320,2019-03-11,100 Sycamore Valley Road,Table for 4 at Piatti,17:00,,
321,2019-03-04,1163 Hopper Avenue,Apartment viewing at Hopper Lane Apartments,10:00,,
322,2019-03-04,6868 McKinley Street,Movie at Rialto Cinemas,21:30,,
323,2019-03-04,2901 East Hastings Street,Styx concert,17:00,,
324,2019-03-04,,,,10:00,08:00
325,2019-03-04,,,,17:00,10:30
326,2019-03-04,,,,21:30,19:00
327,2019-03-06,2143 Springs Road # 51,Dentist appointment,17:00,,
328,2019-03-06,2111 Whitehall Place,Gynecologist appointment with Kochenburger Richard J MD,14:00,,
329,2019-03-08,10011 North Foothill Boulevard # 112,Appointment with Donna M Cotner,14:30,,
330,2019-03-08,60 North El Camino Real,Doctor appointment,12:00,,
331,2019-03-08,,,,12:00,08:00
332,2019-03-08,,,,14:30,13:00
333,2019-03-08,,,,15:30,15:00
334,2019-03-02,500 Terry A Francois Boulevard Suite 73,Celine Dion concert,19:00,,
335,2019-03-02,1585 Clayton Road,Stylist appointment,16:00,,
336,2019-03-03,5255 Clayton Road,Apartment viewing,12:00,,
337,2019-03-03,452 East Calaveras Boulevard,Dentist appointment with Dr. Sethi And Dr. Virdi,10:00,,
338,2019-03-03,,,,12:00,11:00
339,2019-03-13,1234 West 7th Street,Lights concert,18:30,,
340,2019-03-13,,,,18:30,08:00
341,2019-03-13,,,,22:30,20:30
342,2019-03-12,1234 West 7th Street,Lights concert,17:30,,
343,2019-03-12,349 East Hedding Street,Stylist appointment at Kingsley'S Barber Shop,16:30,,
344,2019-03-13,375 Industrial Parkway # 314,Property viewing,11:00,,
345,2019-03-13,,,,11:00,08:00
346,2019-03-13,,,,12:00,11:30
347,2019-03-14,5500 Campanile Drive,Bastille concert,19:30,,
348,2019-03-14,45 Castro Street,Doctor appointment,17:30,,
349,2019-03-14,,,,17:30,08:00
350,2019-03-14,,,,19:30,18:30
351,2019-03-01,1732 Jefferson Street # 5,Appointment with Ocean Dental Lab,15:00,,
352,2019-03-01,29 East Allen Street 2nd Floor,Northlane concert,17:30,,
353,2019-03-01,1 AMB Drive Northwest,Soccer game,19:30,,
354,2019-03-01,,,,15:00,08:00
355,2019-03-07,99 Professional Center Parkway,Apartment viewing at Deer Park Apartments,16:00,,
356,2019-03-07,152 Castro Street,Reservation for 4 people at Ramen Izakaya Yu-gen,18:30,,
357,2019-03-09,2149 Otis Drive,Apartment viewing,13:30,,
358,2019-03-09,7880 Wren Avenue # C131,Appointment with Raymaker Ann,14:30,,
359,2019-03-09,,,,13:30,08:00
360,2019-03-09,,,,14:30,14:00
361,2019-03-09,,,,15:30,15:00
362,2019-03-09,,,,16:30,16:00
363,2019-03-04,968 Ralston Avenue,Restaurant reservation at Divino Ristorante,17:00,,
364,2019-03-14,178 Junction Road,Beyond The Black concert,17:30,,
365,2019-03-09,810 Hillsdale Avenue,Apartment viewing,15:00,,
366,2019-03-09,1030 Main Street,Roy Ayers concert,17:00,,
367,2019-03-08,2898 Villa Monterey,Apartment viewing at Villa Monterey,11:30,,
368,2019-03-08,25 West Main Avenue,Reservation for 5 people at Sicilia In Bocca,19:00,,
369,2019-03-08,,,,11:30,08:00
370,2019-03-08,,,,19:00,12:00
371,2019-03-13,777 Pacific Boulevard,Soccer game at BC Place,18:30,,
372,2019-03-12,1221 Donnelly Avenue,Hairdresser appointment,12:30,,
373,2019-03-12,2898 Villa Monterey,Property viewing,17:00,,
374,2019-03-12,448 South Main Street,The Acid concert,18:00,,
375,2019-03-12,,,,17:00,13:00
376,2019-03-12,,,,19:00,18:30
377,2019-03-08,3800 Montlake Boulevard Northeast,Basketball game,18:00,,
378,2019-03-08,1 Market Street,Hairdresser appointment,10:00,,
379,2019-03-03,2270 Homestead Court,Apartment viewing,15:00,,
380,2019-03-03,990 West Fremont Avenue,Appointment with Dr. Maria J. Moore,10:00,,
381,2019-03-03,1 Embarcadero Center,Movie at Landmark's Embarcadero Center Cinema,21:30,,
382,2019-03-03,,,,15:00,11:00
383,2019-03-03,,,,16:00,15:30
384,2019-03-03,,,,17:00,16:30
385,2019-03-13,2367 Shattuck Avenue,Chris Webby concert,12:30,,
386,2019-03-04,,,,11:00,08:00
387,2019-03-09,,,,18:00,08:00
388,2019-03-09,17705 Hale Avenue,Dentist appointment,09:30,,
389,2019-03-07,,,,24:00,10:30
390,2019-03-07,1 East 161 Street,Baseball game,12:00,,
391,2019-03-13,,,,22:30,19:00
392,2019-03-08,,,,24:00,20:30
393,2019-03-08,SFO International Airport,Leave for airport,21:45,,
394,2019-03-10,,,,16:00,08:00
395,2019-03-09,,,,15:30,14:00
396,2019-03-09,2826 Telegraph Avenue,Restaurant reservation for 6 at Royal Rangoon Restaurant,14:15,,
397,2019-03-10,,,,17:00,08:00
398,2019-03-10,,,,19:30,18:30
399,2019-03-10,,,,24:00,22:30
400,2019-03-10,877 West Fremont Avenue Ste J2,Appointment with Orthoworks Invisalign And Orthodontic Group,11:00,,
401,2019-03-04,,,,17:00,08:00
402,2019-03-08,,,,14:30,13:30
403,2019-03-08,401 East Jefferson Street,Baseball game,14:00,,
404,2019-03-13,777 Pacific Boulevard,Soccer Game: Whitecaps Vs Kansas City,09:00,,
405,2019-03-11,,,,16:30,08:00
406,2019-03-14,,,,19:30,13:00
407,2019-03-14,1657 Willow Pass Road,Reservation at Lulu's Kitchen,13:00,,
408,2019-03-06,,,,18:00,17:00
409,2019-03-10,,,,18:00,08:00
410,2019-03-10,5 Bon Air Rd # 114,Appointment with Koppe Michael J,09:00,,
411,2019-03-05,,,,23:00,21:30
412,2019-03-10,,,,22:30,13:30
413,2019-03-10,2075 Lincoln Avenue # A,Dentist appointment with Wirebenders,14:15,,
414,2019-03-06,,,,19:30,16:30
415,2019-03-14,,,,17:30,17:00
416,2019-03-14,23989 Watkins Street,Table for 2 at Mcdonald's,17:15,,
417,2019-03-01,,,,10:30,08:00
418,2019-03-10,,,,24:00,21:30
419,2019-03-10,Community gym,Gym,21:45,,
420,2019-03-07,,,,17:00,15:30
421,2019-03-07,2905 Grove Way,Table for 2 at Mcdonald's,15:45,,
422,2019-03-04,2891 University Avenue,The Hives concert,08:15,,
423,2019-03-06,,,,14:00,13:00
424,2019-03-06,1053 Cochrane Road Suite 140,Hairdresser appointment,13:30,,
425,2019-03-06,,,,24:00,12:30
426,2019-03-02,,,,17:00,16:30
427,2019-03-02,1712 Meridian Avenue,Restaurant reservation for 4 at Ristorante Fratello,16:45,,
428,2019-03-11,,,,18:00,08:00
429,2019-03-11,4875 Clayton Road,Apartment viewing,09:30,,
430,2019-03-06,,,,22:30,14:00
431,2019-03-06,301 Sycamore Valley Road,Appointment with Dr. Azadeh Jafarnia,14:30,,
432,2019-03-09,,,,24:00,23:00
433,2019-03-02,,,,16:00,08:00
