,address,city,dentist_name,offers_cosmetic_services,phone_number,appointment_date,appointment_time
43,7880 Wren Avenue Suite D141,,"Amy N. Tran, And Eric R. Nagareda",False,408-847-0795,2019-03-13,11:30
44,2664 Berryessa Road # 206,San Jose,A J Dental Lab,False,408-316-8226,,
45,2664 Berryessa Road # 205,San Jose,A-1 Dental Care,False,408-258-6669,,
46,2664 Berryessa Road # 212,San Jose,Abad Dental Office,False,408-272-3809,,
47,2664 Berryessa Road # 202,San Jose,"Aitchison, Bernard",False,408-259-1632,,
48,5595 Winfield Boulevard # 102,San Jose,Almaden Dental Care,False,408-224-5200,,
49,5710 Cahalan Avenue # 8L,San Jose,Alpha Dental,False,408-578-4600,,
50,5150 Graves Avenue # 11E,San Jose,Arts Of Dentistry,False,408-873-7737,,
51,2664 Berryessa Road,San Jose,Bautista Maximilian,False,408-272-2330,,
52,2664 Berryessa Road # 102,San Jose,Belle Dental,False,408-254-0888,,
53,2664 Berryessa Road # 106,San Jose,Berryessa Oral Surgery Spec,False,408-729-9000,,
54,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-02,14:30
55,17705 Hale Avenue A-5,Morgan Hill,Bay Area Kids Dentist,False,408-779-2747,,
56,17705 Hale Ave # E3,Morgan Hill,Carhuamaca Lat Arturo,False,408-778-3015,,
57,17705 Hale Ave # G1,Morgan Hill,Carr Diana,False,408-779-3464,,
58,17705 Hale Avenue Suite F1,Morgan Hill,Charles M. Arita,False,408-776-9882,,
59,17705 Hale Avenue A1,Morgan Hill,Dr. Lawrence J. Mcdonald,True,408-779-9335,,
60,18181 Butterfield Boulevard,Morgan Hill,Dr. Michael K. Singh,False,408-779-7331,,
61,17705 Hale Avenue,Morgan Hill,Giang Chu,False,408-782-7777,,
62,17705 Hale Ave # C3,Morgan Hill,Lalinde Adriana M,False,408-778-3135,,
63,17705 Hale Avenue Ste. B3,Morgan Hill,Liu Vivian C,False,408-779-4012,,
64,17705 Hale Avenue,Morgan Hill,Stephen G. Pearson,False,408-779-2129,,
65,337 East Leland Road,Pittsburg,La Clinica De La Raza,False,925-431-1252,,
66,337 East Leland Road,Pittsburg,Pineda Lady F,False,925-431-1259,,
67,7880 Wren Ave,,Albert Lee,False,408-847-6060,2019-03-14,14:00
68,5710 Cahalan Avenue # 8J,San Jose,Dr. Svetlana Naret,True,408-225-7813,,
69,2516 Samaritan Drive,San Jose,"Greenview Dental Care, Yvonne Yang",True,408-356-8201,,
70,5150 Graves Avenue #12E,San Jose,Keith Cooper,True,669-244-1550,,
71,2593 South King Road Suite 3,San Jose,Mai Dental Specialists,True,408-620-5387,,
72,2664 Berryessa Road #101,San Jose,Morrill Dental Care,True,408-259-9333,,
73,5710 Cahalan Avenue Suite 3,San Jose,The Dental Dimensions,True,408-471-1294,,
74,2075 Forest Avenue #8,San Jose,Trung T. Pham,True,408-287-8880,,
75,5150 Graves Avenue,San Jose,Vlad Miruna D,True,408-973-0979,,
76,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-08,11:30
77,1150 Scott Boulevard # A2,Santa Clara,Ahmed Sameena,False,408-985-7933,,
78,1150 Scott Boulevard # C2,Santa Clara,Cathrine Steinborn,False,408-243-4216,,
79,2998 El Camino Real #200,Santa Clara,Central Dental Group,False,408-241-2397,,
80,2344 El Camino Real,Santa Clara,Central Medical Center,False,408-249-1212,,
81,1200 Scott Boulevard # 4,Santa Clara,Kang Tae H,False,408-247-9946,,
82,1150 Scott Boulevard,Santa Clara,Malcolm Medical Group,False,408-246-9915,,
83,2100 Peabody Road,Vacaville,Deffenbaugh John,False,707-451-0182,,
84,2100 Peabody Road,Vacaville,Dr. Glenn L. Cheung,False,707-454-3485,,
85,2100 Peabody Road,Vacaville,Fantacone Cynthia J,False,707-469-9345,,
86,2100 Peabody Road,,Deffenbaugh John,False,707-451-0182,2019-03-08,14:30
87,11860 Dublin Boulevard,Dublin,Delta Dental,False,925-230-2183,,
88,4530 Dublin Boulevard,Dublin,Dublin Corners Dental,True,925-875-9292,,
89,11860 Dublin Boulevard,Dublin,Grasso A. Joseph,False,925-829-7277,,
90,7226 San Ramon Road,Dublin,Hsu G-Jen,False,925-551-3786,,
91,11860 Dublin Boulevard,,Delta Dental,False,925-230-2183,2019-03-05,16:30
92,899 Sir Francis Drake Boulevard,San Anselmo,Red Hill Dental,False,415-482-9808,,
93,899 Sir Francis Drake Boulevard,,Red Hill Dental,False,415-482-9808,2019-03-12,15:30
94,1785 San Carlos Ave # 3,San Carlos,Cofield Marianne,False,650-591-0995,,
95,1785 San Carlos Avenue # 6,San Carlos,Edwards John G,False,650-637-2005,,
96,1785 San Carlos Avenue #2b,San Carlos,Ghina Morad,False,650-549-1964,,
97,1785 San Carlos Avenue #5,San Carlos,Gilman Dental Group/Valerie Gilman,True,650-539-4785,,
98,1785 San Carlos Ave #1,San Carlos,Hart Brad L,False,650-593-7806,,
99,1785 San Carlos Avenue,San Carlos,Marenda Ronald E,False,650-591-8922,,
100,1785 San Carlos Ave # 4,San Carlos,Marlinski Richard J,False,650-593-4500,,
101,2664 Berryessa Road # 205,,A-1 Dental Care,False,408-258-6669,2019-03-08,12:00
102,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-08,12:00
103,1580 East Washington Street # 105,Petaluma,Dr Oscar Ventanilla,False,707-763-6381,,
104,599 Tomales Road,Petaluma,Dr. Christopher J. Bennett,False,707-765-7591,,
105,1580 East Washington Street # 105,Petaluma,Dr. Robert S. Gilbert,False,707-763-1959,,
106,1580 East Washington Street #101,Petaluma,North Bay Smiles,True,707-763-4122,,
107,1580 East Washington Street # 107,Petaluma,Petaluma Dental Associates,False,707-778-9000,,
108,1580 E Washington St # 108,Petaluma,Professional Dental Laboratories,False,707-762-0751,,
109,599 Tomales Road,,Dr. Christopher J. Bennett,False,707-765-7591,2019-03-13,14:30
110,10101 North Wolfe Road,Cupertino,Cabanas Carol L,False,408-996-9567,,
111,10011 North Foothill Boulevard # 112,Cupertino,Donna M Cotner,False,408-255-2550,,
112,10011 North Foothill Boulevard,Cupertino,Dr. Brian W. Chun,False,408-255-8882,,
113,19668 Stevens Creek Boulevard,Cupertino,Wang Jen-Kuei,False,408-257-8838,,
114,10011 North Foothill Boulevard # 112,,Donna M Cotner,False,408-255-2550,2019-03-02,11:30
115,17705 Hale Avenue A-5,,Bay Area Kids Dentist,False,408-779-2747,2019-03-05,14:30
116,37149 Fremont Boulevard,Fremont,Centerville Dental Care,True,510-797-6000,,
117,3200 Mowry Avenue # G,Fremont,Dr. John Y. Park,False,510-623-9497,,
118,39150 Sundale Drive,Fremont,Dr. Kwang H. Kim,False,415-517-1224,,
119,3618 Thornton Avenue,Fremont,Dr. Stephen T. Fan,False,510-797-2271,,
120,3660 Peralta Boulevard,Fremont,Golden Life Dental Lab,False,510-793-1823,,
121,39210 State Street # 214A,Fremont,Hahn Eun,False,510-797-3636,,
122,2211 Parkside Drive,Fremont,Hasaimoto Family Dentistry,False,510-793-6954,,
123,2211 Parkside Drive,Fremont,Lusch Roger P,False,510-793-6688,,
124,2188 Peralta Boulevard # D,Fremont,R. Michael Alvarez,False,510-713-6790,,
125,2211 Parkside Drive,Fremont,Steven C Fong,False,510-792-4332,,
126,37149 Fremont Boulevard,,Centerville Dental Care,True,510-797-6000,2019-03-02,15:00
127,1785 San Carlos Avenue #5,,Gilman Dental Group/Valerie Gilman,True,650-539-4785,2019-03-10,13:30
128,1870 El Camino Real #204,Burlingame,Dr. Michael E. Bahlinger,False,650-259-1111,,
129,1870 El Camino Real #204,,Dr. Michael E. Bahlinger,False,650-259-1111,2019-03-12,14:00
130,"4812, 1144 Sonoma Avenue",Santa Rosa,Access Dental - Santa Rosa,False,866-682-9904,,
131,4655 Hoen Avenue,Santa Rosa,Craig Wilson Msd,False,707-544-4922,,
132,4655 Hoen Avenue # 7,Santa Rosa,De Salvo Stephen C,False,707-573-9747,,
133,4655 Hoen Avenue,Santa Rosa,Dr. James A. Abbott,False,707-523-3636,,
134,1144 Sonoma Ave # 118,Santa Rosa,Foehl Charles L,False,707-545-7811,,
135,4655 Hoen Ave # 5,Santa Rosa,Forni James J,False,707-544-2696,,
136,1100 Sonoma Avenue suite e,Santa Rosa,Harry Albers & Associates,False,707-575-1190,,
137,3752 Montgomery Drive,Santa Rosa,Mission Dental Studio,False,707-528-9839,,
138,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-07,16:00
139,3107 Lone Tree Way,Antioch,Cosmetic Dentistry Antioch Ca,False,925-757-2422,,
140,3107 Lone Tree Way # C,Antioch,Cross Peggy,False,925-754-2662,,
141,3107 Lone Tree Way,Antioch,Dr. Keller & Dr. Burk - Antioch Premier Dental,True,925-757-5081,,
142,3107 Lone Tree Way,,Cosmetic Dentistry Antioch Ca,False,925-757-2422,2019-03-03,16:00
143,14475 South Bascom Avenue,Los Gatos,Cosmetic Dentist In Los Gatos - Moradi Signature Smiles - Sedation Dentistry,True,888-852-4539,,
144,1464 Pollard Road,Los Gatos,Mountain Bay Dental,True,408-837-7700,,
145,1464 Pollard Road,,Mountain Bay Dental,True,408-837-7700,2019-03-01,13:30
146,1615 Hill Road,Novato,Dr. Susana M. Chou,False,415-898-0091,,
147,1615 Hill Rd #19,Novato,Endoart: Vafaie Nader M,False,415-209-6100,,
148,1615 Hill Rd #12,Novato,Hickle Dallas H,False,415-892-1566,,
149,1615 Hill Road,Novato,Leahn J Huffman,True,415-897-3411,,
150,1615 Hill Road,Novato,Marin Sonoma Ctr Sleep Apnea,False,415-897-5300,,
151,1730 Novato Boulevard,Novato,Mark A. Hansen,True,415-897-5070,,
152,1615 Hill Road,Novato,Menasco Matthew,False,415-898-2100,,
153,1730 Novato Blvd # F,Novato,Rist Theodore,False,415-892-5678,,
154,1730 Novato Boulevard # G,Novato,Simon Ira R,False,415-897-7770,,
155,1730 Novato Boulevard suite a,Novato,Steven Mcconnell,True,415-450-6284,,
156,2664 Berryessa Road # 212,,Abad Dental Office,False,408-272-3809,2019-03-02,11:00
157,2998 El Camino Real #200,,Central Dental Group,False,408-241-2397,2019-03-03,13:30
158,20632 Redwood Road # A,Castro Valley,Darnell Jr Robert,False,510-582-1602,,
159,20632 Redwood Road # A,,Darnell Jr Robert,False,510-582-1602,2019-03-04,15:00
160,1039 Terra Nova Boulevard,Pacifica,Kahn Sandra,False,650-355-5038,,
161,1039 Terra Nova Boulevard,,Kahn Sandra,False,650-355-5038,2019-03-06,12:30
162,10101 North Wolfe Road,,Cabanas Carol L,False,408-996-9567,2019-03-12,17:30
163,3107 Lone Tree Way,,Dr. Keller & Dr. Burk - Antioch Premier Dental,True,925-757-5081,2019-03-10,12:00
164,2143 Springs Road # 51,Vallejo,Dr Pucan Dental Office,False,707-552-3952,,
165,4300 Sonoma Boulevard,Vallejo,Dr. Eugene H. Burton Iii,False,707-643-2500,,
166,96 Springstowne Center,Vallejo,Dr. Maria Theresa V. Chua,False,707-649-0120,,
167,3200 Mowry Avenue # G,,Dr. John Y. Park,False,510-623-9497,2019-03-01,11:30
168,6800 Palm Avenue e,Sebastopol,Gerald E. Dixon Scott E. Dixon,False,707-823-8529,,
169,6800 Palm Avenue,Sebastopol,Stephanie Kahle,False,707-823-7417,,
170,6800 Palm Avenue,,Stephanie Kahle,False,707-823-7417,2019-03-08,13:00
171,851 Cherry Avenue # 36,San Bruno,Bayhill Dental Care / Dr. Diaz F Luisa,False,650-873-9500,,
172,1178 El Camino Real,San Bruno,Sears Dental,False,650-553-8800,,
173,851 Cherry Avenue # 36,,Bayhill Dental Care / Dr. Diaz F Luisa,False,650-873-9500,2019-03-04,15:00
174,1040 Grant Road #103,Mountain View,Apple Dental Practice,False,650-336-1313,,
175,2500 Hospital Dr # 5D,Mountain View,Bares William R,False,650-966-8201,,
176,1057 El Monte Avenue Suite D,Mountain View,Chen Heather,False,650-969-3433,,
177,2500 Hospital Drive # 5E,Mountain View,Creative Dental Studio,False,650-965-9822,,
178,1057 El Monte Avenue,Mountain View,Cunningham James T,False,650-969-2866,,
179,100 West El Camino Real #74a,Mountain View,Dr. Pedram Malek,False,650-961-5975,,
180,2500 Hospital Drive # 5F,Mountain View,Excell Dental Studio,False,650-960-1469,,
181,2500 Hospital Drive,Mountain View,Fong Michael,False,650-968-3146,,
182,1040 Grant Road #105,Mountain View,Grant Road Dental,True,650-938-8127,,
183,2500 Hospital Drive # 14A,Mountain View,Greenfield Kornei & Lau,False,650-965-7500,,
184,2500 Hospital Dr # 5D,,Bares William R,False,650-966-8201,2019-03-01,15:30
185,299 West Juana Avenue,San Leandro,Astra Dental,True,510-352-5017,,
186,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-10,12:00
187,2401 Waterman Boulevard,Fairfield,Dr. Pascuala Geraldine T. Ocampo,False,209-834-7300,,
188,2801 Waterman Boulevard # 290,Fairfield,Fairfield Endodontics,False,707-425-5666,,
189,2801 Waterman Boulevard # 240,Fairfield,Hale Robert H,False,707-426-5427,,
190,1535 Webster Street Ste B,Fairfield,Hicken Scott C,False,707-429-9523,,
191,2801 Waterman Boulevard # 240,Fairfield,John R Saunderson,False,707-428-5427,,
192,2801 Waterman Boulevard,Fairfield,Marc Bowen,True,707-429-0451,,
193,1621 Travis Boulevard #300,Fairfield,Mosley Ii Julius,False,707-421-2161,,
194,1535 Webster Street,Fairfield,North Bay Dental Practice,False,707-429-1070,,
195,2750 North Texas Street #360,Fairfield,Sunrise Dental,True,707-422-8282,,
196,2801 Waterman Boulevard # 240,,Hale Robert H,False,707-426-5427,2019-03-06,13:30
197,1785 San Carlos Ave # 3,,Cofield Marianne,False,650-591-0995,2019-03-05,12:30
198,1785 San Carlos Ave # 3,,Cofield Marianne,False,650-591-0995,2019-03-05,15:30
199,24901 Santa Clara Street #2,Hayward,Gateway Plaza Dental Clinic,False,510-887-6835,,
200,24307 Southland Drive,Hayward,Premier Family Dental: Dr. Peter Han,False,510-785-3900,,
201,24901 Santa Clara Street #2,,Gateway Plaza Dental Clinic,False,510-887-6835,2019-03-14,15:00
202,37149 Fremont Boulevard,,Centerville Dental Care,True,510-797-6000,2019-03-06,10:30
203,1040 Grant Road #103,,Apple Dental Practice,False,650-336-1313,2019-03-10,14:00
204,1150 Scott Boulevard # A2,,Ahmed Sameena,False,408-985-7933,2019-03-07,15:30
205,1040 Grant Road #103,,Apple Dental Practice,False,650-336-1313,2019-03-11,16:00
206,430 East Calaveras Boulevard,Milpitas,Chen Jiangkai,False,408-956-0188,,
207,452 East Calaveras Boulevard,Milpitas,Dr. Sethi And Dr. Virdi,False,408-263-1255,,
208,430 East Calaveras Boulevard,Milpitas,Dr. Sridevi Alapati,False,415-871-6491,,
209,1123 South Park Victoria Drive,Milpitas,Lim Jae,False,408-942-0012,,
210,430 East Calaveras Boulevard,Milpitas,Nisha Dharmani Dentistry,True,408-263-9732,,
211,33 South Park Victoria Drive,Milpitas,Park Victoria Dental,False,408-942-1000,,
212,1390 Pear Avenue Ste. 3C,Mountain View,Shoreline Dental,True,650-969-1880,,
213,1040 Grant Road #105,,Grant Road Dental,True,650-938-8127,2019-03-08,14:30
214,3550 San Pablo Dam Road # A6,El Sobrante,Family Dental Care,False,510-223-3337,,
215,4450 San Pablo Dam Road,El Sobrante,Linda K. Low,False,510-223-3350,,
216,3550 San Pablo Dam Road # A6,,Family Dental Care,False,510-223-3337,2019-03-09,14:30
217,4655 Hoen Avenue,,Craig Wilson Msd,False,707-544-4922,2019-03-02,15:00
218,3544 Balboa Street,San Francisco,Balboa Dental Care,False,415-387-8802,,
219,90 Woodacre Drive # 108,San Francisco,Lee Myoung,False,415-239-4140,,
220,4215 Geary Boulevard,San Francisco,Lim Donald S,False,415-387-0220,,
221,450 Sutter Street # 1839,San Francisco,Son-Mc Intyre M Sook,False,415-981-9022,,
222,3544 Balboa Street,,Balboa Dental Care,False,415-387-8802,2019-03-10,16:30
223,9260 Alcosta Boulevard B-12,San Ramon,Advanced Ceramics Dental Sudio,False,925-828-7771,,
224,2400 Camino Ramon,San Ramon,Castro Valley Health,False,925-359-1110,,
225,9260 Alcosta Boulevard # D30,San Ramon,Dr. John Ichiuji,False,925-828-5918,,
226,9260 Alcosta Boulevard # D25,San Ramon,Ken'S Valley Dental Lab,False,925-829-6688,,
227,9260 Alcosta Boulevard # A8,San Ramon,Martin Edmund S,False,925-828-6399,,
228,21001 San Ramon Valley Boulevard C7,San Ramon,Parawan Ferdinand L,False,925-829-0994,,
229,9260 Alcosta Boulevard,San Ramon,Perfect Smiles Family Dentistry,True,925-833-8702,,
230,21001 San Ramon Valley Boulevard Ste E-3,San Ramon,Renew Dental Implant Specialists,True,888-275-2336,,
231,9260 Alcosta Boulevard # B9,San Ramon,Rutherford Dental Lab,False,925-833-8080,,
232,9260 Alcosta Boulevard A7,San Ramon,San Ramon Family Dentistry,True,925-829-2800,,
233,337 East Leland Road,,Pineda Lady F,False,925-431-1259,2019-03-04,13:00
234,"4812, 1144 Sonoma Avenue",,Access Dental - Santa Rosa,False,866-682-9904,2019-03-04,14:30
235,1783 Second Street,Livermore,Arroyo Park Family Dental,True,925-449-1768,,
236,430 East Calaveras Boulevard,,Chen Jiangkai,False,408-956-0188,2019-03-07,13:00
237,301 Sycamore Valley Road,Danville,Dr. Azadeh Jafarnia,False,925-884-1725,,
238,907 San Ramon Valley Boulevard Suite #204,Danville,James Giblin & Joey Nguyen,False,925-820-8686,,
239,318 Diablo Rd # 245,Danville,Kobayashi James Y,False,925-820-1910,,
240,520 La Gonda Way # 203,Danville,Miranda Robert A,False,925-552-0490,,
241,520 La Gonda Way # 202,Danville,Wong Annie L,False,925-837-0542,,
242,2801 Waterman Boulevard,,Marc Bowen,True,707-429-0451,2019-03-04,11:00
243,39150 Sundale Drive,,Dr. Kwang H. Kim,False,415-517-1224,2019-03-11,16:30
244,24307 Southland Drive,,Premier Family Dental: Dr. Peter Han,False,510-785-3900,2019-03-02,14:00
245,1300 University Drive # 5,Menlo Park,A A Aesthetics Dental Care,False,650-325-7711,,
246,724 Oak Grove Avenue Ste. 120,Menlo Park,Menlo Park Dental Excellence,True,650-838-0260,,
247,1300 University Dr # 8,Menlo Park,Menlo Pediatric Dental/ Grace Kwon,False,650-323-0264,,
248,1300 University Drive # 7,Menlo Park,Woodsmith Stephanie,False,650-326-1682,,
249,5 Bon Air Rd # 114,Larkspur,Danielson Gordon,False,415-924-7455,,
250,5 Bon Air Rd # 114,Larkspur,Koppe Michael J,False,415-924-2585,,
251,3434 Villa Lane D-160,Napa,Amine G Khoury,False,707-265-9440,,
252,3434 Villa Lane,Napa,Artistic Smiles,False,707-257-7771,,
253,1732 Jefferson Street # 5,Napa,Ocean Dental Lab,False,707-253-8914,,
254,2750 North Texas Street #360,,Sunrise Dental,True,707-422-8282,2019-03-11,17:30
255,2500 Hospital Dr # 5D,,Bares William R,False,650-966-8201,2019-03-11,12:30
256,9260 Alcosta Boulevard # B9,,Rutherford Dental Lab,False,925-833-8080,2019-03-08,11:30
257,88 Tully Road,,Dr. Uyen Khanh Bui,False,408-275-8688,2019-03-05,16:30
258,990 West Fremont Avenue,,Boyer Dental Arts,False,408-523-4030,2019-03-13,14:30
259,5150 Graves Avenue # 12H,,Dr. Herbert C. Berquist,False,408-253-6419,2019-03-01,15:00
260,337 East Leland Road,,Pineda Lady F,False,925-431-1259,2019-03-06,14:30
261,24307 Southland Drive,,Premier Family Dental: Dr. Peter Han,False,510-785-3900,2019-03-12,15:30
262,540 North Santa Cruz Avenue Suite B1,,Dr. Jaswinder Ghuman,False,408-354-0500,2019-03-07,14:30
263,1057 El Monte Avenue Suite D,,Chen Heather,False,650-969-3433,2019-03-10,10:00
264,1144 Sonoma Avenue # 112,,North Bay Radiology,False,707-578-4400,2019-03-05,16:30
265,882 Emerson Street,,Palo Alto,True,650-322-8572,2019-03-03,11:00
266,430 East Calaveras Boulevard,,Nisha Dharmani Dentistry,True,408-263-9732,2019-03-01,16:00
267,7880 Wren Avenue # D142,,Drysdale Christine,False,408-847-2658,2019-03-09,12:30
268,2500 Hospital Drive,,Fong Michael,False,650-968-3146,2019-03-01,16:30
269,114 Birch Street,,Elena B Gousseva-Grove,False,650-679-9238,2019-03-05,14:30
270,7880 Wren Avenue Suite D141,,"Amy N. Tran, And Eric R. Nagareda",False,408-847-0795,2019-03-11,11:30
271,5710 Cahalan Avenue # 4,,Dental Connection,False,408-972-2100,2019-03-14,15:30
272,88 Tully Road,,Dr. Silvie T. Quach,False,408-279-9888,2019-03-11,17:00
273,990 West Fremont Avenue # L,,Just A Cleaning,False,408-739-9050,2019-03-09,10:00
274,1123 South Park Victoria Drive,,Lim Jae,False,408-942-0012,2019-03-11,15:00
275,24901 Santa Clara Street #2,,Gateway Plaza Dental Clinic,False,510-887-6835,2019-03-09,11:30
276,515 South Drive #17,,Growing Smiles Pediatric Dentistry,False,650-567-9000,2019-03-10,11:00
277,2500 Hospital Drive #6A,,Thomas P Farris,False,650-967-5251,2019-03-10,14:00
278,1309 South Mary Avenue,,Dr. David I. Thompson,False,408-736-3602,2019-03-03,17:30
279,2516 Samaritan Drive,,"Greenview Dental Care, Yvonne Yang",True,408-356-8201,2019-03-11,12:00
280,1785 San Carlos Avenue #2b,,Ghina Morad,False,650-549-1964,2019-03-13,12:30
281,2000 Appian Way #202,,Appian Dental Center,False,510-724-2800,2019-03-10,14:00
282,5710 Cahalan Avenue Suite 3,,The Dental Dimensions,True,408-471-1294,2019-03-06,12:30
283,100 Oconnor Drive # 5,,O'Connor Dental Center,False,408-288-9894,2019-03-12,15:30
284,2505 Samaritan Drive #308,,Samaritan Dental Aesthetics,False,408-356-3588,2019-03-14,14:00
285,2505 Samaritan Drive #308,,Samaritan Dental Aesthetics,False,408-356-3588,2019-03-05,14:30
286,2400 Camino Ramon,,Castro Valley Health,False,925-359-1110,2019-03-12,10:00
287,990 W Fremont Ave # R,,Chandiok Neena K,False,408-530-8014,2019-03-05,12:30
288,78 Mission Drive Suite A,,Solage Dental,False,925-523-3695,2019-03-12,17:30
289,5150 Graves Avenue,,Dr. Clayton G. Zeidler,False,408-257-0341,2019-03-02,14:30
290,10011 North Foothill Boulevard,,Dr. Brian W. Chun,False,408-255-8882,2019-03-06,10:30
291,"4812, 1144 Sonoma Avenue",,Access Dental - Santa Rosa,False,866-682-9904,2019-03-03,12:00
292,3801 Miranda Avenue,,Montgomery Heath M,False,800-455-0057,2019-03-08,16:30
293,1150 Scott Boulevard # A2,,Ahmed Sameena,False,408-985-7933,2019-03-02,14:00
294,621 East Campbell Avenue # 2A,,C K Dental Lab,False,408-370-1424,2019-03-05,11:30
295,9260 Alcosta Boulevard B-12,,Advanced Ceramics Dental Sudio,False,925-828-7771,2019-03-06,13:00
296,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-13,16:30
297,3550 San Pablo Dam Road # A6,,Family Dental Care,False,510-223-3337,2019-03-14,15:00
298,1783 Second Street,,Arroyo Park Family Dental,True,925-449-1768,2019-03-09,14:00
299,3544 Balboa Street,,Balboa Dental Care,False,415-387-8802,2019-03-13,12:00
300,4655 Hoen Avenue # 6,,Daniel Sullivan,True,707-545-5260,2019-03-01,16:30
301,4646 El Camino Real,Los Altos,Family Dentistry - Dr. Marina Manosov,True,650-383-5599,,
302,4646 El Camino Real,,Family Dentistry - Dr. Marina Manosov,True,650-383-5599,2019-03-05,11:00
303,"4812, 1144 Sonoma Avenue",,Access Dental - Santa Rosa,False,866-682-9904,2019-03-11,16:00
304,540 North Santa Cruz Avenue Suite B1,Los Gatos,Dr. Jaswinder Ghuman,False,408-354-0500,,
305,210 Oak Meadow Drive,Los Gatos,Dr. Robert E. Durr,False,408-395-1121,,
