,average_rating,check_in_date,check_out_date,hotel_name,location,number_of_rooms,pets_welcome,phone_number,price,street_address
18,4.40,2019-03-01,2019-03-11,Penn'S View Hotel,Philadelphia,1,False,+1 800-331-7634,1400,14 North Front Street
19,3.90,2019-03-02,2019-03-14,Hotel Le Bleu,New York,1,False,+1 866-427-6073,2592,"370 4th Avenue, Brooklyn"
20,4.10,2019-03-03,2019-03-14,Furama Bukit Bintang,Kuala Lumpur,1,False,+60 3-2788 8888,3696,"136, Jalan Changkat Thambi Dollah, Pudu, 55100 Kuala Lumpur, Wilayah Persekutuan"
21,3.80,2019-03-05,2019-03-08,Travelodge London Farringdon,London,1,True,+44 871 984 6274,702,10 - 42 King's Cross Road
22,3.90,2019-03-06,2019-03-10,Eurostars Wall Street,New York,1,False,+1 212-742-0003,1332,129 Front Street
23,4.40,2019-03-02,2019-03-14,Hotel Indigo Atlanta Downtown,Atlanta,1,True,+1 404-523-7600,2496,230 Peachtree Street
24,4.30,2019-03-05,2019-03-12,"Victory House, London Leicester Square",London,1,False,+44 20 3909 4100,1008,14 Leicester Place
25,3.40,2019-03-02,2019-03-14,Travelodge Seattle By The Space Needle,Seattle,1,False,+1 206-962-8678,1224,200 6th Avenue North
26,3.50,2019-03-06,2019-03-14,Travelodge London Battersea,London,3,True,+44 871 984 6189,1512,200 York Road
27,3.90,2019-03-12,2019-03-14,Piccadilly Inn Airport,Fresno,1,False,+1 559-375-7760,666,5115 East McKinley Avenue
28,4.00,2019-03-03,2019-03-06,Clarion Inn & Suites Atlanta Downtown,Atlanta,1,False,+1 404-893-4663,720,186 Northside Drive Southwest
29,3.80,2019-03-04,2019-03-14,Best Western Jfk Airport Hotel,New York,1,False,+1 718-977-2100,2340,"14425 153rd Lane, Jamaica"
30,3.90,2019-03-07,2019-03-13,Comfort Inn Buckingham Palace Road,London,2,False,+44 20 7834 2988,828,10 Saint George's Drive
31,2.60,2019-03-01,2019-03-08,Hotel Paris Bercy,Paris,1,False,+33 1 43 43 31 91,588,"21 Rue de Wattignies, 75012"
32,4.00,2019-03-06,2019-03-14,Nu Hotel,Kuala Lumpur,1,False,+60 3-2274 9000,2592,"37, Jalan Thambipillay, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan"
33,4.20,2019-03-02,2019-03-10,Beverly Hills Marriott,Los Angeles,1,False,+1 310-553-6561,1472,1150 South Beverly Drive
34,4.30,2019-03-06,2019-03-13,Vibe Hotel North Sydney,Sydney,1,False,+61 2 9955 1111,1764,"171 Pacific Highway, North"
35,4.50,,,Alila Bangsar,Kuala Lumpur,2,False,+60 3-2268 3888,240,"East Side, 58, Jalan Ang Seng, Brickfields, 50470"
36,4.40,,,Aloft Kuala Lumpur Sentral,Kuala Lumpur,3,False,+60 3-2723 1188,5616,"No. 5, Jalan Stesen Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan"
37,3.90,,,Ancasa Hotel & Spa Kuala Lumpur,Kuala Lumpur,1,False,+60 3-2026 6060,198,"Jalan Tun Tan Cheng Lock, City Centre, 50500 Kuala Lumpur, Wilayah Persekutuan"
38,3.50,,,Arenaa Star Hotel,Kuala Lumpur,2,False,+60 3-2078 0988,1080,"49-51, Jalan Hang Lekiu, 50100"
39,4.80,,,Banyan Tree Kuala Lumpur,Kuala Lumpur,2,False,+60 3-2113 1888,480,"2, Jalan Conlay, 50450 Kuala Lumpur, Wilayah Persekutuan"
40,3.70,,,Citin Hotel Masjid Jamek,Kuala Lumpur,3,False,+60 3-2693 2999,3159,"33, Jalan Melayu, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan"
41,4.00,,,Cititel Mid Valley,Kuala Lumpur,2,False,+60 3-2296 1188,552,"Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan"
42,4.20,,,Concorde Hotel Kuala Lumpur,Kuala Lumpur,3,False,+60 3-2144 2200,2268,"2, Jalan Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan"
43,4.00,,,Container Hotel,Kuala Lumpur,2,False,+60 12-702 2851,2072,"Jalan Delima, Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan"
44,4.00,,,Corus Hotel Kuala Lumpur,Kuala Lumpur,2,False,+60 3-2161 8888,336,"Jalan Ampang, Hampshire Park, 50450 Kuala Lumpur, Wilayah Persekutuan"
45,4.50,,,Alila Bangsar,Kuala Lumpur,1,False,+60 3-2268 3888,240,"East Side, 58, Jalan Ang Seng, Brickfields, 50470"
46,4.40,,,Aloft Kuala Lumpur Sentral,Kuala Lumpur,1,False,+60 3-2723 1188,5616,"No. 5, Jalan Stesen Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan"
47,3.50,,,Arenaa Star Hotel,Kuala Lumpur,1,False,+60 3-2078 0988,1080,"49-51, Jalan Hang Lekiu, 50100"
48,4.80,,,Banyan Tree Kuala Lumpur,Kuala Lumpur,1,False,+60 3-2113 1888,480,"2, Jalan Conlay, 50450 Kuala Lumpur, Wilayah Persekutuan"
49,3.70,,,Citin Hotel Masjid Jamek,Kuala Lumpur,1,False,+60 3-2693 2999,3159,"33, Jalan Melayu, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan"
50,4.00,,,Cititel Mid Valley,Kuala Lumpur,1,False,+60 3-2296 1188,552,"Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan"
51,4.20,,,Concorde Hotel Kuala Lumpur,Kuala Lumpur,1,False,+60 3-2144 2200,2268,"2, Jalan Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan"
52,4.00,,,Container Hotel,Kuala Lumpur,1,False,+60 12-702 2851,2072,"Jalan Delima, Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan"
53,3.90,2019-03-01,2019-03-14,Ancasa Hotel & Spa Kuala Lumpur,Kuala Lumpur,1,False,+60 3-2026 6060,1404,"Jalan Tun Tan Cheng Lock, City Centre, 50500 Kuala Lumpur, Wilayah Persekutuan"
54,3.70,,,Atrium Inn Vancouver,Vancouver,1,True,+1 604-254-1000,990,2889 East Hastings Street
55,4.10,,,Auberge Vancouver Hotel,Vancouver,3,False,+1 604-678-8899,2760,837 West Hastings Street
56,4.10,,,Best Western Plus Chateau Granville Hotel & Suites & Conference Ctr.,Vancouver,3,True,+1 604-669-7070,2232,1100 Granville Street
57,4.00,,,Best Western Plus Sands,Vancouver,1,True,+1 604-682-1831,1768,1755 Davie Street
58,4.30,,,Blue Horizon Hotel,Vancouver,2,False,+1 604-688-1411,2736,1225 Robson Street
59,4.30,,,Coast Coal Harbour Vancouver Hotel By Apa,Vancouver,1,True,+1 604-697-0202,348,1180 West Hastings Street
60,3.50,,,Coast Vancouver Airport Hotel,Vancouver,3,False,+1 604-263-1555,918,1041 Southwest Marine Drive
61,3.20,,,Days Inn By Wyndham Vancouver Downtown,Vancouver,3,False,+1 604-681-4335,621,921 West Pender Street
62,4.50,,,Delta Hotels By Marriott Vancouver Downtown Suites,Vancouver,2,True,+1 844-254-5048,1800,550 West Hastings Street
63,4.40,,,Exchange Hotel Vancouver,Vancouver,2,False,+1 604-563-4693,1632,475 Howe Street
64,4.40,,,Georgian Court Hotel,Vancouver,2,True,+1 800-663-1155,1056,773 Beatty Street
65,4.40,,,Hampton Inn & Suites,Vancouver,3,True,+1 604-602-1008,2112,111 Robson Street
66,4.40,,,Hotel Blu Vancouver,Vancouver,3,True,+1 604-620-6200,1116,177 Robson Street
67,4.70,,,L'Hermitage Vancouver,Vancouver,1,True,+1 888-855-1050,1716,788 Richards Street
68,4.70,,,Loden Hotel,Vancouver,1,True,+1 604-669-5060,1296,1177 Melville Street
69,4.30,,,Bahia Resort Hotel,San Diego,2,True,+1 858-539-8666,1232,998 West Mission Bay Drive
70,3.80,,,Best Western Mission Bay,San Diego,2,True,+1 619-275-5700,1440,2575 Clairemont Drive
71,4.30,,,Best Western Plus Bayside Inn,San Diego,2,False,+1 619-233-7500,2000,555 West Ash Street
72,4.20,,,Best Western Plus Hacienda Hotel Old Town,San Diego,3,False,+1 619-298-4707,720,4041 Harney Street
73,4.50,,,Best Western Plus Island Palms Hotel & Marina,San Diego,2,False,+1 619-222-0561,2072,2051 Shelter Island Drive
74,3.90,,,Best Western San Diego/Miramar Hotel,San Diego,3,False,+1 858-578-6600,4212,9310 Kearny Mesa Road
75,3.70,,,Best Western Seven Seas,San Diego,2,False,+1 619-291-1300,1800,411 Hotel Circle South
76,4.00,,,Best Western Yacht Harbor Hotel,San Diego,1,False,+1 619-224-3254,720,5005 North Harbor Drive
77,4.40,,,Blue Sea Beach Hotel,San Diego,1,False,+1 858-488-4700,928,707 Pacific Beach Drive
78,4.30,,,Capri By The Sea By All Seasons Resort Lodging,San Diego,3,False,+1 858-483-6110,1104,4767 Ocean Boulevard
79,4.30,2019-03-01,2019-03-08,Bahia Resort Hotel,San Diego,1,True,+1 858-539-8666,1232,998 West Mission Bay Drive
80,4.50,,,1 Hotel Brooklyn Bridge,New York,1,True,+1 833-625-6111,4884,"60 Furman Street, Brooklyn"
81,4.50,,,1 Hotel Central Park,New York,1,True,+1 212-703-2001,1944,1414 6th Avenue
82,4.30,,,11 Howard,New York,1,False,+1 212-235-1111,432,11 Howard Street
83,4.00,,,6 Columbus Hotel,New York,1,True,+1 212-204-3000,3536,308 West 58th Street
84,4.50,,,Ac Hotel New York Times Square,New York,1,False,+1 212-398-2700,496,260 West 40th Street
85,4.30,,,Ace Hotel,New York,1,True,+1 212-991-0551,3960,20 West 29th Street
86,3.90,,,Adria Hotel & Conference Center,New York,1,False,+1 718-631-5900,684,"221-17 Northern Boulevard, Bayside"
87,4.40,,,Aka Central Park,New York,1,False,+1 646-744-3100,2352,42 West 58th Street
88,4.40,,,Aka Times Square,New York,1,True,+1 212-764-5700,1728,123 West 44th Street
89,4.60,,,Aka Wall Street,New York,1,False,+1 212-252-9090,744,84 William Street
90,4.50,2019-03-03,2019-03-14,1 Hotel Brooklyn Bridge,New York,1,True,+1 833-625-6111,4884,"60 Furman Street, Brooklyn"
91,4.00,,,Aloft Atlanta Downtown,Atlanta,3,True,+1 678-515-0300,456,300 Ted Turner Drive Northwest
92,3.30,,,"Country Inn & Suites By Radisson, Atlanta Downtown South At Turner Field, Ga",Atlanta,1,True,+1 404-658-1961,1209,759 Pollard Boulevard Southwest
93,3.90,,,Crowne Plaza Atlanta - Midtown,Atlanta,3,True,+1 404-877-9000,2178,590 West Peachtree Street Northwest
94,4.20,,,Home2 Suites By Hilton Atlanta Downtown,Atlanta,3,True,+1 404-965-7992,3840,87 Walton Street Northwest
95,4.40,,,Hotel Indigo Atlanta Downtown,Atlanta,2,True,+1 404-523-7600,2736,230 Peachtree Street
96,4.30,,,Hyatt Centric Midtown Atlanta,Atlanta,2,True,+1 404-443-1234,3848,125 10th Street Northeast
97,4.30,,,Hyatt House Atlanta/Downtown,Atlanta,3,True,+1 404-332-5522,3120,431 Marietta Street NorthWest
98,4.10,,,Hyatt Place Atlanta/Buckhead,Atlanta,2,True,+1 404-869-6161,1200,3242 Peachtree Road Northeast
99,4.20,,,Hyatt Place Atlanta/Downtown,Atlanta,2,True,+1 404-577-1980,1320,330 Peachtree Street Northeast
100,3.90,,,La Quinta Inn & Suites By Wyndham Atlanta Midtown - Buckhead,Atlanta,1,True,+1 404-321-0999,675,2535 Chantilly Drive Northeast
101,3.90,2019-03-03,2019-03-14,Crowne Plaza Atlanta - Midtown,Atlanta,1,True,+1 404-877-9000,2178,590 West Peachtree Street Northwest
102,4.30,,,Bahia Resort Hotel,San Diego,1,True,+1 858-539-8666,1232,998 West Mission Bay Drive
103,3.80,,,Best Western Mission Bay,San Diego,1,True,+1 619-275-5700,1440,2575 Clairemont Drive
104,4.30,,,Best Western Plus Bayside Inn,San Diego,1,False,+1 619-233-7500,2000,555 West Ash Street
105,4.20,,,Best Western Plus Hacienda Hotel Old Town,San Diego,1,False,+1 619-298-4707,720,4041 Harney Street
106,4.50,,,Best Western Plus Island Palms Hotel & Marina,San Diego,1,False,+1 619-222-0561,2072,2051 Shelter Island Drive
107,3.90,,,Best Western San Diego/Miramar Hotel,San Diego,1,False,+1 858-578-6600,4212,9310 Kearny Mesa Road
108,3.70,,,Best Western Seven Seas,San Diego,1,False,+1 619-291-1300,1800,411 Hotel Circle South
109,4.30,,,Capri By The Sea By All Seasons Resort Lodging,San Diego,1,False,+1 858-483-6110,1104,4767 Ocean Boulevard
110,3.80,2019-03-01,2019-03-11,Best Western Mission Bay,San Diego,1,True,+1 619-275-5700,1440,2575 Clairemont Drive
111,4.10,,,Adina Apartment Hotel Sydney Darling Harbour,Sydney,3,False,+61 2 9249 7000,2880,55 Shelley Street
112,4.00,,,Adina Apartment Hotel Sydney Town Hall,Sydney,2,False,+61 2 9274 0000,1176,511 Kent Street
113,3.60,,,Adina Serviced Apartments Sydney Martin Place (Formerly Medina),Sydney,3,False,+61 1300 633 462,1701,1 Hosking Place
114,4.30,,,Amora Hotel,Sydney,3,False,+61 2 9696 2500,4212,11 Jamison Street
115,3.60,,,Base Backpackers Sydney,Sydney,1,False,+61 1800 242 273,279,477 Kent Street
116,2.90,,,Breakfree On Clarence,Sydney,2,False,+61 2 8017 8888,1664,193-195 Clarence Street
117,3.60,,,Breakfree On George,Sydney,3,False,+61 132007,3240,653 George Street
118,4.10,,,Courtyard By Marriott Sydney-North Ryde,Sydney,2,False,+61 2 9491 9500,768,7-11 Talavera Road North Ryde
119,4.20,,,Establishment Hotel,Sydney,3,False,+61 2 9240 3100,3024,5 Bridge Lane
120,4.40,,,Fraser Suites Sydney,Sydney,2,False,+61 2 8823 8888,2784,488 Kent Street
121,4.30,,,Ac Hotel By Marriott Chicago Downtown,Chicago,2,True,+1 312-981-6600,320,630 North Rush Street
122,4.60,,,Ace Hotel Chicago,Chicago,2,True,+1 312-764-1919,1440,311 North Morgan Street
123,4.50,,,Acme Hotel Company Chicago,Chicago,2,False,+1 312-894-0800,3552,15 East Ohio Street
124,4.50,,,Aloft Chicago Downtown River North,Chicago,2,True,+1 312-661-1000,960,515 North Clark Street
125,3.90,,,Aloft Chicago Mag Mile,Chicago,2,True,+1 312-429-6600,1053,243 East Ontario Street
126,4.20,,,Ambassador Chicago,Chicago,2,False,+1 888-506-3471,3552,1301 North State Parkway
127,3.90,,,Best Western Grant Park Hotel,Chicago,2,False,+1 312-922-2900,207,1100 South Michigan Avenue
128,4.30,,,Best Western Plus Hawthorne Terrace Hotel,Chicago,2,True,+1 773-244-3434,2400,3434 N Broadway Ave
129,4.10,,,Best Western River North Hotel,Chicago,2,False,+1 312-467-0800,744,125 West Ohio Street
130,4.20,,,Cambria Hotel Chicago Magnificent Mile,Chicago,2,False,+1 312-787-6000,2728,166 East Superior Street
131,4.30,2019-03-10,2019-03-12,Ac Hotel By Marriott Chicago Downtown,Chicago,2,True,+1 312-981-6600,320,630 North Rush Street
132,4.70,,,45 Park Lane,London,2,True,+44 20 7493 4545,1344,45 Park Lane
133,3.20,,,Abc Hyde Park Hotel,London,2,False,+44 20 7706 4660,960,121 Sussex Gardens
134,3.50,,,Abercorn House,London,1,False,+44 20 8563 8692,552,28-30 Bute Gardens
135,4.10,,,Accommodation London Bridge,London,2,False,+44 20 7403 4299,1520,58 Great Dover Street
136,4.30,,,Ace Hotel London,London,2,True,+44 20 7613 9800,1400,100 Shoreditch High Street
137,3.70,,,Airways Hotel London Victoria,London,3,False,+44 20 7834 0205,2592,29-31 Saint George's Drive
138,4.50,,,Amba Hotel Charing Cross,London,2,False,+44 871 376 9012,2480,Strand
139,4.20,,,Amba Hotel Marble Arch,London,1,False,+44 800 330 8523,624,Bryanston Street
140,3.90,,,Ambassadors Bloomsbury Hotel,London,2,False,+44 20 7388 9930,720,12 Upper Woburn Place
141,3.00,,,Ambassadors Hotel,London,2,False,+44 20 7373 1075,198,16 Collingham Road
142,3.50,,,Abercorn House,London,2,False,+44 20 8563 8692,1170,28-30 Bute Gardens
143,3.70,,,Airways Hotel London Victoria,London,2,False,+44 20 7834 0205,2592,29-31 Saint George's Drive
144,4.20,,,Amba Hotel Marble Arch,London,2,False,+44 800 330 8523,1408,Bryanston Street
145,4.10,,,Anaheim Desert Inn And Suites,Anaheim,2,False,+1 714-772-5050,3168,1600 South Harbor Boulevard
146,4.00,,,Anaheim Majestic Garden Hotel,Anaheim,2,True,+1 714-778-1700,2400,900 South Disneyland Drive
147,3.90,,,Anaheim Portofino Inn & Suites,Anaheim,2,False,+1 800-341-6301,2112,1831 South Harbor Boulevard
148,4.40,,,Anaheim Rv Park,Anaheim,2,True,+1 714-774-3860,3648,200 West Midway Drive
149,4.50,,,Ayres Hotel Anaheim,Anaheim,2,False,+1 714-634-2106,2520,2550 East Katella Avenue
150,4.40,,,Best Western Plus Anaheim Inn,Anaheim,2,False,+1 714-774-1050,1624,1630 South Harbor Boulevard
151,4.30,,,Best Western Plus Park Place Inn - Mini Suites,Anaheim,2,False,+1 714-776-4800,2304,1544 South Harbor Boulevard
152,4.30,,,Best Western Plus Pavilions,Anaheim,2,False,+1 714-776-0140,5460,1176 West Katella Avenue
153,4.10,,,Best Western Plus Raffles Inn & Suites,Anaheim,2,False,+1 714-750-6100,2100,2040 South Harbor Boulevard
154,4.30,,,Best Western Plus Stovall'S Inn,Anaheim,2,False,+1 714-778-1880,528,1110 West Katella Avenue
155,4.10,2019-03-08,2019-03-10,Anaheim Desert Inn And Suites,Anaheim,2,False,+1 714-772-5050,672,1600 South Harbor Boulevard
156,4.30,,,Ac Hotel By Marriott Paris Porte Maillot,Paris,3,True,+33 1 84 82 49 09,1008,"6 Rue Gustave Charpentier, 75017"
157,4.60,,,Amastan Paris,Paris,2,False,+33 1 49 52 99 70,1056,"34 Rue Jean Mermoz, 75008"
158,3.40,,,Aparthotel Adagio Access Paris La Villette,Paris,2,True,+33 1 44 72 42 00,900,"28bis Avenue Corentin Cariou, 75019"
159,4.10,,,Aparthotel Adagio Paris Montmartre,Paris,2,True,+33 1 42 57 14 55,1680,"10 Place Charles Dullin, 75018"
160,3.70,,,Austin'S Saint Lazare HoTel,Paris,3,False,+33 1 48 74 48 71,3267,"26 Rue d'Amsterdam, 75009"
161,3.70,,,Avalon Hotel Paris Gare Du Nord,Paris,1,True,+33 1 42 85 50 00,405,"131 Boulevard de Magenta, 75010"
162,3.60,,,Best Western Bretagne Montparnasse,Paris,1,False,+33 1 45 38 52 59,600,"33 Rue Raymond Losserand, 75014"
163,4.40,,,Bob Hotel By Elegancia,Paris,1,False,+33 1 40 43 02 33,400,"30 Rue Pernety, 75014"
164,4.10,,,Brach Paris,Paris,2,False,+33 1 44 30 10 00,864,"1-7 Rue Jean Richepin, 75016"
165,4.50,,,Buddha-Bar Hotel Paris,Paris,1,True,+33 1 83 96 88 88,936,"4 Rue d'Anjou, 75008"
166,4.30,2019-03-02,2019-03-13,Ac Hotel By Marriott Paris Porte Maillot,Paris,1,True,+33 1 84 82 49 09,1672,"6 Rue Gustave Charpentier, 75017"
167,4.50,,,Ac Hotel By Marriott Atlanta Buckhead At Phipps Plaza,Atlanta,3,False,+1 470-231-3030,2340,3600 Wieuca Road Northeast
168,4.30,,,Ac Hotel By Marriott Atlanta Downtown,Atlanta,3,False,+1 404-524-5555,3276,101 Andrew Young International Boulevard Northwest
169,4.20,,,Atlanta Marriott Suites Midtown,Atlanta,3,False,+1 404-876-8888,3888,35 14th Street Northeast
170,3.10,,,Barclay Hotel Atlanta Downtown,Atlanta,3,False,+1 404-524-7991,3150,89 Luckie Street Northwest
171,4.70,,,Canopy By Hilton Atlanta Midtown,Atlanta,3,False,+1 404-685-1677,2904,1414 West Peachtree Street Northwest
172,4.00,,,Clarion Inn & Suites Atlanta Downtown,Atlanta,2,False,+1 404-893-4663,1184,186 Northside Drive Southwest
173,4.10,,,Courtyard By Marriott Atlanta Buckhead,Atlanta,3,False,+1 404-869-0818,5772,3332 Peachtree Road Northeast
174,4.50,2019-03-05,2019-03-13,Ac Hotel By Marriott Atlanta Buckhead At Phipps Plaza,Atlanta,1,False,+1 470-231-3030,832,3600 Wieuca Road Northeast
175,3.20,2019-03-03,2019-03-11,Abc Hyde Park Hotel,London,1,False,+44 20 7706 4660,960,121 Sussex Gardens
176,3.50,,,Amsterdam Hostel San Francisco,San Francisco,3,False,+1 415-673-3277,522,749 Taylor Street
177,4.40,,,Argonaut Hotel,San Francisco,3,True,+1 415-563-0800,324,495 Jefferson Street
178,4.40,,,Beck'S Motor Lodge,San Francisco,1,False,+1 415-621-8212,1480,2222 Market Street
179,2.60,,,Bei Hotel San Francisco,San Francisco,3,True,+1 415-626-6103,468,50 8th Street
180,4.00,,,Beresford Arms Hotel,San Francisco,2,True,+1 415-673-2600,3040,701 Post Street
181,3.60,,,Casa Loma Hotel,San Francisco,2,False,+1 415-552-7100,720,610 Fillmore Street
182,4.30,,,Chancellor Hotel On Union Square,San Francisco,1,False,+1 415-362-2004,1104,433 Powell Street
183,4.10,,,Chelsea,San Francisco,3,False,+1 415-563-5600,4884,2095 Lombard Street
184,3.90,,,Comfort Inn By The Bay,San Francisco,1,False,+1 415-928-5000,435,2775 Van Ness Avenue
185,4.30,,,Cornell Hotel De France,San Francisco,2,False,+1 415-421-3154,1440,715 Bush Street
186,3.50,,,Amsterdam Hostel San Francisco,San Francisco,1,False,+1 415-673-3277,522,749 Taylor Street
187,4.40,,,Argonaut Hotel,San Francisco,1,True,+1 415-563-0800,324,495 Jefferson Street
188,2.60,,,Bei Hotel San Francisco,San Francisco,1,True,+1 415-626-6103,468,50 8th Street
189,4.00,,,Beresford Arms Hotel,San Francisco,1,True,+1 415-673-2600,3040,701 Post Street
190,3.60,,,Casa Loma Hotel,San Francisco,1,False,+1 415-552-7100,720,610 Fillmore Street
191,4.10,,,Chelsea,San Francisco,1,False,+1 415-563-5600,4884,2095 Lombard Street
192,4.40,2019-03-01,2019-03-10,Beck'S Motor Lodge,San Francisco,1,False,+1 415-621-8212,1008,2222 Market Street
193,4.70,2019-03-01,2019-03-07,45 Park Lane,London,2,True,+44 20 7493 4545,1344,45 Park Lane
194,4.20,,,Aloft Phoenix-Airport,Phoenix,3,True,+1 602-275-6300,2088,4450 East Washington Street
195,4.30,,,Arizona Grand Resort & Spa,Phoenix,1,False,+1 602-426-2638,600,8000 Arizona Grand Parkway
196,4.40,,,Cambria Hotel North Scottsdale Desert Ridge,Phoenix,1,False,+1 480-585-6644,1924,4425 E Irma Ln&nbsp
197,3.80,,,Comfort Suites Phoenix North,Phoenix,2,True,+1 602-861-3900,1650,10210 North 26th Drive
198,4.50,,,Courtyard By Marriott Phoenix Downtown,Phoenix,2,False,+1 602-603-2001,992,132 South Central Avenue
199,4.10,,,Crowne Plaza Phoenix Airport,Phoenix,3,True,+1 602-273-7778,1392,4300 East Washington Street
200,3.10,,,Days Inn By Wyndham Airport - Phoenix,Phoenix,3,False,+1 800-615-3107,2457,2900 East Van Buren Street
201,4.10,,,Doubletree Suites By Hilton Hotel Phoenix,Phoenix,3,True,+1 602-225-0500,648,320 North 44th Street
202,4.50,,,Drury Inn & Suites Phoenix Airport,Phoenix,1,True,+1 602-437-8400,592,3333 East University Drive
203,4.50,,,Drury Inn & Suites Phoenix Happy Valley,Phoenix,1,True,+1 623-879-8800,640,2335 West Pinnacle Peak Road
204,4.20,,,Aloft Phoenix-Airport,Phoenix,1,True,+1 602-275-6300,2088,4450 East Washington Street
205,3.80,,,Comfort Suites Phoenix North,Phoenix,1,True,+1 602-861-3900,1650,10210 North 26th Drive
206,4.50,,,Courtyard By Marriott Phoenix Downtown,Phoenix,1,False,+1 602-603-2001,992,132 South Central Avenue
207,4.10,,,Crowne Plaza Phoenix Airport,Phoenix,1,True,+1 602-273-7778,1392,4300 East Washington Street
208,3.10,,,Days Inn By Wyndham Airport - Phoenix,Phoenix,1,False,+1 800-615-3107,2457,2900 East Van Buren Street
209,4.10,,,Doubletree Suites By Hilton Hotel Phoenix,Phoenix,1,True,+1 602-225-0500,648,320 North 44th Street
210,4.30,2019-03-04,2019-03-10,Arizona Grand Resort & Spa,Phoenix,1,False,+1 602-426-2638,600,8000 Arizona Grand Parkway
211,4.70,,,45 Park Lane,London,3,True,+44 20 7493 4545,456,45 Park Lane
212,4.30,,,Ace Hotel London,London,3,True,+44 20 7613 9800,4836,100 Shoreditch High Street
213,4.20,,,Citadines Barbican London (Apart Hotel London),London,3,True,+44 20 7566 8000,5460,7-21 Goswell Road
214,4.10,,,Citadines Holborn-Covent Garden London (Apart Hotel London),London,3,True,+44 20 7395 8800,2208,94-99 High Holborn
215,4.20,,,Citadines Trafalgar Square London (Apart Hotel London),London,3,True,+44 20 7766 3700,1872,18-21 Northumberland Avenue
216,4.40,,,Como Metropolitan London,London,3,True,+44 20 7447 1000,5928,19 Old Park Lane
217,3.80,,,Days Inn London Hyde Park,London,3,True,+44 20 7723 2939,2736,148-152 Sussex Gardens
218,4.10,,,De Vere Devonport House,London,3,True,+44 871 222 4796,4896,King William Walk
