,genre,starring,subtitle_language,title
106,Animation,Bill Hader,Spanish,The Angry Birds Movie 2
107,Fantasy,Bret McKenzie,French,The Lord of the Rings: The Return of the King
108,Fantasy,Bret McKenzie,English,The Lord of the Rings: The Return of the King
109,Supernatural,Owen Teague,English,IT Chapter Two
110,Cult,Quentin Tarantino,English,Pulp Fiction
111,Horror,Davi Santos,Spanish,47 Meters Down: Uncaged
112,Horror,Hayley Squires,Hindi,In Fabric
113,Horror,William Jackson Harper,English,Midsommar
114,Horror,Manabu Hosoi,Spanish,One Cut of the Dead
115,Horror,Lorraine Toussaint,French,Scary Stories to Tell in the Dark
116,Comedy,Emma Nelson,Hindi,"Where'd You Go, Bernadette"
117,Horror,Dean Norris,Hindi,Scary Stories to Tell in the Dark
118,Horror,Dean Norris,English,Scary Stories to Tell in the Dark
119,Comedy,Ellise Chappell,English,Yesterday
120,Drama,Alex Kendrick,English,Overcomer
121,Thriller,Davey Johnson,English,The Art of Self-Defense
122,World,Nadim Sawalha,English,Tel Aviv on Fire
123,Animation,Christina-Ann Zalamea,English,The Angry Birds Movie 2
124,Drama,Dali Benssalah,Hindi,A Faithful Man
125,Horror,Julia Ragnarsson,English,Midsommar
126,Drama,Dan Bittner,Hindi,Brittany Runs a Marathon
127,Animation,Lori Alan,Spanish,Toy Story 4
128,Drama,Dan Bittner,English,Brittany Runs a Marathon
129,Fantasy,Timothy Bateson,French,Labyrinth
130,Sci-fi,Bobby Nish,Spanish,Ad Astra
131,Thriller,Jack Melford,Spanish,The Ladykillers
132,Action,Morgan Freeman,English,Angel Has Fallen
133,Action,Sharman Joshi,Hindi,Mission Mangal
134,Comedy,Vanessa Przada,Spanish,Good Boys
135,Sci-fi,James Keane,English,Close Encounters of the Third Kind
136,Animation,Christoph Maria Herbst,English,The Angry Birds Movie 2
137,Thriller,Mara Bestelli,English,Rojo
138,Cult,Bronagh Gallagher,Spanish,Pulp Fiction
139,Cult,Bronagh Gallagher,English,Pulp Fiction
140,Sci-fi,Gene Rader,English,Close Encounters of the Third Kind
141,Mystery,Matt Smith,English,Official Secrets
142,Offbeat,Madisen Beaty,Spanish,Once Upon a Time In Hollywood
143,Horror,Louise Peterhoff,French,Midsommar
144,Drama,Ryan Kiera Armstrong,Hindi,The Art of Racing in the Rain
145,Family,Gale J. Odom,English,Steel Magnolias
146,Action,Darren Eisnor,French,Riot Girls
147,Documentary,Calvin Trillin,Hindi,Fiddler: A Miracle of Miracles
148,Fantasy,Warwick Davis,Hindi,Labyrinth
149,Mystery,Shaun Dooley,Spanish,Official Secrets
150,Family,Dylan McDermott,French,Steel Magnolias
151,Thriller,Cecil Parker,Hindi,The Ladykillers
152,Comedy,Lil Rel Howery,Hindi,Good Boys
153,Drama,Lil Rel Howery,English,Brittany Runs a Marathon
154,Sci-fi,Kirk Raymond,Hindi,Close Encounters of the Third Kind
155,Mystery,Monica Dolan,English,Official Secrets
156,Sci-fi,Cy Young,English,Close Encounters of the Third Kind
157,Drama,Grady Sutton,Spanish,Stage Door
158,Drama,Adam Sietz,Spanish,Brittany Runs a Marathon
159,Cult,John Travolta,English,Pulp Fiction
160,Cult,Brad Parker,English,Pulp Fiction
161,Cult,Bruce Willis,French,Pulp Fiction
162,Musical,Michelle Phillips,English,Echo In The Canyon
163,Drama,Julia Stiles,English,Hustlers
164,Action,Piper Perabo,English,Angel Has Fallen
165,Supernatural,James Ransone,English,IT Chapter Two
166,Thriller,Katie Johnson,English,The Ladykillers
167,Drama,Brandon Keener,English,Hustlers
168,Drama,Trace Lysette,Spanish,Hustlers
169,Family,Betsy Widhalm,English,Steel Magnolias
170,Family,Betsy Widhalm,French,Steel Magnolias
171,Fantasy,Frank Oz,Hindi,Labyrinth
172,Comedy-drama,Michelle Caspar,English,Give Me Liberty
173,Action,Purab Kohli,Spanish,Mission Mangal
174,Thriller,Madge Brindley,English,The Ladykillers
175,Horror,Gwendoline Christie,English,In Fabric
176,Drama,Mette Towley,Hindi,Hustlers
177,Drama,Madeline Brewer,French,Hustlers
178,Cult,Phil LaMarr,Hindi,Pulp Fiction
179,World,Ula Tabari,Hindi,Tel Aviv on Fire
180,World,Ula Tabari,English,Tel Aviv on Fire
181,Sci-fi,Donnie Keshawarz,Hindi,Ad Astra
182,Sci-fi,Donnie Keshawarz,English,Ad Astra
183,Comedy,Ana de Armas,Hindi,Yesterday
184,Comedy,Claudia Doumit,English,"Where'd You Go, Bernadette"
185,Sci-fi,Roberts Blossom,English,Close Encounters of the Third Kind
186,Horror,Florence Pugh,Spanish,Midsommar
187,Drama,Samuel S. Hinds,French,Stage Door
188,Drama,Samuel S. Hinds,English,Stage Door
189,Musical,Roger McGuinn,English,Echo In The Canyon
190,Musical,Graham Nash,Spanish,Echo In The Canyon
191,Horror,Michael Hordern,English,Theatre of Blood
192,Animation,Blake Clark,Hindi,Toy Story 4
193,Comedy,Camilla Rutherford,Spanish,Yesterday
194,Comedy,Camilla Rutherford,English,Yesterday
195,Horror,Bjorn Andresen,French,Midsommar
196,Anime,Koichi Yamadera,English,Paprika
197,Fantasy,Peter Jackson,English,The Lord of the Rings: The Return of the King
198,Fantasy,Peter Jackson,Hindi,The Lord of the Rings: The Return of the King
199,World,Amer Hlehel,English,Tel Aviv on Fire
200,World,Nahuel Cano,English,Zama
201,Family,Debbie McCann,English,Steel Magnolias
202,Horror,Brianne Tju,English,47 Meters Down: Uncaged
203,Comedy,Lee Eisenberg,English,Good Boys
204,Comedy,Lee Eisenberg,French,Good Boys
205,Drama,Emilio Cuaik,Spanish,This Is Not Berlin
206,Mystery,Stro,English,Luce
207,Offbeat,Mikey Madison,French,Once Upon a Time In Hollywood
208,Fantasy,David Shaughnessy,English,Labyrinth
209,Tragedy,Paola Lara,Hindi,Tigers Are Not Afraid
210,Tragedy,Hanssel Casillas,English,Tigers Are Not Afraid
211,Action,Mahesh Manjrekar,Spanish,Saaho
212,Anime,Anri Katsu,English,Paprika
213,Cult,Ani Sava,English,Pulp Fiction
214,Drama,Meera Ganatra,Hindi,Blinded by the Light
215,Anime,Katsunosuke Hori,Spanish,Paprika
216,Family,Carol Sutton,Spanish,Steel Magnolias
217,Family,Carol Sutton,English,Steel Magnolias
218,Cult,Samuel L. Jackson,English,Pulp Fiction
219,Cult,Samuel L. Jackson,French,Pulp Fiction
220,Fantasy,David Aston,English,The Lord of the Rings: The Return of the King
221,Action,Roman Reigns,French,Hobbs and Shaw
222,Drama,Abby Quinn,French,After The Wedding
223,Drama,Aliza Vellani,English,The Art of Racing in the Rain
224,Drama,Constance Wu,Hindi,Hustlers
225,Comedy,Kate McKinnon,French,Yesterday
226,Cult,Christopher Walken,English,Pulp Fiction
227,Cult,Christopher Walken,Hindi,Pulp Fiction
228,Cult,Eric Clark,Hindi,Pulp Fiction
229,Sci-fi,Norman Bartold,Hindi,Close Encounters of the Third Kind
230,Cult,Peter Greene,English,Pulp Fiction
231,Drama,Adam Sietz,English,Brittany Runs a Marathon
232,Animation,Thurop Van Orman,Hindi,The Angry Birds Movie 2
233,Fantasy,Sean Astin,English,The Lord of the Rings: The Return of the King
234,Thriller,Edie Martin,English,The Ladykillers
235,Horror,Caroline Catz,English,In Fabric
236,Supernatural,Ari Cohen,Spanish,IT Chapter Two
237,Supernatural,Ari Cohen,English,IT Chapter Two
238,Supernatural,Javier Botet,English,IT Chapter Two
239,Horror,Dennis Price,Spanish,Theatre of Blood
240,Action,Joseph Millson,English,Angel Has Fallen
241,Fantasy,Ian Holm,Hindi,The Lord of the Rings: The Return of the King
242,Fantasy,Ian Holm,English,The Lord of the Rings: The Return of the King
243,Comedy,Ed Sheeran,English,Yesterday
244,Comedy,Ed Sheeran,Spanish,Yesterday
245,Family,Roger D. McCann,Spanish,Steel Magnolias
246,Family,Daryl Hannah,Hindi,Steel Magnolias
247,Animation,Tom Hanks,English,Toy Story 4
248,Fantasy,Anthony Jackson,English,Labyrinth
249,Horror,Isabelle Grill,French,Midsommar
250,Fantasy,Francis Wright,Hindi,Labyrinth
251,Fantasy,Francis Wright,English,Labyrinth
252,World,Daniel Veronese,English,Zama
253,Thriller,Alessandro Nivola,French,The Art of Self-Defense
254,World,Maisa Abd Elhadi,French,Tel Aviv on Fire
255,World,Maisa Abd Elhadi,English,Tel Aviv on Fire
256,World,Ashraf Farah,English,Tel Aviv on Fire
257,World,Ashraf Farah,Hindi,Tel Aviv on Fire
258,Animation,Kristen Schaal,Spanish,Toy Story 4
259,Animation,Kristen Schaal,English,Toy Story 4
260,Drama,Frankie Fox,Spanish,Blinded by the Light
261,Cult,Michael Gilden,French,Pulp Fiction
262,Cult,Devan Richardson,English,Pulp Fiction
263,Sci-fi,Justin Dreyfuss,French,Close Encounters of the Third Kind
264,Sci-fi,Brad Pitt,Spanish,Ad Astra
265,Anime,Kumiko Izumi,French,Paprika
266,Horror,Robert Coote,Spanish,Theatre of Blood
267,Horror,Harumi Shuhama,French,One Cut of the Dead
268,Offbeat,Rebecca Rittenhouse,Hindi,Once Upon a Time In Hollywood
269,Family,Tom Hodges,English,Steel Magnolias
270,Drama,Mikey Day,English,Brittany Runs a Marathon
271,Horror,Javier Botet,Hindi,Scary Stories to Tell in the Dark
272,Drama,Vladislav Galard,Spanish,A Faithful Man
273,Sci-fi,Bill Thurman,Spanish,Close Encounters of the Third Kind
274,Family,Julia Roberts,Spanish,Steel Magnolias
275,Family,Tzi Ma,English,The Farewell
276,Comedy,Shishir Sharma,French,Chhichhore
277,Offbeat,Brenda Vaccaro,French,Once Upon a Time In Hollywood
278,Horror,Milo O'Shea,Spanish,Theatre of Blood
279,Drama,Kulvinder Ghir,English,Blinded by the Light
280,Drama,Micah Stock,English,Brittany Runs a Marathon
281,Animation,Leslie Jones,Hindi,The Angry Birds Movie 2
282,Drama,Patch Darragh,Hindi,Brittany Runs a Marathon
283,Supernatural,Jeremy Ray Taylor,English,IT Chapter Two
284,Fantasy,Natalie Finland,Spanish,Labyrinth
285,Drama,Vincent Andriano,Hindi,Blinded by the Light
